0.00735596+0.028308j 0.00899908-0.0350277j 0.0108695-0.017569j 0.00615195+0.0258745j 0.0224517-0.00411852j -0.0173835-0.000885299j 0.00337742+0.0120185j -0.000448541+0.0032663j 0.015815+0.0280399j 0.00604651-0.0144089j 0.0139433-0.00662802j -0.00600024+0.000542132j -0.00860338-0.00675383j 0.00580581+0.000113873j 0.00349843-0.00695781j 0.0110915-0.00252105j 0.000575796+0.0104319j -0.0171341+0.00232321j -0.00435049+0.0056863j 0.000105216-0.0119989j 0.0078816-0.00166074j -0.00434499-0.018923j -0.0110408-0.0101684j 0.00043119-0.0140556j -0.00835677-0.00811082j 0.000933044+0.00963202j -0.0024085-0.00564548j -0.00397528+0.00391609j -0.00780689-0.0136755j 0.0039531-0.00106064j 0.00224129+0.00895899j 0.0237318+0.00162846j 0.0098303-0.002695j -0.00143264+0.00874172j 0.00449796+0.0142772j -0.00640654+0.00229827j 0.00861753-0.00191894j 0.00470539+0.00355261j -0.00637312+0.0025246j 0.00426999-0.0166293j -0.00276825-0.0133701j 0.0100597-0.0119359j 0.00903503-0.000294696j -0.00531993-0.00198762j 0.00776021-0.00226167j 0.00459606+0.00392548j -0.0106333-0.00840786j -0.00644138+0.002088j 0.00673013-0.0289621j -0.013713-0.00394008j 0.00394627+0.00176982j 0.00788698-0.0078926j 0.00834062+0.000288636j -0.0004458+0.00337993j -0.000562019-0.00508843j -0.00673023-0.0106723j -0.00414135+0.012346j -0.0050778-0.0120728j 0.00242902+0.00428709j -0.000207733+0.0131428j 0.0171244+0.014789j 0.00371352+0.00207097j -0.00231447-0.0166425j 0.00732188+0.00785911j -0.00270186-0.00336682j -0.00798156+0.000343531j 0.00677398+0.0199757j 0.0033887-0.00910168j -0.0173723-0.00362641j -0.0090486+0.00460933j 0.00196727-0.0113599j -0.0185019-0.0316662j -0.0156071+0.0216298j -0.0114412+0.00320871j -0.00514827+0.0069393j -2.48509e-05-0.0217962j 0.00277363-0.00542356j 0.0111224-0.0171841j -0.015523-0.0204111j 0.00579337+0.00825071j 0.0116812+3.34597e-06j -0.0077109-0.00780767j -0.0282303-0.00711116j 0.000388329-0.0105533j 0.0025058+0.00657089j -0.0249558-0.0104564j -0.013908-0.00573576j -0.0363115-0.00486062j 0.0283673-0.00540227j 0.022457+0.00544768j 0.0121999-0.00392846j 0.225897+0.000666402j -0.0140296+0.00468973j -0.0169445-0.0027785j 0.030369-0.0154684j 0.113583+0.0224248j -0.00272107+0.20646j 
0.0089614-0.0343271j -0.00772149-0.0287975j -0.00468778-0.0294977j 0.0122187-0.0248305j 0.0133072-0.00419621j 0.0220271+0.00167386j 0.0184957+0.0105836j 0.00231101+0.023226j 0.00603554-0.0192012j 0.00100937-0.00342113j -0.0186881-0.000427655j -0.0102129-0.00510351j -0.00408951+0.00501011j -0.0103894-0.000530733j 0.0020963-0.00982934j -0.00603646-0.00674933j 0.00995351-0.00227757j -0.0119086-0.0140702j 0.00918071-0.00314063j -0.000458974+0.00576727j -0.000896165-0.00404995j 0.000161073-0.000162704j -0.00165382+0.00136862j -0.00195494-0.00518493j -0.00833615-0.00445994j -0.00109089+0.00989889j -0.0152487-0.0197761j -0.00465342+0.000654181j 0.0121421-0.0016342j 0.00481784+0.00680126j -0.0204183-0.00937563j -0.00563287+0.0109117j 0.00423204-0.00345163j -0.00421769-0.00985973j -0.0020213+1.37139e-06j 0.00553405-0.00208363j -0.0053461-0.000307857j -0.0053119+0.00236291j -0.0132141-0.000576482j 0.00872552+0.00338264j 0.00479168-0.00968061j -0.00458548+0.00113238j -0.0152486-0.00510394j -0.00954092-0.0156763j 0.000718651-1.9839e-05j -0.000631876+0.00909838j -0.00526923-0.00243927j -0.00304384+0.00790873j 0.0155784-0.00818915j -0.00248944+0.00640771j -0.00434448-0.010007j 0.00800268+0.0117447j 0.00301108-0.00238643j -0.00446894-0.00101996j 0.00518792+0.0190325j -0.000971321-0.0238685j 0.00750729-0.0227036j 0.0093616+0.00653139j -0.00124438-0.00216488j -0.0135573-0.00131153j -0.00986118+0.0195712j 0.00973169+0.00882195j 0.0036742+0.00697821j 0.000242787+0.00589504j -0.00591609-0.0231448j -0.000434572-0.0167695j -0.00864027+0.00238291j 0.0149166-0.00143746j 0.00223501-0.0224084j -0.00164297-0.0234838j 0.0113916+0.0100452j 0.0154062-0.0192105j -0.00804894-0.0266488j -0.0075787-0.00566905j -0.0140773-0.0191802j 0.0164796+0.0125939j 0.000917362+0.00355664j 0.0123563+0.00222935j 0.0218682+0.000273144j -0.000672673+0.00516472j 0.011362+0.0062905j 0.00587385-0.00460277j -0.000777598-0.019352j 0.018927+0.00353762j -0.00196027-0.00333146j 0.0333851+0.00228867j -0.022872-0.00722491j -0.0116992-0.000201916j 0.00302844+0.00593664j -0.0197014+0.00545872j 0.052594-0.000975476j -0.0136196+0.00664739j -0.22335+2.00797e-05j -0.0283907+0.0117985j -0.01698-0.00529785j 0.00383736-0.207929j 0.113276+0.0218264j 
-0.012177+0.0265872j 0.00360928+0.0422057j 0.00360386+0.00660265j -0.00724512+0.0090887j -0.0258382+0.00124533j -0.0202115-0.00557449j -0.0159427-0.00257275j -0.00541134-0.0310852j -0.0062002+0.00357045j -0.000128142-0.0148704j 0.0175767-0.00163038j 0.0178644-0.00782357j 0.00566445+0.0184727j 0.0163017+0.00470406j 0.00858343+0.00115679j 0.00181181+0.00405759j -0.00555412+0.019571j 0.00695707+0.000897603j -0.00548946+0.00431409j -0.00907897-0.00584071j -0.00563013-0.00360175j -0.00288932-0.00503972j 0.00157813+0.00695043j 0.00292332-0.00118909j 0.0055928+0.0252149j 0.00209384+0.00690384j 0.0198986-0.00156324j 0.0144251-0.00469281j -0.0124327+0.00139067j -0.000484734-0.0139517j 0.00488633+0.0113062j 0.0123734-0.0153038j 0.00388176-0.0040011j 0.00783771+0.00501478j 0.00323524+0.0124361j -0.00759753+0.0123761j 0.00229452-0.00653092j 0.00676498-0.00331066j 0.00971465+0.0137603j -0.0132293+0.00400676j 0.00252052+0.00922882j 0.0148212-0.0123597j 0.00927421-0.0108134j -0.000165823+0.0321848j -0.00491578-0.00721347j 0.00362532-0.0106167j 0.000150152-0.0119015j -0.00638406+0.00475439j -0.00652029-0.00862344j -0.0133865+0.00235082j 0.00742551-0.00685913j -0.00731809-0.0157612j 0.0210579-0.0034904j 0.0161221+0.0363177j -0.00989908-0.00483642j 0.00535032+0.0247119j 0.00304671-0.0398653j -0.00222198-0.0180828j 0.00569977+0.017826j 0.0184842-0.0322274j 0.014305-0.0159879j -0.00723033+0.000783705j -0.0141018+0.00503465j 0.0033285-0.005231j 0.00557603+0.0251526j 0.0148773-0.0111333j 0.0143199+0.0101388j -0.00921425-0.0209037j -0.0265519+0.000223873j 0.0063272+0.00506528j 0.0174192+0.015392j -0.00293252+0.00975595j -0.00575065+0.00145522j -0.0194567-0.0109912j 0.0426199+0.0179899j -0.00577205+0.000160978j -0.0074533-0.0128394j 0.0233961+0.0177235j -0.043802-0.00279979j -0.0178982-0.0126676j -0.0199313+0.00165667j 0.0212762+0.0110772j -0.00766455-0.0062794j -0.0207742+0.0129818j -0.0383736-0.00207865j -0.190988-0.000881236j 0.022623+0.00252687j -0.117843-0.000524638j 0.0541726+0.00326483j -0.0282568-0.000315656j -0.0386386+0.0336589j -0.120103+0.0158j -0.0718389-0.04314j 0.110337+0.0189718j -0.0011837+0.235037j -0.0339183-0.0286332j -0.00638268-0.105753j 
0.00506602+0.0441614j 0.0142327-0.0386875j 0.00823828-0.0194648j 0.00575748-0.0182545j 0.0241572+0.0159987j -0.029965+0.0078143j 0.00781458-0.0336472j -0.0065651+0.0230509j 0.0176451+0.0101542j -0.00454522+0.0133614j 0.00405599-0.000159085j -0.017933-0.0110251j 0.00181694-0.023283j 0.0101786+0.00268711j -0.0153496-0.0066651j 0.0129352+0.00200839j 0.00539686-0.0138347j -0.0161019+0.0211983j -0.0112403-0.0116436j 0.00469444+0.00872074j 0.0110746+0.0180677j -0.0152604-0.0133621j -0.0147604-0.0180468j -0.000290685-0.00127783j -0.000366686-0.00814117j 0.00834627-0.00481449j -0.0201105+0.00352638j -0.0207615-0.0132166j -0.0112589-0.0154953j 0.00588959+0.0026699j -0.0155286-0.0133697j 0.00855703+0.00339664j 0.0101198+0.00744467j -0.0100804+0.0139218j -0.0194683-0.00364492j 0.00275426+0.000950415j -0.00345919+0.000722276j -0.00632124+0.00622505j -0.00584786-0.00643039j 0.00830624-0.0221598j -0.00184818-0.0019497j -0.00913365-0.0152942j 0.00153363+0.0106788j -0.0138498-0.00301568j 0.0135228+0.00710836j -0.00234724+0.013758j -0.0132662+0.0134727j -0.00607513-0.0106997j -0.00156924-0.0128154j -0.00485492-0.0270319j -0.00457425-0.0115411j 0.0185052+0.00851179j -0.00914609+0.0146757j -0.0226048-0.00720301j 0.0150889+0.0159957j -0.00233426-0.0146335j 0.00822867-0.0197202j 0.00954143-0.0144537j -0.0161143-0.0131584j -0.000253492+0.0160532j 0.00465802+0.014928j 0.00458832-0.0212438j -0.00767017-0.0152685j 0.005095-0.0302765j -0.00535426+0.00234541j 0.00404019+0.0316999j -0.0100567-0.00847428j 0.0289772+0.0259712j 0.00342025-0.00905139j -0.0010492+0.0119696j -0.0259293-0.00761764j -0.00542435+0.0173899j 0.00671497+0.00687625j 5.43989e-05+0.00298802j -0.0320409+0.0218873j -0.00252438+0.00322699j -0.00378229-0.0055827j 0.00778521+0.00452414j -0.00550867-0.00182521j 0.0380188-0.00643427j 0.0335406+0.00437898j -0.0403573+0.00736784j 0.00748631+0.0129079j -0.00466329+0.00026421j 0.0330761-0.00792225j 0.0618889-0.0289785j -0.104082+8.39982e-05j -0.201715+0.00361383j -0.0105378-0.0169539j 0.0106673-0.00971046j 0.0287398+0.0211244j -0.0623211-0.0565158j 0.139173-0.00562344j 0.0199114-0.251235j 0.100531+0.0157888j 0.00833723+0.125565j -0.0366565-0.0389469j 
0.00647781+0.00848167j -0.00999062-0.0171597j -0.0073732+0.00974515j 0.00518783+0.0550603j 0.0118087-0.00402995j 0.0109822+0.000799821j 0.0128649+0.0373201j 0.013754-0.019488j 0.0101886+0.0304967j 0.00522832-0.0231319j 0.00401292-0.00911488j -0.00170136+0.000529215j -0.0102751+0.00447255j -0.00260497+0.00302649j 0.0123608-0.00886602j -0.00192266-0.00218951j 0.00472373+0.0132723j -0.0218489+0.00248238j 0.00890351+0.00517407j -0.00563615-0.00991882j -0.00529059+0.0100892j -0.000249162+0.00536831j 0.000258272-0.00755076j 0.00224308-0.012573j -0.00350508-0.00270025j -0.00169628+0.00729406j 0.00878152-0.0356933j 0.00374238-0.00168036j -0.000718253-0.0164166j -0.00764833-0.00484467j 0.0104587-0.00101512j 0.00545801-0.0250716j -0.0204722-0.00312021j -0.00939943+0.000599715j 0.0106589+0.0317053j 0.000285597-0.00888449j 0.000428044-0.0106084j -0.00859422+0.0156653j -0.00224593+0.00836384j -0.00479328-0.0237749j -0.0091762-0.00749245j 0.00125651-0.0236824j -0.019828-0.0224345j -0.0185255-0.0219085j -0.0134438+0.00607j 0.00906037-0.00775027j 0.00104469-0.033856j 0.00805888-0.0226519j -0.0131396-0.0257398j 0.00415854-0.0366098j -0.0125761+0.0257651j -0.00365089-0.0372906j 0.000849304-0.0018084j 0.00938389-0.00678716j 0.0144221-0.0341797j -0.0322514-0.0155812j -0.00447332+0.0751462j 0.00612834-0.0457274j 0.00286405+0.0184147j -0.00162763+0.0116786j 0.0162608+0.00472073j 0.0284042+0.0145335j 9.26245e-05-0.0449661j 0.0310299+0.0319242j -0.0541962+0.00837923j -0.00951246+0.026625j 0.0152331+0.0345216j -0.0046148-0.00254841j -0.0250935+0.03022j -0.0239016+0.0566478j 0.0369034-0.045984j -0.0373535-0.0425659j -0.0164733+0.0948426j -0.0138222+0.0116895j -0.0203424+0.0342657j 0.0087434-0.0733717j 0.0167177-0.00138655j -0.02401-0.060008j 0.0190698-0.052077j -0.0151251+0.0404464j -0.00581197+0.013849j 0.0838143-0.00930493j -0.0734966+0.0203364j 0.00412191-0.0509598j -0.0398966+0.025915j -0.044727-0.0126952j -0.0681872-0.026829j -0.0252652-0.0237225j 0.0116785-0.0454661j 0.00200939+0.0530519j -0.000928918-0.118523j 0.166371+0.0513869j -0.00973166-0.141351j -0.00764863-0.0178113j 0.0108491-0.0469681j 0.147772+0.0631102j -0.0465989+0.230254j 
-0.00685591-0.00928448j -0.00118452-0.0272881j -0.00328326-0.0424869j -0.00576769-0.0142052j -0.00356437-0.0115539j 0.0068755+0.0136156j 0.00725353+0.00553079j 0.00192779+0.0194346j -0.0137802+0.00244238j 0.00244781-0.0208459j -0.0141981-0.00360979j -0.00581704-0.0100579j 0.0056318-0.00151242j -0.000121283-0.0105849j 0.00084816-0.0172226j -0.00293312-0.0149588j 0.00214661+0.00834763j -0.00657047-0.0213946j -0.00221236+0.0113126j 0.000141891+0.00163916j -0.00186689-0.017992j -0.00216164-0.011008j -0.00268426+0.00502684j 0.00246785-0.00535181j -0.00372654+0.00793312j -0.00171645+0.0075088j 0.00636843-0.0243021j -0.00313257+0.000949245j 0.0113911-0.0157124j 0.0151755-0.0187871j -0.00209585-0.00287487j 0.010871-0.00860567j 0.00514201-0.0353117j -0.00028891-0.0294768j -0.0253988+0.0011365j -0.00105502+0.00974463j 0.00330474-0.012298j -0.0102265-0.00930929j -0.00166661+0.0111637j 0.0172871-0.0162604j 0.012392-0.0251032j 0.013872-0.0178315j 0.00531294-0.0258782j 0.012031-0.0294061j -0.00163523-0.0124003j 0.00104181+0.0253024j 0.00731663+0.0112672j 0.0106758+0.0280802j 0.0202962-0.053263j 0.0172065+0.014061j -0.0091302-0.0438076j 0.0126005+0.00153405j -0.0160096-0.013227j -0.00252092+0.00273014j 0.0130757+0.0406857j 0.0140395-0.0713122j -0.0286466-0.0292023j 0.0244653+0.0101425j -0.0117593-0.00770414j -0.00772649+0.00995693j -0.0147887+0.0502588j -0.00538218+0.0327189j 0.020995-0.00620329j -0.0102573+0.0368117j -0.00443568-0.0838134j -0.00570844-0.0393159j -0.0252018+0.042823j 0.0053556-0.0300108j 7.97476e-05-0.0488506j -0.0193838-0.0567134j 0.0157738+0.0268827j 0.0370468-0.104057j -0.0353138-0.022617j 0.00293069-0.00363174j -0.0285639-0.0522264j 0.0410412+0.00455188j -0.0117366-0.00612683j 0.0251431-0.0282227j 0.0430421-0.0156859j -0.00199492+0.0322107j -0.0370813-0.00814731j -0.00678099-0.0191173j 0.0416785-0.0863339j 0.0391796+0.00143505j -0.00141731+0.0126384j 0.0112713+0.00540847j -0.0197545-0.0255399j -0.0638683+0.0252076j 0.0020365+0.0511464j -0.0115508+0.0697567j 0.0440416+0.0262443j -0.0222336-0.144232j -0.152447-0.0564516j -0.00355308+0.0303778j 0.00836383+0.00243812j 0.0589834-0.225371j 0.159194+0.0501787j 
-0.0110943+0.0448751j 0.00668298+0.0153733j -0.000518012-0.0171308j -0.00576372-0.0214268j -0.0170717+0.0300194j -0.0212643+0.0143579j -0.00616634-0.0444029j -0.00901777-0.0114262j -0.00882654+0.0395766j -0.00824442+0.00294065j -0.00171089-0.0114984j -0.00382115-0.00764571j 0.0153376-0.0282187j 0.0156933-0.0069983j -0.0161152+0.000820905j 0.00262808+0.00346237j -0.00401714+0.0205737j 0.000194855+0.0166748j -0.0171831+0.0118048j 0.00551322-0.0176862j -0.0010479-0.00830829j -0.0142037-0.0342506j -0.00203355-0.0202883j 0.00527629-0.0200283j 0.00875866-0.0131226j 0.00204176+0.00601244j -0.0122472+0.00808186j -0.0151337+0.0217312j -0.0170908-0.00619381j 0.0128562-0.00349969j -0.0259286-0.0211721j 0.00307672-0.00759714j 0.0139739+0.0165665j -0.00445618+0.0128335j -0.0354545+0.0203862j -0.00262238+0.0304345j -0.00847088-0.0166552j -0.00340621+0.0124568j 0.0072553-0.000650796j -0.00191866-0.0284273j 0.0030183-0.0156748j -0.0048082-0.0214117j 0.0158001+0.00443378j -0.0131378+0.0102514j 0.0142491+0.00147127j 0.00200754+0.00833352j 0.00606763+0.0207552j 0.000453293+0.00243546j -0.00823273-0.0409114j 0.00734898-0.00763094j -0.00437273-0.0258968j 0.0196454+0.0183872j -0.0168369+0.0394949j -0.0255276+0.0244581j 0.0239265+0.00330968j -0.00414624+0.022343j -0.02956+0.0294077j 0.0105397+0.0178011j -0.0197926-0.010761j 0.00472345+0.0116287j 0.00815235+0.00448894j -0.0142766-0.0134825j -0.00287129-0.0305233j -0.0184066-0.0278911j 0.0154107+0.00676094j -0.00938054+0.00911355j -0.00759554+0.0397251j 0.00667793+0.00337197j -0.0136613-0.0049799j -0.0113615+0.00880301j -0.0220634-0.000306204j -0.00640227-0.041103j -0.00883919+0.0458744j -0.00627692+0.00319541j -0.0250751+0.0151697j 0.0129445-0.0433119j -0.0507927-0.00813102j 0.0535648-0.0305628j -0.0365045-0.0118331j 0.0662037-0.00742768j 0.00609995-0.00932538j -0.144883+0.0124857j 0.0635556-0.0221262j 0.0466783-0.0211001j 0.0832374+0.0290751j -0.0497896+0.00866989j 0.156249+0.0365012j -0.00799759+0.0153869j 0.0588328-0.000807907j 0.040533+0.0194368j -0.000290258+0.241288j 0.0140577+0.0246543j -0.048089-0.0399936j 0.0401972+0.0265066j 0.0142338+0.0452396j 0.0679365-0.0286505j -0.0458389+0.0468256j 
0.00287901-0.0358396j -0.0119681-0.0129115j -0.0133015-0.0272327j 0.0154808-0.0340249j 0.00152673+0.0170876j 0.0284827-0.000705103j 0.0355666-0.0101695j 0.00532603-0.0390177j -0.00461341-0.00680934j -0.00392921-0.011048j -0.0318459+0.00798579j -0.00993856-0.0297128j 0.00663047+0.00387895j 0.00408586-0.0187327j 0.00849494+0.00499226j -0.0209443-0.00582204j 0.0196527+0.0100511j -0.0212502-0.0162882j 0.0110277-0.00539319j -0.0208285+0.0189026j -0.0148283-0.00205294j -0.00934031+0.00592564j -0.00814844-0.0181606j -0.013+0.009073j -0.0186517+0.00494644j 0.00476263-0.0166821j -0.0172909-0.00532625j 0.00796391-0.0285555j 0.0103192-0.00542633j 0.0171603-0.00249636j -0.0252517+0.016183j -0.00704123+0.00128367j 0.00595714-0.016601j 0.00673813+0.000482342j -0.00696759-0.0268752j 0.00863095+0.00599588j -0.0160617+0.0146794j -0.0137538+0.0231107j -0.00629857+0.0193177j -0.00420608+0.0119847j 0.00869872-0.000639701j -0.00738957+0.037596j -0.0262897-0.0282488j 0.00110149+0.0419972j -0.0303629+0.021384j 0.00412181+0.0293591j 2.41416e-05-0.00680293j 0.0187991+0.012961j -0.0260633+0.0508436j 0.0259213-0.0730019j -0.0203427-0.0474704j 0.00814101-0.0137406j -0.01978+0.0281833j 0.0291497-0.000919496j 0.00611388-0.00752355j 0.00153242+0.014558j -0.016553+0.0434009j 0.0266431-0.00445141j -0.0074049-0.0195998j -0.00386092-0.0171594j 0.00214482+0.00393433j 0.00310245+0.00688829j -0.0190532+0.000341142j 0.00743923+0.0061642j -0.0347029-0.0204916j 0.00140591+0.0063497j 0.0318016+0.0126025j 0.00575335+0.00712256j -0.00650987+0.0398367j -0.00706144+0.0049689j 0.0302814-0.0137619j -0.0268344+0.0209857j 0.0124028+0.0359485j 0.0101509+0.0266421j -0.0706698+0.0216901j 0.0123669-0.0136479j -0.0247336+0.0138919j -0.0393462+0.00882142j 0.116674+0.00360446j 0.053201-0.0208386j -0.156678+0.00520922j 0.0630579+0.0206602j 0.115104+0.00852925j 0.0986275-0.0303674j 0.00935554-0.00264098j -0.0712953-0.00220753j 0.0151025+0.0374711j -0.0520933+0.00360336j -0.0664711-0.00376228j 0.0493255+0.269913j -0.0573639-0.00864233j 0.0754711-0.00596159j -0.00159849+0.0162718j 0.0256571-0.00425885j 0.0251408+0.0373902j -0.0351917+0.029164j -0.0207255+0.0749447j 
-0.0136877-0.050772j -0.0134514+0.0586661j -0.0181525+0.0363369j -0.025289-0.00147368j -0.0411673-0.00216151j 0.0346842+0.0110746j -0.0226197-0.0276299j 0.00553275-0.0150374j -0.0501963+0.0291619j -0.00221476+0.00784827j -0.00922777-0.00526467j 0.0107083+0.0365647j 0.0128068-0.0196061j -0.0151798-0.0354201j -0.00700299+0.00281256j -0.014543+0.00103192j -0.0242902+0.00714195j 0.0354173+0.00114218j -0.00641772+0.0345602j 0.0175683-0.000992502j -0.0115819-0.028763j 0.0226017+9.34384e-05j 0.020346+0.0189519j 0.00345207-0.00566509j 0.0224725-0.0216962j 0.0007043-0.00880542j 0.0196895-0.0128864j 0.0182087+0.00283153j 0.0147986+0.0136076j 0.00454002-0.00932006j -0.00115977-0.00347879j -0.0138305-0.0228032j 0.00110175+0.00283504j 0.00653283-0.0127812j -0.00928592-0.00238761j -0.0107935+0.041145j 0.00466626-0.00646183j 0.0125615-0.0180973j 0.0280331-0.0374111j -0.00778023+0.0184325j 0.0079992-0.0350076j 0.0144151+0.0164935j 0.0279819-0.00942405j 0.0253158+0.00141601j 0.00579976-0.0432694j -0.000214928-0.0251261j 0.025299+0.0125207j 0.0150026+0.0254753j -0.007418+0.0275496j 0.0239034+0.0704932j 0.01443-0.032837j -0.0105514+0.0210891j -0.00182836+0.0253439j 0.0230481-0.00365744j -0.0234097-0.0611507j 0.0118227+0.0074756j -0.0250533+0.0172249j 0.00292527+0.00908899j 0.02454+0.0143686j 0.0237989+0.0257961j -0.00794483+0.00601338j -0.0196954+0.0062358j 0.00785467-0.0331428j -0.0175163+0.00859335j 0.0395063-0.0138896j -0.0260007+0.0200702j 0.0155943+0.0210549j -0.0784171+0.018033j -0.0446645-0.00131939j -0.0127508-0.00744891j 0.0530683-0.00342126j -0.0156037-0.0343148j -0.0387442+0.0117524j -0.0346765+0.0218443j 0.0746245-0.0316962j 0.0204737-0.00791748j -0.0218483+0.010988j 0.021858-0.0168344j -0.0660995+0.011259j -0.0282559+0.0291113j -0.127128-0.00453023j -0.0826496-0.0137362j 0.0852223-0.00942428j -0.0795297-0.0344151j -0.0652921-0.0109776j 0.121079+0.0241859j -0.118516-0.0155226j 0.025248-0.0214398j 0.00176441+0.296738j 0.0783855-0.00548367j 0.0268496-0.0426911j 0.0234223+0.0309497j -0.0691818+0.0102013j -0.0425809-0.0169978j -0.00301517-0.11644j 0.00324868-0.0701724j -0.0252105+0.0350789j 
-0.0126468+0.0321108j 0.00770341+0.0245237j 0.0163987-0.0638226j 0.00999084-0.0225552j -0.0255965+0.0106039j -0.0276386-0.0177642j -0.00127961-0.018457j -0.0124318-0.0341647j 0.00389318-0.0171539j -0.00184691+0.0054762j 0.0155113+0.00286025j 0.0116433+0.00374111j 0.00971652+0.00357606j 0.0230033+0.00445875j 0.0132121+0.00413539j 0.00115769+0.0110048j 0.00852632-0.00116558j -0.0110551+0.0142667j -0.00213648-0.0248463j -0.0016436-0.0162678j 0.0116023-0.0146841j -0.0241633+0.00375909j -0.00206307+0.00256336j -0.000341339+0.0154937j -0.00246115+0.0177329j -0.0141563-0.00280113j -0.0195365+0.0105814j -0.0433627-0.0142729j -0.0326999+0.00369171j 0.017939-0.0147568j -0.0130369-0.0220664j 0.0150127+0.0186477j 0.0167816-0.0180087j 0.0122807-0.000816149j -0.015438+0.0311558j 0.0050217+0.0327817j -0.0166538-0.0386401j -0.00667776-0.00112192j 0.00409897+0.0252748j -0.0103023-0.0136866j 0.00498551+0.0113611j -0.00748289+0.0531454j 0.0103876+0.0029241j 0.00214682-0.0251468j 0.0016691+0.00102457j 0.0149566+0.0280245j -0.00336811+0.0111259j 0.0028637+0.0289621j -0.00361722+0.0167842j -0.00369797+0.0249919j -0.0128509+0.0701579j 0.0134404+0.0309575j -0.0106499+0.0167416j -0.00593504-0.013776j 0.020663-0.00942209j 0.0265878+0.0613776j -0.0173971+0.0789568j 0.0220408+0.0473997j -0.0303223-0.0287697j -0.00730868+0.000603934j 0.00100264-0.0539444j -0.00843865+0.0217255j -0.0105049+0.0286721j 0.00629264+0.0342884j 0.0121988-0.00741916j -0.00519756-0.0523284j 0.0151904-0.00526179j -0.0047085-0.0334939j -0.0114556-0.00199527j -0.018976-0.0262029j 0.00385566+0.0116633j -0.0228936-0.0300712j 0.0588797-0.0121048j -0.0434116-0.037542j -0.0105704-0.00768622j -0.0374577-0.0262832j -0.0738757+0.0404439j 0.141977-0.0359825j -0.0911703+0.00144395j 0.095888-0.0574591j -0.00491134-0.0365693j 0.10848+0.0750768j -0.0149656-0.025785j 0.0348846-0.000351543j -0.0820537+0.0542954j 0.00741415+0.17728j 0.0781007+0.208474j 0.180119-0.138758j 0.0272707-0.0104739j -0.0283886-0.0292496j -0.0671863-0.0329231j 0.0101167+0.0220659j 0.0143901-0.0350958j 0.0200184+0.218821j -0.048895-0.0602087j 0.00474569+0.0275211j -0.00783771-0.0155842j 
0.000751834-0.0210426j -0.00581198-0.0329218j 0.000787661-0.0235309j 0.00759801+0.000158598j -0.00302669-0.0172444j 0.0137893+0.026892j 0.0132372-0.0158265j 0.00753264+0.0208852j -0.00220731-0.00835685j 0.00561476+0.00879046j -0.00315506-0.00186939j -0.000540503+0.0143407j -0.00538197-0.0355791j -0.00746555-0.0323184j 0.00713186-0.0130594j -0.00294877-0.0248144j -0.00464936-0.0393081j -0.000471999+0.0104488j 0.00199421-0.0130038j 0.00645899+0.0176989j 0.00319777-0.0130055j 0.00129507+0.0240359j 0.00641921-0.0094408j -0.000639257+0.00269524j 0.0119906-0.0438485j 0.0021788+0.00869927j -0.00139321-0.0247844j -0.0213909+0.0471637j 0.00830073+0.000720237j -0.0060139+0.0031673j 0.00783904-0.0540479j -0.00295772+0.0402586j -0.0167207-0.00119905j -0.00660111-0.0010324j 0.00536707-0.0247192j 0.00143825-0.0176596j -0.00410557+0.0319579j -0.0190063+0.0223943j 0.00434032-0.045234j -0.00165494-0.0196536j 0.00557256-0.0546783j 0.0183731+0.0779756j -0.0120251+0.0183972j -0.00194512-0.0983432j -0.0277454+0.0229351j -0.00165124+0.00974219j 0.00276614+0.0645103j 0.00773741-0.00480573j 0.00687208+0.0681353j 0.0188983-0.0242879j 0.0159757+0.0431943j -0.0126516+0.0348694j 0.00442425+0.0292461j 0.0110078-0.14006j -0.0339623-0.0307039j -0.00142734-0.0903594j 0.0365478+0.0656645j 0.0123744-0.05025j 0.00942928-0.0568508j 0.000639447+0.0974378j -0.00512573+0.0489772j 0.0147718-0.026257j -0.0110624-0.0368307j 0.0332617-0.0162246j -0.00888155-0.073292j -0.0283403+0.0961052j 0.0549074-0.0650614j -0.03296+0.0977686j 0.00485954+0.00187747j 0.00935238+0.0143233j 0.0524178-0.076704j -0.0316831+0.0372549j 0.0253569-0.0305273j -0.0320244+0.0493329j -0.00257632-0.0225105j -0.0231721+0.046115j 0.0286579+0.0637734j 0.0160958-0.0473267j 0.0502905+0.00880601j 0.0903309+0.0516814j 0.049557+0.0200516j -0.01846+0.00747093j 0.0218269+0.0976711j 0.0561251-0.0882851j 0.026944-0.152773j 0.135781+0.0390435j 0.0206248+0.107744j 0.104064+0.063028j -0.0531382+0.00919821j 0.0182379-0.020538j -0.00508564-0.0719108j -0.0163464+0.0118613j 0.107634+0.0105509j -0.0945684-0.0426712j 0.0148093-0.250187j -0.0262626+0.0474543j 0.0143343-0.0539318j 
