0.00181908+0.0069299j -0.00703797+0.00235759j -0.00549011+0.00160126j -0.00162134-0.00545868j -0.00159043+0.000483577j -0.00346872-0.000352921j -0.000202342-0.00501904j 0.00441603+0.000457427j 0.000372255-0.00152405j -0.000617547+0.000606858j 0.00146863+0.000493879j -0.000960634+0.00302663j -0.0038078-0.00216469j 0.00309933-0.000182461j -0.000395021-0.00101891j -0.00160455-0.00108861j -0.000409788-0.000518851j 0.00162411-0.000507124j 0.00162943+0.00213543j -0.000460916-7.56548e-05j -0.000146572+0.000839901j 0.00193404-0.00161654j -0.00225808-0.00198862j -0.0013731+0.000153616j -7.42165e-05+0.000235593j 0.00275685+0.00032309j -0.000827593-0.00194645j 0.000720238-0.00144681j 0.000486663+0.000964698j 0.000701797-0.000368787j -0.00247313+0.000660783j 0.000618995+0.00157103j 0.000984351-0.000606519j 0.000414579-0.000733169j -0.00228905-0.00270273j -0.00100057+5.86366e-07j -0.00104313-0.00164039j 0.00226676-0.000138433j 0.00122127+0.000486098j -0.00118424-0.00028989j -0.000611324+0.00107201j -0.000465533+0.00260553j -0.00231051-0.00197008j 0.000725615-0.00212214j -0.000804061-0.00231555j -0.00476083-0.00165143j 0.00119253+0.0039568j -0.00230266+2.61913e-05j -0.00139538+0.00386519j 0.00708624+0.00414697j 0.00290839-0.00262966j -0.00379941-0.00241816j -0.0101205-0.0104538j -0.00834869+0.00409003j 0.0490059-0.0370639j 0.00696872-0.362827j 
0.00703531-0.00235424j 0.00181944+0.00694159j 0.00175435+0.00525379j -0.00571405+0.00143972j 0.000893294+0.00112092j -0.000698175+0.00290323j -0.00556798+1.39217e-06j -6.99656e-05-0.004068j -0.00159753-0.000868919j 0.000635564-3.22283e-05j 0.00141512-0.000878953j 0.00381981+0.00104935j -0.00178187+0.00306757j -0.00121584-0.00258352j -0.000963764+0.0003299j -0.000740276+0.00131295j -0.000273162-3.80692e-05j -0.000376887-0.00120537j 0.00252898-0.000486157j 0.000551677+9.37875e-05j 0.000514026+0.00118319j -0.00272369-0.00194203j -0.00156063+0.00126452j 0.000746938+0.00105493j 0.000498016+0.000745999j -0.000467914-0.00260157j -0.000889646+0.000184631j -0.00247489-0.00180599j 0.00119114-0.000110672j -0.00157232-0.00129384j 0.00159758+0.00327936j 0.00121862-0.000245115j -0.00060944-0.000630134j -0.000639408+0.000574173j -0.00270158+0.000550389j 0.00100089+0.00199464j -5.7881e-05+0.000741015j -0.00123936-0.00145297j 0.000553105-0.00207328j -0.000439087+0.00079812j 0.00197072+0.00138341j 0.00219915+0.00138352j -0.00120864+0.00139128j -0.00207326-0.000286257j -0.00444591-0.000843216j 0.00048688+0.0036405j 0.00233013+0.00113932j 0.00117614+0.00405229j 0.00422723+0.00131847j 0.00323734-0.00386817j -0.00680717-0.0050628j -0.000174132+0.00118626j -0.00820471+0.004252j 0.0100787+0.0110174j 0.00686743-0.362622j -0.0491094+0.0369242j 
0.00482987-0.00531004j 0.00413325+0.00457684j -0.00180709+0.00187357j -0.00139859-0.00247669j 0.000908604-0.00476694j 0.00352382+0.00259455j -0.0030265-0.000884742j 0.00377493-0.000138891j 0.00221792-0.00219414j 0.00303348-0.00148913j -0.00331944-0.00319256j 0.00235777+0.00122387j -0.00385668+0.000414419j 0.000676062+0.000980055j 0.000286925+0.000229343j -0.000542113+0.00124583j 0.00173651-0.000894243j -0.00132879-0.00105645j 0.00105308+0.000419099j 0.00171146+0.00141833j -0.00413988+0.000927129j -0.000466843-0.000429676j -0.00110847-0.000152531j -0.00064569+0.000362075j -0.00312781-0.000706019j 0.000730323-0.0023774j -0.000207999+0.00144128j 0.00342124+0.0014617j 0.00168135+0.000600403j 0.00229241+0.00235042j -0.00165714+0.000776989j 0.00189225+0.00235766j 0.000693086+0.000104095j -0.00381293-0.00151926j 0.000186229+0.000193726j -0.00214308-0.000460308j 0.000564875-0.0020392j -0.000404105-0.00268707j 0.00382048+0.000173464j 0.000336029+0.000486517j 0.00209282-0.00451637j -4.21961e-05+0.00415002j 0.00190002-0.00217958j -0.00592541-0.00303016j -0.00262722+0.000489914j -0.00204108+0.000411672j -0.00553005+0.00189761j -0.00755002-0.00164093j 0.00984457+0.0135966j 0.00629934-0.00502427j 0.002054+0.00484403j 0.00979721+0.0106829j -0.0322499+0.0228983j -0.0147399+0.329894j -0.0219894-0.044735j 0.0126635-0.104606j 
0.00412777+0.00470555j -0.00498285+0.00541137j -0.00142924-0.00208542j 0.00235176-0.00176321j 0.00465749+0.000246279j -0.00345058+0.00384128j 0.00108469-0.0029876j -0.000348794+0.00372289j 0.00247548+0.00121536j 0.000569398+0.00215963j 0.00443923-0.00332945j -0.00106887+0.00202927j -0.000423606-0.00415071j -0.00213706+7.19145e-05j 0.000699571+0.0013186j 0.000325941-0.00018823j 0.00124804+0.00101502j 0.0018282-0.000907812j 0.000304391+0.00141722j 2.60482e-05+0.00155982j -0.00336181-0.00350058j 0.000452932-0.000243484j 0.000490411-0.00231026j -0.00165283-0.00147948j -0.000318816-0.00343449j 0.00193502+0.000529428j 0.00118507-0.000539459j -0.000280355+0.00305721j -0.000697374+0.000690988j -0.00243292+0.00240835j -0.00182225-0.00139267j -0.00210143+0.00133826j 0.000670689-0.000322983j 0.000474881-0.00191863j -0.00101849-0.000164659j -0.000345054+0.00147368j 0.00374248+0.00403129j 0.00109618+0.00065359j 0.000920648+0.00347648j 0.000782085+0.000764864j 0.00108742+0.0048088j -0.00482325-0.00392317j -0.000698204+0.00410481j 0.00380265-0.00364753j -0.00413626-0.00359432j 0.000607941-0.00366932j -0.0057949-0.00727133j -0.00289704-0.00438681j -0.00989084+0.000982583j 0.00781319+0.0112396j -0.00282951-0.0059303j 0.00654874+0.0180563j 0.0109002-0.321203j -0.0362064+0.0173298j -0.0118796+0.104123j -0.0214155-0.0449337j 
0.00201563-0.00399058j 0.00350098+0.00189076j 0.00175389-0.00331052j 0.00371378+0.000784716j 0.00667368-0.00138349j -0.000970588+0.00661379j -0.00152634-0.000433559j -0.00220469+0.00133843j -0.000762772+0.00254549j 0.000414058-0.000675506j 0.0016302-0.00327265j 0.000817882+0.00162467j -0.000241163-0.000462124j -0.00220316-0.00145418j -0.00192099+0.00345989j -5.51094e-05+0.00288559j 0.000813626+0.00248744j -0.00233023-0.000948645j 0.00153008-0.000851279j -0.00404632+0.00299356j -2.12026e-05-0.00508233j -0.000972196+0.000810033j -0.000738275+0.000995433j -0.00138418-0.000669866j -0.000592533-0.0034517j 0.000231307-0.000716746j -0.00227408+0.00155819j -0.00248038+0.00375325j -0.00178669-0.000530809j -0.00366553+0.00236349j 3.40348e-05+0.000114956j -0.00157525-1.80522e-06j -0.00113931-0.000961817j -0.00276125-0.000525628j -0.000398355-0.000584992j -0.00446767+0.00122101j -0.00131067+0.00262295j -0.000113676-0.00224244j -0.000406251+4.87334e-05j 0.00373667+0.00771355j 0.00137284-8.99816e-05j 0.00142013+0.000393265j -0.0041973+0.00113943j 0.00160369-0.00527147j -0.00158553+0.00805496j 0.00700867+0.00555764j 0.00559785+0.0028044j -0.00632652-0.0210661j 0.00214679+0.027391j -7.37079e-05-0.0599037j -0.022398-0.00106802j -0.0198487+0.316687j -0.0200882-0.0271318j 0.0195087-0.105306j 0.00071754-0.0174257j -0.0213154-0.0126762j 
0.0052777-0.000100158j -0.00074952+0.00545439j 0.00270034+0.00325085j -0.00398638+0.00331412j -0.000679924+0.00712784j -0.00612753-0.00173452j 0.000208069-0.00357611j -0.000919772-0.00323113j -0.00332846-0.00309414j 0.00171764-0.00171976j 0.00275452+0.00242035j -0.000760892+0.00231473j 0.000446569-0.000438189j 0.000522613-0.00382156j -0.00314653-0.000476327j -0.00257599+0.001151j -0.00325563+0.000522143j 0.00167467-0.00187647j -0.000185365+0.00332002j 0.000707242-0.00169154j 0.00221597+0.00121382j -0.00117323-0.00249621j -0.00232197-0.00253561j 0.000985796+4.34169e-05j 0.000127291-0.00261198j 0.00117028-0.00232955j -0.000386469+0.0012713j -0.001632-0.0015448j -0.00181558-0.0018579j -0.000835374-0.0032379j -0.00437946-0.0024998j 0.000901364-0.00159547j -0.00246277-0.00328198j -0.00156848-0.00123469j 0.000172826-0.000293399j -0.00229086-0.0015721j -0.00358534-0.000430378j -0.00234404-0.00421074j 0.00543803+0.00332763j -0.00529338-0.00269067j -0.00277854+0.00179233j -0.00376411-0.00314508j -0.00643866-0.00551323j 0.000787792-0.000537163j -0.00638216-0.0100338j 6.28962e-05+0.0167378j -0.00198298-0.00571859j -0.0010759-0.0117073j -0.00527301+0.00575811j 0.0160318+0.0111908j 0.0129548-0.303186j -0.0316342-0.0137567j -0.00742248+0.0324399j -0.00150556-0.000765618j 0.0262614+0.0103221j -0.000377262-0.0212939j 
-0.00248853-0.00502092j 0.00559567-0.00416645j 0.00475416+0.00187066j -0.00214275+0.00533028j 0.000342227+0.00265447j -0.00100667+0.00218421j -0.00215827+0.000197995j -0.000820693-0.00224147j -0.0020609+0.00439717j -0.00215545-0.00166983j -0.0031693+0.000695499j 0.00185151-7.19163e-05j -0.00282844+0.00404167j -0.00157261-0.00118958j 5.856e-05+0.000419784j 0.00300751+0.00305716j -0.00184316+0.00291655j -0.00232026-0.000742584j 0.00135741-0.0028551j 0.00118954+0.000267943j -0.0014444-0.00240349j 4.83201e-05+0.00177359j -0.00388967+0.00307065j -0.00210214+0.001213j -0.0044812-0.000536264j -0.00129279+0.000643393j -0.00357728-0.00106256j 0.00163421-0.00149207j -0.00204588-0.00231861j 0.00318903-0.00369015j -0.00121053+0.0019422j 0.00289496-0.00394249j -0.00357015-0.0027841j -0.00145405+0.00302869j -0.000337234-4.4839e-05j 0.00296611+0.00178384j 0.000388623-0.000490024j 0.000546048-0.000298409j 0.00123987-0.00547962j 0.00351109+0.00846439j 0.00660381+0.00314079j -0.00279447-0.0023366j 0.00260629+0.00312811j -0.00915833-0.00452966j 0.00201235+0.0176802j 0.00251291+0.00600442j -0.00125826+0.00751822j -0.000768986+0.0100774j 0.00810363-0.0225675j 0.0175901-0.286658j -0.0213994-0.0261519j 0.0104784-0.0598297j 0.0243201+0.047391j -0.0145005+0.118877j -0.00276017-0.0152769j -0.0154608-0.00345093j 
-0.00386363+0.00492379j -0.00334217-0.00331448j 0.00425714-0.00419071j 0.00244241+0.0065219j 1.23425e-05+0.00479559j -0.00173419+0.000654991j 0.000660566+0.00219818j -0.00110966-0.00140963j 0.00262646+0.000834633j -0.00267495+0.00299221j 0.000654573+0.00417955j -0.000737182-0.00308393j 0.00193127+0.00313937j -0.000625648-0.00191765j 0.000793375+0.000307066j 0.00408903-0.003278j -0.00108408+0.00212141j 0.00158985+0.00114019j 0.000596361-0.00215259j 0.00109057-0.00510733j -0.00115426+0.000244109j -0.000927573-0.000870706j 0.00269315+0.00254098j -0.00151276+0.000212688j 0.000877337+0.00107264j -0.00213687+0.00063446j 0.00322676+0.0051623j -0.000506048-0.0009433j -0.00134966-0.00124572j -0.000642035-0.00333558j 0.00115647-0.00171167j 0.00030952-0.00129423j 0.00135184+0.00223875j 0.00265391-0.000323681j -0.00175185-0.00151579j 0.00266053-0.00604732j 0.000166143-0.0071444j -0.000887896-0.000113751j -0.00601105-0.00613074j 0.00292664+0.00284284j -0.00677658-0.0111487j 0.00330612+0.00455959j -0.00581766-0.0158072j 0.00606616+0.0171576j 0.00441712-0.00599386j 0.00625122+0.0117604j 0.00733775+0.00828404j 0.000301217-0.0125265j 0.00937457-0.258598j -0.0221653-0.003178j -0.00333254+0.0203006j -0.0215821-0.00194109j -0.0122823+0.145411j -0.0222842-0.0575053j -0.00356746-0.00253646j 0.00267038+0.0077931j 
0.00147178-0.000192845j -0.000551535+0.00215834j 0.000571851-0.0064184j 0.00559784+0.00186362j 0.00352284+0.00269434j -0.00223393+0.00209591j 0.00210237-0.000643955j 1.89589e-05+0.000278517j 0.00150692-0.00470765j 0.00430777-0.00165048j 0.000909055-0.00158681j -0.00181792-0.00109611j 0.00309846-0.00174914j -0.000572347+0.00186291j -0.00239466-0.00110312j -8.39839e-05-0.00234719j -0.000602803+0.00168823j 0.00103985-0.00270586j 0.000406369+0.000386449j -0.00111668-0.00506471j -0.000773572-0.000641076j -0.00254837-0.000398957j 0.00287544-0.00165147j -0.000298462-0.00263875j 0.000972648-0.00602396j 7.28646e-05-0.00192146j -0.000161042+0.00543268j -0.0020887+0.0058865j -0.0019158-0.00252671j -0.00451164+0.000292981j -7.04515e-05-0.00601514j -0.000898265+0.000493687j 0.00227762+0.00296447j -0.000259639-0.00611107j 0.000399441+0.00397672j -0.0026888-0.0115211j -0.00253776-0.00851662j 0.00100143-3.66827e-05j -0.00299458-8.91843e-05j -0.00132724+0.00078592j 0.00284972+0.00178135j -0.00221712-0.00179778j -0.000430625-0.00140457j 0.00600134+0.00670936j -0.0058682+0.00100281j 0.00866653+0.0290049j -0.0102262-0.0415456j 0.00788767-0.238293j -0.0243826-0.0293136j 0.00680536-0.0206646j -0.0186946-0.000423096j 0.0143553-0.134791j -0.00130242-0.0332673j -0.0111607-0.0503236j -0.00234209-0.0020113j -0.00578592+0.00900507j 
-0.00230523+0.00150524j -0.00125699-0.00264868j -0.00438134-0.00122815j 0.00135281-0.00502757j 0.000469769-0.0030383j -0.00107108+0.00170448j -0.000772049-0.00367997j 0.0031303+0.00245548j -0.00344251+0.00146477j -0.00141814-0.006341j -0.00572115-1.06129e-05j -0.00153515-0.000497492j -0.00187122-0.00656157j 0.00493928+0.00780195j -0.00391479-0.00170021j 0.000775087-0.00383812j 0.00107976-0.00021683j -0.00237081-0.000974816j 0.00134762+0.0015586j -0.0046656-0.00570899j -0.00129484+0.00286643j 0.00155005+0.00386368j -0.00225726-0.00292645j -0.00054637-0.00213645j -0.00575713+0.000934049j -0.00186295+0.00388349j 0.00366335-0.00835603j 0.00279827-0.00214606j -0.00323383-0.00117803j 0.00161685-0.00196751j -0.00413466+0.00286223j 0.000400742-0.00144275j 0.00357876+0.00884983j -0.00230261+0.00666496j 0.00451529+0.00072268j -0.00585694+0.00418732j -0.00248769-1.42972e-05j 0.004465+0.013305j 0.00138171-0.00420465j -0.000776846-0.00930035j 0.00706609+0.0219908j -0.00449814+0.00307537j 0.0049402+0.0193787j 0.0019297+0.0235386j 0.00891302+0.0213136j 0.00538726-0.132167j -0.0182113+0.209108j -0.0231362-0.0695749j -0.00687383+0.00834033j -0.0105515-0.00682382j 0.00204361-0.0498146j -0.00595702-0.0141893j -0.00904856-0.0212449j 0.00379391+0.0199668j -0.00750302+0.0143014j 0.00779065+0.00638592j 
-0.00336734-0.00320579j 0.003173-0.00403621j -0.000739559-0.00205828j 0.00402172-0.00152574j 0.00207305-0.00273226j 0.00183265-0.00174693j 0.00482332+0.0023852j -0.00322206+0.00477785j -0.00147214+0.00103077j 0.00542617-0.00171365j -0.000473511-0.0103829j 0.000942723-0.00314543j 0.00316783-0.000693328j -0.00321033+0.00734871j 0.00106909-0.00383041j -0.000817764+0.00298132j -0.00118375-0.0010631j -0.00103546-0.00141374j -5.66037e-06-0.00445531j 0.00252712+0.00260686j 0.00226359-0.00553667j -0.0015377+0.00439026j 0.000145775-0.000494128j 0.000935473-0.00259174j -0.00209055-0.00957732j -0.00361734+0.00131663j 9.43241e-05-0.00490786j 0.00131046+0.0129859j -0.000477271-0.00332576j -0.00209706+0.00571233j 0.00235543-0.00539813j 0.00142635+0.00282446j -0.000456969+0.0011949j -0.00237993-0.000414406j 0.00338283+0.00456945j -0.00134339-0.00489744j -0.00696304-0.0184437j -0.00292309+0.0161303j -0.0020407-0.0106577j -0.000822549-0.00379844j -0.00121717+0.0160787j -0.000440391-0.0149246j 0.000186914+0.029181j -0.00734084-0.0255932j -0.00826559+0.192964j 0.0211467-0.0772955j -0.00995829-0.115528j 0.00843591-0.0590991j 0.0160944-0.00169853j -0.0047595+0.0368466j 0.00900172+0.0105063j -0.00988905+0.0735347j -0.00568622-0.00559751j 0.0074799-0.00517937j -0.00883294-0.00715068j -0.00649547+0.0124142j 
