0.0817025-0j -0.00104002-0j 0.0205318-0j -0.000122568-0j 0.00120359-0j 0.0118403-0j -5.70979e-07-0j 0.0710419-0j -0.000933977-0j -0.00644478-0j -0.000106575-0j 0.00210397-0j -1.02552e-05-0j 8.72121e-05-0j -0.000492249-0j -0.00590699-0j 0.0126456-0j -3.3781e-08-0j 
0.000122568-0j -0.0143517-0j -0.00146476-0j 0.0791512-0j 0.0247547-0j -0.00169819-0j 0.00380592-0j 0.000106575-0j -0.0128883-0j 0.000930224-0j 0.0688235-0j 0.00702427-0j 0.0202937-0j 0.00361259-0j 7.105e-05-0j 0.0008526-0j 6.28e-06-0j 0.00033846-0j 
0.0118403-0j 0.00712943-0j -0.140747-0j 0.00169819-0j -0.025101-0j -0.00115531-0j 1.99015e-05-0j 0.000146543-0j 9.11319e-05-0j -0.000933977-0j 2.10178e-05-0j -0.000414925-0j 3.04423e-06-0j -3.45783e-05-0j -1.01539e-06-0j -1.21847e-05-0j 2.60848e-05-0j 2.01253e-08-0j 
-0.101456-0j 0.0008526-0j 8.70182e-05-0j -0.014644-0j 1.02552e-05-0j -0.00020928-0j 4.68083e-07-0j 8.61591e-06-0j 1.08984e-05-0j 0.00528337-0j 1.2436e-06-0j 1.26924e-07-0j -1.744e-05-0j 1.0577e-08-0j -0.00167999-0j 6.89273e-05-0j 5.07697e-07-0j 3.94182e-10-0j 
1.02552e-05-0j -0.00180748-0j -0.000184475-0j 0.0202937-0j -0.0958734-0j -3.04423e-06-0j -0.0456657-0j 1.26924e-07-0j -2.31041e-05-0j 7.78314e-05-0j 0.000251166-0j 2.56346e-05-0j -0.00111872-0j -0.000408436-0j 8.46162e-08-0j 1.01539e-06-0j 7.47909e-09-0j -7.73151e-05-0j 
-0.0103966-0j -0.00413279-0j -0.000421801-0j 0.143467-0j -0.000151231-0j -0.0692408-0j -1.15365e-05-0j -6.02628e-05-0j 0.00360574-0j 0.000541407-0j 0.000831591-0j 8.48739e-05-0j -0.0175542-0j 1.42196e-05-0j 0.0117505-0j -0.000482103-0j -3.55102e-06-0j 7.9628e-07-0j 
0.000857948-0j 0.00104412-0j -0.0206126-0j -0.00575843-0j 0.173278-0j 0.0115486-0j -0.00027689-0j -0.000724766-0j -0.000910963-0j -6.76759e-05-0j 0.00486453-0j -0.0960339-0j 0.00143438-0j -0.0245675-0j 5.0219e-06-0j 6.02628e-05-0j -0.000129009-0j 2.39228e-05-0j 
0.01029-0j 0.0040904-0j 0.000417475-0j -0.141996-0j 0.00014968-0j -0.0705386-0j 1.14182e-05-0j -6.13924e-05-0j 0.00367332-0j -0.000535854-0j 0.000847179-0j 8.64649e-05-0j -0.0178832-0j 1.44862e-05-0j 0.0119707-0j -0.000491139-0j -3.61758e-06-0j 8.11206e-07-0j 
-0.000849149-0j -0.00103341-0j 0.0204012-0j 0.00569937-0j -0.1715-0j 0.011765-0j 0.00027405-0j -0.000738351-0j -0.000928038-0j 6.69818e-05-0j 0.00495571-0j -0.097834-0j 0.00146127-0j -0.025028-0j 5.11604e-06-0j 6.13924e-05-0j -0.000131428-0j 2.43712e-05-0j 
5.25444e-07-0j -0.000123694-0j -1.26245e-05-0j 0.00209415-0j -0.0202902-0j 1.42196e-05-0j 0.22133-0j -4.43878e-07-0j 0.000107919-0j 3.98784e-06-0j -0.00176907-0j -0.000180554-0j 0.0161602-0j -0.0653855-0j -2.95918e-07-0j -3.55102e-06-0j -2.61557e-08-0j -0.0387062-0j 
0.00042363-0j -0.101634-0j 5.29538e-05-0j 6.11457e-05-0j 6.24066e-06-0j 6.13924e-05-0j 2.84846e-07-0j -0.0721557-0j 0.000465936-0j 0.00321513-0j -0.0104148-0j 5.42638e-06-0j 5.11604e-06-0j 4.52198e-07-0j 0.00024557-0j 0.00294684-0j 2.17055e-05-0j 1.68524e-08-0j 
