0.0560065-0.0754207j -0.0248358+0.0555509j -0.0033647-0.00327451j -0.0311931-0.096763j 0.00557259-0.0149203j 0.00815113-0.0373427j 0.0211589+0.0201719j -0.0544056+0.00217257j 0.023685+0.0469567j -0.0190657-0.0320897j -0.00682683-0.0200746j -0.017315+0.0191445j 0.00306953+0.0134137j -0.0037548-0.027185j -0.00597042+0.00972769j 0.00610664+0.0193452j 0.00648884+0.0118915j -0.0210649+0.00331359j 0.00351878-0.0162589j 0.0103688-0.00419069j 0.0033989-0.026345j 0.0100291+0.00532699j 0.00633358-0.0127141j 0.00879534-0.000979238j -0.00186326-0.0173417j 0.000756771+0.0157533j 0.0109436+0.00162107j 0.00338405+0.0175069j -0.0146966-0.00843069j 0.0206872-0.0121981j 0.0135273+0.00409657j 0.0257731+0.0186577j 0.00913775-0.0170871j -0.00204254+0.00776557j -0.0022731+0.0128296j -0.00657213-0.0228301j 0.00304494+0.011522j 0.0206425+0.00485522j 0.0170526-0.0052946j 0.00298607-0.00387036j -0.0218174-0.0148547j -0.00550673+0.0130337j -0.00278518-0.0119037j -0.0048625+0.0257673j -0.00271142-0.00842048j 0.0165345-0.00280913j 0.00493195-0.0148901j 0.000796473+0.00432395j -0.00820035+0.000801435j -0.00245193+0.00902065j 0.0167845-0.0155642j 0.00786161+0.0110425j 0.0166364+0.0132801j 0.000561688+0.0107416j -0.000507806-0.00116523j 0.00459729-0.00331476j -0.0153242+0.00467314j -0.00108861-0.000628843j -0.0205481+0.00454159j 0.00564553-0.000784417j 0.00604616-0.00316712j 0.0097873+0.0107772j 0.0137095+0.00230493j 0.00964527-0.038133j 0.0259171-0.0194055j -0.0174729+0.00186201j -0.00723216+0.0123259j 0.00393079+0.00438858j 0.00687025-0.00860466j 0.00113154-0.0255925j -0.0111345+0.00438806j -0.0157477+0.00633962j -0.00919608-0.00729761j 0.00298782+0.0101795j 0.0175478-0.00919756j 0.05458-0.0187517j 0.0310333-0.00076734j 0.0522106-0.00178242j 0.0221343+0.0154967j -0.0200914-0.0393262j 0.0028123-0.0825443j 0.0483105-0.00974336j -0.000304336+0.0884327j 0.0126246-0.00843942j 0.122024+0.051706j 0.00827073+0.0236853j 0.0266702-0.0386318j 0.0357099-0.0198414j 0.0348219-0.0753507j -0.101045-0.00247325j -0.0181103+0.0369646j 0.017994+0.0107591j -0.0176809+0.00766379j 0.0079387+0.039193j 0.147138-0.0707963j 0.0117805+0.0397712j -0.1384+0.131699j 
0.0296814-0.0596646j 0.0616261-0.0736323j -0.0111026-0.0836045j 0.0122616-0.0210809j 0.0277092-0.0160392j -0.00528881-0.00153054j -0.01729-0.0296407j -0.0141206-0.0414407j -0.0334897-0.00178437j 0.0414607-0.0124729j -0.00304145+0.0119838j 0.0139543-0.0247664j -0.0119722-0.0119474j -0.0017783-0.0227312j -0.00469103+0.00428704j -0.0137401+0.0142461j -0.0277913-0.00432398j -0.0411418-0.0234113j 0.00855436-0.000981054j -0.00249022+0.0114876j 0.0219976+0.00730866j -0.0163944-0.0136359j 0.00590535+0.00655407j -0.0112217-0.00721873j 0.0146613+0.0113661j -0.00681074+0.0012144j -0.00995544+0.0137413j -0.00905204+0.00201759j 0.011092+0.00135676j -0.00677949+0.0262629j -0.0197581-0.00320049j -0.00180343+0.0131734j 0.0146393+0.00297132j 0.0181642+0.0200396j 0.0036877+0.0010157j 0.0227242-0.00356935j -0.0121247+0.0156375j -0.00066119+0.00456096j -0.0188172-0.01259j 0.00640818+0.00956933j 0.0117401+0.00125515j -0.0116396-0.00630746j 0.00571985+0.0074981j -0.022055+0.0108114j -0.00460321-0.00132034j -0.00241903+0.00146055j 0.00259064+0.0124566j -0.00356855+0.00147007j 0.00878527+0.0166713j -0.0135777-0.0238463j 0.0106034-3.942e-05j -0.0113948-0.00549108j -0.0110168-0.00534095j -0.00273574-0.00275895j -0.000367323+0.000643699j -0.00177306+0.0128473j -0.022599-0.000306716j -0.0234095-0.00476461j -0.00432721-0.0184856j -0.0111194-0.00759037j 0.00851419+0.00936523j 0.00649322+0.00632066j 0.00675331+0.0137858j 0.0196851+0.00871897j 0.0143549+0.0201321j -0.0237264-0.0227617j -0.0242181-0.00557117j 0.0160469+0.0106596j 0.0177262+0.000256562j 0.0167481-0.0305482j 0.00127662+0.0106028j -0.00794179+0.0221848j -0.034981+0.0226059j -0.0177019-0.0198761j 0.00557085+0.00344828j 0.0259115+0.0192792j -0.0148953+0.0440654j -0.0078101+0.0379308j -0.0253887+0.0333418j 0.0322557-0.0507779j 0.057995+0.0272737j 0.0286654+0.0529364j -0.0762485-0.0367632j 0.0545362+0.0329984j -0.0311529+0.0833524j 0.0192049+0.0066544j 0.00337705+0.0418495j 0.00676848+0.0342799j 0.136876+0.0110482j 0.0500091-0.0735722j -0.0207759+0.0544917j 0.0136686-0.00189577j 0.0163801+0.0197015j -0.119501+0.0414195j 0.0441515+0.086251j -0.123637+0.113604j -0.0317484-0.0569752j 
-0.00524846+0.010463j -0.113371+0.0278008j -0.0466082+0.0131905j -0.0485654+0.015396j -0.0411134+0.0285768j 0.00386868+0.0287309j -0.018925-0.0714062j -0.0062558+0.0588304j 0.0454395+0.026803j -0.000333227+0.0466542j -0.00456466-0.00301565j 0.025221+0.0368482j -0.0298498-0.0153297j -0.0320891+0.0161978j 0.0183676+0.00134843j 0.004886-0.0192703j -0.0212604-0.0303885j -0.000175978-0.00372754j 0.00655454-0.00359575j -0.0101054-0.00786408j -0.0079042+0.00237658j -0.0337998-0.0188552j 0.0125074+0.0204085j -0.00640705-0.0267237j 0.000134362+0.0206697j -0.0022145+0.00274746j -0.0147771-0.0179945j 0.0141307+0.00317309j 0.0222826-0.0182993j 0.00308407-0.00428979j -0.0245741-0.022752j -0.0108447+0.0204589j -0.0141384+0.0270021j -0.0159093-0.0123673j 0.00230841+0.0237665j -0.0301485+0.0246213j 0.00472679-0.00128164j -0.0236208-0.00834482j -0.0191372-0.0171874j -0.0191258+0.0176318j 0.0202533+0.0294648j -0.0279058-0.000869499j -0.00689446+0.00567866j 0.015364-0.0226101j 0.0161803+0.00692597j -0.00195224-0.000820736j -0.0101487+0.00163139j 0.0273787-0.0377606j -0.00739912+0.040411j 0.011047+1.53672e-05j -0.0124914-0.0255369j 0.0195496-0.00140912j 0.0106885-0.0120659j 0.00787856+0.00177822j 0.0137373+0.0111153j -0.0186233-0.0288741j -0.0455764+0.00319521j -0.00279154-0.0388668j 0.00467942+0.0161976j 0.015733+0.0256238j -0.00697571-0.0291316j -0.0247713-0.0462164j -0.0177939-0.00959125j -0.00632617+0.0408788j -0.024735-0.0141712j 0.0273053-0.00578073j 0.00742521-0.0164731j -0.00725841-0.0161749j -0.0501359-0.0339446j 0.0163825+0.0314881j -0.0126797-0.00290063j -0.0215443-0.0344121j -0.0259143+0.0545667j 0.0204301+0.0529634j -0.0347404-0.00112211j 0.0194083-0.037784j -0.0729505-0.0205905j 0.00417239+0.0643377j 0.023865+0.031828j 0.0164432-0.0410398j 0.00997729+0.0102775j 0.071146+0.0306042j -0.0381596+0.00122799j -0.048949-0.0378529j 0.0582019-0.0546695j -0.0100172+0.0200169j 0.0248971-0.0542157j -0.0222986-0.0251914j -0.013136-0.0393316j -0.0290909-0.025421j -0.0989138+0.124758j 0.0157108-0.00854404j -0.00698434+0.0160642j 0.00370161+0.0572532j -0.0628775+0.148323j 0.23473+0.270852j 0.158329-0.136084j 
-0.10209+0.00408094j 0.0345393+0.017832j 0.0493789+0.0500861j 0.0389539-0.0238553j 0.00925992-0.0271444j -0.0314801-0.000476747j -0.0078877+0.0675294j 0.0297422+0.003158j 0.0197263-0.0247324j 0.00103075+0.0240037j 0.00305102+0.0183704j 0.0181332+0.00973225j -0.00209986-0.00456623j 0.0159658+0.00466853j -0.0319193+0.0140833j 0.00108503-0.02897j 0.0075214+0.00686085j 0.012207-0.0305898j -0.0205339+0.00630138j 0.0140039+0.0157048j -0.0112123+0.0299624j -0.00876207+0.0311126j -0.00376043-0.00560658j 0.00319635+0.0191834j 0.00842075+0.00879967j -0.00963856-0.00492244j -0.0237258-0.0141387j 0.00776977-0.0185741j 0.0043674+0.0070279j -0.0172115+0.0171379j -0.00789852+0.0140661j 0.00769107-0.0194368j 0.0258756-0.0135736j -0.0095671+0.00630381j -0.0277312-0.0194409j -0.00404704+0.0125647j -0.00273664-0.0115457j -0.00379373+0.000705365j 0.0109009+0.0199694j 0.0169532-0.00310984j -0.00128231+0.0152015j -0.00668785+0.0225305j 0.00806726+0.00904887j -0.0172374-0.00400899j 0.00217407-0.0139048j -0.00746375-0.00382025j 0.00593269+0.0298212j -0.0242362-0.0143332j 0.0190179-0.0153473j 0.0401105-0.00512753j -0.00627219+0.00853151j 0.00408878-0.012673j 0.00347168+0.0201312j -0.0140691-0.0137085j -0.0397827-0.0190542j -0.00907253+0.0365645j -0.027682+0.0194365j -0.0277749-0.00448027j 0.032287-0.00232081j -0.0202794-0.033903j -0.00237568+0.0276108j -0.0337158-0.00180446j -0.0274812-0.00473222j 0.0300232+0.0408388j 0.00316379+0.0347646j 0.031847-0.0014285j 0.00740463-0.0102155j -0.0210211-0.0143818j -0.023183+0.0202261j 0.0159565-0.00452644j -0.0124013-0.0309382j -0.0442825+0.00593096j 0.0266402+0.0311593j 0.031+0.0229085j -0.0201504+0.0212813j -0.045154-0.0148975j -0.0650758+0.0276723j 0.0709433-0.018929j 0.00511529-0.064684j -0.077829+0.0191819j 0.00710873+0.00542326j 0.0125458-0.0326587j -0.0248374+0.0314699j -0.00694999+0.123168j -0.0765288-0.0153149j -0.0226617+0.0291259j -0.0029735-0.0983305j 0.0241474-0.0294947j -0.0343054-0.038452j 0.0206068+0.109623j 0.0576583+0.0980495j 0.0149438-0.0216478j -0.0113364+0.0222631j 0.0598503+0.0131731j 0.15515+0.0981153j -0.154509+0.0793462j 0.200331+0.272155j 
-0.0278594+0.0262779j -0.0135709-0.0148523j -0.0336432+0.0252503j -0.0251433+0.0849907j 0.0340363-0.0470552j 0.0022001-0.0108253j 0.00537672-0.0569145j 0.0283052+0.0197062j -0.000266259-0.0437964j -0.0134782-0.0294425j 0.0170749+0.0377305j 0.0296512-0.0161938j 0.0137953-0.00361224j -0.0244142+0.0391946j 0.0381161+0.0387986j -0.0199136-0.00711963j 0.0497256-0.0387425j -0.0103527-0.0220063j -0.0365879+0.0210591j -0.0180655-0.0054604j 0.0131034+0.0379317j 0.0157667-0.0526259j -0.0402792-0.0129855j 0.000442838-0.0126393j -0.0072282+0.0158649j -0.00923316+0.0239491j 0.0183714+0.0292922j -0.027042+0.0174528j -0.00113393-0.0160769j -0.0183755+0.0296014j -0.0132449+0.01294j -0.00656578+0.000471688j -0.0163924+0.00259446j 0.0154409+0.0309399j -0.0242946-0.0102486j -0.000856312-0.00295499j -0.0211633-0.000534455j -0.00605641-0.012858j -0.004315-0.0221909j -0.015751+0.0028866j 0.0250848+0.00379293j 0.0512475-0.0336263j 0.0257138+0.0256653j 0.0284738+0.0409129j -0.0168236-0.0123768j -0.00732879-0.0453311j 0.0241623-0.00403719j -0.00814578+0.0255045j -0.033367+0.0165369j 0.0118868-0.000677682j -0.012751+0.0301766j -0.0153027+0.00571769j -0.0427728-0.044897j -0.00251019+0.0218472j -0.0191856+0.0254651j 0.0103665-0.0174827j 0.0156151-0.0186678j 0.00706861-0.00593788j -0.00867203-0.0154856j -0.0174247-0.00787769j -0.0165295-0.00942499j 0.0366561+0.00765727j 0.0137443+0.0177006j -0.00872971+0.0064731j -0.0243134-0.00724567j -0.0347669-0.00339975j -0.0131095+0.0248277j 0.00901654+0.000260368j -0.0411891+0.0388063j -0.0107448-0.00347229j -0.0392751-0.0499357j -0.0305502+0.0119428j 0.0174781-0.0285764j 0.0463231+0.0187518j -0.0345425+0.0154239j -0.0344963+0.0104773j 0.00735631+0.0376844j -0.050434+0.0438119j -0.00397486+0.0885566j 0.0600849+0.0406846j -0.0664275+0.053376j -0.0173843+0.00683488j -0.101879+0.0175469j 0.0240387+0.0271543j -0.0209597-0.0300778j -0.0395507-0.0473561j -0.0531647+0.0903725j 0.0458809-0.0528304j -0.00296772+0.0615655j 0.0724331-0.0395724j 0.0029935-0.0298186j -0.04242-0.0388376j -0.0334962+0.114455j 0.0140473+0.0800294j -0.0416148+0.0540701j 0.0422034+0.0148505j -0.0243336-0.110473j 
0.0311509+0.0187352j -0.0464377+0.0129587j -0.0409488+0.0367039j -0.000422321-0.0131908j -0.00505887-0.0405065j -0.0428292+0.0643313j 0.00940657+0.019146j -0.0144396-0.0163032j 0.0360167+0.0278956j -0.0290511-0.0170158j 0.0139996+0.0610962j -0.00529304+0.0139258j -0.00345282+0.0206073j -0.0399137+0.0224689j -0.0200433+0.00584641j -0.0137413-0.00470121j 0.0403402+0.0386482j 0.0416177+0.014367j -0.0113817-0.00569044j 0.0104231+0.00667531j -0.0368668+0.0084199j 0.00839121+0.0393747j 0.0172972-0.0447898j 0.020441+0.0280476j -0.00514003+0.0103551j -0.00529209+0.013551j -0.0113609+0.00764121j -0.0177401-0.0160954j 0.0103129+0.0321668j -0.0254543+0.00418611j 0.0296073+0.00456091j 0.0200854+0.00521003j 0.0120176-0.0303124j 0.00183571-0.028791j 0.0033892+0.0290983j -0.0217878-0.0112005j -0.00250584-0.0256984j 0.0121823-0.0405286j 0.0141578+0.022186j -0.00565896-0.023345j -0.0053454+0.0130363j 0.00884627+0.0232838j 0.00625087-0.00633732j 0.0151978-0.0101999j 0.0113483-0.0219097j 0.0258011-0.00532337j 0.0217426+0.0163234j 0.00358083-0.0100162j 0.0124503-0.0178193j 0.00834598+0.0260388j -0.0478536+0.000494006j -0.0110241-0.0125113j -0.028009-0.0446465j -0.0243743-0.031419j -0.0141178+8.25113e-05j -0.0227625+0.00800413j 0.0161728+0.0260184j 0.00815319+0.0156536j -0.0152127-0.0248353j 0.0394046-0.00620522j -0.010717-0.0403531j -0.0105222+0.0167712j 0.0205265+0.0116539j -0.000722168-0.000592702j 0.0116508-0.00293004j 0.0152857-0.0184463j 0.0311549+0.0269795j -0.0159612+0.0286403j -0.0262815+0.00530263j -0.0218248-0.0236975j 0.0268743-0.0380594j -0.00632346-0.0296029j 0.0535872+0.0130926j -0.0235409+0.0208456j -0.000235941-0.0283207j -0.00695592+0.0149849j -0.0310757-0.043684j -0.0274716-0.0158485j -0.110253+0.00218573j -0.0462364+0.089241j -0.0315229-0.0210196j 0.0232145-0.0687741j -0.00304675-0.071392j -0.0590611-0.0113383j 0.00638987+0.0223675j 0.0824693-0.0707164j -0.0144619+0.000583323j 0.0733041+0.0153187j -0.0835236+0.0306222j -0.00837554+0.0445082j 0.00997175-0.0863936j 0.0336219-0.0960693j -0.0626585-0.0584026j -0.0231928-0.0211376j -0.0592247-0.00459248j -0.0074883-0.1123j -0.0768866-0.0639059j 
-0.00245471-0.0694834j -0.0285633+0.014635j 0.0514728+0.0218188j 0.0482412-0.069318j 0.0191727-0.01734j 0.00957177-0.0430389j -0.050963+0.0234803j -0.0248371+0.0452675j 0.0213606-0.039022j 0.0151389+0.0134158j -0.0257496-0.0152399j -0.0393753+0.018919j -0.0445109+0.0501633j -0.0111607+0.0197439j -0.00235107+0.0304034j 0.0323362-0.0500106j -0.0222534+0.0231105j -0.000841709-0.0337916j -0.026776-0.0112051j 0.0234131+0.0270699j 0.0417236+0.0166205j -0.0173237-0.0172226j -0.0188338+0.0162058j -0.0223067-0.029317j 0.0473182-0.0283661j 0.0232974-0.00812141j -0.0140715-0.0262444j 0.0272058+0.00086447j 0.0064796-0.0146985j -0.0032303-0.00892147j -0.0347413+0.0216132j 0.0120573+0.0100064j 0.0383806+0.00330024j -0.0236527+0.0100278j 0.0240694-0.0343978j -0.00137951+0.0150457j 0.0389498+0.0235496j -0.0288684-0.0109282j -0.0206721-0.000557033j 0.0117019-0.00750921j -0.00550196+0.0532736j 0.00369461+0.0543294j -0.0150086+0.011141j -0.00448645+0.00274979j -0.0242356-0.0189595j -0.0231629+0.0202708j 0.00466489+0.0241337j -0.0328886-0.0238098j 0.00834704-0.0138586j 0.0153395-0.0197752j 0.0531746-0.0333108j 0.0184551-0.0106378j -0.0294044+0.0516825j 0.020307+0.000791582j 0.0418717-0.0267199j 0.010753-0.0176644j 0.0447538+0.0131465j 0.0123549-0.0353244j -0.00275863+0.0229138j 0.0239437-0.0208018j -0.0420205-0.0156213j -0.0224149-0.00186667j -0.00839878-0.020305j 0.00398883-0.0169107j 0.054377-0.0435161j 0.0119203+0.0402415j 0.0336962+0.0231433j 0.0391251-0.0543237j -0.0146476+0.00614058j 0.00055069-0.0328789j -0.0555992+0.0652265j 0.0245258-0.0116397j -0.0397312+0.0415257j 0.0304292+0.0278795j -0.040783-0.0424538j 0.0357169-0.106895j 0.00856611+0.0169013j 0.0587081-0.021609j 0.0233748+0.0380437j 0.0335078-0.0153998j -0.0130422+0.00990209j -0.0114939+0.0310929j -0.0120943-0.0176542j -0.0929135-0.0310144j -0.03138-0.0315346j 0.00769331+0.00575174j 0.0110745+0.041873j 0.0417216-0.0189564j 0.089518+0.0120836j 0.0059188-0.0308094j -0.0639331-0.0368704j -0.00180379+0.0139169j -0.0484773+0.00392423j -0.27967-0.166275j 0.182298-0.222704j 0.0531517+0.105439j -0.042273+0.0521778j 
-0.0942776-0.0367221j 0.0112893-0.0265957j 0.0419218+0.00387853j -0.009045+0.00405966j -0.00228616+0.00968411j -0.0604654+0.0183679j 0.0322126-0.056652j 0.02399+0.026739j 0.0072113+0.0493681j 0.00226118+0.0447907j -0.0133962+0.0174315j 0.0441936-0.0118451j 0.03755-0.0310964j 0.00277982-0.0312021j -0.046613+0.00479598j -0.0106892-0.0119718j 0.0389842-0.0589124j 0.0542567-0.0632661j -0.00874301-0.0547228j 0.0083118+0.0150231j -0.0276958+0.00457035j -0.0199969+0.0220369j 0.058582+0.0208718j 0.035374-0.00224511j -0.0445285+0.020844j -0.0512537+0.0257653j -0.0167936-0.014476j 0.0208438+0.0321982j 0.00343063-0.0316585j -0.0197448+0.0475683j 0.00973397+0.000305791j 0.0475575+0.0524235j -0.00326671+0.0150042j 0.0207753+0.0183284j -0.00898847+0.00808573j 0.0214164-0.00841244j -0.0217027+0.00861526j -0.00865683+0.0330831j 0.0467332-0.0106984j -0.0447558+0.0660219j 0.0292284-0.02059j -0.00358067-0.0292018j -0.00887944-0.0195934j -0.00564716+0.0059528j 0.0234142-0.0132109j 0.0215598-0.0228648j 0.000773771+0.042473j 0.0161216-0.0652316j -0.0170879+0.00576599j 0.00488287+0.0444277j -0.0536033+0.0337159j -0.0126791+0.0051744j 0.0129426+0.0316481j -0.031773+0.00119352j -0.0600183+0.0188905j -0.019662+0.0240132j 0.0397057-0.00197505j 0.0167148-0.0429671j 0.0266412+0.019722j 0.0184208-0.042788j 0.00217556+0.0381671j -0.0485136-0.0141492j 0.00303362-0.0353293j 0.0486942-0.00476233j -0.049121+0.0360145j -0.0293938+0.0271902j -0.0174818-0.0145235j -0.0428359+0.00551466j 0.00794553-0.0209332j -0.0139955+0.0150688j -0.0397894-0.0507096j -0.0249599+0.00125034j 0.0658015-0.00544923j -0.0599446+0.0188478j -0.0383739-0.0447914j -0.04931+0.0355776j -0.0145322+0.0797861j -0.0159473+0.138591j 0.0117153+0.0226822j 0.0181733-0.0493525j -0.0201625-0.0128805j 0.0346491-0.0237617j 0.0409442+0.00370745j -0.092804-0.0728075j -0.018191-0.0344484j -0.0140248+0.0163125j 0.0132437+0.0224221j -0.0232468+0.00932284j -0.094454+0.00404976j -0.0767408+0.0267508j -0.0214863+0.0214696j -0.030957+0.0555414j -0.0774739-0.0420207j -0.0953818-0.123831j 0.00906212+0.114507j 0.0439352+0.108602j 0.132478-0.0429422j 
0.0441798-0.0140249j 0.0686829-0.0234681j 0.022908-0.0368327j 0.0286483+0.0186714j 0.0388689-0.0209681j 0.0151112+0.0130345j -0.0339778-0.0335091j -0.0640095+0.0317527j -0.0335991-0.00982893j 0.0112189-0.0139147j -0.0211317+0.0337594j -0.0593348+0.0260297j -0.0815792-0.0243021j 0.00428906-0.000803138j 0.0308282+0.024269j -0.00468861-0.0281149j -0.00501104-0.0209278j -0.0388608+0.0186648j 0.000209855-0.0218156j -0.0206087-0.0048398j -0.00479845-0.00792258j 0.0508693+0.00654396j -0.00935071-0.03262j -0.00119192-0.0107578j 0.0416977+0.0341555j 0.0181479+0.0108794j 0.0185565+0.00364231j -0.0652624+0.000490625j -0.00754357-0.027331j 0.0178405-0.0250402j -0.0341098-0.0211199j -0.0414016+0.0102709j -0.0300123+0.0333825j 0.0256176-0.0295569j -0.00531638-0.0376387j -0.010309-0.0541543j -0.0136312+0.0233459j -0.0169125-0.00682053j -0.0165549-0.0501348j 0.0355584+0.00197214j -0.030013+0.0251758j 0.0118761-0.0362983j 0.00214452-0.00686064j -0.0132828-0.030403j 0.0122266-0.0117516j -0.0131579-0.0428737j 0.00412203+0.010692j -0.0613892+0.000539908j -0.0324007+0.00239482j 0.0422627+0.0415405j -0.0533377+0.0660078j -0.0124972+0.042377j -0.0276208-0.0303591j 0.0139878+0.00720392j 0.0379806+0.0572295j 0.0341023-0.0101085j 0.0323279-0.00078222j -0.0405108-0.0347671j 0.00397723+0.0247782j -0.00354172+0.0146755j 0.0278675-0.00518813j 0.0117273-0.0488748j -0.01592-0.0155757j -0.0322758-0.0298809j 0.0375915+0.020028j 0.00775589+0.0281758j -0.0330294+0.0221243j 0.0719465+0.00584727j -0.00323071-0.00217579j 0.0223463+0.00245691j -0.0683582+0.0358664j -0.00193569+0.0330313j -0.0311426+0.00928304j -0.0902287+0.121345j 0.0330966+0.0129015j 0.0703333+0.0284482j 0.0326887-0.00354844j 0.0394594+0.124638j -0.0529004+0.0351129j -0.0247646-0.0577918j -0.00168784+0.00286288j -0.0820176-0.0457679j 0.00769617-0.00191705j 0.0194994-0.0341615j -0.114121-0.0416103j 0.028991-0.0299899j -0.0309187+0.0321839j 0.0177485+0.0296752j -0.00046262+0.0419531j 0.144208+0.0505406j 0.144073+0.0618104j 0.0202954-0.0259212j 0.0801112+0.0369453j -0.0787169+0.201514j -0.0560195+0.033849j -0.123785+0.0645451j -0.00785501-0.0103206j 
0.0246411+0.0189593j -0.0344479-0.0281547j -0.0337463-0.0166748j -0.00919985+0.0231162j -0.0704624+0.00700078j -0.0778163+0.023401j -0.0408168-0.0593948j -0.00463611-0.0117214j 0.0394369-0.0126802j 0.0147124-0.0271772j -0.0961529-0.0306933j -0.0118926-0.0495765j -0.0262402+0.0960428j -0.0912995-0.0159612j 0.0111445+0.0479866j -0.0111904-0.0316824j -0.00460733-0.0231098j 0.0808435+0.0209589j 0.0297011-0.0186432j -0.0154496+0.0311224j 0.0201172-0.0215417j -0.054065-0.102156j 0.0360996+0.0626967j -0.0110805-0.0826847j -0.0432191-0.0316379j -0.0139869-0.00556517j -0.0671189+0.024902j 0.072744+0.0746291j 0.0171669-0.0130522j -0.0107229+0.0264479j 0.00364841-0.0404571j 0.0696749+0.10474j -0.0167086+0.0150661j -0.01721-0.0106701j 0.0254152+0.0132951j 0.00158336+0.0201462j 0.0078358+0.0123824j -0.0328976+0.0212382j 0.0175999-0.0193251j -0.0322201-0.035139j 0.00168627+0.0325912j -0.000592689+0.00978154j -0.00798442-0.0446547j -0.00562581-0.0258061j -0.0155867+0.00182526j 0.053982+0.00956992j 0.0219717+0.0547076j 0.0233644-0.0302064j -0.0385486+0.0197618j -0.0243497+0.00967273j 0.0361531-0.027982j -0.00977114+0.00995958j -0.00583171+0.000376492j -0.0291381-0.0333663j 0.00663877+0.0525921j -0.0211311-0.0122471j -0.014982+0.00503493j 0.0426276-0.0568739j -0.0306085-0.0266195j 0.0263113+0.0240306j -0.0117553-0.0336471j -0.013783-0.0315978j -0.0160361-0.014217j -0.0217115-0.0272697j -0.100202-0.0542685j 0.00139013+0.00394429j -0.0236068+0.0106223j 0.0111177-0.027037j -0.0783655-0.0273473j 0.0341457+0.0482427j -0.0453491-0.0429537j 0.0118273-0.0900991j 0.0309915-0.0226433j 0.0362976+0.0296264j 0.0652275-0.0200481j 0.00712245+0.00550407j -0.089604+0.0462186j -0.0219579+0.0145331j -0.0242411-0.00471187j 0.0162702-0.0994125j 0.0322569+0.0200089j 0.00829767+0.121951j 0.0231915+0.0584866j -0.0399714-0.0289687j 0.00863331-0.0509487j 0.00745405-0.0169664j -0.00835477+0.0496516j -0.0230024-0.100449j 0.00782103+0.0353845j -0.00314637-0.0407002j 0.0889267+0.044631j 0.25261+0.170672j -0.0348485+0.196122j -0.0166934-0.00908577j -0.0202329-0.00639606j 0.028138+0.0281403j 0.0290938-0.0298261j 
-0.00884183+0.0124023j 0.0295187+0.0360492j -0.0456108-0.032279j 0.0218885-0.00266533j 0.0467572+0.0145181j -0.0131104+0.0340491j -0.0114953+0.0400717j 0.0081431-0.00910393j 0.00433499-0.00750512j 0.00845116+0.0685538j 0.0674892+0.0558973j 0.0372609+0.0161812j -0.00432013-0.0169109j -0.0198605-0.00294473j 0.0401764+0.0352476j 0.00451545-0.00255442j -0.0139429+0.0140763j -0.0875371-0.0703016j -0.0911534-0.0151959j 0.0434417+0.0329572j 0.0589041+0.0806201j -0.00705493-0.0115563j 0.037745+0.0437376j -0.0262196-0.0135623j 0.00962253+0.0153861j -0.0603882-0.0101398j -0.0641331-0.0344426j 0.0595431+0.0598984j -0.0359986-0.0247959j -0.00881972+0.0740316j 0.0183713-0.0207275j -0.0214485-0.0135936j -0.0115561-0.0838047j 0.00442717+0.0231967j -0.0323956+0.0447775j -0.0212279+0.000852973j -0.0367895-0.00566591j 0.0335105-0.0241263j -0.00449217+0.0144296j 0.007798+0.0164847j 0.0346654+0.057018j 0.0339415+0.0231069j -0.00909992+0.0145719j -0.00697713+0.0141112j -0.0464985-0.0032918j -0.0542905+0.0525057j -0.00483935-0.00822248j 0.0140733+0.017334j -0.00835403+0.0845034j 0.0765714+0.044686j 0.0239293-0.0323917j 0.0338266+0.0126391j 0.0428844+0.0338876j -0.016815-0.0282039j -0.0231502-0.0146323j 0.0886579+0.0528181j -0.0649276-0.101048j -0.0442631-0.0649543j 0.0404541+0.0146305j -0.0742879-0.076746j 0.0801555+0.0368108j 0.0101304+0.00824768j -0.00698944-0.023798j 0.0224978+0.0143138j 0.000516866+0.0366652j -0.00931112+0.00499031j 0.0151127-0.0300124j -0.0307491-0.0832673j -0.019351-0.065788j -0.00137597+0.031182j -0.0393698-0.0347001j 0.0358597-0.0425569j 0.0161193+0.0415194j 0.0380182+0.108879j -0.029373+0.0175048j -0.0620602-0.0485676j 0.0542101+0.0929587j -0.00306759-0.0293761j -0.110297-0.0887283j -0.0538888-0.0510092j 0.0781749+0.0183238j 0.0490708+0.045953j -0.0617302+0.0987149j -0.00338702+0.0820385j -0.0460531+0.0205601j 0.0544412+0.00464204j 0.0831311-0.0138302j -0.0777505-0.138801j -0.0617588+0.00363258j 0.0365143-0.0277941j -0.0766328-0.0300236j 0.0568056+0.0702817j -0.104792-0.0437582j 0.142848+0.0459392j 0.112863+0.217158j -0.0595517+0.0177491j 0.0520584+0.0835967j 
