-0.0116308+0.0222912j -0.00169609-0.0448223j 0.00319707-0.00666616j 1.75604e-05+0.0382031j -0.0105411-0.0314484j 0.00222127+0.00616188j 0.000179507+0.007826j -0.00600597-0.0128098j -0.0027105-0.0114047j -0.00318066+0.00598101j 0.0119782+0.0180894j -0.00619747-0.0150345j 0.0059861-0.00122238j -0.00844085-0.015918j -0.00205931+0.0015552j 
-0.0324608-0.0191451j 0.0632937+0.00553248j 0.00159371-0.00137621j -0.0212194-0.000609701j 0.0255726-0.00475436j 0.00221904+0.00617547j -0.00038583+0.00403072j 0.00264146-0.000628648j -0.00313819-0.00634784j 0.0111706+0.00848203j -0.0111538+0.00222737j 0.00587696-0.00336524j -0.00732179+0.00098218j -0.00557283-0.00676048j -0.00289029+0.00113527j 
0.00893296-0.0120452j -0.00471983+0.0236051j 0.00892925-0.00506025j -0.0171937+0.0196808j 0.00850775-0.0238832j -0.00489733+0.00278747j -0.0107235-0.000325451j -0.0158747-0.00107507j 0.0175402-0.0109455j -0.037872+0.0199795j 0.0187183-0.0102065j 0.000414935+0.000607339j 0.0143896-0.01632j 0.018506-0.0181358j -0.000746062-0.00436254j 
0.00998953-0.0255445j 0.00201525+0.046787j -0.00177785-0.012296j 0.0228288+0.0184397j -0.0340573+0.00278339j -0.00720112+0.00472285j -0.00239597+0.00803676j 0.0132083-0.00751629j -0.0018733-0.0124359j 0.00711224+0.0105313j -0.0123421+0.012876j 0.00380619-0.0106579j -0.00317591+0.000787289j -0.00395706-0.0174819j -0.00138766-1.45421e-05j 
-0.00101556-0.01489j 0.00689439+0.0229248j 0.00152051-0.00216152j 0.00399953-0.00243204j 0.0143047+0.0170547j 0.0036521+0.0135441j 0.0064835+0.00358242j -0.0230131-0.0304564j -0.0039904-0.00444239j -0.0163797-0.00690693j 0.0399666+0.0233124j -0.0198037-0.0104209j 0.0165599-0.00122021j -0.0133373-0.00604665j -0.00103029+0.00153161j 
-0.0260446+6.34127e-05j 0.0502266-0.0154741j -0.0196301-0.00640248j 0.0327324-0.00249537j -0.0316637+0.00568139j -0.00145308-0.00720244j -0.0040463-0.00676315j -0.00781842+0.00509052j 0.00459768+0.00566854j -0.0181247-0.00234092j 0.0110648-0.00793042j -0.00153695+0.00591017j 0.0116973-0.00554544j 0.0132081+0.00515509j 0.00628567-0.00424704j 
0.000778721-0.0128454j 0.00680392+0.0330596j 0.0055046-0.0153417j -0.00175792+0.0227054j -0.00082412-0.0367288j 0.011688-0.0114312j 0.00904422-0.0112853j -0.00126222+0.0107242j -0.00787221+0.0167972j 0.0132392-0.026303j -0.00373866-0.00670124j -0.0016806+0.0110754j -0.00240897+0.0153961j -0.00233218+0.0327421j 0.00670343+0.00755087j 
