-5.65727e-05-0.00668461j -0.0123406-0.00256942j 0.00601322-0.00885854j -0.000868381+0.000851161j -0.00875635+0.0507304j 0.00941286-0.00338093j -0.00659706-0.0503701j 0.00162043-0.000995743j -0.010153-0.00673386j -0.00628629+0.00470452j 0.00195418+0.00386242j 
0.000372714+0.00930085j 0.0267823+0.002524j 0.00413132+0.00160079j 0.00662832-0.00737659j 0.00969522+0.0134173j -0.0338823+0.0190953j -0.000220121-0.0120828j -0.00858548+0.00946698j 0.0151842-0.00479024j 0.00101598-0.012692j -0.00816356+0.00343445j 
-0.00798657+0.000211058j 0.000672213+0.0256953j -0.00104284+0.000647331j 0.0067189+0.00975912j -0.00550884+0.00806414j -0.0212613-0.0380346j 0.00666835+0.0029442j -0.0103174-0.0100152j 0.00527123+0.0120324j 0.0131082+0.00633229j -0.00180394-0.00690902j 
0.00533963+0.00589808j 0.011639+0.00690638j 0.0124312-0.000472448j -0.0185059+0.00219919j 0.00518218+0.00442617j 0.0169915-0.0132946j 0.00193975+0.00228237j 0.00977712-0.00613061j 0.0187951-0.00524569j -0.0178428+0.0081962j -0.00258992+0.00680082j 
0.00934446-0.00127264j 0.0103059-0.0154934j 0.0191191-0.00276008j 0.0153322+0.0145771j -0.00508044-0.00766111j -0.0105113-0.00750187j -0.0088586+0.00322786j -0.0222382-0.00313688j -0.00429708-0.0139594j -0.0111911+0.0185211j 0.00277226+0.00945201j 
-0.00775041+0.00287204j -0.0140204+0.0180859j 0.014339+0.005762j 0.0151703-0.025695j -0.0130802+0.0132611j 0.00629756+0.0056564j -0.00999757+0.0143672j -0.00962299+0.0220977j 0.00219194+0.0314276j -0.0074428-0.00278564j -0.00390607-0.00163628j 
-0.00387377+7.34367e-05j -0.00981279-0.00237694j -0.00221675+0.0288403j 0.0154656+0.0174746j -0.0112942-0.0117852j 0.00268191+0.00364217j -0.0151811-0.0150852j -0.0179496-0.0190367j -0.0189418+0.0059021j -0.0115043-0.0187782j -0.00655609-0.00264796j 
-0.0040025+0.0112034j 0.0125193+0.0179696j -0.00433694+0.0225724j -0.0152533+0.00494355j 0.00724982-0.00186376j 0.00506099-0.00130453j 0.000702769-0.00866722j 0.00813148-0.0161921j 0.0161752+0.00540121j -0.012526-0.0230952j -0.0123688-0.00184538j 
0.00668652+0.00632516j 0.0113375+0.000277252j 0.0261925+0.00487969j 0.00280924-0.000713535j -0.00355653+0.00425028j 0.0080009-0.00269923j -0.010787+0.00408145j -0.0111095+0.00264907j 0.0114619-0.000657692j -0.0262529+0.00945523j -0.00402812+0.0108758j 
