-0.015112+1.65128e-05j -0.00712107+0.0274257j 0.0120211+0.0111583j -0.0158701-0.0372445j 0.0144707+0.0132214j 0.0127162-0.000299603j -0.00459444-0.00243908j 
0.00184427+0.00870592j 0.0252349+0.000568045j 0.013952-0.00874118j -0.0408066+0.0196108j 0.0145917-0.0111706j 0.00647219-0.0123665j -0.00279728+0.000599072j 
0.017739-0.00504514j 0.0140509-0.00978157j -0.00748108+0.0240997j -0.0148834-0.0144157j -0.0032285+0.00546219j 0.00553253+0.0213994j 0.0071558-0.00669118j 
-0.00649647-0.0264802j -0.0256419-0.0284084j 0.0272197+0.0152072j -0.00280604+0.0132764j -0.00499475-0.00134834j 0.0313142+0.00607501j -0.000601437-0.00591392j 
0.0139553-0.00879053j 0.0197694-0.0182249j -0.0134698+0.0225014j -0.0021595-0.00100451j 0.0125227-0.00674644j -0.0131993+0.0209014j -0.0044659+0.00301131j 
0.00869461-0.00313178j -0.00265627+0.00855499j -0.00362348-0.00505874j -0.00107705+0.00731851j -0.00736215+0.0252365j 0.00358381-0.0185868j -0.00232629-0.0187744j 
-0.0007307+0.0112481j 0.0041691+0.00154902j 0.025346-0.0133261j -0.00153644-0.00763971j -0.0262748+0.00289402j 0.00374209+0.015967j 0.0110185+0.013215j 
0.000761335-0.0180689j 0.00661056-0.0115491j 0.00519808-0.0221541j 0.00848163+0.00316369j 0.0272778+0.0379214j -0.00359032+0.0054221j -0.0126993+0.0024594j 
-0.00926053-0.00435759j -0.00198797+0.00680945j 0.0117473+0.0132611j 0.00446868+0.00322387j 0.00420628-0.00777952j -0.0110514-0.00693243j -0.0154949+0.00278707j 
0.000624088+0.00701337j -0.00964823-0.00857753j -0.0309039-0.0246425j -0.00661994-0.00725875j 0.0151128-0.00377456j 0.0239803+0.00234568j 0.024374-0.00182423j 
0.0218728+0.00222161j 0.019454-0.001483j 0.0171902-0.000676682j -0.00329826+0.00839779j -0.0333967+0.0255996j -0.00802031+0.00633046j 0.0013831-0.00657666j 
0.0136352+0.00388115j 0.0103956-0.00362235j 0.001922-0.0125888j -0.00408269+0.00061578j -0.0143698+0.0187565j 0.00293535+0.00702315j 0.00927836-0.00296132j 
-0.00512786-0.0123385j 7.18427e-05-0.0177421j 0.00663558-0.0239209j 0.00990319-0.00411162j 0.0216899+0.0200091j 0.00394323+0.0184781j -0.00124861+0.0134429j 
0.0166028-0.0143947j -0.00889308-0.00337185j -0.0234707+0.0192676j -0.00726824+0.00890001j 0.000617795+0.0170718j 0.0141283-0.0189293j 6.99523e-05-0.0330952j 
0.00735557+0.0133961j -0.000301201-0.00527648j -0.0161157-0.0134311j -0.00777842-0.00927912j -0.0102475-0.00673637j 0.0158155+0.0113279j 0.0255805+0.00148537j 
