-0.00964478-0j -0.00501157-0j 0.0669174-0j -0.00264133-0j -0.00187934-0j 0.0366522-0j -0.327917-0j -0.000594299-0j -0.0789471-0j 0.00291566-0j -2.11426e-05-0j -0.00985195-0j -0.00504762-0j 0.0660371-0j -0.00185462-0j -0.00356921-0j 0.0350215-0j -0.00138235-0j -0.000567858-0j -0.149935-0j 0.0135638-0j -0.171616-0j -0.000155514-0j -0.0238545-0j 0.000682413-0j -4.18219e-06-0j 
0.00646991-0j -0.0266154-0j -0.0211159-0j 0.00177186-0j 0.0288971-0j 0.0915636-0j -0.0132966-0j 0.0372814-0j -0.163703-0j -0.187563-0j 0.00771302-0j 0.00660889-0j -0.0268069-0j -0.0208381-0j 0.0285169-0j 0.0023943-0j 0.0874898-0j -0.00734136-0j 0.0356227-0j -0.0135638-0j -0.0981053-0j 0.0550919-0j 0.0212675-0j -0.201803-0j -0.0762221-0j 0.00216989-0j 
0.0213496-0j -0.0383664-0j 0.00877025-0j -0.151545-0j -0.0329349-0j 0.206993-0j 0.00169835-0j 0.202844-0j -0.0110467-0j -0.00643265-0j -0.00120515-0j 0.00394958-0j -0.00699832-0j 0.00156744-0j -0.0058862-0j -0.0178281-0j -0.00287486-0j 0.0496759-0j -0.00281723-0j -0.00597971-0j 0.031757-0j -0.000556713-0j 0.0130762-0j -0.000944929-0j -0.000344881-0j -5.06487e-05-0j 
0.0130739-0j 0.00679341-0j -0.0907095-0j 0.00358044-0j 0.00254753-0j -0.0496837-0j 0.444506-0j 0.000805599-0j 0.107016-0j -0.00395231-0j 2.86597e-05-0j 0.00241861-0j 0.00123917-0j -0.0162118-0j 0.0004553-0j 0.000876225-0j -0.00859762-0j 0.000339361-0j 0.000139407-0j 0.0368084-0j -0.00332984-0j 0.0421311-0j 3.81781e-05-0j 0.00585618-0j -0.000167529-0j 1.02671e-06-0j 
-0.00125289-0j 0.0109591-0j -0.000514678-0j -0.000343119-0j -0.0497699-0j 0.00474544-0j -9.9667e-05-0j 0.113012-0j -0.0166933-0j -0.0523829-0j -0.283372-0j -0.00127981-0j 0.011038-0j -0.000507907-0j -0.0491152-0j -0.000463654-0j 0.00453431-0j 0.00302287-0j 0.107984-0j -0.000155514-0j -0.0212675-0j 0.000878065-0j -0.0471897-0j 0.036219-0j -0.14928-0j -0.142526-0j 
-0.0136426-0j 0.0245165-0j -0.00560428-0j 0.0968388-0j 0.0210457-0j -0.13227-0j -0.00108526-0j -0.129619-0j 0.00705895-0j 0.00411053-0j 0.000770105-0j 0.0202999-0j -0.0359697-0j 0.00805627-0j -0.0302537-0j -0.091632-0j -0.0147761-0j 0.255322-0j -0.0144799-0j -0.0307343-0j 0.163223-0j -0.00286137-0j 0.0672087-0j -0.00485671-0j -0.00177261-0j -0.000260322-0j 
-0.00835436-0j -0.00434105-0j 0.0579643-0j -0.00228794-0j -0.00162789-0j 0.0317483-0j -0.284043-0j -0.000514786-0j -0.0683844-0j 0.00252557-0j -1.83138e-05-0j 0.0124311-0j 0.00636904-0j -0.0833249-0j 0.00234013-0j 0.00450359-0j -0.0441897-0j 0.00174423-0j 0.000716517-0j 0.189186-0j -0.0171146-0j 0.216544-0j 0.000196226-0j 0.0300994-0j -0.000861062-0j 5.27704e-06-0j 
-0.00877025-0j 0.0360784-0j 0.0286235-0j -0.00240183-0j -0.0391713-0j -0.124119-0j 0.0180241-0j -0.0505366-0j 0.221906-0j 0.25425-0j -0.0104553-0j -0.00162245-0j 0.00658097-0j 0.00511566-0j -0.00700078-0j -0.00058779-0j -0.0214784-0j 0.00180227-0j -0.00874522-0j 0.00332984-0j 0.0240844-0j -0.0135248-0j -0.00522108-0j 0.0495419-0j 0.0187122-0j -0.000532698-0j 
0.00169835-0j -0.0148556-0j 0.000697669-0j 0.000465113-0j 0.0674653-0j -0.00643265-0j 0.000135103-0j -0.153193-0j 0.0226286-0j 0.0710073-0j 0.384123-0j 0.000314187-0j -0.00270977-0j 0.000124689-0j 0.0120576-0j 0.000113825-0j -0.00111315-0j -0.000742102-0j -0.0265096-0j 3.81781e-05-0j 0.00522108-0j -0.000215561-0j 0.0115849-0j -0.0088916-0j 0.0366477-0j 0.0349894-0j 
0.00560428-0j -0.0230544-0j -0.0182907-0j 0.00153479-0j 0.0250308-0j 0.079313-0j -0.0115176-0j 0.0322934-0j -0.1418-0j -0.162468-0j 0.00668106-0j -0.00833903-0j 0.0338246-0j 0.0262933-0j -0.0359823-0j -0.0030211-0j -0.110394-0j 0.00926326-0j -0.0449484-0j 0.0171146-0j 0.123788-0j -0.0695144-0j -0.0268351-0j 0.254633-0j 0.0961763-0j -0.00273794-0j 
-0.00108526-0j 0.00949286-0j -0.000445817-0j -0.000297212-0j -0.043111-0j 0.00411053-0j -8.63322e-05-0j 0.0978918-0j -0.0144599-0j -0.0453744-0j -0.245459-0j 0.00161485-0j -0.0139276-0j 0.000640872-0j 0.061973-0j 0.000585034-0j -0.00572134-0j -0.00381423-0j -0.136253-0j 0.000196226-0j 0.0268351-0j -0.00110793-0j 0.0595435-0j -0.0457007-0j 0.18836-0j 0.179837-0j 
