0.0114055-0.0209754j -0.0051246-0.00605475j 0.0130803+0.0379021j 0.0490594-0.0578592j 0.00694308+0.0143724j 0.00317924-0.0152409j -0.013864-0.010241j -0.0151037+0.00452216j 0.0250928+0.0129002j 0.00124503+0.037843j -0.00474164-0.0144682j 0.00913717-0.00755847j -0.0067538+0.0306017j 0.0121358+0.00328215j 0.00679114-0.00397319j 0.0197587+0.0533281j -0.00985333-0.0174371j -0.105727+0.024846j -0.087493-0.0793159j 0.0209865-0.0949997j 0.00455914+0.0206971j -0.0272847-0.0210067j -0.00628826-0.0336997j -0.0212649+0.0046391j 0.0149591-0.0362268j 0.00356143-0.00912912j -0.010602+0.00157549j 0.0283359+0.0136226j 0.0240007-0.0264552j 0.00406851-0.0101728j -0.0103245-0.00571226j -0.00196568+0.00464537j -0.0193483+0.0212682j 0.00375427+0.0120669j 0.0175026-0.033213j -0.00195624-0.037391j 0.0426539-0.0203702j 0.0141111+0.0302701j 0.0134809-0.00268101j -0.0345936-0.0231196j 0.00710569-0.0172873j -0.00284555+0.0162628j 0.00874869+0.000730671j 0.00992407-0.0187123j -0.0017187-0.00448566j -0.0070794-0.000389822j -0.0123844-0.00301085j 0.00291808-0.0017876j 0.00355187-0.0046188j -0.00777719-0.0110295j 0.0011818-0.0168973j -0.000753518+0.00895469j 0.00229717+0.00653011j 0.00117349-0.00973176j 0.00595233-0.00831147j -0.00990034-0.00130269j -0.00196088+0.00808462j -0.0222956-0.00139611j -0.00272052-0.00866813j 0.00328602+0.00286153j 0.0119324+0.0161232j 0.00683956+0.00540204j -0.00301878+0.0027201j 0.00925858-0.00962056j 0.00287128-0.000283791j 0.000592853+0.00500413j 0.00358823-0.00846496j -0.0023568-0.00301355j -0.00108572+7.52585e-05j 0.000631636+0.00435382j -0.0069771+0.00351938j 0.00646805+0.00244266j -0.00114241+0.000982879j -0.00515432-0.001926j -0.00797763-0.00939644j 0.00515347-0.00276415j -0.00198605+0.00170672j -0.00527384+0.00470803j 0.00490047+0.00019039j -0.00243708+0.0065275j -0.00792304+0.00196195j 0.00437162-0.00885845j 0.00274143-0.00356426j -0.000140261+0.0091897j -0.00529523+0.0216695j -0.00783053-0.0108923j 0.00843599+0.0064306j -8.20847e-06-0.00431769j -0.000319977-0.00216531j -0.00546349+0.0225725j 0.0170573+0.00134907j -0.000595149+0.00331498j -0.00725839-0.00594503j 0.000781662-0.0463823j 0.041781-0.00564722j 
-0.0192972-0.0181805j -0.00451484+0.0165979j 0.0114759-0.0320171j -0.0487537-0.0155986j 0.0101714+0.0152919j -0.0236885-0.0123126j -0.0072136+0.0183159j -0.00209895-0.00554801j -0.0154181-0.0245971j 0.0395536-0.00531122j -0.0190719+0.00491629j -0.0128801-0.0101768j 0.0483988+0.017768j 0.0139915-0.0043544j -0.0024606-0.00277607j 0.0464972-0.0134753j 0.00556892-0.0202698j -0.00729914+0.119183j -0.0965392+0.0490323j -0.0870582-0.0301145j 0.0032546-0.00964737j -0.0128782+0.0131157j -0.0190008-0.012916j 0.0096249+0.011875j -0.0162519-0.0347149j 0.000671177-0.0171444j -0.00983054+0.0123439j -0.000815737-0.019678j -0.0228721-0.036222j -0.00170824-0.00566694j -0.00643724+0.0117336j -0.00704547+0.0044331j 0.0119623+0.0299681j 0.00458806+0.00662907j -0.0133128-0.0230079j -0.0276599-0.0220281j 0.00502198-0.0502894j 0.0244713-0.00700277j 0.00218612-0.014785j -0.0294377+0.0226908j 0.00292007-0.00683303j 0.0137573+0.00328894j -0.00157277+0.00786703j -0.00983322-0.0171055j -0.0112978-0.0034052j -0.00218718+0.00176763j 0.00337007+0.00881887j -0.0135064-0.0093561j -0.00290843-0.0012971j -0.0106594+0.0131528j -0.0130365-0.00567442j 0.0168586-0.00432642j 0.00300343-0.00461152j -0.00919035+0.00570016j -0.00951804-0.0167908j -0.00409877-0.0105904j -0.00421722-0.00160547j 0.0103179+0.0122429j 0.00644402+0.00583165j 0.00581315+0.0135783j 0.0185028-0.00955246j 0.00869606-0.00863882j 0.00428311+0.00991242j 5.69682e-05-0.00445803j 0.00177132+0.00308011j 0.00631836-0.00197928j -0.00269106-0.00011365j -0.00289434-0.00297997j 0.00221682-0.0014689j 0.00939981-0.00134751j 0.00729806+0.00510542j -0.00330478+0.0067847j -0.0001117+0.00423411j 0.00214744+0.00329224j -0.00803876-0.00496729j 0.000516625+0.00219863j -0.00919902-0.00117186j -0.00240953-0.00659767j -0.000737881+0.00467573j -0.00618995+0.00406206j 0.000684511+0.00656259j 0.0024267-0.00900569j 0.00976289+0.00262344j 0.00372672+0.00432373j -0.001483-0.0036014j -0.00730825+0.00308469j 0.00517126+0.01024j -0.00231102+0.00152552j -0.0035222-0.00283074j 0.0158954+0.00193859j 0.00889868-0.0158298j -0.00599275-0.00448461j 0.00759128+0.0159131j -0.0370071-0.00817025j 0.00455429-0.0370266j 
-0.00283698-0.0022218j 0.00349454-0.000476657j -0.00342811-0.00395748j -0.00199978-0.00158888j -0.00644161+0.000307642j -0.00143908+0.00658349j -0.00438327+0.00460986j 0.00399702+0.00431218j -0.00188301+0.000652532j 0.0234805-0.00549759j 0.03027-0.00358474j 0.022274-0.00309553j -0.00541215+0.000763299j -0.0138374-0.00299783j -0.0284286-0.00829493j 0.0305611+0.00933429j -0.0013585+0.00584014j 0.00612204+0.0036633j 0.00392677+0.00796689j -0.00663883+0.00342095j 0.00461692+0.00844754j -0.0090736-0.0148088j 0.00690545+0.0130302j 0.000924091-0.00333381j 0.00384325+0.0192573j -0.00296487-0.0131422j -0.00582906-0.0131041j 0.00911163-0.00669287j 0.000904851-0.00807434j 0.00120894-0.0213564j 0.00363894+0.00096033j -0.00144049+0.0289083j 0.00128531-0.0145253j 2.27465e-05+0.00685964j -0.000972255-0.0119857j 0.000295215-0.00197804j -0.00128832+0.0110374j -0.00150478+0.00429327j -0.00178615-0.00452771j -0.00148117+0.0048095j -0.00622593+0.00409144j -0.000956949-0.0031647j -0.000872642+0.00104749j -0.00548002+0.00451146j -0.000480691+0.00406908j -0.00345533+0.00100987j 0.000695413+0.00076147j 0.00242261-0.00220126j 0.00491729+0.00100821j -0.000834633-0.000141845j -0.000630276+0.00299793j -0.00252232-0.000483586j -0.00128021-0.00179088j -0.000880818+0.00524548j 0.000337352+0.000167518j -0.000382926-0.00102268j -0.00112381+0.00124611j -0.000866183+0.00136053j -0.00109256+0.00270793j 0.00300494-0.000882839j -0.00570012-0.00333928j 0.0102476-0.00383889j -0.000477722-0.00315773j -0.00421281+0.00115549j 0.00571784-0.00716187j 0.00667805+0.0105808j 0.00868757+0.00849712j -0.00832116+0.00292357j 0.00140567-0.0135553j -0.00586404+0.00773282j -0.00662343-0.0126447j 0.00441467-0.00121473j 0.00228511+0.00830956j -0.00737521+0.00296254j 0.00158721-0.00956027j 0.0107811-0.00864531j -0.00178099+0.0134541j 0.0113804+0.00449029j -0.00666262+0.00065282j -0.00355715-0.00278971j -0.00272088+0.00652428j -0.000660704+0.0156444j -0.0073481-0.00201953j 0.00629301+0.00366509j 0.00454812-0.00229929j 0.0099426-0.00320993j 0.00809691+0.000789537j -0.00108063+0.000185882j 5.87811e-05-0.00106406j 0.00168206+0.00116855j 0.00258955+0.00384353j -0.0059367-0.000195346j 0.00538249+0.001291j -0.00272788+0.00285093j -0.00605672-0.000423685j 
0.0100712+0.00237848j 0.0135925+0.00863422j -0.0110632-0.00224635j -0.00446274+0.00941627j -0.00866907-0.012698j 0.0138017+0.00950411j 0.0109327-0.00820204j -0.0177235+0.00862553j -0.0250035+0.00282814j -0.0031395-0.0160193j 0.00793724+0.00733291j -0.0134286+0.00434288j 0.0105959-0.00847352j -0.0115619+0.000380621j 0.0163403+0.00922784j 0.00589628-0.0010732j -0.0172042+0.0084164j 0.0620232-0.0159937j 0.0386627+0.0248545j -0.012145+0.0365448j -0.00767846-0.0122855j -0.000497712-0.0109431j -0.00354535-0.00411842j -0.00265049-0.021299j 0.000101644+0.0207534j -0.00523382+0.00142836j -0.00210325-0.00603998j -0.0138019-0.0219615j 0.00326754+0.0236646j -0.000365881+0.00777516j 0.00338412-0.0193582j 0.00622297-0.0249276j 0.00709076-0.00912618j -0.00151032-0.00179733j 0.00435324-0.00477856j 0.0102731+0.00543076j -0.0136961+0.0264709j -0.013481+0.00613437j 0.000111419+0.00726224j 0.0132998-0.00308624j -0.000407737-0.000113901j -0.00712138-0.00906155j 0.00119238-0.000876728j -0.00157258+0.01097j 0.00311788+0.00104817j 0.0025533-0.00345708j 0.00180782-0.00723645j 0.00435173+0.00592852j -0.00419585+0.00222224j 0.00329396-0.000703667j 0.00252333+0.00708541j -0.00301138-0.00422024j 6.64802e-05-0.00190138j 0.000968212-0.00149901j -0.00270854+0.0116457j 0.00400715+0.00621811j -0.00187068-0.00130629j 0.000691553-0.0134596j -0.00610881-0.00101554j 0.00129688-0.0100365j -0.00158129-0.00231905j 0.000693059-0.000769828j 0.0129891-0.00382841j 0.00278974+0.0100374j 0.00134758-0.00285057j 0.0042492-0.00529849j -0.00259708+0.000785332j 0.000944774-0.0133695j 0.00248081-0.00622034j 0.00373027+0.0101087j -0.000979234+0.00332628j -0.00467175+2.06085e-06j 0.00117968-0.00319217j 0.00047858+0.0018263j 0.00099883-0.00168576j -0.00298845+0.0114852j -0.00152911-0.00407138j 0.00309767+0.00525771j -0.00503809+0.00428041j -0.00578711+0.00950334j -0.000272119+0.0103631j -0.00247732+0.00264407j 0.00484416+0.00718218j 0.00689621-0.0109243j 0.00770963-0.00378256j -0.00487975-0.00624054j -0.00058434+0.00415578j 0.00292109-0.000941494j 0.00199298+0.00212365j -0.0141321+0.0060222j -0.00995434+0.00948485j 0.00630814+0.00471562j 0.00733521+0.00366402j 0.0159243+0.0176386j -0.0311953+0.0105545j 
-0.0253257-0.00221422j -0.00766018+5.9728e-05j 0.00778926+0.0178762j -0.0469796-0.0504088j 0.0115945-0.0243787j -0.0123996+0.0111422j 0.00221429+0.0124717j 0.00239044+0.0209731j -0.0161-0.0152134j 0.0185106-0.0137796j -0.00662563+0.0164662j -0.00305584-0.00429298j 0.0185445+0.00740215j 0.00909132-0.0106114j -0.00773171-0.000612826j 0.0201181-0.00643588j 0.00069253+0.00562781j 0.039273+0.0822433j -0.0360057+0.0910277j -0.0674822+0.00436863j 0.00989346-0.00119302j 0.00268695+0.0170156j -0.00528617+0.0170662j 0.0156926+0.0180789j -0.0279715-0.00574133j -0.00672035-0.00675335j -0.0081656+0.00675506j 0.0114156-0.0246179j -0.0244889-0.00826751j -0.00504924+0.00221113j -0.00308625-0.00044308j -0.000795553+0.00266278j 0.00794864+0.00702933j 0.00984541-0.00366689j -0.0216466-0.00370402j -0.034838+0.0169418j -0.0265952-0.0375115j 0.0158891-0.0263679j -0.00131697+0.004597j -0.00364141+0.0391354j -0.0113435+0.00309276j 0.00610273-0.000507875j 0.0136855-0.000563063j -0.0201144-0.0028846j 0.00388399-0.0029784j -0.0039405-0.00307073j 0.00101372+0.000959738j -0.0111054+0.00686886j -0.0107979-0.000936717j 0.00421146+0.00555649j 0.000385069-0.000358224j -0.00422528-0.0154225j 0.00439474-0.00450899j 0.00464253+0.00576262j -0.0204372-0.0046476j 0.00026881+0.00196434j -0.00624867-0.00152659j -0.00144431+0.00666318j -0.00785505+0.00131802j -0.000105875+0.00628565j -0.00296598+0.00147864j -0.000701381-0.00310484j 0.00188382+0.0181159j -0.00583842-0.00300152j 0.00574729-0.00333094j 0.00198135-0.00491895j -0.00276385+0.00686509j -0.00736333+0.000567925j 0.00193854+0.0022073j 0.00296653-0.000403021j 0.00335217+0.000844576j 0.00076662-0.0012548j 0.00340446+0.00364786j 0.000286947-0.000460859j -0.00408611+0.00585437j 0.000310695+0.00341378j -0.00383171+0.00303439j 0.00687132-0.00442806j -0.0065655+0.000863859j -0.00173336-0.00116281j -0.00336811+0.00111497j -0.00144704+0.0018095j 0.00211162+0.00141725j -0.0032763-0.0011266j -1.17642e-05-0.0139762j 0.00276634+0.0108061j -0.000337527-0.00488238j -0.000228025+0.0029372j -0.000889879-0.00219428j 0.0105435-0.0111924j -0.00683776-0.0136806j -0.00537663-0.00569095j 0.0106571+0.0105004j -0.0326827+0.0232161j -0.0221714-0.0254706j 
-0.00238928+0.00149759j 0.00213013+0.00337169j 0.0059049-0.001681j 0.0012441+0.00608496j 0.00159612-0.00183362j -0.00267396-0.0016333j -0.00330687-0.0082691j -0.00115564-0.0102198j 0.000203087+0.00460331j 0.00552865+0.00099251j -0.00137921+0.0163022j -0.0080913-0.0424725j 0.00976244-0.026481j -0.00983151+0.0380335j -0.00559841-0.00922596j -0.0169001+0.0074184j -0.0135018+0.0170956j 0.0020449+0.0229315j -0.0130018+0.0122031j -0.00137828-0.00214812j -7.61234e-05+0.00235757j 0.00243381+0.00216182j -0.00437237+0.00594721j 0.00260888+0.00271662j -0.00312236-0.00749906j -0.00110711-0.00392331j 0.00272519-0.00783842j -0.00486521+0.0189928j -0.0100719+0.00850255j -0.0034753+0.00187437j 0.00260515+0.000328773j -0.000735656+0.00550737j 0.00687353-0.00128995j 0.000585508+0.0036236j 0.000108441-0.006039j -0.00788415-0.00258704j -0.00397764-0.00438027j 0.00200789-0.00111391j 0.00218711+0.00136197j 0.00224545+0.00671445j 0.0011433+0.00136024j 0.00274601-0.00261193j 5.35867e-06-0.00384739j -0.00124454+0.00267827j -0.00229752+9.54631e-05j 0.00162212-0.00368035j 0.000826726+0.00307838j 0.00146132-0.000785889j -0.00234031-0.00196105j -0.00172414-0.00205603j 0.00109851+0.00218489j 9.12723e-06-0.000752226j 0.00169493-0.00360285j 0.00058235+0.00116451j -0.00134977+0.00200941j 0.00284969+0.00273104j -0.00101873-0.000708491j 0.0023104+0.000922718j 0.00041773+0.000384911j 0.00137245+0.00466118j 0.000750686-0.00581083j 0.00119674+0.000709503j 0.00182958-0.0021436j -0.00379058-0.00486092j -0.00137859+0.00178259j 0.00456846-0.00167018j 0.000112736+0.00315712j 0.00078537-0.00650628j 0.00347186+0.00426048j 0.00755894+0.0065075j -0.0146063-0.00820155j 0.0123494-0.00820381j -0.0235272-0.017963j 0.0211953-0.0213041j 0.00773203-0.00506151j -0.00039437-0.00881107j 0.0035004+0.00456101j 0.00614315-0.00244161j -0.00465513+0.00484201j -0.00105258+0.00190383j -0.000184807+0.00110928j -0.00383598-0.006651j 0.00227406-0.00345596j -0.0024182+0.00397879j 0.00254083-0.000499054j -0.0011025-0.00195376j 0.00238736+0.00015309j -0.00362555-0.00660218j 0.00819545-0.00428346j -0.00164702-0.00552079j -0.00153228-0.00557719j -0.00205939+0.00361968j 0.00368391-0.0017255j -0.00366859+0.00164464j -0.00246876-0.0029063j 
-0.00488315+0.00559376j 0.0100912+0.00903602j -0.00849147-0.00145577j -0.00607722+0.0316918j -0.00524052-0.00596119j -0.00318535-0.00134022j -0.00197438+0.00804355j 0.011993-0.0122038j -0.00227415+0.0246936j -0.0134414-0.0328224j 0.00415804+0.0164543j -0.00468937+0.0104517j -0.00419612-0.00915917j -0.0144025-0.0088203j 0.00619945+0.00899051j -0.0124335-0.00558859j 0.0088062-0.0125572j 0.0225842+0.0224379j 0.0254441+0.0288592j 0.00789308+0.0221126j -0.000289028-0.00637746j 0.00657993-0.00244702j 0.00230134+0.00682005j 0.000489276-0.00680388j 0.00806346+0.020869j 0.00299745+0.00841997j 0.00570339+0.000316964j -0.0104137-0.00909808j 0.00152964+0.00780542j -0.00173121+0.00247742j 0.00410797-0.000205089j -0.00293115-0.00927727j 0.00155102-0.0216969j 0.000909763-0.0117678j -0.00524493+0.0131525j 0.0109706+0.0206202j -0.0144526+0.0115861j -0.00768455-0.0153033j -0.00259415+0.00572082j 0.0176341-0.00125902j 0.000636207+0.0138394j -0.0073966-0.00339907j -0.00153698-0.00409457j 0.00207721+0.019287j 4.86547e-05+0.00668981j 0.00244785-0.00428414j 0.00298277-0.00322622j 0.00555621+0.00582741j 0.000186047+0.00506278j 0.00950961+0.00209481j 0.000935216+0.00863117j -0.00564834-0.00481809j -0.00759491+0.000727782j 0.00692487-0.000891627j -0.000320219+0.00928968j 0.0104288-0.00234163j -0.00155548-0.00384019j 0.00727031-0.00428995j -0.0027004+0.00124532j 0.00958855-0.0018199j -0.00110719+0.00601112j 3.28662e-05+0.00517337j 0.00256422-0.00413354j 0.0149892+0.00746943j 0.00304837-0.000285445j 0.00223448+0.00795478j -0.00342641-0.00852477j -0.00878284+0.0125221j -0.00703973-0.00132796j 0.00191793-0.0130316j 0.00134953-0.00900684j -0.00816442+0.00604151j -0.00145413-0.00112881j 0.00347249-0.00831621j 0.00437957+0.00442022j -0.00185537+0.00146491j -0.00362824+0.00745012j -0.00183904-0.0039141j -0.00400916-0.0017854j -0.00193595-0.00238878j -0.00921511-0.0031919j 0.000745872+0.00194399j -0.00391029+0.00174396j 0.00662554-0.0182253j 0.0035535-0.0038147j -0.00428232-0.00578019j 0.00289445-0.00989818j 0.00209044+0.00272401j 0.000782445+0.00259139j -0.0206392-0.013552j 0.00745058+0.00544025j -0.00151314+0.00116212j -0.00100052+0.00173329j 0.020523+0.00843127j -0.0132068+0.019012j 
0.00794841+0.00439075j -0.00198717+0.0109296j -0.00639743+0.0205995j -0.0164536+0.0540447j 0.000167376+0.00204051j -0.0119313+0.0205583j -0.00729827-0.00687724j -0.0101079-0.000890179j -0.0105348+0.0177511j 0.0116708-0.0168554j -0.0147331+0.00908238j -0.00320715-0.00743119j 0.00305411-0.0168895j -0.0104736-0.0162214j -0.00391018-0.00904612j -0.0284019-0.0235217j 0.0325202-0.0356045j 0.0280124-0.0242257j 0.0228402-0.00213404j -0.00184246+0.00745526j 0.00545547+0.000205996j -0.00138389-0.00573406j 0.00166931+0.00734313j 0.0113043+0.0127229j -0.00130166-0.0205843j 0.00501797-0.00551657j -0.00686827-0.00459878j -0.0178678+0.0115436j 0.000109537-0.00318575j 0.00696732-0.000957961j 0.00107862-0.00188745j -0.00488707+0.00605597j 0.00760601+0.00693467j 0.0166934-0.00138174j 0.00548819-0.0122547j -0.000277229-0.00577502j 0.00615161-0.00491641j -0.000965516+0.00195894j 0.000428424-0.00566519j -0.00737701-0.00316783j -0.000548444-0.000526544j -0.0149282+0.000745085j -0.00542498+0.00589618j 0.00401979-0.00573685j 0.00905147+0.00243864j -0.00421132+0.00629164j 0.000134667-0.00180261j 0.00288724-0.0110348j -0.00889099-0.00453004j 0.00699-0.00286292j 0.00118177+0.000918981j 0.0060621+0.0132221j 0.00226048-0.00226921j -0.00360456+0.00314519j 0.00342553-0.0146919j -0.00958803+0.00786256j 0.00497301-0.00277627j -0.00543283-0.00555238j 0.00112514-0.00882325j 0.000745115-0.00506651j 0.000314244-0.00479456j -0.00186148+0.00414444j -0.00158624+0.00991738j -0.000413563-0.00464531j 0.000230554+0.00126888j 0.00133009+0.00119471j -0.00409462+0.00887503j -0.000528044+0.00181768j 0.000865449+0.00565579j -0.00127006+0.00527592j -0.0033832+0.00770436j -0.000525225-0.00234191j -0.000132219-0.000474467j -0.000544643+0.00573805j 0.000186048-0.00575375j -0.00217341-0.00604599j -0.00327525-0.00105471j 0.00108705+0.00403517j -0.00367644+0.00207947j 0.00327614-0.00527981j -0.00222678-0.00664053j -0.00318663-0.00345255j 0.00591656-0.00579143j -0.00774027+0.0134315j -0.00308047+0.00444622j 0.00898765+0.00715041j 0.0045021-0.00703308j 0.00223713-0.00411147j 0.00239997-0.0039642j -0.00786805+0.00328898j -0.00726321+0.00698952j -0.00534632-0.00900396j 0.00738422-0.0081479j 0.00322187-0.0168705j 0.0081902-0.0011119j 
-0.00965858+0.00369195j 0.00790778+0.00999798j 0.0157504+0.00280412j 0.0032769+0.0242098j 0.00718824-0.00725876j -0.00229346+0.0041827j -0.0154022-0.00163436j -0.0172612-0.0213647j 0.00297702+0.00612334j 0.0178833-0.0220862j -0.0138985+0.00545221j -0.0270108+0.0130868j 0.0261298+0.00906562j -0.0319358-0.00783815j -0.0411214-0.0159842j -0.0402718-0.0287403j -0.0591101+0.00623205j 0.00744727+0.0330994j -0.0531847+0.0146654j -0.0105437+0.0175527j 0.001436+0.0156411j -0.00371843+0.00637962j -0.0178906+0.00598393j 0.00577634+0.00155972j -0.016622-0.0480036j -0.00444276-0.0210236j 0.0137748+0.00351019j 0.00625042+0.0333702j -0.0323048-0.00676898j -0.0172282-0.00685143j 0.00534772+0.00597595j 0.00484071+0.0222441j 0.0209325+0.0143169j 0.00639627+0.0193972j 0.0105638-0.00481028j -0.0318814-0.00795687j -0.0189277-0.0192653j -0.00674018+0.00316684j 0.00448909-0.00609611j -0.00266404+0.00422497j -0.0048922-0.0120794j 0.00712135-0.00342425j -0.00885546-0.0118949j -0.00995701-0.0103359j 0.000322916-0.000388624j 0.00169483-0.00263536j 0.00201375-0.0100611j -0.00267895-0.00191553j -0.0002683-0.00990542j -0.00387011+0.00553149j 0.00722844-0.0038896j 0.00356669+0.0106034j -0.000773679-0.00903415j -0.00182441+0.00956729j 0.00533358+0.00425263j 0.0163291+0.00417307j -0.0029954+0.00466841j 0.00366059-0.00321071j 1.06167e-05-0.00812936j -0.00116247+0.0111477j 0.00176092-0.00381409j 0.000402591-0.00532805j -0.00657803+0.00926617j -0.00556559-0.00760374j 0.00129449-0.00313625j 0.00916775+0.000940829j -0.0169346+0.000119616j 0.0013979+0.0041864j 0.000308481-0.000882566j 0.00182989+0.00033487j -0.00183854+0.00408939j -0.00232392+0.000721865j -0.000890213+0.00286586j -0.00609575+0.00673218j -0.000281934-0.00212817j -0.00183572+0.00106878j -0.000584764-0.000284593j -0.00132647+0.00250953j 0.00134345-0.000547209j 0.00119425-0.00298581j -0.000335242-0.0031514j 0.000608342-0.00267979j -0.00046015-0.00237643j -0.00252256+0.00444397j 0.00435769+0.00429949j -0.00512421-0.000965625j 0.00862452-0.00114452j -0.00157285+0.00377384j 0.00121149+0.00604332j 0.00751588+0.000794563j -0.010102-0.0160291j 0.00214594+0.00255976j 0.00857471-0.0140692j -0.0119886-0.00271248j -0.00315626-0.00658756j 
-0.00636087-0.00425499j 0.00592669-0.00431692j -0.00878575-0.00651461j -0.0136739-0.0154227j -0.00612707+0.00255491j 0.0184756+0.00161384j -0.0172953-0.0249994j -0.020029-0.0016715j 0.0157515-0.000862068j -0.00182018+0.00460968j -0.00221346-0.000883424j 0.0184791-0.0283409j 0.0149278+0.0109934j 0.0231124-0.0356512j 0.00701926-0.0218658j 0.0256181-0.0185792j -0.000953109-0.0406011j 0.00888007+0.00616914j -0.000697401+0.0181206j -0.0140068+0.0144124j 0.0024034-0.000635706j -0.000754249+0.0102471j 0.0138911-0.00131138j -0.00413401-0.0079369j -0.0174285+0.00260804j -0.00456016+0.00652017j 0.00858166-0.0052559j -0.00372417-0.0171131j -0.00159374-0.00800558j 0.0014273+0.00257252j 0.00311142+0.00350495j -0.00295202-0.00830158j -0.0177076-0.00633675j -0.00161609+0.0039689j -0.00170783+0.0040434j -0.00221287+0.0116845j -0.00705662+0.00640656j -0.00565701+0.000677296j -0.00733701-0.00805261j 0.00071295-0.00630479j -0.00184944+0.00443672j -4.17196e-05-0.00353701j -0.0122363+0.00330121j 0.00288532+0.0033919j -0.0059004+0.002417j -0.00588336-0.0048514j -0.0105647-0.00612504j -0.00347866+0.00225966j -0.00199586-0.00154704j 0.00405935-0.00409537j -0.00194538-0.0102623j 0.00903092+0.00433889j -0.00962328-0.000308594j 0.00257845-0.000116702j 0.00837744-0.000855776j 0.00376044-0.0180447j -0.000704782+0.000662512j 0.00581831-0.00262047j -0.00241345+9.65821e-06j 0.00117744+0.000306199j 0.00178133+0.00106245j -0.000617634+0.00174677j -0.00081794+0.00524662j -0.000209316+0.00144844j 0.000257281-4.49444e-05j -0.000395164-0.00228458j -0.00211926+0.00566223j -0.00192324+0.00037289j -0.00340917+0.00158518j -0.00062267-0.000229986j 0.000862202-0.00435608j 0.000394633+0.00285121j -0.00010658-0.0049435j 0.00464787-0.00452368j 0.00281231-0.00203075j 0.00183694+0.00370603j -0.000427156+0.00284319j -0.00125992-0.00192753j -0.00237352-0.000958828j -0.00360996-0.00306679j 0.00539117+0.00124252j -0.00230379-0.00210844j -0.00102997+0.00277254j 0.00293426-0.00350001j 0.000522626-0.00200076j -7.5211e-05+0.00150785j -0.00044908-0.00432147j 0.000392974-0.000936019j 0.00148968+0.00169371j 0.00677097-0.00134998j -0.000650064-0.00687979j 0.00198927+0.00523926j -0.000693413-0.00575067j 0.00425403+0.00794622j -0.00575556+0.00869948j 
-0.000562725-0.00489483j -0.000325226-0.0026714j -0.0190294+0.017359j -0.028698+0.0147034j -0.0149588+0.000866532j -0.0187796-0.00835921j -0.00276381+0.00659603j -0.0012756-0.0148956j -0.0249841-0.0125558j 0.00287913-0.000129222j -0.00431924+0.00153704j -0.000564267-0.0115806j 0.0113158+0.0260016j 4.90717e-05+0.0221254j 0.00587954-0.0230066j -0.00840986-0.0150479j 0.0211686-0.0231375j -0.014239-0.0330053j 0.0103979-0.0786598j 0.0217261+0.0239409j -0.0110705+0.00382468j -0.00385864+0.00622527j 0.0124921-0.00986462j -0.000234299-0.0196054j 0.0441503-0.00740456j 0.0170862-0.0070044j -0.00150513+0.00577574j -0.035245+0.0159133j 0.0201588-0.0156134j 0.00849406-0.00782852j -0.00223053-0.000104741j -0.0178157+0.00556044j -0.0195539+0.00330427j -0.0159476-0.00267116j 0.0141781+0.015418j 0.0129287-0.018227j 0.00577501+0.00804431j -0.00811611+0.00504897j 0.001599+0.00279833j -0.00460817-0.0195317j 0.00646881-0.00281983j -0.00719653+0.0133455j 0.00315349+0.00561628j 0.0177574-0.00651551j 0.00180414-0.00263431j 0.00495727-0.00864487j 0.00150345-0.013288j -5.32454e-05-0.00577319j -0.00150835+0.0024268j 0.000814733-0.0113123j 0.0141421-0.00495018j -0.000639265-0.000692874j -0.00382608-0.00123482j -0.000798521+0.00899678j -0.00190947-0.00201441j 0.00328797-0.00153756j 0.0107815+9.8972e-05j -0.00984313+0.00521634j 0.0058721+0.000975715j -0.00680693-0.00296838j 0.00188771+0.00862688j 0.00320827+0.00405039j -0.00218201-0.00417193j 0.000235755+0.00323696j -0.000156979+0.000918201j 0.000681891+0.00187789j -0.00178066-0.00284974j 0.000736709-0.0015811j -0.000644634-0.00154995j -0.00110875+0.00159693j -0.000685282-0.00253045j 0.000888842+0.0010815j -0.00196406+0.00244522j 0.00226019+0.0024433j 0.00322589-0.00404133j -0.00427311-0.00308527j 0.00104723-0.00238961j -0.00347971-0.00170053j 0.00603975-0.00121904j -0.00219562-0.000764899j 0.00185839-6.59652e-05j -0.00300336-0.0121063j 0.000432815-0.00278655j 0.00109047+0.00106036j 0.00707583+0.0118274j 0.0066731-0.0101131j 0.00525142+0.00143194j -0.00190498-0.00140312j 0.00041101+0.00277937j -0.00551618+0.0092936j 0.0124519+0.00222258j -0.0064576+0.0119122j 0.00137635-0.0131985j 0.0138392-0.0183874j 0.019294+0.0174741j 
