-0.0979076+0.101136j 0.146326+0.0937083j -0.095105-0.232353j -0.177361+0.0744217j -0.0436748+0.142209j -0.160268-0.0356403j 0.0234293-0.148971j -0.104246+0.118087j -0.145107+0.16529j -0.0579735-0.00297345j -0.143233-0.172102j 0.0738952+0.0703704j -0.0800739-0.104694j 0.0906534-0.13871j 0.112761-0.0365832j 0.0545413+0.136423j 0.00709422-0.0998278j -0.0172062-0.043457j 0.00099601-0.076412j 0.092095+0.0270921j -0.0447192-0.0794706j 0.0329194+0.0350291j 0.1023-0.0503091j 0.0465293-0.100287j -0.121993-0.00194607j -0.190066+0.174703j 0.0338727+0.055926j 0.0770696-0.0898441j -0.0101111+0.01116j 0.0286842+0.00422333j -0.0462308-0.122545j 0.0837401+0.121106j -0.0473854-0.0384188j 0.0493263-0.0130727j 0.0989972+0.1001j 0.132116-0.0932187j 0.0190064-0.235161j -0.157994-0.0103956j -0.0543949+0.164382j 0.155157+0.144993j 0.140907-0.0583203j 0.142642+0.0950879j -0.0752699+0.133457j -0.13661-0.0843814j -0.0329225+0.0439508j 0.0413467+0.0316375j -0.00223016+0.0331702j -0.0149693+0.017931j 0.0148569-0.0259896j 0.045109-0.00646362j -0.00801964+0.0153261j 0.0220517-0.0335219j -0.0475646-0.0200495j 0.0362322-0.00400322j -0.0265245-0.0116385j 0.00971919+0.033301j -0.00479227-0.0147805j -0.0027184+0.0108329j -0.00420258+0.0140686j 0.000950808-0.0244391j -0.0166714-0.00847359j 0.00730139+0.0133392j 0.00192148-0.00355839j -0.00394504+0.00362201j 0.0192141+0.0240295j 0.00188852+0.00819421j 0.00653972-0.000260597j 0.000521895+0.00624409j -0.01529-0.0147965j 0.00365201-0.0118631j 0.0128313+0.02169j 0.00161917+0.000785945j 7.15199e-05+0.00164355j -0.0103065-0.0129026j 0.0103137-0.0144259j 0.0149688-0.00252469j 0.0139016-0.0131233j 0.00254217-0.00805722j 0.00836726-0.0209249j 0.00436936-0.0143075j -0.00771372+0.0131109j -0.018568+0.00545038j 0.0309244+0.0128263j -0.0142218-0.015293j 0.00749666+0.00560081j -0.0191623+0.00877943j 0.0306738-0.000282496j 0.00513166+0.0071112j -0.00825729+0.0211023j 0.00868141+0.0271463j 0.0356252+0.0369665j -0.0320784+0.018671j 
0.0373712+0.170516j 0.205811-0.0441775j 0.049386-0.0957837j -0.0256085-0.0625408j 0.0815129-0.0785456j 0.137923+0.00783111j 0.181186+0.0858133j -0.172268-0.203471j 0.101312-0.0680121j -0.087595+0.219536j 0.0229801-0.0274724j -0.146761-0.0863207j -0.0488941+0.0516542j -0.0398564+0.105889j -0.0993781-0.152835j 0.0800135+0.01717j -0.0977401-0.0495885j -0.104221+0.0368092j 0.0377242-0.0116446j -0.00857967+0.0409454j -0.0663258+0.0341666j -0.0966578-0.0121298j -0.13593+0.0780203j 0.0913343-0.168195j 0.0438366+0.0602411j 0.0274257+0.0983729j 0.0480677+0.0540493j -0.0841704+0.0142043j -0.0675623-0.0252181j 0.0646991-0.0479456j -0.0932279+0.050801j -0.0980154-0.282006j 0.0908784-0.0988345j 0.208912+0.00138411j -0.170206+0.063966j 0.0948457+0.075946j 0.137541+0.0320588j 0.11123-0.136841j -0.00662019+0.131544j 0.0948828+0.10994j -0.0772319-0.228737j 0.2723-0.0891724j -0.0159849+0.0435813j -0.0405431-0.0344257j 0.0321317-0.0285311j -0.0752004-0.0291578j -0.00451553-0.0789923j 0.0253968-0.0113777j -0.0437691+0.0296198j -0.00518321-0.0167434j -0.0184542+0.00865949j 0.0102037+0.0031935j -0.00220792-0.00320455j -0.0268114+0.00796914j 0.0155972-0.0199801j -0.0110288-0.0227736j -0.00428783-0.000594236j -0.00753596-8.12487e-05j -0.0365219-0.0178481j -0.00334721-0.00921648j -0.011096+0.0106294j -0.00556969-0.0102071j 0.010918+0.00304776j 0.0130449+0.0136378j 0.00338998-0.00839477j -0.0117434+0.00653385j 0.0210873-0.00469566j 0.00012834+0.00438223j -0.00472672-0.00993002j -0.00202975-0.0116629j 0.00334754+0.010244j -0.0128965+0.0205195j -0.00622494+0.0194918j 0.00201466+0.0209894j -0.00431851-0.0183318j -0.00399248-0.00517451j 0.00265149+0.0138094j -0.0163632+0.00219512j -0.0185743+0.0164235j -0.0066506-0.00120343j -0.0180376+0.0242793j -0.00576385-0.0088431j -0.00384978+0.000628146j -0.0233111-0.00719824j -0.0018044+0.0176694j -0.0150328-0.0111496j 0.00962494+0.00476578j -0.00294717+0.00540545j -0.00697207-0.0142976j -0.0292299+0.0156269j 0.051591+0.00110148j 0.0029771+0.039655j 
0.106493+0.0232137j 0.0577099-0.107075j 0.205095-0.0929972j -0.0472644-0.201875j 0.0351998+0.159648j -0.0555533+0.115679j -0.092334+0.0127334j 0.119334-0.0329938j -0.125292-0.0518012j 0.0567295-0.220587j 0.0256818-0.00167256j -0.0532187+0.0779794j 0.043643+0.0457712j 0.0217659-0.0762169j -0.118095-0.128629j 0.182989-0.0252417j 0.0920953+0.0339624j 0.164899+0.0687294j -0.11724+0.0385531j 0.071818+0.0245014j -0.00723453+0.0721292j 0.0226847-0.0353035j 0.0428517+0.0380607j -0.0535215-0.071542j -0.0543993+0.0249112j 0.0235799+0.0525657j -0.0768289-0.106238j -0.108916+0.184638j 0.0355235+0.00794394j 0.110708-0.138049j 0.183531+0.0454925j 0.0573651+0.146206j 0.183023+0.112677j -0.0181473+0.359583j 0.201997-0.0387461j -0.0960334-0.0743431j 0.121731+0.00886584j 0.0767005-0.137329j 0.0152977+0.0966311j 0.117113+0.0464955j -0.171997-0.0251124j 0.0694579-0.182865j -0.0554438-0.078817j 0.0648369-0.0708697j -0.00224754+0.0228761j 0.0121711-0.0213085j 0.0385922+0.00938769j 0.00456817+0.0124286j 0.0332046-0.0389501j 0.0243816+0.0390856j -0.0162137-0.00140465j 0.00257312-0.00968253j 0.0307018+0.01416j 0.00189667+0.000372748j -0.0228046-0.00942802j 0.0265575-2.53152e-05j 0.00154654+0.00418637j -0.0203614+0.0182157j -0.00217224+0.0145845j 0.00838792+0.00133248j 0.00835724+0.00992152j 0.00288183-0.00667903j 0.0137673-0.00815179j 0.0103453+0.0127681j 0.00557787+0.000716474j 0.00447599-0.000462248j 0.0165564+0.00896907j -0.000116995-0.0317469j -0.00562995-0.00511143j 0.0027557+0.01062j 0.00676265-0.00138279j -0.00697569+0.00256189j 0.00769298+0.00845746j -0.00146744+0.000309543j -0.00479206-0.0083103j 0.00739727+0.000339011j -0.0045965-0.0104921j -0.00422504+0.00288118j -0.00418199+0.00226669j -0.0165394+0.00744478j -0.00676479+0.00113098j -0.0014569-0.0174993j -0.00506676+0.0200217j 0.0224843-0.0125268j -0.0140779+0.0182015j 0.013462+0.0118566j -0.00134105-0.0184642j 0.0187096-0.0117308j -0.0138433-0.0130822j -0.0228262+0.019679j 0.0176906-0.01295j 0.0149713+0.00885029j 
-0.0633319+0.0598039j 0.103045+0.0606949j -0.0529162-0.107447j -0.0785615+0.0282859j -0.0258211+0.0225904j -0.0371481+0.0570601j -0.0904751-0.0422857j -0.0314709+0.0594251j 0.00618994-0.0246989j 0.0144749+0.00220778j -0.0125737+0.0348974j -0.0193301-0.0360174j -0.0026322+0.034042j -0.00639669+0.026676j -0.0294771+0.0232363j 0.00707936-0.0353336j -0.020979+0.0222499j -0.00221718+0.00478283j -0.00288552-0.00223013j -0.0146569-0.0134052j 0.0186402+0.0149299j -0.0129835-0.00279503j -0.0237024-0.00370685j -0.00869567+0.0168321j 0.00752159-0.0137532j 0.0143599+0.000198707j -0.00790491-0.00476208j -0.00896267+0.0197254j -0.00205222+0.00166646j -0.017487+0.00709077j 0.0364158+0.00958407j -0.00523112+0.004186j -0.00280119-0.00377386j -0.0297144-0.00402554j -0.0375855-0.0101444j -0.006854+0.0285071j 0.0404854+0.0420982j 0.0544721-0.0101738j 0.0508376+0.0363006j 0.00983396-0.0594828j 0.00754999+0.0177403j -0.106103+0.0329165j 0.0434691-0.167942j 0.203079+0.130642j 0.014923-0.0375287j -0.0800967+0.0343417j -0.0324362-0.285885j 0.182322-0.122013j -0.0034353-0.0905975j 0.0584484+0.0603999j -0.0602689-0.0369047j 0.176893+0.00216774j -0.113224-0.0121769j 0.176193-0.0365142j 0.0169572-0.0151575j 0.00566151+0.0348413j 0.0308127-0.0491777j 0.0705665-0.049545j 0.0262884+0.00544643j 0.128931-0.0659049j -0.046766-0.0949455j 0.0739757-0.102468j 0.0234216-0.0677999j -0.0792236-0.0442539j 0.0216853+0.186735j 0.0242999+0.00415456j 0.109229-0.00630628j -0.0120865+0.0598208j 0.0259253-0.124557j 0.0219358-0.00498775j -0.0895419+0.145742j 0.0063322-0.0524351j -0.0451877-0.00445809j -0.125548-0.0047751j -0.0570766-0.000163789j 0.0671983-0.0775305j 0.046552-0.0451171j 0.059719+0.0423341j -0.02947+0.00525479j 0.00167393+0.0488776j 0.0167151+0.00128424j -0.0895684-0.00357823j 0.0211748-0.0662115j -0.0964736+0.035485j 0.0499158-0.137951j -0.142026+0.0314547j 0.0239194-0.133715j 0.193964-0.0380182j -0.0772126+0.128707j 0.112145+0.182026j 0.100053+0.18765j -0.170303+0.0220529j 
-0.0530933-0.0924799j -0.117837+0.0678657j 0.0380476+0.0439791j 0.00827883-0.0306899j -0.0301719+0.0501206j -0.0404261-0.0268032j 0.002408+0.00592791j 0.0200349+0.00297343j -0.00331347+0.0321402j -0.0483596-0.0160915j -0.0399504+0.0324349j -0.0530923-0.0627365j 0.00282162+0.0211831j -0.0109957+0.0229083j 0.0106365+0.00829636j 0.0148703-0.0107029j 0.0122712+0.0158321j -0.0178982+0.00309731j -0.0010552-0.0169675j -0.0282154+0.0275188j -0.00335901+0.00617782j -0.0159296-0.000100637j -0.0107325-0.0124273j -0.000889656-0.0354992j 0.00107373+0.0296426j 0.0185738+0.0213391j 0.00861066+0.00586286j -0.0188207+0.00312251j -0.0202293+0.0191601j 0.0173484-0.0138955j -0.00563522+0.00404271j -0.00197119-0.0047522j -0.0168927-0.0235908j 0.0476208-0.00853133j 0.00686634-0.00340061j 0.0249004+0.00871429j -0.0283799-0.00512162j 0.0101125+0.0198926j -0.0778025+0.0578638j 0.0577804+0.0649622j -0.061233-0.00789033j 0.0740107-0.0939825j 0.0210443+0.0739444j -0.0670048-0.0299311j 0.120742-0.0693712j -0.166528-0.0885267j -0.0872334-0.0318935j -0.0216975-0.0689183j 0.0440295+0.11352j -0.0851642-0.0148791j -0.118452-0.129505j 0.0650271-0.325492j -0.0257181-0.0110988j 0.11135-0.0693158j -0.148419+0.0371742j -0.0300679-0.0592152j 0.00631983+0.0515874j 0.0499991-0.0371551j 0.166946+0.113878j -0.082978+0.0711561j 0.017865-0.0657943j 0.121739+0.0842072j 0.0188798-0.0811499j 0.012029-0.078865j -0.0831837+0.172526j -0.0926005+0.0307084j 0.0703819+0.00720784j 0.0267287+0.015372j 0.0458441-0.0280551j 0.0349394+0.0719378j 0.0552494-0.0636382j 0.0553387-0.0340948j -0.0225638-0.0118349j -0.0103874-0.121742j -0.0655762+0.0218627j 0.156228+0.10671j 0.0220698+0.0912296j 0.0711142+0.0596757j 0.131504-0.0990703j 0.0897818+0.0461689j 0.0558385-0.133815j 0.0526467-0.0138669j -0.067971-0.11932j -0.0222063+0.00860572j -0.180491-0.015383j 0.120741+0.154639j -0.10556+0.0313561j 0.0288669-0.179978j 0.0408204+0.0114934j 0.102962-0.0979047j -0.225812+0.00443573j -0.0121735-0.189753j 
0.0702355+0.0349677j 0.0414093-0.0725196j 0.000909056-0.0818507j -0.0809704-0.0016547j -0.00296761-0.0453134j 0.0277472-0.049394j 0.0557723+0.00252684j 0.00236944+0.00772241j -0.00678965-0.00529358j 0.0136146-0.0133212j -0.0312353+0.0382852j -0.0348218-0.0086421j 0.0271641+0.0077924j -0.0298197-0.0103846j 0.0106378-0.0122172j 0.00594789-0.00600752j 0.0207654+0.0202429j -0.00107825-0.0336272j 0.00172872-0.0200952j 0.00163702+0.0269422j 0.012108-0.0100005j 0.0136213-0.0143814j -0.00420941-0.0193565j 0.0128698+0.0118836j -0.0215288-0.00728124j 0.00718967-0.013232j 0.00109416-0.00230431j 0.00711984-0.016581j -0.0119002-0.0032793j -0.0149084+0.014705j -0.0016878-0.0177631j 0.0268113+0.00779071j -0.00809461+0.0150803j -0.0225305-0.00628917j 0.0108025-0.0125857j -0.0158044-0.0118029j 0.0262696-0.0119424j -0.0255456-0.0329903j 0.018425-0.0580535j -0.0640901-0.00773515j 0.0669423-0.0138364j -0.0105509+0.0839397j 0.117991-0.0616892j 0.0804452+0.129196j -0.00887371+0.0772512j 0.137824-0.0763945j 0.147832+0.110536j -0.109155+0.0191672j -0.105896+0.0049938j -0.0126288-0.00803945j -0.258271-0.03051j 0.0275443-0.156813j -0.0975327-0.182181j 0.0142702-0.0915266j -0.0635399-0.0258084j -0.0769114+0.0281279j -0.021101+0.158693j 0.0789423-0.111513j -0.0130743-0.0256166j -0.0985021+0.0879302j 0.0745955+0.0120769j -0.0944325-0.0984056j 0.0788138-0.0314426j 0.0883473+0.0100241j -0.0407732-0.0143444j -0.0175454+0.0138418j -0.00241158+0.0109958j 0.11263-0.0214346j -0.00824356+0.0500634j 0.0782127+0.07005j 0.036613+0.0549846j -0.000572732+0.128122j 0.130283+0.0264591j -0.106676+0.0114345j -0.0744404-0.0836386j 0.067002+0.137987j -0.0907063+0.0275161j -0.106939-0.0473325j 0.101878+0.0409528j -0.0910586+0.176431j -0.0668238+0.0155505j -0.0753225-0.0925308j -0.264892+0.0522702j -0.0421886+0.183038j -0.0460261+0.158093j 0.0112856-0.00708837j 0.022254+0.0877564j -0.083326-0.0582839j -0.238027+0.00387578j -0.0203242+0.208992j 0.0843134-0.055213j 0.0658934+0.0643109j 
0.0694767-0.00855012j 0.032944-0.0688538j 0.0372156-0.0209895j 0.0328802-0.0291942j 0.0709354-0.0274114j -0.013491+0.074412j -0.0228596-0.0428818j -0.0417768-0.0289947j -0.0298528+0.0315507j -0.0421789-0.0251985j -0.020011-0.0105663j 0.0140142-0.0093653j 0.0257641-0.0163473j 0.000841966+0.0324829j 0.00094814+0.00538266j -0.0219431+0.00581586j 0.0121116+0.019381j -0.0106766-0.00823383j 0.019631+0.0188622j -0.0132713+0.0156609j -0.00508515-0.00547554j -0.0126311+0.0140598j -0.00853068-0.0202808j 0.00601412+0.0212494j -0.0265029+0.000812944j 0.0176347-0.0197768j -0.0200393+0.00311336j -0.00761039-0.00920454j -0.0124217+0.00141768j -0.0141998-0.00620067j 0.00597265-0.00705365j -0.0129278-0.0171231j 0.0189926+0.0141866j -0.0333139+0.00185488j 0.00241301+0.0331932j 0.00705265+0.0044477j 0.0177167-0.016082j -0.0273769+0.00294381j 0.00416057-0.0602842j -0.0744233+0.0199567j 0.0490694-0.0337343j -0.0230876+0.073285j -0.0327073+0.0406901j -0.0683102+0.038176j -0.198292-0.0433923j -0.0631144+0.194518j 0.0678151-0.10235j 0.141417+0.158008j 0.0605751+0.109553j -0.231148-0.0303893j 0.00848999-0.123883j 0.0317902-0.0299435j -0.0562527+0.138529j -0.041821-0.0306364j -0.115015+0.0381613j 0.101998+0.0832471j -0.0267435+0.139952j 0.00998032+0.0174587j 0.0248028+0.0447588j -0.0898876-0.0214276j -0.011592+0.0977632j -0.0162477-0.0101503j -0.0801899-0.0158768j -0.0534983+0.114613j -0.0752627+0.0565321j 0.0577852+0.00623492j 0.15576-0.0120032j 0.00343299-0.100245j -0.0671229-0.0434718j -0.101674+0.00952932j 0.137401+0.0223155j -0.0474309+0.0151199j 0.106711+0.12539j -0.0306599-0.0449107j -0.000826069+0.057302j 0.0797349+0.147j 0.104412-0.0520697j -0.0462236+0.0140135j 0.0627611-0.166935j -0.0428332-0.0386333j -0.0672866+0.172807j 0.198718+0.0156311j 0.00253028+0.0176371j 0.0581879+0.021601j 0.212441+0.0216582j 0.145774-0.197991j -0.158998-0.221552j 0.0881313-0.157843j 0.00850091-0.00372734j -0.050042+0.0715483j 0.0729561-0.0529948j 0.0585584+0.00738085j 
0.0415291-0.0792764j -0.0526896-0.0480336j 0.0347051-0.0527916j -0.0539103-0.00600917j 0.0627158+0.0550048j -0.021083+0.0264789j -0.000122262+0.0128156j 0.0259845-0.00284388j -0.000469713-0.04283j 0.0329015-0.0108491j 0.0118007+0.0037735j -0.00348806-0.0304974j -0.0286155-0.0251305j 0.00629087+0.00631179j 0.0297892+0.00368947j -0.00962075+0.0173163j -0.00913888-0.0121991j -0.0247966+0.0172559j 0.0187142-0.0148464j 0.0102297-0.0312908j 0.00562678-0.00616966j 0.00661195-0.00830336j -0.0173467+0.00384532j -0.0078918+0.0116502j -0.0165013+0.00943823j 0.00935912-0.0123401j 0.0131734+0.00536151j 0.0314101-0.0315695j -0.0269018+0.0114644j 0.0310765+0.0237798j -0.00249968+0.0129996j -0.0068533+0.000127787j 0.0118789-0.00542383j -0.0024986+0.00192843j 0.00905817-0.000439084j -0.00357755-0.0049151j -0.0153002-0.0128303j -0.0284669+0.0220697j -0.0499673-0.0316724j -0.0299938+0.0781683j 0.0441482-0.0706592j 0.0542172+0.0477734j 0.127885-0.0185488j 0.0078377+0.127369j -0.0633219-0.201432j -0.107758+0.0543903j -0.0646297+0.0513773j -0.0675136-0.0182483j -0.0758282-0.0505444j 0.100818-0.0982372j 0.0268685+0.0550026j -0.0251783-0.0345098j 0.11174-0.032016j 0.0796914+0.14236j -0.0613345+0.0629837j 0.0526261-0.0347643j 0.198856-0.1239j 0.0698338+0.0177169j -0.0898976+0.0926252j 0.0458342-0.0402729j 0.0249831+0.0278069j 0.0391394-0.039346j 0.0184244-0.101798j 0.0396737+0.0448701j 0.0799156-0.00823256j -0.0782701-0.0624658j 0.10621-0.0685658j -0.104725-0.222436j -0.0287552-0.00765992j 0.0329373+0.1288j 0.0768368-0.0126971j 0.0476785+0.0799076j -0.0417336-0.0464169j 0.136617-0.100331j -0.119954-0.0727343j 0.0198825-0.123124j -0.0101304+0.00237799j 0.144236+0.0430479j 0.0272578+0.0969382j -0.23107-0.0825329j -0.146943-0.27678j -0.190373+0.177174j 0.123798-0.000874172j 0.000675129-0.0843714j 0.0741281+0.0999946j 0.0536944-0.141303j -0.141187+0.0114248j -0.0504829-0.102455j -0.107962+0.0650915j 0.0357391+0.105628j -0.0134313-0.0641506j 0.0533084-0.0366771j 
-0.0108742+0.00390936j 0.015+0.00626017j -0.00564935-0.0143111j -0.0055108+0.000400727j -0.00423297+0.00148201j -0.00754942-0.00182798j 0.000932177-0.0121205j -0.00906908+0.00333848j 0.00245918+0.00406342j 0.00156966+0.00142674j -0.0121015-0.00173569j 0.00754044-0.00799183j -0.00558806+0.00415318j 0.00284775-0.00135546j -0.0042879-0.0030209j -0.00226916-0.00720513j -0.000464672-0.00658287j -7.67475e-05+0.00101651j -0.00653409-0.0045717j -0.00101433-0.00323072j 0.00770832+0.000140703j -0.00590544+0.00765847j -0.00828452-0.00129618j 0.00430147+0.00408474j 0.00297741-0.00584491j -0.00188808+0.00616017j -0.000631825-0.00161692j 0.00215176-0.000443249j 0.00176102+0.00462962j -0.000900949+0.00529323j 0.00221618-0.00198005j 0.000813086+0.00154584j -0.000231359-0.00537915j -0.00203725+0.00311606j -0.00295993+0.000995791j 0.0025151+0.00502871j 0.0036195+3.40599e-05j 0.00185098-0.00025055j 0.00498774+0.00424882j 0.00274928+0.00130913j -0.00838568+0.000188633j -0.0119434+0.00131179j -0.00030758+0.000942829j 0.0078619+0.015401j -0.0154393+0.0118762j -0.00222666-0.0142568j 0.0336421-0.0336497j -0.010142+0.0177739j 0.0149725+0.00272373j 0.0110487+0.03634j 0.00454565-0.00700908j 0.0640841+0.0493265j -0.0104718-0.0129496j 0.0194013+0.0226404j 0.0196596+0.0111762j -0.0239938+0.00694427j 0.0226345-0.0105187j -0.0131705-0.0136117j 0.000276545-0.0303089j 0.0168102+0.0115124j -0.0244068-0.0241128j 0.0284579-0.0559054j 0.0097796-0.0111879j -0.00222794-0.0144694j -0.00081083+0.044333j 0.0118859+0.0280109j 0.022173-0.00450875j -0.019479+0.00862065j 0.00648886-0.0370181j -0.000260957-0.0223761j -0.050151+0.0175434j -0.0199759-0.0049706j -0.0165458+0.0157297j -0.0268113-0.00310723j -0.025888-0.00798771j 0.00862147-0.0197767j 0.013023-0.0193559j 0.00158258-0.0091466j -0.0146703+0.000552854j 0.00475354-0.00721817j 0.00779218+0.00184882j -0.0163976+0.0182506j 0.0030991-0.00848782j 0.00719265+0.0260177j -0.00177623-0.0219896j -0.0216386+0.0382508j -0.00396443-0.0113438j -0.00674736-0.0551095j 0.0102775+0.0241193j 0.0249211+0.00767561j 0.0378528+0.00181299j -0.00872621+0.0150856j 
-0.00275046-0.00908848j -0.0181835+0.000338502j -0.00959213+0.0166055j 0.00654433+0.00550614j -0.00495892+0.00336218j 0.00203032-0.00471062j -0.00147592+0.00891954j 0.0124294+0.00631818j -0.00306458+0.00561978j -0.00322962-0.00499849j -0.00058812-0.00511723j 0.00108982+0.0014103j -0.000867111-0.00296334j 0.000880929+0.00509283j 0.00645028+0.0054327j 0.00518101-0.00558649j 0.00799963+0.0044781j -0.00199723+0.00125785j 0.00422533-0.0105452j -0.00390227-0.00111565j 0.00155986+0.0035368j -0.00786078-0.00162029j 0.00283936-0.00870695j -0.0091993+8.2317e-05j 0.00775123+0.00392426j 0.000440195+0.000775431j 0.00556193+0.000392525j -6.59677e-05+0.00371278j -0.00307891+0.00413419j -0.00324283+0.0016699j 0.000692556+0.000895234j 0.00425235+0.00233676j -0.00247537+0.00122224j 0.000247236-0.00157929j 0.00274315+6.82095e-05j 0.00939047+0.00140562j -0.00125979+0.0010646j -0.00174462-0.000772991j -0.00344284-0.00136647j 0.00303033-0.000443787j -0.00782427+0.000999024j 0.0112904-0.00573279j -0.0043962-0.00259694j 0.00891189-0.0171069j 0.0240632+0.0189787j -0.00158354-0.00800887j -0.0406272+0.00155775j -0.000570615-0.00900073j -0.000517176+0.0109058j 0.00972358-0.0219282j 0.0448856-0.0158232j 0.036203-0.0148742j -0.00394096+0.00278008j -0.00204488+0.000127915j -0.00837884+0.00426339j -0.00182842-0.0217j 0.0196611+0.0137225j -0.00749258-0.0338193j 0.00749492+0.0364102j 0.00754131+0.00346081j 0.0354667-0.00487647j 0.0302221+0.0329042j -0.000163952-0.0451975j 0.0078424-0.0245115j -0.0371014+0.0484327j -0.0377012-0.00254898j -0.00498509-0.0303218j -0.00145084+0.0140686j 0.0268932-0.0201596j 0.00544491-0.0156343j -0.0040547-0.0310041j 0.0224879-0.0197757j -0.0169621-0.00385104j -0.0193125-0.0371287j 0.0113347-0.0274996j 0.0391773+0.0143754j 0.0233599+0.0223014j 0.00026338+0.00619702j -0.00131472+0.00524282j -0.000601486-0.0112779j 0.0046538-0.0264181j 0.0220362-0.0125112j -0.00985155-0.0147361j 0.0115294-0.0191944j -0.0142722+0.000540672j 0.0594727+0.00811107j 0.00298065+0.00227111j -0.0427334+0.0075698j 0.00263941-0.00704994j 0.00342208-0.0157704j -0.0112413+0.0149576j -0.022712+0.000822891j 
0.00258541-0.00104999j -0.00799414-0.00534238j -0.0106612+0.00405361j -0.000866068+0.00579216j -0.0069139+0.00399699j 0.00364197-0.00743365j 0.00297875+0.00411991j 0.0042332+0.0107346j -0.00585097+0.00971964j -0.00778039-0.00204081j -0.0034765-0.0100449j 0.000911985+0.00463568j -0.00455972-0.00480929j 0.00297701+0.0062731j 0.00332712+0.00522794j 0.00340584-0.00353996j 0.00158777-0.00714381j 0.00118581+0.00379876j -0.00380598-0.00795885j -0.00338319+0.00751954j -0.00587236-0.0013817j -0.00412042+0.00784351j -0.00417315-0.00170405j -0.00981112-0.000282194j 0.00478913-0.00230363j -0.00369963+0.00520663j 0.00434253-0.000117292j 0.00872422+0.000659215j 0.000998319+0.00760137j -0.00146472+3.80535e-05j 0.00408288-0.00191209j 0.00154461+0.000284025j -0.000286595-0.00284667j -0.00533138+0.00185003j 0.000543456+0.00246681j 0.00627999+0.0159296j 0.00270937+0.00513433j -0.00374255-0.00815891j -0.00233089+0.00178307j 0.00503357-0.00129311j 0.00709778-0.00282794j 0.00940443+0.00762745j 0.00327314-0.016468j 0.0174652+0.00298549j 0.0177512+0.0269995j 0.0019059-0.0142103j -0.0195651-0.0253414j 0.0326309-0.0130993j -0.0192314+0.0135415j -0.00720374-0.0104534j 0.0213538+0.0118795j -0.000340654-0.00279703j 0.00278572+0.00429487j 0.00643367+0.00524829j -0.00511601+0.00562479j 0.00224264+0.00730361j 0.00733877-0.0137559j -0.0274796+0.00504683j 0.0256786-0.024165j -0.00982551+0.00265302j -0.0524362-0.024589j -0.0202998+0.014059j 0.00257968+0.0387509j 0.00771299+0.0031403j 0.021325-0.0266237j 0.00665946+0.0299395j 0.00415235+0.0231595j -0.00447926-0.016854j 8.80286e-06+0.01624j 0.00719016-0.00649436j -0.0190519-0.0254797j -0.0114014-0.0067835j -0.0108344+0.0326648j 0.0210545-0.00600793j -0.0156579+0.0277465j 0.00405455-0.0350355j 0.0066964-0.000730093j 0.0193111-0.00507224j -0.0245045-0.0397182j 0.0178227-0.00908566j 0.00906805-0.0360271j 0.020246-0.00245387j -0.00718242-0.0293732j 0.00245669+0.0204772j 0.0132779+0.0105841j 0.00911735+0.0187641j 0.00784584+0.0033284j 0.00981296+0.00534889j -0.0247534-0.030671j -0.0210448+0.0214815j -0.00634161+7.04e-05j -0.000406017+0.00414275j 
