0.0927481-0.107595j -0.186381-0.0815997j 0.0150363+0.243279j 0.214272+0.091485j -0.019995+0.0794847j 0.0917112-0.0746976j -0.0311111-0.26888j 0.204178-0.131954j 0.00621989-0.0812722j 0.0591885+0.079123j 0.0598841+0.045235j -0.174776-0.019555j 0.201773+0.0129088j -0.101741+0.0267471j -0.0329719+0.0209907j -0.00108864+0.047191j 0.0291223-0.0505272j -0.0752142+0.0562157j 0.00292961+0.00869754j -0.12566+0.0689813j 0.0367362+0.121271j 0.0927391-0.0839256j 0.00273691-0.075474j -0.0803405-0.0222246j -0.0207468-0.186247j 0.0421598-0.0584843j -0.0493244-0.0748544j -0.0077005-0.052012j 0.0281728-0.129535j 0.0148405+0.0125387j -0.0955455+0.146713j 0.0131252-0.0657907j 0.0407869-0.00334923j 0.121301+0.00396537j 0.060297+0.0150349j -0.0671377+0.0819952j -0.0490459+0.0603472j 0.0599354+0.0321483j 0.0281459+0.00498836j -0.0136294+0.0497628j -0.0105735-0.0113094j 0.0908943+0.000735568j -0.0316441+0.0606865j -0.0927009+0.02906j -0.0321147+0.130838j 0.150414-0.0378501j -0.0366516+0.136603j 0.198065-0.0423506j 0.06057-0.174321j 0.122339+0.153992j -0.118496-0.198854j -0.18097+0.0331831j 
-0.0843306-0.135431j -0.180798+0.107829j 0.037255+0.0842345j 0.0251534+0.0138167j 0.107818-0.0958767j -0.157064-0.0898671j 0.124563+0.0414109j 0.0375789+0.0858858j -0.035691-0.119338j 0.106059+0.0292904j -0.11452-0.144791j 0.0748456-0.322207j -0.0960715+0.0608977j 0.0886794-0.06824j -0.153339+0.0464473j 0.020751+0.0592122j -0.022332-0.0631879j 0.0689823-0.0417806j -0.178742-0.123055j -0.0757343+0.0654287j 0.056777-0.0507674j -0.109146-0.103095j -0.0249787+0.109528j -0.00413116+0.0531694j -0.086053+0.183419j -0.124614+0.0283177j 0.00384969-0.0248263j 0.0376605+0.0148793j -0.0540131+0.0201792j -0.0255231-0.0800561j -0.0620989+0.0640123j -0.0524298+0.0321432j -0.0192416-0.00842705j -0.0138827-0.123726j -0.050608+0.0309616j 0.162894+0.109539j 0.0271821+0.0892092j -0.0809544-0.0668687j 0.109742-0.110026j -0.119343-0.0387891j 0.063147-0.13438j 0.0531441-0.0210827j -0.0655657-0.118947j 0.0277503+0.00233909j -0.161411+0.00262131j 0.136827+0.152271j -0.119757+0.0233972j -0.0173126+0.189702j 0.0627851+0.00411814j -0.102798+0.0906914j -0.229095+0.0107992j 0.020434+0.195169j 
-0.102605-0.0551196j -0.0700309+0.109208j -0.107549+0.119079j 0.121635+0.120642j -0.00436398-0.0926423j -0.127109+0.107052j 0.18171+0.0965244j -0.100324+0.0155326j -0.101705-0.00894465j -0.00413008-0.00756276j 0.278232+0.0239126j -0.0155655+0.172346j 0.0941958+0.110692j 0.0387567+0.170693j 0.064582+0.0114825j -0.0829887+0.0132718j -0.0324633+0.174099j -0.0728458+0.104163j -0.0194928-0.0295948j 0.0886564-0.0979538j -0.051555+0.0172002j -0.123347-0.091977j 0.101539-0.0283146j 0.0640928+0.0137462j 0.0348257+0.0231858j 0.012114+0.0111674j 0.0404147+0.0274524j -0.110082+0.0121123j 0.0059483+0.0629733j 0.0885905+0.0586968j 0.0231621+0.0715293j -0.00243165+0.121771j -0.139561-0.0279765j 0.0945019-0.0266524j 0.066662+0.0697476j -0.0784298-0.143894j 0.0843667-0.0313528j -0.106662-0.0429643j -0.115146-0.0149225j -0.0602971+0.180358j 0.0604981-0.0323835j 0.0733224+0.105419j 0.269009-0.0443153j -0.0660744+0.182049j 0.0549529-0.163936j -0.0148938+0.0164006j -0.0361972-0.101801j -0.0931285-0.0404881j 0.239802-0.0541212j 0.0358798+0.203252j -0.0872668+0.0532641j 0.0652087+0.0687286j 
-0.111596+0.00253675j -0.0628246+0.114086j -0.0199235-0.00500836j -0.104437+0.0789403j 0.186136+0.0281885j 0.0665252-0.211851j 0.0698327-0.094523j 0.170229+0.166196j 0.0233784+0.12305j -0.24863-0.0385318j -0.00785693+0.122012j -0.0193028+0.00869656j 0.0398523-0.146709j 0.0763367-0.0146756j 0.1171-0.0502908j 0.111982+0.0835458j -0.021608+0.151122j -0.00134808-0.0376758j 0.0286983+0.0341841j 0.09386+0.0125062j 0.0102624-0.0952349j -0.0240072-0.0441958j -0.0806228+0.0164303j -0.0302411+0.119958j 0.0912592-0.0509455j 0.0471015-0.0690701j -0.0619105-0.121436j -0.0418555+0.0987497j -0.0914269-0.0389764j -0.0933126+0.0168682j 0.12316+0.0213637j -0.0635284+0.0136018j -0.126383-0.131542j 0.0308325+0.0374454j -0.00430001-0.0660063j -0.0771042-0.149063j -0.107209+0.0424971j -0.0456512+0.0184599j -0.0734805+0.154564j -0.0216623-0.0852986j 0.0729684-0.179672j -0.198031-0.00727014j 0.00734016-0.0189821j 0.0619202+0.0388991j -0.223727-0.0164839j -0.122637+0.219389j 0.158345+0.212547j 0.0901735-0.152235j 0.0140379-0.0128631j -0.0548651+0.0777811j -0.0830385+0.0535653j 0.0607336+0.0148658j 
0.0761655-0.110859j -0.0714929-0.0822824j 0.140877-0.0852465j -0.0548053-0.111756j -0.106417-0.215813j -0.100771+0.0710918j 0.0627465-0.081416j 0.0734161-0.0134605j 0.0728799+0.0740903j -0.113419+0.105796j 0.0180984+0.0451962j -0.0195427-0.0484141j 0.06166-0.0882336j 0.1213+0.118309j -0.0524256+0.0605083j -0.0475252+0.0379899j -0.202024+0.118949j 0.0888693+0.00948726j 0.10764-0.0998387j 0.0335859-0.033443j 0.0329459+0.0200437j -0.0334704+0.0508653j -0.0315429+0.0893315j -0.0382754-0.0735968j 0.0742853-0.0113051j -0.104449+0.0176339j 0.114228+0.0168054j -0.088319-0.243975j 0.0258884-0.0209864j -0.0324815-0.129508j -0.0915835-0.000228405j -0.0388099-0.0848806j -0.0416312-0.0407583j 0.140387-0.0998956j -0.113832-0.0833185j 0.0192766-0.108478j -0.0150886-0.00116643j -0.147539-0.0339603j 0.0919452+0.111635j 0.214582+0.0416246j -0.158622-0.291336j -0.197032+0.170781j 0.109077+0.0065043j -0.00684946+0.0763694j 0.0846815+0.0907562j 0.0441582-0.163377j -0.147158+0.0137433j 0.0518936+0.0950547j -0.101749+0.0893993j -0.0571541-0.0928586j -0.00996412-0.067104j -0.057248+0.0350671j 
0.00757942-0.000773747j -0.0146524-0.00411586j -0.0026478+0.00665953j -0.00222453+0.0175063j 0.0134533+0.000271844j 0.00509186+0.00670064j 0.0399112-0.0205805j -0.00273405+0.015046j 0.00970375+0.0031954j -7.27182e-05+0.0310808j 0.00988674+0.00250206j -0.0311252-0.0346707j 0.0111338+0.0197462j -0.00810636-0.00827598j -0.0152378-0.00597172j -0.0178975+0.00896203j 0.00671348-0.010408j 0.00259698+0.00291699j -0.00182904-0.0294674j -0.00891735-0.00670936j 0.0174498+0.0247438j 0.0181278-0.0406319j 0.00430453-0.000256618j -0.00617081-0.00460818j -0.00664038-0.0151219j -0.000965345-0.0216249j 0.00560682-0.0237922j 0.00654805-0.00527242j -0.00294363-0.0191773j -0.00180507-0.00569106j -0.0311113+0.0205415j -0.0129494-0.000474395j 0.00636591-0.0100673j 0.0124394-0.00559841j 0.0221111-0.00344165j 0.00579609+0.0142959j -0.00131855+0.0181925j 0.00217699-0.00866205j 0.00785144-0.00163534j 0.00102632-0.00217606j -0.00578739-0.00893558j 0.0194096-0.0142997j -0.00349985+0.00115254j 0.00251478+0.0209345j 0.00247927+0.00897967j 0.0298044-0.021196j 0.00459411+0.00874447j 0.00810286-0.0392154j -0.0111888-0.0204443j 0.0149163+0.00290756j -0.0276108+0.00426359j 0.00180342+0.00833022j 
-0.00228896-0.00335874j -0.00954547-0.00272345j -0.0133127+0.00151269j -0.0098743+0.0113256j 0.00928635+0.0194814j 0.00390664-0.0100422j 0.0184532+0.0110196j 0.00511185+0.00536862j -0.0022459-0.0114307j -0.00971864+0.00646744j 0.034646-0.00748617j 0.0386325+0.00723702j -0.00800941-0.00379453j -0.00165872+0.00617656j 0.000719322+0.00756267j 0.00843865+0.0139908j -0.0201359-0.00660153j -0.00754564-0.0226161j -0.00611969-0.0155508j 0.00902528+0.00584113j 0.0197563-0.00747377j -0.0229902-0.0112831j -0.0063581+0.0314998j -0.00639954+0.0109359j -0.0196338+0.0395003j -0.0134971+0.0144042j 0.00115474-0.0221777j -0.00783659+0.0060526j -0.0181411+0.0231467j 0.000984256+0.011584j 0.0170109+0.0227344j -0.0105006+0.0114904j -0.0145659+0.00599164j -0.0155772-0.0247541j -0.000669826-0.0205376j 0.0273545+0.00134062j 0.0200607+0.00818763j -0.00347428-0.00185502j -0.00921634+0.00327699j -0.000405773+0.00858101j 0.00581185-0.0206274j 0.0130696-0.00231432j -0.00619448-0.0163437j -0.00716036+0.00390403j -0.00031309+0.00132018j 0.0358876+0.016245j 0.00268109-0.00193825j 0.0315875+0.00997061j 0.00323188-0.00399726j -0.00439535+0.00683001j 0.00406809+0.00824182j 0.0160217-0.00696431j 
-0.00614133-0.00197882j 0.00514236+0.00867561j 0.00314467+0.0153247j 0.0187985-0.000699264j -0.0114443-0.0165348j -0.00377667+0.0108525j -0.0130786-0.0208575j 0.0212091-0.0135429j -0.0149395+0.0114441j -0.00531592-0.00623883j -0.0102115-0.0100656j 0.0013588+0.00240258j -0.000462507-0.000211682j -0.00531124-0.00617914j 0.00439689-0.00448613j 0.00123584+0.0054074j 0.00803684-0.0114776j 0.0204237-0.00375132j 0.0197034-0.0208003j 0.00823668+0.000358324j 0.0425978+0.0163275j -0.00347847+0.0124525j 0.00316071+0.0327885j 0.00770629-0.00487826j -0.019276+0.0244964j 0.00821931-0.00972949j 0.0231004-0.0191689j 0.00222245+0.00813478j -0.00143719+0.0124962j 0.00393998-0.00441737j -0.0168753-0.0215489j -0.00718908-0.00251539j 0.00699836-0.0257845j -0.0175085+0.00417574j 0.0136269-0.0190246j -0.00118216+0.0298279j -0.00398323+0.00372588j 0.015295-0.00709059j 0.020189+0.0267302j 0.00863619-0.0120125j -0.00597772+0.025916j -0.0144122+0.0015187j 0.00540982+0.0231727j -0.00133492+0.017964j -0.012605-0.0130261j -0.00461205-0.0130248j -0.00603715-0.00209527j 0.00945092-0.00180633j 0.0264349+0.0174497j -0.011295+0.0240973j 0.00297415+0.0016413j 0.00213019+0.00351415j 
0.00364722-0.000239533j -0.00254893-0.0025894j -0.00228051+0.0102199j 0.01167+0.00404635j -0.0187626+0.012525j 0.0016725+0.0398394j 0.0190604+0.00187724j -0.0127042-0.0104718j -0.0223079+0.00461303j -0.0148916-0.0100497j -0.0170257+0.00439839j 0.00739869-0.017216j -0.0252204-0.0151934j -0.0156345+0.00440131j 0.0409442+0.0194187j 0.000442934+0.0106168j -0.016266+0.00889431j 0.0155479+0.00170093j -0.00990515+0.0150128j -0.00051846+0.00380804j 0.0106869-0.0190942j -0.00645371-0.0163795j -0.0146262-0.0129611j -0.0120862+0.00532486j 0.00795175-0.00759266j 0.0134629-0.0167116j -0.0151689-0.00194903j -0.00969029+0.0155296j -0.00838932-8.70869e-05j -0.00997203-0.0113185j 0.00813465+0.0227995j -0.00235536-0.0161723j 0.00619961-0.0127579j 0.0218352+0.009836j -0.0111624+0.00189118j -0.00186068-0.000774033j -0.0074001-0.00110792j 0.0292715-0.0125245j -0.0109199+0.0122143j 0.015326-0.0129133j -0.00527646-0.000125954j -0.000801263+0.0148423j -0.0151412-0.0175928j 0.0137506-0.014525j 0.0127715+0.00619557j 0.0266063+0.00173152j 0.00373577-0.0438581j -0.0285906-0.00248627j 0.0142282+0.00339438j -0.00388826+0.0149242j -0.0039486+0.00110951j -0.00128293+0.00243532j 
0.00962955-0.00111352j -0.00441069-0.00926142j -0.00761539-0.0212059j -0.0194215+0.00999849j -0.00386341+0.0219438j 0.00190431-0.00960902j -0.01788+0.00518276j 0.00283923-0.0146999j -0.0209262-0.0101184j 0.00699657-0.0235097j -0.0184616+0.0264894j -0.0132377-0.0202314j 0.00172878+0.00369117j 0.00225267+0.0152018j -0.00875351-0.00039771j -0.0106836+0.011768j 0.00184116+0.000424681j -0.000228447+0.0112017j 0.0168896-0.00724774j 0.00140882-0.0103516j 0.02541+0.0185049j -0.0208345+0.0131172j 0.000904259-0.00743555j 0.0084359+0.0138225j 0.0202374+0.0101821j -0.00502358-0.0152663j 0.00316008-0.000727334j -0.000948022+0.0223458j 0.0125818+0.00626407j 0.0143937-0.011097j 0.0104522+0.00506247j 0.0109297+0.015449j 0.00959042-0.00718705j 0.00365123-0.0118517j 0.0150316+0.00452543j -0.0354014+0.00450554j 0.00504939-0.0123992j -0.0260778+0.0172773j 0.0232068+0.0308886j -0.0108623+0.0116765j 0.0248566+0.00671661j 0.00282916+0.00622501j 0.00968853-0.0228834j 0.0457822-0.00313644j 0.0129729+0.0286665j 0.0149443-0.0143046j -0.00179575+0.00440724j 0.00596771+0.00546086j -0.0140844+0.00918923j -0.00752479-0.0118025j 0.00193043-0.0018336j -0.00347851-0.00292605j 
-0.00293226+0.011548j 0.0135803+0.00859109j -0.00705043-0.00416846j -0.00462949+0.00955286j 0.0305767-0.0186827j 0.000653987-0.021181j -0.00498583-0.018314j 0.0051256-0.0033221j -0.0341598+0.00682905j -0.0100382-0.00599415j 0.0104514+0.00154127j 0.0170592-0.0121911j -0.00162643+0.00505197j -0.0204442+0.0279036j 0.00254875-0.00175132j -0.00356001+0.000816578j -0.0361435-0.0112528j 0.0131206-0.0103513j 0.00692994-0.000403437j -0.0177105-0.023835j -0.013153-0.0118568j 0.0149962-0.00306681j -0.0061832-0.0231144j -0.0110235-0.00491827j -0.00360396+0.0205946j -0.00850921-0.0144221j 0.0201482+0.0181712j -0.0171503-0.0113189j -0.0123066+0.00400161j -0.00574604-0.00802707j 0.0104432-0.00434721j 0.0305846-0.0185051j -0.00529123-0.0069568j 0.0116461+0.0123043j 0.0130089-0.0171621j 0.0183078-0.011873j -0.0182138-0.00792445j -0.00715625-0.00135352j -0.00499661-0.00816251j -0.00927161-0.0081124j -0.0325144+0.0315599j 0.0363026+0.0158683j -0.00266572-0.01655j 0.0158909+0.00390926j -0.0120532+0.00272625j -0.0107699+0.00534501j 0.00854198+0.0256055j 0.00807813+0.00128774j 0.00127014+0.00556838j 7.56856e-05+0.00554879j 0.000550086+0.00472231j -0.000217611+0.00055512j 
