-0.104288+0.00623211j -0.0389553-0.110117j -0.102406+0.0230596j 0.0971851+0.121859j 0.0495795-0.130967j 0.121271-0.036691j -0.145758-0.130798j -0.0720099+0.194504j -0.0473549+0.107467j 0.00551985+0.0262366j -0.0653798-0.0520191j 0.0835379-0.256688j -0.182357+0.0591488j 0.154718-0.0717602j -0.00226284+0.0806619j -0.0528348-0.1092j -0.0412817+0.00727567j 0.0693763+0.000740591j -0.0448159+0.0674048j -0.027001-0.112064j -0.0018479-0.0295343j 0.00589555+0.0268232j 0.0286313-0.041911j 0.202106+0.122909j 0.0218019-0.0610848j -0.108265-0.104158j -0.0332074+0.0137317j -0.0487998-0.0600436j 0.0161146+0.034376j -0.0728575-0.0465843j -0.115321+0.00367879j -0.125987-0.0174242j -0.0778042+0.0403483j -0.0791356+0.073135j -0.0383363+0.0564222j 0.00882145-0.115074j -0.00239528-0.00993219j -0.0930199+0.0524113j 0.105054+0.12826j 0.100266-0.0146464j 0.0137018-0.0284943j 0.00931523+0.0834817j 0.0108189+0.0961296j -0.0230254+0.0807821j -0.0543513-0.0209597j 0.0666112-0.179489j -0.0217582-0.0179831j 0.0929309+0.0108615j -0.0433569-0.0300138j 0.0532493+0.0680378j 0.084006+0.00760365j 0.0963903+0.0131433j -0.0176994+0.0427511j 0.039108+0.0564621j -0.0283928-0.013195j -0.00435565-0.00600593j -0.0161695+0.0321291j 0.0386596+0.0213495j -0.0730299+0.0288201j 0.102012+0.0214351j -0.0765575+0.047596j -0.20566+0.0326993j 0.093997-0.133929j -0.126748-0.0031914j 0.00219749-0.103198j -0.180509+0.00817208j -0.039565-0.126832j 0.0737659+0.0436179j -0.0576524+0.153416j 0.130173+0.106492j 
-0.0148301+0.109601j -0.166715+0.0105598j -0.00989657+0.0951907j 0.133029+0.0590114j -0.0450083+0.00811279j -0.0773748-0.124976j -0.0478122-0.052924j -0.045711+0.0872389j -0.00548583+0.0759045j -0.190788-0.032103j 0.0890587+0.131225j 0.0754148+0.162819j -0.0285787+0.0172232j -0.0312255-0.00732547j -0.0356241+0.0616616j -0.0662308-0.0211076j -0.00428794+0.100523j 0.0108179+0.0170344j -0.141005+0.0446325j -0.0666912+0.0721984j -0.00555493-0.162057j -0.122725+0.124705j -0.0365628-0.0579365j -0.246789+0.107718j 0.0379516-0.0565712j 0.0481124-0.0297543j 0.0759516+0.0377328j 0.13149-0.00784836j -0.0756872+0.00948976j -0.0428207+0.0214191j -0.0651064+0.197326j 0.0284803-0.0204605j 0.0855498+0.139615j 0.0150264+0.0156933j 0.068864-0.00502339j 0.0269792-0.0157481j -0.0367733-0.043433j 0.119633+0.0939076j 0.0350733+0.0153608j 0.000240334-0.0305512j 0.00573074-0.110399j 0.101372-0.078621j 0.0237144-0.1136j 0.0562854-0.078568j -0.0999823+0.0505577j -0.138122+0.0606508j 0.00648178+0.0945979j -0.000497057-0.0843093j -0.0230951-0.0168445j 0.0027834-0.0344993j -0.0881916-0.075376j 0.0782539-0.0243986j -0.0687503+0.117911j 0.0170377+0.02683j 0.0321996+0.0178995j 0.0970098+0.00634185j 0.0113186-0.0965041j -0.0994213+0.0570478j 0.0163897-0.0785373j -0.00615952+0.0635445j -0.0985893-0.0754357j -0.0607968-0.164181j 0.12573+0.0650687j -0.0491239-0.185107j 0.114037-0.0785079j 0.0271565-0.160382j 0.0322683-0.0658445j -0.014478+0.00058445j 0.176136+0.121066j 0.103451-0.125084j 
0.0469929+0.0617691j -0.107626+0.0772141j -0.10538+0.0417093j 0.0688296+0.168856j 0.0668548+0.0466853j -0.100842+0.0126528j -0.00440501-0.108814j -0.106016+0.105771j 0.164319+0.0786388j -0.104543+0.0500134j 0.0492+0.0673554j 0.0622168+0.113378j -0.064341+0.0140664j -0.0348386-0.0296193j 0.0170959+0.0202333j 0.102216+0.0521962j 0.00302172+0.044937j 0.0425332+0.139677j 0.0873421-0.0110602j -0.0283665-0.154365j 0.127507+0.292847j 0.0607943-0.0305476j 0.0107023+0.0486258j 0.0992955-0.0681389j 0.000670769+0.0084946j -0.123354+0.112677j 0.133089-0.0594816j -0.140026-0.0105915j -0.0228009-0.0455767j 0.003685+0.048816j 0.0196634-0.0230159j -0.0513894-0.00864883j 0.0463444-0.0840326j 0.104858-0.043468j -0.0902206+0.0102345j -0.00378046+0.0918757j 0.067209-0.0171202j -0.0638275+0.010225j -0.0133185-0.0310925j 0.0326481-0.0899379j 0.0518824-0.0407577j -0.137271-0.0735512j 0.0216449+0.0120875j -0.0349977-0.0157277j 0.0915125+0.00998455j 0.0986378+0.0163106j 0.0107932-0.0219365j -0.0326265-0.052007j 0.0692378+0.0834751j 0.00492106-0.0992324j -0.0455111+0.108776j 0.0736681+0.017955j 0.0160355-0.0887049j 0.136799-0.187617j 0.0231017-0.105638j 0.0456058-0.0831322j 0.165868+0.147954j -0.168885-0.0592149j 0.129204+0.000831572j -0.0166048+0.0350167j 0.104164-0.063178j 0.0984123+0.0694844j 0.0335073+0.0258275j -0.0473528-0.014909j 0.0815345-0.0184403j -0.0131463-0.0194858j 0.188329-0.152882j 0.115089+0.160528j 0.112007+0.0125487j 0.000965603-0.0699021j 
-0.0296514-0.00180333j 0.0551352-0.0344136j -0.111443+0.0173638j 0.0271789+0.0409903j 0.15626+0.0459356j -0.0695611+0.244987j 0.108682+0.108502j 0.143451+0.0200726j 0.12355+0.0525432j -0.0266368+0.0512219j -0.0151786-0.0185807j -0.108952+0.000513588j 0.0934316+0.143329j 0.0918686-0.0363344j 0.0613238+0.230271j -0.126234+0.0204481j -0.0797953+0.0482009j -0.0778198+0.138267j -0.0747151-0.0615716j 0.0545669-0.100156j 0.0928799-0.125359j 0.114805-0.054975j -0.0123742-0.0318427j -0.038839+0.0489918j -0.00525291-0.0799704j -0.0283213-0.0614912j 0.0690911+0.0524339j 0.0919615+0.0297737j -0.0337844-0.146228j 0.0942815+0.0415346j -0.0327956-0.0286426j 0.0614082-0.0526877j -0.00709253-0.00311321j 0.00270595-0.0723956j -0.00132767+0.00296266j 0.00555214-0.147916j -0.0371013+0.0319003j -0.0433738+0.0711607j -0.0641951-0.0460471j 0.00380219+0.0485668j 0.139957-0.0762279j -0.00921839+0.0605856j -0.0799686-0.00445324j -0.0174958-0.1038j -0.0113705-0.0734961j -0.0347759+0.0929083j 0.0309207-0.00400493j -0.0144013-0.0922109j -0.118105-0.0612573j 0.0376425+0.131375j 0.0377786+0.0744441j 0.123551-0.0790432j 0.0799765+0.0748713j -0.00668981-0.0599036j -0.119144-0.0474394j -0.00474649+0.156478j -0.038133+0.00919288j 0.0161324-0.131831j -0.105751+0.0900124j 0.0664635-0.0644339j -0.102251-0.0183793j -0.0325199-0.0548574j -0.141712-0.0296105j -0.177881+0.0966592j 0.0772341+0.251095j 0.14904-0.0986088j 0.0380713-0.0368306j 0.104468+0.0305685j -0.0495916-0.0144136j 0.00209296-0.00819589j 
0.0710485+0.0474883j -0.0677312+0.0691791j -0.0959363+0.115256j 0.118924+0.122451j -0.0065955+0.109076j -0.089219+0.0301646j 0.173532-0.020475j -0.0149772-0.0567731j -0.0762313-0.0988223j 0.126388-0.106785j -0.07972-0.0273005j 0.024882-0.106616j -0.162476+0.0466898j -0.115908+0.10836j -0.092545-0.0582504j -0.0285936+0.0859441j 0.144793+0.110082j -0.0186169-0.0547651j -0.167317-0.0284247j -0.026185-0.0336752j -0.0300186-0.0293953j 0.00980402+0.0166114j 0.0228977-0.129074j 0.0623667-0.0304892j 0.00451635-0.025067j 0.0281987-0.035243j -0.100653+0.0892536j 0.0101249-0.0267072j -0.0317378+0.0958521j 0.113355+0.0989599j 0.0658107+0.0314588j 0.000571622+0.00563732j -0.0789289-0.106077j -0.0290841+0.0491644j -0.035219-0.0208009j -0.0240107-0.0357873j 0.0714802+0.0600843j 0.0588182-0.0477082j 0.0364639-0.0300388j -0.0696681-0.0313351j -0.0369053-0.00341173j -0.0418229+0.140405j 0.0196415+0.0169175j 0.178583+0.0496815j 0.111202+0.021403j 0.0273262+0.029928j -0.0248843-0.0643569j 0.0269354+0.0486105j -0.0488868-0.00486516j 0.144801-0.0754051j -0.000576838+0.136732j -0.0283824+0.0103709j -0.0207131+0.187166j -0.106179-0.0337115j -0.0170954+0.0254175j -0.0699117+0.184063j -0.0971142-0.0956493j 0.0268687-0.073347j 0.0189936-0.114367j -0.0649487+0.0833967j 0.198688+0.104956j -0.205479+0.180212j 0.0382654+0.162448j 0.0691198-0.0572282j 0.0535425+0.0426138j 0.09082+0.0310668j 0.0692837-0.137997j 0.114064+0.0295301j 0.0717529-0.00364885j -0.0319992-0.0423245j 
-0.121686+0.0572882j -0.00207492-0.143989j 0.0217671+0.0219369j 0.0717509-0.0903283j 0.128368-0.0161856j -0.0100823+0.133152j -0.0631425+0.100336j 0.131168+0.0476742j -0.223775+0.0367352j -0.129343-0.0405466j 0.0925004-0.0296658j 0.0869805+0.0308154j -0.0310152+0.0523689j -0.11806+0.0985579j 0.0202007-0.0642676j 0.0442637+0.0753197j 0.0366959+0.133466j -0.0659159-0.125209j 0.107527-0.0135338j -0.0413389-0.0652944j -0.0420014+0.127918j -0.0585136+0.0471828j 0.0924786+0.0198837j 0.0142833-0.011524j 0.0359295-0.109537j -0.115569+0.035166j -0.0211889+0.0344089j -0.00351433-0.0140665j -0.107857+0.0631163j 0.0312732-0.0398782j -0.0326563-0.012476j 0.128609-0.121903j 0.00730487+0.0459047j 0.0665223-0.0364918j -0.043457+0.0280846j 0.0194613+0.175243j 0.117508+0.0965721j 0.0571592+0.105499j -0.0960714-0.011724j 0.111596+0.0978001j 0.0766359-0.0338778j -0.013817+0.0444794j 0.0734772+0.0418802j 0.0569352+0.0473676j 0.0177728+0.152774j -0.025106-0.0460426j -0.0173623+0.169507j -0.018213+0.0902094j -0.05794-0.0756679j 0.0492003-0.24248j 0.0285086+0.0205964j -0.164744-0.0759414j 0.055991+0.0280208j 0.0303552+0.00140291j 0.11979-0.126412j -0.0369403-0.0839866j 0.138919+0.0591467j 0.133449+0.0360711j -0.0547956-0.199749j -0.0642428+0.0122527j 0.011818+0.012777j -0.0645405-0.0643635j -0.0647906-0.124183j -0.104506+0.104084j 0.10355+0.11786j 0.0427068-0.107778j -0.0908044+0.0781973j -0.0498922-0.0422143j -0.0558166+0.0734362j 0.0719195+0.0108098j 
-0.00510663-0.119995j 0.103251+0.00441386j -0.0848459+0.0825329j 0.0236389+0.0804607j -0.140558-0.130382j 0.0550564-0.0433138j 0.0198294+0.113323j 0.0090706-0.0984884j 0.0447284+0.186757j -0.107045+0.0675438j -0.0346893+0.000881801j 0.0101926-0.0390415j 0.0397755+0.0381745j -0.041005+0.131769j 0.060611-0.0404396j -0.0216818+0.050157j 0.0492124+0.0528618j -0.0345859-0.0893599j -0.0105294+0.04486j 0.0878685-0.0920983j 0.0352407-0.0167113j -0.0371127+0.039824j -0.0492003+0.0648804j -0.0404546+0.094391j 0.184404+0.146664j -0.0801966-0.0344044j -0.0465854-0.114279j 0.00192611+0.144441j -0.12587-0.0832998j -0.00141974-0.0602472j 0.0611839+0.0374804j -0.0335117+0.0536565j -0.147235+0.0573641j 0.0621321-0.0206829j -0.100839-0.0392828j 0.0175759-0.00470248j -0.0255294-0.029988j -0.0865237+0.122332j 0.117439+0.00850736j -0.00166992+0.1465j -0.012289+0.0184824j 0.0658629-0.0292887j 0.186431-0.0462664j -0.0424887+0.0349909j 0.126335+0.0107674j -0.0241448-0.011603j 0.34316+0.0468017j -0.0514108+0.0242964j -0.103063-0.078648j 0.0293643-0.221587j 0.00841144+0.153209j -0.104197+0.00479367j -0.0590966+0.0206585j 0.00212907+0.054999j 0.073468+0.0250417j -0.0092011-0.0283979j -0.0748154-0.0382724j -0.132588-0.00671508j 0.0305633+0.229213j 0.0872837-0.100788j -0.127088+0.0364176j -0.0115281+0.0055105j 0.0679231+0.0795045j 0.0482326-0.0976444j -0.0865529+0.0443327j 0.068404+0.0508704j -0.0135863-0.0863787j 0.0751173-0.0392453j -0.0415575-0.028622j -0.0180576+0.0436153j 
-0.0129044+0.00110306j -0.00955867-0.00719272j -0.00238808-0.00183998j 0.0134775+0.0118381j 0.00190777+0.00206302j 0.00613426+0.00021935j 0.000464574-0.0256422j -0.00120614+0.0141936j -0.0147665+0.000471317j -0.0186192-0.00902822j 0.00441316-0.00521304j 0.0474022-0.00293931j -0.0148215-0.000244764j 6.97391e-05-0.0033111j -0.0141703+0.00173322j 0.0149096-0.00688095j -0.00611774-0.00477749j 0.00661043+0.0219071j -0.0061171-0.00685904j -0.00184229-0.017917j 0.0108906-0.00332764j 0.000236161+0.0173069j -0.0054391-0.00671962j 0.000569203+0.0303386j -0.00386065-0.0102119j -0.00991293-0.0314914j -0.00341426+0.0116206j 0.00480777+0.00330863j -0.0202509+0.00375525j -0.0230197-0.00625686j -0.0333695+0.00875921j -0.00330809-0.015467j -0.0190109+0.0345038j 0.000830953+0.0205482j 0.00629555+0.00248476j -0.00206987-0.00147622j 0.00540996-0.00218478j -0.00160309+0.0366002j 0.00807303+0.025933j 0.016263-0.0281405j 0.0208216-0.0166855j 0.0161901-0.00027633j 0.00126495-0.0111889j 0.0182838+0.0139094j -0.0220407-0.00850627j 0.00784533-0.0058287j 0.00101113+0.00487706j 0.0139699-0.0156919j 0.0114864-0.00324863j 0.0251522-0.00311326j -0.00676042-0.0140375j 0.0067677+0.00778607j -0.00573671+0.0117411j 0.00519286-0.000842406j 0.00695919+0.00538236j 0.00363582+0.00366148j 0.0178937-0.00297823j 0.00187965+0.00571087j -0.0146862+0.00153942j 0.0143076-0.00870468j -0.0179806+0.0106347j -0.0130679+0.0248284j 0.0203784-0.0223555j -0.0249972+0.0147964j 0.00769886-0.00938806j -0.00760565+0.0267965j -0.011051-0.0118724j 0.00476307-4.07634e-05j 0.0185011+0.0102043j 0.0113088-0.00248516j 
0.00233905+0.00734049j -0.0178383+0.0040471j 0.000942806+0.00443436j -0.000827996+0.0118887j -0.0100255+0.000474338j -0.00500468-0.0100604j 0.0186143-0.0134063j -0.0153721-0.000565347j 0.00642783-0.00328616j -0.00191844-0.0248905j -0.00877635+0.015999j 0.00576752+0.0276239j -0.0127095-0.00756393j 0.00268424+0.0011752j -0.0028374+0.00129291j -0.0113755-0.00636159j 0.00130602+0.0112746j -0.0104131+0.000423003j -0.00267454-0.0140204j -0.0138755+0.00170566j 0.0286178+0.00791831j -0.01577-0.00980059j 0.00656303+0.00674388j -0.0278091-0.0236001j -0.0147393+0.0123034j -0.00534886+0.0130345j 0.0136439+0.0112225j 0.015269+0.000981359j 0.00191192+0.0118677j 0.00444808+0.0220788j 0.00153293+0.0366096j -0.00337015-0.0129682j 0.011767+0.00755653j 0.0239137+0.00192902j 0.000569577-0.0124938j -0.011635+0.024309j 0.00089046+0.0132516j 0.0235168-0.0146374j 0.0160862-0.0130672j -0.0238933-0.0083858j 0.00412247-0.0198045j 0.0205523-0.0289722j 0.00248437-0.00830298j 0.0212128-0.0233981j -0.00150287+0.00565982j -0.0264199+0.00562996j 0.0140262-0.0165355j -0.0259253-0.0174286j 0.000237414-0.00380474j -0.00338913-0.00742055j -0.0121442-0.0139578j -0.00409236-0.0116806j 0.00827293+0.0088422j -0.00168105-0.0160797j 0.00347956+0.0135324j -0.00184765-0.00908636j 0.00647632+0.00669048j -0.0120997+0.00640868j 0.0083512-0.0265385j 0.00935603+0.00746241j -0.0095783-0.0118783j -0.0230996-0.00110905j 0.0182537+0.0228591j -0.0278531-0.0220426j 0.0037849-0.000231036j -0.0210682-0.00878926j 0.00514487-0.00716002j -0.00452372-0.000878215j 0.0150616-0.00528575j -0.0115201-0.00738731j 
0.00191279+0.00377762j 0.00602923+0.000600138j -0.00334712+0.00388057j 0.00497019-0.00182575j 0.0141192-0.00061097j -0.0037924+0.00628217j -0.0278755+0.00185522j -0.0056906+0.0157486j 0.00298646+0.00406549j -0.00127572+0.0257432j 0.0165315-0.00519454j -0.00398539-0.0218002j -0.0080008+0.00507438j 0.0235299-0.00393269j 0.0145007-0.00450561j -0.0141141-0.00163964j 0.0197315+0.00251788j -0.00155877-0.0168259j 0.00489421+0.00556367j 0.00769657+0.021257j 0.00127339-0.0164921j -0.00263095-0.00358057j 0.00237054+0.00405513j -0.00481849-0.010291j -0.00161477-0.00704798j 0.00338907-0.00345076j -0.0118554-0.0227984j 0.00707105+0.017203j 0.000728243+0.0122696j 0.00618895-0.019422j -0.0169525+0.00348079j 0.0256371-0.00798489j -0.0127252+0.00517545j 0.0111001+0.0118695j 0.024502+0.0029655j -0.0172775+0.006612j 0.00182769+0.0238494j 0.00787083+0.000727455j -0.0066436+0.00569143j -0.0138834+0.00224349j -0.00509413-0.00579789j 0.0204502-0.00234732j 0.0175097-0.00898407j 0.00881506+0.00573804j -0.0138242-0.027232j -0.016165+0.0117434j 0.00304227-0.0102759j 0.00630222-0.00627122j 0.0206298-0.0264064j 0.0101444+0.00647136j 0.0106464-0.0163128j -0.0219905+0.0148421j -0.000287968-0.00407518j -0.00868174+0.0111451j 0.00784894+0.00511077j -0.0175877+0.00664271j 0.0182478+0.0159105j 0.00862804-0.0115876j -0.0148094+0.016969j -0.0087151-0.000837512j -0.00194951+0.0182942j 0.00763212+0.000136392j 0.0175013+0.00576737j 0.00502815+0.00640413j 0.00905966+0.00386842j 0.000409418-0.0176306j 0.0199875+0.0120117j -0.0074066+0.0198711j -0.00884048+0.000385418j 0.00186642-0.00212595j 
0.00106148-0.00187818j -0.00246384-0.0021379j 0.00338596-0.0109314j -0.0178652-0.00763307j -0.00814227-0.00520259j 0.00166978-0.0152065j 0.0115603+0.00408967j 0.000971671-0.013383j -0.0011204+0.0145897j 0.00819065-0.00707805j -0.0284442+0.00193768j -0.00975068-0.0250273j -0.0193838-0.00284366j -0.00447629-0.00186095j -0.00696069+0.0214342j -0.0220433+0.0129373j -0.0124757+0.00474952j -0.00963825-0.00189614j -0.00190669-0.00602718j -0.00987127-0.0131261j -0.0113627+0.0071326j -0.00537164-0.00191384j -0.00311113-0.00346172j 0.0138368+0.0159908j 0.0134681-0.00211489j 0.015255-0.00759409j 0.00683045-0.00427652j -0.0100452+0.0159751j -0.0134607-0.0169297j 0.00260256-0.00141975j -0.0108012+0.00103717j 0.0187261-0.00135616j -0.00320676-0.00780423j 0.0149173+0.0153849j 0.00733789+0.0200842j 0.0207992-0.00429281j 0.00210455+0.0122065j -0.00750839-0.00063709j -0.0137712+0.0111563j -0.0126836+0.00718269j 0.00256083-0.0223174j -0.0147565+0.00136134j 0.00107477-0.0148986j -0.00683971-0.0129958j 0.0172315-0.0295564j -0.00757498+0.0227386j -0.00230874+0.00480423j -0.0103711+0.015107j 0.0315002-0.0153506j 0.00859896-0.00229815j 0.0176012+0.020389j 0.000690597-0.00144931j 0.00454471+0.0157048j -0.00767237-0.00243533j -0.0104146-0.0086495j 0.013007+0.00278397j 0.0252249-0.0194209j -0.0206992+0.00382661j 0.0204739+0.0053337j -0.00160736+0.00380134j 0.0142195+0.0125031j 0.00086296+0.0016947j -0.0025324-0.0190317j -0.0127175-0.00111963j -0.00150927-0.0194995j -0.0187091-0.00817787j -0.011949+0.00799093j -0.00671938-0.0153578j -0.00424184-0.00228234j -0.00540056+0.00618007j 
