-0.188829-0.0885231j 0.0511134-0.269821j -0.15811+0.0649985j 0.180387-0.0673547j -0.00819336-0.0235661j -0.00312029+0.0976175j 0.00899361-0.0231924j -0.177165-0.0762727j 0.153684+0.0736002j -0.0351668-0.268856j -0.189514+0.0762975j 0.00690002+0.346698j -0.40672+0.0780424j 0.227821+0.146107j -0.119101-0.212778j 0.125262+0.0822805j 0.107553-0.141559j -0.0236297-0.0799775j 0.00406468-0.259139j -0.026603+0.0777995j -0.101418-0.147262j -0.128708+0.0790024j 0.12662-0.209453j -0.235206+0.135635j 0.402782+0.0967172j 0.0243355-0.346407j 
-0.102072-0.0898913j 0.0689542-0.0965044j 0.0523565-0.056044j 0.0112166-0.0847136j 0.0511621+0.0307344j -0.0980287-0.0475216j 0.0554168+0.0215959j -0.0594485+0.0607145j -0.0120463+0.0747529j -0.0355132+0.113766j 0.133088+0.0265135j -0.204367-0.060308j 0.0355417-0.195952j 0.0192111-0.0731531j -0.125738-0.0764136j -0.0611857+0.103088j -0.112482+0.0125568j 0.0399925+0.0347759j 0.0474472-0.169881j 0.053071-0.00970019j 0.0898149+0.068408j -0.00238904+0.120039j 0.146538+0.0015108j 0.0214491-0.0705764j 0.0744409-0.186136j -0.205318-0.0572189j 
-0.134241+0.0232249j -0.0319975-0.114906j -0.0110211-0.076123j -0.0587343-0.062277j 0.0564196-0.0203042j -0.0993274+0.046089j 0.0520399-0.0293608j 0.00925562+0.0846194j 0.0498899+0.05726j 0.0653895+0.100422j 0.105555-0.0856329j 0.207535-0.050273j 0.0676026+0.187899j 0.0199385+0.072973j 0.147521+0.00330354j 0.00143139-0.120352j 0.0914836-0.0670099j -0.0522936-0.0101737j 0.0437686+0.171482j -0.041414+0.0350086j -0.112201-0.0143692j -0.0578879-0.105737j -0.128237+0.0718144j 0.0165267+0.0719051j 0.0279207+0.199068j 0.207063-0.052464j 
-0.0356167-0.0161969j 0.0130868+0.0226499j 0.103778-0.0596171j -0.0198914-0.0759436j 0.0113468+0.00775856j 0.00204938-0.00381263j 0.0222689+0.0491722j 0.0104383+0.00841175j 0.0218335-0.0604696j 0.0152098-0.0458579j -0.0600582-0.0568598j -0.032614-0.0336314j 0.0372638+0.0199718j 0.117003-0.121629j -0.101962-0.0939732j -0.0053427+0.0730834j -0.00712365+0.00959366j 0.00517746-0.0319489j 0.0224173-0.00903279j 0.103589+0.0492772j 0.0277253-0.0518165j -0.001113+0.0482499j -0.055507+0.00960744j -0.0548846+0.0715918j -0.0662807+0.0617481j 0.0726781+0.1014j 
-0.0669868-0.0564015j 0.0549181-0.0384158j 0.0161666-0.0251376j -0.014828+0.0267092j -0.0716232-0.0263256j 0.00300905-0.00136183j -0.014176-0.0410709j 0.0970629+0.0093806j 0.0427484-0.1179j -0.0453073+0.00555854j -0.00665919-0.00750342j -0.0887584-0.0622299j 0.0504964-0.0835962j -0.00355458+0.0104867j 0.0703205+0.0077151j 0.0629426-0.0457045j -0.052908+0.0229137j -0.0550113-0.0960751j -0.0258155+0.0281955j -0.0262227-0.0442586j -0.0115719+0.0229607j 0.0866366-0.0316011j -0.0595481-0.119394j -0.0996052+0.0800642j 0.066245+0.00882596j -0.00189132-0.0334698j 
0.00580072-0.0295353j -0.0137359-0.0406547j -0.047801+0.135644j 0.0849468+0.0741725j -0.0585031+0.00378032j 0.00264228+0.00425074j -0.0807403-0.0467642j 0.0314628-0.0137711j 0.0290705+0.0134866j 0.00396659+0.0710056j 0.10544+0.00166645j -0.0160785-0.0156312j -0.00332637+0.000261572j 0.073125+0.0146672j 0.0193757-0.0681119j -0.0256676+0.00131465j -0.00881937+0.0101035j -0.00757763-0.0108688j 0.00908852+0.0132236j -0.00210125+0.0471685j 0.0272476+0.00193506j -0.0106776-0.00480872j -0.0412834-0.0252959j -0.0411998+0.0215871j -0.028818-0.0171172j -0.0240193+0.0469803j 
-0.105185-0.000170694j 0.00578894-0.0707885j 0.029064-0.0144912j 0.0306979+0.0134968j -0.0806077+0.0467021j 0.00267865-0.00385923j -0.0578449-0.00429576j 0.085512-0.0726815j -0.0463448-0.137067j -0.0147056+0.0399766j -0.00616453-0.0292335j 0.0239765+0.046906j -0.0280575+0.0168005j -0.0413521-0.0222185j -0.042046+0.02565j -0.0110008+0.00574799j 0.0273185-0.00295551j 0.00321296+0.0474434j 0.00904357-0.0136858j 0.00828766-0.0113753j -0.00929153-0.0102142j -0.026312-0.00102618j 0.0195959+0.0693255j 0.0741061-0.0147103j -0.00291467+0.000132458j 0.0161893-0.015759j 
-0.00634351+0.00692382j 0.0452655+0.00645471j -0.0407563-0.117222j -0.0969223+0.00800271j 0.0143364-0.0406146j -0.00312825-0.00162689j 0.0714177-0.0261639j 0.0143184+0.0270331j -0.0152426-0.0249029j -0.0535297-0.0400756j -0.0683728+0.0547147j -0.00396861+0.0335001j -0.067072+0.00629796j 0.0970139+0.0821283j 0.0625598-0.11756j -0.085739-0.0340202j 0.0115394+0.0239294j -0.0272262+0.044423j 0.0257526+0.0280805j -0.0561397+0.0957266j 0.0527031+0.0232284j -0.061671-0.0469035j -0.0716847+0.00638317j 0.00340246+0.0121157j -0.0475422-0.0857099j -0.0905875+0.0593005j 
0.0601775-0.055716j 0.0140577+0.0459491j 0.0221718+0.0614229j 0.0118727-0.00833084j 0.0218484-0.0487723j 0.00170539+0.00367903j 0.0110044-0.00671418j -0.0207935+0.0746134j 0.10283+0.0610584j 0.0140493-0.0215251j 0.0364201-0.01662j -0.0748698+0.0996166j -0.0636949-0.0636348j -0.0552519-0.0722379j -0.0562517-0.00913392j -0.000928672-0.0482393j 0.027802+0.0517952j -0.103901+0.0482631j 0.0224276+0.00854183j -0.00454098-0.0329296j -0.00729594-0.00937593j -0.00323902-0.0742108j -0.103846+0.0908647j 0.114367+0.123704j 0.0382882-0.0179867j 0.0330612-0.0340965j 
0.0156195-0.0071024j -0.0159583-0.0251801j -0.0174781+0.0219456j -0.0103014+0.0300897j 0.0265971+0.0222888j -0.0419804-0.0574497j -0.0158782-0.00216582j -0.0156304+0.0351198j -0.00821829-0.0229368j -0.00807352-0.0270189j -0.000655761-0.0443005j 0.0121311-0.00535791j -0.0214236-0.0241586j -0.0293608+0.0489592j -0.0394917+0.0429626j -0.0484503-0.047191j -0.0858775-0.0574564j -0.000825736+0.0293817j 0.0191548-0.0720601j -0.0564657-0.00103726j -0.0303222+0.0366169j -0.0276375+0.0408571j -0.0183813+0.0179723j -0.054088+0.0501293j -0.0235224+0.0346862j -0.00108512+0.0636973j 
-0.0277799+0.00586188j 0.0302826+0.0187739j 0.0186364-0.0111817j -0.0287891-0.0277254j -0.0546105-0.00197435j 0.0655644+0.0226j 0.0198586-0.0479884j -0.0294224-0.0333236j -0.00559971+0.0195718j 0.0315107+0.0250369j 0.0132661+0.0291421j -0.0228655-0.00448329j 0.0204111+0.00770412j 0.0503978-0.0267253j 0.00665541-0.0377743j 0.0682394-0.0223956j 0.00763251-0.0312057j -0.0255373-0.0115158j 0.0171606-0.0195375j -0.0348485-0.0550446j -0.0349519-0.0405062j 0.00883357-0.0537136j 0.0440313+0.00576301j 0.0431826-0.0207349j -0.0296891-0.0293526j -0.00986305+0.00767283j 
0.033093+0.0139521j 0.0132603-0.00633739j -0.0448739-0.0364448j 0.022419-0.0420584j 0.00982976-0.0212003j 0.0680071+0.00754427j 0.0367377+0.0715386j 0.0248024-0.0540402j 0.0560072-0.0217242j -0.00162947+0.00661414j 0.053949+0.02719j 0.0268514+0.00936353j -0.0036975-0.0109103j -0.0737269+0.0146922j -0.0104137+0.000642864j -0.0142772+0.0320587j 0.0730319-0.0152321j 0.0163425-0.00921566j 0.042005+0.070462j 0.0819501+0.000693478j 0.0312849-0.00372244j -0.00925045+0.0336956j -0.061725-0.00625009j -0.0609309-0.0148799j 0.0250272-0.0100319j -0.0429239-0.0321888j 
