0.0853809+0.465522j -0.441625+0.116551j -0.130025-0.00826159j 0.0530448+0.2778j 0.264043-0.0993421j 0.0753799+0.17297j -0.0143391+0.11101j -0.0325205+0.192652j 0.35954-0.105403j -0.0457755-0.0376897j -0.00263185+0.203655j -0.00151735+0.0906407j -0.0452412+0.0352299j -0.354752-0.115546j 0.0291442+0.196511j 0.0086784+0.113686j -0.0805209+0.169863j -0.259241-0.110134j -0.0654548+0.270421j 0.122833-0.00198272j 0.436242+0.142539j 0.111967-0.45913j 
-0.0386872-0.0576993j 0.0909399-0.0165376j -0.0869191-0.22725j -0.193253+0.150412j 0.153336+0.0917417j 0.0119923-0.00986164j -0.0323907+0.0592558j -0.0135041+0.0339817j 0.020925+0.0515148j 0.114842-0.107989j 0.0751086+0.0462432j -0.0250561+0.121629j -0.015816-0.00872012j -0.0531544+0.011579j -0.10576-0.034195j -0.139588-0.102316j -0.0538134+0.0683958j 0.0288436-0.0552066j 0.0736559-0.0870704j -0.0482394-0.0845908j 0.0661144-0.162269j -0.192657-0.0674119j 
0.196287-0.057838j 0.0560285+0.164675j -0.0486131+0.0853198j 0.0712192+0.0876858j 0.0257607+0.0574825j -0.0539559-0.0699246j -0.141677+0.0982543j -0.108166+0.0312571j -0.052046-0.0141121j 0.0156642-0.00606397j 0.0742194-0.0446947j -0.0221868-0.123909j -0.111849-0.109413j 0.0230373-0.0524489j -0.0122158-0.0338658j -0.0289726-0.0602031j 0.00996338+0.00780763j 0.157118-0.0856795j -0.186376-0.160051j -0.0965099+0.221919j 0.0885971+0.0248809j 0.0454047-0.0568982j 
0.0016764+0.00207627j 0.0133062+0.00600319j -0.0148524-0.018577j 0.00822643-0.0361144j 0.0331646+0.0368503j 0.136662-0.00891109j -0.00872548+0.0361866j 0.0309128+0.033494j -0.0406971-0.0802433j 0.0761685-0.0608952j 0.00487903+0.0360797j -0.0292999+0.0619599j -0.00121503-0.00886186j -0.0342656+0.0104662j 0.0145239+0.0398866j -0.00653173-0.0481681j -0.00487946-0.0294687j -0.0176119+0.0319402j -0.0299308+0.0241824j -0.0179422+0.0567934j -0.0475206+0.0317939j 0.0327242+0.0689349j 
-0.00353854+0.00065082j -0.0173542+0.00201853j 0.00768703+0.00984591j 0.0332437+0.0566875j -0.0803496+0.0110802j -0.0952797+0.147502j -0.0461537-0.0477153j -0.0642369+0.00257011j 0.12583+0.00587661j 0.0111943+0.14356j -0.0460727-0.0251614j -0.0480966-0.0710015j 0.0106919-0.00106418j 0.0135392-0.0585084j -0.0586138-0.0215207j 0.0706326+0.0200212j 0.0327835-0.000612903j -0.0119442-0.0461501j -0.000161847-0.0367624j -0.0252301-0.0565079j -0.000801825-0.0889985j -0.106254-0.0167547j 
-0.010087-0.0117221j 0.0433617+0.0166083j 0.020035-0.137258j -0.0691094-0.0429547j 0.012468-0.0640381j 0.0324026+0.0685041j 0.0596245-0.0466648j 0.0249897+0.0120234j 0.073004+0.0425065j -0.0497503+0.0140434j 0.0110242-0.00245223j -0.0407137-0.0457121j 0.0501967+0.0108481j 0.0524878-0.00306621j 0.0259184+0.0117263j 0.0383971+0.0862761j 0.0846561+0.0484596j -0.02125+0.0492252j -0.0889634-0.0349248j -0.1076+0.0758521j 0.0525562+0.00255614j -0.0148552-0.0176636j 
0.019313-0.0177143j 0.0533889+0.0011782j -0.104017-0.0759834j -0.0906995+0.0321682j -0.0199991-0.0484385j 0.0861846-0.0515767j 0.0409406-0.0849148j 0.0264734-0.0107317j 0.0498477+0.00515333j -0.0510312+0.00784898j 0.0104205+0.00270121j -0.0405352+0.0482509j 0.049009+0.0174547j 0.0758741-0.0408679j 0.0233754-0.0112281j 0.0567756+0.0479727j 0.0290288-0.0715161j 0.0106494+0.0635778j -0.0688612+0.0393928j 0.0174483+0.138215j 0.0434106-0.0128763j 0.0130407-0.0130614j 
-0.106366+0.0121563j 0.00656202-0.0885811j 0.0243849-0.0583997j -0.0013439-0.037158j 0.0118761-0.0479337j -0.0309251-0.000954133j -0.0702254+0.0176588j 0.0589472-0.0220574j -0.0112304-0.0574706j 0.00868604+0.00224534j 0.0470431-0.0237478j 0.0488234-0.0702742j 0.0147919-0.143028j -0.123024+0.0013188j 0.0670093+0.00451002j 0.0495079-0.0444028j 0.0923915+0.149922j 0.081344+0.014145j -0.0368756+0.0548873j -0.00941833+0.0141026j 0.0185457+0.0018812j -0.00324542-0.00145563j 
-0.0353806+0.0673696j -0.0450733-0.0345397j -0.0182774-0.0570772j -0.0307391-0.0246112j -0.0183762-0.0326381j -0.00371094+0.0285124j -0.00689457+0.0472862j 0.0145555-0.04017j -0.0331404-0.0109666j 0.00111794-0.00777309j 0.00594996-0.0358376j -0.0287292-0.0618555j -0.0744329-0.061985j -0.0417785+0.0776414j 0.0330832-0.0341875j -0.00603499-0.0363657j 0.136855+0.011405j 0.0345913-0.0359775j 0.00659048+0.0369394j -0.0139222+0.0202177j 0.0131012-0.00636849j -0.00176228+0.00196809j 
-0.00260423-0.0040171j 0.000549163+0.00194926j 0.0044657-0.00998959j -0.00195802+0.0190072j -0.0103681-0.00232573j -0.0188193+0.0131399j 0.00291318-0.000136535j 0.00338764+0.0115687j -0.0109001+0.0157896j -0.0226816+0.0304256j 0.0226909+0.0426539j 0.000205933+0.00684701j -0.00899139+0.00115068j -0.0356419+0.0279935j -0.00562931-0.0371201j 0.00652395+0.00670207j -0.0308669-0.00486854j -0.00141169+0.00218824j 0.000709703+0.0144729j -0.0207787+0.0235101j -0.0137362+0.0029102j -0.0100183+0.0180725j 
-0.0113047-0.00442346j -0.00938616-5.61455e-06j 0.00143207-0.000452743j 0.0127769+0.0466626j -0.0286036+0.0187238j -0.0351123+0.0231836j 0.0231807-0.00225957j 0.0394677+0.00108309j -0.000370302+0.0339167j 0.0349545+0.0756096j 0.0689685+0.00965151j 0.0146751+0.0333223j -0.0213989+0.0298972j -0.0121373+0.0740524j -0.0546528-0.0241594j 0.0283647-0.0300207j -0.0265358+0.0350226j -0.0193944+0.0210268j -0.0072731+0.018076j -0.0266295+0.0460432j -0.0100877+0.0322337j 0.00571891+0.0270899j 
