-0.0137063+0.0390336j -0.0137348-0.0709457j -0.00534471+0.173097j 0.00759306+0.0424971j 0.00900041+0.144462j 0.0237629-0.303598j 0.00705067-0.124446j -0.0071291+0.168158j -0.0764838+0.0793641j 0.0684338-0.0731343j -0.0126275-0.00351226j -0.00257813+0.0504105j 0.0632391+0.00314051j 0.125665-0.0210563j 0.0478451+0.0319392j -0.00940228+0.0375679j 0.0296538-0.0147875j -0.0337581+0.0423653j 0.0134598+0.0446864j 0.0373164+0.0259268j 0.0176315-0.0192394j -0.0466393+0.0230701j 0.0107197-0.0356649j 0.0437809-0.0273154j -0.0352015+0.0292773j 0.00910845-0.0489977j 4.63023e-05+0.0202481j -0.0191882+0.0230567j -0.0287997+0.0324089j 0.0454223+0.0286241j -0.0550006+0.039911j -0.0139898+0.0401098j -0.0286665-0.050457j 0.0376424-0.0327197j 
0.029801+0.0497085j -0.00446938+0.138064j 0.0182112-0.14101j 0.0109457+0.0439685j 0.0028327-0.132871j -0.0241842-0.00223824j -0.00201755-0.260732j -0.0187521-0.0776966j -0.00678801+0.00941738j -0.0124944+0.0629077j 0.029384+0.0336387j 0.115735-0.0138134j -0.0571205+0.00978327j 0.0240653-0.0576707j 0.0616854-0.112689j 0.0348292+0.0111175j 0.0337086-0.0353086j -0.0035288-0.0120724j 0.00407394-0.060592j 0.0315256-0.0277049j 0.0133141+0.00601822j 0.00583143-0.0274007j -0.0517893+0.0371848j 0.031904-0.00280912j 0.0309046-0.0381111j -0.0246899-0.0620774j -0.0260808+0.018241j 0.0274042-0.0128101j -0.00956749-0.00803689j 0.0419266-0.0259786j 0.031698-0.000163191j 0.0263452+0.0413217j -0.0222094+0.0430546j -0.0380931-0.018337j 
0.0224597+0.0986995j -0.0264563+0.0442553j -0.00691625-0.00922773j 0.0235792-0.0733569j 0.00998647+0.0645904j 0.00463394+0.0597249j -0.00542163-0.139211j 0.0234918-0.0228588j -0.108719+0.0310318j -0.0455592+0.0167359j 0.0459317+0.0222535j -0.00277995+0.0595558j -0.0123951+0.0491973j 0.00159914-0.0265173j -0.000874201-0.0361623j -0.0227742+0.0234051j 0.00289344-0.0293831j 0.0189614-0.00608218j 0.0222288+0.0209457j 0.0574042-0.0509946j -0.0330615-0.0208099j -0.0223793-0.00802134j 0.0282307-0.0202969j -0.0342565-0.0130154j 0.0457426+0.0124213j 0.00313662+0.0192269j 0.0125082-0.00809696j -0.00937962-0.00703495j -0.0221852-0.0282053j 0.021871-0.00220034j 0.00806168+0.0088188j -0.0040404+0.0165331j -0.0156183+0.00887217j -0.00879716-0.015623j 
-0.00718917+0.0698128j 0.00337465+0.0179044j 0.00446357+0.0499815j -0.0072064+0.0253884j -0.00502445-0.0211095j 0.00530307-0.407673j -0.00124835-0.359377j 6.3317e-05+0.122252j 0.0355675+0.066921j -0.0210604-0.0524194j -0.00804895+0.0264895j -0.0302047+0.0944693j 0.0406875-0.0890135j 0.0486368-0.217975j 0.0271064-0.129516j -0.00420644+0.057978j 0.00758378-0.110949j -0.00360252+0.0886485j 0.000193986-0.0380105j -0.0235154-0.0749939j 0.00260615-0.0477458j 0.016022+0.0276281j 0.0126051-0.0758343j -0.002703-0.0727187j -0.0104382+0.0993277j 0.00385202-0.0848246j 0.0158106-0.00367009j -0.0747512+0.0278206j -0.00947716+0.0645512j 0.0524821-0.0180195j 0.0722762+0.0920455j 0.0127976+0.0321693j -0.0451263+0.0378813j -0.0143789-0.0663865j 
-0.0175484+0.00130143j -0.0183625+0.166645j 0.0163519-0.259862j 0.00450982-0.0770067j 0.00363671-0.355002j -0.0202007-0.0210413j 0.00110202-0.212934j -0.0159908-0.12308j 0.0018112-0.0456195j -0.0448088+0.183867j 0.028128-0.0277906j 0.0374797-0.147563j 0.010067+0.0108543j -0.0254742-0.087135j -0.0195468-0.201431j -0.00220704-0.0965728j 0.0515053-0.133512j 0.00406802-0.0726273j -0.00343463-0.0433008j 0.0270417-0.103752j 0.00405577+0.0201179j -0.0174963-0.0745281j 0.0126836+0.0784748j 0.00406372-0.000505955j 0.0175681-0.0454143j 0.0191434-0.042768j -0.0437971-0.0192182j 0.010983-0.0275779j -0.0299259-0.0165389j -0.0427107-0.0795848j 0.0121507-0.0132029j 0.0473939-0.0138159j 0.00999934+0.0667397j -0.0383692+0.0557793j 
-0.0190576+0.219295j -0.0193323+0.149551j 0.027079+0.0356021j 0.00535439+0.619397j 0.00565205+0.353786j -0.0184166+0.392878j 0.00733665-0.166687j -0.0314177-0.0226528j 0.000727817+0.15717j -0.052112+0.127011j 0.000995184+0.0394785j 0.0309611+0.175739j 0.0228219+0.0341549j -0.0128722+0.0327122j -0.0129186-0.0518391j -0.00957746+0.118213j 0.064193-0.0921191j 8.80806e-05-0.0403499j -0.00548062+0.00183608j -0.0315873+0.030594j -0.0119465-0.0694383j 0.0223424+0.00182216j 0.0100412+0.0382508j -0.0181948+0.0689203j -0.00191209-0.00518352j -0.0189663-0.0203261j 0.0582502-0.00850581j 0.0564578+0.010878j -0.0519296+0.00246103j 0.00474188-0.00419261j 0.0177549+0.00376635j -0.0232777+0.048707j -0.0138131+0.0302989j -0.0103204-0.0084467j 
0.013673-0.222925j 0.00981068-0.104622j -0.018906-0.470736j -0.0141438+0.573143j -0.00139699-0.0388335j 0.0174473-0.445807j 0.00114811+0.187721j 0.0161196-0.143331j 0.0286652-0.0355964j 0.0277448+0.0491721j -0.00190895-0.0613436j -0.0672439-0.0496021j -0.0277744-0.0865023j -0.00479257+0.00286506j 0.00288654+0.0688825j 0.0158692-0.0782179j 0.00937985+0.055279j -0.0315396-0.0216807j 0.057839-0.0700712j -0.0476956+0.0920478j -0.0419197-0.0989883j -0.033585-0.0297547j -0.00184358+0.00559975j -0.0145119+0.0175163j -0.0168985+0.0154655j -0.0291869-0.00467995j 0.039164+0.0095835j 0.024732-0.00697367j 0.0147805-0.0065451j -0.00935685+0.014276j -0.0135339-0.0129198j 0.00424106-0.02782j 0.00778548-0.0225916j 0.00635984+0.00970369j 
-0.0225125+0.263834j 0.00198245-0.299388j 0.0228449-0.654326j 0.0149555-0.37862j 0.00785872+0.332485j -0.00131781-0.0132889j -0.00129931-0.112891j -0.0184954-0.11441j -0.0665304+0.0700751j -0.0400207-0.0612065j -0.0900581-0.128553j -0.00312373+0.149685j -0.000553858+0.0883934j 0.0106607-0.00906395j -0.0192747+0.109266j -0.00473397+0.103443j 0.0593339-0.015023j -0.0128025-0.0734131j -0.0113861-0.0139792j -0.0343166+0.0210181j -0.0100997-0.0231515j 0.0181966+0.0101166j 0.00910683+0.000109078j 0.00896167-0.00174797j 0.0109153-0.0090704j 0.00159658+0.0191769j -0.00539596-0.0153057j 0.000381303+0.0107255j -0.000735327-0.0146907j 0.0104036+0.0250521j -0.0113785+0.00313363j -0.0154523+0.024018j -0.00964747-0.00416083j -0.00173827-0.0136724j 
-0.00213923+0.0756817j 0.00156509+0.0898025j 0.0031748+0.0934972j 0.00215129+0.0352493j -0.00517717-0.124039j -0.00612912-0.35661j 0.00344648-0.524113j -0.00355825+0.0668573j 0.0146662-0.0114639j -0.0358112+0.0792812j 0.0159018+0.0448663j 0.0363562-0.0529829j 0.00368423+0.221888j -0.0195207+0.375953j -0.00149934+0.154656j 0.00176654+0.0449457j 0.000876368+0.119441j 0.0209528-0.0511659j -0.00111615+0.0718455j 0.000245856+0.0734997j 0.000816683+0.026063j 0.0212054-0.0148908j 0.00777048+0.0401434j 0.00797796+0.0140903j -0.00177629-0.0374052j 0.0233689-0.0183348j -0.00935141-0.0321951j -0.0181592-0.0170703j -0.0175794-0.0554343j -0.0285737+0.0199095j -0.0798479-0.0609466j 0.0511285+0.029018j -0.034256-0.0403842j 0.0306983+0.0119598j 
0.0236619+0.0395347j 0.00473949-0.218692j 0.0161487+0.150479j 0.00515169+0.0491908j -0.00198632+0.501675j -0.0198528-0.219339j -0.0138789+0.023093j -0.0175939+0.308818j -0.00836157+0.0714495j -0.0349562+0.108281j -0.0159532-0.209399j 0.0498241-0.319539j -0.0647635+0.15633j -0.0313174-0.0964408j 0.0126767-0.078639j 0.0313236-0.126719j -0.0216856-0.105609j 0.0227881-0.0328456j -0.01285+0.0674288j -0.0369939-0.0474707j -0.0127023-0.00452161j 0.0338632+0.0311955j -0.000325697+0.0562883j -0.0118947+0.0499664j -0.0155851-0.0315241j 0.000976199-0.0171879j -0.0154366+0.00428882j 0.0403875-0.0156435j -0.0286402-0.0593786j -0.0569797-0.0569805j 0.04755-0.0124673j 0.0612555-0.040602j 0.0231269-0.00400806j 0.0284091+0.0459818j 
-0.00957466-0.0471353j -0.0460431-0.0156844j 0.0314928-0.0169783j 0.00854391+0.00111575j 0.0116907-0.00330478j 0.0339233+0.0702148j 0.0176538+0.135101j -0.0642278-0.016727j -0.0456005-0.0346705j -0.0679428+0.0367487j 0.0543209-0.0284706j 0.0182825-0.0500421j 0.15042+0.00158212j 0.439298+0.0402808j 0.320448+0.0240816j 0.0640014-0.0374687j 0.241925+0.00335221j -0.054814-0.030345j 0.0724057+0.00373774j 0.158844+0.00499691j 0.0302067+0.0132887j 0.00611091-0.0174795j 0.0184651+0.0264006j 0.0259126+0.0173415j -0.0416537-0.0124718j 0.0648143-0.00207536j -0.0267989-0.0110439j 0.0115476-0.00699906j -0.0654269-0.034181j 0.0664497+0.0157398j -0.0939764+0.0921386j 0.0106838-0.0193177j -0.0862018+0.0187088j 0.0269586-0.0119659j 
0.0405945-0.0859887j -0.0308792-0.0728941j 0.0613073+0.0303945j 0.0184424-0.0473033j 0.00404358-0.00363681j -0.0952399-0.124819j -0.034037+0.179859j -0.00872871+0.0894541j 0.105968+0.00422537j -0.266882-0.0238424j 0.151923-0.00324817j 0.346101+0.143359j -0.182992-0.0798226j -0.0554313+0.0191181j 0.116998+0.095629j 0.18367+0.0211654j 0.0342691-0.02147j 0.116891+0.0252215j -0.0385656+0.0340649j 0.0194863+0.0203208j -0.0441031-0.00744785j 0.0549485+0.0263849j -0.109267+0.00772193j -0.0661139+0.00467809j 0.111826-0.000651683j 0.00442325-0.00888099j 0.00894406-0.0534218j 0.0608533+0.0461812j 0.0968953-0.0270462j 0.0837178-0.0685145j 0.0853357-0.00514006j 0.0584632+0.0761362j -0.0207516+0.00810411j -0.11519+0.0250439j 
