-0.192254-0j -0.20981-0j -0.162518-0j -0.164202-0j 0.434426-0j 0.537575-0j -0.122389-0j 0.313585-0j -0.105992-0j -0.151449-0j -0.0757244-0j -0.0624694-0j -0.0765091-0j -0.0345705-0j -0.00762208-0j -0.0259409-0j -0.0280194-0j -0.0214002-0j -0.0216219-0j -0.0191409-0j 0.089853-0j -0.0236857-0j -0.0138166-0j 0.063314-0j 0.0387717-0j -0.0124834-0j 0.0553997-0j -0.0126128-0j 0.0228512-0j -0.0154475-0j -0.00386187-0j -0.0127435-0j -0.00780377-0j -0.00407161-0j -0.00557528-0j -0.0020569-0j -0.000392746-0j -0.0172831-0j -0.0024946-0j -0.0185215-0j -0.00267334-0j -0.0140009-0j -0.014146-0j -0.00202086-0j -0.0020418-0j -0.0123476-0j -0.00178223-0j 0.0343012-0j -0.0152794-0j 0.00495096-0j -0.008913-0j -0.00220539-0j -0.00128648-0j -0.0136663-0j 0.0641538-0j -0.00836888-0j -0.00197256-0j 0.0092598-0j -0.011958-0j -0.00120794-0j 0.0316371-0j -0.00493244-0j -0.00172599-0j -0.00415853-0j 0.00456642-0j 0.031965-0j -0.000711936-0j -0.000600232-0j 0.0276825-0j 0.00461374-0j -0.008913-0j 0.00399562-0j 0.0228369-0j -0.0044565-0j -0.00519925-0j -0.00128648-0j 0.00329622-0j 0.00729649-0j -0.00064324-0j -0.00779887-0j -0.000750447-0j 0.00105316-0j -0.00275732-0j -0.00112567-0j -0.00454934-0j -0.00321687-0j -0.000397984-0j -0.00118681-0j -0.000656641-0j -0.00178021-0j -0.000464315-0j -0.000171301-0j -0.000555078-0j -0.000256951-0j -8.01187e-05-0j -9.34718e-05-0j -1.34915e-05-0j 
0.224296-0j 0.00484476-0j 0.189604-0j -0.183986-0j -0.336531-0j 0.00423917-0j -0.0138158-0j -0.242459-0j -0.24043-0j 0.329943-0j 0.00174857-0j 0.413893-0j -0.173221-0j -0.157338-0j -0.0521225-0j 0.0302644-0j 0.000647002-0j 0.0249669-0j -0.024227-0j -0.0434187-0j 0.015289-0j 0.000546931-0j -0.0312817-0j -0.000970755-0j 0.0154475-0j -0.0711982-0j -0.0211987-0j 0.0690884-0j -0.0265924-0j -0.000693541-0j 0.00450551-0j 0.0560976-0j -0.008744-0j 0.0360297-0j -0.0189985-0j -0.0117136-0j -0.00313488-0j 0.0201636-0j 0.00291037-0j 0.000427683-0j 6.17307e-05-0j 0.0163344-0j -0.0158504-0j 0.00235767-0j -0.0022878-0j -0.0280091-0j -0.00404276-0j 0.0136663-0j 0.00035282-0j 0.00197256-0j -0.0201796-0j 5.09252e-05-0j -0.00291267-0j -0.000613573-0j 0.000216058-0j 0.0097637-0j -8.85617e-05-0j 3.11852e-05-0j -0.0133988-0j 0.00140927-0j -0.0245079-0j -0.016808-0j -0.00193395-0j -0.0380025-0j -0.00353741-0j 0.0237817-0j -0.00242602-0j -0.0054852-0j 0.000218297-0j 0.00343259-0j -0.00100614-0j 3.15084e-05-0j -0.0176571-0j -0.010109-0j 0.0575462-0j -0.000145224-0j -0.00254858-0j -0.0113406-0j -0.00145911-0j 0.0169905-0j 0.00830607-0j -0.00163687-0j 6.36698e-05-0j 0.00245236-0j 0.0301418-0j -0.00728319-0j 9.18995e-06-0j 0.0131409-0j 0.0043506-0j -0.00810212-0j -0.00105124-0j 0.00189673-0j -0.00379583-0j -0.00116944-0j -0.00054788-0j -0.000852978-0j -0.000123117-0j 
0.137353-0j 0.149895-0j -0.339419-0j 0.117312-0j 0.105992-0j -0.383415-0j 0.087439-0j 0.0765091-0j 0.0643302-0j -0.316301-0j 0.666431-0j 0.0446303-0j 0.046436-0j -0.0722005-0j 0.00544547-0j 0.0185331-0j 0.020018-0j -0.0446943-0j 0.0154475-0j 0.0136749-0j 0.00936258-0j -0.0494675-0j 0.00987108-0j 0.0154475-0j 0.00803622-0j -0.0260717-0j -0.0395128-0j 0.00901102-0j 0.00557528-0j 0.00937559-0j 0.0868647-0j -0.0266148-0j 0.068679-0j 0.0029089-0j 0.00338383-0j -0.00429585-0j 0.000280592-0j 0.0123476-0j 0.00178223-0j 0.0132324-0j 0.00190993-0j -0.0292409-0j 0.0101064-0j -0.00422056-0j 0.00145873-0j 0.00882158-0j 0.00127329-0j 0.00836888-0j -0.0319111-0j 0.00120794-0j 0.00636775-0j -0.00460597-0j 0.000919106-0j 0.0097637-0j 0.00668475-0j 0.00507936-0j 0.00140927-0j 0.00096486-0j -0.0249744-0j 0.000733142-0j -0.0225646-0j 0.0035239-0j -0.00360474-0j 0.002971-0j -0.00325691-0j 0.00779887-0j 0.000508632-0j 0.000428827-0j 0.00573775-0j 0.00112567-0j -0.0186148-0j 0.000828173-0j -0.016288-0j 0.0392205-0j 0.00371452-0j -0.00268682-0j -0.00235096-0j 0.00178021-0j 0.00566099-0j 0.0047334-0j 0.000536145-0j 0.000256951-0j 0.0620201-0j 0.000683207-0j -0.00950131-0j 0.0283109-0j 0.00895184-0j 0.000847896-0j -0.0013714-0j 0.00108047-0j 0.00408632-0j 0.000122383-0j -0.00115928-0j 0.000155953-0j -0.000167328-0j 6.67795e-05-0j 9.63879e-06-0j 
-0.196259-0j 0.205703-0j 0.159541-0j 0.167492-0j -0.151449-0j -0.173087-0j 0.119993-0j -0.096596-0j 0.316301-0j -0.148558-0j -0.362668-0j -0.298959-0j 0.201741-0j 0.353424-0j -0.214993-0j -0.0264814-0j 0.0274709-0j 0.0210082-0j 0.0220551-0j -0.0195397-0j -0.0133779-0j -0.0223313-0j -0.0124627-0j 0.0211987-0j 0.0395128-0j 0.0122548-0j -0.0185581-0j 0.0128655-0j -0.0373464-0j -0.0442735-0j 0.0269915-0j 0.0110538-0j -0.0388847-0j -0.0432854-0j 0.0779981-0j 0.0364706-0j -0.0156851-0j -0.0176432-0j -0.00254657-0j 0.0181589-0j 0.00262101-0j 0.0137444-0j 0.0144294-0j 0.00198384-0j 0.0020827-0j -0.0126049-0j -0.00181936-0j -0.011958-0j -0.0144058-0j -0.00172599-0j -0.00803956-0j -0.00207929-0j -0.00116041-0j 0.0133988-0j 0.00917353-0j 0.0249744-0j 0.00193395-0j 0.00132408-0j -0.0117298-0j 0.00360474-0j 0.0106063-0j -0.0236051-0j -0.00169305-0j -0.00424517-0j 0.00153088-0j 0.0111348-0j -0.00340711-0j -0.000612737-0j -0.0270948-0j 0.00160717-0j -0.00840337-0j -0.0039108-0j 0.00676481-0j 0.0222233-0j -0.00468974-0j -0.00121292-0j 0.000976417-0j -0.0264901-0j 0.00320765-0j -0.0232551-0j -0.000676906-0j -0.00382352-0j -0.0185087-0j -0.00335659-0j 0.0209367-0j 0.0141743-0j -0.00267149-0j -0.0218824-0j 0.00302196-0j 0.0553247-0j 0.00204588-0j -0.00315845-0j 0.0150564-0j 0.00798543-0j 0.0021732-0j -0.00501278-0j -0.000723533-0j 
0.0809528-0j -0.258041-0j 0.0684318-0j 0.324134-0j 0.0624694-0j -0.225786-0j -0.150524-0j 0.0551753-0j 0.0446303-0j 0.298959-0j -0.0931319-0j -0.361984-0j 0.0394191-0j -0.270157-0j 0.641952-0j 0.010923-0j -0.0344605-0j 0.00901102-0j 0.0426816-0j 0.0080597-0j 0.0055181-0j -0.0291305-0j 0.00711862-0j -0.0265924-0j 0.00557528-0j 0.00525643-0j 0.0373464-0j 0.0248976-0j -0.0452196-0j -0.0189985-0j 0.00162612-0j 0.00656572-0j 0.0154046-0j -0.0318183-0j -0.0323064-0j 0.026585-0j 0.0955187-0j 0.00727743-0j 0.00105041-0j -0.0227792-0j -0.00328789-0j 0.00589539-0j 0.0279241-0j 0.000850927-0j 0.0040305-0j 0.00519925-0j 0.000750447-0j 0.00493244-0j -0.0187919-0j 0.000711936-0j 0.00459216-0j -0.00271237-0j 0.000662822-0j -0.016808-0j -0.0115076-0j 0.0035239-0j -0.00242602-0j -0.00166098-0j 0.0236051-0j 0.000508632-0j 0.00454934-0j -0.0285814-0j 0.00340711-0j 0.00175104-0j 0.000656641-0j 0.0215484-0j -0.00412537-0j 0.000252741-0j -0.0116269-0j 0.00311025-0j -0.0109619-0j -0.00167819-0j 0.00401814-0j 0.00187651-0j 0.00267876-0j -0.00158222-0j 0.000579969-0j -0.0194724-0j 0.000270851-0j 0.0153949-0j 0.000386646-0j -0.0028106-0j -0.00339117-0j 0.00222207-0j -0.0263615-0j 0.0016574-0j -0.000489473-0j 0.0153392-0j -0.00380496-0j -0.0139118-0j 0.000239225-0j 0.00221403-0j 0.0467502-0j -0.00200799-0j 0.00674781-0j 0.0501322-0j 0.00723596-0j 
0.0248043-0j 0.0270693-0j -0.0820548-0j -0.0829051-0j 0.0191409-0j 0.0236857-0j 0.0157904-0j 0.0138166-0j 0.0136749-0j 0.0195397-0j 0.00976983-0j 0.0080597-0j 0.00987108-0j 0.00446023-0j 0.000983388-0j -0.157403-0j -0.170015-0j -0.129851-0j -0.131197-0j 0.454508-0j -0.0795172-0j 0.562425-0j 0.328081-0j -0.131197-0j -0.0803412-0j -0.0757464-0j -0.114797-0j -0.0765314-0j -0.0473514-0j -0.0937314-0j -0.0234329-0j -0.0773245-0j -0.0473514-0j -0.0247055-0j -0.0338295-0j -0.0124808-0j -0.00238309-0j 0.00222984-0j -0.0305951-0j 0.00238961-0j -0.0327873-0j 0.00180637-0j 0.00182509-0j -0.0247849-0j -0.0250417-0j 0.00159307-0j -0.0218582-0j -0.00591436-0j 0.00197133-0j 0.0811496-0j 0.00114994-0j -0.0270481-0j -0.0157781-0j -0.00690008-0j 0.00120719-0j -0.00422542-0j 0.0946745-0j -0.0165635-0j -0.00603757-0j 0.0579761-0j 0.00139394-0j -0.00249037-0j 0.0828402-0j 0.000536527-0j -0.0191259-0j 0.00140838-0j 0.0341698-0j -0.00736157-0j 0.0012197-0j -0.0193241-0j 0.00114994-0j -0.0167352-0j 0.0010062-0j 0.00057497-0j 0.000670798-0j -0.0157781-0j -0.0138058-0j 0.000321485-0j -0.00788904-0j 0.0010062-0j -0.00920387-0j -0.00441102-0j 0.000355745-0j -0.0138058-0j 0.000586949-0j 0.000415035-0j -0.00488109-0j 0.00015312-0j -0.00805339-0j 0.00022968-0j -0.00569461-0j -0.00210093-0j 7.16153e-05-0j -0.00315139-0j -0.000982618-0j 1.20596e-05-0j -0.000165467-0j 
-0.0280194-0j -0.000605215-0j -0.0236857-0j 0.0229838-0j 0.063314-0j 0.00155068-0j -0.000353042-0j -0.0886912-0j -0.0154475-0j 0.0211987-0j -0.000218434-0j 0.0265924-0j 0.021639-0j 0.0196548-0j 0.00651122-0j 0.177806-0j 0.00380119-0j 0.146682-0j -0.142336-0j 0.131197-0j -0.615876-0j 0.00321326-0j -0.183782-0j -0.00858935-0j -0.265751-0j 0.0855647-0j 0.364693-0j -0.0830292-0j 0.457484-0j 0.00209565-0j 0.0264702-0j -0.169508-0j -0.0513717-0j -0.10887-0j -0.111618-0j -0.0688185-0j -0.0184176-0j -0.00251887-0j 0.0345608-0j -5.34268e-05-0j 0.000733057-0j -0.00204052-0j 0.00198005-0j 0.0279975-0j -0.0271678-0j -0.00179957-0j 0.0246914-0j 0.00499912-0j -4.40749e-05-0j -0.0685919-0j 0.00252086-0j 0.000604741-0j -0.0345882-0j -3.94217e-05-0j 0.000185057-0j -0.0012197-0j 0.000540897-0j -0.00253913-0j 0.0016738-0j 0.0167352-0j 0.00461085-0j 0.00209967-0j -0.0229658-0j -0.000606072-0j -0.0632644-0j -0.00447422-0j -0.0288092-0j 0.00831577-0j 7.98526e-05-0j 0.0613897-0j -2.57103e-05-0j -0.00109564-0j -0.00645894-0j -0.000649498-0j 0.0014705-0j 0.000352766-0j 0.0886217-0j -0.00414838-0j 0.00891161-0j 0.00109163-0j -0.0201764-0j 0.0569189-0j -7.95373e-06-0j -0.014978-0j 0.00193659-0j 0.000909826-0j 0.000109131-0j 0.000844296-0j -0.0265716-0j 0.00101213-0j -0.0124835-0j -0.0115844-0j 0.00047418-0j -0.0138872-0j -0.00650612-0j 0.000106555-0j -0.00146202-0j 
-0.0228778-0j -0.0249669-0j 0.0185975-0j -0.0195397-0j 0.0343255-0j 0.0210082-0j 0.0711982-0j -0.0127435-0j -0.0716889-0j -0.0336967-0j 0.0440183-0j 0.0144535-0j 0.0266148-0j 0.00395603-0j -0.000907009-0j 0.145178-0j 0.15681-0j -0.115172-0j 0.121007-0j -0.208279-0j 0.0733412-0j -0.127472-0j 0.0773245-0j -0.235276-0j -0.21662-0j 0.328438-0j -0.10182-0j -0.345076-0j 0.0436736-0j 0.491374-0j -0.147974-0j 0.133348-0j -0.213343-0j -0.0443046-0j -0.0912125-0j -0.0110699-0j 0.002198-0j -0.00205665-0j 0.0282188-0j -0.00220401-0j 0.0302407-0j 0.00160218-0j -0.00168334-0j -0.0219831-0j 0.0230967-0j 0.00285687-0j -0.0391984-0j -0.00139394-0j 0.00174848-0j 0.0191259-0j -0.00106063-0j -0.0239905-0j 0.0145526-0j 0.00316197-0j -0.00111342-0j 0.00291124-0j -0.0433847-0j 0.0152771-0j 0.0013684-0j -0.0399445-0j -0.00240389-0j -0.000586949-0j -0.0187756-0j 0.00387618-0j 0.0329832-0j 0.00252566-0j 0.00805339-0j -0.0531842-0j 0.0032886-0j -0.0346541-0j -0.00498616-0j -0.0451221-0j 0.000892454-0j -0.00503685-0j 0.00302459-0j 0.0684139-0j -0.0122452-0j -0.000296516-0j 0.0691095-0j -0.00527485-0j -0.0414998-0j 0.00406842-0j 0.00224646-0j 0.0723751-0j -0.00101221-0j 0.00186996-0j -0.0308232-0j 0.000274591-0j 0.0138883-0j 0.000619273-0j -0.0256572-0j -0.0037676-0j 6.35197e-05-0j -0.00849691-0j -0.00087154-0j -1.11229e-05-0j 0.000152615-0j 
0.0231148-0j -0.024227-0j 0.0195397-0j -0.0197267-0j -0.0346812-0j -0.0211987-0j 0.0690884-0j 0.0113768-0j -0.0247775-0j 0.035376-0j -0.008744-0j -0.0684606-0j 0.00812798-0j 0.0432854-0j 0.0253213-0j -0.146682-0j 0.152163-0j -0.121007-0j 0.122165-0j 0.210437-0j -0.0741012-0j 0.128628-0j -0.0690316-0j -0.228304-0j -0.0748691-0j 0.345076-0j 0.106894-0j -0.348379-0j -0.206865-0j -0.163108-0j -0.0218368-0j 0.123795-0j 0.0440917-0j 0.466172-0j -0.147791-0j -0.21007-0j -0.0868808-0j 0.00207796-0j -0.0285112-0j -0.0021387-0j 0.0293446-0j 0.00168334-0j -0.00169945-0j -0.0230967-0j 0.0233178-0j -0.00288647-0j 0.0396046-0j 0.00140838-0j -0.00176434-0j -0.0193241-0j 0.000946876-0j 0.0242081-0j -0.0129919-0j 0.00306828-0j -0.00108043-0j 0.0010062-0j -0.0420991-0j 0.0148244-0j -0.0014366-0j -0.0138058-0j -0.00252566-0j 0.00278014-0j 0.0197112-0j -0.00391635-0j 0.0346541-0j 0.00254984-0j -0.0381457-0j 0.0537354-0j -0.00109163-0j -0.0349857-0j 0.00503137-0j 0.014978-0j 0.000828516-0j -0.00104178-0j -0.00270021-0j -0.0690343-0j -0.0113679-0j 0.00311993-0j 0.0142941-0j 0.00182169-0j 0.037049-0j -0.0428079-0j -0.000318391-0j -0.024995-0j -0.00498565-0j 0.000341745-0j 0.00436858-0j -0.00501098-0j 0.068407-0j 0.00222899-0j -0.00468901-0j 0.0687546-0j 0.00184402-0j -0.0305834-0j -0.0253014-0j 0.000590391-0j -0.00810062-0j 
0.020018-0j 0.000432387-0j -0.0494675-0j -0.0164204-0j 0.0154475-0j -0.00110599-0j 0.000252226-0j -0.021639-0j 0.00937559-0j 0.0442735-0j 0.00192238-0j -0.0189985-0j -0.0131335-0j 0.0410492-0j -0.00465184-0j -0.127031-0j -0.0027157-0j 0.306346-0j 0.10169-0j -0.0937314-0j -0.0641735-0j 0.0067109-0j 0.1313-0j -0.00209565-0j -0.0550823-0j 0.178702-0j -0.26011-0j 0.0593189-0j 0.111618-0j -0.00127192-0j -0.595393-0j -0.354018-0j 0.452109-0j 0.0777803-0j 0.0677447-0j -0.143728-0j 0.0131582-0j 0.00179957-0j -0.0246914-0j 3.81699e-05-0j -0.000523721-0j -0.00426162-0j -0.00141462-0j 0.0584728-0j 0.0194096-0j 0.00128567-0j -0.0176404-0j 0.0012197-0j -9.20504e-05-0j -0.0167352-0j -0.00180099-0j 0.001263-0j 0.024711-0j 2.81643e-05-0j 1.92827e-05-0j 0.000740275-0j -0.000386436-0j -0.000264574-0j 0.00349573-0j -0.0101571-0j -0.0032886-0j -0.00150008-0j -0.0479641-0j 0.000432998-0j 0.0451221-0j -0.00109163-0j 0.0205823-0j -0.00594108-0j 1.6551e-05-0j 0.014978-0j -5.36961e-05-0j -0.000227093-0j 0.00460672-0j 0.00571606-0j -0.00105058-0j 0.000736752-0j -0.0632078-0j -0.00101213-0j -0.0784288-0j -0.000662546-0j 0.0144147-0j 0.0138872-0j 0.000178903-0j 0.00909065-0j 0.00404458-0j -0.00800715-0j -0.00245468-0j -0.000603194-0j -0.0554948-0j -0.000614295-0j 0.109864-0j 0.0082763-0j 0.000990327-0j 0.00842861-0j -0.0135881-0j -7.61268e-05-0j 0.00104452-0j 
