-0.0455563+0.0264088j -0.117424+0.14573j 0.0842276+0.0529576j 0.0326317-0.0473595j -0.0950912-0.105873j -0.027576-0.0245633j -0.0693933-0.0449458j -0.0122112+0.177234j 0.0389037-0.00345364j -0.1942+0.0550733j -0.13927+0.0246561j -0.0412249+0.0515606j -0.0549182-0.082168j -0.0229042-0.0302515j -0.171992+0.226419j 0.351629+0.0595905j 0.0296934-0.11844j 0.132726-0.202896j 
-0.109105+0.110757j 0.0800746-0.0422838j 0.20549-0.046494j 0.0437503-0.063928j -0.063498+0.0559711j 0.0508353-0.0413265j -0.117318+0.0827397j 0.115554-0.0747616j -0.142178+0.108269j 0.0789982+0.00194288j -0.00100573-0.0520583j 0.0679351-0.00959073j -0.146239+0.0474027j -0.0846222-0.00686006j 0.0829501+0.0223146j 0.230241-0.289853j 0.238092-0.138703j -0.145403+0.18433j 
-0.00301455+0.0299957j 0.0764167-0.188173j 0.0588614-0.0159806j -0.117821-0.0263227j -0.118563-0.0959103j -0.127078-0.077814j -0.0659215+0.0169645j 0.0182342-0.0153241j -0.0398671+0.188716j 0.0212099-0.0211962j 0.00942477-0.0455233j 0.0569308-0.0128844j -0.111125+0.157881j -0.0413376+0.0297721j 0.167353+0.0748193j 0.00242438+0.1012j -0.138947-0.141443j 0.0221692-0.0996964j 
-0.0814051-0.217246j -0.0493821-0.115305j 0.0220219-0.0978208j -0.115032+0.101596j 0.00222948+0.0296064j -0.121528+0.274266j 0.052886-0.120435j -0.132707-0.0811334j 0.160812-0.0852062j 0.0192327-0.102215j -0.115329-0.0314158j -0.0116617+0.0244145j 0.00590825+0.0800832j -0.0873033+0.0118292j 0.0524087-0.0954499j -0.028635+0.0367744j -0.0361815+0.0573151j -0.00409131+0.12879j 
0.0366006+0.0449373j -0.0629952-0.00298861j 0.176209-0.0302415j 0.077317+0.223952j -0.0222401+0.113191j 0.548653-0.0595079j -0.00857444+0.163237j 0.15977-0.388034j -0.11438-0.0550786j -0.0462586-0.0512319j -0.00691499-0.0939779j 0.0373999-0.00311143j 0.047154-0.0547571j 0.00811767+0.0221743j -0.0458666-0.0783121j 0.0201002+0.00610672j 0.0716683+0.0364723j -0.00125536+0.120853j 
-0.0361426-0.1146j 0.0766836-0.0423681j -0.0143786-0.0914778j -0.201759+0.366758j -0.380255-0.225065j -0.00964935-0.0548621j -0.00903017-0.167393j -0.290211+0.016822j -0.00138259+0.12574j -0.0400354+0.00997056j 0.000115795-0.0944077j 0.0743311-0.0894347j 0.0194788+0.132915j 0.0175952+0.0628841j 0.0028418-0.0371928j 0.109543-0.048135j 0.0610621-0.11948j 0.0607878+0.0828283j 
0.0742816+0.0348283j -0.075331+0.0699583j -0.318687-0.00845744j -0.127573+0.0995565j 0.123696-0.00619988j -0.0152193+0.0011559j 0.101179+0.0863148j 0.0914844-0.151866j -0.0633332-0.12899j 0.156492+0.000539019j -0.0817879+0.00937786j 0.041079+0.0464455j -0.0479549-0.158011j -0.0564851-0.0243317j -0.0942717-0.0304154j 0.0955676-0.0779199j 0.153627+0.10209j -0.00310161+0.0661295j 
0.0922973+0.0220964j -0.105515+0.0526056j 0.143676+0.225874j 0.246658-0.029245j -0.101962+0.14576j -0.176068+0.0275261j 0.12084-0.0263385j -0.0166485+0.0795628j 0.141831+0.00812742j -0.0226999-0.115667j -0.0341792+0.0341048j -0.0405022-0.043939j 0.0146703-0.00447597j -0.000122508-0.00625825j -0.0260171-0.0330749j 0.0302782-0.179645j 0.140219-0.00719604j -0.120205+0.174304j 
-0.00528777-0.135535j -0.0106455-0.142907j 0.0242851+0.0262597j -0.193296-0.0480835j 0.182351-0.00821506j -0.118292+0.195555j -0.0652227+0.0811593j 0.159135-0.283449j 0.109517+0.232354j -0.0657708+0.119065j 0.0664564-0.107104j -0.0332705+0.0040844j -0.0274025+0.0124793j 0.00629669-0.0368476j -0.0461242-0.0129926j 0.076519-0.0274823j 0.00136232-0.0365302j 0.00441632-0.00676647j 
0.155591-0.216737j 0.17519+0.0690128j -0.327956+0.0534553j 0.191998+0.226871j 0.0493429+0.424298j -0.149699-0.0637345j -0.0334811-0.0930377j 0.0864205-0.202371j -0.209146+0.105092j 0.0924919-0.0303642j -0.075744-0.155261j 0.0121229-0.0947065j -0.0271144-0.032816j 0.0367595-0.0456077j 0.00939053-0.00206861j 0.043882+0.0494072j -0.00811139-0.0528958j 0.0423711-0.0327968j 
-0.0284757+0.121935j -0.0368106+0.273848j -0.358416-0.0828343j -0.0907513-0.0187772j 0.14351-0.0548534j -0.173607+0.187721j 0.0775878-0.149709j -0.190057+0.126756j 0.0317071-0.15718j 0.181911+0.0847026j 0.0273824+0.0163024j 0.0743911+0.0202097j -0.0602718-0.0567652j -0.0107568+0.0222372j -0.00198936-0.00697454j -0.0149107-0.118327j 0.157752+0.000293636j -0.0992602+0.0613258j 
