-0.00373847-0j -0.000603293-0j -0.000492587-0j -7.10988e-05-0j -6.15734e-05-0j -7.25649e-06-0j -3.31212e-07-0j 1.00534-0j -0.000543484-0j -0.000429662-0j -0.000286441-0j -6.20163e-05-0j -7.16103e-05-0j -2.53181e-05-0j -5.96752e-06-0j -6.32951e-06-0j -5.27459e-07-0j -1.96573e-08-0j -0.00224318-0j -0.00226642-0j 0.102285-0j 0.103345-0j -0.000270889-0j -0.000273697-0j -3.90995e-05-0j -0.000247287-0j -3.95047e-05-0j -0.00024985-0j -4.37146e-05-0j -2.91431e-05-0j -4.41676e-05-0j -3.64288e-06-0j -2.52386e-05-0j -2.94451e-05-0j -3.68063e-06-0j -2.55002e-05-0j -5.15181e-06-0j -2.57591e-06-0j -5.2052e-06-0j -3.03574e-07-0j -3.718e-07-0j -2.6026e-06-0j -3.0672e-07-0j -3.75653e-07-0j -2.39996e-08-0j -2.42483e-08-0j -7.55916e-10-0j -7.6375e-10-0j 
-0.14352-0j -0.00449769-0j 7.78848e-05-0j -0.00107136-0j -0.000459044-0j -0.000164591-0j -1.25558e-05-0j 0.000543484-0j 0.983775-0j 6.79355e-05-0j 4.52903e-05-0j -0.000934498-0j -0.000533871-0j 4.00314e-06-0j -0.000135355-0j -9.53768e-05-0j -1.59795e-05-0j -8.94837e-07-0j 0.000354678-0j 0.000358353-0j -0.00260722-0j -0.00263424-0j -0.0103994-0j -0.0105072-0j 0.143051-0j 3.90995e-05-0j 0.144534-0j 3.95047e-05-0j -0.000325903-0j -0.000217268-0j -0.00032928-0j -8.26276e-05-0j 3.99058e-06-0j -0.00021952-0j -8.34839e-05-0j 4.03193e-06-0j -7.76305e-05-0j -1.9204e-05-0j -7.8435e-05-0j -9.19685e-06-0j -8.43315e-06-0j -1.9403e-05-0j -9.29215e-06-0j -8.52054e-06-0j -9.09792e-07-0j -9.1922e-07-0j -4.01659e-08-0j -4.05821e-08-0j 
0.000467309-0j -0.0145867-0j -0.00588673-0j 8.88735e-06-0j -0.00147938-0j -8.67197e-05-0j 4.14015e-08-0j 0.000429662-0j 6.79355e-05-0j 0.9932-0j 3.58051e-05-0j -0.00149946-0j -0.000855788-0j -0.00091403-0j 7.4594e-07-0j -0.000152075-0j -6.30347e-06-0j 2.45716e-09-0j 0.000280397-0j 0.000283303-0j 4.37146e-05-0j 4.41676e-05-0j -0.0032373-0j -0.00327085-0j 4.88744e-06-0j -0.00597903-0j 4.93809e-06-0j -0.00604099-0j 0.10105-0j 3.64288e-06-0j 0.102097-0j -8.80794e-05-0j -0.00060639-0j 3.68063e-06-0j -8.89922e-05-0j -0.000612674-0j -6.15675e-05-0j -9.29952e-05-0j -6.22055e-05-0j 3.79467e-08-0j -8.93297e-06-0j -9.39589e-05-0j 3.83399e-08-0j -9.02555e-06-0j -2.8681e-07-0j -2.89783e-07-0j 9.44895e-11-0j 9.54687e-11-0j 
0.000311539-0j 5.02744e-05-0j -0.011893-0j -0.0017166-0j 5.13111e-06-0j 6.04707e-07-0j 2.7601e-08-0j 0.000286441-0j 4.52903e-05-0j 3.58051e-05-0j 0.994922-0j 5.16803e-06-0j -0.00172895-0j 2.10984e-06-0j -0.000144079-0j 5.27459e-07-0j 4.39549e-08-0j 1.6381e-09-0j 0.000186931-0j 0.000188869-0j 2.91431e-05-0j 2.94451e-05-0j 2.25741e-05-0j 2.28081e-05-0j 3.25829e-06-0j -0.00597048-0j 3.29206e-06-0j -0.00603236-0j 3.64288e-06-0j 0.101225-0j 3.68063e-06-0j 3.03574e-07-0j -0.00060936-0j 0.102274-0j 3.0672e-07-0j -0.000615675-0j -0.000124385-0j 2.14659e-07-0j -0.000125674-0j -7.32946e-06-0j 3.09834e-08-0j 2.16883e-07-0j -7.40542e-06-0j 3.13044e-08-0j 1.99997e-09-0j 2.02069e-09-0j 6.2993e-11-0j 6.36458e-11-0j 
-6.74502e-05-0j -0.20065-0j -8.88735e-06-0j -0.00570251-0j 0.000105873-0j -0.00178359-0j -0.000274229-0j -6.20163e-05-0j 0.000934498-0j 0.00149946-0j -5.16803e-06-0j 0.96212-0j 0.000123131-0j -4.56793e-07-0j -0.00146677-0j -0.000507662-0j -0.000261115-0j -2.4464e-05-0j -4.04719e-05-0j -4.08913e-05-0j 0.000601324-0j 0.000607555-0j -4.88744e-06-0j -4.93809e-06-0j -0.003136-0j 0.000862999-0j -0.0031685-0j 0.000871942-0j -0.0145391-0j 5.01103e-05-0j -0.0146898-0j 0.173194-0j -4.5536e-07-0j 5.06296e-05-0j 0.174989-0j -4.60079e-07-0j -0.000413204-0j 4.42917e-06-0j -0.000417486-0j -0.000150282-0j -9.13859e-05-0j 4.47507e-06-0j -0.000151839-0j -9.23329e-05-0j -1.98706e-05-0j -2.00765e-05-0j -1.3189e-06-0j -1.33257e-06-0j 
-7.78848e-05-0j 0.000592623-0j -0.141638-0j -0.0203789-0j -0.0116257-0j -0.00207337-0j 1.65437e-06-0j -7.16103e-05-0j 0.000533871-0j 0.000855788-0j 0.00172895-0j 0.000123131-0j 0.970876-0j 0.000152338-0j -0.00257466-0j -0.0024155-0j -0.000201295-0j 1.17905e-07-0j -4.67329e-05-0j -4.72172e-05-0j 0.000343531-0j 0.000347091-0j 0.00053955-0j 0.000545142-0j 7.76305e-05-0j 0.000743734-0j 7.8435e-05-0j 0.000751442-0j -0.00410542-0j -0.0082942-0j -0.00414796-0j 1.08871e-05-0j -0.0145901-0j -0.00838015-0j 1.1e-05-0j -0.0147413-0j 0.141176-0j -0.000730803-0j 0.142639-0j -0.000174938-0j -0.000213577-0j -0.000738376-0j -0.000176751-0j -0.00021579-0j -1.14607e-05-0j -1.15795e-05-0j 5.29232e-09-0j 5.34716e-09-0j 
-2.75364e-05-0j -4.44367e-06-0j 0.00104789-0j -5.23692e-07-0j -0.0251331-0j 1.54369e-05-0j -2.43961e-09-0j -2.53181e-05-0j -4.00314e-06-0j 0.00091403-0j -2.10984e-06-0j -4.56793e-07-0j 0.000152338-0j 0.977612-0j -4.39549e-08-0j -0.00258359-0j 1.12208e-06-0j -1.44789e-10-0j -1.65226e-05-0j -1.66938e-05-0j -2.57591e-06-0j -2.6026e-06-0j 0.00057627-0j 0.000582242-0j -2.87995e-07-0j -1.82144e-06-0j -2.9098e-07-0j -1.84032e-06-0j 9.29952e-05-0j -2.14659e-07-0j 9.39589e-05-0j -2.68324e-08-0j -0.010302-0j -2.16883e-07-0j -2.71104e-08-0j -0.0104087-0j 1.09596e-05-0j 0.0994642-0j 1.10732e-05-0j -2.23603e-09-0j -0.000151762-0j 0.100495-0j -2.2592e-09-0j -0.000153335-0j 5.1055e-08-0j 5.1584e-08-0j -5.56785e-12-0j -5.62555e-12-0j 
6.4904e-06-0j -0.00015025-0j -0.000123458-0j -0.24276-0j -1.53349e-05-0j -0.00791832-0j -0.00377212-0j 5.96752e-06-0j -0.000135355-0j 7.4594e-07-0j -0.000144079-0j 0.00146677-0j 0.00257466-0j 4.39549e-08-0j 0.940066-0j 0.000149702-0j -0.00237764-0j -0.0004501-0j 3.89441e-06-0j 3.93476e-06-0j -8.70972e-05-0j -8.79997e-05-0j 4.70294e-07-0j 4.75168e-07-0j 0.00092476-0j -6.19779e-05-0j 0.000934343-0j -6.26201e-05-0j -1.08871e-05-0j 0.00210287-0j -1.1e-05-0j -0.00397513-0j -6.32559e-06-0j 0.00212466-0j -0.00401633-0j -6.39114e-06-0j -0.0175904-0j -6.41531e-07-0j -0.0177727-0j 0.197551-0j -0.00040571-0j -6.48179e-07-0j 0.199598-0j -0.000409915-0j -0.000273327-0j -0.00027616-0j -3.03851e-05-0j -3.07e-05-0j 
6.88411e-06-0j -0.000105873-0j -0.000174346-0j 0.00058201-0j -0.197523-0j -0.0349894-0j 2.79883e-05-0j 6.32951e-06-0j -9.53768e-05-0j -0.000152075-0j 5.27459e-07-0j 0.000507662-0j 0.0024155-0j 0.00258359-0j 0.000149702-0j 0.947124-0j -0.00512239-0j 2.49685e-06-0j 4.13064e-06-0j 4.17345e-06-0j -6.13723e-05-0j -6.20083e-05-0j -9.58787e-05-0j -9.68723e-05-0j 0.000320066-0j 4.5536e-07-0j 0.000323383-0j 4.60079e-07-0j 0.00147455-0j -5.11436e-06-0j 0.00148983-0j 9.13859e-05-0j 0.000849548-0j -5.16736e-06-0j 9.23329e-05-0j 0.000858352-0j -0.00810597-0j -0.0250511-0j -0.00818997-0j 1.53381e-05-0j 0.170495-0j -0.0253107-0j 1.5497e-05-0j 0.172262-0j -0.000389809-0j -0.000393848-0j 1.34609e-07-0j 1.36004e-07-0j 
-5.73676e-07-0j 1.7738e-05-0j 7.22664e-06-0j -0.000299356-0j -0.000347974-0j -0.276414-0j -0.0314378-0j -5.27459e-07-0j 1.59795e-05-0j 6.30347e-06-0j -4.39549e-08-0j -0.000261115-0j -0.000201295-0j 1.12208e-06-0j 0.00237764-0j 0.00512239-0j 0.916687-0j -0.00567702-0j -3.4422e-07-0j -3.47787e-07-0j 1.02824e-05-0j 1.03889e-05-0j 3.97416e-06-0j 4.01535e-06-0j -0.000164626-0j -3.79467e-08-0j -0.000166332-0j -3.83399e-08-0j -0.000122881-0j 8.56865e-07-0j -0.000124154-0j 0.00145144-0j 7.44414e-07-0j 8.65745e-07-0j 0.00146648-0j 7.52129e-07-0j 0.0020738-0j -2.1874e-05-0j 0.00209529-0j -0.00551842-0j -0.0284734-0j -2.21007e-05-0j -0.00557561-0j -0.0287684-0j 0.217787-0j 0.220044-0j -0.000512969-0j -0.000518285-0j 
2.13796e-08-0j -9.93312e-07-0j 2.81701e-09-0j 2.80469e-05-0j -1.01379e-07-0j -0.00054732-0j -0.334923-0j 1.96573e-08-0j -8.94837e-07-0j 2.45716e-09-0j 1.6381e-09-0j 2.4464e-05-0j -1.17905e-07-0j 1.44789e-10-0j -0.0004501-0j 2.49685e-06-0j 0.00567702-0j 0.886309-0j 1.28283e-08-0j 1.29613e-08-0j -5.75803e-07-0j -5.8177e-07-0j 1.54917e-09-0j 1.56522e-09-0j 1.54239e-05-0j 1.41419e-09-0j 1.55837e-05-0j 1.42885e-09-0j -7.19754e-08-0j -4.79836e-08-0j -7.27212e-08-0j -0.000274764-0j 1.44335e-10-0j -4.84808e-08-0j -0.000277612-0j 1.45831e-10-0j 2.03228e-06-0j -4.24119e-09-0j 2.05334e-06-0j 0.00326735-0j -2.8043e-05-0j -4.28514e-09-0j 0.00330121-0j -2.83336e-05-0j -0.0242685-0j -0.02452-0j 0.254919-0j 0.257561-0j 
