0.00366508-0.00846896j 0.00353417+0.00782914j 0.00156676+0.0052404j 0.00200662-0.00887665j 0.00174361+0.00133858j -0.000140759+0.00428034j 0.00249393-0.0071201j -0.000864913-0.00397197j -0.000693824+0.000687573j -0.000838005-0.000866838j -0.00109864-0.000610626j 0.00164108-0.00879082j -0.00125044+0.000207413j -0.00130056+0.000540385j 2.28763e-05-0.000344586j -0.000296016-0.00103181j -3.74396e-05+0.00232102j -0.00102392+0.00614528j 0.000117435-0.000358513j -0.000388942+0.00340864j 0.00179426-0.00271373j -0.000122783+0.00035072j 0.000255555+0.00186631j 0.000532545+0.000444694j -0.000116053+0.00151219j -0.000141219-0.00267615j -0.0017253-0.0023883j 0.000116689-0.000953612j 0.00135734-0.00298716j -0.000154119-0.000975741j 0.000417958-0.00340846j 0.00191314-0.00439341j 0.000637439-0.00409565j 0.000144797-0.000102225j 0.000223266+0.000768337j 0.000159264+0.00136908j -8.75537e-05-0.00174029j 0.00102006-0.00424983j -0.00200604+0.00481929j 0.000622984+0.00019635j -0.00186228+0.00065277j -0.00106649+0.00325608j 0.00262216-0.00497008j 0.000719263-0.00442855j -8.13033e-05+0.00260552j -0.00441072+0.0039832j 0.000239366+0.00134703j -0.00416336+0.0104826j -0.00344742-0.00113055j -0.00186264-0.0202337j -0.0151937+0.0514208j 0.000438478+0.931986j 
-0.00367343-0.00932913j 0.00339846-0.0113963j 0.00228846-0.0097561j -0.00152868-0.00476665j 0.00130684-0.00521578j 0.00294643-0.0048358j -0.000522366-0.0041696j -0.0020087+0.00852672j -0.000761803+0.00167628j 0.000430917+0.00150002j -0.00161947+0.00485727j -0.00237075+0.00312541j -0.00074876+0.0057596j -0.00051244+0.00386919j -0.00054087+0.00196495j -0.00112055+0.00220696j 0.00135985-0.00276675j 0.00129561-0.00418613j 0.000621889-0.00125207j 0.00121408-0.00207732j 0.000188002-0.0036795j -0.0002383-0.000158696j 0.00190272-0.0048557j -0.000277871-0.000278439j 0.00044134-0.000505356j 0.000539031+0.00210273j 0.000485986+0.0021801j -0.000201884-0.000429616j 0.000505357-0.00400553j -0.0014128+0.00240091j -0.000802543+0.00122647j -0.000621649-0.0015298j -0.000436617-0.000794819j 0.000212562-0.00140234j 0.000366035+0.00214721j 0.00186096-0.00385155j -0.00185891+0.00279476j 0.00045059-0.00249401j 0.00113963-0.000419194j -0.000901592-0.000743133j -0.00193525+0.00156933j 0.00240159-0.00213954j 0.000386754-0.00632854j -0.00222702+0.00484105j -0.00163584+0.000632805j -0.000455387-0.000634958j 0.0066642-0.0129756j 0.00302284-0.00117847j 0.00137099+0.0188946j -0.00236992-0.00891157j -0.000547281-0.929528j -0.0147413+0.0526919j 
0.00292011+0.00657014j -0.00272058+0.00918772j 0.000900686+0.0016288j -0.000814486-0.00549832j 0.00035532+0.000387596j -0.00240831+0.0111359j -0.00087857+0.00217011j 0.000330011+0.00926267j 0.0029056-0.00559771j -0.0017279+0.00264099j -0.000325291-0.00325906j -0.000604905-0.00130656j 0.000116529+0.00660992j -0.000161093+0.00386175j -0.00116753+0.00426149j 0.000627984+6.07714e-05j -0.000750508+0.000333259j 0.00115646-0.00637726j -0.00154361+0.00543802j -0.000799083+0.00306788j 0.00123897-0.00106855j 0.00173046-0.00226734j 0.00104738+0.00173475j 0.00142994-0.00170884j 0.00109445+0.000301299j 0.000703458+0.00165116j -0.00294998+0.0030141j 0.000687022-0.00200897j -0.000198565-0.000303943j 0.00216136-0.00250009j -0.00153774+0.00465424j 0.00111522-0.000172203j -0.000951093+0.00342117j -0.000395665-0.00138683j -0.00122374+0.00233617j -0.000193513+0.00317567j -0.0017869+0.00069603j -0.00282477+0.00541202j 0.000780047+7.60132e-05j 0.000741253-0.00043378j 0.00378149-0.00776034j -0.00107467+0.00750672j 0.00071446-0.000902789j -0.00215846+0.00166136j -0.00232789-0.00674109j -0.00161105+0.0254491j -0.000600108+0.0211465j 0.00215405-0.0315941j -0.0106567-0.343578j -0.00612623+0.844883j -0.00326076-0.0150516j 0.000892198+0.0210841j 
-0.00266001+0.00776325j -0.00268701-0.00548959j 0.00117794+0.0066202j 0.0029291-0.000939535j -0.00165669+0.0087787j -0.00135737-0.0065988j 9.65405e-05+0.00183596j -0.00254852-0.00284217j -0.000207234+0.00742008j 0.00197721-0.00504461j 0.00161089-0.00573942j 0.000234815+0.00313375j -0.00102306+0.00281902j -7.42002e-05-0.0018172j -0.00130834-0.00229019j 0.000979686-0.00071783j 0.000236497-0.00176778j 0.000937569-0.00564983j 0.000967276-0.00325961j -5.15807e-05-0.00191803j -0.000654877+0.00480996j -0.000401389+0.00687379j -4.66254e-05+0.00476553j -0.00173634+0.00649137j -0.00108031+0.00502273j -0.00128168-0.00288909j -0.00222171-0.0017303j 0.00105137-0.000940395j 0.00113924-0.00240607j 0.000164699+0.00240491j 0.000255136-0.00412048j -0.000588779+0.00186092j 0.00085292-0.00269635j 0.000690381-0.00834709j -0.000359289+0.0103064j 0.000553143+0.00233883j 0.0015578-0.00819439j 0.00243901-0.00803436j 0.00158436+0.00173398j -0.00113842-0.00264813j 0.00283885-0.0106209j 0.00302286-0.00374547j 0.00265649-0.011175j 0.00165626-0.00309789j -0.0035131-0.022096j -0.00258638-0.02442j -0.00399169-0.00671095j 0.00322009+0.0382886j -0.00442218+0.848122j 0.010335+0.349726j 0.000421389+0.0168875j 0.00420954+0.00812449j 
-0.00206939+0.00100484j 0.000640856-0.00690231j -0.00278246-0.00977113j -0.00248447+0.0140749j 0.00124069-0.00849553j 0.00331245+0.000322738j -9.60967e-05-0.0011372j 0.000645108+0.00276631j 0.000480516+0.000937353j 0.000205893-0.00214147j -0.00135323-0.00136687j 0.000386012+0.00135111j 0.000506607+0.00105178j -0.000576238+0.00186759j 4.37419e-05+0.00182575j -0.00329786+0.00727943j 0.000908117-0.00226878j -0.00042566+0.00247595j -0.00241714+0.000446292j -0.000648223-0.00465825j -0.000167953+0.00564559j 0.000487201-0.00010078j 0.00014521-0.000472995j 0.000866838-0.00285292j 6.77805e-05-0.000492237j 0.0040956-0.00367818j -0.00537624+0.00159059j -0.00137389+0.00263766j -0.000791786-0.00060579j -0.00188551+0.00761034j -0.000227219+0.00523778j -3.79047e-05+0.00340547j -0.00113567+0.00565058j -4.49818e-05-0.00790622j -0.00216681+0.0120996j -0.000768776+0.00292909j -0.00464096+0.0122389j -0.00102481+0.00175683j -0.0021742+0.00259786j -0.000520442+0.0097801j 0.000892073-0.0135462j 0.00125888-0.0162908j 0.0020155-0.00492494j 0.00252604+0.00122035j 0.000345046+0.115599j -0.00418694-0.10447j 0.00688094+0.0104547j 0.00116429-0.903197j 0.00467746+0.0307815j 0.00381672-0.00024658j 0.00154098+0.00838561j 0.00142861+0.0170081j 
0.00256287+0.00754183j -0.00269718+0.010853j -0.00303596+0.0116063j 0.00174271+0.0128505j -0.00264498-0.000684406j 0.00105899-0.00618493j -0.00179936-0.00149406j 6.50195e-07-0.0159022j -0.000597901-0.00622202j -0.00064031-0.00156002j 0.00114897-0.00572033j 0.000453398-0.00281216j 0.000958589-0.00575398j 0.00194807-0.0104914j 0.00309725-0.0100505j 0.000365797+0.00675328j 0.00013439+0.0047236j 0.00243012+4.3743e-05j 0.000473514+0.00356264j 0.000260541+0.00364276j -0.00214698+0.00460465j 0.000661541-0.00332247j -0.00222838+0.00615585j -0.000804798+0.00020321j -0.000356802-0.00141174j -0.00506763+0.00412012j 0.00916936+0.00214429j 0.00015106-0.00295263j -0.000434778+0.00330129j -0.00157663-0.00309614j -0.000677232-0.00192829j -0.00237644-0.00192038j 0.000996977-0.00706852j -0.00177782+0.0096238j -0.00309838+0.00632233j -0.0015165+0.00816534j 0.00112205-0.00442624j 0.00445079-0.0110075j 0.00173661-0.000949622j -0.00294063+0.00396225j -0.00181406-0.00260464j -0.000536306+0.0303276j -0.000185088+0.0343999j 0.00345755-0.0234889j 0.00526465-0.0536182j 0.00457327+0.0489778j -0.000794791+0.910461j 0.00479997-0.00286474j -0.00184643+0.0151654j 0.00105013-0.0432794j -0.00137735-0.0225599j 0.001192-0.00163739j 
-0.00284535+0.0149386j -0.0041944-0.00295267j 0.00159015+0.00214276j 0.000572962+0.000600076j -0.000325499+0.00162259j 0.00200821+0.00737872j 0.000315652+0.00265479j -0.000324929-0.000755875j 0.00191524-0.00698602j 0.00237981-0.00815407j 5.40407e-05-0.00175599j 0.000165014+0.00361883j -0.000261359-0.00320032j 0.00190684+0.00142093j -0.00134287+0.0102409j -0.00107097+0.00363728j -5.66653e-05+0.00106684j -0.0014053-0.00531436j 0.000270599+0.00948125j -0.000817569-0.000586167j -0.000390522+0.00292781j 0.000727305+0.000416878j 0.000611829-0.00495768j -0.000700319-0.00126428j 6.96367e-05-0.00586209j 0.00606894+0.00874748j 0.00257635+0.00946708j 0.000686969-0.0061256j 0.000597173-4.8364e-06j -0.0004346-0.00483279j 0.00028567+0.00213578j -0.00132385+0.0090563j 0.00222675-0.0104486j -0.000999273+0.00305818j -0.00199063+0.0301972j 0.00102265+0.00261686j -0.00506045+0.0129422j 0.000975937+0.0060154j -0.000924968+0.00414463j -0.000513403-0.013819j -0.00172525-0.052866j -0.00340687-0.00468968j -0.00208824-0.0339031j -4.77366e-05+0.0544336j -0.00506699-0.355975j 0.00416916-0.82153j 0.00277474+0.036924j 0.00236117+0.0430243j -0.00418099-0.0626684j 0.00232301+0.00161105j 0.000260828-0.00690566j 0.00307354+0.0115848j 
0.00195551+0.00631341j -0.00233534+0.00864649j 0.0032859+0.00154997j -0.0011455-0.00862053j -0.00128171+0.00207066j -0.00169954+0.0122528j 0.000438612+0.00967038j 0.00225732-0.00585308j 0.000100232-0.0135779j -0.000654959+0.00643358j 0.00150237+0.00600138j -0.00219794+0.00588924j -0.000699262+0.0014466j 0.00229885-0.00522139j 0.000117535+0.00355172j 0.00187628-0.00707043j -0.00126448+0.00592588j -0.00046344-0.00243115j 0.00201655+0.00397002j -0.000152264+0.00492872j 0.000493758-0.00409333j -0.000211857+0.000949486j 3.20615e-05+0.00202204j -0.000382333-0.00352542j 0.000547046-0.00349832j 0.00225955+0.0022057j -0.00285939+0.00408169j 0.00137699-0.000586459j 0.00108621+0.00081026j 0.00214412-0.00900216j 0.000873082-0.00460165j 0.000383145-0.00193973j 0.00247408-0.00630837j 0.00194988-0.00143042j -0.00209545+0.0136979j 0.000678386+0.00661386j -0.000149052-0.0103167j -0.000157742+0.00866727j -0.00382299+0.0216954j -0.00229325-0.0364877j -0.0013006+0.0150214j -0.0044356-0.0102038j -0.00021256+0.0433792j -0.00521637-0.0314846j 0.00209605-0.800501j 0.00463964+0.360132j -0.000889171-0.0939359j -0.00695936-0.150017j 0.000898687+0.00662924j 7.40269e-05-0.0344296j -0.00237332-0.0100231j 0.00278309-0.00394582j 
-0.00227469+0.00409264j -0.00029159-0.00968082j 0.00264077-0.0122211j -0.000652684-0.00841148j 9.49536e-05-0.0039696j 0.000593236-0.00927294j -0.00175507+0.00130416j -0.00100184+0.0291845j 0.00169433-0.0117585j -0.00149268-0.00179262j -0.00208642-0.00375492j 0.00183538+0.0160264j 0.000445568+0.0161823j 0.000649185+0.00598544j -0.000270825+0.0030782j 0.00217073+0.00916577j 0.000299312-0.0147106j 0.000204208-0.0391022j 0.000655262-0.00144835j -0.00192829-0.00904707j 5.97712e-05+0.00243786j 0.000936876-0.0013522j -5.20796e-05-0.00990507j -0.000613985+0.00848424j 0.00258927-0.00490269j 0.00979442+0.0111708j 0.00366036+0.01162j 0.00211218-0.0164648j 0.000563746-0.0058301j -0.000419504+0.0202083j -0.000739418+0.0188931j 0.00233228+0.0125373j -0.00161815+0.0250942j -0.00129039-0.0232992j -0.00035591+0.0225939j -0.00229974-0.0202058j -0.000401253-0.00640648j -0.00175213+0.00203984j 0.00434556-0.0234431j -0.000353517-0.0357879j -0.000253595+0.0316044j -0.00332629-0.0987085j 0.00422915-0.178933j 0.00137942+0.84113j -0.00396047-0.0117582j 0.00612617+0.116709j -0.00281898+0.0808407j -0.00101786+0.012213j 0.00523456-0.0097963j 0.000168651+0.0304304j 0.007221+0.00910558j 0.00357329+0.0364871j 
-0.000587399+0.0111094j -0.000896625+0.00432184j -0.00369051-0.00116841j -0.00119539+0.025857j -0.0012299+0.00169853j -0.000618795-0.00116991j -0.00149743+0.0256399j 0.00204033-0.00261011j -0.00265001-0.0123119j -0.00118457+0.0136172j -0.00135553-0.00312868j -0.00104054+0.00966342j 0.000727712-0.0152019j 0.000188339-0.0128625j 0.000911023-0.00319848j 0.000789416-0.00976908j -0.000662068-0.00156459j -0.000966323-0.00408773j -5.65929e-05+0.00242845j -0.000858765+0.0103328j 7.64241e-06+0.0184086j -0.000834824-0.00344051j 0.00138541+0.00342602j 0.000111931+0.00757446j 0.00167715-0.0100867j -0.00259732+0.00666601j 0.00899594-0.000888448j -0.00179269+0.00204861j -7.90312e-05+0.0271434j -0.000636304-0.0051485j 0.000888715+0.000586388j 0.00150222+0.0280036j 0.00360583+0.00315981j -0.000478773+0.0163821j -0.0012374-0.0237182j -0.00108581+0.00331769j 0.000796029+0.00726429j 0.000626957+0.0570047j -3.36282e-05-0.0815814j 0.00194314+0.0572622j -0.00432995-0.0303528j 0.00250187-0.181947j 0.00118145+0.790048j -0.00229545+0.140476j 0.0024669+0.0630334j -0.000755837-0.0114634j -0.00422516-0.0449721j -0.00284047+0.0634895j 0.00169668-0.0526286j 0.0106335+0.0133075j -0.00244695-0.0423919j 0.00953578+0.0246968j 
0.00163998+0.0126355j -0.00486967+0.0258295j 0.00112966+0.0228132j 0.00218991+0.00116363j -3.42432e-05+0.00729652j 0.00101995+0.0337396j 0.000214336+0.000572783j -0.00119893-0.0148454j 0.00189302-0.0157298j 0.00223697+0.00426043j -0.00185977-0.0293899j 0.00215964-0.0337124j 0.00112788-0.0179529j -0.00107649-0.01514j -0.0026307-0.00748272j -0.000212228-0.00996366j -0.000589799+0.0247271j -0.00169613+0.0192265j -0.000610897+0.0115689j -0.000270911+0.0215117j -0.000986881+0.0243297j 0.00183188-0.0226071j 0.00243466+0.0332344j 0.00045171-0.0141959j -0.000925923+0.00106693j 0.00162366-0.000528128j -0.00121773+0.00306508j -0.00231134+0.00195623j 0.00108158+0.0259773j -0.00142317-0.0342019j 7.1406e-05-0.0154561j 0.00270259-4.25895e-05j 0.000398436-0.025142j -2.60246e-05+0.0237154j -0.000378577+0.0876534j -0.00191223+0.0919193j 0.000120625-0.0523591j -0.00107425+0.0898404j 0.00184067+0.0634325j -0.00176514-0.148375j 0.00432541-0.607531j 0.000657165+0.236504j 0.00301385-0.0191672j 1.98912e-05+0.146758j -0.00400644+0.0967655j -0.00108251+0.100793j -0.00263616-0.0727474j -0.00389902-0.0562384j -0.0144127-0.00617686j -0.000443001-0.121052j -0.0121221-0.0454059j 0.00430598-0.0540421j 
