1.00878-0j 0.102635-0j 0.103699-0j 0.0590704-0j 0.00852608-0j 0.0730959-0j 0.0426393-0j 0.0105505-0j 0.00615445-0j 0.0416381-0j 0.00736065-0j 0.0485778-0j 0.000613387-0j 0.0297477-0j 0.0425056-0j 0.00858742-0j 0.0052587-0j 0.0175326-0j 0.000715618-0j 0.00751399-0j 0.000438225-0j 0.00309936-0j 0.000626166-0j 0.00025828-0j 0.0321516-0j 0.00535859-0j 0.0363191-0j 0.00328146-0j 0.000669824-0j 0.0296544-0j 3.94698e-05-0j 0.0299617-0j 0.00605318-0j 0.0259476-0j 0.0037068-0j 0.0049424-0j 0.0214057-0j 0.000756647-0j 0.00302659-0j 0.00499362-0j 4.45859e-05-0j 0.00683921-0j 0.0006178-0j 0.00305795-0j 0.0043246-0j 0.00264826-0j 3.64042e-05-0j 0.00356761-0j 0.000624202-0j 0.000540575-0j 0.00218471-0j 3.67815e-05-0j 0.00113987-0j 0.000445951-0j 0.000698024-0j 3.18537e-05-0j 0.000142484-0j 2.62779e-05-0j 8.39593e-06-0j 
0.00254087-0j -0.703524-0j 0.686184-0j 0.00858742-0j -0.118126-0j 0.000184111-0j -0.0120753-0j -0.00253257-0j 0.166103-0j 0.00605318-0j -0.0504545-0j 0.000122356-0j -0.012792-0j 0.0043246-0j -0.00596516-0j -0.00101986-0j -0.0360464-0j -0.00746983-0j -0.00025857-0j 0.0497208-0j -0.00913902-0j 0.0622626-0j 0.012606-0j 0.0157857-0j 0.00467406-0j -0.0367311-0j 9.1479e-05-0j 0.000477045-0j -0.00928016-0j 0.00431103-0j -0.00109942-0j -0.00420478-0j -0.000718888-0j 6.53558e-05-0j 9.33654e-06-0j -0.0338783-0j -0.00606199-0j -0.000181628-0j 0.000439993-0j 0.0330433-0j -2.15174e-05-0j -0.0038909-0j -0.00855938-0j -0.000429148-0j -0.000513599-0j 6.67034e-06-0j -0.00101403-0j 0.0476382-0j 0.00834841-0j -0.000129761-0j -0.000618699-0j 0.000989032-0j 0.0305766-0j 0.0120358-0j -0.000397113-0j -1.53727e-05-0j 0.00772522-0j 0.00142588-0j 0.000915202-0j 
0.0730959-0j -0.00722521-0j 0.00751399-0j -0.409213-0j 0.0006178-0j 0.49196-0j -0.295385-0j -0.000742725-0j 0.000445951-0j 0.00301709-0j -0.0509912-0j 0.00351994-0j 4.4446e-05-0j -0.00634382-0j -0.00299227-0j -0.0594897-0j 0.107215-0j 0.00127041-0j 5.18537e-05-0j 0.0505716-0j -9.34534e-05-0j -0.021471-0j -4.40803e-05-0j 1.8715e-05-0j 0.0023297-0j 0.000388283-0j 0.00263168-0j -0.0457026-0j -0.00464023-0j -0.00208759-0j 2.85998e-06-0j 0.00217102-0j 0.000438613-0j -0.00553344-0j -0.0516266-0j -0.000347931-0j -0.0015069-0j -0.0052417-0j 0.0409529-0j 0.000361837-0j 3.23069e-06-0j 0.000495569-0j 0.004158-0j -0.0425898-0j -0.000922239-0j 0.108551-0j -2.56275e-06-0j -0.00025115-0j -0.00432418-0j 0.0110213-0j 0.0295614-0j 2.66518e-06-0j 8.25949e-05-0j 0.0030014-0j -0.00972176-0j -6.79293e-06-0j -0.000987061-0j -1.84989e-06-0j 6.08369e-07-0j 
0.0712943-0j -0.00751399-0j 0.0075873-0j 0.413454-0j -0.000624202-0j -0.493894-0j 0.267959-0j 0.000745645-0j -0.000404545-0j -0.00304836-0j 0.0515196-0j 0.00343318-0j -4.49066e-05-0j -0.00217785-0j 0.00311-0j -0.0580234-0j 0.0368074-0j -0.0060667-0j 5.05756e-05-0j -0.0525613-0j -3.20828e-05-0j 0.102532-0j 4.58146e-05-0j -8.93709e-05-0j -0.00235384-0j -0.000392307-0j 0.00256681-0j 0.0461762-0j 0.00468832-0j -0.00217102-0j -2.88962e-06-0j 0.0021922-0j 0.000427802-0j 0.00183382-0j -0.0503541-0j -0.000361837-0j -0.00140704-0j -0.00511251-0j 0.0425898-0j 0.000365367-0j 3.15106e-06-0j -0.0052505-0j 0.00432418-0j -0.0430053-0j 0.000305637-0j -0.0359747-0j -2.66518e-06-0j -0.000234506-0j -0.00436637-0j -0.00365255-0j 0.0276024-0j 2.69118e-06-0j -0.000875084-0j 0.0028025-0j 0.103001-0j 2.25123e-06-0j 0.0104578-0j -1.7273e-06-0j -6.4456e-06-0j 
-0.0105505-0j -0.0993876-0j 0.10336-0j -0.0006178-0j -0.396407-0j 0.000742725-0j -0.000445951-0j 0.476565-0j -0.286142-0j -0.00043548-0j 0.00733661-0j -0.00050806-0j -0.0873961-0j 0.000915652-0j 0.000431897-0j 0.00855938-0j -0.0154262-0j -0.000183369-0j -0.101962-0j -0.00727625-0j 0.183761-0j 0.00308924-0j 0.0866771-0j -0.0368001-0j -0.000336263-0j 0.0053411-0j -0.00037985-0j -3.43197e-05-0j -0.0311425-0j 0.000301317-0j -0.0113265-0j -0.00031336-0j 0.00603341-0j 0.000798683-0j -3.87683e-05-0j -0.00478602-0j 0.000217502-0j -0.0351792-0j 3.0753e-05-0j 0.00497731-0j -0.0127946-0j -7.15292e-05-0j 0.027906-0j -3.19822e-05-0j -0.012686-0j 8.15152e-05-0j 0.0101494-0j -0.00345473-0j -0.0290213-0j 0.0739687-0j 2.21987e-05-0j -0.010555-0j 0.00113615-0j 0.0201436-0j -7.30042e-06-0j 0.0269023-0j -0.00662456-0j 0.00732621-0j -0.00240935-0j 
-0.0102904-0j -0.10336-0j 0.104368-0j 0.000624202-0j 0.400515-0j -0.000745645-0j 0.000404545-0j -0.478439-0j 0.259574-0j 0.000439993-0j -0.00741264-0j -0.000495538-0j 0.0883018-0j 0.000314346-0j -0.00044889-0j 0.00834841-0j -0.00529585-0j 0.000875653-0j -0.099449-0j 0.00756253-0j 0.0630858-0j -0.0147523-0j -0.0900873-0j 0.175734-0j 0.000339748-0j -0.00539645-0j -0.000370487-0j 3.46754e-05-0j 0.0314652-0j 0.00031336-0j 0.0114439-0j -0.000316417-0j 0.0058847-0j -0.000264689-0j -3.78127e-05-0j -0.00497731-0j 0.000203089-0j -0.0343121-0j 3.19822e-05-0j 0.00502587-0j -0.0124793-0j 0.000757845-0j 0.0290213-0j -3.22942e-05-0j 0.00420423-0j -2.70147e-05-0j 0.010555-0j -0.00322579-0j -0.0293045-0j -0.0245137-0j 2.07276e-05-0j -0.010658-0j -0.0120374-0j 0.0188087-0j 7.73472e-05-0j -0.00891562-0j 0.0701865-0j 0.00684071-0j 0.0255268-0j 
0.0485778-0j 0.0049424-0j 0.00499362-0j -0.00559409-0j -0.000807437-0j 0.00351994-0j 0.0020533-0j 0.00050806-0j 0.000296368-0j -0.289462-0j 0.000354453-0j 0.664132-0j 2.95377e-05-0j -0.206801-0j -0.295492-0j -0.000813246-0j 0.000253233-0j -0.121884-0j -6.77705e-05-0j 0.000361837-0j 2.11028e-05-0j 0.00014925-0j 3.01531e-05-0j 1.24375e-05-0j 0.00154826-0j -0.0372521-0j 0.00174895-0j 0.000158019-0j 3.22555e-05-0j -0.00280833-0j 1.90067e-06-0j -0.00283743-0j -0.0420807-0j 0.00124951-0j 0.000178501-0j 0.0675701-0j 0.00103079-0j 3.64364e-05-0j -0.000286624-0j 0.0682703-0j 2.14704e-06-0j 0.000329343-0j -5.85069e-05-0j -0.000289594-0j -0.0300639-0j 0.000127527-0j -3.44755e-06-0j -0.0248015-0j -5.91132e-05-0j 2.60314e-05-0j 0.000105205-0j -3.48328e-06-0j -0.00792419-0j 2.14748e-05-0j 3.36134e-05-0j 1.53392e-06-0j 6.86131e-06-0j 1.26542e-06-0j 4.04307e-07-0j 
-0.00858742-0j 0.0411959-0j 0.0416228-0j -0.0945443-0j -0.013603-0j 0.0594897-0j 0.0347023-0j 0.00855938-0j 0.00499297-0j -0.000354453-0j -0.282459-0j 0.000813246-0j 0.000749052-0j -0.000253233-0j -0.000361837-0j 0.648066-0j -0.201799-0j -0.00014925-0j -0.0017186-0j -0.288344-0j 0.000535149-0j -0.118936-0j 0.000764657-0j 0.000315405-0j -0.000273697-0j 0.00215085-0j -0.000309173-0j 0.00536921-0j -0.0519531-0j 0.000496447-0j 6.43779e-05-0j 0.000501592-0j 0.00242964-0j -0.000220884-0j 0.00606517-0j -0.00390133-0j -0.00018222-0j -0.0586873-0j -0.00973899-0j -0.00394176-0j 7.27226e-05-0j -5.82202e-05-0j 0.0942357-0j -0.00983992-0j 0.00173582-0j 0.00433316-0j -0.000116773-0j 0.00143198-0j 0.0952122-0j -0.0419282-0j 0.00357468-0j -0.000117983-0j 0.000457524-0j -0.034589-0j 0.00114213-0j 5.19555e-05-0j -0.0110514-0j 4.28611e-05-0j 1.36943e-05-0j 
-0.00104149-0j 0.0059418-0j 0.00596516-0j -0.00351994-0j -0.00050806-0j 7.3318e-05-0j 0.00494959-0j 1.05825e-05-0j 0.000714412-0j 0.35819-0j -0.000438613-0j 0.00724028-0j -3.65511e-05-0j -0.753141-0j 0.342934-0j -8.86589e-06-0j 0.000922239-0j -0.44202-0j -7.38825e-07-0j -0.000419931-0j 7.68533e-05-0j 0.000541264-0j -3.49942e-05-0j 4.51053e-05-0j -0.00191588-0j 0.0460971-0j -3.74968e-05-0j -0.000195538-0j -3.99141e-05-0j 0.00171677-0j -2.35196e-06-0j 0.00172352-0j 0.000902196-0j 7.88418e-05-0j -3.827e-06-0j -0.0413065-0j -0.00241405-0j -7.81184e-07-0j 0.000175217-0j -0.0414689-0j -4.60317e-08-0j 0.00159486-0j 3.5766e-05-0j 0.000175906-0j -0.00189698-0j 8.04676e-06-0j 2.10753e-06-0j 0.0580834-0j 3.59066e-05-0j 1.64254e-06-0j -0.000246382-0j 2.11582e-06-0j -0.0383733-0j -5.02926e-05-0j 0.000162775-0j 9.67875e-08-0j 3.32263e-05-0j -2.96352e-06-0j 1.95788e-06-0j 
-0.068308-0j 0.00356761-0j 0.00323636-0j 0.0020533-0j 0.000296368-0j -0.00494959-0j 0.00569753-0j -0.000714412-0j 0.000822368-0j -0.208944-0j 0.000255857-0j 0.474866-0j 2.13215e-05-0j -0.149277-0j -0.191508-0j -0.000581485-0j 0.000182793-0j -0.105333-0j -4.84571e-05-0j 0.000234506-0j 1.52328e-05-0j 0.000128983-0j 1.95422e-05-0j 1.07486e-05-0j 0.00111759-0j -0.02689-0j -0.0024593-0j 0.000114064-0j 2.32832e-05-0j 0.00103079-0j 1.37198e-06-0j 0.000935084-0j 0.0591721-0j -0.00175701-0j -0.000251001-0j -0.0248015-0j 0.00286026-0j -5.12353e-05-0j 0.000105205-0j -0.0224987-0j -3.01907e-06-0j -0.00302782-0j 2.14748e-05-0j 9.54366e-05-0j 0.0422746-0j -0.000179324-0j 1.26542e-06-0j -0.0688196-0j 1.94809e-05-0j -3.66043e-05-0j 0.000291924-0j 1.14792e-06-0j 0.0728513-0j 5.95888e-05-0j -0.000309026-0j -2.15693e-06-0j -6.30797e-05-0j 3.5113e-06-0j -3.71701e-06-0j 
0.000715618-0j -0.0104446-0j -0.0105528-0j -8.24087e-05-0j -0.162044-0j 5.18537e-05-0j 3.0248e-05-0j 0.101962-0j 0.0594779-0j 2.95377e-05-0j -0.000749052-0j -6.77705e-05-0j -0.273495-0j 2.11028e-05-0j 3.01531e-05-0j 0.0017186-0j -0.000535149-0j 1.24375e-05-0j 0.6275-0j -0.000764657-0j -0.195394-0j -0.000315405-0j -0.279193-0j -0.115161-0j 2.28081e-05-0j -0.000545314-0j 2.57644e-05-0j 2.32784e-06-0j 0.00647332-0j -4.13706e-05-0j -0.0726994-0j -4.17993e-05-0j -0.000615998-0j 1.8407e-05-0j 2.62957e-06-0j 0.000989124-0j 1.5185e-05-0j 0.00731239-0j -4.22237e-06-0j 0.000999374-0j -0.0821227-0j 4.85168e-06-0j -0.0117417-0j -4.26613e-06-0j -0.00044009-0j 1.87866e-06-0j 0.131867-0j -0.000363056-0j -0.0118634-0j 0.00522422-0j 1.54981e-06-0j 0.133233-0j -0.000115998-0j 0.00430977-0j 4.95173e-07-0j -0.0586713-0j 0.00137699-0j -0.0484014-0j -0.0154645-0j 
