-0.985065-0.0063802j -0.0719269+0.0228229j -0.0623481-0.0168078j 0.000727812+0.0494702j 0.0758304+0.0291234j -0.0696763+0.0265358j 0.0534926-0.046443j -0.0148701-0.0212226j 0.027339-0.030265j 0.040699+0.00768871j 0.00682351+0.00776159j -0.0651156-0.0020541j -0.0656652+0.0104638j 0.0318586+0.00132506j -0.0226711-0.0137543j -0.00398367-0.00139549j -0.0202501-0.00518159j 0.0147653-0.00224723j -0.0370386+0.000630779j -0.0314086+0.0155113j -0.00702473-0.0174538j -0.00604268+0.0104112j 0.0252538+0.00107208j 0.0248485+0.00700235j 0.00312549+0.0168101j 0.0389111+0.00247298j 0.00600676-7.10171e-05j 0.000518892-0.00427779j -0.0169731+0.00387156j 0.0123481+0.00329301j -0.000393442+0.0155247j 0.008903-0.00992522j -0.022632+0.00346753j -0.000385355+0.0123519j 0.00745369-0.00346904j -0.0269973+0.028013j 0.00164294-0.0246373j 0.0178081+0.0246921j 0.0251897+0.00418699j -0.00302987+0.00686364j 
-0.201898+0.0581465j -0.36792-0.258735j 0.340478+0.104432j 0.0650408-0.0589382j -0.0101564+0.00490737j -0.0549755+0.0360202j -0.070938+0.0143221j 0.0713421-0.0364367j 0.035891-0.0289566j -0.089322-0.0262573j -0.0107815-0.0308213j -0.0159986+0.00714009j 0.0862013-0.0672199j -0.0394197+0.00762053j -0.0687565+0.0455011j -0.05475+0.013071j 0.0289274+0.00817139j 0.0146514-0.0165449j 0.0637154-0.0044144j -0.0225205+0.00219306j -0.0321844+0.0270088j -0.0251297-1.22222e-05j -0.0354117-0.00403667j -0.0170792+0.0173169j 0.0364453-0.0227866j 0.0231173-0.00487163j 0.0108907+0.015053j 0.0190799+0.0169206j 0.0244036-0.0206347j 0.00679444-0.0127134j -0.0169404+0.0168184j 3.32203e-05+0.0107988j -0.0211555-0.0102923j 0.0208208-0.0121378j -0.0121019-0.0113736j 0.0117268-0.0291206j -0.0488542+0.0253162j -0.0123478-0.0363133j -0.0679864+0.0483395j -0.0117763-0.0532199j 
0.0272555+0.13186j 0.254592-0.448101j -0.150884+0.394133j 0.0272214+0.0735675j -0.0196259-0.0255399j -0.0391747-0.0469538j -0.0525438-0.0665216j 0.0425945+0.102762j 0.034369+0.0132374j 0.06384-0.0393451j -0.0266411+0.0236347j -0.00142531+0.0610079j -0.0312814+0.0318145j 0.0665024-0.0780561j 0.0169046-0.0905318j 0.0799771-0.0183167j -0.0136783+0.0260719j 0.0364032-0.0727822j -0.0224866+0.0434386j -0.00779659-0.0195926j -0.0111512+0.00986837j -0.0339717-0.000183855j 0.014003-0.0317037j -0.00464127-0.00350907j 0.00741083+0.0194866j -0.0038378-0.0135958j 0.0133348-0.0181695j -0.00228003+0.0471132j 0.0127343+0.012958j -0.000735994-0.0157657j 0.00216787+0.00905522j 0.0108123-0.0130004j -0.00989525-0.035742j -0.0107273-0.0111137j 0.0107668-0.0315167j 0.00236558+0.0344555j 0.0270899-0.0614601j 0.05745-0.0299996j 0.0156451-0.00281475j -0.00752305+0.0556792j 
0.0248304+0.03753j -0.339858-0.0808171j 0.148916+0.1948j -0.0858016+0.00366052j -0.0224358+0.122197j 0.0705021+0.0733889j 0.0864349+0.0411748j -0.0156707+0.117955j -0.160806-0.0764984j 0.0175794+0.0495453j -0.00814355+0.0204363j -0.0290249+0.00139096j -0.170484+0.0395687j 0.0363267+0.0251083j 0.120212-0.0702813j 0.00302049+0.00695596j -0.0294721-0.00887521j -0.00837473+0.000738906j -0.0773708-0.0158669j 0.00644576+0.00031679j 0.0850496+0.01135j -0.0232726+0.00722147j -0.032243-4.48004e-05j 0.0132495-0.017515j -0.0624358+0.0250572j 0.00098405+0.00106699j 0.0182252+0.000801812j -0.0105646-0.00496818j -0.0753211+0.0285103j -0.0242519-0.00104011j -0.0107928-0.0140033j 0.0189196-0.00212539j -0.00256017+0.054011j -0.024543-0.027907j -0.0192063-0.0315376j -0.0231784+0.0175655j 0.0748761+0.00501224j -0.10782+0.0777818j 0.0656742-0.098986j 0.0345656+0.068629j 
0.00374483-0.000396243j -0.0706446+0.0775862j 0.238543-0.0616533j 0.0568973+0.203605j 0.0575146-0.0390757j 0.0944287-0.190839j -0.0829356-0.182292j 0.200184-0.0819068j -0.0802057+0.116016j 0.0172301-0.00627856j -0.039673-0.0306549j -0.0143414+0.0553199j -0.000203138+0.0898257j 0.082957-0.0795993j -0.021445-0.124921j 0.104752-0.0363562j -0.0829178+0.100439j 0.0735048-0.058654j -0.00400141+0.047065j -0.0135052-0.0127014j -0.0899867-0.00932272j -0.00119697-0.0133348j -0.0298824+0.0130762j -0.00153008-0.00399221j 0.00531142+0.0584728j 0.00970858-0.0092092j -0.00449327+0.0125019j -0.0128618+0.0196911j 0.0533644-0.0107322j -0.000254243-0.0231544j -0.0119035+0.0175826j 0.0137607+0.0252591j 0.0331301-0.0277106j -0.00372975+0.0617064j -0.0179674+0.00319419j 0.00590594+0.0357499j 0.0415284-0.0755405j 0.0761493-0.0321947j 0.00979041-0.0140902j 0.00566047+0.0963461j 
0.0933587-0.0137414j 0.057746-0.0784534j 0.0330406-0.0341851j -0.0824914+0.0934352j -0.267617+0.0824217j 0.17817+0.278655j 0.112532-0.0703763j -0.0213794-0.121756j 0.155512-0.108869j 0.0691928+0.0134497j 0.0113925+0.0539969j 0.0403139-0.0126136j 0.015772-0.0480302j 0.121455-0.0347621j 0.0103372+0.0237331j -0.0345252+0.0471216j 0.0496056+0.011068j -0.0143024-0.00167768j -0.0226631-0.00958984j -0.0744534+0.0308066j -0.0410663+0.016409j -0.0222277+0.0199774j -0.0254043-0.00249231j -0.0295904-0.014669j -0.0330271-0.0329295j -0.0250939+0.0121153j -0.0016585-0.0102066j -0.0315251-0.0249468j -0.0224341-0.0187825j 0.00686184+0.0109713j 0.0574436+0.034304j 0.0199837-0.0028571j -0.00870595-0.0225554j -0.0372885-0.00266959j 0.0106734+0.029526j -0.00660139+0.0592721j -0.0104227+0.0125313j 0.0174508-0.0389325j -0.00858537+0.0165696j -0.013902-0.0275844j 
-0.00782747+0.0778488j -0.0422436-0.0743388j -0.111897-0.0853311j 0.19086-0.111948j 0.1202+0.278866j 0.0765751-0.216758j -0.195352+0.0109872j -0.2746-0.0131953j -0.0144652-0.116266j -0.0818671-0.0866939j -0.0317836-0.0370437j -0.0351808+0.0310819j -0.00378717-0.0490812j 0.0222581-0.129653j 0.0136305-0.0215606j -0.0118625-0.0410191j 0.123914-0.0363547j -0.0176672+0.0075419j 0.0898681-0.0214897j 0.00221959+0.0429112j 0.0193596+0.0438566j 0.0597804+0.0210594j 0.014734+0.013584j 0.0161899-0.0370373j -0.055712+0.0195248j 0.00729382-0.0211636j -0.00219398-0.00811401j 0.0165318+0.0538591j 0.00452346-0.0336672j 0.00638944-0.0197804j -0.0197057+0.00248408j 0.0123876-0.0181856j 0.00868634+0.0222878j 0.0205768-0.00818436j 0.0140318-0.054352j 0.0339234-0.0725279j -0.00612784-0.0259422j -0.00654424-0.0239316j -0.00299827+0.0463379j 0.0113699-0.0054057j 
0.0373406+0.0443741j 0.0618118+0.0217663j -0.0102501+0.0250398j 0.0330493+0.166549j 0.0441648+0.228242j 0.356338-0.0712545j 0.078007-0.20883j -0.034005+0.0396313j -0.0984763-0.109161j 0.0770947-0.0764312j 0.0853491-0.01791j -0.0260224-0.0859092j 0.0488904+0.0141679j -0.0168436+0.010378j -0.0130756+0.0521602j 0.0186406+0.0977149j -0.0231282-0.0494474j 0.0224166+0.079001j 0.0152959+0.00378656j -0.0225002+0.0160342j -0.0434702-0.0109234j 0.0231192+0.00761665j 0.014374-0.0194473j 0.00686656-0.0231423j -0.0795252+0.0328196j -0.0234703-0.00844025j 0.00695624-0.0066757j -0.0433856+0.0291913j 0.000391328-0.0163953j 0.0258674-0.0054237j 0.0176602+0.0199852j 0.0321067-0.0283988j 0.0363457+0.00673622j 0.0016567+0.0269877j 0.00331743-0.019195j 0.00120591+0.0409686j 0.00339135+0.00908102j -0.00801282+0.0062037j -0.030514-0.0157558j -0.0392066-0.0277342j 
-0.0267029-0.0146905j 0.0876436+0.0964345j -0.0160566+0.11172j -0.099269-0.0539707j 0.255617-0.084249j -0.0227784-0.0610494j 0.144682+0.0308264j 0.0659549+0.278319j -0.122662+0.0194499j -0.0184587+0.0251595j 0.0175161-0.000987032j -0.00677076+0.0281579j 0.0662592-0.0232341j -0.0190932-0.0188538j -0.0350294+0.0204185j -0.0162635+0.0883025j -0.0502628-0.172134j 0.00675126+0.0347304j -0.0210841-0.0447059j 0.0501297-0.0254897j -0.0122367+0.00720378j 0.00073216-0.0121487j 0.0383486+0.0154028j -0.000976132+0.0260252j 0.0123142+0.0144461j 0.00971192-0.00676339j 0.0130487+0.00944378j 0.0135312+0.00499494j -0.00461448+0.0195717j -0.0259285+0.0470043j -0.0118224-0.022384j 0.0238868-0.00681871j -0.000463268+0.0166621j 0.0120868+0.0050859j -0.0041031-0.00705159j -0.00991753-0.0135924j -0.0094456+0.000901881j 0.00591925+0.0246877j 0.00367288+0.00411829j -0.0357302-0.0267627j 
-0.0153601+0.00677062j 0.0654857-0.102045j -0.0546994-0.14253j 0.182097-0.00405445j -0.188377-0.0940723j -0.140226-0.045464j -0.108497-0.116916j 0.0774339-0.164799j -0.0394495+0.148207j 0.0576249-0.142564j 0.00912808+0.0350829j 0.0111986-0.00179059j -0.123742-0.0592941j 0.0106374-0.0637547j 0.0594831+0.0578749j 0.00414346+0.0470066j -0.0128354+0.0223183j 0.0185687-0.0216132j 0.0301756-0.0290294j -0.0146611-0.00849689j 0.122917-0.0515865j -0.0346654+0.025248j -0.0468129+0.00618386j 0.0576366-0.0386515j -0.0192158+0.0288145j -0.00272168-0.0018475j -0.00334697+0.00715092j 0.00702348-0.0196572j -0.0529643-0.00529541j -0.0278966+0.0104284j -0.00705467-0.0188793j -0.00322785-0.0281536j -0.0149391+0.0528816j 0.00305658-0.054272j -0.0063807-0.00937687j -0.0015775-0.0563712j 0.08242+0.0408187j -0.113823+0.0600569j 0.0884942-0.0870351j 0.0458243+0.115065j 
0.0170695+0.00543866j -0.0456551-0.00982479j -0.0178658+0.0535345j -0.0780766-0.0999559j 0.0147755-0.014281j -0.128527+0.0595509j -0.0765018+0.166714j -0.090124-0.00309223j 0.119302-0.0145177j -0.120419+0.0248383j 0.00444636+0.0230863j 0.0306871-0.0129171j -0.0715981+0.0754591j 0.227331-0.109209j 0.0453619-0.0515867j 0.031431-0.0784115j 0.0393641+0.00214997j 0.0129263+0.0133201j -0.0400595+0.00412439j -0.0204357+0.0281505j -0.0941039-0.00902992j 0.0179846+0.00472776j 0.0096332+0.0137921j -0.0271251+0.00499879j 0.0604778-0.0398938j 0.0117289+0.000448931j 0.00637499+0.00224855j 0.00330458+0.00274612j -0.0072395+0.00469572j -0.022435-0.00401564j -0.00951509-0.0207278j 0.0175906+0.0318625j -0.00949861-0.0211591j -0.0427586+0.0198804j -0.000764364-0.000108043j -0.0154423+0.0534251j 0.0759511-0.0547813j 0.0654445-0.0228436j 0.0614679+0.00324296j 0.0212109+0.0994084j 
