0.204717-0.00609404j 0.0447326+0.0456026j 0.0180648+0.114227j -0.02303+0.0322318j 0.0190245-0.0276274j -0.0338121-0.0293315j -0.0159593+0.0459691j 0.0321635+0.0423626j 0.0438177-0.0281536j 0.0173935+0.0103593j -0.0166998+0.00211055j -0.0289695+0.0158081j 0.00833873+0.0176693j -0.0150857+0.0171555j 0.0111239+0.033134j 0.0217147+0.00768167j -0.00454642+0.00257523j -0.020701+0.0304477j -0.0285608-0.0179893j 0.0303829-0.0270503j 0.00104611-0.0304254j -0.0147545+0.0287121j -0.0340048-0.00470306j 0.0108639-0.000372112j 
-0.0149646-0.0170919j -0.0572368+0.0258322j -0.0585325+0.000378514j 0.0984103-0.0659737j -0.0787668+0.0812134j 0.161577+0.150067j 0.0417565-0.155825j -0.0396388-0.253569j -0.288468+0.041703j -0.0374081+0.136639j -0.0592456-0.0196274j -0.0720442+0.00976534j -0.0757348+0.013837j 0.0799985-0.0257916j -0.0556788+0.00577709j 0.0350317+0.0856537j 0.00547082+0.0246933j -0.078347-0.0150797j 0.0840344+0.116996j -0.0190558-0.0273948j 0.0321961+0.0230149j 0.00890777+0.0436699j 0.0578725+0.0118991j -0.0492041-0.064756j 
-0.00461281-0.0332766j 0.0587249+0.0811306j -0.0197798-0.0323448j -0.06735-0.119544j 0.143562-0.105844j 0.0962077-0.159907j 0.097228-0.0140104j 0.0564502+0.083268j 0.168812-0.0523929j 0.181263+0.016925j 0.0976436+0.209036j -0.0205993-0.0429344j -0.101842+0.0551251j 0.047763+0.058087j -0.0220176-0.00988412j -0.0306509-0.128207j 0.0450671+0.0464039j -0.013269+0.0524962j -0.010031+0.0247935j -0.0197217-0.0224691j 0.0037612+0.055124j 0.0621602-0.0378664j 0.0153863+0.0750202j 0.01355+0.0555074j 
-0.00159015+0.0527183j 0.0298113-0.0339432j -0.0578786-0.0482564j 0.120519+0.110745j -0.138555-0.142642j -0.145078+0.30558j 0.309423-0.0272395j 0.0160921-0.0613883j 0.0283828-0.0789248j -0.218961-0.0881797j 0.040398+0.0308526j 0.0252006-0.23852j -0.0597797-0.0535303j 0.0586281+0.075097j -0.0426279-0.0568921j -0.0803873-0.0860853j -0.0560212-0.00151263j 0.0443061-0.0640023j 0.0192409-0.0550096j -0.00533178+0.0159311j 0.0645308-0.00377554j 0.00186926-0.012308j -0.010723+0.0639162j 0.0443212+0.0663013j 
0.0125599+0.0272589j -0.0719615-0.0610896j 0.0198044-0.0366805j -0.0268336+0.115954j -0.0302415-0.0623626j -0.27356+0.0194777j -0.0516239+0.134537j 0.0524233+0.034799j -0.00399822-0.048989j -0.070242-0.198788j 0.00904492-0.168813j 0.0800756+0.0624595j 0.059409-0.0213193j -0.0334442+0.000755104j 0.0445154-0.0697774j 0.00812004+0.0418196j 0.0754964-0.0595558j -0.00702743+0.0544118j -0.0347354+0.000196364j -0.0231496+0.0395356j -0.0596276+0.0249561j -0.00674181-0.0535621j -0.00175132-0.0744789j -0.00522639-0.00475506j 
-0.0161232+0.00336346j 0.0761304-0.0174123j 0.0581709+0.00132844j 0.02793+0.132409j -0.152688+0.0889982j -0.0703202-0.0611606j -0.19441-0.115942j 0.11178+0.105277j 0.055573-0.157339j -0.0458412-0.0636787j 0.10265-0.110975j -0.0928359-0.0213222j -0.0313478+0.119708j -0.00935904-0.0138358j -0.0132312+0.0328891j -0.0152789-0.000547312j -0.101903+0.0114437j -0.00368422-0.0371306j 0.00109774-0.0552166j -0.00559852+0.0734751j -0.118317-0.0229742j -0.0618893-0.0133659j 0.0171567+0.0135637j -0.0359287+0.0398527j 
0.0305722+0.012412j -0.0912961+0.054282j 0.106185-0.0229393j -0.0355912-0.0711583j -0.010891-0.0755609j 0.0866236+0.0873574j 0.175375+0.0422997j -0.0430111+0.154726j 0.227626+0.0528002j -0.0131771+0.0607383j -0.0242584+0.110141j 0.00469865-0.0670333j -0.00602037-0.0739158j 0.00736666-0.00474184j 0.0137409-0.00377579j -0.0401728-0.01591j -0.0197994-0.0178195j 0.0555535-0.0270898j -0.0322781-0.0295028j 0.00364996+0.0121266j 0.0493552+0.0168146j 0.100213-0.141107j -0.0750804+0.0119638j 0.0570901+0.0324283j 
-0.052519-0.0217616j 0.109236-0.0270492j -0.0779373-0.0110683j 0.0323531+0.0961023j 0.0273897-0.0211563j -0.126649-0.046169j -0.0712249-0.0420101j -0.27602+0.0021805j -0.00838635+0.250322j 0.0251538-0.155103j 0.0818372+0.0173442j 0.0553185-0.0485652j -0.0397225+0.0200685j -0.0175038-0.0568974j 0.00165534-0.00116814j 0.0154568+0.0204013j -0.0723969-0.000670914j 0.0673985-0.0548243j -0.15924+0.099117j -0.000824711+0.0231887j -0.0601956+0.014594j 0.20013+0.0612408j -0.13786-0.0385766j 0.0545281-0.0916791j 
0.00634495-0.0335524j 0.00446359+0.0842605j 0.128494-0.0101737j -0.00857379+0.0370212j 0.0764411+0.0144817j -0.0170676-0.0479041j 0.0288539+0.0885544j 0.0147904-0.0392578j -0.0462278+0.0101902j 0.108976+0.0395985j -0.144994+0.153298j 0.0947538+0.0401123j -0.0523528-0.0958463j 0.0695884+0.0425876j -0.0400613-0.0391781j -0.117659+0.0560958j -0.121177-0.0852169j -0.0666371-0.0233754j 0.038234-0.0203013j 0.084702+0.0856231j 0.0876905+0.0426029j -0.321+0.15001j 0.143703-0.105669j 0.114001-0.0197745j 
0.00352283+0.000821345j 0.0546555-0.0185952j 0.0452716+0.137963j 0.0533526+0.00560824j 0.0378558+0.00952062j -0.0285028-0.0259001j -0.0885568+0.0398787j 0.00481903-0.00552758j 0.0491387-0.0142995j 0.0188478+0.0221421j -0.0139589-0.0186343j 0.000188183+0.0570525j 0.00209918+0.0228787j 0.040134+0.0265655j -0.0151152-0.0149536j -0.144806+0.0630956j -0.200375+0.0189054j 0.0187701-0.0757675j 0.0666738-0.0481313j 0.0602323+0.139552j 0.124934+0.0122075j 0.228688-0.378447j -0.0550925+0.0737979j -0.0151833+0.114311j 
0.00439072+0.00645183j -0.0352548+0.0314438j 0.0270778+0.0113695j 0.0861388-0.0468971j 0.139237+0.0581066j 0.0305822+0.0726288j -0.0283975+0.148957j -0.0316938+0.00223965j -0.0514318+0.058514j -0.0579258+0.118451j -0.164413-0.0866054j 0.0101077+0.114439j 0.168993-0.101766j -0.0345879+0.023348j 0.0832903-0.0286535j -0.0725493+0.0628531j 0.0143622-0.0574459j 0.11697-0.0259882j -0.113581-0.0463441j -0.062983+0.146826j -0.0901727+0.19531j 0.05821-0.10974j 5.62383e-05-0.173348j 0.0924812+0.0279062j 
