-0.0059483-0j -0.00105152-0j -8.76267e-05-0j 1.00359-0j -0.000864739-0j -0.000529543-0j -0.000108092-0j -6.36941e-06-0j -0.00327116-0j -0.00330506-0j 0.102107-0j 0.103165-0j -0.000431014-0j -0.00043548-0j -6.22114e-05-0j -5.38767e-05-0j -6.28561e-05-0j -5.4435e-05-0j -6.34943e-06-0j -6.41523e-06-0j -2.8981e-07-0j -2.92814e-07-0j -0.00243053-0j -0.00300763-0j -0.00175445-0j -0.000384301-0j -0.000475548-0j 0.0587666-0j -0.000277403-0j -0.000202544-0j 0.00848223-0j 0.07272-0j -0.000250636-0j -5.06361e-05-0j 0.04242-0j 0.0104962-0j -1.79026e-05-0j -0.000146204-0j -4.21968e-06-0j 0.0061228-0j -4.47564e-06-0j -6.2659e-05-0j -2.21533e-05-0j -3.65511e-05-0j -5.22158e-06-0j -3.7297e-07-0j -1.29228e-05-0j -5.53832e-06-0j -3.04592e-06-0j -1.38998e-08-0j -4.61527e-07-0j -3.23069e-06-0j -1.72001e-08-0j -2.69224e-07-0j -1.00334e-08-0j 
-0.14312-0j -0.00826338-0j -0.00209505-0j 0.000864739-0j 0.981031-0j 8.82571e-05-0j -0.00171691-0j -0.000203401-0j 0.000545194-0j 0.000550844-0j -0.00414836-0j -0.00419135-0j -0.0103704-0j -0.0104779-0j 0.142652-0j -0.00042339-0j 0.144131-0j -0.000427778-0j -0.000151808-0j -0.000153381-0j -1.15806e-05-0j -1.17006e-05-0j 0.000405089-0j 0.000501272-0j 0.000292409-0j -0.00302003-0j -0.0037371-0j 5.06361e-05-0j -0.00217997-0j -0.00978044-0j -0.000696533-0j 6.2659e-05-0j -0.0121027-0j 0.0574457-0j 3.65511e-05-0j -0.000861916-0j 2.98376e-06-0j -0.00705989-0j 0.0145645-0j -0.000502784-0j -7.10896e-05-0j 0.0710855-0j 3.69222e-06-0j 0.0414665-0j 0.0180226-0j -1.19104e-05-0j 2.15379e-06-0j -8.79689e-05-0j 0.0105132-0j -6.66972e-07-0j -1.47384e-05-0j -5.13152e-05-0j -8.25336e-07-0j -8.59741e-06-0j -4.81446e-07-0j 
0.000607096-0j -0.0206281-0j 8.94337e-06-0j 0.000529543-0j 8.82571e-05-0j 0.987947-0j -0.00212049-0j 6.50075e-07-0j 0.000333862-0j 0.000337321-0j 5.38767e-05-0j 5.4435e-05-0j -0.00845535-0j -0.00854297-0j 6.34943e-06-0j 0.100516-0j 6.41523e-06-0j 0.101557-0j -0.000124559-0j -0.00012585-0j 2.95787e-08-0j 2.98852e-08-0j 0.000248065-0j 0.000306965-0j 0.000179063-0j 3.92226e-05-0j 4.85354e-05-0j -0.00596008-0j 2.83123e-05-0j 2.06721e-05-0j 4.47564e-06-0j -0.00737523-0j 2.55804e-05-0j -0.000993347-0j -0.00430221-0j 5.53832e-06-0j 0.101256-0j 1.49219e-05-0j 4.30669e-07-0j 3.23069e-06-0j 0.00835003-0j -0.0012292-0j 0.125298-0j -0.000717036-0j 5.32925e-07-0j -7.31669e-06-0j 0.0730903-0j 0.0103326-0j 3.10873e-07-0j 1.41864e-09-0j -9.05394e-06-0j 0.00602737-0j 1.75548e-09-0j -5.28147e-06-0j 1.02403e-09-0j 
-0.000123923-0j -0.1996-0j -0.02487-0j -0.000108092-0j 0.00171691-0j 0.00212049-0j 0.957083-0j -0.00364092-0j -6.81492e-05-0j -6.88554e-05-0j 0.00104809-0j 0.00105895-0j 0.000858481-0j 0.000867377-0j -0.00576161-0j -0.0205607-0j -0.00582132-0j -0.0207738-0j 0.172288-0j 0.174073-0j -0.00027707-0j -0.000279942-0j -5.06361e-05-0j -6.2659e-05-0j -3.65511e-05-0j 0.000763014-0j 0.000944182-0j 0.000605134-0j 0.000550773-0j -4.21968e-06-0j -0.00406129-0j 0.000748815-0j -5.22158e-06-0j -0.00961175-0j 0.000436809-0j -0.00502559-0j 0.000107719-0j -3.04592e-06-0j -0.00119762-0j -0.0029316-0j 0.0796719-0j -0.0118939-0j 0.000133296-0j -0.00693813-0j -0.00148197-0j 0.020383-0j 7.7756e-05-0j 0.0985889-0j -0.000864485-0j -1.99748e-05-0j 0.0252226-0j 0.0575102-0j -2.47176e-05-0j 0.0147132-0j -1.44186e-05-0j 
7.30223e-06-0j -0.000247335-0j -0.279305-0j 6.36941e-06-0j -0.000203401-0j 6.50075e-07-0j 0.00364092-0j 0.926275-0j 4.01573e-06-0j 4.05735e-06-0j -0.000124166-0j -0.000125453-0j 5.29119e-07-0j 5.34602e-07-0j 0.00209549-0j -1.26727e-05-0j 0.00211721-0j -1.2804e-05-0j -0.0202385-0j -0.0204482-0j 0.220065-0j 0.222345-0j 2.98376e-06-0j 3.69222e-06-0j 2.15379e-06-0j -9.03939e-05-0j -0.000111857-0j 3.7297e-07-0j -6.52497e-05-0j 2.48647e-07-0j 0.00147709-0j 4.61527e-07-0j 3.07685e-07-0j -1.19104e-05-0j 2.69224e-07-0j 0.0018278-0j 2.19775e-08-0j 1.79483e-07-0j -0.01345-0j 0.00106622-0j 0.000150755-0j -1.47384e-05-0j 2.71957e-08-0j -8.59741e-06-0j -0.0166435-0j 0.0542394-0j 1.58642e-08-0j 0.00018655-0j -0.00970871-0j 0.0321141-0j 0.0671179-0j 0.000108821-0j 0.0397392-0j 0.0391521-0j 0.0231812-0j 
0.00535859-0j 0.000947275-0j 7.89395e-05-0j 8.09821e-05-0j 1.3497e-05-0j 8.2652e-06-0j 1.68713e-06-0j 9.94149e-08-0j -0.715498-0j 0.697862-0j 0.000475548-0j -0.000463827-0j 0.000388283-0j -0.000378713-0j 5.60439e-05-0j 4.85354e-05-0j -5.46625e-05-0j -4.73391e-05-0j 5.71996e-06-0j -5.57897e-06-0j 2.61079e-07-0j -2.54644e-07-0j 0.00218957-0j 4.69437e-05-0j -0.00307888-0j -0.0840577-0j -0.00180217-0j 0.000273697-0j 0.118198-0j 0.000182464-0j 3.95047e-05-0j 5.86796e-06-0j 3.91197e-06-0j 4.56161e-05-0j -0.000384861-0j 8.46967e-07-0j 1.61277e-05-0j -0.000256574-0j 3.80134e-06-0j -5.55498e-05-0j 4.03193e-06-0j 9.77993e-07-0j 3.45773e-07-0j -6.41434e-05-0j 8.14994e-08-0j 3.35994e-07-0j -2.26781e-05-0j 8.64432e-08-0j -5.34528e-06-0j 1.25218e-08-0j 7.2036e-09-0j -5.66953e-06-0j 2.68462e-10-0j -4.72461e-07-0j -1.76076e-08-0j 
-0.000864739-0j 0.00720778-0j 0.00182742-0j 0.0025278-0j 0.000102698-0j -1.33379e-06-0j 2.59468e-05-0j 3.07391e-06-0j -0.000475548-0j 0.000463827-0j -0.699906-0j 0.682654-0j -6.2659e-05-0j 6.11146e-05-0j 0.000861916-0j 0.000369304-0j -0.000840672-0j -0.000360202-0j 0.000132415-0j -0.000129151-0j 1.01012e-05-0j -9.85226e-06-0j -0.000353341-0j -7.5755e-06-0j 0.000496853-0j 0.00263424-0j 5.64771e-05-0j 0.00854325-0j -0.00370415-0j -2.94451e-05-0j -0.117518-0j 0.000183164-0j -6.31292e-07-0j 0.000347091-0j -0.0120132-0j -0.00251955-0j -2.6026e-06-0j 4.14044e-05-0j 8.79997e-05-0j 0.165249-0j 6.20083e-05-0j 7.44152e-06-0j -5.57988e-08-0j -0.000488065-0j 1.88668e-06-0j 1.03889e-05-0j 3.65967e-06-0j 1.32944e-06-0j -0.000123741-0j 5.8177e-07-0j 2.22735e-07-0j -8.71934e-05-0j 1.24729e-08-0j -1.46085e-05-0j -8.1806e-07-0j 
0.101929-0j 0.0119329-0j -1.04012e-05-0j -1.06703e-05-0j 0.000256734-0j 0.000209324-0j 2.12529e-05-0j -1.30991e-08-0j -0.000388283-0j 0.000378713-0j -6.2659e-05-0j 6.11146e-05-0j -0.706116-0j 0.688712-0j 0.00106604-0j 0.0012292-0j -0.00103977-0j -0.00119891-0j 7.20547e-05-0j -7.02787e-05-0j -3.44002e-08-0j 3.35523e-08-0j -0.000288502-0j -6.18537e-06-0j 0.000405679-0j -4.56161e-05-0j -9.77993e-07-0j 0.00344778-0j 6.41434e-05-0j 0.00696556-0j -5.2052e-06-0j 7.39191e-05-0j 0.000149339-0j -0.0829556-0j -0.00484812-0j -1.11598e-07-0j 0.000613737-0j -0.00979468-0j 7.23075e-05-0j 7.31933e-06-0j 0.000102112-0j -0.00177854-0j 1.31583e-05-0j 0.116649-0j 1.55025e-06-0j 4.23255e-06-0j -0.00086301-0j 2.18925e-06-0j -0.000101676-0j -1.64989e-09-0j 9.07443e-08-0j -0.000143586-0j -3.5373e-11-0j -5.95163e-06-0j 2.32e-09-0j 
-0.0147122-0j -0.00171691-0j 0.0204523-0j 1.54013e-06-0j 0.00353155-0j 1.57189e-07-0j 0.000142636-0j 5.18768e-05-0j 5.60439e-05-0j -5.46625e-05-0j -0.000861916-0j 0.000840672-0j -0.00106604-0j 0.00103977-0j -0.68402-0j -8.79689e-05-0j 0.66716-0j 8.58007e-05-0j 0.00148197-0j -0.00144545-0j 0.000227854-0j -0.000222238-0j 4.16416e-05-0j 8.92781e-07-0j -5.85547e-05-0j -0.00062748-0j -1.34529e-05-0j 5.2052e-06-0j 0.000882336-0j -0.00100539-0j 0.00333989-0j 1.11598e-07-0j -2.15553e-05-0j 0.0119357-0j -7.31933e-06-0j 7.1606e-05-0j 3.0672e-07-0j 0.00141374-0j -0.142181-0j -0.00469641-0j 0.000340876-0j 0.000255896-0j 6.57596e-09-0j -0.0167834-0j -0.00304832-0j 0.000175329-0j -4.31296e-07-0j 7.30825e-06-0j 0.199929-0j 1.64267e-05-0j 3.75899e-06-0j -0.000479325-0j 3.52182e-07-0j -0.00024654-0j -2.30985e-05-0j 
8.82571e-05-0j 0.141398-0j -0.000186511-0j 1.33379e-06-0j -1.04816e-05-0j 0.0024884-0j 0.000509009-0j -3.13729e-07-0j 4.85354e-05-0j -4.73391e-05-0j -0.000369304-0j 0.000360202-0j -0.0012292-0j 0.00119891-0j -8.79689e-05-0j -0.688997-0j 8.58007e-05-0j 0.672014-0j 0.00259763-0j -0.00253361-0j -1.03095e-06-0j 1.00554e-06-0j 3.60627e-05-0j 7.73171e-07-0j -5.07098e-05-0j -0.000268856-0j -5.76417e-06-0j -0.000866452-0j 0.000378054-0j 3.00523e-06-0j -6.20083e-05-0j -1.85764e-05-0j 6.4431e-08-0j 0.00680902-0j 0.00121837-0j -1.32944e-06-0j 0.0147201-0j -4.22582e-06-0j -8.98144e-06-0j 8.71934e-05-0j -0.115686-0j 0.000145983-0j 0.000315595-0j -0.00957455-0j -1.92559e-07-0j 0.000203804-0j -0.0206988-0j -0.00248028-0j 1.26293e-05-0j -5.93766e-08-0j 4.36948e-06-0j 0.162673-0j -1.27301e-09-0j -0.00028658-0j 8.34929e-08-0j 
-1.04012e-05-0j -0.0252173-0j 0.0963066-0j -1.57189e-07-0j 3.7582e-06-0j 3.08363e-06-0j 0.00426522-0j 0.000501031-0j -5.71996e-06-0j 5.57897e-06-0j 0.000132415-0j -0.000129151-0j 7.20547e-05-0j -7.02787e-05-0j -0.00148197-0j -0.00259763-0j 0.00144545-0j 0.00253361-0j -0.667168-0j 0.650724-0j 0.00332434-0j -0.00324241-0j -4.25003e-06-0j -9.11191e-08-0j 5.97621e-06-0j 9.63989e-05-0j 2.06676e-06-0j 5.07906e-05-0j -0.000135552-0j -3.54169e-07-0j -0.00104463-0j 1.08893e-06-0j -7.59326e-09-0j -0.00121434-0j -7.14195e-05-0j -2.23964e-05-0j 9.0412e-06-0j 4.98018e-07-0j 0.00463766-0j 0.00146891-0j 0.0204928-0j -2.60351e-05-0j 1.9384e-07-0j 0.00170756-0j 9.94297e-05-0j -0.161892-0j -1.27133e-05-0j 0.000439359-0j -0.00652127-0j 0.000320558-0j -0.00347091-0j -0.0288162-0j 6.87266e-06-0j 0.227646-0j -0.000450755-0j 
