0.354529+0.111548j -0.244085+0.571603j -0.0237248-0.00384521j 0.497916+0.328625j -0.265772+0.245498j -0.0642401-0.083264j 0.117083-0.0652354j -0.0339283-0.110405j 0.00537944-0.0158931j 0.00508735-0.00410936j -0.0801547-0.0136717j -0.0154174+0.0161104j 0.0256736-0.0295336j -0.0274905-0.0115159j -0.0051963-0.00616103j -0.028059+0.0496103j -0.00458887+0.00416396j 0.00566666+0.00890054j -0.00464474-0.000430533j 0.0249101+0.0352772j 0.0348527+0.0271754j 0.00644158+0.00858942j -0.0136719-0.0157179j -0.00812934+0.0101591j -0.00296846+0.000993746j 0.0515096-0.0159732j 0.00292702+0.00151119j 0.00738431+0.00476751j -0.00857163+0.00520514j -0.00162914+0.00612309j -0.00351151+0.0365186j 0.0141524+0.00131476j -0.00195982-0.00241536j -0.00315229-0.00086796j 
-0.00773836+0.102654j -0.098368-0.0179181j -0.0040324-0.0383621j 0.00591725-0.0184551j 0.118712+0.0230131j -0.387526+0.129436j -0.203831-0.350089j 0.106757+0.160249j -0.177322+0.232068j 0.206403+0.151928j 0.0339686-0.399733j -0.127103+0.277563j 0.381399+0.00961039j -0.0256211+0.0350281j -0.171209-0.0775368j 0.0441775+0.00752839j -0.0163356-0.00534736j -0.0238261-0.00957088j -0.012072-0.00206748j -0.0121178-0.00772499j 0.00619685+0.00125206j -0.00992881+0.0328536j -0.000441813-0.00512112j 0.022723-0.000489693j -0.00375948-0.0637305j 0.000388028-0.0210684j -0.0459678-0.00590755j 0.00085854+0.00384186j -0.113975-0.0245999j -0.0778887-0.00473989j 0.0504037-0.00458129j -0.0285583-0.0121198j -0.0428961+0.150449j 0.104874+0.0217922j 
0.00523217-0.0206823j -0.0103838-0.00649809j 0.0285083+0.0160884j 0.00778454+0.0128726j 0.0256786+0.00474313j -0.0619802-0.0326738j 0.0594124-0.0406118j 0.0844579+0.00880154j -0.0792659+0.0108788j 0.00878202+0.0554134j 0.0230088-0.0626042j 0.145888-0.159822j -0.0556326-0.0438909j 0.168321-0.146515j 0.0300793+0.116974j -0.0448374-0.072785j 0.113992+0.292057j 0.0639432+0.146503j 0.140862+0.377041j -0.0262941-0.0252446j 0.119516-0.162613j 0.0880798-0.0445345j -0.141254+0.0851682j -0.00144428+0.0134564j -0.279736+0.192524j -0.112564+0.0360355j -0.115637-0.0071137j -0.0578702-0.00787365j 0.142996+0.0505546j 0.0103139+0.0326845j -0.132922+0.123139j 0.210898+0.142871j -0.153656+0.19984j 0.342849+0.1622j 
-0.0124704-0.00987j -0.0162227+0.0144907j 0.00700318+0.0752964j 0.0224205+0.00916751j 0.00924103-0.0165993j 0.0793771+0.0365372j -0.0734106+0.0693313j -0.0172331-0.00150435j -0.0134056-0.01146j -0.0535986+0.0291776j -0.0340842+0.0587413j -0.176941+0.109159j -0.0378464+0.0395406j -0.202924+0.0326995j -0.0389859-0.118768j 0.144957+0.133671j -0.0492742-0.155501j 0.0574815+0.0384037j 0.126666+0.321302j 0.0271988-0.179484j -0.142554-0.0336891j -0.240182+0.0661826j -0.153514+0.0461437j -0.159068-0.0466034j -0.369739-0.127316j -0.0371492+0.111314j -0.058638-0.0840596j -0.150492+0.303275j -0.0913003-0.15537j -0.17822+0.319167j -0.0728196+0.0794932j 0.115403-0.0140202j 0.00756047-0.0742248j -0.144218-0.0945346j 
-0.0275938+0.0279292j 0.0247989+0.0158893j -0.0278094-0.0173483j 0.0095433-0.0236675j -0.0502278-0.0132596j 0.0301586+0.018195j -0.0108784+0.0482136j 0.0470481-0.00121189j -0.0760332-0.0231152j -0.0572684+0.0703071j -0.0236808+0.0094543j -0.00926417-0.0615107j -0.0704246-0.0093051j -0.27276+0.166953j -0.00181896-0.027278j 0.0719554+0.138755j 0.176567+0.408349j 0.0240442+0.0167752j -0.102657-0.148081j -0.159729+0.190861j -0.133032+0.0113343j 0.296998-0.164605j -0.00147324-0.00144037j 0.0816954+0.0125895j -0.195513-0.10848j 0.17946+0.0787771j -0.0331129-0.0395535j -0.0407996+0.0326121j 0.0777377-0.152635j -0.0772543+0.26163j 0.110022-0.194781j -0.331502-0.170809j -0.0733418+0.0886816j 0.113883+0.00557429j 
-0.0597689+0.0228616j -0.00303227-0.00282835j -0.0305263+0.0373446j 0.0150632-0.0162569j 0.0033322-0.0162267j -0.104752-0.0441523j 0.090098-0.0919182j -0.0101312-0.00589394j 0.0300521+0.0210495j 0.0840367-0.0474195j 0.054164-0.0552502j 0.304965-0.151183j 0.074024-0.0442951j -0.214073+0.131656j 0.19598+0.205772j 0.10275+0.137173j -0.06987-0.0500039j -0.19252-0.0063678j 0.0535311+0.0055098j -0.0862326-0.0410772j 0.0421528+0.0625476j -0.328534-0.158128j -0.0652139-0.033904j -0.113493-0.031571j 0.0423832-0.0184777j 0.108718+0.112664j 0.0889418-0.0608816j -0.155059+0.448268j 0.0768268+0.174705j 0.115689-0.243268j -0.00731375-0.0685542j -0.145804-0.126092j 0.015557+0.0471517j 0.12486+0.0929784j 
-0.00299871+0.00382133j 0.00473257+0.00115747j -0.000658675+0.00691779j 0.00140796+0.006024j 0.00353619-0.000257138j -0.0115637+0.0143958j 0.020723+0.0145529j 0.0046787+0.0165837j 0.00885322-0.0133872j 0.0128683+0.0191383j 0.00719771-0.00272332j 0.0247845+0.0472964j -0.0209815-0.00886687j 0.0263742+0.0176782j 0.0103896-0.0383213j -0.0102162+0.013866j -0.0372793+0.0740511j -0.00167316+0.00967849j -0.0272913+0.0775835j 0.00302511-0.00800974j 0.0148655+0.0102049j -0.00661414-0.0133928j -0.0152375+0.00722543j 0.00773312+0.014517j 0.0170197+0.0401711j -0.0043537+0.0253366j -0.0544006-0.0566455j -0.00785305-0.0210272j 0.0133799-0.0517686j 0.0354478-0.0304108j -0.0114313+0.0149023j 0.0130922-0.0338492j -0.00401091+0.00665258j -0.00471661-0.0895333j 
-0.00701663+0.00483865j 0.00940841+0.00697713j 0.00411674+0.012735j -0.00537496+0.0114836j 0.0098227+0.00399071j -0.0215111-0.00186194j 0.0246422+0.0185571j -0.00215295+0.00476698j -0.015384+0.001664j 0.000575482-0.0027944j 0.0223764-0.00263526j 0.0212997+0.0184576j -0.00872794-0.0223176j 0.025639+0.03244j 0.0355288+0.0244646j -0.0245783-0.00213587j 0.0293335-0.0162469j -0.0402173-0.00450794j 0.025309+0.00799072j 0.00943897+0.0135069j 0.0664199+0.017146j 0.0259681+0.00195901j 0.0322742+0.0257873j -0.00893605-0.0212988j -0.0304554+0.0239466j -0.025564-0.00270057j -0.0280973+0.102668j -0.0174499+0.0169384j 0.064347+0.00900405j -0.0567459+0.00108049j -0.0175236-0.0105616j 0.0205035-0.0106209j -0.0351107+0.00771844j 0.061041+0.0282671j 
-0.00630987+0.014684j 0.0211427-0.00944238j -0.0289016+0.00689238j 0.0143469+0.0130649j -0.00356711-0.00873936j 0.00480482+0.010165j 0.00539993-0.0227616j -0.00190769+0.00273963j 0.0221298-0.0137534j 0.010616+0.0212644j -0.00544302-0.0234098j -0.00869648-0.0326809j -0.0161319-0.00223107j -0.000335028-0.00324426j -0.00374278+0.0277253j 0.00565867+0.0124511j 0.0451691-0.0338183j 0.00287967+0.0293606j -0.00556702+0.0131709j 0.00502432-0.00510902j -0.0252197-0.0129248j 0.0172755+0.0210914j -0.0138397-0.00879112j -0.0227736-0.0473065j 0.00232047-0.0064202j 0.00501019+0.0174149j 0.0159839+0.000662443j 0.0337004-0.00268764j -0.0145219+0.036547j 0.00119493+0.00529626j 0.00368402-0.00320355j -0.0158815-0.0316075j 0.00637959+0.0149877j -0.00420032+0.063516j 
0.0105652-0.0093299j 0.00422609-0.0181958j -0.0215531-0.0354262j 0.0220622+0.00277207j -0.00674334-0.0196765j -0.0107289-0.017466j -0.0136495+0.0171774j 0.00357602+0.000567187j -0.0138876-0.000480254j 0.00285997-0.0166511j -0.00886949+0.0201268j 0.00283224+0.0228776j 0.016493+0.0155851j -0.00296766-0.00559016j 0.00101711-0.0191327j 0.00144336-0.0184827j -0.0312289+0.00966187j -0.00490813-0.0251476j 0.0254304-0.00091771j -0.00565249-0.000878275j 0.0110024+0.0034088j -0.0156477-0.00986646j 0.00185016-0.00949521j 0.0192687+0.0209761j -0.00827061+0.00663626j 0.00281503-0.021709j -0.005484+0.0057201j -0.0203538-0.00878696j 0.00875285-0.0193981j -0.0115641-0.00761767j -0.00175962+0.00732519j 0.0128823+0.0375058j -0.00411636-0.0183551j 0.00790554-0.0336431j 
-0.00803067+0.00956728j 0.00704432+0.0154802j 0.00497745+0.0239346j -0.0196494+0.0114451j 0.013981+0.0168257j -0.00709759-0.00237463j -0.0103467+0.00978892j -0.00508963-0.013667j -0.0101839-0.00859401j 0.0162547-0.0188814j 0.00208848+0.0087127j -0.0158333-0.0130769j 0.0202847+0.00213208j 0.00799913+0.00776122j -0.0196325+0.0159698j 0.000447813-0.0233946j -0.0040651+0.011175j 0.0650116+0.0404829j 0.0163353-0.0102047j 0.00140475-0.0196117j -0.00299826-0.0136837j -0.0347908+0.00429107j -0.00161311-0.0555826j -0.0110884+0.0686677j 0.0162498+0.0157404j -0.0196531+0.00088754j 0.0527845-0.0387334j -0.0206628-0.0174224j -0.0435166+0.0215242j 0.0165609-0.051101j -0.00492668+0.00488703j 0.0302813+0.0282129j 0.0136542-0.00251821j -0.0174676+0.000913024j 
