-0.0246632+0.00822958j 0.010009-0.0227061j 0.0413097+0.00493876j -0.00561515-0.00514066j 0.0215604+0.0121786j -0.0255265+0.0204556j -0.0233463+0.00433806j 0.00535288-0.032991j 0.0516409+0.0238894j 0.00480413-0.0156469j -0.0510578+0.0225632j 0.00329889+0.0277673j 0.0108781+0.00659668j 0.0106453+0.00485382j -0.00512447+0.0384454j 0.00177567-0.00872958j 0.0111859+0.00884582j -0.0295652-0.00989522j -0.0133036-0.00357181j -2.64148e-05-0.0327138j 0.0102241-0.0114198j -0.0130142+0.0393386j -0.0279982+0.0344088j -0.00837549-0.0212113j 0.00963899+0.0158756j 0.0131786+0.00120548j -0.0123779-0.0147303j 0.000932684-0.0212469j -0.0376171+0.0146413j 0.0352294-0.00504151j 0.031562+0.00185926j 0.0332589-0.0483239j -0.0162041+0.0160345j -0.0226748-0.00914246j -0.000361306-0.00423698j -0.00338218-0.0319106j -0.0227104+0.0662426j 0.0209825-0.0286453j 0.0401724-0.0245065j -0.00562521-0.0646837j -0.0443852+0.00388743j -0.0466352+0.0399886j -0.0454802-0.0242565j -0.0829701-0.0401601j -0.0304653+0.0102749j 0.00595773+0.0305726j -0.00392935-0.00160207j 0.0180844+0.0168021j 0.0316475+0.0124087j -0.0245556+0.00499872j 0.0358084+0.0112925j -0.000913593+0.0190845j -0.028008-0.0244038j 0.0169666-0.0363964j 0.0325113-0.0416007j -0.0574376-0.00582825j 0.0654825+0.0249107j 0.0316839-0.019839j 0.0197968+0.0549977j 0.0542672+0.0414683j 0.0199663+0.0727592j 0.0352623-0.0263055j -0.0260922-0.064987j -0.109668+0.0917238j -0.0153541-0.0047027j -0.00740077-0.0118072j 0.0327385-0.002781j 0.00950297+0.0640855j -0.0124049+0.0217305j 0.131669+0.0918686j 
-0.00518915-0.0181667j 0.0263033-0.0164359j 0.00655996-0.0164381j 0.051116+0.0035206j -0.0203554-0.00828619j 0.0476828-0.0499561j 0.00379639-0.0175687j 0.00612767+0.00703273j 0.0247305-0.0221631j -0.0287536-0.0249291j 0.0127073-0.00284719j 0.0268198+0.0207159j 0.00120596+0.00636197j -0.031293+0.0105421j 0.00305982-0.0308804j 0.00373072+0.0140279j -0.0409878-0.0139016j -0.0305441-0.0289811j 0.0116101-0.0107193j -0.00897912-0.000127456j 0.00270983-0.0242293j -0.0301549+0.0245829j -0.00146983-0.0048875j 0.0156453+0.0301217j -0.0117936+0.013291j 0.00246783-0.00409607j -0.000584191+0.0198029j 0.0373402+0.0167669j -0.0127269-0.0100552j 0.0189811+0.0328138j -0.0200905+0.0084279j 0.0521295+0.034182j -0.0646385+0.00740005j -0.0425747-0.000542163j 0.0280757-0.0461147j 0.025148+0.0103245j 0.0206046+0.0374225j 0.0285891+0.0287782j 0.0167748-0.0167188j 0.0966426-0.00944916j -0.0329852-0.00035778j 0.0295983-0.0401616j -0.00592096-0.00611765j -0.0371284-0.0137572j 0.0626898-0.0217997j -0.0122679+0.0128903j -0.0257584-0.0342956j -0.0565449+0.00244343j 0.0138698+0.0157867j -0.000170978+0.00224818j 0.0128096+0.0122679j 0.00743316-0.0588869j 0.0395591-0.035034j 0.041809+0.00241524j 0.0279852+0.00465068j 0.0122099-0.0691335j -0.0139422+0.0402065j -0.0359944+0.0263799j 0.0124971-0.0117616j -0.0327284-0.00927329j 0.0564922-0.00029132j -0.00595511+0.0161444j -0.0708621+0.111898j 0.0404464+0.13431j -0.00976839+0.0107001j 0.00597499-0.00776777j -0.00788779+0.00961834j 0.0727807-0.0307542j 0.132347+0.094971j 0.00657699-0.0350063j 
-0.0222444-0.0569603j 0.0292031-0.0364245j 0.0291516-0.0231351j 0.00581821-0.092014j 0.037047+0.073729j -0.00338664-0.030656j 0.0174189-0.0022431j 0.0462182+0.0112921j 0.0716468+0.00482471j -0.0701759-0.0139675j 0.00724842+0.0207612j 0.0572439+0.042082j 0.0237728-0.0316586j 0.0574251-0.0116388j 0.0612263+0.0327963j 0.073324-0.0213758j -0.00126316-0.0178139j -0.0598549-0.0783426j -0.044905+0.0643769j 0.0493303-0.0896571j 0.0568704-0.113206j 0.00964114-0.0115971j -0.032706-0.0509585j 0.0147066-0.0418677j -0.0143826-0.0327991j 0.130215+0.0246358j -0.0675944+0.0149975j -0.106459+0.0528189j -0.0451624+0.0310882j 0.0671938+0.0552586j -0.0239894+0.0359588j 0.0344395-0.0545572j -0.0743003+0.104668j -0.0864853-0.0395525j -0.0806713-0.0489055j -0.027165-0.037408j 0.142105+0.149696j -0.0644084-0.0155897j 0.00391686+0.047459j 0.136585+0.0603252j -0.0483332+0.0144058j -0.0155618+0.0736993j 0.0423703-0.0606776j -0.19997-0.0449319j 0.0580133+0.00938222j 0.0791963+0.0296581j 0.0521895-0.10976j 0.00684828+0.0933495j 0.127938+0.0786982j -0.01674+0.0283028j 0.1545+0.0115424j 0.000736555-0.142785j -0.0383127-0.0502747j 0.243599-0.0804109j 0.201036-0.0921633j 0.0310838-0.112013j 0.0406421-0.079823j -0.0199786+0.0455939j 0.0433962+0.126799j -0.0609693+0.0202861j -0.0166902+0.0489263j 0.0543834-0.160146j -0.0853025+0.0466786j -0.0729017+0.0861412j -0.0491652+0.0333383j 0.00211663+0.00414604j 0.0373242+0.0447889j -0.0825394-0.0440548j 0.0196178-0.00205983j 0.0181952+0.00888865j 
-0.0294701+0.0337736j -0.0178619-0.0233039j 0.0534478+0.0520964j -0.00529506-0.0130111j 0.0672187+0.0706889j -0.0150652+0.100418j 0.00905826-0.0112641j -0.095064-0.113326j 0.119717+0.0780551j 0.0385603-0.0652089j -0.0742873+0.060297j -0.0122423+0.0532227j -0.062517-0.0544498j 0.0660633+0.0225259j -0.119976+0.0865542j -0.0589342+0.0760832j 0.0392936+0.0197689j -0.0413022+0.0656117j 0.0022093+0.00872279j 0.0651984-0.109517j -0.0637093+0.00740615j -0.0821413-0.0485452j -0.0647663+0.133978j -0.0926702+0.00717645j 0.115449-0.0310027j 0.0236435-0.0809901j -0.0860001+0.0189442j -0.0101016-0.0326762j -0.125207+0.0840177j 0.0407516-0.0126624j 0.0529802-0.0172483j -0.0915875-0.0678708j 0.136554+0.0206444j 0.147794+0.0607738j 0.0827018+0.0673119j 0.105085-0.0335816j -0.197355+0.0208835j 0.0211272+0.0419454j 0.0673131-0.0195902j -0.0776441-0.0590109j -0.062585-0.00147079j -0.0671882+0.0558533j -0.0746774+0.0589376j 0.0143117-0.186003j -0.0602743+0.024874j 0.105514-0.0202001j -0.06269+0.0439356j 0.0190228+0.0567479j -0.0381932-0.0358433j -0.0408899-0.0193556j -0.00452359+0.0757197j 0.0208094+0.022499j -0.0220956-0.0197957j -0.0920033-0.0948735j -0.0440043-0.118909j -0.119966+0.0810159j 0.0810475+0.0252719j 0.0500251-0.0599476j -0.0271588+0.101947j 0.0401085+0.0507432j -0.0620323+0.0971704j 0.18922+0.0192463j -0.045727-0.136598j -0.0351847+0.0573684j -0.0527633-0.0131637j -0.0204525-0.0193637j 0.0302188-0.0381148j -0.070312+0.00822198j -0.0255781-0.047768j 0.0756288+0.0110887j 
0.0328297-0.00961035j -0.0344112-0.0447681j 0.0710385-0.0592178j 0.0929206-0.0494854j -0.0230893+0.0172017j 0.110502+0.0130551j -0.0239589+0.0620325j -0.0929149-0.0183879j -0.123933+0.0591741j -0.0508547+0.04449j -0.0959984-0.0711403j -0.0652871+0.0657708j 0.0299597-0.0454578j 0.0229139-0.0613545j -0.0233455-0.0431476j -0.0195443-0.0235431j 0.0605944+0.0449558j 0.0957665+0.170795j -0.128536+0.107676j 0.109176-0.0478507j -0.0136745+0.0717718j -0.0241599+0.0268349j 0.0097194+0.00807661j 0.211575-0.0137761j -0.0914138+0.0553681j 0.0187853-0.089606j -0.0539431+0.23968j -0.106281+0.159214j 0.137206-0.057248j -0.13916-0.157605j 0.00353854-0.000907335j -0.0244064-0.0553264j -0.253841-0.0840477j -0.0179053+0.0103068j -0.034755+0.0561079j -0.0378706+0.0481597j -0.00195044-0.120973j -0.0530362+0.00127712j -0.00852849-0.101486j -0.071997+0.123537j 0.114507-0.13958j -0.123877+0.0403085j 0.0598096-0.00455731j -0.0384357-0.0832238j -0.0538472+0.0112288j -0.02487-0.00217135j 0.0232816-0.0242351j 0.0228187-0.0292799j 0.110618+0.079995j -0.017234-0.0752866j 0.0987421-0.0313419j -0.10308+0.0427886j -0.0161803+0.00307633j 0.00254825+0.0634061j 0.0386343-0.0355637j 0.121821+0.013694j -0.0126748-0.0617821j -0.0134157-0.0124981j 0.0889612-0.0568972j 0.0939532+0.0327659j 0.0686383-0.0680959j 0.0991214+0.00497111j 0.0311688-0.0245482j 0.0145376+0.0213015j 0.0212802-0.136409j -0.0585852+0.0543754j -0.0016125+0.0255022j 0.00659857+0.00182607j -0.0268431-0.0220179j -0.00791711-0.00534873j 
-0.0177612-0.0194111j 0.00476811-0.00114383j -0.00413925+0.00434892j -0.0391697-0.0607119j -0.132878-0.032841j -0.0685951+0.0373365j -0.134846+0.0288425j 0.0747636+0.0554783j 0.0819333+0.176996j 0.0719026-0.020986j 0.0752848+0.0680744j -0.0690537+0.00879553j 0.0167684-0.0741991j 0.0308397-0.0725248j -0.0137159+0.0735887j -0.0268436-0.0260878j 0.158658-0.0500563j -0.0872957-0.0234378j -0.0932953+0.0302014j -0.0517553+0.00833469j -0.115607+0.107173j 0.0336337+0.054905j 0.124384-0.0725187j -0.134138-0.0843315j -0.27934-0.00632283j 0.0483343+0.00135969j 0.186761-0.0940546j -0.0844221-0.0333389j 0.00127331+0.0153952j -0.113123+0.0551269j 0.00968004-0.0882549j -0.0745169-0.0508629j 0.0759583+0.0282993j -0.103236-0.148717j 0.0286297+0.0483393j -0.0879081-0.124841j 0.0303241-0.0779243j -0.0341963-0.0580529j -0.0644956+0.0228802j -0.21415-0.0629704j -0.0592345-0.0664746j -0.0362433-0.0330163j 0.0161787+0.0277579j 0.0170785-0.0452274j 0.00511516+0.0383706j 0.00545201-0.0427659j 0.019235-0.0490318j -0.0814648-0.0736713j -0.0170094-0.086598j -0.0728856-0.0453393j 0.126618-0.170723j 0.0253579+0.132067j 0.0123205+0.0141991j 0.189251+0.0935056j -0.0428162+0.0344514j -0.119513+0.0449987j 0.00490495+0.045118j 0.0409294-0.0104637j 0.00663097-0.0376673j 0.0380222-0.0485474j -0.121578-0.071712j 0.0274955-0.0576071j 0.0809661-0.0301641j 0.00227351+0.0106303j 0.0844519+0.0236298j -0.00869681+0.0144524j 0.0213399+0.0491837j -0.0462205+0.00150105j -0.0408746-0.0369616j 0.011954-0.00971934j 
-0.0159373+0.000935254j 0.0345171-0.0417826j 0.0726502-0.0594106j 0.0724372+0.00246935j -0.00584703+0.00339044j 0.126027-0.000866047j 0.053324-0.138744j -0.0418372+0.16978j 0.0363871-0.0401876j -0.0137677-0.0857344j 0.031637-0.015204j 0.232782+0.0128754j -0.0730086+0.0328813j 0.229203+0.0444728j -0.107967-0.0302534j -0.00615737+0.0901716j 0.00746413-0.134242j -0.035623+0.0884358j -0.0285177+0.0408763j 0.0443363-0.0354417j -0.121657-0.00162925j 0.104713-0.00799889j 0.0985128+0.0551932j -0.0664642-0.164953j -0.0077821+0.0762964j 0.0478952-0.021986j -0.025522+0.0280439j -0.0690609+0.00672977j 0.0361219-0.0758787j 0.0402339+0.0023691j 0.0313222-0.0182638j 0.0393309-0.0353384j 0.137241-0.0177386j -0.0228632+0.071127j 0.0997843+0.103857j 0.175317+0.167823j 0.0502041+0.0144731j -0.0397466+0.00238078j -0.05691-0.0263617j -0.0302202+0.0879989j 0.0721502+0.0266165j 0.0314519-0.0291446j 0.0628519+0.0805776j 0.106893-0.0416907j 0.094036-0.0532185j 0.0159884+0.0694975j 0.0100442-0.0256179j 0.116746+0.0590036j -0.0711508-0.106473j 0.0026979+0.0183685j 0.140369+0.0328169j -0.0343968-0.150475j 0.153938-0.00362409j 0.123169+0.0517533j -0.0396213-0.0554546j -0.0370849+0.0519112j -0.147482+0.0997292j -0.0181766-0.0877484j 0.0050072+0.0779415j 0.00616136+0.00912547j 0.00239495+0.00606939j -0.0291325+0.00680733j 0.0464644+0.093611j -0.0297635+0.0557856j -0.0453689-0.0139271j 0.0197186+0.0257117j 0.0441944+0.00714821j -0.0193084-0.0504925j 0.0480544+0.00934631j -0.0308+0.000791579j 
0.00724849+0.0435847j -0.0156594+0.00820049j 0.023289+0.0212415j 0.000496718+0.0112492j 0.0207261-0.00952345j 0.00453566+0.0491714j 0.004072+0.00199211j -0.0107409+0.0131822j 0.0782718+0.0272409j 0.0354708-0.0242063j -0.0446902+0.011649j -0.0881342+0.0415478j -0.015618+0.00423363j 0.0688161+0.00335851j -0.0703659+0.0608572j -0.013842+0.018415j 0.0648548+0.00535978j -0.0195463+0.0507529j -0.0255177+0.00409037j 0.094721-0.0312983j -0.0165309+0.0805543j 0.00298182-0.0364936j -0.0369104+0.0516914j -0.0411711-0.0479191j -0.062131-0.0295807j 0.0339023+0.0136549j -0.0170513-0.0191151j -0.0882351-0.0138409j -0.0142146-0.00677381j -0.00672371-0.0157044j 0.0609275-0.0474521j -0.0438047-0.041866j 0.0922182+0.0271604j 0.0751118-0.0225218j 0.0604356+0.0677147j -0.0331302+0.0828774j -0.0378463+0.0185246j -0.0315493-0.0283844j 0.0238603+0.0032176j -0.0555077-0.0576621j -0.0134847+0.0107506j -0.0792474+0.0538282j -0.046666-0.0521635j -0.0497296+0.00888379j -0.0441755+0.0139229j 0.0876946+0.0245296j -0.0603706+0.027005j 0.0341709-0.021255j -0.0230311-0.0644095j -0.0376922+0.00607325j 0.00582156+0.0624642j -0.055461-0.0143868j -0.020639-0.00832362j -0.00470701-0.0408545j -0.0791454-0.0230164j -0.0799681+0.102222j 0.0334715-0.0110335j 0.076082+0.0486465j 0.040069+0.0135526j 0.0430294+0.0796007j 0.00505842+0.0119027j -0.0146317-0.0573925j 0.0282047-0.0468158j -0.0750597-0.049101j -0.0289032-0.0136736j -0.0252627+0.0147383j -0.0245121+0.00737525j -0.0181718+0.0830759j -0.0653441-0.0384991j 0.0439622+0.0469708j 
-0.0179327+0.0109824j 0.0123705-0.0476743j 0.0521347-0.0129373j -0.00634276-0.00877653j 0.0189246+0.0177959j 0.0307692+0.0192612j -0.0284877-0.0226025j 0.069776+0.0395218j 0.11684-0.0165452j -0.0412577-0.0340642j -0.0431199+0.0156149j -0.0185988+0.00752395j 0.0368714+0.0370254j 0.0359765-0.029133j 0.0111276+0.0727996j 0.00598184-0.0131875j -0.00768482-0.0342672j -0.0715007-0.0317577j -0.0428611-0.00806018j 0.0401904-0.0265152j 0.0375293-0.0509669j 0.0130532+0.0223634j -0.0207285+0.029028j -0.00385008-0.0366355j -0.0165007-0.00417827j 0.0379067+0.0178613j -0.0146069+0.00934199j -0.0548485-0.00544398j -0.0444589-0.000722155j 0.0131176+0.0342212j 0.0221773+0.020248j 0.029151-0.0514913j -0.0661419+0.0333095j -0.0904024-0.0099416j -0.0236938-0.00128362j -0.00286726-0.0207587j 0.0284433+0.133729j -0.0130311-0.0595238j -0.00590982-0.0494837j 0.053407-0.0470527j -0.0835698+0.00635762j -0.0525817+0.0333215j -0.0302318-0.0496484j -0.0838951-0.0519771j 0.00995696-0.00865576j 0.0385998+0.0664324j -0.00383097-0.0357424j -0.0345549+0.0026708j 0.0645922+0.0201592j -0.0260476+0.0192655j 0.128889+0.0571538j -0.0228258+0.0209747j -0.0054563-0.0431315j 0.138217-0.0386127j 0.0721974-0.0281173j -0.0169309-0.0402943j 0.0173801+0.0419724j 0.0405649+0.0183512j 0.0277139+0.0717623j 0.0496266+0.0246274j 0.003684+0.028781j -0.021317+0.0586012j -0.000804741+0.0455048j -0.0748031+0.126506j -0.0286114+0.0117786j -0.00029315+0.0376059j -0.00574943+0.0243737j 0.0869471+0.0858701j 0.0338171+0.0280683j 0.0950272+0.0544122j 
0.00820076+0.00380758j -0.0306109-0.0124024j -0.0114093+0.00531918j -0.0314037+0.00179394j -0.013523+0.0819339j 0.0765673+0.0640676j -0.0176906-0.000561349j -0.0322266+0.0103744j -0.0229726+0.0158851j -0.0229878-0.0213638j -0.0499026-0.017806j -0.0179117-0.0561184j -0.0053492+0.000692839j 0.0217466-0.00580822j -0.0209839-0.0119448j -0.0414144+0.0507001j -0.0128475+0.0292823j 0.0401394+0.0175123j -0.0128477+0.0572238j -0.00219286+0.0092939j 0.000251071-0.0695723j -0.0154532-0.0537927j 0.0239938+0.00513233j 0.0535232+0.00752621j 0.0625693-0.0200586j -0.0694714-0.0727523j -0.0142475+0.120442j -0.0462501+0.0498065j 0.0314127-0.0173605j 0.00371067-0.0276589j -0.0197045+0.0357063j -0.045198-0.0587244j -0.0435311-8.8566e-05j 0.0359284+0.107939j 0.00428984+0.0652616j 0.0570855+0.00874972j -0.00310652+0.0631631j -0.0634193+0.0705537j -0.0302732+0.0406786j 0.0520241+0.0234512j -0.00746482+0.0629762j -0.00441644+0.0249141j 0.0464176+0.0508438j 0.0420751-0.0577751j 0.073245-0.0218409j 0.0648349+0.01138j 0.0642833+0.0181652j -0.00137304-0.00866623j -0.0139987-0.0245871j -0.000809121-0.0279522j 0.031394+0.0307896j 0.0538876+0.0476473j -0.0172066-0.0444579j -0.00162317-0.0116945j 0.0583346+0.0184366j 0.0101651-0.0526557j 0.0519034-0.00918163j -0.0171044-0.0772041j -0.0558144+0.021687j 0.0240616-0.0637604j -0.0368587+0.0745305j -0.0148193+0.0771945j 0.00917896+0.0381953j 0.00272524-0.0403731j -0.0196749-0.0156406j -0.0281468-0.00850447j 0.0399866-0.0126053j -0.00190822-0.00169052j 0.00264631-0.00489571j 0.00568644-0.0347274j 
-0.00826232-0.040467j 0.0192367-0.0113486j -0.0556574-0.0164487j 0.0937266-0.0101265j -0.0657193-0.0367697j 0.0425958-0.0158402j -0.00433416-0.0255186j -0.0896382-0.00945129j 0.046799-0.0269356j -0.0171404-0.0475489j -0.00942293+0.00190164j -0.0420195+0.00556645j 0.00857942+0.0222591j -0.0575485-0.0157362j -0.0268809-0.0426803j -0.0130938+0.0388904j 0.0595654-0.0402787j -0.0110093+0.0414322j 0.0313151+0.0211613j -0.00892933+0.028512j -0.123142-0.0034471j -0.0990536-0.0377862j 0.0283285+0.0770728j 0.0338588+0.0914536j -0.0543409-0.0365473j 0.00553717-0.0686619j 0.0603228+0.0268718j -0.0666369+0.0596846j -0.0568126+0.0297124j -0.0149451+0.0885961j -0.00840466+0.0237439j 0.0122061+0.0116982j 0.0228035+0.0333491j 0.0926789-0.0310281j 0.145273+0.00924427j -0.0413542+0.00554959j -0.101792+0.0159869j -0.0555186+0.130754j 0.0289863-0.0344876j 0.104671-0.0107396j -0.127577-0.0483167j 0.0422652-0.0949093j -0.103852-0.0148713j -0.0370406-0.00678344j -0.0268358+0.0421687j 0.111213+0.0341618j -0.0547377+0.0134017j -0.0941178+0.0221267j -0.018355-0.0577773j -0.0261355+0.0244366j -0.00127897+0.115183j -0.0431785+0.0336038j 0.127293-0.0428778j -0.0417322+0.02635j -0.000914605+0.0296279j -0.0106542-0.061065j -0.016928+0.0500405j 0.00508814+0.111693j -0.00439555-0.0875513j -0.032897-0.0290571j -0.0363776-0.0260854j -0.0360239-0.034257j -0.119254+0.0805763j 0.129224+0.0787444j 0.000720751-0.00585003j -0.0274413-0.082678j -0.113448+0.0221444j 0.0419433-0.0557032j 0.0738998+0.08432j -0.0280729-0.0339106j 
