0.00317018+0.00129585j 0.00438894+0.00122829j -0.00692651+0.00413092j 0.00943932-0.00571736j -0.0198443+0.0121411j -0.000936997-0.00465685j -0.00300644+0.00324879j 0.00393404-0.014035j -0.00468187+0.00254898j -0.000683235+0.000270264j -0.00854967+0.0150445j 0.00192621-0.00258571j 0.000746403+0.00576593j -0.0306969+0.0285606j -0.0026171-0.0273342j -0.00374429-0.00603177j 0.000367817+0.00645802j -0.0106842-0.0140094j -0.001773+0.00304941j 0.00940292-0.0112249j -0.000204218+0.00756908j -0.00505085-0.0239568j 0.00228072-0.00121222j -0.00136661-0.00329888j 0.0041079+1.15015e-05j -0.0144371+0.00320759j -0.00300101+0.00438578j 0.000501504-0.00252695j -0.0102762+0.0382847j 0.00710765+0.00695405j 0.00111351+0.00404462j 0.0044997+0.0299764j -0.102007+0.0989225j 0.00763638+0.0184152j -0.0857095-0.142548j -0.104252+0.00113242j 
-0.00509083-0.0105466j -0.0154453-0.0266049j -0.00489079+0.00598967j -0.00519011-0.00456365j 0.043472-0.00493304j -0.000713693-0.0117202j -0.00720235+0.00646172j 0.00096611-0.0156887j -0.0100974+0.00196363j -0.00361064-0.000763335j -0.0105191+0.0135993j 0.00177125-0.00210098j 0.0206121+0.010922j 0.0411471-0.02664j 0.00229945+0.032375j -0.00847253-0.0099744j -0.00418984+0.018j -0.013245-0.0336746j -0.0101898+0.00632231j 0.0265075-0.0256355j -0.00648263+0.0113598j 0.00172312-0.0450334j -0.00300441-0.00479099j -0.00347806-0.0058189j 0.00721738+0.00592459j -0.03575+0.005507j -0.00968558+0.0111198j 0.0072383-0.0132055j -0.0717581+0.0866611j 0.00025437+0.0195223j 0.0232502+0.00747653j 0.100611+0.0900727j -0.0393297-0.033617j 0.062369-0.0495124j -0.00419838-0.0229982j -0.0157185+0.0248939j 
-0.0141534-0.0268743j -0.00118222-0.0118307j 0.0279909-0.015261j -0.0391144+0.00557093j 0.000457345+0.00184231j 0.00984771+0.00931026j 0.0133892-0.0036982j -0.00307978+0.0218043j 0.0282214-0.0139171j -0.0136977+0.0327044j 0.015985-0.0155625j -0.0359843-0.0201627j -0.0170852-0.0155131j -0.0506117+0.023129j -0.0183951-0.0537516j 0.00200611-0.0097375j -0.00354893-0.00217765j 0.00646295-0.00383797j 0.00190482+8.8375e-05j 0.00406056+0.0154069j 0.00774517+0.0312189j 0.00637735+0.00576832j 0.0299866-0.0246463j -0.0218522+0.0435266j -0.00708382+0.0709857j 0.00882032+0.00288823j -0.0433169+0.00115859j 0.100955+0.0279739j -0.00893973+0.0184284j 0.000822151+0.0104695j -0.0106878+0.0656565j 0.0374162+0.017836j 0.0021546+0.000471279j 0.0208264-0.0372016j 0.00176511+0.011466j 0.0123244-0.00787658j 
-0.00247229-0.0175094j 0.00433756+0.011119j 0.00336113+0.00591797j -0.0415578+0.0039801j -0.027042+0.000859489j -0.00363582-0.0156103j -0.0133437+0.00584568j -0.00573557-0.00598917j -0.0139132+0.00791806j 0.00833508-0.022082j 0.0299397-0.0147741j 0.0165539+0.0166949j -0.00795741-0.0202978j 0.026333+0.00203102j 0.00450195+0.0264561j -0.00908693-0.0106247j -0.00873757+0.0231196j -0.0122841-0.0281607j -0.0163357+0.00312875j 0.0247989-0.0316424j -0.0158074-0.0125501j -0.000217161-0.0533116j -0.0299553+0.00147952j 0.011408-0.0168131j -0.00613851+0.00760502j -0.0747843-0.00518665j -0.0125463-0.0203819j -0.00409397-0.0110802j -0.0140542+0.00625416j 0.00309773-0.0413708j 0.000334051+0.00242122j 0.015453+0.0255552j -0.00166698-0.0116639j 0.0139593-0.0133896j 0.00251061-0.00339581j -0.005101+0.00461128j 
0.00139426-0.000217242j -0.00370404-0.0340544j -0.0044954+2.83083e-05j -0.0406051+0.00992915j -0.0593293-0.00472273j -0.00086183-0.0029593j -0.00474147-0.00101288j 0.000402051+0.0153347j 0.00140549+0.0176159j 0.0369512-0.0452196j -0.00519585+0.0141979j 0.0482687+0.0313478j 0.0104306+0.0172176j 0.000715791-0.00058071j 0.00518383+0.00623859j -0.0011377+0.00627745j -0.000616977-0.00199201j 0.00746853+0.0201835j 0.00245508-0.00451733j -0.0244315+0.00178441j -0.0124596-0.0425242j 0.00105993+0.0228668j -0.0398965+0.0224563j 0.0363941+0.000343514j -0.0286347+0.0270846j 0.0394374+0.00359462j -0.0252748-0.0413781j 0.0107487-0.0171256j 0.00544746+0.00233791j 0.00118405+0.0287248j -0.00526135+0.0112319j -0.000216097-0.00817672j -0.000146892+0.00318836j -0.000891736+0.00530493j -0.00204739+0.000471832j 0.00134262+0.00419332j 
0.00430315+0.0348205j 0.00308391-0.0374889j 0.0141535-0.00481535j -0.00145533+0.00215762j 0.015061+0.00261964j 0.00598046+0.0122429j 0.0161177-0.00317929j -0.00748265+0.0217928j 0.0263271+0.0134048j 0.0189898-0.00115238j -0.0343262+0.0344617j 0.0130153+0.00102662j 0.0231327+0.035812j -0.00987073-0.0021713j -0.00571021-0.0113864j 0.00314136-0.00281634j -0.00129574-0.00676765j 0.0113571+0.0029352j 0.00714318-0.000622234j -0.00874339+0.0229295j 0.0125216+0.0292473j -0.00278994-0.0361241j 0.0421436-0.00523718j -0.0126807+0.025211j 0.00385095+0.0157491j -0.051618+0.00308286j -0.0130389+0.0117109j 0.0373215+0.0233687j 0.0164169-0.00119009j 0.00446254-0.0431335j -0.011719+0.0280799j -0.004363-0.0139553j 0.00209446+0.00275713j -0.00929284-0.00258395j 0.00131414+0.00217594j 0.0034686-0.00506387j 
0.000296337+0.0143853j 0.000797146-0.0137789j -0.0224135-0.00010223j -0.00107803+0.00120488j 0.00387798+0.00112741j 0.00138729+0.0101106j 0.0055391-0.00532752j 0.0094872-0.00109411j 0.00434743-0.00454533j -0.00400718+0.00634818j -0.0306549+0.0110788j -0.00149691-0.0082855j 0.00985743+0.026306j -0.0111976-0.00412192j 0.000566392-0.0105609j 0.00863056+0.015605j 0.0129015-0.0233863j 0.0110048+0.0265093j 0.0184588-0.000108674j -0.0273756+0.0245451j 0.0107813+0.000483859j -0.00198543+0.0437493j 0.0164704+0.00897411j -0.000181241+0.00894957j 0.00412183-0.0148464j 0.066079+0.00905565j 0.0124698+0.0142614j -0.0112342+0.000365763j 0.00510898-0.00315014j -0.00520866+0.0413392j 0.00410342-0.0100189j -0.0112198-0.0156967j -0.00368397+0.0103595j -0.00944295+0.0124337j -0.00495344-0.00362779j -0.000156285-0.000398354j 
-0.00292794-0.0247819j -0.000894306-0.00467225j 0.0462098-0.0102815j 0.0690658+0.0070205j 0.00988671+0.00510292j 0.0124238+0.0118851j 0.0180949-0.00309622j -8.14603e-05-0.0128041j -0.0337123+0.00989962j 0.0402273-0.0439338j 0.0133122+0.0051362j 0.0413927+0.0479982j -0.00219297-0.00621782j -0.0106781+0.000738944j -0.000727272-0.00962924j 0.000783797-0.00343624j -0.0022367-0.00697458j 0.0046716+0.0125329j 0.00651199+0.000160852j -0.0118255+0.0046631j -0.00409519-0.0072906j 0.000570441+0.00578703j -0.0100861+0.00214087j 0.00994341+0.0148215j -0.0248979+0.0408267j 0.0102536+0.00413237j -0.0290808-0.0317161j 0.0447883+0.00806244j 0.00655936+0.00607864j 0.000466684+0.00733115j -0.0154171+0.0316397j 0.00727901-0.00580387j -0.00303387+0.00377253j 0.000734578-0.00644716j -0.00210772-0.0010403j 0.00192709+0.0003267j 
-0.00183116-0.013694j 0.0126185-0.0307642j -0.00378406+0.00822298j 0.0478307+0.00898598j -0.0206015-0.0121732j -0.00791745-0.0343886j -0.0444589+0.000724135j -0.017119+0.0385245j 0.0437609-0.00771791j -0.0297688+0.0319064j 0.00858142-0.0125465j -0.033794-0.039511j -0.00918481-0.0155085j 0.000169857+0.0060608j 0.00698698+0.00491696j -0.0146658+0.00805337j -0.0110745+0.0253245j 0.0175871+0.0219834j -0.017444-0.017066j -0.0383774+0.00191614j 0.00140306-0.0820392j 0.000324783-0.0230497j -0.0612063+0.0333726j 0.0752598+0.0067188j -0.0340195-0.00450995j -0.00659498+0.000149449j -0.00250729-0.0507888j -0.0288948-0.0405058j -0.00640682+0.000940007j 0.00657805+0.00787384j 0.00802348-0.0243902j 0.00111455+0.00679334j -0.00161395-0.00124242j 0.00496228+0.000430051j -0.00212039-0.00269263j -0.00275402+0.00719192j 
-0.0137752+0.0356958j -0.00286924+0.00504839j 0.0419376+0.0153393j 0.00712762+0.00945526j -0.00595576-0.00894117j 0.00170519-0.0132161j -0.00630644+0.00687822j -0.046845+0.0336146j 0.0341092+0.0333356j 0.0130946+0.0128008j 0.016903+0.00377821j -0.00267325+0.0014496j -0.00386091-0.0148629j 0.0125548+0.00572589j 0.00528169+0.0119902j -0.0145869-0.0248326j -0.018861+0.0448981j -0.0308805-0.077344j -0.0397237+6.14538e-05j 0.0953394-0.0473997j -0.0342314+0.0105491j -0.00403367+0.0231248j -0.0295501-0.0413284j -0.0350192-0.0477398j 0.0105224+0.0190146j -0.00650627-0.0178449j -0.00453678+0.000246552j 0.00394313+0.00373671j 0.00793442-0.0113792j 0.00147788-0.0171292j -0.00236487+0.00474851j 0.0014316+0.00414548j 0.0327577-0.0105462j 0.00443205-0.00418227j 0.0203051+0.0300507j 0.00708217-0.021178j 
0.00125411-0.0155283j -0.004727-0.0114159j -0.00811476-0.0111504j -0.00472336+0.00317463j 0.0149163-0.00828033j 0.00413351+0.00660683j 0.0109839-0.0030787j 0.0205731-0.00635577j 0.00185592-0.0096706j 0.000656493-0.00313505j -0.00499774-0.000614435j -0.000352673-9.25164e-05j -0.0111502+0.00319437j 0.0174764+0.000573503j 0.0375571+0.0129316j 0.00470568+0.0102854j 0.00691914-0.0205909j 0.00936754+0.0320118j 0.0197815-0.00266199j -0.0448046+0.0285905j 0.0157467-0.00709114j -0.00556944+0.00534994j 0.0146156+0.0183655j 0.0160752+0.0242585j -0.0100764-0.00124453j 0.0283906+0.0050519j 0.000342467-0.00483011j 0.00489193+0.000967278j 0.0191072-0.00608477j 0.00391045+0.0210893j -0.000199008+0.00261077j -4.42607e-05-0.0125679j 0.0970397+9.47298e-05j 0.001296+0.010893j 0.0564618+0.0934836j 0.0253625-0.0875301j 
