0.0395297-0.0135981j 0.00161416-0.0607332j 0.00940581+0.00973609j 0.0550561-0.0658947j 0.0227875-0.0139412j -0.0711169-0.0549491j 0.102004+0.0116308j -0.0439063+0.0192608j 0.0536064-0.086215j -0.0501241-0.0128361j 0.0524306+0.0814875j -0.00325095+0.0182386j -0.128887+0.106602j 0.0262315-0.0405364j -0.0769112-0.0661597j -0.0523506+0.00825277j 0.135825-0.0784632j -9.82141e-05-0.0211954j -0.0973237+0.0448189j -0.0538809-0.00973727j 0.031472+0.03536j 0.192227-0.0221472j -0.0166946-0.0385437j 0.00995109-0.0468112j 0.0734809-0.0151899j -0.0689005-0.0167546j -0.0657875-0.0895965j -0.0271244+0.162716j 0.166279+0.0665938j 0.0957843+0.0495118j 0.0481143+0.0202769j 0.083725+0.0152256j 0.0111002-0.0326997j -0.00851627-0.0112276j 0.0905155-0.0643673j -0.071989-0.0508552j -0.0668741+0.0364185j 0.0208336+0.0518843j 0.141862+0.0166164j 0.0150166-0.118139j -0.0232984-0.174239j 0.0228077-0.0380129j 0.00684998+0.0751859j 0.105964+0.0311658j -0.0163763+0.0392468j -0.0362946+0.09728j -0.148422-0.00394245j 0.0359678+0.0861238j -0.0903405+0.128067j -0.0502907+0.0518531j -0.0601023-0.00412444j -0.126732-0.0839475j 
-0.0163209-0.0313143j 0.0263871-0.0134884j -0.0999826-0.0609899j -0.0275415-0.0380319j 0.052034-0.0263848j -0.0305276+0.133985j 0.0113031-0.0219883j 0.167606+0.0675132j -0.0394578+0.0241732j 0.0601882-0.0832509j 0.0282381-0.0915998j -0.098824-0.0085788j 0.0678612-0.0166166j -0.0332546+0.04286j 0.047979+0.0036953j -0.0301792-0.0292905j 0.198859-0.00697725j 0.00653502+0.0290193j -0.0618398-0.146433j 0.0724301+0.017252j 0.0427726+0.0337342j 0.0128635-0.0234021j 0.00578927+0.0475755j 0.193693-0.0225226j 0.0708583-0.043129j 0.0564815+0.0662381j 0.0529486+0.0674275j 0.0458046-0.0267678j 0.0594623-0.0295955j -0.0606839+0.0229598j -0.00452563-0.0228494j -0.0402529+0.0603529j -0.0603069-0.0570423j -0.00804466+0.0584613j 0.0107964-0.0315699j 0.0563248+0.024899j 0.0787893-0.0917684j 0.0798933-0.0417443j -0.0802571+0.0888155j -0.0101257-0.00117476j -0.0836306-0.149752j -0.000892746+0.0106873j 0.0169372-0.0208196j -0.1061+0.00508686j -0.0362437+0.0458542j -0.00592543+0.0711861j 0.0234829+0.0346485j 0.0949178-0.178242j 0.0177941+0.130606j 0.0456091-0.0333549j 0.141267+0.0938524j -0.0356722+0.0196371j 
-0.0083443+0.0342627j 0.0319893+0.0322973j -0.00891981+0.014637j 0.0607854+0.0781465j 0.0137384-0.00529017j 0.0811866-0.0962959j -0.0444075+0.00531424j -0.133346-0.0536815j -0.0681166+0.0214005j 0.00426348+0.0366046j -0.11833+0.00387744j 0.0839745+0.0399257j -0.066004-0.0100246j 0.0449681+0.0642469j 0.00482239+0.0430393j 0.119526-0.0407603j -0.289303+0.0279337j 0.111664-0.0426772j 0.100572+0.0839557j -0.0147106+0.00826631j 0.0614616+0.0415503j -0.110218+0.0496905j 0.134112+0.017877j -0.10318-0.00542983j -0.0910142-0.0644073j -0.0855954-0.0619301j 0.0259084-0.0962576j -0.0658831-0.0942363j -0.0807364-0.0545783j 0.0259805-0.0566233j -0.0343594+0.000700844j -0.0982638-0.0760606j 0.103556+0.0736818j 0.0267619-0.107537j -0.102754+0.0891547j -0.035884+0.0286554j 0.0164797+0.0669479j -0.0508856+0.02864j 0.0101275+0.0744314j 0.0112228+0.0179449j 0.0554681+0.271545j -0.0686051+0.0358245j 0.0233924-0.0569753j 0.00710903-0.0803456j -0.0410255+0.0195163j 0.0735068-0.034261j 0.0384576-0.0488319j 0.0438943+0.00595237j 0.0377099+0.042451j 0.0787382+0.0204328j 0.030822+0.0614675j -0.0500176-0.0221749j 
0.0245025+0.0213487j -0.00550853-0.0239944j 0.0268749+0.0168733j 0.0232599-0.0350915j 0.0524397-0.0521415j -0.0414289-0.138546j 0.024815+0.00726111j -0.157579-9.62589e-05j 0.0560494-0.0469622j -0.0643287+0.0701533j 0.000969432+0.148716j 0.0974627+0.00355313j -0.222171+0.0799699j 0.0303496-0.0268229j -0.0684472-0.00874247j 0.00947562+0.0218585j -0.0339681-0.0631063j -0.00841529+0.0440847j -0.00125922+0.0494913j -0.0939604-0.00414752j -0.0263913+0.101538j 0.219145+0.00821919j -0.0227344-0.0621911j -0.0495588-0.0743572j 0.0649138+0.0288182j -0.115023-0.052843j -0.0630758-0.07336j -0.0669051+0.0611747j 0.0734875+0.0900922j 0.0865023+0.0497337j 0.097335-0.0142595j 0.0318252-0.0743475j 0.121391-0.0214348j 0.0506076-0.0614537j 0.00264543-0.0210441j -0.0801558-0.0476601j -0.0752196-0.0267596j 0.0254193+0.0490045j 0.112847+0.0233934j 0.0200145-0.0644486j 0.098285+0.0296426j 0.0566799-0.04046j -0.0592078+0.0365991j 0.0245174-0.0216216j 0.0572986+0.0541299j -0.0210926+0.0293613j -0.136676+0.00713417j 0.017689+0.00358837j 0.114969+0.0495065j -0.0377217+0.00381478j 0.00515421-0.02184j -0.0132087+0.0628433j 
-0.00952077+0.0660857j -0.000941108+0.0293512j 0.00702488+0.0633178j -0.0424703+0.060913j -0.0285102-0.0103838j 0.0484154-0.0554558j -0.0920931-0.0210908j 0.0140052+0.00968807j -0.00195541+0.0520457j 0.00483245+0.0476831j 0.0138979+0.0420658j 0.0188985-0.0335418j 0.05351-0.0395847j 0.0232018-0.052466j -0.0403449+0.00311664j -0.0512689+0.0299628j -0.0947365+0.112174j -0.0252336+0.0226002j 0.00912531+0.0525992j 0.0180084+0.0234706j -0.0229726-0.00584738j -0.10941-0.0409864j -0.0339992-0.02349j -0.0346121+0.0759033j -0.0389749+0.0865098j 0.0385905+0.00107206j 0.0343714+0.034321j 0.0876372-0.0398948j 0.0137638+0.0366515j 0.0354929-0.0597876j -0.0163837-0.0148741j 0.0357922+0.0116424j 0.00290074-0.0245338j -0.0324098+0.0714556j -0.0238327+0.0325927j -0.0212539+0.0118459j 0.0105701-0.10019j 0.0959953-0.0344978j -0.020826-0.0358872j -0.00977923+0.010707j 0.0597404+0.00637777j -0.030131-0.0149143j 0.0378573-0.0232121j -0.0338344+0.0298178j -0.02393+0.0103435j -0.0276703-0.00878243j 0.0169703+0.127505j -0.0864104+0.106209j 0.0198254-0.140991j -0.0899799-0.0681974j -0.0432956-0.0448611j 0.1125+0.0472036j 
-0.0120341-0.0427963j 0.0287153+0.0118442j -0.0176955+0.0320421j 0.0528726-0.0151326j 0.00182005-0.0939593j 0.0143107-0.0560001j -0.0356883+0.0228759j -0.0744838-0.0289761j -0.0110999-0.0605701j 0.00393989+0.0115158j 0.0814476-0.0280976j -0.037484-0.0376407j -0.00662142+0.0180768j 0.0592318+0.0780672j -0.125197-0.0602346j -0.0156024-0.0038634j 0.061536-0.0105973j 0.107682-0.0693527j -0.0218647+0.12941j 0.0263166+0.01164j 0.0593654-0.0152382j -0.0474572+0.0788019j -0.0294296+0.142817j -0.0967068+0.0791377j -0.113522+0.058677j -0.117127+0.0637929j 0.0154047-0.132072j 0.0250577-0.0392373j 0.0524516-0.0867907j 0.164349-0.00503358j -0.0896619-0.0300734j -0.019392-0.0562625j -0.00144147-0.0476273j 0.0926991-0.02186j 0.0818791+0.107256j 0.0209331+0.0362382j 0.00622973-0.0429858j -0.0950523-0.152592j -0.0158438-0.11995j 0.0550947-0.0471665j -0.12144+0.0038334j -0.0882876+0.0786594j -0.00175312+0.0880047j 0.0153214+0.123518j -0.0216447-0.0426013j 0.141472-0.0060197j 0.00155216+0.0566006j -0.0211868+0.191974j -0.0419512+0.0897453j 0.0446936+0.040462j -0.0481896+0.00614903j 0.0032576-0.0743791j 
0.00103535-0.0700908j -0.0938041-0.00614886j 0.0527848-0.0372983j -0.0813722-0.0467609j -0.0635785+0.0390534j -0.0280621-0.0354021j 0.104258+0.0305737j -0.018017-0.0328934j 0.0905347-0.0389428j -0.0576112+0.0734628j 0.102432+0.0341682j -0.0946077-0.0482489j 0.05079+0.0576005j -0.04117-0.107232j -0.0109359+0.0260265j 0.0518323-0.0436567j 0.128587-0.0320754j -0.0965288-0.0721838j 0.202845-0.0653962j -0.0629976-0.0433499j -0.0165892-0.0513107j 0.0449516+0.0655006j 0.0390185-0.0454345j -0.126754-0.10214j -0.168653+0.0271654j 0.143888+0.0256475j 0.022827+0.0577679j -0.0284244+0.115092j -0.087345+0.0855864j -0.173811+0.17237j -0.117186+0.0286093j -0.0202476-0.103547j -0.0981522+0.059833j -0.0422764-0.0246971j -0.0974165-0.0198014j 0.135491-0.00470685j 0.101058+0.0911251j -0.0240671-0.0727758j 0.042544-0.253834j 0.0662894+0.199365j -0.107064+0.0609929j 0.189661-0.0459375j -0.182495+0.0792649j 0.0099155-0.0291851j -0.0437734-0.138783j -0.0178301-0.0472246j 0.00658631-0.101907j -0.0602631-0.155746j -0.0216552-0.00163172j -0.00632883+0.0360552j -0.0125852-0.102835j 0.0038401+0.061172j 
-0.0376778+0.0504269j -0.00689978-0.0842932j -0.114885+0.0524928j 0.0843525+0.0131353j 0.0232366+0.0695429j 0.0970934-0.017781j 0.0428455+0.0242399j 0.0941761-0.0269109j -0.0250665-0.00744812j -0.0775104-0.0124896j -0.0210381+0.101079j -0.0379204-0.0170251j 0.060943+0.037206j 0.00840608-0.0421178j -0.0216066+0.034535j -0.0206155-0.0680147j -0.0901158+0.14744j 0.163879-0.0690218j -0.0435326+0.0958454j -0.0150509+0.0590681j 0.208076-0.0470913j -0.0792812+0.0133668j 0.169895-0.0257006j -0.0930495+0.0990786j -0.0919155-0.0639589j 0.159283+0.0860653j 0.0338218-0.0701927j 0.143515+0.086539j 0.0553057+0.112277j -0.107709-0.0342124j -0.0190831-0.0133051j -0.00201662+0.0686222j -0.0654343+0.0193776j -0.183478+0.0904081j -0.0361988-0.0326433j -0.0193222+0.0870659j 0.116349+0.0934482j 0.155573+0.0576821j 0.00981123+0.121063j 0.0430506-0.131145j -0.0550927-0.00739526j -0.142211+0.0399441j 0.10435+0.0371492j 0.0709593+0.0474412j -0.215347+0.147338j -0.0939246+0.0427195j -0.0233185-0.062181j -0.0210495+0.0285681j -0.133929+0.0505604j 0.00570976+0.0191479j 0.000372412+0.0424623j -0.0551438-0.0386685j 
-0.0178322+0.0455227j 0.0167028+0.0252541j -0.13258-0.00743988j -0.0692442-0.00751749j 0.101606-0.064568j 0.0615321-0.038726j -0.0532498-0.0567456j -0.0445752+0.00167115j -0.0710333+0.0641596j -0.0188539-0.0125551j -0.0315256+0.0256376j 0.0808903-0.0320352j -0.0424462-0.0128751j 0.0252044-0.0196198j -0.0604281+0.152326j -0.00757673-0.0249921j -0.00778445-0.00356065j 0.0648725+0.0916905j 0.0607776-0.0385332j -0.0549372-0.00458872j 0.0467128+0.164535j 0.0457095+0.0522281j -0.0797904+0.0370843j 0.0814997-0.0104868j 0.101697+0.00990248j -0.00394827+0.0103061j 0.0378244+0.063206j -0.0644174-0.15131j 0.0193781+0.0836132j 0.0530289+0.0384618j 0.032427-0.0707188j -0.0533189-0.0815099j 0.102109-0.0817883j 0.0368999+0.0202j -0.0855939+0.0197396j 0.017225+0.0802428j 0.0320162-0.154853j 0.154968+0.00720146j -0.0387079+0.0217813j 0.0479192-0.0816727j 0.0677316+0.0318795j 0.0169025-0.00368776j 0.00783481-0.0456558j -0.133093-0.0193894j 0.011737+0.162832j -0.0231775+0.0593881j -0.00327969+0.0410451j 0.0895067-0.131372j 0.193611+0.0526977j 0.0089399-0.0618546j 0.0845161+0.044719j 0.0361219+0.0988934j 
0.0483498+0.0577879j 0.013709+0.0125495j 0.0807396+0.0729161j 0.107476+0.0183828j 0.0305351-0.0263875j -0.0299683-0.00350871j 0.0117742+0.017543j -0.112678-0.061176j -0.0284959-0.127776j 0.00419267-0.0094243j 0.0392833-0.0598168j -0.136448+0.039819j 0.0708774-0.103853j 0.0876948-0.0362293j -0.117019-0.00595854j 0.0101642-0.201894j -0.021635+0.0500237j -0.124388-0.0106746j 0.086161+0.0625658j -0.00922469-0.0197007j 0.184132+0.00740766j -0.0106582-0.227272j 0.12326-0.0202474j -0.0105915-0.0803195j -0.0863498-0.127872j 0.110677-0.0777203j 0.0289553-0.0946694j -0.0402773+0.047434j 0.112991-0.0619431j 0.000627835+0.0192579j -0.0447971+0.122079j -0.0165362-0.150099j 0.12349-0.0604251j 0.0290131+0.0715419j 0.0686372-0.0107538j 0.117578-0.0529139j -0.0922591-0.097266j 0.168194+0.0144246j 0.0354155-0.097179j 0.0198308+0.0617974j 0.0946541-0.016554j -0.0986602-0.113965j 0.114545+0.0467923j 0.0260495-0.000197714j 0.0529948+0.250575j -0.0147435+0.00284858j 0.111898-0.0756024j -0.0227464-0.0706652j 0.0173496-0.0453009j 0.018209+0.0571304j -0.00433526-0.0546992j -0.0209505-0.00844004j 
-0.0723662+0.0507427j -0.0605008-0.0682703j -0.090307+0.102239j -0.0936146-0.0879788j 0.0645345-0.0319818j 0.0879139-0.00418533j 0.0928678+0.0944296j 0.0096995+0.0143609j -0.0348934-0.0695836j -0.0689798+0.0775827j 0.021434+0.131005j 0.0399817-0.0417058j -0.0124765+0.110278j -0.0391091-0.132153j -0.110805+0.243079j -0.0142834+0.178263j -0.00995342-0.0635443j 0.116571+0.0409529j -0.0533082+0.0180536j -0.0680675-0.0518334j 0.024895-0.0162324j 0.0248237+0.199926j -0.015714+0.0486482j -0.0612996+0.0974986j -0.0657608+0.0992026j 0.184998+0.0451684j 0.0676575-0.0694034j 0.0569785+0.0628894j 0.0187595+0.0865092j 0.0602337+0.0282766j 0.072456-0.0315144j 0.0152607+0.0406307j -0.000140894-0.123235j 0.0330815+0.0206702j -0.16959+0.0917844j 0.0350497+0.180139j -0.119805+0.0237534j -0.00444317+0.00903434j -0.0645092-0.0346562j 0.155028-0.0979908j -0.233703-0.0238466j 0.0720231+0.182015j 0.0220286+0.0329389j 0.0260181+0.0726804j 0.0195147+0.089382j -0.0151785-0.0402748j -0.00603036-0.0401716j -0.0580549+0.0552617j 0.0311811-0.0392121j -0.00750184-0.0178948j -0.0188359+0.0017687j 0.0199896-0.000337779j 
