0.0372441+0.0208232j -0.0189994+0.0414029j -0.0514743+0.0661825j 0.0711754+0.102381j 0.102123-0.0359091j 0.188364+0.0531148j 0.25371-0.101593j -0.132189-0.292077j 0.237045-0.437344j 0.00810073-0.00679759j -0.0941252+0.0828932j 0.00390579+0.00425424j -0.45765-0.313023j -0.156449+0.0399158j -0.202543+0.252833j -0.00258838-0.0659387j -0.0584681+0.0851983j 0.0580424+0.0624253j -0.0826633+0.0279737j -0.0267819-0.032004j 0.0998362+0.0728926j 0.0326821+0.0128025j 0.0644454+0.0872052j 0.0429616+0.0431365j -0.00956989-0.00762809j 0.0528781-0.0397711j -0.00215305-0.00766582j -0.00698523-0.00372398j -0.0155054+0.0352494j -0.117784+0.0823718j 0.00530504+0.0140291j 0.0047933+0.0332709j -0.00408315-0.0108191j -0.0365833-0.0889869j 0.0283563-0.0151601j 0.0345105-0.0111875j 
-0.0447846-0.0410473j 0.0463515-0.0422026j -0.0482677+0.0520426j 0.0574007+0.101446j 0.0992112-0.030756j 0.258926+0.0550731j -0.0694588-0.365042j 0.216888-0.273122j -0.214689+0.28005j 0.0107913-0.00141644j -0.491511-0.274606j 0.0085534+0.0041106j 0.0321001+0.126274j 0.220571-0.244742j -0.0517718+0.144592j -0.00118628-0.128073j -0.0695492+0.000721743j 0.153004+0.0353483j 0.000289561-0.0236939j -0.00945791-0.0410118j 0.0269327+0.0590427j 0.0639479-0.0821828j 0.00297765-0.0127318j -0.00365158+0.0155615j -0.00109268+0.0104801j 0.0643893-0.0569548j 0.00877019-0.00367231j -0.00440286+0.0113949j -0.0485173-0.0472368j -0.0219449+0.0542771j 0.00203892-0.00129623j 0.0519573+0.0739655j 0.0366907-0.044995j -0.0401095-0.0621851j 0.0525775-0.0270162j 0.036383-0.00951936j 
-0.0137154-0.00479333j -0.007064+0.0154103j 0.024142-0.0133587j -0.0128788+0.0181852j 0.043185-0.0113068j 0.0501736+0.0980046j 0.0921261+0.0244089j 0.0629587-0.0920017j 0.0924974-0.024385j -0.00564154-0.0128818j -0.0276063-5.89401e-05j 0.0206922+0.0408609j -0.0283106-0.00547297j 0.0146422+0.00550595j 0.12577+0.010037j -0.0743425+0.0162859j 0.260462-0.00518435j 0.0372783-0.0591834j 0.321784+0.0569956j -0.0016488+0.038427j 0.0466878-0.196941j -0.00392278-0.0176992j -0.0204887-0.278875j 0.0148421-0.214687j -0.038816+0.0719643j -0.00505674-0.0173172j 0.108369-0.0834893j 0.150467-0.12472j 0.0349344-0.0615832j -0.000183087-0.140147j -0.175015-0.174105j 0.0607892-0.194899j -0.00525471+0.0933298j 0.127921-0.357984j -0.186651-0.155848j 0.364733+0.0464705j 
-0.0404084-0.0339955j -0.0349132+0.0376127j 0.0226924+0.000866552j 0.00653501-0.00663997j 0.0139102-0.00958395j -0.0242349-0.073174j -0.0553436+0.00535803j -0.0752712+0.0168366j -0.00879301-0.0174492j 0.00879222+0.0248725j 0.0174726+0.00815784j -0.00599139-0.0225031j -0.0107184-0.00866312j 0.0163131-0.000643291j -0.0949123+0.00498299j 0.122-0.0141256j -0.265923+0.0299024j -0.0477093+0.0993716j 0.302682-0.0524359j -0.082067-0.0833651j 0.115057+0.363177j 0.0144915+0.0998187j 0.0617812-0.241155j -0.068298-0.0313573j 0.165916-0.108825j -0.00806204-0.203414j 0.203935+0.101381j -0.0606131-0.0778245j 0.0196217-0.30483j -0.0381276+0.0456622j 0.00257168+0.0182477j 0.184827-0.280039j 0.284066+0.130895j 0.063732+0.114929j -0.251139+0.00783292j -0.154677+0.00338712j 
-0.00997877-0.0235688j -0.0230892+0.0129476j -0.0705181-0.00603009j -0.00304306+0.00465837j -0.0641893+0.00145559j 0.00938079+0.0995617j 0.114254-0.0329437j 0.0724798+0.0536539j -0.0345151-0.0230772j -0.0101119-0.0575778j 0.00876898+0.0162255j -0.00080179+0.00695425j 0.0201581-0.0152814j -0.0998262-0.0128114j 0.117823-0.0301648j -0.320466+0.0708871j -0.184717+0.100154j -0.169135-0.4356j 0.0176891-0.0453089j 0.167204-0.184534j 0.0831921+0.0317681j -0.0108473+0.241831j -0.0854948-0.0521804j 0.13039+0.116791j 0.17266+0.0511021j -0.0497541+0.0356872j -0.0346535-0.00811851j 0.00561006+0.0800666j 0.0362907-0.287363j 0.0310967+0.0887585j 0.020038-0.0160204j 0.0898507+0.179934j 0.296446-0.106414j -0.0662146-0.0875564j 0.258815-0.0399952j 0.139387-0.00870445j 
-0.000923161-0.00343902j -0.00384736+0.00190625j -0.00505338-0.00163717j -0.0111482-0.0103571j 0.0115656-0.00767979j 0.0244599+0.0143281j 0.034847+0.0214567j 0.0191736+0.0127271j 0.0252851+0.016306j 0.00966257-0.00696739j -0.00719884-0.00231313j -0.0198841+0.0147535j -0.00183967+0.00199587j 0.00350429+0.00477331j 0.0667779+0.0231763j -0.0114688-0.0369884j 0.0464216+0.0772047j -0.00701469-0.0121799j 0.0495908+0.0787479j 0.0330358+0.000883221j -0.00418868-0.0332707j -0.000803496-0.00220961j -0.0449989-0.0442396j 0.0178686-0.0353121j -0.0375245+0.0211495j 0.00510301+0.0110754j 0.0635282-0.0225796j 0.105995-0.0139254j 0.0233451-0.0317681j -3.71663e-05-0.107943j -0.0452557-0.0415195j -0.00392619-0.00540343j 3.42797e-05+0.00673562j -0.00882639-0.0681774j -0.025329+0.0243709j 0.0468368-0.088108j 
-0.00436658-0.00160108j -0.000785209+0.0045182j -0.00148195-0.0121345j 0.0120093-0.00889374j 0.00904718+0.0073085j 0.0121114+0.0173242j 0.00668717+0.0182191j -0.0120007+0.00575927j -0.00387019+0.0111291j -0.00886672-0.0220044j 0.00847643-0.00353186j 0.0138329+0.0592681j 0.0140372-0.000631358j -0.00279186+0.00344735j 0.00428845+0.0176722j 0.00501106-0.00825966j -0.0202433+0.0376039j 0.000915871-0.0141015j -0.0300764+0.0431679j -0.0172735-0.00592014j 0.00901105-0.021393j 0.00213561-0.00100594j 0.0406945-0.00826349j -0.00109026-0.0246597j 0.0253497+0.0235334j -0.00330519-0.00284778j -0.0412636-0.0396378j -0.0578916-0.06671j -0.00393021-0.0243057j 0.0354462-0.0340386j -0.141402+0.0560867j 0.00132582+0.00915587j 0.00626142-0.00680667j 0.0401315-0.0140683j -0.00126958-0.00949512j 0.0450677+0.0088113j 
-0.0159652+0.0105063j 0.013022+0.0171865j 0.0157158-0.0109199j 0.0131078+0.0185602j -0.016484+0.0116018j -0.00408914+0.00587721j -0.00881737+0.0231878j 0.014463+0.000388186j -0.0161104-0.00553397j 0.0124684-0.00142349j 0.00755991+0.0035902j 0.0171605+0.0124909j 0.00241405+0.0167579j -0.0273852-0.00589622j -0.00765028+0.00746606j -0.0130104-0.0508456j -0.00283554+0.0431914j -0.010171-0.000130115j -0.0103616-0.0243239j 0.0569447+0.00694418j 0.00226514-0.00225747j 0.00560388+0.0166989j -0.0327313+0.000114565j 0.0480153+0.0183108j -0.0546443-0.00749813j 0.0106014+0.0635356j -0.0111467-0.00698811j 0.0047793+0.0228413j 0.00837132-0.0068029j -0.000291793-0.0231605j -0.00201046-0.00484596j 0.0116857+0.0291824j 5.56687e-05+0.0238395j -0.0160718+0.0134851j -0.00403669-0.0307383j -0.015147-0.0657975j 
0.0115526+0.0207887j 0.0207876-0.0123325j 0.00814961+0.00488938j -0.00980252+0.0150709j -0.0105084-0.00737655j 0.00121312+0.0117218j -0.00516098-0.000725624j 0.00382156+0.0165205j 0.0195945-0.000127588j -0.0149061-0.0443529j 0.00290995+0.00522595j -0.00600645-0.0400479j -0.0134172-0.00522125j 0.0216575-0.00295683j 0.0125004+0.0144738j 0.0121666-0.0269794j -0.0237792+0.0434169j 0.00552449-0.00826507j -0.0111678-0.0140732j -0.030959-0.00964952j 0.00684375-0.0163557j 0.000321983-0.00644217j 0.00965462+0.0245108j -0.00984972-0.0180968j 0.0222883+0.0207908j -0.00879596+0.0278726j -0.063994+0.0146144j 0.027182-0.0296992j 0.00590509-0.0107753j 0.0170123-0.00816111j -0.0501355+0.0165095j -0.0142123+0.0193494j 0.00758555+0.00964103j 0.00894412+0.0047258j 0.0195123-0.00888798j 0.0149164-0.00800525j 
0.00502145+0.0105414j 0.0106675-0.00641639j -0.014204+0.0117981j -0.0183887-0.0120775j 0.00578249-0.0145383j 0.00636766-0.00204014j -0.013939+0.0290419j 0.0222624-0.0194731j -0.0304387-0.0168009j 0.0293782+0.031049j 0.00130453-0.0109548j 0.0267147+0.041192j -0.00209516+0.0204255j -0.055271-0.0125269j -0.0231516-0.0064559j -0.00254435-0.0194096j -0.0106988+0.00185778j 0.00136513-0.00339075j -0.00180403+0.00750868j 0.00723474-0.00454219j 0.0147839-0.00583841j 0.0120428+0.0131698j 0.0204333+0.0139243j -0.0232888-0.000368731j 0.0393688+0.0256864j -0.00782137-0.00794805j -0.0210095+0.0268035j 0.0341386-0.00375327j -0.00249566-0.0058442j 0.0036057-0.00977206j -0.00976343+0.00384088j -0.017618-0.00314715j -0.020073-0.0319001j 0.00205358+0.000978176j 0.00788656+0.0168325j 0.00442805-0.00929314j 
-0.0261196-0.00396817j -0.00349049+0.0277804j -0.00816327+0.00881026j -0.0161432-0.00751036j 0.00588418-0.0136816j 0.0045713+0.00219037j 0.0141375-0.00890867j -0.000328099+0.00474078j 0.00906028+0.00918186j -0.00402174+0.00644907j -0.00797766-0.00523176j -0.00980442-0.0139753j 0.00203051-0.00874459j 0.00960412+0.00447895j 0.0207193+0.00361067j 0.00752427+0.0248952j 0.00239061+0.00149949j 0.00947561-0.0141877j -0.00362711+0.00964458j -0.0580397-0.0141008j -0.00458708-0.0227019j -0.00600466-0.0238393j 0.0158709+0.0171211j -0.032456-0.0257755j 0.0393981+0.0243348j -0.0114808-0.0198193j -0.0315486+0.0159451j 0.0338125-0.0166172j 0.00178227+0.00620823j 0.00828599+0.00333327j -0.0146938+0.00394075j -0.0222343+0.000739891j -0.00140972-0.00938275j 0.00970553-0.0200222j 0.0238202+0.0279222j 0.0227336+0.0313518j 
