-0.145751+7.42462e-16j -0.101728+0.00230103j 0.0173318+0.0125866j -0.103612-0.129713j 0.0224046-0.0811567j 0.0250128+0.0287852j 0.0500642+0.134469j 0.0292734+0.0425567j -0.0182505+0.0344675j -0.0179094+0.067539j -0.00872402+0.0603095j 0.00638629-0.052187j -0.0481269-0.0150627j 0.0204957+0.0502819j -0.0137999+0.0191028j -0.0129193-0.0096433j 0.0023066+0.00845111j 0.0250151+0.0323973j -0.0111863+0.0398171j -0.0120031+0.0525268j 0.0167729+0.0359547j -0.00327262+0.00446096j 0.00323696-0.0168056j 0.007994-0.0186601j -0.0101972+0.00581207j -0.0121067-0.0183298j -0.0138993-0.0219005j -0.00457713-0.0180784j 0.00705091+0.037583j -0.0125671-0.0233028j 0.00193998-0.000676326j -0.0186263+0.0230662j -0.0279984+0.0218839j -0.0150432+0.019931j 0.00182562+0.0142924j 0.0125935+0.0175621j -0.0282909-0.0147497j 0.0263491+0.00398097j 0.0139628-0.0229197j 0.00343698-0.0289628j 0.000418484-0.0303761j 0.0428836-0.00251615j 0.000733046+0.0347254j -0.0123987-0.0411119j 0.00540292+0.0288447j 0.0264421+0.00338916j -0.00901261-0.0309626j -0.00968486+0.0365896j 0.0374412-0.0667319j 0.0508524+0.0114447j -0.0334407+0.037085j 0.00600143-0.0194951j -0.00132647-0.0434005j 0.000147352+0.0243886j 0.0130005-0.00966348j -0.003897+0.00614881j 0.015616-0.00216542j -0.0267128+0.00591707j 0.0376557+0.00555253j 0.0169251-0.0641367j -0.0035241-0.0105079j -0.0383691-0.00146792j 0.0780955-0.0723737j -0.0336491+0.0868456j -0.0606557+0.0809387j -0.0931962-0.267065j 0.358839+0.128931j -0.106101+0.0888735j 0.0611977-0.188246j 0.0813945+0.0132005j -0.00420748+0.0104197j 0.151394+0.051874j 
-0.101728-0.00230103j 0.153641-4.85723e-17j -0.123904-0.0977453j -0.0475517-0.0634869j 0.0321332+0.0432131j -0.0508877-0.047652j 0.0306464+0.02239j 0.00114238+0.0685249j 0.0237801-0.0456285j 0.017242-0.0293063j 0.0471197-0.0449973j 0.0244178+0.0254971j 0.000284759-0.0398941j -0.0143452-0.0436796j 0.00606929-0.030178j 0.00287799+0.020514j -0.00229641-0.00983707j 0.021476-0.0227579j -0.039501-0.0218261j 0.01379-0.00612446j -0.0191723+0.040424j 0.0278013-0.0204072j 0.0276256+0.00528722j -0.0189814+0.0451547j -0.00969405-0.0350354j 0.00800278-0.00973958j 0.0102986-0.00628648j -0.0246005+0.00121325j -0.00477166-0.0313817j -0.00971966-0.013451j -0.0363679+0.0296025j -0.0425178-0.00990477j -0.00539218+0.00904375j -0.0159637-0.00902096j -0.000225564+0.00635093j -0.0190394+0.0268923j 0.00617782-0.00771124j 0.0124513+0.0542428j -0.0196006+0.0434492j -0.0281285+0.0359948j -0.00278747+0.00981968j -0.0286986+0.0777281j -0.0149005+0.0309552j -0.0166356+0.0166173j -0.0132661+0.0180015j -0.00871551-0.0040655j 0.000520891+0.0344984j -0.024722-0.018376j 0.0102695+0.0179897j 0.00480211+0.00442633j -0.0374047+0.0112997j 0.0458848-0.0436286j 0.00144274+0.00140084j 0.0301182-0.0260334j -0.00955173-0.0489657j -0.023234+0.0190758j -0.0253546-0.00373758j -0.0134343-0.0192447j -0.0341501+0.0505532j 0.0134727+0.0404738j -0.00646352-0.0178084j -0.0941939-0.00219266j -0.0853562+0.0395146j -0.0407167+0.0386133j 0.0040079+0.0957232j -0.357991+0.0290238j -0.000911638-0.284753j 0.087705+0.269859j -0.0277458-0.0114457j -0.0298833+0.0568122j 0.177201+0.0636051j -0.00517436+0.0105952j 
0.0173318-0.0125866j -0.123904+0.0977453j 0.0823736-5.55112e-17j 0.0714673+0.0428233j 0.0554792+0.0977528j 0.0451737+0.0154024j -0.0548689-0.0395372j -0.0533105+0.0833299j -0.0247687-0.057587j -0.0330066-0.0876829j -0.0467167-0.0553986j -0.0616696-0.0162387j -0.0395663-0.0198502j -0.0260992+0.0110861j 0.00617449-0.0511169j -0.0318554+0.0506696j -0.01123+0.00444325j -0.00635435-0.0248335j -0.0306554+0.0183084j -0.045639+0.0205937j -0.0154578-0.0215007j -0.0236014+0.0274083j -0.0208865-0.0118842j -0.0320035+0.0165553j 0.0105357+0.0216128j -0.00492321+0.00510675j 0.0268725-0.0494175j 0.053026+0.036421j 0.0129977-0.0260844j 0.0103283+0.0200178j -0.0279034+0.0315482j 0.0171528+0.0543043j 0.0113835+0.00905571j 0.0146964+0.0325463j -0.00508535+0.0438671j -0.00810543+0.0221497j 0.00562886+0.0191367j -0.0330121+0.00108958j -0.0186877-0.01079j 0.0177067+0.055287j -0.000852538-0.000574785j 0.00401639+0.0535014j -0.00519921-0.00236958j 0.00867142+0.0497309j -0.000921553-0.00570187j -0.0194549-0.0359815j 0.0443118+0.00194744j -0.0568251-0.00584313j 0.0380134+0.00433183j 0.0352148-0.0998043j -0.0457293+0.0205228j 0.0232729+0.0431827j 0.0564822-0.0644823j -0.0381539-0.0327943j -0.00982217+0.0304989j 0.0164055-0.0179722j 0.0568168-0.0262595j -0.0841724-0.0559649j 0.0609459-0.0285095j 0.0077927+0.124835j -0.0361482+0.039794j 0.2185+0.011151j 0.0885606+0.0610097j -0.034413+0.100886j -0.103263+0.351854j 0.062489-0.107907j -0.0471743-0.121292j -0.0627634-0.0442651j -0.0039592+0.043267j -0.0220426+0.114957j -0.0296512+0.0558908j 0.0816362+0.0113244j 
-0.103612+0.129713j -0.0475517+0.0634869j 0.0714673-0.0428233j 0.0472338-2.77556e-17j 0.0741646+0.0344251j -0.0328475-0.0171036j 0.0246563+0.0350529j -0.0632249+0.00589979j -0.00789177+1.19701e-05j -0.00579337+0.0183208j 0.00530962+0.0478205j -0.00998672-0.0622742j -0.0757696-0.0149905j -0.00660413-0.0327963j -0.00946065-0.00711776j -0.00147405-0.02511j 0.0225287-0.0423272j 0.00355138+0.0151446j 0.0253624-0.0559352j -0.00835567+0.0229779j 0.0203098+0.00935871j -0.0107864+0.00845344j 0.0176102-0.00127248j 0.00401047-0.0575669j -0.00120935-0.0123368j -0.0238751-0.0231183j -0.0201777+0.0559675j 0.0322119+0.01967j -0.0173651+0.0327067j -0.00062214-0.0184828j -0.0214801-0.0243832j -0.0135809-0.00650263j 0.00143224+0.027904j -0.0239957+0.00425068j 0.0053361+0.00961616j -0.00411524+0.018785j 0.01821-0.00830453j -0.0156216-0.026738j -0.00731262-0.00869511j -0.0202535+0.0154072j 0.00611395-0.0200251j -0.00284459+0.0144534j -0.038081+0.0710505j -0.0045795-0.00610083j 0.00514727+0.0404307j -0.0224646-0.00315033j 0.0536786-0.0455272j 0.0338853-0.0142974j -0.0312137+0.0195199j -0.0250961-0.0222419j 0.051151-0.0250116j -0.0857992+0.0431021j 0.0128583+0.039513j -0.0388636+0.0712345j 0.126779-0.0829516j -0.0341457+0.0665567j -0.0296952+0.0447469j -0.026741-0.0466947j 0.00426405-0.0148924j 0.0856996-0.0253048j 0.091833+0.104146j 0.0378774-0.229716j 0.133193-0.158151j 0.0816632-0.13414j 0.148134+0.0934936j -0.102922+0.16207j 0.0334719+0.031329j -0.17245+0.0604624j 0.0778499+0.182038j -0.00311733+0.0381962j -0.02751-0.0142664j 0.0612329-0.187265j 
0.0224046+0.0811567j 0.0321332-0.0432131j 0.0554792-0.0977528j 0.0741646-0.0344251j 0.00730565-2.77556e-17j -0.128888+0.00212352j 0.0440367+0.0538823j -0.0680575+0.00120003j -0.00553028-0.0159137j -0.0335819+0.0498476j 0.0415538+0.0391466j 0.00611052-0.0401574j -0.0395276+0.0111368j -0.0491346+0.00841243j -0.0242449-0.0233923j 0.0301345-0.0217768j 0.00836957-0.00755848j -0.0498904-0.0162979j -0.0146646+0.0144189j 0.00807372-0.00469113j 0.007652+0.0101119j -0.0286229+0.021075j 0.00597725-0.0163569j -0.0271404-0.0125567j 0.0383397+0.0055526j -0.0013879-0.0188342j -0.00472252+0.0575187j 0.0158182+0.0516131j -0.0420119+0.00304975j 0.013786-0.00124378j 0.00429745+0.0156957j -0.00250913-0.0204226j 0.0370287+0.00964516j -0.0195612-0.0172404j -0.0186754-0.00254775j 0.0422268+0.0380072j -0.00620566-0.0180254j -0.00810633-0.00771394j -0.0221879+0.0347097j -0.00364724+0.0631537j 0.020737+0.0330573j 0.0862009-0.0398727j -0.0282548-0.00226529j -0.0328135+0.00746681j -0.0103239-0.0328798j -0.0244129-0.0217127j 0.0054668+0.0214586j 0.0142877+0.00289758j 0.0166892+0.00828339j -0.0557339-0.0998006j -0.0214882+0.0259533j 0.0877549-0.0411764j 0.0584986+0.00859757j 0.0128992+0.130236j 0.0292127-0.00529385j 0.0860817+0.19434j 0.030334-0.0197983j -0.151214+0.0883491j -0.0113773+0.0546526j 0.0114803+0.0632371j 0.00203704+0.0493761j -0.0610475+0.12152j -0.104304+0.0952321j -0.0968984-0.0778702j 0.276553-0.0368344j 0.105542-0.0278093j 0.0724937-0.122479j -0.0457921-0.146058j 0.17229-0.0645361j 0.0612393+0.047595j -0.0891285-0.264838j 0.102662-0.0891637j 
0.0250128-0.0287852j -0.0508877+0.047652j 0.0451737-0.0154024j -0.0328475+0.0171036j -0.128888-0.00212352j -0.0696152-2.77556e-17j -0.0364777-0.00405146j -0.0598384-0.046623j 0.056051-0.0260855j -0.0267094-0.0304005j -0.0348122-0.0255245j 0.0209877+0.0307928j -0.00783778+0.00458386j -0.00229316-0.0234453j 0.0528985+0.0145682j -0.0678041+0.00870856j 0.00263269+0.00471532j -0.00701342-0.0411012j 0.00944988+0.0248246j -0.0296287-0.0754295j -0.00943041-0.00403109j -0.0290378-0.0412891j -0.0653772+0.00423821j -0.0317953+0.00316814j 0.0186491-0.0301152j 0.000587137+0.0281454j 0.0100103+0.0152781j -0.0163578-0.0111942j 0.0275355-0.0402522j 0.00941541+0.00450721j 0.00616155+0.0528728j -0.0143906-0.0118274j -0.0215726-0.0229605j -0.000105955-0.0443613j -0.035094-0.0524732j 0.025861+0.01487j 0.00720439+0.00182875j -0.041769-0.0311104j -0.0168115-0.0100739j 0.000964958-0.007904j 0.0571362-0.011262j -0.0768437+0.00376661j -0.0149213+0.0246292j -0.0490595+0.0383131j -0.0445299+0.0251526j 0.0142109+0.0090062j -0.0299579+0.0527777j 0.0294912+0.0757265j 0.143936+0.0884984j -0.0466905+0.0238951j -0.0423551-0.0655049j -0.0339362-0.0364902j 0.0993151+0.0163969j -0.0611722-0.133365j 0.00542929-0.0903301j 0.161238+0.0921488j 0.048833-0.0509045j -0.00221381+0.154752j 0.0246831-0.0618128j 0.023089-0.0872183j 0.0866684-0.157962j 0.143513-0.0847008j -0.018716-0.0324687j -0.0935328+0.0508485j 0.0195562-0.0921824j -0.0962391+0.0157695j 0.0042584+0.253449j -0.0631829+0.115331j 0.0316718+0.0248158j -0.041726-0.12167j 0.00463263-0.286824j 0.355534+0.130454j 
0.0500642-0.134469j 0.0306464-0.02239j -0.0548689+0.0395372j 0.0246563-0.0350529j 0.0440367-0.0538823j -0.0364777+0.00405146j 0.0658718-4.16334e-17j 0.0124116-0.0522501j -0.0419048-0.0140431j -0.0361089+0.0360785j 0.0164612+0.0284537j -0.0483856-0.0217348j 0.03656-0.0615868j -0.0245373-0.0221215j 0.00487929-0.0297086j 0.0689319-0.011556j -0.0552271+0.00710857j -0.0122732+0.00205049j -0.015397-0.00295414j -0.0224633-0.0301346j 0.0210579-0.016122j -0.0239322-0.0325146j 0.0419755+0.0233613j 0.0292529-0.00766639j 0.00841865+0.0116677j 0.0143802+0.0278443j 0.0297147-0.0184139j -0.0438412+0.0251541j -0.0400849-0.00417135j -0.0078108+0.0558809j -0.00163302-0.0253515j -0.0107236+0.0325723j -0.0170527+0.0394084j 0.0059003+0.0428821j 0.00663535-0.00128351j 0.0326188-0.0506358j -0.0181025-0.0111929j 0.0319258+0.022267j -0.00737809+0.00907373j 0.0137011-0.025285j -0.0600556-0.0273343j 0.016711+0.0512631j 0.042281-0.0517004j -0.04391+0.00733686j 0.00448979+0.0436964j -0.0319275+0.0120869j -0.0464842+0.0552125j -0.0163343+0.018448j -0.0544018-0.0145012j 0.00923941+0.0754384j 0.0228813-0.0261141j 0.0453112-0.03397j 0.0252282+0.0425422j 0.127941-0.0384734j -0.00772006+0.128737j 0.0495283+0.207945j -0.0167825-0.0624451j 0.012664-0.107722j -0.0497512-0.0536223j 0.101532-0.0616833j -0.0302338-0.0580006j 0.197031-0.0417859j 0.144373-0.0151683j -0.11625+0.0243449j -0.0625401+0.0803136j -0.023365+0.223726j -0.0923386+0.0140445j -0.108984+0.0308766j -0.110287+0.161512j 0.0628283-0.110455j -0.35161+0.0271633j -0.0872778-0.264432j 
0.0292734-0.0425567j 0.00114238-0.0685249j -0.0533105-0.0833299j -0.0632249-0.00589979j -0.0680575-0.00120003j -0.0598384+0.046623j 0.0124116+0.0522501j 0.0243684+7.28584e-17j -0.0132701-0.0199769j -0.0492239+0.0708455j 0.0399584+0.00257859j -0.00461376-0.00803225j -0.0330288-0.00108723j -0.00575455+0.0667363j -0.0292131-0.00517104j -0.00797625-0.0712049j 0.0199953+0.0228337j -0.0428667+0.0251759j -0.0540342-0.046481j 0.0533572-0.0441087j 0.0206432-0.0498171j 0.0272101+0.0645087j -0.0269209-0.033399j 0.0135461-0.0443584j 0.0576383+0.0263786j 0.0310883+0.0280975j 0.0233454-0.00564557j -0.00392304-0.0250033j -0.00721423+0.0394712j 0.0304787-0.0435132j -0.00902734+0.0356805j -0.0113119+0.0362572j -0.0281125-0.00028312j 0.030616+0.0295827j 0.0295779-0.0315685j 0.0412188+0.0376805j 0.00972705-0.0369699j -0.00833495+0.0400559j -0.00990255+0.0740222j 0.0223396+0.0145916j 0.0672997+0.00258203j 0.0755298-0.0121676j 0.0133794+0.0216267j -0.0596537-0.031449j 0.0203658-0.0986469j 0.00926468-0.00209988j 0.0399793-0.0302698j 0.00604291+0.0836943j -0.0422669+0.0528828j -0.0867106+0.0290656j 0.029335-0.0198153j -0.0515258+0.0292951j 0.027995-0.107078j 0.100291+0.0463574j -0.0865919+0.170028j 0.00490356-0.120762j 0.0298373-0.0967984j 0.153172-0.100583j 0.136257-0.0641139j 0.0525672-0.0227289j 0.204237+0.025832j -0.0802153+0.109646j 0.0493965+0.0713322j -0.0965355-0.0170793j -0.0544164+0.0480492j -0.0638246+0.0807958j 0.0162098-0.0732472j -0.278229+0.0504009j 0.147999+0.0928793j -0.105001+0.342862j 0.00299077+0.0909609j -0.0476547+0.0796669j 
-0.0182505-0.0344675j 0.0237801+0.0456285j -0.0247687+0.057587j -0.00789177-1.19701e-05j -0.00553028+0.0159137j 0.056051+0.0260855j -0.0419048+0.0140431j -0.0132701+0.0199769j 0.0349115-3.33067e-16j -0.0749917+0.00424295j 0.0526247+0.0261886j 0.0213619+0.0171648j -0.0300103+0.0173218j 0.037891+0.066828j 0.0555791+0.0335733j 0.0516031+0.0371935j -0.0107531-0.010875j -0.0316637+0.02828j -0.0936164-0.0256322j -0.0323134+0.0341044j -0.0359946+0.0268495j 0.0296345+0.0599005j -0.0234302+0.0355179j 0.0515495+0.0489252j 0.00240486-0.0104378j 0.0186607+0.0240535j 0.00932059+0.0191024j 0.0339493-0.0216308j -0.0394414-0.038758j 0.0219877-0.0210247j 0.0552166+0.0294322j -0.0158136-0.000625158j -0.00628497-0.0226241j -0.00638335-0.00984167j -0.0592633-0.00115619j -0.0197007+0.00980938j -0.0972994+0.125616j 0.01631+0.0190772j 0.0575668-0.0230041j 0.0357597+0.00985009j 0.0232287+0.0316534j 0.0254621+0.00501837j 0.0359811+0.0349586j -0.011489-0.0897741j -0.0557188+0.0849774j 0.0565558-0.0988001j -0.0832283+0.0551439j -0.0788307-0.0834126j -0.0540691-0.194776j -0.0409266+0.0255718j 0.0239505-0.089469j 0.0726226+0.0200976j -0.139167+0.0390169j 0.0653405-0.0672605j 0.0384627-0.0139047j -0.125699+0.136954j -0.0847493-0.0189006j 0.0322248-0.128765j 0.00886803-0.0679815j 0.0231368-0.0468475j -0.0594496-0.149777j 0.0211922-0.0229658j -0.086188-0.0161454j -0.0110042-0.195311j 0.0566705-0.0042886j 0.0598509-0.0366289j 0.0808171-0.027538j -0.11107-0.0352483j -0.09692+0.133664j -0.00483134-0.0801917j 0.0792331-0.0285633j 0.0308946-0.0495126j 
-0.0179094-0.067539j 0.017242+0.0293063j -0.0330066+0.0876829j -0.00579337-0.0183208j -0.0335819-0.0498476j -0.0267094+0.0304005j -0.0361089-0.0360785j -0.0492239-0.0708455j -0.0749917-0.00424295j 0.00475062-3.05311e-16j -0.0115393-8.27541e-06j 0.0350724+0.025732j -0.0810731+0.00838364j 0.0672768-0.0129562j -0.0348858-0.0228849j -0.0395373-0.071632j -0.0137991-0.022942j 0.0488456+0.0722422j -0.0021986-0.0121536j -0.0374495-0.0294122j 0.0435778-0.000733747j 0.0306041+0.00787427j 0.0228821+0.0385168j 0.0507026-0.0411409j 0.0214321+0.0217073j -0.0284251+0.0263646j -0.00169549-0.0171798j 0.00600453-0.0795702j -0.0290003+0.0439849j -0.0284545-0.0346626j 0.0280822+0.0140762j 0.0360214-0.0084962j 0.00128651-0.098736j 0.0102216-0.021367j -0.0354303+0.0519577j 0.0169368+0.0383108j 0.0475184+0.0265995j -0.0064618+0.00325314j 0.0369116+0.0789168j -0.013523-0.058967j 0.0439858-0.0137588j 0.0255924+0.00369609j 0.0178805-0.0101674j 0.00122057+0.0202094j 0.0707977+0.0756928j 0.0678394+0.136578j 0.0916287-0.148201j 0.132797+0.0626362j 0.108738-0.0795941j -0.090868+0.00138274j 0.0321017+0.0756096j -0.0727469+0.115927j -0.0129433-0.14557j -0.0325449+0.0552102j 0.0865354-0.0774199j -0.148085-0.0915104j -0.0426475-0.0235327j 0.0200792-0.107545j -0.0372071-0.0192263j -0.109591+0.0945755j -0.0487166+0.0163352j 0.0070101-0.113012j 0.0154299+0.172885j 0.0661569-0.0509902j 0.0696341+0.00575706j 0.0785063-0.00656676j -0.0405826+0.0184413j 0.056911-0.0567711j 0.0652306-0.0432937j 0.0257023-0.0153546j -0.0492097+0.0138494j 0.0978215-0.0622163j 
-0.00872402-0.0603095j 0.0471197+0.0449973j -0.0467167+0.0553986j 0.00530962-0.0478205j 0.0415538-0.0391466j -0.0348122+0.0255245j 0.0164612-0.0284537j 0.0399584-0.00257859j 0.0526247-0.0261886j -0.0115393+8.27541e-06j -0.0550708+1.249e-16j -0.0479559+0.0466698j 0.00500061-0.0367375j -0.00988-0.0689782j 0.0780485-0.014306j 0.0103362-0.0243534j -0.0104609+0.0197269j 0.0071197-0.0410963j 0.011851+0.0463145j -0.0395323-0.00532705j 0.00257249+0.0373645j 0.0190097-0.0591j -0.0266572-0.0472695j 0.0500948-0.0119178j 0.00134865-0.0999749j -0.00974215+0.0174121j -0.00966196-0.0344689j -0.0421968+0.0284069j 0.0256098+0.0378738j -0.0113012+0.0573471j -0.0702203+0.0187245j -0.019686+0.0335277j 0.0101243+0.05514j 0.0528678-0.00352441j 0.0633389-0.0389048j 0.0499368-0.0156509j -0.0135208+0.0553864j 0.0304751+0.0201488j -0.046002-0.0538921j -0.0128281-0.13605j -0.0476724+0.0162562j -0.0164466+0.00449668j -0.0191966-0.0465349j -0.0907473-0.0188636j -0.0903762+0.00244087j -0.230958-0.0794497j 0.0138021-0.142093j -0.0323468+0.144334j -0.0535511+0.0561709j 0.0157734+0.0467238j -0.00632529-0.104363j -0.00238728-0.0445043j -0.0902706+0.198309j -0.190141+0.105867j 0.065771+0.00637052j 0.0480676-0.0908309j -0.0376731-0.0360081j -0.0156128-0.00645179j -0.0511097+0.0029656j -0.0546393-0.000566693j 0.0281272+0.0362905j 0.0456976+0.148099j -0.0163648+0.0599487j 0.0317507-0.0243355j 0.0654879+0.110052j 0.213255-0.0449818j 0.150028-0.146296j 0.0658164-0.156231j 0.0790448-0.127739j 0.169014+0.0216361j -0.0744125-0.0105978j -0.0128607-0.0527567j 
