-0.191241+0.0106059j -0.011566-0.192404j -0.0739131+0.0404712j 0.0512649+0.0747339j -0.00661386-0.0971894j 0.117805+0.0835121j -0.144241+0.038704j 0.113578-0.192214j -0.188863-0.108094j -0.105751-0.0141333j -0.0253017-0.133824j 0.0634212-0.07419j -0.225228-0.0864828j -0.014553-0.0662454j 0.0539265+0.0984577j -0.0379927-0.163091j -0.0200139+0.0670763j -0.0627195+0.144324j 0.0364079+0.0800104j 0.0364716-0.0242781j -0.00941291+0.0556619j 0.114878-0.0117792j -0.071224+0.0136855j -0.0187522-0.196022j 0.116338-0.095436j 0.0184584-0.00220744j -0.00978373-0.144839j -0.134247+0.138922j -0.0704756+0.0374076j -0.0668652+0.0719544j 0.142881+0.0457662j 0.0847752+0.0283591j 0.0353577+0.0470574j 0.0709196-0.0830778j 0.124519+0.0845164j 0.145799-0.153785j 0.192659+0.0787709j -0.0373528+0.136859j 0.0753323+0.0241469j 0.0688964+0.0404024j 0.03016-0.1182j -0.108494-0.0243191j -0.0469293-0.0672755j -0.0757279+0.0558988j 0.193244+0.179338j -0.17612+0.208856j -0.111345+0.0189778j -0.110524-0.106677j 0.093317-0.121245j 0.0655081+0.0725182j 0.0437738+0.0296113j 0.0362641-0.0136878j 0.023289+0.0179404j -0.040025+0.0723155j -0.0381043-0.0106849j 0.0545052+0.0284623j -0.0121507+0.043232j -0.000301736+0.0243286j -0.0235582-0.00869493j -0.0327958-0.00556846j -0.0247713-0.033077j -0.000592821-0.0015605j 0.00126419+0.0172065j -0.014097+0.0209286j -0.0216778-0.0186624j 0.026002+0.00448271j -0.00879594+0.0101197j -0.00145039-0.000696465j 0.0135789-0.0275395j 0.0184802-0.00406347j 0.00400208-0.00948257j 0.0176536-0.0284817j 0.0229876-0.0220088j 0.0198019-0.00561623j -0.00763627-0.0113115j 0.006071+0.00183675j -0.0212892-0.0164553j -0.00658822-0.0185575j -0.00571538+0.0131818j -0.00848349+0.00630881j -0.00802345+0.004281j -0.00360363-0.00997797j 0.0165528+0.00522462j -0.0181078+0.00952497j -0.0313569-0.0174598j -0.0122169-0.0126154j -0.00632047+0.0232749j 0.0164207-0.0217629j 0.0134177+0.0156181j -0.0119459-0.0103645j -0.0206107+0.00994285j -0.013546-0.0295824j 0.0225877-0.014785j 0.00870608+0.00827322j -0.00966081+0.0223829j -0.0214114-0.00821181j 0.0226798-0.0675746j -0.0672337-0.0222147j 
0.247999-0.0219356j 0.0234735+0.249126j -0.124864+0.0347953j 0.0358153+0.135892j 0.0694091-0.0191158j -0.0116486+0.0383936j -0.00425886-0.0300512j 0.0358052+0.00636487j -0.024276+0.00368887j 0.0107022-0.00571496j -0.0113275-0.0657357j -0.025926-0.0147124j -0.0719551+0.0179252j 0.0499648+0.00975459j -0.00324584+0.0223657j -0.0266672+0.00180713j -0.00949787+0.0216672j -0.0143785+0.0702703j 0.0419823+0.0358181j -0.00714725+0.0154677j 0.000202676+0.0547051j 0.0578952-0.0233645j 0.00160275+0.00600995j -0.0479473-0.0562216j 0.0426644-0.0325765j 0.0151652-0.0165593j -0.00694048+0.0123878j -0.0309625+0.0198261j -0.052884-0.0122072j -0.0226056+0.016361j 0.0479736+0.0405232j 0.0186683-0.0048125j 0.0442-0.0153687j 0.0125273-0.0470794j 0.0217694+0.0463238j -0.00154525-0.0166395j -0.0173136-0.00159066j -0.0106316+0.032418j 0.045157+0.0227j 0.0213177-0.0410765j 0.0220189+0.017259j 0.0200853-0.026829j -0.0127779-0.104598j -0.112012+0.0317515j -0.0075725+0.0182239j -0.00087613-0.0324288j 0.090339+0.0468059j -0.0578349+0.0588084j 0.05966-0.0657007j 0.084911+0.131806j 0.089439-0.102246j 0.0211363-0.0309204j 0.0266386+0.106495j 0.0778648-0.00524039j 0.177518+0.00854088j 0.0156608-0.0426472j 0.0993082-0.0299543j -0.042665-0.0168732j 0.0470872+0.142957j 0.0645042-0.0280628j 0.064646+0.0211706j 0.00596741+0.147141j -0.050207-0.135616j -0.0557928-0.0766014j 0.0420057+0.0576552j 0.0536849-0.0813949j 0.0228208-0.0180365j -0.0547791-0.0959942j 0.0143653+0.0358821j -0.148925+0.0408945j 0.0215026-0.0187371j 0.00920657-0.0171691j -0.0796352+0.101589j 0.0152388-0.024929j -0.026844+0.025382j -0.0314826-0.0366184j 0.118806-0.0911571j -0.030208+0.141227j 0.0533533-0.106288j 0.0496022-0.0780616j -0.149732-0.0141637j -0.0434209+0.0700241j -0.0607905-0.000215974j 0.0600399+0.044777j 0.145902+0.0935951j -0.13995-0.0551789j -0.035988+0.0336321j -0.0269831+0.0973957j 0.0264983-0.0166939j 0.0351274+0.064354j -0.0307937-0.103742j 0.100866-0.0622252j 0.0350203+0.0205963j 0.081746-0.00841666j 0.1257+0.184452j -0.17435+0.115226j -0.0772155+0.266558j 0.265307+0.0753338j 
-0.0231934+0.105407j -0.106191-0.0236665j 0.0799581+0.153154j 0.159797-0.0814288j 0.022925+0.00397203j -0.0975037+0.0909123j -0.0832245-0.1221j 0.063832-0.00395155j 0.0248841+0.0162397j 0.0189508-0.015905j 0.0355285+0.010943j -0.00429042-0.0269893j -0.0147511-0.0201231j -0.0163508+0.0287414j 0.0087534+0.0252433j -0.0108213+0.0110381j -0.0212266-0.0238121j -5.48065e-05-0.0155951j -0.0380952+0.0241854j 0.0138758-0.0301828j -0.0153892-0.00617005j 0.0169828+0.00565271j 0.0231042-0.0223067j 0.029723-0.0171072j 0.00264607+0.0191716j 0.00183907-0.00794793j -0.00943787-0.0106505j 0.00201565-0.0251383j 0.0152971-0.00797169j -0.031504-0.0350612j -0.00622529+0.0219146j -0.0075292+0.0161981j -0.00658661+0.00744866j -0.00328055+0.0239934j -0.0579268+0.00566201j -0.00634828+0.0254536j -0.0590511-0.0305518j 0.0474149-0.0473378j -0.0168889-0.0376628j 0.00374896-0.0417298j 0.0135688-0.10582j -0.107358-0.0150618j -0.111332+0.0297933j 0.0516463+0.102812j -0.142398-0.00491077j -0.017328-0.175784j 0.118105-0.0423888j -0.0213288+0.0602619j 0.0297359-0.170118j 0.177642+0.0583067j 0.0365358-0.0301251j 0.0792227-0.00553294j -0.0365642-0.000141568j 0.0404128+0.054298j -0.0832855+0.169148j -0.0319747+0.01148j -0.0620011-0.0818418j -0.0687405+0.0408875j -0.0065595+0.0644947j -0.0389426-0.011113j -0.138138-0.00675784j -0.0801349+0.019478j 0.00384334+0.0774604j 0.0942416-0.0110688j 0.0850127-0.0409792j 0.100586-0.0294391j 0.0588464+0.0112754j 0.0694863+0.0576366j -0.0226741+0.0102394j 0.0372745+0.128846j -0.00141905-0.0275337j 0.00109127+0.059553j -0.0437237-0.0188323j 0.0531935+0.0238534j -0.114766-0.0809165j -0.0887304-0.00325262j 0.0253423+0.0603838j 0.0457032-0.00709741j 0.0405083+0.111918j 0.0353698+0.0465552j -0.048666+0.00468191j 0.0680771-0.0828544j 0.0317968+0.128849j 0.0591512-0.0230912j -0.00577699+0.0893433j 0.111981-0.138997j -0.0855615-0.0528812j -0.0306105-0.0627297j 0.0859436+0.0578435j -0.050549-0.0342461j -0.23162+0.0241965j 0.0860711-0.283674j 0.164187+0.13531j -0.0954147-0.0170446j 0.216595-0.0273779j 0.0208958+0.208961j -0.0966469-0.137541j -0.137339+0.096983j 
-0.00368504-0.0206126j 0.0202104-0.0046371j 0.00180454+0.0246031j 0.0251368-0.00106983j -0.00801949-0.00442236j 0.00884984-0.000225683j -0.00824601+0.0125403j -0.0106301-0.00924319j -0.00464457+0.00270351j -0.00193009+0.00692379j 0.00197816+0.00570235j 0.0010085+0.000466654j 0.00123721-0.00799241j -0.00474536+0.000952429j -0.00193064+0.00264411j -0.00517292+0.00258616j 0.00442395+0.00424242j -0.00123131-0.000587945j 0.00222494-0.00231298j -0.00572604+0.00181776j 0.00299658+0.00448099j -0.00167415-0.00479657j 0.00430967+0.00213667j -0.00420367-0.0004536j -0.00484981-0.00279683j 0.00082299+0.000868854j 0.00532154+0.00371002j -0.00354326+0.00405571j -0.0057363-0.000627278j -0.000502327+0.00280218j 0.00188973-0.00157431j -0.00321191-0.00551751j 0.00142071-0.00580897j -0.00214062-0.00635024j 0.00454778-0.00238304j -0.00102433+0.000964036j -0.0010166-0.00179251j 0.00539368+0.00547692j 0.00531893-0.00533268j 0.00699665-0.00256023j 0.013446+0.00423927j 0.00368271-0.0119055j -0.0304578+0.00820546j 0.00892723+0.0267182j -0.0154833+0.0107562j -0.0131084-0.015095j 0.000332182-0.012481j 0.00928584-0.00386649j -0.00946188+0.00379806j -0.00877976-0.0299958j -0.0264298+0.0217294j -0.00978739-0.000776948j 0.00599977-0.0282855j -0.0358452-0.00996158j -0.0382382-0.0248574j 0.0016342+0.0136307j -0.0192694-0.00559678j 0.00155046+0.0218134j 0.00212674-0.0372362j -0.0229066-0.00126678j -0.0244028-0.000774005j 0.0109028-0.049468j 0.0144066+0.0241104j -0.0034036+0.0123596j 0.00179538-0.0163291j -0.0133707+0.026063j 0.0116306+0.0030158j 0.0174032+0.0175323j -0.0127312-0.00519257j 0.0419257-0.00489299j -0.00154798-0.00674903j -0.0204522+0.00263057j 0.0210274-0.0165265j -0.0291178-0.00194932j 0.00193302-0.0277266j 0.0228418+0.0260016j -0.0203426+0.00960242j 0.0136361-0.0205303j -0.00561964+0.042161j -0.00416084+0.01305j 0.0370227-9.58376e-05j 0.017524-0.0267108j 0.00439931-0.0184932j -0.0182389-0.00300637j -0.0324275-0.00411217j 0.0102095+0.00185208j -0.0113733+0.0146444j -0.00797272-0.00987948j -0.00623606+0.00214633j -0.037233-0.0106376j 0.0091304+0.0400093j -0.00834714+0.00101539j 0.0101454+0.0156152j -0.028074+0.0120317j -0.0331406+0.0248554j -0.0250682-0.0290927j -0.0336444-0.013239j -0.012156+0.0352375j 
-0.018404-0.0189917j 0.0194149-0.0187803j 0.00164244-0.00431106j -0.00613315-0.00369347j -0.0188315+0.00360812j -0.0110277-0.0156955j 0.00157847-0.0122341j 0.0027284-0.00705025j -0.00782207+0.00159447j 0.00704423+0.00855238j 0.00813675-0.008143j -0.00680517+0.00138913j -0.00464545-0.00567562j 0.00353942+0.00908782j 0.000566149+0.00124819j 0.00173145+0.00676474j 0.00354062-0.00411025j -0.0033505+0.00256211j 0.000943616+0.000606069j -0.00511106+0.00871756j 0.000916209-0.00159517j -0.00381722-0.000232982j 0.00356565-0.00608839j -0.00823624+0.00366768j 0.000420314+0.00315848j 0.00192102+0.000942942j 0.00260285-0.000781321j 0.0113076+0.00420148j -0.00604299+0.00154471j 0.00343782+0.00755655j -0.00551822-0.000925333j -0.00503111-0.001427j -0.00244083-0.00428971j 0.00119923-0.00809153j 0.00586952-0.00164152j 0.00318421-0.00556152j 0.0151003-0.0012826j -0.0021627+0.00905405j -0.00095519-0.00231962j 0.00244686+0.0145495j -0.00679254+0.00966809j 0.00875331+0.00744584j -0.00823188-0.00465808j -0.00337048+0.00536133j -0.0120667-0.0210636j 0.0170231-0.00913514j -0.0189177-0.00115981j -0.000556258-0.0356691j 0.0322425-0.024079j 0.033546+0.00859886j -0.0302512-0.0208562j 0.0100471+0.0161081j -0.00767994+0.00799219j 0.0154912-0.0150605j 0.00321834+0.027669j -0.0263301-0.0162701j 0.0107882-0.031002j -0.0192044-0.00710818j -0.0205842+0.0217142j -0.00320351-0.00317887j -0.00792961-0.00612736j -0.0189524-0.00670085j -0.00524219-0.00516815j 0.0146636-0.00542102j 0.0192943-0.0155795j 0.0114535+0.0130979j 0.0213415-0.00373182j -0.00205136-0.00399786j -0.0186588-0.00984903j 0.00516712+0.0109663j 0.00704657+0.0149899j -0.00972504+0.00574244j 0.00563172+0.000617311j 0.00969234+0.017716j -0.0191859+0.00142946j -0.0121439-0.0218299j 0.0211341+0.00146572j 0.012833+0.000191261j 0.00326242+0.0316188j 0.00296274+0.000823138j -0.000750125+0.00828081j -0.0240588-0.00398783j -0.00259086+0.00753441j 0.00321112-0.00865696j -0.0161994+0.0218231j 0.0315527-0.0316097j -0.0108729-0.00670736j -0.000113184-0.0405898j 0.0308716+0.0147578j -0.0100725-0.0166277j -0.0310405+0.0166671j -0.0204454-0.00982161j -0.0131867-0.0207099j 0.011467-0.0212487j -0.0156448-0.0159218j 0.0154417-0.0152541j -0.00219316+0.0344937j 0.0339361+0.00289482j 
-0.015717+0.00495898j -0.00455455-0.0156136j 0.0228805-0.0053899j -0.00627832-0.0232368j -0.00410191-0.010841j 0.0139382-0.0067846j 0.00774612+0.0079618j 0.00409458+0.0125865j 0.0015067-0.0158685j 0.00122535+0.00792154j 0.0240853+0.00538563j 0.0130085-0.003659j -0.00397941-0.0242344j -0.00601507+0.0168793j -0.00985459-0.00172357j -0.00180483-0.00464691j 0.00677996-0.00666322j -0.0223523+0.00355528j -0.00863337+0.00222183j -0.00497258+0.00618412j -0.00629499-0.0022511j 0.00428143+0.00973666j 0.00476374-0.00491533j -0.00160594-0.00677936j 0.010523+0.0141578j 0.00300659+0.0118446j 0.000326145-0.0108438j 0.010186+0.00791303j -0.00505776-0.0143784j -0.00622039+0.00155447j -0.0114377+0.00919915j -0.00439293-0.000469375j -0.00740181+0.00488127j 0.0162085-0.0107453j 0.000879766+0.00503864j 0.00417958-0.00229635j 0.00894549-0.0103592j -0.00456213+0.00485987j -0.00111726+0.00614606j 0.0172728+0.00462252j -0.0157543+0.00268711j 0.00400148+0.016555j -0.0171842-0.00151537j -0.00463578+0.0164557j 0.00585844-0.0146264j 0.0167615+0.0032804j 0.0123967+0.0117769j -0.00412514+0.0208563j -0.0194352+0.01128j -0.0156907-0.00633712j 0.016096+0.00927158j 0.00360187-0.0139656j 0.00646297+0.00556689j -0.00190233+0.00333723j 0.00884075-0.00297517j 0.00425154+0.00841761j -0.00995224+0.00884327j 0.00444429+0.00185461j 0.00752151-0.00368974j 0.00303378-0.00117254j 0.00380766+0.000824029j 0.00735222+0.0133213j 0.00060794+0.00227112j -0.000537286+0.00231223j -0.00487653+0.00545498j -0.00254886-0.0075066j -0.00722164-0.0013942j -0.00276884+0.00409588j 0.00665063+0.00730311j -0.00468819+0.000462116j -0.00258577-0.00363861j 0.00730278-0.00439298j -0.00313112+0.000374078j 0.00322064-0.00896572j 0.0078602+0.00332944j -0.00384354+0.00526791j -0.0070928+0.00142165j -0.00256011-0.00161834j 0.000245851-0.0147961j -0.00154185-0.000984807j -0.00253582+0.00120698j 0.0113327+0.0014166j 0.00836167+0.00425867j -0.000382442-0.00196859j 0.00972142-0.0102157j -0.00498702+0.00820349j 0.000929724-0.00547971j -0.00156268+0.0137978j -0.0122004-0.0122248j 0.0143221+0.000685496j 0.00663219-0.0106889j 0.00626242-0.00118061j 0.0105767+0.00321174j 0.000877547+0.0105908j 0.00782912+0.00169815j -0.00229743+0.00819179j 0.0088637-0.0123726j -0.0127273-0.00896759j 
0.0117322-0.00886429j 0.008568+0.0117065j 0.00202945-0.0106322j -0.00902506-0.00254618j -0.019533-0.00398446j 0.00131111-0.0209134j 0.0125349-0.00987596j 0.0211375-0.00782205j -0.0148089-0.0195103j -0.0146796-0.00729542j 0.00405111-0.00379138j 0.0117369-0.0129864j 0.0012462-0.0177871j -0.00159284-0.00865187j -0.0164609+0.00806543j -0.00343123-0.00239384j 0.00991596+0.00234528j 0.00624454-0.00221436j -0.00817134-0.0116478j 0.00914865-0.0053329j 0.00515575+0.0045384j 0.00251924-0.00819215j 0.00278074+0.00827727j 0.00870881+0.01265j -0.0128905-0.00186115j 0.00596113+0.0163183j 7.16277e-05-0.00604515j -0.00972845+0.00325504j -0.0013271-0.00316473j -0.00471826-0.00770504j -0.00772505-0.00702477j -0.00221866-0.0128607j -0.0122181+0.00484773j 0.00959365+0.00361288j 0.00717575-0.00392519j -0.0234632+0.0169662j -0.0109725-0.022j -0.000263954-0.00247109j -0.000308451+0.0154268j 0.0126664-0.00763384j 0.0101587+0.00460473j 0.00684563-0.00961035j 0.00297302+0.0135969j 0.0131596+0.000271519j 0.011211+0.00963095j -0.00825086+0.0151608j -0.0129132+0.00907862j -0.023511-0.0111522j 0.00256548-0.0251568j 0.0145713-0.00581099j -0.0170991+0.00221933j -0.000558024+0.0153351j -0.00743211-0.00784431j 0.00723045-0.00417746j -0.00590484+0.00381267j -0.0107316-0.00368149j 0.00798233-0.00731626j -0.00880775-0.00362405j 0.00202525+0.0132113j 0.000463534+0.00166651j -0.00239651-0.00171262j -0.0104634-0.00342824j -0.00634482-0.00378756j -0.00158584-0.00308978j -0.0010764+0.00128935j 0.00327542-0.00185108j -0.000815628+0.00389069j -0.00150397-0.00390981j -0.00413228-0.00872278j 0.000763998+0.000473269j 0.00620412+0.0027705j -0.00236956+0.00730664j 0.000200654+0.00203667j 0.00471974+0.00946377j -0.00410758+0.00402281j -0.0029709-0.00640205j 0.00487589-0.00595332j -0.00359825-0.000339204j -0.00260684+0.00771251j 0.00247725+0.000238088j -0.00264789-1.71377e-05j -0.0121242+0.0106113j -0.0105753-0.00185155j 0.00129611+0.00263217j -0.00848131+0.00856639j -0.00103401-0.00206394j 0.00721827+0.00809112j 0.00575234-0.0156302j 0.0125614+0.013678j -0.0142811-0.000132462j -0.00360782+0.00725444j -0.00351241+0.00819002j -0.0174466+0.00182559j -0.0051748-0.015084j 0.00541623-0.0157289j 0.0158086+0.00483519j -0.00572924+0.00253345j 0.00272688+0.0056583j 
-0.00619229+0.0029033j -0.00286451-0.00639658j -0.0150755+0.0129175j 0.013983+0.0136628j -0.0132347-0.00917664j 0.00342522-0.015082j 0.00595771-0.0041947j 0.00712244-0.011396j 0.00339167-0.00507643j -0.0087468-0.015371j -0.00585961+0.00590907j 0.0128615+0.00306959j -0.00072049+0.00415495j 0.0133866-0.00349038j -0.0044035-0.00676839j 0.00450304-5.62961e-05j 0.00177111-0.00504861j 0.00816969-0.00204491j 0.00466152-0.00917457j 0.000328276+0.00580894j 0.000377176+0.0159904j -0.00807862+0.000885781j -0.00253028-0.00035124j 9.99376e-05+0.0143798j -0.00610814+0.00186629j -0.00252098+0.00443072j 0.00450659+0.00263052j -0.00107727+0.00286311j -8.2861e-05+0.00581037j 0.0161148-0.000591532j -0.00489835+0.00177379j 0.00174663+0.00386819j -0.0138658+0.0028329j 0.00486375+0.012796j -0.00900338-0.00279822j -0.00518648+0.0123171j -0.00499353-0.00252784j 0.0124194+0.0193395j 0.0219058-0.0130997j -0.00991511-0.00736437j 0.00257796+0.0256364j 0.02468-0.00331886j -0.000722817-0.0169932j -0.0169842+0.00392771j 0.0182204-0.00106769j 0.00159276+0.015663j 0.00509869-0.00872993j 0.0181631+0.0106107j -0.00253331+0.0120779j -0.0005294+0.00717601j 0.015297-0.00330894j 0.0217623-0.0199109j 0.00994301+0.0257623j -0.00761799+0.0049752j 0.0125383+0.0122855j 0.00706112+0.00330876j -0.0173723-0.00705062j 0.00885997+0.00777285j -0.0166369-0.0151449j -0.00726499-0.00361622j -0.0020983+0.000627193j 0.00472041+0.0112723j 0.00403989+0.00317626j 0.0128766+0.0103983j 0.0112248-0.016383j 0.00372327+0.0130693j 0.0161811-0.0159029j -0.00298274+0.00576043j -0.00496905+0.0146837j 0.00224598+0.00121822j -0.00886575+0.00452491j 0.00571915-0.00842418j 0.00623884-0.00803956j 0.00217567-0.00397407j -0.00570876-0.00307398j -0.000600734-0.00380393j -0.00223377+0.00996511j 0.0134326-0.00340237j 0.0170189+0.000418989j -0.00209946-0.00227623j 0.00694231+0.0051208j 0.00540244-0.0215383j 0.0192889+0.0138042j -0.000894963-0.0118247j 0.0133995-0.00144667j 0.0220503-0.0160772j -0.0137411-0.0218215j -0.0157635+0.00739384j -0.00947356-0.0219059j 0.0268257-0.00596133j -0.00622641-0.0101313j -0.0105053-0.0203062j 0.0259812-0.0290703j 0.0272178+0.0195908j -0.0242439+0.0171499j -0.0157431-0.0226868j 0.00936623+0.00864481j 0.00861425-0.00911034j 
-0.00584635-0.00813168j 0.00807895-0.00611497j -0.0244756-0.0108597j -0.00919024+0.0255973j 0.00525418-0.0185088j 0.0210756+0.000912725j 0.0051659+0.00929231j 0.00909558+0.0090777j 0.00356705+0.00856872j 0.0201527-0.00682167j -0.00304418-0.00745006j -0.00576914+0.00478879j 0.00571765-0.00904105j -0.0109885+0.00102696j 0.00257672+0.0076708j 0.000420012+0.0066927j 0.00688394+0.0107081j 0.0032264-0.00583622j -0.00814292+0.000815543j 0.0107514-0.00301165j 0.000969913-0.021231j 0.00330234-0.00246836j 0.00234284+0.00271918j 0.00203864-0.000565117j -0.0102354+0.000294979j 0.000774138-0.00125432j -0.00552446-0.00495025j 0.000983355-0.00881873j 0.0076834+0.00286763j -0.0104052-0.00284702j -0.00482469-0.0135527j -0.0108909-0.0101778j 0.0134044+0.00142894j -0.0100297-0.0120084j 0.0113656-0.0146449j -0.00163097-0.0111255j 0.00739426-0.0127317j 0.00706027-0.0237143j -0.0292352+0.0011856j 0.00998249+0.0156995j 0.0317391+0.00547742j 0.00610367-0.0303485j -0.0021311-0.00741021j -0.00509249+0.00713154j 0.0124197-0.0143351j 0.0142485+0.00984341j 0.00797838-0.0067542j 0.0159193+0.0115198j -0.0039579+0.0110182j 0.00122706+0.00441367j 0.0126668-0.00986363j 0.0124253-0.0210354j 0.0141694+0.0199514j -0.00267622+0.0068873j 0.0154225+0.0092578j 0.00634052+0.00272378j -0.0161549-0.00428236j 0.0106697+0.00306991j -0.0179834-0.00937054j -0.00444929-0.00114892j -0.00244972+0.000309558j 0.00574403+0.0122412j 0.00319406+0.00105738j 0.0144716+0.00827717j 0.00738413-0.0160418j 0.00617757+0.00973482j 0.01107-0.0188154j -0.00312201+0.00684637j -0.00259714+0.016643j 3.73403e-05+0.00124076j -0.00800519+0.00623057j 0.0049476-0.00810627j 0.00479958-0.00833721j 0.00397389-0.00393664j -0.00545926-0.000103009j -0.00352772-0.00418173j -0.00128542+0.00895986j 0.013249-0.00657932j 0.0174927-0.00326658j -0.00315754-0.00120088j 0.00513846+0.00443557j 0.00354393-0.0196877j 0.0197499+0.0139468j 0.000620092-0.0106718j 0.0153121-0.00158966j 0.0213069-0.0160548j -0.0129979-0.022032j -0.0155288+0.00950819j -0.0118196-0.0214345j 0.0270217-0.00588245j -0.00340295-0.0114809j -0.0100117-0.0170916j 0.0236976-0.028538j 0.0263608+0.018919j -0.0227337+0.0116808j -0.0101711-0.0210302j 0.010002+0.00927793j 0.00934792-0.0097833j 
0.0230313-0.0033909j 0.00280605+0.0229636j -0.0140171+0.00797703j 0.00872321+0.0144818j 0.00625451+0.00082813j 0.000522356+0.00700872j -0.00492832+0.00189208j -0.00164771-0.00399928j -0.00179211+0.00286964j 0.000249347-0.000794753j -0.00155618-0.000447153j -0.000253475-0.00197786j -0.00224772-0.00153737j 0.00171765-0.000270345j -0.00276379+0.00307689j -0.00411223+0.00243577j 0.00159141+0.00494015j 0.00110946+0.00198748j 0.00342261+0.00142918j -0.0015955+0.00118595j 0.000796802+0.00668577j 0.0032704-0.0041075j 0.00222812+0.00180899j -0.00200632-0.00307657j -0.00186827-0.00144452j 0.00192304-0.000410902j 0.001191+0.00387709j -0.00595858+0.000784762j -0.0032422-0.00136021j -0.00125412-0.000484933j 0.00157119+0.00196707j -0.00217817-0.00267115j 0.00553759-0.00303803j 0.000412342-0.00406798j 0.000307657+0.00022127j -0.000466565+0.00249626j -0.00372513-0.00214706j 0.00170323+0.00342408j 0.0059259+0.000213018j 0.00447279-0.0020699j 0.00504711+0.00402691j 0.00598286-0.00438863j -0.0075358-0.005631j -0.00577143+0.00838947j -0.0106064+0.00719038j -0.00490774-0.0138975j 0.0117051+0.00196741j -0.00355962+0.00768288j -0.00588748-0.00546016j 0.00189784-0.00640761j -0.00303448-0.00181372j -0.00299489-0.00533813j 0.00727316-0.00137991j -0.00821188-0.000316759j -0.000501148-0.0114189j 0.00824456-0.00589649j 0.00457763-0.00159705j -0.00194214+0.00506873j 0.00832666-0.00571129j -0.00288528-0.00234768j -0.00758796+0.00608327j 0.00621201-0.00829635j 0.00884236-0.0062611j -0.00943673-0.00370275j 0.00250777+0.00568061j -0.00132134+0.00444069j 0.00660752+0.00385565j 0.00874365+0.00186274j -0.00230673+0.0027147j -0.000929606+0.000599578j -0.00367802-0.00571281j -0.00967541-3.81196e-05j -0.00211746+0.00145455j -0.0162458-0.00775838j 0.000243668-0.0109413j 0.0102237+0.0125031j 0.00146206-0.0025011j -0.00181701+0.0107125j -0.000379333+0.00580924j 0.00231451+0.0031627j 0.000755505-0.00190674j 0.00608861-0.0060101j -0.00441047-0.00975855j 0.00397692+0.00350963j 0.00065084+0.00641005j -0.00876908-0.00199985j -0.0068572+0.00580781j -0.00583497+0.00618059j 0.00456071-0.000427313j -0.00841407+0.00673821j 0.00155076+0.0055023j 0.00241488-0.00274269j 0.0029176+0.00470545j 0.000319667+0.0036494j 0.00470553+0.0256461j -0.0238426+0.00505011j -0.0109698+0.0220336j 0.0222206+0.0105639j 
0.0153226-0.0110138j 0.010575+0.0146316j -0.0138165+0.0015862j 0.00256629+0.0150236j -0.00347613-0.00204255j 0.00453531-0.00483484j 0.00282+0.00853148j -0.00502151-0.00215115j -0.00383785+0.0014388j 0.0020209+0.00559462j 0.00359535-0.00519225j -0.00217914-0.00107073j -0.00498592+0.000351872j 0.00250322+0.00424213j -0.000911731+0.00127468j -0.000483905+0.00291641j 0.00356293-0.00131783j -0.00487937+0.00458723j 0.00316917+0.000643553j -0.00163142+0.00357931j 0.000291086+0.00187454j 0.0022183-0.00238378j 0.000176569-0.00132418j -0.00815339-0.000866743j 0.00323462+0.000264152j 0.00315345+0.000259152j -0.00243311+0.0025322j 0.00273504+0.0020652j -0.00482446-0.00408142j -0.000252352+0.004157j -0.000190716+0.00189967j -0.000988223-0.0007276j 0.003261-0.00100438j -7.02986e-05-0.00620528j 0.00230328+0.000849829j -0.00136774-0.00295994j 0.00273568-0.00171241j -0.00081317+0.00640258j 0.00387775+0.00191269j 0.000177669+0.00225259j 0.00562025+0.0143304j 0.0129795-0.00288011j -0.00370691-0.0137515j -0.0163723+0.00542458j -0.00295597-0.00224298j 0.00508471-0.00254939j -0.00508745+9.72079e-05j 0.00704608-0.00741785j 0.000614565+0.000669875j 0.00185321-0.00860417j -0.0126699-0.00597464j -0.00388124+0.000311634j -0.00221925-0.00226491j -0.00164315-0.0117562j 0.00538694+0.00294586j -0.00727059-0.00798875j 0.0058848-0.0114337j -0.00581497+0.00344679j -0.0077997-0.000139037j -0.00364128+0.000742547j 0.000340517+0.00800993j -6.93896e-05-0.0101346j -0.00300845-0.0111981j -0.00639728-0.00141504j 0.00524731-0.00491732j 0.00360987+0.00890338j 0.0127354-0.0055715j 0.00232028-0.0102733j -0.00777174+0.000682298j 0.00320115-0.00165426j 0.000778753+0.0102729j -0.00540676+0.00441704j 0.000249355+0.00331743j -0.0064224+0.00826445j -0.00782536-0.00122154j 0.00904964-0.00356625j 0.0070771-0.00681063j 0.00487034+0.00732293j 0.00760714+0.00313399j 0.0078631-0.00468921j 0.000501825-0.00508908j -0.0149812-0.000135696j -0.00762832-0.00406113j 0.00219606-0.00127821j 0.00522099+0.0103116j -0.00138142-0.00894527j 0.00222824+0.00148048j -0.00640712+0.000352323j 0.00143457-0.000793094j 0.00357747+0.00262108j 0.00111355-0.00719727j -0.00196956+0.00427437j -0.0126426-0.0118114j 0.00947618-0.00750816j -0.0101772-0.00108035j 0.00314009-0.0103894j 0.00197283+0.0109101j 0.0117652-0.00217554j 
