0.291501+0.0873195j -0.084278+0.292114j 0.15413+0.000602652j 0.00955712-0.16463j -0.120175-0.00864978j 0.0726299-0.0561529j -0.0434731+0.120086j -0.108588-0.11349j -0.0749677+0.087098j 0.0236518-0.0375065j -0.0149707-0.114566j 0.0489669-0.0578033j -0.191053-0.056033j 0.0971823-0.0332759j 0.0747126-0.0570302j 0.0747712+0.00172363j 0.0542869+0.155934j 0.0884355-0.016793j -0.0278741-0.0646325j 0.00322597-0.156868j 0.039471+0.126023j 0.0530354+0.108967j -0.0343535-0.054691j 0.0627821-0.0675377j 0.0316951-0.0247587j 0.0450345+0.100761j 0.00940523-0.046793j -0.151827+0.0381407j 0.0377145-0.0129436j 0.0140075-0.0177954j -0.0907131+0.0994817j -0.0302441+0.0356739j 0.0295267-0.0262622j 0.0289681+0.0530649j -0.11792+0.0525174j 0.0673295-0.161435j 0.0628099-0.100783j -0.00646195-0.0520134j -0.16377-0.00400054j 0.0437224-0.0662985j -0.0876171-0.0135248j 0.0231149+0.0383354j -0.119087-0.0908301j -0.157656-0.0788554j 0.0152227-0.0190722j -0.0359027+0.0946675j -0.0298676+0.0248646j 0.0421478+0.0647664j 0.0500441+0.109864j -0.0927146+0.0731788j -0.0255848-0.0133339j -0.0739744+0.0261412j -0.166088-0.144045j 0.135093-0.152863j -0.00202367-0.285114j -0.284595+0.00447172j 
0.0839054-0.109399j 0.110638+0.084696j 0.0288539+0.256958j 0.269033-0.0270367j 0.0356333-0.0143351j -0.150004+0.0979009j -0.0919059-0.277243j 0.221263-0.0231059j 0.0196745+0.00110647j -0.0877699+0.0272015j -0.0250304-0.0033728j -0.0886306-0.00484101j -0.0472746+0.164942j 0.0963487-0.0884673j 0.0816802+0.0673912j -0.0467204+0.0760217j 0.0113894-0.0495951j 0.0985873+0.0176445j -0.112745-0.0221961j -0.0743732+0.00914082j -0.0251883+0.0824315j 0.101812+0.012584j 0.0858791-0.0236179j -0.108653+0.02668j -0.0554123-0.00383941j 0.0742955+0.073759j -0.0177782+0.0352174j -0.0303104-0.12649j 0.00675955+0.0476226j -0.00190399-0.045953j 0.0251436+0.0293742j 0.0669297+0.0242994j -0.108732-0.0929777j -0.0887356-0.0066063j 0.0224744+0.0601007j 0.0351506-0.0272968j -0.0393101-0.122424j -0.0140433-0.0391134j 0.0596771+0.0140281j 0.0704422-0.0911075j -0.00229655-0.121011j -0.0677169-0.0417912j -0.00696717+0.0664884j -0.102934+0.150124j -0.0819877-0.0182264j 0.036496+0.0633882j 0.0885024+0.0549848j 0.0609352+0.0588348j -0.245329+0.0497608j 0.0526427-0.282415j 0.153292+0.119317j -0.102097-0.0192733j 0.20911-0.0737029j 0.0660111+0.202972j -0.137381-0.107835j -0.108065+0.13789j 
0.00507462-0.018279j 0.0175722+0.00465256j 0.0086579-0.0241008j -0.0271534-0.0102283j 0.0087917+0.00409354j -0.00490784-0.00134853j 0.0132672-0.00809153j 0.00683086+0.0246033j 0.0198114-0.0137086j -0.00528462+0.00299218j -0.00382862+0.0197545j -0.0172211+0.00119337j 0.0276567+0.0199976j -0.0170193-0.000885572j -0.0124482+0.0026066j -0.00303398-0.0133565j -0.000880304-0.0265303j -0.0217762+0.000155524j 0.00800903+0.00581707j -0.00581355+0.03567j -0.0110111-0.0152311j -0.001689-0.0115997j -0.00687796+0.0102307j -0.0107474+0.0157583j 0.00754169+0.00472982j -0.0141097-0.0141843j 0.00835975+0.00493017j 0.0289824-0.00250051j -0.00337935-0.00310203j -0.0157722+0.00164488j 0.0126327-0.0124327j 0.0202366+0.000602357j -0.00113528+0.0190531j -0.0107343-0.0178044j 0.0116073-0.00541043j -0.0132042+0.01713j -0.0028869+0.0302963j 0.00501398+0.00370559j 0.0258209-0.000184728j -0.0113097+0.0177232j 0.00887579-0.0114313j -0.008347-0.00715253j 0.0201605+0.00281092j 0.0144527+0.000933638j 0.00866628-0.0101879j -0.0049044-0.00837641j 0.0030595-0.00200627j -0.0262835-0.00674361j -0.00712789-0.0258687j 0.00554157-0.00238232j -0.00629098-0.00936576j 0.0172559-0.00745827j 0.0216426-0.016423j 0.0184598+0.0184091j 0.025279+0.00207672j 0.00161665-0.0266568j 
-0.00456178-0.0219593j 0.0219527-0.00483291j 0.00561337+0.0111067j 0.011663-0.00606166j 0.0282467-0.00142718j 0.0115046+0.0321579j -0.0132031+0.0220854j -0.0223715+0.00942256j 0.0251346+0.0126691j 0.00388676+0.0105235j 0.00552201-0.00332761j 0.0152715-0.0193903j -0.017635-0.0266998j -0.0164052-0.00289665j 0.00483666-0.02111j 0.0146945-0.00577653j -0.0154038+0.0126466j -0.00471698-0.00452527j 0.00308436+0.00607765j 0.0143442+0.00405403j 0.00829819+0.00361951j -0.0119315+0.00483515j -0.0158496+0.0149497j 0.00910521+0.00986554j 0.016642-0.00166616j 7.48268e-05+0.00273157j 0.0102744+0.00539721j 0.00580373+0.0100476j 0.00361935+0.0106134j -0.000664563+0.00731463j 0.0067428+0.00169944j -0.00883902-0.0148381j 0.0146983-0.00113963j 0.00939678+0.0163343j -0.0175957-0.00221695j -0.00520806+0.00234644j 0.00430343+0.022175j 0.00156971+0.000699405j -0.00039366+0.00534205j 0.0192319+0.00532299j -0.0032373+0.00961494j 0.00250131-0.0023771j 0.00728714-0.0116897j 0.0255643-0.0270428j 0.00777895-0.000145769j 4.33209e-06-0.0281536j -0.021455-0.0110052j -0.00663775-0.014201j 0.0205353-0.0132978j 0.0169425+0.00460427j 0.0106621+0.0175262j -0.00950054+0.0141628j 0.016577+0.0113541j -0.0104697+0.0172804j -0.00845678-0.0255539j -0.0250898+0.00801586j 
0.0123661+0.00515877j -0.00513854+0.0125587j -0.0278226-0.00287364j -0.00236786+0.0291125j 0.0089053-0.026712j 0.0324776+0.00447385j 0.00529955+0.0163923j 0.00565374+0.0118396j 0.0189227-0.00326059j -0.0243655+0.0217552j 0.0102298+0.0308199j 0.0116907-0.00290675j 0.00622239+0.00369602j -0.0151898-0.0120971j 0.0141183-0.000629403j 0.0162778+0.00443811j 0.0170177+0.0184055j 0.00507391+0.00287382j 0.000329808+0.00266703j 0.00791161+0.0137345j 0.00402128+0.0042634j 0.0128535+0.00984902j 0.0090242-0.0159186j -0.0033632-0.0103417j -0.011055+0.0156097j -0.00183074+0.00668735j 0.00175716+0.0137023j -0.000408584+0.000767947j 0.0104984-0.00475564j -0.00857196+0.0138703j -0.00511457+0.00936496j 0.000736348-0.00631231j -0.00276952-0.00266128j -0.00205359+0.000583865j -0.00259589+0.00968877j 0.0119044-0.00662845j -0.017708+0.00501273j 0.000941681-0.00131354j -0.00631283-0.00456492j 0.00876668-0.022274j -0.0197395-0.017972j -0.0126288+0.00613528j 0.0205078-0.00535736j -0.0147896+0.0125334j -0.0127884-0.0231401j 0.0187639-0.00906884j -0.00979193-0.0260935j -0.0308571+0.00330942j -0.00525027-0.0121036j -0.00942662-0.0210024j 0.0288781-0.0279068j 0.0263382+0.0212502j -0.0169871+0.0217083j -0.0207589-0.0159875j 0.0113976+0.000621268j 0.000515084-0.0111903j 
-0.0236934+0.000442302j 0.000147713-0.0235517j -0.0173715+0.0106329j 0.0118688+0.017535j 0.00723679+0.00118587j -0.00251419+0.0103232j -0.00756002-0.00175339j 0.00085219-0.00823994j -0.00467798+0.00176655j 0.00249405+0.00300637j 0.00536228-0.00409684j 0.00852541+0.00105814j -0.00593713-0.0105193j -0.000876235+0.00633974j 0.000219395+0.000204477j -0.00315353+0.00633574j -0.00606796+0.00610264j 0.00647892-0.000777855j -0.00299897+0.00330178j 0.00651697-0.0110851j 0.00833417-0.00285824j -0.00592905-0.0018452j 0.00452628+0.00162455j 0.00413852-0.00439153j -0.00655545-0.00298802j 0.00654965+0.00182462j -0.00515993+0.000124461j -0.00413053-0.000275117j 0.00105553+0.00503766j 0.00945017+0.00184482j 0.000684705-1.5067e-05j -0.0130754-0.00604326j 0.000447585-0.0116307j 0.00812718+0.010481j -0.000308979-0.000260488j 0.000261933+0.00441243j 0.000465676-0.00833373j -0.00351416-0.000139511j -0.00400995+0.00210589j 0.00536813-0.00516638j 0.00185277+0.0101211j 0.000712006+0.00209415j -0.00408066+0.00459614j 0.00589952+0.00120412j -0.00557414+0.00621312j 0.00555845-0.00402738j 0.00221215-0.000675202j 0.0113283-0.00312756j 0.00443224+0.00780135j 0.00270576-0.000514421j 0.00397434+0.00604757j -0.0029041+0.00437509j 0.0030309+0.0236271j -0.0218137+0.00349807j -0.0099775+0.0201358j 0.0202646+0.0101177j 
-0.0146891+0.0079052j -0.00755728-0.0142904j -0.0171034-0.00735485j -0.00562963+0.0174633j -0.00795618-0.0022515j 0.00329826-0.00872487j 0.00368187+0.00229927j 0.00239969-0.0072253j -0.0112855-0.00438624j 0.00212809-0.00263288j -0.000152468-0.000543108j 0.000742025+0.0101951j 0.00761065+0.00439461j 0.00425518+0.00370213j -0.00304803+0.00718451j -0.00519648+0.00539587j 0.00653699+0.000347356j 0.0017542-0.000946166j 0.00207835+0.0015374j -0.00177523-0.00704867j -0.0021427-0.0065405j -0.000672029-0.00251628j 0.00660479-0.00698003j -0.00135508-0.00710316j -0.0106023+0.00296441j 0.0012687-0.0052828j -0.00735466-0.000747614j -0.00384544-0.000556891j 0.000499907-0.00654756j 0.00395514-0.00241656j -0.00178897-0.00182584j -0.00318881+0.00545084j -0.00647879-9.70437e-05j 0.00442121-0.00400628j 0.00638863-0.00280462j 0.00182426+0.00322466j -0.00505971-0.00630257j -0.00390206+0.00391179j -0.000177303+0.00104109j -0.00999317-0.00242698j 0.00364203+0.00051137j 0.0014779+0.00347603j 0.00158429+0.00604099j -0.00343774+0.00923891j -0.000412947+0.0011981j 0.00477845+0.00340924j 0.0037155+0.000362459j -0.000893516+0.000429194j -0.00047283-1.67393e-05j -0.00483423+0.00351905j -0.0086625-0.00978808j 0.00725315-0.00407968j -0.0112894+0.00317403j -0.00185883-0.00937675j 0.00374321+0.0128886j 0.013448-0.00377025j 
-0.00841756-0.00152954j 0.00211171-0.0085837j -0.0129283-0.00253014j 5.73933e-05+0.0115994j -0.00670272-0.00423513j 0.00573557-0.00299858j -0.00324646+0.00138434j 0.000603814-0.0108915j -0.00556235+0.00110093j 0.00271487-0.00294798j -0.00725592-0.00186576j 0.0102482+0.000533139j -0.00668999+0.000477919j 0.00127104-0.00265376j 0.00354723-0.0013354j 0.00384266+0.00679031j 0.0059137+0.00518759j 0.00312484-0.00828244j -0.00125945+0.00343604j -0.0010672-0.00772317j -0.00276776+0.00222935j -0.00183608+0.00572895j -0.00472005-0.00322614j -0.00602599-0.00428346j -0.00383476+0.00623912j 0.00266656-0.0006882j -0.00341147+0.00440799j -0.00220268+0.00408332j -4.99241e-05-0.00531739j -0.000765634-0.00309278j 0.00313886+0.00481421j 0.0026019+0.00398225j -0.00653886+0.00191184j 0.00421096+2.81888e-05j -0.00473173-0.00570249j 0.00303707-0.00131362j -0.00353994+0.00634071j 0.00169627+0.00407127j -0.000258964+0.00841766j -0.00643317+0.0044791j 0.000110827-0.0031878j 0.000423328-0.00394232j 0.00634692-0.00145922j 0.00423395+0.00580528j 0.00731787-0.00118045j 0.00476327-0.00428427j -0.00337066+0.000624024j -0.00593703-0.00459965j 0.000206385-0.0137867j 0.00814194-0.00206711j -0.00454659-0.0034289j 0.00654314-0.00243382j -0.000526095-0.0148978j 0.0173076+0.000395329j -0.0050272-0.0134397j -0.0124363+0.0046769j 
0.00698986+0.0110083j -0.0111775+0.00756754j 0.022328+0.000677015j 0.00170365-0.0202517j -0.00807737-0.0115093j 0.0072688-0.015316j 0.0198576-0.00200321j 0.010146+0.0198306j 0.00613318-0.000379711j -0.00325271+0.00157324j -0.00412669-0.0067882j -0.00424743+0.0165283j 0.00930748-0.0100995j 0.00664554-0.0134154j 0.00945969+0.00507271j -0.00136499-0.00231102j -0.00462228-0.00313789j 0.00184083+0.0101827j -0.00268594-0.0131262j 0.00830272+0.0119237j -0.00890116+0.0199316j 0.00411308+0.00331521j -0.00641498-0.00270731j 0.00815807+0.00532983j 0.00581932-0.00211205j -0.016853+0.0068945j -0.00399691-0.00561843j -0.00759422+0.000986719j -0.00756958-0.00111786j -0.00546955+0.00632006j -0.0054184+0.00205644j 0.0146057-0.00305624j 0.00959919+0.00511933j -0.0157517-0.000669103j -0.00212097+0.00170069j -0.000641898-0.0163775j -0.00178475+0.000326486j 0.0029522+0.00748932j -0.00291919-0.00809199j 0.00563028+0.00377279j -0.0142936-0.000293851j 0.00948661-0.00349396j -0.00735147-0.00207849j -0.0102444-0.00108371j -0.0027734+0.00301032j -0.00253131+0.00628297j -0.00868046-0.000590127j 0.0124428+0.00844847j 0.0173473+0.00669785j 0.000244362+0.00917859j 0.0154175+0.00536299j -0.00564612+0.0211977j 0.00504463+0.00980836j -0.0115495+0.00854104j -0.0101277+0.00416864j 0.00365693+0.0108365j 
-0.00966317+0.0001175j 0.000361673-0.00989704j -0.00869268+0.00236316j 0.00471117+0.00759759j -0.0100142-0.00836929j 0.0109135-0.0093336j 0.00386225+0.00456521j 0.00182131-0.00385901j 0.00200576-0.00307365j 0.019728-0.0038688j -0.0227156-0.0183796j 0.00830937+0.0198376j 0.0067483-0.00518227j 0.00539372-0.0206035j 0.00976592-0.00965574j -0.0023947+0.0126884j 0.00231102-0.00148568j 0.014777-0.0040327j 0.00065132-0.00428576j -3.86669e-07-0.00586612j -0.0106932+0.00501945j -0.00589517+0.0120803j -0.00807471-0.00919128j 0.00243368+0.00149765j -0.00278481+0.00410018j -0.00750911-0.00137068j -0.00594347-0.00490475j -0.0110469+0.00225907j -0.00611545-0.0118994j -0.00597663-0.0081879j -0.00578794+0.00147032j 0.013416+0.0050867j -0.00450648+0.00767524j -0.00374859+0.000469774j -0.00461737-0.00701075j 0.0022143+0.000755992j -0.00208719+0.0102126j -0.00860321+0.0148905j 0.00475796-0.00209524j -0.0122973+0.0117937j 0.00105829-0.00651792j 0.00584809-0.00315536j 0.0079948+0.00830163j -0.000568561+0.00159715j 0.0138764+0.00189548j -0.00166396-0.00335728j -0.0134057+0.0107312j 0.00606419+5.048e-05j 0.00643454-0.0200513j 0.0112601+0.00153071j 0.00499598-0.00841508j 0.0162919+0.0101948j -0.00240282-0.00397504j 0.00673468-0.000159328j -0.00950801-0.014763j -0.0140041+0.00942224j 
0.00524896-0.00160159j 0.0013884+0.00533422j 0.0088606+0.00270893j 0.00204126-0.00884453j 0.00981991-0.00489577j 0.00797574+0.0157805j -0.0138676+0.00692211j 0.0010934-0.00368116j 0.00564731-0.00987034j 0.0038952-0.000645504j -0.00771772+0.00812892j 0.00406706+0.0108502j 0.0167127-0.00335897j -0.0119319-0.00772682j -0.00516513-0.00881727j -0.00397128-0.00218361j 0.00215152-0.0064919j 0.00562778-0.00212353j 0.00055366-0.00381109j -0.00215631-0.00259434j -0.0011426-0.00859524j 0.00298411+0.00111745j -0.0037052-0.0055956j 0.00834326-0.00428908j 0.00442213-0.00601009j -0.00169726-0.00818555j 0.00262366-0.00286081j -0.00316793-0.00260775j -0.000207483-0.000247999j 0.000823379-0.00219176j -0.0109564+0.00712131j -0.00497699-0.00622647j 0.000685284+0.00476379j 0.00628642+0.00159889j 0.0048868+0.00353288j 0.00251425+0.00222671j 0.00124343-0.00113644j -0.00886107+0.00446852j -0.000535257-0.00952544j -0.0023598-0.0075783j -0.0016202-0.00271568j -0.00312809+0.00839955j -0.00218748+0.00430456j -0.0158204-0.00788677j 0.00430585-0.00454038j -0.00927739+0.0123491j 0.00600666+0.0145654j 0.00539158+0.00246312j -0.00580272-0.00696248j 0.00847131+0.00582088j -0.0119398+0.00271855j 0.00461351-0.0104594j -0.000603433+0.0153863j -0.0148773-0.00152936j 0.00578396+0.000166249j -0.00014966-0.00581367j 
