0.0235044-0.168927j -0.172421-0.0238069j -0.0127785+0.0303249j 0.0188615+0.0165399j -0.00353634-0.0174683j -0.0145496-0.00386953j 0.00694438-0.00222803j -0.0115692+0.00954345j -0.0195296-0.00247597j -0.0164669+0.01528j 0.00214956-0.0143433j 0.0162588+0.0143979j 0.00875914-0.0333158j -0.053874-0.0145208j -0.0114655+0.0442073j 0.172973-0.00286433j -0.00469639-0.17716j 0.106253-0.0842072j 0.0947971+0.114022j -0.0613595+0.064418j -0.0369212-0.0159165j 0.00658295+0.00993344j -0.0500604-0.00585062j -0.0408103-0.00208315j -0.00620418+0.0363144j -0.0234725+0.00548869j 0.0151406+0.00929818j -0.00327295-0.0107896j -0.0323807-0.0408093j -0.0085691+0.0239315j 0.00850515+0.0462153j 0.0165032+0.0257296j -0.0218094+0.0173262j 0.038434-0.0371327j 0.0529183+0.0210944j -0.0261757+0.101589j 0.0950861+0.0226928j -0.0173304+0.159453j -0.163409-0.0141213j -0.0641227+0.0367939j -0.0298773-0.0749779j 0.107675+0.104901j -0.12348+0.140089j -0.125363+0.0483122j -0.143332-0.0770558j 0.0838708-0.0290866j 0.0629874-0.0109986j 0.0535078+0.0951901j 0.0822721+0.072858j 0.0281222-0.0565076j 0.0946004+0.0720513j -0.0132248+0.0452172j -0.0252949-0.0251454j -0.0170538-0.031045j -0.0320634-0.113295j -0.00257497-0.00654542j 0.0574891+0.0122385j 0.0329332+0.05765j 0.03586-0.0193317j 0.0207818+0.0197909j 0.0023953+0.0554328j -0.00980269+0.0646973j 0.0513821-0.0435904j 0.0260762+0.0456661j -0.0122649+0.00870903j -0.0218722-0.0256666j -0.00828414-0.00816627j 0.000870983-0.048204j 0.0106817-0.0852359j -0.0167179+0.0838937j -0.00958149+0.0818421j 0.0107826-0.0497905j -0.0185444+0.0662318j -0.0119349+0.0434019j -0.015053+0.00600991j -0.014374+0.0246402j 0.0152893+0.0124452j -0.0238058-0.0565066j -0.0238098-0.00394559j 0.0313798+0.0068067j 0.0196252-0.111377j 0.0685336+0.00218024j 0.0568523-0.0631921j 0.0969592-0.0398543j -0.0435333-0.0497509j -0.126268+0.11335j 0.09011+0.0611162j 0.0276644-0.0284365j -0.0267497+0.0639023j 0.115863-0.0351171j -0.127797-0.118794j 0.115555+0.0815553j 0.091121-0.111221j -0.19079+0.159875j -0.147257-0.179939j 0.258478-0.168466j -0.167249-0.25594j 
0.103009-0.0504712j -0.0513913-0.105267j -0.0522648-0.00672688j -0.018273+0.0562822j 0.00579238-0.016021j -0.0317805-0.00709162j -0.00764915-0.0106831j -0.0271691-0.00509521j -0.0191184-0.00581623j -0.0125233+0.0114699j -0.00377373-0.0204226j 0.0124209+0.0223954j 0.00367443-0.030957j -0.0366919+0.00515097j 0.00318513+0.0275754j 0.0269191-0.00731158j -0.0074176-0.0285886j 0.0372954-0.0129481j 0.0132888+0.0394056j -0.0195298+0.00955016j -0.00175319-0.00561953j 0.000629495-0.00270459j -0.0112204-0.00185268j -0.0087331-0.00583801j -0.00822598-0.00106482j -0.000545079-0.00796552j 0.00245047+0.00568859j 0.00504009-0.00339596j -0.00350231-0.00813963j -0.00581972-0.00461403j -0.0135493+0.00684453j -0.00607373+0.0102154j -0.000248153-0.00982143j 0.0103498+0.00824412j -0.00490944+0.0238459j -0.0629238+0.0143057j 0.01607+0.0568805j 0.0692337-0.00957022j 0.00881403+0.0723241j 0.289762+0.0133793j -0.0120391+0.286008j 0.0127377+0.047806j -0.0527066+0.0577767j -0.0682404-0.0494135j -0.0662611+0.05046j -0.164748+0.13213j -0.170581-0.120835j -0.00700325-0.1444j -0.000566175+0.110349j -0.181684+0.0272107j 0.00873907+0.00065968j 0.0671561+0.0128858j 0.138413+0.110998j -0.0182948+0.0156905j 0.0485238-0.008647j 0.0464964+0.0816296j 0.010656-0.123163j -0.059945-0.0843071j -0.0400647-0.0565771j 0.0149741-0.0031772j 0.00264818-0.0320129j 0.028238-0.0250908j -0.0522581-0.0562245j -0.0160742+0.0497291j 0.0191965-0.0231888j 0.0117838-0.159015j -0.00429886-0.0437935j -0.0130501+0.0185644j -0.0169058+0.0503926j -0.0247889-0.0862799j -0.0255811-0.0204237j -0.0626148+0.058617j 0.0525227+0.0702216j 0.0138905+0.0397673j -0.0260546+0.0162379j 0.0770946-0.0368975j 0.0802121-0.117855j -0.0672845+0.0652688j 0.057723-0.0806202j -0.0145368-0.0134219j -0.0306493-0.00167673j -0.139556+0.0736306j -0.0868396-0.0693684j 0.0119759-0.0520084j 0.143013+0.0447281j 0.000447719-0.0151419j 0.0142359-0.247354j -0.255132+0.000405771j -0.0478194-0.0551494j 0.0392919+0.000245967j -0.0252193-0.0925549j -0.0561701-0.285917j -0.281326+0.0615311j -0.137623-0.0110688j 0.00832751-0.118601j 0.112964+0.0242641j 0.0242684-0.11165j 
-0.0242594-0.0100229j -0.00997833+0.0239631j 0.000907954-0.0079323j -0.00790402+0.00109065j -0.00230166+0.00220568j -0.00199471-0.00149432j 0.000140805-0.00461538j 0.00298686-1.34399e-05j -0.00174914+0.00165226j 0.00145015+0.00371007j 0.000960469-0.00148459j 0.00179248-0.00273585j -0.00357163-0.00187139j -0.00483473+0.00309522j 0.00322304+0.00333409j 0.00450001-0.0275679j -0.0258579-0.00330761j -0.0137303+0.0144147j -0.0197443-0.0160465j 0.00578102-0.0179973j -0.00108419-0.00236543j -0.00032882+0.006856j 0.0106783-0.00306024j 0.00568508+0.00122405j -0.00170931+0.00284049j -0.000871927-0.00105414j 0.000480836+0.000362648j 0.000974311-0.00336601j 0.000896328+0.00452134j -0.00369358-0.000588173j -0.00231552+0.00245522j 0.000992627+0.0001413j 0.000967855-0.000709578j 0.00189425-0.0105925j 0.0132096-0.000387748j -0.00743204+0.0029852j 0.00313988+0.0116985j 0.0439796-0.00234288j 0.00464184+0.0446032j -0.00915798+0.00532924j -0.00753762-0.00908241j -0.00195252-0.0215023j 0.0238926-0.0140868j 0.0368488-0.00407521j 0.021957+0.0231759j -0.000934149+0.00787042j -0.0187303-0.0104703j -0.00977114+0.0123974j -0.0439891-0.012393j 0.00632587+0.0128668j -0.0104773-0.0401814j -0.00808391-0.00522524j -0.00151079-0.0118509j -0.0050979+0.000879325j 0.0194319+0.0186159j 0.0161805-0.00117613j 0.00127404-0.008484j -0.00774452-0.0197197j -0.0014362+0.00117644j 0.00914038-0.00490354j -0.00770543-0.0095958j 0.00284146-0.0100493j 0.0120071+0.0171635j 0.00922062-0.0191202j -0.00471338+0.00588176j -0.00395197+0.0233919j -0.00708783-0.00192628j -0.000751139+0.00476492j -0.00132615+0.0191432j -0.00641461-0.0348687j 0.000311551-0.0247507j -0.00445622+0.0227512j 0.00170416-0.02165j 0.0125771-0.0196124j -0.00423428-0.00271792j -0.00166115-0.00501801j 0.000519645+0.0183246j -0.0124637+0.00912227j -0.00561278+0.00889681j 0.0125087+0.00357923j -0.0151971+0.00573611j -0.00301658+0.00984191j -0.0252751+0.0144542j -0.0135552+0.0355015j 0.00387603+0.00989663j 0.0616311-0.0265408j -0.0222067-0.0110173j 0.0222983-0.00752674j 0.0118256+0.0277824j -0.00698171+0.00879896j 0.0363022+0.0295422j -9.34513e-05+0.0098112j 0.00804966-0.00132408j 0.0366567-0.0238258j 0.0243459+0.0301541j 0.0526957+0.0319392j 0.0332372-0.0531469j 
0.000426308+0.0280475j 0.0281308-0.00145854j -0.00583516+0.00214926j 0.00701564+0.00863711j 0.00390331-0.00426627j 4.97542e-05+0.00596685j 0.00228866+0.00692621j -0.00418807+0.00472871j -0.0011361+0.00252566j -0.00193126-0.00358505j -0.00391945+0.00364567j 0.00532024-0.00371722j -0.00578572-0.00138812j 0.00655001-0.00345466j -0.00401299-0.00233221j -0.0229756-0.00129944j -0.000920445+0.0246373j 0.000263686+0.00339555j -0.00306039+0.00352668j -0.0159425-0.0037059j 0.00783244+0.00796065j 0.0156867-0.0133649j -0.0124618-0.0168176j 0.0014428-0.0165887j 0.00561318-0.00325447j 0.0140185+0.00630991j 0.00431177+0.00887623j 0.00498624+0.00705125j 0.0103536-0.0252842j 0.00411231+0.00745714j -0.0108868-0.00342819j -0.0134511-0.00680729j -0.00853015+0.0127446j 0.0226154+0.00542497j -0.001482+0.0135115j 0.0127569-0.0201879j -0.0224778-0.00917484j -0.000457431+0.0258897j -0.0271926+0.000265264j -0.0177927+0.022922j -0.0221863-0.019527j 0.00708538+0.00683965j -0.00883283+0.00666479j -0.00658462+0.00105729j -0.00657018-0.000533323j -0.0136144+0.00505594j -0.00537043-0.00815835j -0.00146977-0.0154282j 0.008118+0.00477134j -0.026127+0.00431841j 0.00716297+0.00538264j 0.00726595+0.0134595j 0.010688+0.00451682j 0.00870724-0.012254j 0.0116237+0.0139998j 0.0181465+0.00892575j -0.0168552-0.00719537j -0.0020999-0.015388j 0.0019445-0.016141j 7.45572e-05+0.00634199j 0.00697033+0.00239164j -0.00438206-0.00120739j 0.000299552-0.0108015j 0.0101554+0.00784229j -0.00514137-0.0176764j -0.00135598-0.0296944j 0.00153368-0.00577151j -0.00304801+0.00670132j 0.00148159+0.00282907j 0.0163934-0.0181239j 0.0123335+0.00474588j -0.00335763+0.00801834j -0.00317272+0.00148871j 0.00469859+0.000999923j 0.00483977+0.000863883j 0.0041137-0.0209017j 0.0122202-0.0147618j -0.0200226+0.00334137j 0.0258393-0.00257828j -0.00608551+0.016074j 0.00784617-0.0135096j -0.0128456+0.00346807j -0.00926718+0.00145858j -0.00888595-0.0150359j 0.0215374+0.00830086j -0.0044023+0.00083326j -0.000626716-0.0174666j -0.0187246+0.00460718j -0.00551813-0.0043648j 0.00149408-0.0026758j -0.000151977-0.00161835j -0.0290458+0.0324324j 0.0323116+0.0287859j -0.000912522+0.00231039j -0.00238828+0.00273988j 0.00450998-0.018137j -0.0181481-0.00369251j 
0.0251867-0.0129082j -0.0128347-0.0258662j -0.00434883+0.00206803j 0.0105957+0.000527039j -0.00490252-0.0195314j 0.00364696+0.00598506j 0.0245177+0.0074034j -0.00292916+0.0211281j -0.00728249+0.00571931j -0.0155822+0.00245216j -0.00283051+0.0112149j 0.0220586-0.01256j -0.00857975-0.01884j 0.00499671-0.0240139j -0.0247795-0.00204454j 0.00269103-0.0298469j -0.0301371-0.00310002j -0.00262524-0.00357135j 0.00130637-0.00368083j 0.00847719-0.00226072j -0.00486819-0.00038907j -0.00295649+0.00923278j 0.00873471+0.00544859j 0.00250952+0.00725887j -0.00295316+0.00242603j -0.00658213-9.59121e-05j -0.00318924-0.00205406j -0.00301263-0.00221914j -0.000667466+0.0120191j -0.00393416-0.00291275j 0.00380694-0.000874663j 0.00674494+0.00134652j 0.00216374-0.00708153j -0.00873604+7.14354e-06j 0.000647496-0.00322646j -0.00605724+0.00986888j 0.00935902+0.00480262j 0.00379454-0.00928271j 0.00959265+0.00380281j 0.00619214-0.0111782j 0.0108878+0.00658159j -0.000779221-0.00245927j 0.00405307-0.001804j 0.00492575-0.00107959j 0.00310494+0.00329311j 0.00478995-0.000287987j -0.00147698+0.000123387j 0.00105368+0.00753712j -0.00815987-0.00017879j 0.00890066-0.00212117j -0.00316437-0.00656564j -0.00477404-0.00520321j -0.00304059-0.00154806j -0.00424411+0.00615255j -0.00325907-0.00391276j -0.0054562-0.00131119j 0.00910389-0.00126304j 0.0010241+0.0036956j 0.000310942+0.00688288j 0.00179091-0.00288774j -0.0039661-0.00119454j 0.00270921-0.000509504j 0.00212393+0.00601528j -0.00359689-0.00337889j 0.00318704+0.0074984j 0.00187371+0.0127292j -0.00173071+0.00161104j -0.000169363-0.0026942j -0.00181126+0.00105603j -0.00709465+0.00426466j -0.00644335-0.00311477j -0.000667033-0.000669263j 0.00239895-0.0022169j -0.000163051-0.001626j -0.0033356-0.000401811j 0.000721163+0.00818885j -0.00333685+0.00859785j 0.00618025-0.00116689j -0.0108056+0.0028015j 0.0025769-0.00679968j -0.00446048+0.00501527j 0.00321436+0.000115957j -0.000223924-0.0018632j 0.0036271+0.00877868j -0.00671716-0.0008845j 0.00848902-0.00242522j -0.000491216+0.00190566j 0.00699359-0.00369666j 0.00222018+0.00495621j 0.00057893+0.00128584j 0.00241998+0.00338977j 0.0110983-0.0164187j -0.0163686-0.0111853j 0.00177058-0.00400657j 0.003412-0.000153794j 0.0105045+0.00700801j 0.00687154-0.0106875j 
0.00850372+0.0245524j 0.0240897-0.0100718j 0.00204116+0.00398762j 0.00696342-0.00231161j 0.0011983+0.000404429j 0.0032532+0.00207768j -0.000641838+0.00155238j 0.00104524+0.000744179j 0.00229022+0.000174002j -6.93251e-05-0.0034756j 0.00103213+0.00252877j -0.00289731+1.78499e-05j 0.0001036+0.00793375j 0.00642722+0.000966806j 0.00306104-0.00517279j -0.0197951+0.0137826j 0.0149106+0.0220729j 0.00233582-0.00370829j 0.0101752+0.00327311j 0.00417018+0.00779433j 0.00364416-0.000345624j -0.00116855-0.00255577j -0.00404306+0.00440474j 0.000132774+0.00145965j 0.00160567-0.00474004j 0.000808777+0.00184529j -0.00325454-0.00185204j 0.000158237+0.00174558j -7.36127e-05+0.00159154j 0.00361209-0.00278076j 0.00162845-0.00717251j -0.00295915-0.0048441j 0.00244108-0.000500034j -0.0110311+0.00783831j -0.00959036-0.0122841j 0.009573-0.00497235j -0.00479286-0.006599j -0.0291154-0.0209704j 0.0199176-0.0282051j 0.0111282-0.00590788j 0.00577973+0.0109474j -0.00159422+0.00299572j -0.0100012+0.00352322j -0.0179394+0.00163161j -0.00393349-0.00983465j -0.00194978-0.00654885j 0.00975627+0.0116893j 0.00381021-0.0165009j 0.0263782-0.0019679j -0.00423007-0.00399239j 0.00229367+0.0244437j 0.00226966-0.00392132j 0.00170942+0.00986861j -0.000661497+0.00144819j -0.0152185-0.00100633j -0.00937991-0.000337923j -0.00510268+0.0089143j 0.00340756+0.0132896j -0.00523149+0.0020669j -0.0058846+0.00494521j 0.00585499+0.00167693j 0.000363394-0.000641558j -0.0110432-0.00447042j -0.0066353+0.0133079j 0.0076054-0.00219918j 0.00447789-0.0120799j 0.00324259+0.00327721j -0.00283276-0.00261419j -0.000937634-0.00811378j 0.00363261+0.016655j 0.00505298+0.00343972j 0.00779442-0.0104073j 0.00244932+0.0122126j -0.0115305+0.0103628j 0.00935201-0.0019736j 0.00300963+0.00272623j -0.00715297-0.00497218j 0.0118966-0.00167783j 0.00304227-0.00457718j -0.0148442-0.00501452j 0.00304672-0.00125666j -0.000888567+0.000149004j 0.0187545-0.0062274j -0.00743863-0.0157767j -0.000420962-0.0069199j -0.0254519+0.00689603j 0.0048943+0.00765733j -0.00997898+0.00605299j 0.00166073-0.0192686j -0.00942152-0.0138175j -0.00696992-0.00677102j -0.00430446-0.0159113j -0.0150878+0.00498319j 0.000979997+0.00410936j -0.00369073+0.011013j -0.0341262+0.00348265j 0.00425341+0.0349063j 
0.00657476-0.0155851j -0.0144864-0.00789245j 0.00143933-0.000450891j -0.00565411-0.00273419j -0.00183172+0.00152808j -0.00136161-0.001462j 0.000840879-0.00107977j 0.00205289-0.00159405j -0.00131253-0.00087837j -0.000828567+0.000727292j 0.0010053-0.00251724j -0.000842441+0.000899145j 0.00150692-0.00096906j -0.00148134-0.00098757j 4.50482e-05+0.00357616j 0.0120831+0.00257405j -0.000314902-0.0115702j -0.000703622-0.00291748j 0.00423535-0.00158692j 0.0101797+0.00103264j -0.00486855-0.0044165j -0.0106117+0.0096428j 0.0106543+0.00943009j -0.000223701+0.00819294j -0.00874999+0.00387057j -0.00483055+0.00323184j 0.000733553+0.00135216j -0.00168462-0.00229974j -0.00507592+0.0101182j -0.00842964-0.0031819j 0.00266184-0.00252116j 0.00754521+0.00182197j 0.000241654-0.00529742j -0.00556875-0.00326595j 0.00428528+0.00126337j -0.00267903+0.00826648j 0.00213938+0.00392482j 0.00450755-0.0130458j 0.0107086+0.00583468j 0.0165594-0.00344383j 0.003541+0.0156789j 0.00549011+0.000122875j 0.00310694+0.00371509j 0.00141418+0.00226557j 0.000313126+0.00347421j 0.00612979+0.000589896j -2.09373e-05-0.00331971j 0.00130601+0.00895288j -0.00611376-0.00255807j 0.00618231-0.0005048j 0.00385939-0.0074406j -0.00692345-0.00495711j -0.000237593-0.00102727j -0.00986392+0.00572413j -0.00150053-0.00330667j -0.00351919-0.000349441j 0.00841931-0.00172777j 0.00264839+0.00225918j -0.000882736+0.00675564j 0.00715824-0.000506693j -0.000800608-0.00354467j 0.00324155+0.000183108j 0.00148416+0.00723908j 0.00172463+0.00215566j 0.000951808+0.00533389j -0.000905565+0.00781039j -0.000270058+0.0011566j -0.00166364-0.00142421j -0.00615537-0.00109954j -0.00541548+0.000357452j -0.00528314-0.00442078j -0.00200615+0.000222482j 0.00477829-0.000686999j 0.000752803+0.00232949j -0.00442377-0.00342991j 0.00271221+0.00151229j -0.00378691+0.0124977j 0.00724179+0.00264775j -0.00683615+0.000559204j -0.000817423-0.00396161j -0.00548411-0.00364737j -0.000838498+0.00205331j 0.00109919-0.00760061j -0.00646563+0.00948371j 0.000584308-0.00419137j 0.0114931+0.00405936j -0.000268698-0.00544897j 0.00628581+4.16906e-05j -0.00646496+0.00506069j -0.00124602-0.00175065j 0.00538572+0.0129944j 0.0116624-0.013065j -0.0135287-0.0114332j 0.00726-0.0194711j 0.0150957+0.0070974j 0.0396511-0.00895348j -0.0101444-0.0387667j 
-0.00393013+0.0135749j 0.0126348+0.00376867j -0.00318378+0.00440811j 0.0106612+0.00186613j -0.00347358-0.00577056j 0.00320853-0.000870733j -0.000723229-0.00484549j 0.00276961+0.00719626j 0.00182735+0.000620997j -0.00644405+0.00384349j 0.0050478+0.00201277j -0.00362762-0.00133787j -0.00317668+0.0112107j -0.00296427+0.00480933j 0.0098279+0.00288109j -0.00239079-0.0101425j -0.00795219+0.00241055j 0.00204409+0.00562825j -0.00748639+0.00383421j -0.00211604+0.000751442j 8.45508e-05+0.00316355j -0.00115868+0.00182258j -0.00751753-0.00182082j -0.00213188-0.00327987j 0.004457-0.00669627j -0.00347856-0.00702277j -0.00455777-0.00761388j -0.00315971-0.00240607j 0.00021205-0.00367955j 0.00538337-0.0028104j -0.00134635+0.000228653j -0.00814066+0.00154011j 0.0060455+9.57159e-05j -0.00962332-0.00205419j 0.00322591-0.0144435j -0.0027424+0.00379094j 0.00704612+0.00542241j -0.00947225+0.00884072j -0.00744198-0.00980314j -0.0134845-0.000483913j -0.000608097-0.0133252j 7.93979e-05-0.00718663j 0.00796706-0.00214974j 0.00432037+0.00224706j -0.0022556+0.00438618j -0.0135366+0.00698479j -0.00573555-0.00940658j -0.00492594-0.00915356j -0.00144035-0.00111771j -0.00640215+0.00481509j 0.00287465-2.5724e-05j 0.00182712+0.000440415j 0.00154595-0.00330567j -0.00421653-0.00139619j 0.0066306+0.00191965j 0.00138477-0.00435036j 0.0011029+0.00376005j -0.00306001+0.0021038j -0.0110057-0.00811425j -0.00465323+0.000255302j -0.00535923+0.00119474j -0.00299852+0.00204537j -0.00418543-0.00546944j 0.00123428-0.0106668j 0.0012175+0.0008602j -0.00540312+0.000853543j -0.00159192-0.00503381j 0.00378684-0.00375064j 0.006526-0.00222497j -0.000169037-0.00395245j 0.000137198-0.0142063j 0.00558824+0.000512336j -0.00121256-0.000429287j 0.00148664+0.00471355j 0.00741544-0.00318186j -0.0105933+0.00380257j 0.000416764-0.00651612j -0.0026525+0.0044991j -0.000842829-0.00451219j 0.00737662+0.00332417j -0.00607315+0.00529648j 0.00333976+0.00123236j 0.00403734+0.000653112j 0.000414183+0.0058795j -0.00638846-0.00590966j -0.00469129+0.00261161j 0.00157912+0.0185023j 0.0135044-0.00144759j 0.00498497-0.0015984j -0.0106508-0.00159424j -0.000282643+0.00282352j -0.00166199-0.0200317j -0.0205106+0.00248236j -0.00892365+0.00645026j -0.00576264-0.00932119j 0.00170215+0.00698911j 0.00783976-0.00182516j 
-0.00470553+0.0106363j 0.0101406+0.0047336j 0.00236055+0.00327288j 0.00580839-0.00283349j -0.00339804-0.00302383j 0.000721886+0.00116264j 0.000207083-0.00199163j 0.0011977+0.0030185j 0.00213927+0.000440822j -0.00256952+0.00206454j 0.00180802+0.00180828j -0.00126128-0.000270325j -0.00138135+0.00499534j -0.00022381+0.00446563j 0.00668+0.000898412j -0.00529576-0.00602162j -0.00563032+0.00521801j -0.00561748-0.00522802j 0.0054371-0.00650756j 0.000477362+0.0026219j -0.00147414-0.00541196j -0.00832014+0.00341615j -0.00189632+0.000166615j 3.76897e-05+4.17981e-05j -0.000465876-0.000823598j -0.000197345-0.000278769j -0.00436599-0.00244105j -0.000714147-0.000655381j -0.000293596-0.000655773j -0.00119101-0.00219197j -0.00137678-0.00299087j 0.00072731+0.00171447j 0.00105349-0.0023267j -0.00479756-0.00345187j 0.00286601-0.00634779j 0.00577573-0.000542012j -0.0010968-0.00346975j 0.00283775+0.000850039j -0.000415742+0.00353569j -0.00416899-0.000935478j -0.000366654-0.00530404j 0.0175839-0.00559431j 0.00802261+0.0220095j -0.0101776+0.00706195j 0.000665502-0.00841541j -0.0134931-0.00389945j 0.00867009-0.000472573j 0.000305085-0.0183088j 0.00880936-0.00703766j -0.00111368-5.40676e-05j -0.00582341+0.00495635j 0.0034496-0.005387j 0.00456376-0.00210315j 0.00307857+0.00505007j 0.00053288+0.00506607j -0.0019364-0.00225138j 0.00857999+0.000784398j -0.00698158+0.00379038j -0.0018987-0.00510853j -0.00764838-0.000150353j 0.00476289-0.00259596j -0.00746886-0.00292623j -0.00120333-0.000906647j -0.00553512-0.00515478j 0.00407985+0.00054167j -0.00857285+0.00161278j 0.000289994+0.000985642j -0.00149685+0.000230277j 0.00186221+0.00268174j 0.00352023-0.00348362j 0.00503536-0.00967286j 0.00290263+0.00192535j 0.00801233+0.00137756j -0.00433887-0.00712929j 0.00587123-0.002945j -0.00145354+0.00608975j -0.00228599-0.0031381j -0.00523903-0.00692919j -0.00521116-0.00734251j -0.00157808-0.0054976j -0.00811997+0.000805289j 0.00133698+0.00219198j 0.00813859+0.00323614j -0.00794201-0.00477939j -0.00383793-0.00310579j -0.00606516-0.00366667j -0.00725783+0.0140027j 0.00440871+0.00227693j 0.0219742-0.00530924j -0.00343442-0.0221422j 0.000723013-0.00421254j -0.00832548-0.00521411j -0.0059779+0.00876582j -0.00752048-0.0239946j 0.0251261-0.00613946j -0.000256103+0.011905j 0.0116854+0.000231102j 
0.00189678-0.00297953j -0.00237369-0.00171494j -0.00346259-0.00925026j -0.0124779+0.00732494j 0.00339037+0.0120889j 0.00334964-0.000839683j -0.0065975+0.00267467j 0.00171552-0.00365796j -0.00751185-0.00133387j 0.00756268-0.00404475j -0.00283676-0.00639044j -0.00430491-0.00697148j -0.00297925+0.000435597j 0.00825552-0.00764354j -0.0111479-0.00649538j -0.0068506-0.0015453j -0.00192723+0.00753925j -0.01623+0.00375848j -0.00437537-0.0195288j 0.00802476+0.0010924j -0.0103972-0.00496721j -0.00909476+0.0121915j -0.00161498+0.00303009j -0.000583132+0.000214625j 0.000493572+0.00396313j 0.00250118-0.0025158j -0.00986266+0.000684155j -0.00126278-0.00386689j -0.00318606-0.00247937j -0.00797793-0.00472216j -0.00527756-0.00610169j 0.00472699+0.00460642j 0.00774149-0.00823087j -0.00292242-0.01295j 0.00929755-0.00402608j 0.00881938-0.00318429j -0.00356664-0.00840443j 0.0131552+0.00379719j -0.00311288+0.0131001j 0.00966235+0.00221247j -0.00236753+0.00965237j 0.00305563-0.0054634j 0.00619682+0.0041386j -0.0014904+0.00415523j -0.00529853-0.0091494j -0.00106611-0.00976391j 0.0115007-0.00348145j 0.00479324+0.00103397j -0.000603681-0.00295062j 0.00730779-0.00806947j -0.007785+0.00675864j -0.00263454-0.00876649j 0.00588245-0.000823755j 0.00736423+0.00899539j -0.00647535-0.00207718j -0.00586972+0.00534332j 0.000480617-0.00786742j -0.00169275-0.00152518j 0.00115706+0.00391835j -0.00575901-0.00256236j 0.00178449-0.00397086j -0.00188236+2.14742e-05j 0.0051974-0.00159418j -0.0104081+0.00533179j 0.00100789-0.00120868j -0.000958228-0.00108988j 0.00252146+0.00342341j -0.00118743+0.00612185j -0.00641724+0.00269569j 0.00401554+0.0022458j -0.00232523+0.00337845j -0.00221277+0.00378258j 0.0021537-0.00572924j -0.00675335-0.00785791j -0.00884673+6.71004e-06j 0.0104099+0.00467552j 0.00144608-0.00227372j -0.00187-0.00320825j -0.00315141-0.00332886j 0.0012532-0.0103787j -0.00336361+0.00134066j -0.00465639-0.00729401j 0.00360818+0.000492918j -0.00178852-0.000126109j 0.00245955-1.60001e-05j -0.00215842-0.00634419j -0.0136732-0.00673827j -0.0123181+0.0121318j 0.00592217-0.0114768j -0.00689685-0.0104557j -0.00713508-0.00459589j -0.00510414+0.0133622j 0.0139132+0.00474505j -0.0162483-0.000541147j 0.00222433-0.0162075j 0.000352888+0.00655459j 0.00624361-0.00012675j 
0.00509334+0.00663798j 0.00645252-0.00529652j -0.00578311+0.00349382j 0.00466927+0.00592793j -0.000303658+0.00241708j 0.00335496-0.00338281j -0.00671857-0.00219456j 0.0042944+0.00366311j -0.00293199-0.000658536j -0.00247255+0.00133459j 0.00345008-0.00328967j -0.00873353-0.00332941j -0.00393224+0.0128669j 0.00142261+0.000927195j 0.00309143+0.00123416j -0.00108679-0.00831072j -0.00773557+0.00111829j 0.00701663+0.000452261j -0.00193656+0.00904175j -0.00471669+0.00221948j 0.00460367+0.00447781j 0.00125892-0.00456527j -0.00673673-0.0013526j -0.0029983-0.00261656j 0.00254075-0.00877914j -0.00511488-0.00531922j -0.000334604-0.00813025j -0.00239226+7.78384e-05j 0.00135218-0.00288777j 0.00959818-0.00270504j 0.00276545+0.00288745j -0.0103801+0.00162176j 0.00321561+0.0041424j -0.00746362+0.00618533j -0.00346361-0.0103746j -0.0100209+0.00907694j 0.0115461+0.0101008j -0.00576045+0.00392801j -0.00361225-0.00573015j 0.0267245+0.00911255j -0.00810692+0.0276044j -0.0092335-0.00411567j 0.00385398-0.0076369j 0.00921564+0.00582301j -0.00899096-0.00257225j 0.00539478-0.025798j 0.0201584-0.0104248j 0.016075+0.0165239j -0.00741577-0.00531455j 0.013893-0.0150344j 0.0012743+0.00286313j -0.0171422-0.0125587j 0.0133108-0.00288753j 0.00544791+0.0221091j -0.0135108+0.00231047j -0.0081739+0.0111741j -0.00211163-0.00644136j 0.00569615-0.00570915j 0.000487736+0.0170161j 0.00123875-0.00270564j -0.000393601-0.00548859j 0.00376118-0.00225566j 0.0118911-0.000806808j -0.00496475+0.0189204j -0.00204562-0.00368365j -0.00393649-0.00682341j 0.00247222+0.00538448j -0.00416423+0.00870391j -0.0217361+0.00400045j 0.0067345+0.00437197j -0.00728039+0.00566342j -0.00348235+0.00547493j -0.000115719-0.00674895j -0.00213479-0.00529199j -0.0211104-0.0020201j 0.0179405-0.000632014j 0.00600494+0.00695757j 0.00636352-0.0004443j -0.00225141-0.00538392j -2.97586e-05-0.0151408j -0.00800419-0.00701867j -0.0109274-0.0124886j 0.00841385-0.00732029j -0.00514514+0.0136984j 0.00542457-0.0054312j 0.00658678-0.00530498j -0.0247576-0.0167922j -0.0113925+0.0233242j -0.0142583+4.80684e-05j -0.00166734+0.00487463j 0.000504071+0.000222156j -0.0112196+0.0190957j 0.0194699+0.0101122j 0.00118406+0.000936846j -0.000261094+0.00198895j 0.00207413-0.00725177j -0.00702288-0.00200302j 
