0.0111729+0.00809243j -0.00235245+0.0142563j 0.0143684+0.000877714j -0.00236781-0.0108065j 0.0195014+0.00429819j -0.000435725-0.000344143j 0.00455833-0.000980816j 0.00571661-0.00619806j -0.00381785-0.0138353j -0.00304001-0.0171153j -0.00633245-0.000551555j 0.00535412+0.00192278j 0.0113237+0.00381662j -0.0159529+0.012873j 0.00764464+0.00978567j 0.00340709-0.00393639j -0.00676945-0.00563426j -0.00369386+0.00887449j -0.00518914-0.00364054j 0.0131925-0.00793714j -0.011512-0.000488217j 0.0137423+0.0020838j 0.0225149-0.00416789j -0.00111617+0.023953j 0.000253555+0.00230464j 0.0245701+0.0127853j 0.0257744+0.00564807j -0.00604953+0.0129295j -0.0192932-0.000666473j -0.00494344-0.0324234j -0.00218656-0.00704469j 0.00167383-0.0434232j 0.0104503+0.00934222j 0.00378364-0.0276228j -0.00956111-0.0164699j 0.0161575-0.0415389j -0.0758717+0.00975308j 0.00957108-0.00587562j -0.0694356+0.0315698j -0.0418441-0.077952j 
0.00623748-0.00930551j -0.0131444-0.00260626j 0.00573033-0.0118536j 0.00528713-0.0172931j 0.0275488+0.00265386j -0.0149353+0.00289203j -0.00594317-0.000305199j -0.00594216+0.00177j 0.0114502-0.0190207j -0.0117861-0.0163332j 0.021859-0.000416746j -0.0122831+0.00773788j 0.00203111-0.0211395j -0.0158412-0.0190051j -0.00773339+0.0238416j 0.0199493-0.00607386j 0.0247174-0.0115475j -0.00686638-0.00132026j 0.00234676-0.00501915j 0.0112808+0.0124839j 0.031793+0.00486544j -0.0112821+0.0175581j -0.0183283+0.0092527j -0.00329891-0.000749968j -0.01679-0.000703641j 0.00125063+0.00659138j 0.000577556+0.0138033j -0.00396271-0.014329j 0.0313298-0.00908145j 0.0170722+0.0350379j -0.00549-0.00737454j 0.0238779-0.0118186j -0.0192394-0.00015211j -0.00794763-0.0251889j 0.0278288-0.00802838j 0.00123819+0.00357012j -0.00914579-0.045431j 0.0618332-0.0377154j 0.0505532+0.0297927j -0.0210994+0.0341752j 
-0.0197863-0.0293271j -0.022551-0.00840103j -0.0450761+0.00430803j -0.00664182+0.0033446j -0.0303287-0.0187092j 0.00836933+0.00414391j -0.00155455-0.00372037j -0.0170469+0.0285733j 0.0143892+0.0280579j 0.0187759+0.00354002j 0.00294679+0.0091619j -0.00903119-0.0175193j -0.0187835+0.0105145j 0.0250065-0.0250145j -0.00184142-0.0317067j 0.00655894-0.0045429j 0.0133102+0.000133501j -0.0161773+0.00911209j -0.0135771+0.00630073j -0.0119108+0.00359701j -0.0418621-0.0156435j -0.01045-0.0261083j 0.0163925+0.00952378j -0.0258064-0.000591183j 0.0231949+0.0129962j -0.0128369+0.0105345j -0.00903337+0.00461265j -0.00488353+0.00314722j -0.0276583+0.0160426j -0.0114771-0.00278827j 0.0201054-0.0180147j 0.00598345-0.00142136j 0.0481137+0.0142321j 0.00523537+0.0363989j 0.0123383+0.0187563j -0.0408398+0.00463803j -0.0416688+0.0282605j -0.0518992-0.00116394j -0.0410477+0.00522002j -0.0109224-0.0562663j 
0.0067567+0.00915894j 0.0254612+0.0137621j 0.00521526-0.0120015j 0.00034199+0.0163446j -0.00930957+0.0131585j -0.0159818-0.00286696j -0.00686904-0.00299111j -0.00813453-0.00778246j 0.00332913+0.0147036j -0.038749-0.00962514j 0.0293971+0.0300535j -0.0397913+0.00991758j 0.0150164-0.0123398j 0.0177396-0.0384304j -0.00176875-0.0208978j -0.000174057-0.0185341j -0.0074552-0.0139734j -0.0555185-0.014201j -0.0144678-0.0118132j 0.0123428-0.000499518j -0.0315456-0.023952j -0.0328059-0.00142111j 0.00882351+0.0115411j 0.000324296+0.0259994j 0.0114959+0.04106j 0.00609956+0.000417792j -0.00922576+0.0168651j -0.0169104+0.00766892j 0.0506459+6.60244e-05j 0.0214077-0.0317334j 0.0178378-0.03589j -0.02887-0.00599167j 0.00600831+0.0418092j 0.0225597+0.0135331j 0.038763+0.00637392j -0.00194185-0.00746572j -0.0202475-0.00712176j 0.00691598-0.0109039j 0.0179581+0.0145027j -0.00582436+0.00718902j 
0.00077147+0.0108038j 0.0148422-0.00534021j -0.00103439+0.00439461j -0.00808327+0.0331502j 0.00825158-0.00636962j 0.00819142+0.0247039j -0.0182169+0.00287654j -0.0188917-0.0204148j -0.0150719+0.0016883j -0.00245621+0.00323451j 0.000572765-0.00463745j 0.00554502-0.0123145j 0.000649269-0.0063359j -0.00115214+3.78456e-05j -0.0135745+0.00769899j 0.0219812+0.0188657j 0.00846444+0.0085893j 0.00567513-0.00157142j -0.00805141-0.00743571j 0.00575302+0.000463776j -0.00327051+0.00111363j -0.0137423-0.00402489j -0.0117357-0.00475352j -0.0127947+0.0109237j 0.00835109+0.00207019j -0.0431578-0.0213404j -0.0579248+0.000125228j 0.00620964+0.0120338j 0.0159713-0.0024228j 0.00312493-0.0190752j -0.00214261+0.0089938j -0.03946+0.0439069j -0.0138828-0.00184367j 0.0117572+0.00706026j -0.0255976+0.0414662j 0.000180726+0.0581649j 0.020566+0.0107933j -0.0320851-0.0126755j 0.00596132-0.0142372j -0.0020027-0.0078162j 
0.00734801-0.0371713j 0.0173005+0.0107372j -0.0322346-0.00387683j -0.0117327-0.00811864j -0.049013-0.0184459j -0.00431844-0.0481287j 0.000509141+0.0416687j 0.0101245-0.00884877j 0.00787119+0.01732j 0.000747012+0.0105079j -0.0200357+0.0166366j -0.000442937+0.0357083j -0.0372994+0.0304319j -0.00746236+0.0109963j -0.0311687+0.00259187j -0.0173537-0.00206786j -0.0194047+0.00680575j 0.0012812+0.00235822j 0.00149197+0.0105278j -0.0240385-0.0183443j 0.00861849-0.0253187j -0.0316771-0.00830325j -0.00693051-0.0036275j -0.0229638-0.029626j 0.0273036+0.0130189j -0.010346+0.00655729j 0.00307184-0.00327193j 0.00126886-0.0107896j -0.0108959+0.00728017j -0.0184856+0.0368813j 0.0167081-0.0249659j 0.014309+0.00506174j 0.0294424+0.00980588j -0.0059744+0.0245142j 0.0138185+0.0200358j -0.0375359+0.0129937j -0.00903863+0.0182946j -0.0329792-0.00232473j -0.0254403+0.000903916j -0.00584277-0.0321226j 
-0.00247804+0.00813768j -0.0301369+0.0061727j 0.0177731-0.00785969j 0.00587259-0.0142421j 0.00124249+0.0218711j -0.00625118-0.00395096j -0.00921208-0.00918158j -0.000911501-0.0189212j -0.00401718+0.0145357j -0.0357402-0.00454541j 0.032832-0.00424592j -0.0354546+0.00930237j 0.0150964-0.00504967j -0.00245167-0.031447j -0.019088+0.0200142j 0.0233888-0.00183683j -0.0203891+0.000173791j -0.00396863-0.0124289j -0.00169403-0.0162347j -0.00706337+0.000961412j 0.0208767-0.0289768j -0.0287114+0.0117285j -0.0354528-0.0145516j -0.0110553-0.00994029j 0.0130409+0.00360965j -0.0148599-0.00522202j 0.00341074-0.0113795j -0.00375453-0.00833176j 0.0581902-0.0131724j 0.0128855+0.0420426j 0.01261-0.0408086j -0.0178914+0.0292778j -0.0373705+0.0142292j 0.00592996-0.00944154j 0.0174681+0.0159728j -0.0109061+0.0157386j 0.0573937-0.00846195j 0.0106564-0.0159693j 0.0355155-0.0261074j 0.02+0.0386713j 
-0.032879+0.0289846j -0.0172207-0.0210934j 0.0437728+0.0377046j -0.00182552-0.00812047j 0.00233555+0.0202994j 0.0134547-0.0151552j -0.0199804+0.0085211j -0.0201958-0.0308193j -0.0415946+0.00434055j -0.00545952-0.00911222j -0.0318312-0.000138905j 0.0227006-0.00113252j 0.0118843-0.00232081j -0.0162103+0.0293128j 0.0157078-0.00292278j -0.0213315+0.00406212j -0.0269607+0.00928918j -0.0416515+0.00533842j -0.00205269-0.0128381j -0.00105803-0.0384807j -0.0337393-0.016428j 0.00461559+0.0209436j 0.00195186-0.0328499j 0.0119386+0.0125792j 0.00573003+0.0317993j -0.020633+0.0130081j 0.0167826-0.0101628j 0.00389642+0.0174959j 0.0267039-0.00273964j 0.000784196-0.0715903j -0.00378108+0.00859469j -0.0471834-0.00797114j 0.00574098+0.031269j 0.0220891-0.00589829j -0.00329299+0.00341041j 0.0382485-0.0205803j -0.0355601-0.00196343j 0.00720729+0.00520687j -0.015321+0.0250723j -0.0164394-0.0150348j 
-0.0172997+0.0299256j 0.0309136-0.0383815j 0.0472948+0.041272j -0.00900064-0.0450841j 0.0267928+0.0305501j 0.0155219+0.00315887j -0.0317027-0.0345937j -0.0186196+0.0109809j -0.0274352-0.0058597j 0.00705125-0.0138821j -0.00222553-0.0311846j 0.00867217-0.0248301j 0.0117727-0.0208067j -0.0200532-0.00495064j 0.0145905+0.0102035j 0.0268609+0.0020162j -0.00105188+0.00169525j -0.0108996+0.00868798j 0.00125873-0.0168856j -0.0114558-0.0128054j -0.00701243-0.00909255j 0.0175084+0.0216944j -0.0309707-0.0394417j -0.000318015-0.00551258j -0.00721112-0.00728933j -0.0352075+0.0230844j 0.0332916-0.022118j 0.00549568+0.00360819j 0.0333926-0.00717214j 0.0116564+0.00206222j -0.000858402+0.00124425j -0.0101144+0.000897176j -0.0170129+0.00670482j 0.00796694-0.0234403j 0.00939737-0.00331374j 0.0102235-0.0136899j -0.00537229-0.022892j 0.0352579-0.0254729j 0.0272009+0.00731854j -0.000697136+0.0210142j 
-0.0124026-0.0350525j 0.00463998+0.0101883j -0.0302038+0.0157333j -0.0290452-0.011823j -0.0212323-0.00952051j 0.051314+0.00816322j -0.0100486+0.0160561j -0.0250635+0.00541404j 0.00726001+0.0478494j 0.0211175-0.00629634j -0.0133549-0.0241807j -0.0138307-0.0287405j 0.00522077+0.0234029j 0.0129953-0.0183016j 0.0167087-0.0256524j -0.0116393+0.0132697j -0.00647088+0.0168102j -0.0052478+0.0181824j -0.00621016+0.00092071j -0.0160206-0.0197838j -0.0342832-0.0306781j -0.0013277-0.00995225j -0.00565486-0.00767123j -0.0319996-0.0143784j 0.0267803+0.0171648j -0.00967744+0.00397822j 0.0313793-0.0340876j 0.00427166-0.0199176j -0.0227382+0.00581107j -0.0182735+0.00146995j 0.00016218-0.01438j -0.0090421+0.00858505j 0.0187541+0.0120188j -0.00708677+0.022195j -0.0139492+0.00262j -0.00440266-0.00130086j 0.0210394+0.0345049j -0.0461598+0.0407337j -0.0461271-0.0140437j 0.00233055-0.0199693j 
-0.0212692+0.00676336j 0.00233037+0.00951316j 0.000767469+0.00452647j -0.000677945-0.00372349j 0.00702184+0.012677j 0.0176059+0.00243569j 0.00808196-0.0158653j 0.0135032+0.00296575j -0.0148051+0.0180062j -0.00205588+0.0107978j -0.00994349-0.0201087j 0.00404728-0.0108961j -0.0126083-0.032404j 0.00219234+0.00686974j 0.00560375+0.0121969j -0.0082243+0.0112192j 0.0253866+0.0114173j -0.00820552+0.00468984j -0.0192631-0.0169178j 0.00577186-0.0176864j 0.00235293-0.00744879j -0.0195897+0.0203587j -0.04438-0.00142025j -0.00127988+0.0124049j 0.00657379+0.0111007j -0.00221595-0.00227987j 0.00419271-0.0100873j 0.000390985-0.0329027j 0.00714721+0.000283402j -0.00444315-0.00596196j -0.0133622+0.00782024j -0.00663921+0.00382344j -0.0353686-0.022325j -0.0085367-0.0412963j -0.0408373-0.00439578j 0.0442118+0.0166975j -0.00883195+0.00231452j 0.008352+0.000959622j 0.012778+0.00818477j -0.00926794-0.0130284j 
