0.036634+0.0793823j 0.0797072-0.0219197j -0.0111858-0.130931j -0.126144+0.0269332j -0.0526966-0.0346782j 0.0190945+0.0073081j 0.0414614+0.0278053j -0.000829731+0.018943j 0.0765414-0.0481802j 0.0149604+0.0441768j -0.0359594-0.0194623j -0.0656346+0.0284021j -0.0259349-0.107515j -0.0642321-0.0827888j 0.0781026-0.0667889j 
-0.0743983-0.0417078j -0.0371015+0.063802j -0.0388026+0.0391597j 0.0078003+0.0380304j 0.00584292-0.0341727j 0.00686564-0.0576206j -0.0717498-0.0248001j -0.011171+0.0152299j -0.00341623+0.010345j 0.0290184+0.00417111j 0.0386492-0.050167j 0.105327+0.0487072j -0.036666+0.0884268j 0.0514518-0.007153j 0.00657269+0.0598559j 
-0.101013+0.123519j 0.129802+0.124515j -0.116001-0.335381j -0.346968+0.207587j -0.139866-0.2671j 0.11181-0.00675593j -0.128709+0.0600959j 0.0228802+0.0285918j 0.310478-0.0815166j 0.0970044+0.132653j -0.0213908-0.201331j 0.0840501+0.224679j -0.231834+0.00963001j -0.0886452-0.236758j 0.259867-0.0946842j 
0.246258+0.19209j 0.17569-0.205388j 0.193978-0.170127j -0.090476-0.145641j -0.100087+0.0886008j -0.046172+0.156865j 0.290417+0.12808j 0.037949-0.0130607j 0.0208284-0.117411j -0.0741324+0.0779508j -0.179376+0.199543j -0.353409-0.132277j 0.0186241-0.388061j -0.203329+0.00791776j 0.0257249-0.200749j 
0.010182-0.0179805j -0.0176814-0.0198308j 0.0191069+0.0924654j 0.0613998-0.0491069j 0.0242272+0.067658j -0.029229-0.0424474j 0.0431495-0.0256321j 0.00186644+0.0144968j -0.0846612+0.000887051j -0.0304328+0.0098478j 0.0105089+0.0487784j -0.00370998-0.0467719j 0.0377137-0.014287j 0.0169473+0.0490721j -0.0447905+0.0457287j 
0.0126832-0.0258385j -0.0284332-0.015677j 0.0241015+0.036794j 0.0336545-0.0376921j -0.00680081+0.0434986j -0.0420782-0.045694j 0.0120711-0.00346665j -0.0553729+0.0138286j -0.0618951-0.015628j 0.0273228-0.0506273j -0.00853816+0.0139393j -0.0103311-0.0170461j 0.0176706-0.0293562j 0.0341365+0.0117884j -0.0331393+0.0311742j 
-0.0228021-0.0234648j -0.017535+0.0128209j -0.0653429+0.0367324j 0.0255097+0.0212307j 0.0444382+0.0114369j 0.0290799-0.0275506j -0.0219841-0.0534096j 0.0133172+0.0120442j -0.0117277+0.0396806j -0.0119089-0.0191858j 0.0519695-0.0256236j 0.0462125-0.00786592j 0.0508319+0.0369158j 0.0242852-0.0162644j -0.0184804+0.0287976j 
0.023316-0.0140431j -0.00877288-0.0300679j -0.0211422-0.0305853j -0.0124052-0.0214121j 0.0143368+0.0216572j -0.0106431-0.000748761j -0.0264237+0.0324076j -0.0293094-0.0346307j 0.00400128+0.0235462j 0.013236-0.0477259j -0.0257828-0.0236321j -0.0403607-0.00829928j 0.0129667-0.000283642j -0.0230949+0.00351812j 0.000379043+0.00132234j 
-0.0111107-0.0408682j -0.0399407+0.00754144j 0.0199359+0.0548898j 0.0848117-0.0314925j 0.0226571+0.00244663j 0.00513799+0.00952333j 0.0015684+0.00205772j 0.0158107-0.0123933j -0.00646579+0.0283444j 0.00457749-0.0415982j 0.0054398+0.025248j 0.0490181-0.029998j -0.0193617+0.0290347j 0.0205543+0.0346511j -0.0593926+0.0350686j 
0.0212105+0.0213038j 0.0167863-0.0215509j -0.00724334+0.00259114j -0.0198812-0.00506377j 0.00184986+0.0116914j 0.00539159+0.00488149j 0.0215892+0.013357j 0.0192633-0.00620328j 0.012305+0.0136572j -0.0216191+0.0165342j 0.00571287+0.0166782j -0.0395307-0.0276313j 0.00142411-0.0140706j -0.0308395+0.00843925j 0.0112308-0.0109455j 
0.0294637+0.00487199j 0.0044211-0.0253354j 0.0228533+0.0143439j 0.012156-0.00495859j -0.027381+0.0146721j -0.004921+0.0216933j 0.0201349+0.0130958j 0.00658685+0.00506656j 0.0116262+0.00411272j -0.00781384-0.0386398j 0.0321732+0.0154317j -0.0559089-0.0265428j 0.00892442-0.0254725j -0.00777908+0.00926697j -0.00656663-0.0226528j 
0.00128719+0.00784417j 0.00440731+0.000832742j -0.00136816+0.0141105j -0.023642+0.00457927j 0.017884+0.00319342j 0.014631+0.00411468j 0.0201022-0.0214021j 0.00759987+0.0021679j 0.00872215-0.0100296j 0.00197565-0.00530423j -0.0059669-0.0143328j -0.00170649-0.015984j -0.00495688+0.00460304j 1.00187e-05-0.0062009j 0.0101146-0.00672308j 
-0.00182196-0.000386942j -0.000907417-0.00072408j -0.00457765+0.00863893j -0.00714805-0.00172812j -0.00738871+0.00616208j -0.0048009-0.0297897j 0.00677226-0.00506448j 7.64743e-05+0.00849168j 0.00418478-0.00527401j -5.02312e-05-0.00995589j 0.012636-0.000897259j 0.000785181-0.00532901j -0.00915866-0.00601861j 0.00214105-0.00620974j 0.00538947+0.0118749j 
-0.00300889-0.00911586j -0.00689447+0.0024841j 0.00709494+0.0206108j -0.00455625-0.00974406j 0.0399428-0.00421521j 0.014003+0.00980669j 0.0103557-0.0389811j 0.00137006-0.00453256j -0.013672-0.0204424j 0.0124586-0.0298451j -0.0315037-0.00337696j 0.0158316-0.0217205j 0.00329069+0.00800844j 0.0100624+0.00288023j -0.0046807+0.000448992j 
0.00573471+0.0030728j 0.00495739-0.00983855j 0.00637393-0.00938899j -0.0022655+0.00200062j 0.000603499-0.00156847j -0.00311437-0.0288621j 0.025784+0.000976356j 0.0158666+0.00644941j 0.0227966-0.00234913j 0.00417318-0.0241181j 0.00925938+0.0187467j 0.00305221-0.00597607j -0.00365505-0.0200184j 0.00203293-0.00985103j 0.00612323-0.00174601j 
0.00530518-0.0066403j -0.00586032-0.00572562j 0.0388232-0.00267201j 0.0159535+0.019469j 0.0223111+0.0026447j -0.0117023-0.0305945j 0.027629+0.00993188j 0.00417392-0.00705074j 0.00574096-5.83136e-05j -0.0159766-0.00464701j -0.0136876+0.0112029j -0.015911+0.000959239j 0.00174045+0.0228275j 0.00158537+0.00591387j -0.0117536+0.00501611j 
-0.000773622+0.000395958j -0.00584431-0.00597021j -0.000844909-0.0135874j 0.00693385-0.00255958j 0.00635352+0.000287338j -0.0171402-0.0317682j 0.0163663+0.00992232j 0.00451457-0.00636811j 0.00850511+0.00847053j 0.00150979-0.00150988j -0.00212373+0.0106954j 0.0121519+0.00275668j -0.00450209-0.00247397j 0.00255976-0.000845974j 0.00176508+0.00889848j 
-0.00231601+0.014415j -0.00313511+0.000299397j -0.00779261-0.0125579j -0.0234037-0.00221441j 0.00992185+0.00638986j -0.00234579-0.0170923j 0.00374087+0.0256384j -0.00856632-0.013368j -0.00323585+0.0113929j -0.00428079+0.0240273j -0.0142547+0.0112002j 0.0130626-0.00830356j -0.019583+0.00321629j 0.00189584-0.00467813j 0.0001219+0.000462464j 
-0.00473007-0.00722579j -0.0051733+0.00474946j -0.005884+0.0249552j 0.000915104-0.00429554j 0.0136227+0.0067864j 0.0140418-0.000107688j -0.0101593+0.00217652j -0.0052901+0.00559509j -0.011537+0.00356454j 0.00666029+0.00766614j -0.00637632-0.00978804j -0.000887655-0.0015686j 0.000623012+0.0154953j -0.00211739+0.013673j -0.00367477+0.0168362j 
-0.0172994-0.0259663j -0.0179908+0.0241272j -0.00220194+0.0450488j 0.0170107-0.00397953j -0.00715226+0.00870356j 0.011197-0.00168351j -0.0285265+0.000501501j -0.0275535+0.00862272j -0.0200564+0.011524j 0.00185486+0.0082619j -0.00154709-0.0131594j 0.0123189+0.00298279j -0.0119315+0.0427778j 0.0100209+0.0176134j -0.0221254+0.0376532j 
0.0128842-0.0114045j -0.00832442-0.0250848j 0.0129197+0.00571842j 0.0439456-0.0222609j 0.0209939+0.0043421j 0.004486+0.00718214j 0.0100677+0.0081206j 0.00782485-0.0102857j -0.0194129+0.0164926j -0.00117433-0.0110522j -0.0313829-0.00553204j -0.0270402-0.00274317j 0.0208442-0.00418724j -0.0222258+0.0314391j -0.0164971+0.013184j 
0.000624307+0.00858048j 0.0051571+0.00526965j -0.00416726-0.026502j -0.00944188+0.0125272j 0.0143543-0.00306912j 0.00407542-0.0140285j 0.0187254+0.0159263j -0.0183744+0.00633999j 0.00651059+0.00289494j 0.000941429+0.0218186j -0.0103522+0.0111344j 0.00654471-0.0045239j -0.00400385-0.000195028j -0.0043636-0.0249395j -0.011669+0.00911189j 
