0.00791124+0.0102662j 0.0165093-0.0236732j 0.00485937+0.010883j -0.00479554+0.0203507j -0.0396157-0.0119057j 0.0252724-0.0224178j 0.0196095-0.00133689j -0.0146077-0.025348j 0.00364831+0.00358393j 0.006836-0.00823263j -0.0205363+0.0132468j 0.0079205+0.0307655j 0.00955457-0.0139061j 0.0081197-0.025751j 0.00885986-0.00974402j 0.0267954+0.0198629j -0.00718235-0.0186171j 0.0235552+0.0101474j -0.00801411-0.0105806j -0.00173349-0.00191851j 0.00350829+0.00745643j -0.0204662+0.0122398j -0.00443193-0.00395534j 0.0049015-0.00773701j -0.0094408-0.00380585j 0.00165244-0.00760622j 0.0168111-0.0196087j -0.020849+0.00970588j 0.0137519+0.0231165j -0.0124833+0.00807484j -0.00480222+0.00718306j 0.00546452+0.0195152j -0.0315123-0.00729016j -0.000659972-0.022697j -0.00664711-0.0387656j -0.00529396-0.0273085j 0.00717531+0.00447913j 0.00551536-0.00204254j 0.0167146-0.0350695j 0.0319634+0.0112404j -0.0179258+0.00110991j 0.0149647-0.00766858j 0.0118284-0.0157408j 0.0138493+0.0113389j 0.0344974+0.0437829j -0.0163246-0.00772144j 0.0617678-0.02502j 0.0137993-0.0258043j -0.0247534+0.00789576j 0.012314+0.00168483j 0.00930741-0.0272472j -0.0315056-0.00790352j 0.013812+0.0277085j -0.0261766+0.00404935j 0.021367+0.00814616j 0.0119035+0.0267936j 0.016483-0.0185598j 0.00716905-0.0169832j -0.0178291+0.0194113j -0.0186403+0.022334j 0.00651346+0.00240084j 0.0305297-0.00331797j -0.029122-0.0665696j -0.0608157-0.0446908j -0.0166343-0.056222j -0.0827605+0.0501682j 0.05024-0.0360603j 0.0447035+0.0212946j 0.0148374-0.013776j -0.00567441+0.0157422j 
0.0157681-0.0223785j -0.00806455-0.00947412j 0.00742023-0.0166625j -0.00351528+0.0158961j 0.0310848-0.0266039j 0.0254742-0.0028872j 0.0277908+0.0192461j 0.0214491+0.00714843j -0.0060814-0.00961797j 0.0306547+0.00526429j -0.00742461+0.00737622j 0.000964563+0.0124535j 0.00740715+0.0149011j 0.0325089+0.0120276j -0.00201587-0.00112958j -0.00618562-0.00384888j -0.00127186-0.00523557j 0.0049173+0.011878j 0.0129181-0.00756743j -0.00499956-0.0120411j -0.00754394+0.0202997j -0.00382273-0.0166349j -0.00936561-0.0092257j -0.0131884-0.0106225j -0.00744739+0.00543267j 0.00112582+0.00899588j -0.00089828-0.0123537j 0.0080525+0.0223871j -0.00172803-0.0149104j 0.0118047+0.0221726j 0.0268522-0.0130017j -0.00404825-0.00150446j 0.0138946+0.0152301j 0.00364264-0.0142401j -0.0453228-0.00236471j -0.00308228-0.0117078j 0.0255977-0.0124101j -0.0246728+0.0183281j -0.0272758-0.0043091j 0.0178483-0.0273628j -0.00787797+0.0134707j 0.014798+0.0191884j -0.0321367-0.028702j 0.00493276-0.0293569j 0.0284075-0.0470931j -0.00800729+0.0169574j 0.00820627-0.019376j -0.0285885-0.0337132j 0.00859356+0.0147381j 0.043856+0.00932405j -0.00729882-0.00376802j 0.0356123-0.0261455j 0.00557987-0.0311875j 0.0135181-0.000961257j 0.0037809+0.0296308j 0.0198531+0.0130037j 0.035103+0.0413085j 0.000636032-0.00725674j 0.0173927-0.0208335j -0.00924341+0.00186794j -0.0304868+0.0182149j -0.00152474+0.0141726j 0.0773686-0.00935651j 0.0261872-0.0562778j 0.0421489-0.0358329j -0.0435789-0.0888916j 0.0512816+0.0373276j -0.0277024+0.0296246j 0.00386293-0.0164551j 0.012931-0.0155174j 
0.00264435+0.0179133j -0.00637713-0.00423799j 0.00253281-0.00254932j 0.0472576-0.00727643j -0.0471343+0.0499539j -0.0197917-0.00841693j 0.0131064-0.0369685j 0.00636735+0.0163513j -0.0225743-0.0080141j -0.0542858-0.00499858j 0.00810914-0.0255258j 0.0201091-0.00519321j -0.0198348+0.0499842j -0.044285+0.0452733j 0.0100607+0.033497j 0.00629908+0.00588454j 0.00419814+0.00942249j -0.0234289-0.0173419j 0.0131422-0.0411497j 0.00817733+0.00413741j 0.0452772-0.0239954j 0.0701204+0.00840895j 0.025627-0.00596835j 0.0614573+0.00201532j -0.0431224+0.0110153j -0.0303776-0.0034717j -0.048619+0.0428173j 0.0217431-0.0301627j 0.0261385-0.0337093j 0.0192879-0.017137j -0.0142821-0.0521185j -0.0489076-0.0123172j 0.0184499+0.0102452j -0.0234752-0.00601443j 0.0848138+0.0167215j 0.0186217-0.0279158j 0.0172904+0.00019733j 0.00951967-0.0359212j -0.0091766+0.0228257j 0.00700088+0.0172307j 0.00413471-0.0387678j 0.00285062+0.0268027j -0.0469172-0.00719217j 0.0489732+0.0827506j 0.0118148+0.0185123j -0.0175205-0.0626702j -0.0170716+0.00897805j 0.0843653-0.0721257j 0.0501737+0.0130138j -0.00377111+0.0343888j 0.0591357-0.0146195j 0.0196437-0.00783048j -0.016477-0.0470219j -0.0259649+0.00574951j 0.00872928+0.0486531j 0.0203824+0.00505958j -0.0366269-0.00329456j 0.0348261-0.048185j -0.0745338-0.0561912j 0.0266734+0.0181647j -0.117669+0.0421137j 0.0737449+0.0144145j 0.0286439-0.0769148j -0.00771496-0.0242179j -0.0704266-0.0341156j 0.0485896+0.0439279j -0.0253257-0.0192368j -0.0145379+0.0134365j -0.00169297-0.0104487j 0.0145292+0.0126407j 
0.00788139-0.0115026j -0.0114589-0.0211233j -0.0208655-0.0148198j 0.0379018+0.00288722j -0.0424659-0.020804j 0.0192518-0.0161594j 0.061683-0.0113769j 0.0448981-0.00721795j 0.00523369-0.028195j -0.0140936-0.00321977j 0.0134128-0.0230561j -0.0200806-0.0261784j -0.011292+0.0203525j 0.00468961+0.0157094j 0.0344577+0.0503979j 0.00519744+0.0376279j 0.0122989+0.000917663j 0.00509064+0.0499886j 0.00259241-0.0205549j -0.013117-0.0119219j 0.0599104+0.0365156j 0.0300501-0.0229269j -0.0203247+0.00429568j 0.0197197+0.0427929j -0.010721+0.0147952j -0.0302347+0.0647115j -0.00921485+0.000372657j -0.0399681-0.0103238j -0.00436605+0.00445803j 0.00853462+0.0181194j -0.0532971+0.00360116j 0.0386267+0.0385608j -0.0172556-0.0177707j 0.00694963-0.00537455j -0.0210108-0.0771594j -0.0164307-0.0264887j 0.0211562+0.00728034j -0.0391056-0.00696408j -0.0390533-0.0381774j 0.000303573-0.0188673j -0.0277535-0.00487836j 0.052254+9.86247e-06j 0.0115206+0.0118327j 0.0507682-0.00820487j 0.0695778-0.0904571j -0.0641374+0.0673529j -0.0119683-0.072818j -0.0690009-0.0632998j 0.0536382+0.0246097j -0.00780899+0.014249j -0.0417778-0.00370575j 0.0237999+0.0356107j -0.0147171+0.0132695j -0.0251563+0.0130048j 0.0357642+0.0329836j -0.0295315-0.0566323j -0.0316669+0.0272575j 0.111629+0.0493121j 0.0615743-0.0947803j 0.0212671+0.0556788j -0.0544005-0.057211j -0.0363498+0.0892439j 0.0807283-0.0277255j 0.0491967-0.0311514j 0.0310369-0.0784342j -0.0510661-0.0249881j 0.0109638+0.00583615j -0.00543636+0.0170865j -0.00847519-0.0215698j 0.0167779-0.00812691j 
0.0156803+0.0151082j 0.0361257-0.0376801j 0.0232677+0.00841056j -0.0240863+0.0330898j -0.0601278-0.0238483j 0.0407099-0.0450605j 0.0506672-0.0229068j -0.0334322-0.0604428j 0.0053206+0.0275611j 0.0204217-0.0170187j -0.0392396+0.0385239j 0.0577936+0.0863128j 0.0436652-0.0229464j 0.0302721-0.0600835j 0.0115259-0.0424907j 0.0327804+0.018014j -0.00733641-0.0234275j 0.0587862-0.00303306j 0.028043+0.00815507j -0.00432389-0.0228678j -0.00462072+0.0172339j -0.0573517+0.0262649j -0.0109493+0.00432889j 0.0158557-0.0216153j -0.0276445-0.033535j 0.0134784-0.0358296j 0.057023-0.0338696j -0.046957+0.0403359j -0.00146431+0.0499592j -0.0272597+0.00500966j 0.0279481+0.00492673j -0.000363767+0.0368514j -0.0896513-0.0184271j 0.0125349-0.0502764j -0.023083-0.106223j 0.0337143-0.0668291j 0.0319605-0.0424858j 0.0190159+0.0420249j 0.0645977-0.064612j 0.0953224-0.0203347j -0.0170275-0.027121j 0.0305745-0.00913949j -0.016887-0.0988455j -0.0032409+0.0229827j 0.128983+0.141356j 0.0128971-0.0422588j 0.177044-0.054027j 0.0460171-0.0815871j -0.0112468+0.0531482j 0.0486322+0.0318652j 0.0384675-0.0946205j -0.0567218-0.0547109j 0.0620222+0.0551679j -0.0263723+0.0248731j 0.0570801+0.00972787j 0.0590399+0.106763j 0.0500494+0.0229406j 0.000616356-0.0554482j -0.0891173+0.0261415j -0.0345849+0.00884591j -0.0508049+0.0490539j 0.0347492-0.00707394j -0.0408674-0.147295j -0.131844-0.0944747j -0.0280843-0.106004j -0.222164+0.0798105j 0.0754598-0.0451628j 0.0849797-0.0101293j 0.0240998+0.00192394j -0.00428104+0.00916741j 
0.0307955-0.0351822j -0.0138094-0.00748374j 0.0317032-0.0218254j 0.00369675+0.012143j 0.0743474-0.0396146j 0.0276897-0.00204041j 0.0405698+0.0413027j 0.0437316+0.0112873j -0.0120743-0.0042822j 0.0645642+0.0119568j -0.0102145+0.0259848j 0.00716381+0.0559647j 0.0232686+0.0412524j 0.0524094+0.0377541j -0.0219504-0.026109j -0.0366953-0.0594581j 0.00720201+0.00409182j 0.0114529+0.0219819j 0.0531892+0.00570815j 0.00116367-0.0062701j -0.0364626+0.0352536j 0.0080808-0.0206187j 0.01461-0.0348522j 0.00328571-0.00020052j -0.0499885-0.0205226j -0.000435917+0.00436486j -0.000754297-0.00263069j 0.0532107+0.056984j 0.00540323-0.0586863j 0.0210732+0.0231796j 0.0775032-0.069253j -0.0704774-0.0124236j 0.0499347+0.057241j -0.0111925+0.00778388j -0.0814292+0.0367389j 0.0293529-0.0270035j 0.0975146-0.021128j -0.0587054+0.0241748j -0.0775357-0.0115863j 0.0166382-0.115168j -0.00413275-0.0113479j 0.0158412+0.0767005j -0.106711-0.074961j 0.0135675-0.018486j 0.0713173-0.144776j -0.0247082+0.0175022j -0.0365954-0.0235978j -0.0389414-0.0899547j 0.0670195+0.0132528j 0.123667+0.0451878j 0.00526158+0.0121958j 0.0997547-0.0613903j 0.00552448-0.0973483j 0.0591576+0.0165175j -0.0253272+0.0704672j -0.000879751+0.0430298j 0.0567389+0.104484j -0.00439159-0.0289176j 0.0144401-0.0689613j -0.0130703-0.0425104j -0.0912848+0.0277838j 0.00337305-0.0235176j 0.159336-0.0123248j 0.0680798-0.12589j 0.0866477-0.0289704j -0.0487144-0.214939j 0.0953514+0.0343772j -0.0156222+0.0359824j -0.00148401-0.00747482j 0.018554-0.00337617j 
-0.00612789+0.0213178j 0.00736345+0.00747518j 0.00747128+0.0254768j 0.01284+0.0231879j 0.0160824+0.0296298j -0.047764-0.0448323j -0.00580479-0.0651895j -0.00186935-0.0112817j -0.000587864+0.0774723j -0.0338493+0.000337155j 0.0222393+0.0850705j 0.106382+0.0208418j 0.0397352+0.0519932j -0.0216324-0.0184971j -0.0452091-0.0303529j -0.0381704-0.160665j -0.0196507+0.0816017j -0.0199972-0.0512346j 0.0843954+0.08167j 0.00742682-0.0268405j -0.0208562+0.0166231j 0.047071+0.00760448j 0.0280064-0.0177035j 0.00402079+0.115999j -0.072856-0.0615546j -0.0473976-0.0269024j 0.12829+0.00435289j 0.0123014+0.00325716j -0.0936569-0.00402267j -0.0592028-0.0810173j 0.0161386-0.0114363j -0.020259+0.0402703j -0.0331108-0.0135556j -0.0565993+0.100897j 0.0311973-0.0449436j 0.103979-0.00723835j 0.0117911-0.109731j -0.00321342+0.0393281j 0.0383163-0.0023649j -0.0515767-0.082789j 0.0882658-0.127609j 0.0415717-0.00721954j 0.0330461+0.095582j -0.105458+0.0681989j 0.0368517+0.00370316j 0.0193674+0.00344747j -0.02792+0.0355071j -0.0674201+0.0396063j 0.0677544-0.00085668j 0.000912735+0.0299461j -0.0171134-0.0158945j -0.0443842+0.0711112j 0.0700021+0.0716047j 0.0223658+0.12497j 0.0251765-0.100309j -0.0806551+0.0653846j -0.108577+0.0987668j -0.0156276+0.0257302j -0.0299808-0.0391648j 0.0634185-0.0790726j -0.0828575-0.00327523j -0.0303092-0.0744218j 0.0470157+0.0626259j 0.0386788+0.0801601j -0.0141944+0.0700572j -0.0370165-0.0258926j 0.0166324+0.0744779j -0.01538-0.0193132j 0.0252773-0.00492879j 2.24e-06+0.0183646j 
-0.0052176-0.010569j -0.0178972+0.0158695j -0.0255238+0.0146349j 0.0260134-0.0214327j -0.018549-0.00784272j -0.0452921-0.0274924j 0.0310858-0.00227361j 0.00157166+0.00238087j 0.0548594+3.56924e-05j -0.0166025-0.0212185j 0.0793579+0.0037347j 0.0402567-0.0554446j 0.00556651-0.0206843j -0.0117144+0.015335j 0.0220768+0.061438j 0.027276+0.00166186j -0.0119362+0.0686758j 0.00692015-0.0913505j 0.0401037+0.0997457j 0.0897995-0.131353j -0.00848137+0.0964526j 0.112185+0.00483994j 0.0235625+0.0986347j -0.0467329+0.011035j 0.030825-0.11672j 0.00934836-0.0349921j 0.00197874+0.0676358j -0.0894549+0.00955476j 0.039664+0.0132282j 0.0742652-0.02327j 0.0294454+0.117961j 0.059839-0.0294703j -0.0623465-0.00313346j 0.0952161-0.032971j -0.0143361-0.0843565j 0.0842407+0.0646059j -0.0536865-0.161884j -0.112751+0.130234j 0.0688487+0.0995074j -0.0391809-0.0119118j 0.0256965+6.00355e-05j 0.0414996+0.000745442j -0.104198-0.0174837j -7.96069e-05-0.105917j 0.0176554-0.122079j 0.222479-0.0200848j -0.0480562-0.0208293j -0.107386-0.0812559j 0.11474-0.0410755j 0.0138688-0.0416506j -0.102272-0.109934j -0.00195468-0.0176488j -0.0695299+0.00165021j 0.025508-0.0391382j -0.0435798-0.0656259j 0.116502-0.00721149j -0.0796804+0.120232j 0.00990611+0.141104j 0.0502133+0.00210612j -0.0310428-0.0323277j -0.0299203+0.0687448j -0.120704+0.0455607j 0.105439-0.0184373j -0.037972+0.0574449j -0.00245686-0.0423505j -0.0348385-0.0448005j 0.0163346+0.0155737j -0.0104624+0.0261451j -0.00732922+0.0264646j -0.0151864-0.00634564j 
0.0112586+0.0137543j 0.00443424+0.0313664j 0.0485263+0.0137046j -0.0253868-0.00997686j 0.0601959+0.0917247j -0.00049214+0.0412562j -0.0640722+0.0532788j -0.0611336+0.0200193j -0.0246716-0.0163876j 0.0191297+0.038401j -0.0260994-0.00983101j 0.0278946+0.0305061j -0.0426426+0.0144718j 0.0348787+0.0583754j -0.00532522-0.00318555j 0.028605+0.00565186j -0.00427554+7.03483e-06j 0.00559915-0.177156j 0.0522116-0.0684759j 0.0412976-0.0273472j 0.0543161+0.0266344j 0.0483948+0.0170521j 0.00140937-0.0304778j -0.0375084-0.0458614j 0.0015229+0.061261j 0.00157045-0.0723841j -0.177565+0.061765j 0.0284818-0.0354055j 0.130635-0.0394954j 0.168082+0.032583j 0.0221072+0.0464585j -0.0438217-0.163512j 0.00694398+0.0320041j 0.0226167-0.10148j 0.106407+0.0950144j -0.00258091+0.0352245j -0.0487491-0.0812888j 0.0423333-0.00608911j 0.0305544+0.139373j 0.0254301-0.00620811j -0.0174047+0.0135312j -0.0496733+0.0943956j -0.148074-0.0600167j 0.0043221+0.0496104j 0.0522461+0.086792j 0.0855536-0.177641j 0.0227654+0.000231259j 0.157562-0.0703152j -0.0837847+0.0544585j -0.0113079+0.117807j 0.0615798-0.120461j 0.0733095-0.0371007j 0.0367694-0.0773654j -0.0454281-0.106433j -0.0430673+0.0120963j 0.0805174+0.0548697j 0.115237+0.140512j -0.00695269-0.104197j -0.0795704+0.030716j -0.0657002-0.0611885j -0.0104358+0.12135j 0.099603+0.0160347j -0.0081164-0.0869932j -0.073423+0.0242942j -0.0335562-0.06596j 0.0939747+0.0160396j 0.00214266-0.0331092j -0.00648084+0.0337676j 0.00134579+0.0310375j -0.00363162+0.00881196j 
0.0101912+0.0119019j 0.0192109-0.00780263j 0.0317728-0.00263952j -0.0237012+0.00979935j 0.0140411+0.0474886j 0.0443405+0.0112312j -0.00116888-0.00575733j -0.0259393-0.0147647j -0.0098085-0.000286715j 0.035323+0.0344175j -0.0355149-0.00627957j 0.00918549+0.0325214j -0.010778+0.0105281j 0.0695594+0.016893j 0.0504156+0.0110997j 0.022914+0.0210107j 0.00914613-0.00218008j 0.0331933-0.0300245j 0.0717163-0.0444759j -0.0596948-0.0012286j 0.139498+0.11061j -0.0504557-0.0494299j -0.0899642-0.0709835j -0.108261+0.109948j 0.00517972+0.0978017j -0.0632569+0.04639j -0.0385459-0.029728j -0.0953836-0.0620304j -0.00092785+0.0456006j 0.058069+0.0635762j -0.15382+0.108524j 0.0789638+0.00797627j -0.0836525-0.0706151j 0.0302803-0.0130801j 0.0247032-0.13773j -0.0295361-0.0227347j -0.0267258-0.0134893j 0.0196468-0.0891171j -0.00321235-0.0220515j -0.0347081-0.0793383j -0.061073-0.0147157j 0.118316+0.0492476j 0.042203+0.135346j -0.0471475-0.0345936j 0.221716-0.00534286j -0.167665+0.115292j 0.0776663-0.129148j -0.142964-0.0489961j -0.0453093+0.102467j -0.124129+0.133727j -0.104265-0.0941198j 0.0355177+0.146134j 0.0734226+0.178967j -0.112233-0.0371921j 0.0494885-0.0323228j -0.102752-0.100728j -0.00659866+0.164311j 0.165258-0.00660061j 0.066752-0.0878572j 0.0112101+0.0175209j 0.0233576-0.131325j -0.0205542+0.122944j 0.061501+0.00454935j 0.0317801+0.0201421j 0.0481416-0.0856373j -0.048542+0.0655964j 0.00225336+0.0388429j 0.0501224+0.0199531j 0.0218534-0.0148609j 0.00370997+0.0174061j 
-0.0102345-0.025138j -0.00734071+0.033569j -0.0066556-0.0104646j -0.0256688-0.040696j 0.0745765-0.0166313j 0.0210589+0.0565735j -0.0448179+0.04179j 0.00946784+0.00680773j 0.035699-0.010567j 0.0433473+0.08648j -0.0593255+0.0272225j 0.00761792+0.0987707j -0.0663381-0.032906j -0.0439591-0.0410619j -0.0916724-0.0996369j -0.0676657-0.0340292j 0.0526763-0.11836j -0.105923+0.0551115j 0.101201+0.116663j -0.0526016-0.0405893j -0.112787+0.00768808j -0.118969+0.0110067j -0.0107513+0.0339637j -0.0498133-0.168471j 0.152286-0.0378334j 0.0327922+0.138784j -0.0599271-0.0494501j -0.147014-0.0135546j -0.0908083+0.0681797j -0.151998+0.0116121j 0.157019+0.00292559j 0.128193-0.0319374j 0.0207033+0.0215386j 0.0454633-0.117091j -0.156061+0.0439884j -0.102347+0.0759172j 0.0177487-0.0587959j -0.0513783+0.0984897j -0.00316505-0.061244j 0.016028-0.0504586j -0.0674343+0.031362j -0.0772594-0.045964j -0.0463252+0.0305888j -0.189616-0.235177j -0.0156592+0.105879j 0.0664578-0.0197046j 0.0341519-0.0773344j -0.0149581+0.103425j 0.0181736+0.0786758j -0.0153107-0.021745j -0.00159395-0.0453786j -0.0810899-0.143766j 0.102579+0.0434369j 0.110483+0.0444043j 0.0546236-0.00403284j 0.0791099-0.143239j 0.117757+0.00353645j 0.00895185-0.0258749j 0.112182+0.125651j 0.00619749+0.00871564j 0.0405677+0.0734443j -0.039239-0.0703327j -0.0743573+0.122313j 0.0024941+0.0357093j 0.0199438+0.0797434j -0.0716724-0.0345286j 0.0522164-0.00287443j 0.024191-0.00910684j -0.0106735+0.0511123j -0.0446081-0.0201182j 
