-0.0044598+0.00802136j -0.00796669-0.00581601j -0.0065613-0.0025452j 0.000106587-0.00692764j -0.00181572-0.00432574j 0.00291785+0.00162345j 0.00171281-0.0013105j -0.00356222-0.00195159j 0.000258022+0.00879447j -0.00119688+0.000685645j 0.00332169+0.000475877j -0.00330261+0.000376563j -0.000351986-0.000112541j -0.00220362+0.00293746j 0.00106297+0.00135413j -0.000389383-0.00086271j 0.00113805-0.00451638j 0.00185727-0.00292299j 0.00127684-0.000117805j 0.000126197+0.00118357j 0.00168431-0.000120675j -0.000359038-0.00025778j -0.00236537-0.00138003j -0.00132777+0.00234861j -0.000925593+0.00166128j 0.00332317-0.000923745j -0.00344944+0.000418515j 0.00615404-0.000827835j 0.00491394-0.004152j -0.00140419-0.000154704j 0.00661292-0.00297863j -0.00104149-0.000721987j 0.000323692+0.00107996j 0.00196691+0.00466116j -0.00415055-0.000866428j -0.000603442+0.00562186j 0.00233697+0.000183971j 0.00364138-0.00651202j 0.00520177-0.0027112j 0.00339+0.00206168j 0.00115014+0.00201172j -0.000755831-0.00154682j -0.00120844-0.00581708j 0.00204658-0.00229138j -0.00622298-0.00157621j -0.00555649-0.000627436j 0.00432121-0.00509996j -0.00097507+0.00314004j -0.00618785-0.000979417j -0.00465109-0.0013227j 0.00318123+0.000447215j -0.00113187+0.00222251j 0.00613229+0.00446521j -0.00155676+0.000940439j -0.00112839-0.00103255j 0.00485375-0.0019888j 0.00180842+0.00133636j 0.00124692-0.00118934j 0.00468439+0.00256132j 0.00481915+0.00136457j 0.000493816-0.00145533j 0.00121732+0.00349779j 0.00371353-0.00084482j -0.00410329+0.00124214j -0.00126616+0.00374334j -0.00302779+0.00224164j -0.000714634-0.00182053j 0.00130928-0.00217064j 0.00186251+0.00417839j -0.00134926-0.00474746j -0.00196176+0.00241055j -0.00122349-0.00062755j 0.0011545-0.00139393j -0.0011284-0.00125684j 0.0050872+0.00269795j -0.00177139+0.00191603j -5.67667e-05-0.00249895j 0.000132027-0.0027732j 0.0019927-0.00263454j -0.000198301-0.00287083j -0.000330238-0.00494677j -0.00248768-0.00241915j 0.000612206-0.0017784j -0.00121455+0.00172623j -0.00160356-0.00655536j -0.0020617+0.00234205j -0.00334755-0.00252933j 0.00453284+0.000138348j 0.00203056-0.00325785j 0.00239895-0.0245736j 0.00523633-0.00423976j -0.00747045+0.0039298j 0.00338352-0.00577999j -0.0201411-0.0230855j -0.028961+0.0180337j 
0.00770894+0.00673316j -0.0050835+0.00764435j -0.00108655+0.007577j -0.00547-0.00227907j -0.00345632-0.000541967j -0.000820754-0.0041147j -0.000438847-0.00420493j -0.000636116+0.00429173j 0.00561706+0.000745514j -0.00152115+0.000505125j 0.00104735-0.00261569j -0.000113548+0.00157538j -0.00165266+0.00335649j 0.00080984+0.000339338j -0.00154329+0.000153028j 0.000595345+0.00216314j -0.00424195-0.0018869j 0.00122656+0.00171966j 0.00473945-0.00184466j -0.00115982+0.00186568j 0.00052381+0.00123595j 0.00302389+0.000546684j -0.0013852-0.00359276j -9.48568e-05-0.000320731j -0.000389043+0.0023694j -0.00108569+0.000179084j -0.000656727-0.000429154j -0.000652192+0.00100084j 0.00616257+0.00103021j 0.00587093-0.00235606j 0.00264668+0.00227901j 0.00190368+0.00211025j 0.00306431-0.00241831j -0.00832696+0.000273776j 0.0036991-0.001731j -0.00764986-0.000301095j -0.000131898+0.0021463j 0.00796095+0.00227837j 0.0031921-0.000877083j -0.00305245+0.000821012j -0.000523999+0.00161984j 0.000916726-0.00241023j 0.00286417-0.00222466j 0.00123329-0.00147777j 0.00621738-0.00659042j 0.00293024-0.00330937j -0.000949133+0.00203496j -0.00290762-0.00251231j -0.000920441-0.000757709j 0.000354171-0.00523353j -0.00225791+0.00397094j 0.00151551-0.00176709j 0.000141419+0.00135827j 0.00252123-0.0045506j 0.000145456-0.00170382j 0.00128114+0.00455706j 0.00152745+0.00335579j -0.00127258-0.000348215j -0.00216596+0.00412857j 0.000379282+0.00282956j 0.00175777+0.00280422j -0.000971445+0.00226107j 0.0029097+0.00397113j -0.00181389-0.00424901j 0.000641024+0.00208761j 0.000265794+0.000349023j -0.00353104-0.00471159j -0.00192468-0.000989681j -0.00166584+0.00229228j 0.00220362+0.00621304j -0.000362609-0.000622031j -0.00280474-0.00173159j -0.00223482-0.00478517j 0.000494349-0.00330823j -0.00189973-0.00314397j -0.00208357-0.00359849j 0.000463769-0.00195664j 0.000779686+0.00509433j 0.00272677+0.00208682j 0.00305003-0.00163993j -0.00226707-0.000887925j -0.000732925+0.00351947j 0.00195584-0.000518813j -0.00133408+0.00282598j 0.00214732-0.000688388j 0.000142187-0.00730072j -0.00566105+0.00309859j -0.00378193-0.00317212j -0.0027336-0.00280989j -0.00525176+0.0044786j 0.00514829-0.0244841j -0.00183948+0.00196792j -0.00814283+0.00308223j -0.0292318+0.0177312j 0.0208344+0.023725j 
0.00609879-0.00250536j 0.00317777+0.00575476j 0.00106618-0.00434272j 0.00315748-0.0027403j -0.00248836+0.00416876j -0.00300014-0.00267875j 0.0024747-0.00346186j 0.00459891+0.000507251j -0.00222097-0.000881735j -0.0013766-0.00158526j 0.00668982+0.000522263j 0.00394324-0.00412899j 0.000645177+0.00246508j 0.00087569-0.000119452j -0.00100574+0.00123411j 0.00136985+0.00216978j -7.25919e-05+0.0036064j 0.00439067+0.00344954j 0.00429583+2.84252e-05j -0.00328613+0.00158013j 0.00192869+0.00216139j 0.00266681-0.000385685j 0.0025158-0.00171191j -0.0012615-0.0010665j 0.000170133+6.72891e-05j -0.000912398+0.000890504j 0.000927879-0.00218836j -0.00458975+0.00244704j -0.00589783+0.0038333j -0.000165723-0.00441178j 0.00190331-0.000399769j -0.000272235+0.00100967j 0.0048275+0.00302424j -0.0013371+0.004219j 0.00178406+0.000585261j -0.00343798-0.00356451j 0.00480258+0.00130154j 0.00538697+0.0013165j 0.00263001+0.00039808j -0.00189061+0.000437631j -0.0017452-0.00233188j -2.1248e-05+0.000608443j 0.00104528+0.00405125j -0.00172383+1.33988e-07j 0.0030111-0.00268553j 0.000359527-0.00547773j -0.00179573-0.00400653j -0.00171232-0.00428338j 0.00171478+0.00241581j -0.000106171+0.00321255j -0.000345576-0.00145646j 3.9125e-05+0.000371343j -0.00299301-0.00107809j -6.04466e-05+0.0018073j 8.34245e-05-0.00269993j -0.00137808+0.00280059j -0.000576741-0.00166572j -0.00075923+0.00264728j -0.00180384-0.00200387j -0.00412405-0.00870198j -3.84517e-06-0.000600405j -0.00275509-0.00118797j -0.000208837-0.00236815j 8.38373e-05+0.00148807j -0.000834262-0.0041041j 0.000901373+0.00583749j -0.0032368-0.00461866j -0.000574026-0.000977349j 0.00116583+0.00601853j 0.000938272+0.000359629j 0.0035793+0.00275184j -0.00131881+0.00320296j 0.000656397+0.00425692j -0.00132816+0.00654933j 0.000798221-0.00139377j -1.52111e-05+0.00201897j 0.00253697+0.00383353j 0.000119749-0.000314651j 0.00119504+0.00109963j 0.00196905-0.00398324j -0.00466209-0.00253952j -0.00126928+0.0101513j -0.00632375+0.00821342j 0.00172921-0.0165246j -0.00113393+0.00727071j -0.00481295+0.00779749j 0.00349215-0.00578821j 0.00263089-0.00360983j -0.0115529+0.00724828j 0.00811332-0.00761768j 0.00501263-0.0111263j 0.025261-0.0114238j 0.0213486+0.0194075j -0.0168788-0.000314143j 0.00174032+0.0121397j 
0.00287336+0.00713787j -0.00554312+0.00272753j 0.00650027+0.00468954j 0.00208853+0.006769j -0.00364416-0.00518985j -0.000272757-0.0041047j 0.00328426+0.00465743j -0.00046444+0.00594802j -0.00240554-0.00508677j 0.00224732-0.00137054j -0.00260875+0.00169493j 0.00396809+0.00718215j -0.00138992+0.00259113j 0.0015619+0.00407385j -0.00666843+0.00122869j -0.000570902+0.00338248j 0.00206739+0.00674j 0.00514187-0.00527812j 0.00152385-0.00118482j -0.00114826-0.00090287j 0.00533739+0.00139707j 0.00250985-0.00534192j 0.00138947-0.00418252j 0.00253703-0.00446351j 0.00432905-0.00137127j 0.00224742+0.00148296j -0.00716396+0.00183143j 0.00690154-0.000343371j -0.00135877-0.000140434j -0.00870553-0.00243641j 0.00203768-0.00152696j -0.00247368-1.0278e-06j 0.00618818+0.00160687j -0.000543343+0.00394734j 0.00698749-0.00380391j -0.000501877+0.000696471j 0.00408448-0.00308429j -0.0032779-0.00191082j -0.00409694-0.00583595j -0.00212177+4.13803e-05j -0.00212371-0.00176715j -0.00352032+0.000541108j 0.00266686+0.00265619j -0.00470424+0.000870447j -0.000195267-0.000219864j -0.00166757-0.00140549j -0.0108349+0.00347218j -0.00493627+0.0024692j 0.00461343+0.000562686j 0.000519409+0.00127715j -0.00439641+2.27878e-05j 0.00346516+0.00169579j -0.000879099+0.0051645j -0.0042147+0.00233457j 0.00305266+0.00497229j -0.00406703+0.00327461j -0.000613027+0.000881077j 0.000178108+0.000589111j -0.000499959-0.00182383j -0.00442733+0.00616156j -0.00210143+0.00151913j -0.0013021+0.00277524j -0.00265926-0.000662917j 4.18523e-05-0.00162915j 0.0036264+0.00526379j 0.00101977-0.0027983j -0.00369198-0.000846995j -0.00136591-0.00374911j 0.0023064-0.00254379j -0.0017094+0.00139132j -0.000704805-0.00388465j 0.00140047+0.000726064j -0.0021668-0.0102187j -0.000647689-0.000854669j 0.000133056-0.00377117j -0.00131357-0.00299722j 0.00203536-0.00168052j 0.000455417+0.00109904j 0.00144612-0.000491636j -0.00387728-0.00107558j 0.00224538-0.00155001j -0.00176929-0.00257041j -0.000350308-0.000509794j 0.00658801+0.00119397j -0.000712672+0.0137044j 0.000768855-0.0179439j -0.00111811+0.00386864j 0.00166429+0.00117236j 0.00351011-0.00753378j 0.0114477-0.00854939j -0.00392527+0.00220592j 0.00872385+0.0252606j -0.0267492+0.015796j -0.00649815-0.0125742j -0.0171567-0.00300716j 
0.00511008+0.00478811j -0.00517979+0.00172702j -0.00144536-0.0042924j -0.00225801-0.00726641j -0.00178356+0.000695068j -0.000546556-0.002097j -0.00100548-0.00974355j 0.00591291+0.00150167j 0.00142393+6.37023e-05j -0.00169377+0.00131864j 0.00416271-0.00121259j -0.00229678+0.00399147j -0.00451598-0.00129516j -0.0050329-0.00507838j 0.000887522+0.000509738j 0.00244385-0.00108939j -0.0013754+0.00260284j -0.00350034-0.00272471j 0.00351514-0.00424451j 0.00418019+0.00277579j -0.00286511-0.00249716j 0.00183171-0.00613268j -0.000385682-0.000974625j 0.00430842+8.14184e-05j -0.00167287+0.00391081j -0.000514601-0.00110436j 0.000825787-0.00100083j 0.000803071-0.00349381j 0.00707004+0.00405938j -0.00564366-0.000485002j 0.00701853-0.00559364j -0.0031472+0.00404505j 0.00456868+0.00304077j -0.00100923+0.00334105j -0.00539352+0.00327153j 0.00149658-0.00608518j 0.00185603+0.00319891j 0.0073324-0.00259163j -0.00253323+0.00442756j 0.00136117+0.000938655j -0.00313932-0.00104189j -0.00441151+0.00686221j -0.00353617+0.00220461j -0.00120458-6.54609e-05j 0.00357983+1.77352e-05j 0.0029368+0.00312601j -0.000109804-0.00692283j 0.000408171+9.93554e-05j -0.00126701-0.00114998j -0.00312675+0.00656571j 0.00229101-0.00285401j 0.00107818+0.00275918j 0.00163454+0.00893151j -0.00182546+0.0102779j -0.000790882-0.00579559j 0.000809269+0.00363042j 0.00133718-0.000915629j 0.00196739-0.000726912j 0.00326764-0.00256545j 0.000179238-0.00599982j 0.00210579-0.000987663j 0.0012843-9.39567e-05j -0.00146573+0.00377286j -0.000242552+0.000232187j 0.00139159-0.0040181j -7.87517e-06+0.000375972j -0.00376319-0.00410579j 0.000406185-0.00129817j 0.00392338+0.000855081j -0.00364249-0.0109669j -0.00115825-0.00366537j -0.00129573-0.002124j 0.000788692+0.00562466j -0.00115748-0.00516238j 0.0022601+0.00158786j 0.00206481-0.00109827j 0.00399153+0.00346024j 0.00390713+0.00497581j -0.00243559+0.00374863j -0.00121505+0.00319548j -0.000288542+0.00894522j -0.00459309+0.00771506j 0.00387005-0.00212635j -4.85633e-07-0.00954677j -0.00462365+0.00683109j 0.00681978-0.0088312j 0.000517039+0.0144581j -0.0199709+0.0109246j -0.00618024+0.0158464j -0.0208318-0.0162056j -0.00892724+0.0411747j 0.021827+0.0112387j -0.0140749-0.00286021j 0.0234442-0.0081696j -0.0290284+0.00727418j 
0.00392009-0.00192571j 0.00252364+0.00616558j -0.00397546+0.00364815j -0.00669093-0.000651074j 0.00537955+0.00342399j -0.000241435-0.00130493j -0.00714909-0.00195111j 0.00363436-0.00571516j -0.00218141-0.00523564j 0.00271799+0.00166638j 0.0062871+0.000101036j -0.000716154+0.0021583j -0.00360664+0.00230961j -0.00596587-0.00275197j 0.00266835-0.0012677j 0.00360711+0.00316716j 0.00137013+0.00113195j 0.00472248-0.000492476j -0.00288605-0.00309501j 0.00164783+0.000659513j -0.00474188-0.0024291j -0.00334708-0.00358132j 0.0062231-0.00280359j 0.00559222-0.0025836j -0.00123611+0.00374156j -0.0087608-0.00315127j 0.00252311+0.0015948j -0.00432599-0.000942194j -0.00491887-0.000344049j -0.00237561-0.0104481j 0.0082218-0.00186589j -0.00378648-0.00352782j 0.00273515+0.00267397j 0.00644393-0.000261231j -0.00356785-0.00434874j 0.00412209+0.000794121j -0.00165412+0.00490677j 0.00230515+0.00125541j -0.00556652-0.00478227j 0.00138336-0.000791411j 0.000333596-0.0055724j -0.00302464+6.61759e-05j -0.00481591+0.00574247j -0.00151351-0.00455479j 0.00218039+0.00107228j 0.00252466+0.0041437j 0.0014621+0.00873055j 0.00105056+0.00404482j -0.000991944+0.00150879j -0.000537406+0.00365268j 0.00326493-0.00049978j -0.00108715-0.00599783j -0.00362819-0.00507694j -0.000729361+0.00270642j -0.00217226+0.00485292j -0.00161811-0.00313791j 0.00132691+0.000950374j 0.000286072-0.00437033j 0.000915097+0.0013343j 0.00349446+0.00980603j 0.0014846-0.00618944j 0.00458837+0.00305169j -0.00479597+0.00236853j 0.00175552-0.00497445j 0.000651522+0.00280069j 0.00101208+0.00373636j 7.46749e-05-0.00073965j -0.000862372-0.00246661j -6.0188e-05+0.00208669j -0.000987155+0.00872339j 0.000242006+0.00623331j 0.00157369-0.00493045j -0.00323204+0.00204176j -0.0032557-0.000410594j 0.00150904+0.000487462j -0.00167947-0.00223412j -0.00427355-0.00867962j 0.00345087-0.00445262j -0.00365841+0.00627663j -0.000338979+0.0117902j -0.00264308+0.00503253j 0.00781287-0.0076704j 0.00536701-0.0131862j -0.00857594+0.00764289j -0.004881+0.0122084j -0.00649647-0.000187613j 0.0141243-0.00311864j -0.0071143+0.0124267j 0.0288077+0.00233454j 0.000996896-0.0402584j -0.019731-0.013881j -0.00134885-0.00216407j 0.00194195+0.00394532j -0.0308718+0.00551641j -0.0192427+0.00338571j 
-0.000137872+0.00530548j -0.00612501-3.13172e-05j 0.00226355+0.00722082j -0.00226075+0.0011784j -0.000714237-0.00293298j 0.000840262+0.000607687j -0.000264674-0.00499744j 0.00324808+0.00457337j -0.000544964-0.00628826j -0.00369335+0.000939251j -0.00590969-0.00150814j -0.0030378+0.00712925j -0.00524394-0.00293427j -0.00335175-0.00429712j 0.0003983-0.00271753j 0.00231515+4.79016e-05j 0.00125986+0.0014919j -0.0117308-0.00361921j 0.000616189-0.00170218j 0.00637491-0.0024049j -0.000425142-0.00282604j -0.00391416-0.00221269j -0.00341464+0.00254798j 0.00205708+0.000945985j -0.00219724+0.00241169j -0.00569446+0.000248002j -0.00216652+0.00161413j -0.000712947-0.00548163j 0.00840797-0.00144643j -0.00667019+0.00511792j -0.00200255+0.0012313j 0.000535925+0.00262737j -0.000333278-0.00228442j -0.00629752-0.00326192j 0.000446968+0.00299966j 0.00562951-0.00196357j -0.00602561+0.0047976j -0.00445778-0.00291983j -0.00910264+0.00696072j -0.00220541-0.00454692j -0.00241395+0.00285896j 0.000805248+0.00196726j -0.00114232-0.00185904j -0.000713185-0.00156144j 0.00629944-0.00193067j 0.00440924+0.00321295j -0.00290279-2.15604e-05j 0.00424505-0.00151985j 0.000667401-0.00521702j 0.00233866-0.00460985j -0.000854927+0.00228588j 0.00289242+0.0050452j 0.00135413-0.000736809j -1.60131e-05-0.00865574j -0.000510316-0.00417533j -0.00254719-0.00410551j -0.000529977+0.00108252j -0.000714676-0.00132877j 7.48712e-05+0.00056394j -0.00295594-0.00219274j -0.00029084+0.00116174j 0.00166068-0.00126237j -0.000655668+0.00178968j 0.000964737-0.00425704j -0.000245402+0.00368131j -0.000930176-0.00488754j 0.00361274-0.0029955j 0.00105727-0.000161944j 0.00187532-0.00563339j -0.00174684+0.0113954j -0.000397921-0.00251498j -0.00333438+0.00340989j 0.00241068+0.00121933j 0.00147078-0.00327239j -0.00171944-0.00642227j 0.00448668-0.00597392j -0.00197435-0.00219122j 0.00245712+0.0111467j -0.00496593+0.00688748j 0.00236752+0.00420359j -0.00335272+0.00756344j -0.00593138+0.010279j -0.00528852-0.000256661j -0.000734497+0.0115176j 0.0103414-0.0338029j -0.011383+0.0131293j 0.00717833+0.0171122j -0.018364+0.00293478j -0.0135695-0.00956345j -0.013672+0.00556255j 0.0149109+0.013202j -0.028536-0.00716441j 0.0115555-0.00676308j 0.00779011-0.00189531j -0.00745994-0.00575517j 
0.006105+0.00225167j -0.00035527+0.00250125j 0.00866672-0.00352687j 0.00168249+0.00377111j -0.00309344-0.0012999j 0.000195422-0.00439911j -0.0010369+0.00106261j -0.000787398-0.00320339j -0.00174407+0.00250705j 0.000680268+0.00412585j 0.00107644-0.00266971j 0.00369158+0.00410272j 0.00216932+0.00308926j 0.00179765-0.0017708j -0.0074698+0.00270192j 0.00574318-0.00179117j -0.0032078+0.000535601j 0.00151534-0.00274411j 0.00226543-0.00165908j 0.00199654+0.00181061j -0.00724374+0.0013477j -0.00260725-0.00454529j -0.00239557-0.00274121j 0.00231376-0.000791526j -0.000982754-0.000638544j 0.00486535-0.00322805j 0.00401304+0.000238849j 0.00971196+0.000726883j 0.0112361+0.00308949j 0.00719146+0.00503624j -0.00240429+0.00666002j 0.000944772-0.00261848j 0.000117374-0.00511668j -0.00434224-0.00216319j 0.00221877-0.00756049j -0.00882827+0.000576981j -0.00653846+0.00218613j 0.00391323-0.000622355j -0.00307962-0.00224836j -0.00122296-0.00252564j -0.00293254+0.000295316j -0.00066505+0.00203322j 0.0059119+0.0035043j 0.00292322-0.000905192j 0.000647066+0.00257934j 0.000973577+0.0055145j -0.000495438+0.00426865j -0.00549937-0.00120406j 0.000910941+0.00224264j 0.00103288-0.00261369j -0.00214557-0.00337283j 0.00178923+0.00429824j 0.00271535+0.00772339j -0.000492677-0.00172684j 0.00363945-0.00537674j 0.000543781-0.000534028j 0.00221024-0.00100073j -0.000581452+0.00175827j -0.003196-0.00598716j -0.000110755-0.0112975j 0.000610856-0.00151156j -0.00324687-0.00147319j -0.00144531-0.00588367j 0.000190324+0.0021517j 0.00327094+0.000796134j -0.000648568-0.00364698j -0.00372384-4.61631e-05j -0.00138651+0.00288452j 0.00368679-0.00298246j -6.42705e-05-0.00431159j -0.00122411+0.00110543j -0.00493277+0.00395101j -0.00275616+0.00257821j -0.00278327+0.0173299j 0.000608564+0.00472736j -0.00111783-0.00397955j 0.00605225+0.00862799j -0.00034603-0.00892434j 0.00179096-0.00121021j -0.00364064+0.00838087j -0.00535973+0.00181383j 0.00413582-0.000671248j -0.0110989+0.0225573j -0.000599841+0.00104091j 0.00761724-0.0161404j 0.00757374-0.00875626j 0.0233925-0.00321216j 0.0136713+0.0144739j -0.0185555-0.0101635j -0.00492118-0.00933428j -0.0102833-0.00725142j -0.00963441+0.0105312j -0.00254172-0.0101483j -0.0111362-0.000795609j -0.00536045+0.0103017j 
-0.00148204-0.00546508j 0.00324417+0.00260377j -0.00130199-0.00648674j 0.00598717+0.001711j 0.0025751+0.00451283j -0.00133175+0.000312798j 0.00120326-0.00154912j 0.00498209+0.00513752j -0.00252472-0.00238135j 0.00105963-0.000602378j 0.000580305+0.00349256j 0.00403284+0.000241906j -0.00545932+0.00183452j -0.00226347-0.00127443j 0.00624266+0.0051537j -0.0059599-0.00342231j 0.00296607+0.00118484j -0.00657406+0.00118587j 0.00129401-0.00386291j 0.00451616+0.00288912j -0.000109656+0.00160566j 0.00551708+0.00143533j -0.00177803-0.00451519j 0.0019939-0.00500517j 0.00315711-0.00251871j 0.00316924+0.00123136j 0.00497377-0.00334823j -0.00774631-0.00074608j 0.000706109+0.00418238j -0.00794873-0.000189054j -0.00762509-0.0066843j 0.00540539+0.0039868j -0.00514951+0.00286813j -0.000898449+0.00419804j -0.00372396-0.000899468j 0.0030661-0.00292354j 8.1723e-05-0.00408659j -0.00365181+0.00677119j 0.000612469-0.00921308j 0.00634523-0.0013231j -0.00316219+0.00438694j 0.00421322-0.00583527j 0.00160895+0.00411011j 0.00391195+0.00280344j 0.00176019-0.00586501j 0.00155717-0.00440801j -5.07085e-05+0.00364652j 0.0082243-0.00606793j -0.00350357+0.00978764j -0.00243908-0.00622144j -0.00142524+0.00628441j -0.00235401+0.00589955j -0.000862539-0.00871624j 0.00355485-0.00638575j 0.00329328-0.0104081j -0.00276857-0.00180885j -0.00261685+0.00255241j 0.000424805-0.00124131j 0.00342534-0.00585869j 0.00126659+0.0065695j -0.00194761+0.00262641j 0.00269069+0.000227683j 0.0015925+0.00074611j -0.00223144-0.000312486j 0.00335455+0.00155838j -0.00136002+0.0102893j 0.00227196-0.0174105j -0.0019556-0.0139085j -0.00172479+0.00165628j -0.00668036+0.01197j -0.00263805+0.00490634j 0.00296005-0.0029632j -0.0009778+0.00574764j 0.00228534-0.00634298j 0.00581633-0.000637543j 0.00245933+0.0015921j 0.00365907-0.0164067j 0.00490968-0.00749879j -0.0101984+0.0121719j 0.00392601-0.00251676j 0.00220551-0.0112902j -0.00479893-0.00578108j -0.00165912+0.00817232j -0.0215132+0.0161011j -0.0026626-0.0256482j -0.0179346-0.0269453j 0.00478929-0.0062152j 0.00927498-0.00879255j -0.0107678-0.00208692j 0.000954119-0.00665922j 0.00141115+0.00606575j -0.0167457+0.00200534j -0.0257854+0.00142427j -0.00499925+0.00590665j -0.0181451-0.00214941j 
-0.00042882-0.00126699j -0.00175194-0.00110356j -0.00943784-0.00977052j 0.000733638+0.000220982j 0.00496061-0.000119412j -0.000762251-0.00200608j -0.00224516+0.00338055j 0.00209169-0.00380837j -0.00136916-0.00225977j 0.0126586-0.00287526j 0.00605204+0.00106271j 0.00243587-0.00585744j 0.01183+0.0052355j 0.000282408-0.00377435j -0.0110798-0.00215376j -0.000558813+0.00238509j -0.00306784+0.00451111j 0.00484661-0.00302596j 0.00376003-0.00138269j 0.00701325-0.00198257j 0.00566219-0.00492007j -0.00469871+0.0023062j 0.000764768+0.00234119j 0.00256085+0.00219152j -0.00167536+0.00919292j -0.010424+0.004357j 0.00287491-0.00352507j 0.00144722-0.000563299j -0.000511577-0.0109313j -0.0104133+0.00425105j -0.00850566+0.00463727j 0.00996869-0.000133152j -0.0129562-0.00657354j 0.00172373-0.0149179j -0.00143337+0.00411888j -0.000207539-0.0033208j -0.003713+0.00195508j -0.00862789-0.00247034j -0.00104749-0.0071742j 0.00663946-0.00227369j -0.00148567+0.000438927j -0.00448932+0.00538916j 0.00230301+0.0110889j 0.0053012+0.0047059j -0.00401766+0.00387073j -0.000689579+0.000524204j -0.000991404+0.0113887j 0.00502897+0.00276578j -0.00279657-0.00452864j -0.00324958-0.0103232j -0.00112683+0.00231702j 0.0020061-0.00109257j -0.0011631-0.00596031j 0.00406486-0.0130972j -0.000179416-0.000805395j -0.000879072-0.00775877j 0.000308257-0.0101399j -0.00230159+0.00168757j 3.63037e-05+0.000536022j 0.00100243-0.00683302j 0.000521699+0.00133917j 5.44495e-05-0.00948665j 0.00186997+0.00050782j 0.000932008-0.000377172j 0.0039259-0.00583679j 0.00342546-0.0180297j -0.00177318+0.0230706j -0.00395944+0.0180249j 0.00034394-0.00744581j -0.00230822+0.0134287j -0.000967182+0.00833793j -0.000610585+0.0040028j 0.00145433+0.0115811j 0.00400336-4.33244e-05j -0.00722659-0.00775961j -0.00059811-0.00462742j -0.0138922+0.00441691j -0.00812493+0.00508265j 0.000689099+0.00217482j 0.00648221-0.00231048j -0.00601269+0.01515j 0.00915684+0.0206164j 0.00782765+0.0163734j -0.00417929+0.00753018j 0.00169153+0.00306229j 0.00297891-0.0110519j 0.00486409+0.00280055j -0.00722519-0.0082803j -0.0141697-0.00135335j -0.00241082-0.0044492j -0.00533337-0.00403692j 0.00878604+0.0145018j -0.00670703-0.000198974j -0.0201718-0.002428j 0.00749331-0.00808981j 
-0.00568951-0.00136622j -0.000334488-0.00651809j 0.00201512-0.00153911j -0.00101195+0.00210183j -0.00315587-0.000973149j -0.000588265+0.00479281j -0.000680722-0.0031781j 0.0012851-0.00161706j -0.00271241-0.00297347j -0.00497569+0.000952476j 0.00873181+0.00284249j 0.012191+0.00364921j -0.00500138+0.00387081j -0.00285096-0.000796795j 0.00962775-0.00170506j 0.0086503+0.00817698j -0.00166012-0.00568351j 0.00812051+0.000177451j 0.0106602+0.000598178j 0.000728035-0.0127178j 0.00856517-0.00204329j -0.00523865-0.000518319j -0.00484401+0.000950822j 0.00122586-0.000299342j 0.00750995+0.00550652j -0.0031593+0.00256231j -0.00787445+0.00323244j 7.00678e-05-0.00285942j -0.00761426+0.00931651j 0.00734003+0.000945747j 0.00373478-0.00202545j 0.00532072-0.00617743j 0.00120392+0.00361792j -0.00419393+0.00201658j 0.00146675+0.00514641j -0.0043198+0.00155898j -0.00237485+0.001564j 0.00587072+0.0034728j -0.000791253+0.00666581j 0.00116152+0.00287989j 0.000670811-0.00230113j 0.00886193-0.00162681j -0.000356197+0.00914267j 0.00442595-0.00262328j 0.00261654-0.00221337j -0.00474205-0.00936258j -0.00466434+0.0107939j 0.000346782-0.00286066j -0.00317439-0.00495284j -0.00334228-0.00261827j -0.000304022+0.00591223j -0.00277506+2.39453e-05j -0.00231792-0.0186214j 0.00407858-0.0108843j 0.00252828-0.0178758j -0.00187119-0.000656529j 0.00517768+0.00155073j -0.0051144+0.00590827j 0.00110262+0.00647146j -0.00439697-0.00714177j -0.00160444-0.00150282j 0.00196298+0.00185104j 0.000695431+0.00494084j 0.000751712+0.0127463j 0.000226559-0.00934434j 0.00535751+0.0133357j -0.00429366-0.00835329j -0.00729865+0.0032342j 0.00329972+0.0107416j -0.00706751+0.0209153j -0.00497548+0.00845367j -0.00112848+0.00550922j 0.00246092-0.0126332j -0.00381208+0.0104752j -0.00192046-0.0231014j -0.00398983+9.70197e-06j 0.00369143-0.0143604j 0.00235792+0.000892109j 0.0143611-0.00155596j 0.00490969-0.000666118j -0.0194006-0.0150491j -0.00611682+0.016971j -0.00967798-0.00496748j -0.00659066-0.00220568j -0.000467296+0.0195563j 0.00621712-0.00529562j -0.0144066+0.00142004j 0.00134339-0.00386614j 0.0060057-0.00832248j -0.0014523-0.00296745j 0.00339776+0.00531764j 0.0209502-0.00488653j -0.00679555-0.00895902j -0.00717341+0.00113366j -0.013206-0.003899j 
