0.0142951-0.256027j -0.255854-0.0358194j -0.0583213+0.156767j 0.00248754+0.0873247j -0.0693145-0.0309j 0.0426678-0.0347867j 0.0208675+0.0476689j -0.0640298+0.0858649j 0.237707-0.0408085j -0.0745125+0.149142j -0.113262-0.183792j -0.0766613+0.163977j 0.0408569+0.100749j -0.285881+0.141496j -0.042473-0.106626j -0.295917-0.257222j 0.0739579-0.0228778j -0.0489424+0.172811j -0.0408874-0.0561935j -0.18938+0.193767j 0.0110656-0.0212151j 0.137102+0.08492j -0.0400794-0.0555284j -0.0230124-0.0211717j -0.0698695-0.0223272j 0.035283-0.0622278j -0.0539523-0.00372981j -0.0415351-0.115135j -0.0586036-0.0851841j 0.0142195+0.0575393j -0.0829472+0.0406992j -0.00972898-0.0257393j 0.20033+0.0358308j -0.0372655+0.216673j 
0.0629073+0.0749587j 0.0552372-0.0605734j -0.1043+0.111923j 0.133143+0.0311033j 0.000305773+0.116741j 0.0272626-0.0220434j 0.0298319+0.0774866j -0.0247967+0.0667901j 0.216524+0.06555j 0.0847993+0.0753425j -0.14728-0.0420041j -0.0913564+0.178659j -0.0185153-0.0744126j -0.0796007+0.0864424j -0.0914996-0.0433862j -0.14154-0.1984j 0.0150187+0.0960338j -0.0558374+0.0465774j -0.0672585-0.0709065j -0.098143+0.178902j 0.0747943-0.0169796j -0.0356972-0.0508845j -0.00401465-0.0868076j 0.00438627-0.0161962j 0.0534125-0.0561237j 0.117421-0.0667897j 0.103871+0.00128748j 0.025482+0.0203819j -0.175148+0.0996708j -0.0575056+0.0640462j 0.0327452-0.0214799j -0.0877227-0.146702j -0.157985-0.0466849j 0.0316035-0.183086j 
-0.0369936+0.16485j 0.157145+0.0453801j -0.0429474+0.0769207j -0.0202073-0.0329482j 0.0644667-0.00889337j -0.00848385+0.0184407j 0.055835+0.0529921j 6.99123e-05-0.0147291j 0.1038+0.0141896j -0.109624-0.105521j -0.0691943-0.0611061j 0.153946-0.0183134j 0.0878422+0.190637j -0.0698678+0.092538j 0.0665113-0.0828347j 0.0383804-0.0173713j 0.0212044-0.0688475j -0.0227522-0.141202j -0.137305+0.00920826j 0.0379175+0.0194894j -0.0984374+0.0344536j 0.0607714+0.133596j 0.201668-0.0926684j 0.121095-0.0160889j -0.0640429+0.134692j 0.0238657-0.14838j -0.0715374-0.0623421j 0.11009+0.0592622j -0.0462999-0.0920253j 0.0164118+0.276095j -0.264179+0.0218545j -0.0752906+0.0557855j -0.0521536-0.0707842j 0.0849288-0.0474369j 
0.0543922+0.0786187j 0.0705417-0.0433204j -0.024934+0.0135718j 0.131365+0.0294101j -0.0262558+0.114898j 0.0102961-0.0269999j -0.0147858+0.0440407j -0.0193113+0.0401869j 0.0509702+0.0868411j 0.123642+0.0960364j -0.060345+0.0433017j -0.138564+0.0985762j -0.067409-0.181762j 0.0516442-0.026597j -0.129139-0.00649871j -0.00394541-0.0492731j -0.0422583+0.12721j 0.0136238+0.057226j 0.0661799-0.0194209j -0.0225489+0.0767735j 0.108334-0.0160392j -0.090589-0.18223j -0.10156-0.015774j -0.0416348-0.00730729j 0.090726-0.0906956j 0.0997076+0.0619626j 0.145813+0.0420606j -0.0315373+0.0931795j -0.089131+0.171481j -0.0419525-0.101488j 0.185428-0.0774017j -0.103134-0.0650587j -0.170341+0.0514779j -0.0259119-0.163229j 
0.0202693-0.188833j -0.162538-0.0222726j 0.119604-0.0380031j -0.0421704+0.00319189j -0.0573528-0.0579392j -0.00579706-0.0315727j -0.0228222-0.0463274j 0.0277118+0.0150765j -0.108052-0.104903j -0.00478219+0.0621054j 0.0987111+0.0249549j -0.073983-0.0280288j -0.0398788-0.0762343j -0.0217256-0.0522403j 0.0285116+0.0474778j -0.0711699+0.0165213j 0.00205672+0.00115942j -0.0470722+0.112624j 0.073962+0.0361239j -0.0291452-0.101094j 0.0348071-0.0217776j 0.00122763+0.00790135j -0.133289+0.0508447j -0.0803941-0.0117792j -0.00349775-0.0801281j -0.0534814+0.129119j -0.00104404-0.0194191j -0.0946295-0.0787434j 0.121738-0.0291863j 0.00862741-0.177153j 0.13432-0.0194076j 0.0935687-0.042052j 0.170495+0.00273596j -0.0174411+0.193234j 
-0.0278206-0.0202569j -0.0218855+0.0268736j 9.64086e-05-0.00998497j -0.0220686+0.0233129j -0.0228244-0.011928j 0.00111739+0.0252106j -0.0103396-0.011821j 0.011688-0.00309752j -0.0273369-0.0199306j -0.0422697+0.0240694j -0.00594984-0.0340936j -0.0120406-0.0171253j 0.0284983+0.0377564j -0.0625676+0.0199039j 0.0363488+0.0134461j -0.0188389-0.0287115j 0.0350218-0.0198814j -0.00198398-0.0123632j -0.0200039+0.00380994j 0.00332052-0.0104648j -0.0334079-0.0425841j 0.0129429+0.0725089j 0.0148424-0.00962377j 0.00255578+0.0188595j -0.0279058+0.0126771j 0.000649123-0.00534473j -0.00990609-0.0296037j 0.0482271-0.00333543j 0.0325322+0.0117757j 0.0665124+0.0293402j -0.0131013+0.0510826j -0.0598268+0.0260419j 0.0621188-0.0158687j 0.00594038+0.0712945j 
-0.0315913+0.0449426j 0.0374505+0.0247957j 0.0144513-0.0284856j 0.0166401+0.00364139j 0.00647393+0.0187971j 0.024801-0.013385j 0.0255466-0.00359355j 0.0254131+0.00486146j 0.0215652+0.0132363j 0.0207854+0.0119524j -0.00238768+0.0226184j -0.0196494+0.0264917j -0.0166375+0.0021654j 0.025093-0.00718264j 0.0152631-0.00856382j 0.0274133-0.0245929j -0.00506571+0.028529j -0.0116893-0.0216138j 0.0327663+0.0476072j 0.000233467-0.0202022j -0.00388958+0.000610164j -0.0129587-0.00959643j -0.000277884+0.00861533j 0.0185837-0.0164292j 0.0270068+0.0362887j -0.0138214-0.00507625j 0.00889787-0.0205815j 0.0588126+0.0255162j -0.031017+0.0673613j -0.0144583-0.00166866j 0.0225202-0.0103527j -0.0608418-0.0153433j -0.0158887-0.00518113j 0.0100575-0.0314331j 
0.000985084+0.0206487j 0.0103289+0.000742192j 0.00850977+0.0322549j 0.0216361+0.00644356j 0.0219045+0.00743815j 0.0222453+0.0474658j -0.00835216-0.0143095j 0.0396377+0.00201164j 0.0379739-0.014512j -0.0113501-0.00938437j -0.000902021-0.0101723j 0.0165401+0.0153436j 0.00124683+0.00674093j 0.00545011-0.000128102j -0.010817-0.0232349j 0.00350271-0.00274907j -0.019555+0.0107393j -0.0081414+0.00652589j 0.017665+0.0172673j -0.00813855-0.00535501j 0.00539941+0.0161728j 0.00870124-0.0173262j 0.00953291-0.00843807j 0.0135377-0.0228481j 0.0108094+0.0176213j -0.00119379-0.00806596j -0.00647351-0.00921446j -0.00396471+0.0132258j -0.0122334-0.0131075j -0.0337833+0.0172718j -0.0189192-0.0327306j 0.0020558-0.00400083j -0.007385-0.00107486j 0.00408135-0.00465066j 
0.00724821+0.0229465j 0.0151169-0.0218952j -0.0215144+0.0151411j -0.0289681+0.00504323j 0.0413044-0.011333j 0.0254263-0.0285649j 0.0155563-0.0105559j 0.020378+0.0282601j -0.0190594+0.00630844j -0.0106598-0.0285383j -0.0177009-0.00914307j 0.0127508-0.0193338j 0.0287525+0.00406303j -0.0170074+0.00991954j -0.0163396-0.00501291j 0.0081721+0.0300614j -0.00798398-0.0226603j 0.00247172-0.00262972j -0.0333985-0.0233595j 0.0112979+0.00381431j -0.00660487+0.00708148j -0.00779407+0.00357466j 0.0196547-0.026135j -0.000600312+0.010151j -0.0148684-0.0102672j 0.0242537-0.00496776j -0.00223804+0.000144107j -0.0319712+0.0179016j 0.0185518-0.0453864j 0.00330667+0.0288881j -0.0360443-0.00331836j 0.0171883+0.0202713j -0.0144308-0.00570047j 0.00574891-0.00593341j 
-0.00752602+0.045133j 0.0289328+0.00204623j -0.0111165+0.00554508j 0.0138996+0.0134979j -0.00626886+0.00468272j 0.00461333+0.0018844j -0.00212173+0.00782352j -0.012346+0.0103725j 0.00370415+0.0339114j -0.0168331+0.0463707j 4.18918e-05-0.0154739j 0.0136092-0.0241843j 0.0133269+0.0191555j 0.0147981-0.0043549j -0.0458837-0.00140587j 0.0157554+0.0287494j -0.0337108-0.00804442j 0.00847888+0.00111519j 0.0115087+0.0302078j 0.00816409+0.00434285j -0.00783945-0.0286219j -0.00265256-0.0238982j 0.00725844-0.0208606j 0.00288992-0.00231457j -0.00214498-0.0310201j 0.0397564-0.0196449j 0.0375806-0.0183332j 0.00736929+0.0289365j 0.00697832+0.015931j 0.00683026+0.0194099j -0.011901-0.0277877j -0.0317493+0.0187976j -0.0111761+0.00564364j -0.00835515-0.0252188j 
-0.0139472-0.0512059j -0.0467524+0.0197847j -0.0030217-0.000243361j -0.0266415+0.00728089j -0.0102039-0.0237571j -0.000672779-0.00651254j -0.00944174-0.00537369j -0.0228558-0.00536235j 0.0100717+0.00278979j -0.010059-0.00960721j 0.0146027-0.00347558j 0.0114986-0.0122604j 0.00630058+0.0317767j 0.00299978-0.0045936j -0.0130801-0.00329255j 0.00693154+0.00522934j -0.00411661-0.00633034j 0.0602253+0.0154867j 0.0221354+0.00116226j -0.021109+0.00390864j -0.000433588+0.00937779j 0.0578231+0.0112653j -0.00178679+0.0201099j 0.00813482-0.00921782j -0.00585002-0.00681327j -0.00302381-0.0264447j -0.0494605+0.0557896j 0.0140662-0.0119172j 0.0350146-0.0303533j 0.0200376-0.00618057j -0.010853+0.0152178j 0.000292332+0.0284155j 0.0480275+0.0271006j -0.0334812+0.0556641j 
