0-0j 
0-0j 
6.08851e-41-4.53643e-41j 
2.56327e-40-6.29591e-41j 
5.90507e-39-6.89318e-25j 
2.18563e-39-2.02064e-25j 
1.00787e-37-1.67102e-23j 
3.17258e-38-7.50775e-23j 
1.85712e-35-0.00017572j 
3.27053e-37+2.02091e-23j 
-2.71321e-38-1.53795e-23j 
-4.60094e-38+5.17684e-24j 
3.84424e-38+2.04739e-24j 
1.04827e-38+1.54563e-39j 
-1.02346e-39+7.16604e-39j 
0-0j 
0-0j 
