-6.54414e-06-4.33972e-07j 
-7.53069e-06-5.70737e-07j 
-8.77292e-06-7.75696e-07j 
-1.04922e-05-1.11325e-06j 
-1.30338e-05-1.72866e-06j 
-1.7151e-05-3.03296e-06j 
-2.48637e-05-6.5953e-06j 
-4.36957e-05-2.31813e-05j 
4.60046e-23-0.000188209j 
4.36957e-05-2.31813e-05j 
2.48637e-05-6.5953e-06j 
1.7151e-05-3.03296e-06j 
1.30338e-05-1.72866e-06j 
1.04922e-05-1.11325e-06j 
8.77292e-06-7.75696e-07j 
7.53069e-06-5.70737e-07j 
6.54414e-06-4.33972e-07j 
