-0.153714-6.93889e-18j 0.0887751+0.00837529j -0.0993836-0.0947642j -0.0709987-0.134154j -0.0107905+0.00322698j -0.0228103-0.0206988j 0.0774336+0.0161748j 0.0208059+0.0476993j -0.0219707-0.0846277j 0.00139636+0.0160405j 0.014123-0.0231487j 0.0134584+0.0659307j -0.0230785+0.00169125j 0.00447512+0.0688626j 0.0158342-0.0337021j 0.00559182+0.000648043j 0.00316951+0.00966866j -0.0150735-0.000716037j 0.0200455-0.00639554j 0.00114639-0.0144702j 0.0169656+0.0381551j 0.0132378-0.00212865j 0.0120735-0.00682309j 0.0105941+0.00466287j 0.0303086+0.00882878j 0.013112-0.0221508j 0.00387221+0.0283067j -0.0155468-0.0209986j -0.00492313+0.000132317j 0.00243663+0.0103514j 0.00858148+0.01463j 0.00510199+0.0104144j -0.0058856+0.00712725j -0.00396887+0.00776724j 0.0157478-0.0160389j 0.00111026+3.69472e-05j 0.0215307+0.00199671j -0.0121993-0.0127642j 0.00602865-0.00342301j 0.016747+0.00576608j -0.0360122-0.0143422j 0.00843091-0.0145342j 0.0137529-0.0170936j -0.0026186-0.00694413j -0.00707254+0.00101409j -0.0212858-0.0118078j -0.00998418+0.00936554j -0.0307592+0.0235245j -0.00936097-0.00525062j -0.0157151-0.0300006j 0.00210475-0.0254751j -0.00758477-0.0248956j 0.0176563+0.00478567j 0.0272755-0.0170732j 0.00908025+0.00219467j 0.0189812-0.00926944j 0.00697536-0.0160127j 0.0152359+0.00810033j -0.0104352+0.0475604j -0.00346733+0.00733236j 0.0104022-0.0189391j -0.0259361+0.0651178j -0.0348825+0.0515485j -0.020871+0.00670781j 0.0155469+0.0188297j 0.00156218+0.018032j -0.0122272+0.0166498j -0.0181928-0.0149624j -0.0120902+0.0171742j -0.00942519-0.0441859j -0.00264727-0.000852756j -0.032291+0.0329792j 0.00203976+0.0028544j -0.0176467+0.010237j -0.0310083-0.0231963j -0.00206403+0.0135314j -0.0171801-0.0534438j 0.0320477+0.0115759j -0.0372743+0.0704106j 0.00424089+0.0080035j 0.0347171-0.020909j -0.0236361-0.000501573j -0.0361406+0.0169894j 0.0519157-0.0285085j -0.0423227+0.0654825j -0.0172622-0.0109832j 0.0221464+0.0699031j -0.00542045+0.0471929j 0.0795068+0.202492j 0.348391+0.107181j -0.0102932+0.162293j -0.0590712+0.0539555j -0.0425952-0.0711071j 0.0865844-0.2352j 0.0559607+0.00645405j 0.00152815+0.0147805j -0.173045-0.116592j 
0.0887751-0.00837529j 0.182501-1.38778e-17j -0.0894045-0.0607227j 0.0526266+0.0576027j -0.0215741+0.00950777j 0.0342726+0.0103169j 0.0117021+0.0623094j 0.0467776-0.00289187j 0.0129229+0.115284j 0.0258397+0.0273332j 0.0295353+0.0218789j 0.0397271-0.0395625j 0.00759823+0.0097999j -0.0165811+0.0163489j 0.0176741-0.061988j 0.0124043-0.00978772j -0.00756924-0.0366709j -0.00443463-0.0104896j 0.0109658+0.0523341j 0.0462513-0.0645011j -0.0248466-0.0126123j -0.0120267+0.0306605j -0.00179197+0.0141971j 0.0181933-0.00326205j 0.0123958-0.00243468j -0.0204057+0.00563383j 0.0077984+0.0311105j -0.0137182+0.0111348j -0.0114373-0.0106335j 0.0015059+0.00690092j 0.00341178+0.00615248j -0.00647048-0.00520224j -0.00292369+0.000311525j -0.00524152+0.00224497j -0.00321886+0.0168658j 0.00194045-0.00377952j 0.0141241-0.00427877j 0.0359944-0.0394213j 0.021048-0.0299668j 0.00836531-0.0095895j 0.00929418-0.0225687j 0.00118556-0.0106041j -0.00717143-0.016788j -0.0175175+0.00521755j -0.0114303-0.0244753j 0.0164858-0.0215166j -0.000494658+0.0155057j -0.0101647-0.0166065j 0.00187538-0.0398244j -0.000475463+0.0232207j -0.00106728+0.0234946j 0.00991331-0.0352795j -0.00448673-0.0076879j 0.0105825+0.00370872j -0.00764586+0.0169357j 0.0110782-0.0161706j -0.00535364-0.00527646j 0.0135474+0.00588973j -0.00952359+0.00205972j -0.00330354-0.017695j 0.00191199+0.00715649j -0.0151651-0.00116726j -0.0180107+0.000513352j -0.0126027+0.00445838j 0.00139878+0.00872613j 0.00288313-0.0241875j -0.0114602-0.0158465j 0.0097292-0.0201561j 0.00649406-0.0142456j 0.0038774+0.00683883j -0.0302666+0.000226562j -0.00687975+0.00156957j -0.02268+0.00873028j -0.00924015+0.0155357j -0.00778063-0.0107141j 0.0248992+0.0116967j 0.0281196+0.0108148j 0.0150053+0.0098821j 0.0313075-0.0605753j -0.0260723-0.00705563j 0.0111799-0.0384519j 0.0149883-0.0194185j 0.106583-0.0257266j -0.00157104+0.0553007j -0.0418313+0.0285678j 0.0181371-0.0462391j 0.0138727+0.0200039j -0.00346843-0.00452336j 0.319554-0.0330849j -0.00476942-0.33279j 0.109141+0.200513j 0.0283334+0.0976925j -0.0273581+0.0206161j -0.0726197+0.021389j -0.0731802+0.0846505j 0.213785+0.12193j 0.000592077-0.0138952j 
-0.0993836+0.0947642j -0.0894045+0.0607227j 0.0806471-0j 0.0303293+0.0469324j 0.0439381+0.0221712j -0.0312351+0.0503826j 0.0129384+0.0737915j -0.0316467+0.00869901j 0.00826453+0.0207611j -0.0681169+0.030751j 0.00187675-0.0267319j -0.0728688-0.0540644j 0.024878-0.0173073j -0.0560511-0.021072j 0.0340457+0.0229823j 0.021419+0.0164373j -0.0153714+0.0375249j -0.00707639+0.0531954j -0.0430165+0.0323688j -0.00475586-0.0545517j 0.0273906+0.020875j -0.0214042+0.0105524j 0.00815006+0.0431537j -0.00239396+0.0106597j -0.0389877-0.0443413j 0.00214836+0.0215058j -0.0374124-0.0155237j 0.00654283+0.0101164j 0.0278425+0.0181504j 0.0179724-0.0275651j -0.00630018-0.0207374j 0.00466701-0.0200029j -0.0139891+0.0123607j 0.00103231+0.00615858j -0.016131+0.0426626j 0.0125054+0.0165355j -0.0101207-0.00531522j -0.0140981-0.0456946j -0.0210413-0.0160477j -0.00786777-0.0149065j -0.00302182-0.0111551j 0.00389061+0.0160675j 0.00567315-0.000434575j 0.0181663+0.0248899j 0.0269912+0.00986818j -0.011268-0.0109552j -0.0152215+0.0222384j -0.0179997-0.0178415j -0.0043849-0.0103798j 0.00409902+0.0108601j 0.0136041+0.0133249j 0.0137026+0.0118027j -0.000794743-0.0514667j -0.0232776+0.00582764j -0.00061-0.0103967j 0.00155989-0.0193187j 0.0166979+0.0108296j -0.0138403-0.016628j -0.00985149-0.0188577j -0.0295638+0.00992195j 0.0169294+0.0103702j -0.0417968-0.0524707j -0.0309094+0.0272589j -0.00487122+0.065326j -0.0109781-0.0552935j -0.0491726+0.0210265j -0.00187153-0.00376152j 0.0251937+0.0471682j -0.00839324+0.0220408j 0.017938-0.042026j -0.0432843+0.028667j -0.0460669+0.00940196j -0.0522264+0.0193593j 0.0223468-0.0430255j -0.0048354-0.0049759j 0.0567538-0.00732405j 0.0368967+0.102578j 0.00389013+0.00664558j -0.0630809+0.0147544j 0.042065+0.00536893j -0.0573161+0.0346751j 0.0665941-0.111955j -0.192223-0.0298402j -0.0939365+0.0142253j -0.0420501+0.0673537j 0.0513595-0.12538j -0.070448+0.284654j -0.0192031+0.108891j -0.0621573+0.0850531j -0.00392134-0.163413j -0.0951228-0.094631j -0.0359668+0.0922259j 0.0552664+0.0292536j 0.0558556+0.00325015j 0.00623627+0.18456j -0.0733681+0.0848591j -0.0569324-0.00305849j 
-0.0709987+0.134154j 0.0526266-0.0576027j 0.0303293-0.0469324j 0.0236535-2.77556e-17j -0.0103821+0.0446187j -0.0694082+0.0362642j 0.0136879-0.0112834j 0.052441+0.0465565j -0.0247891-0.0364912j -0.0830535-0.00409941j 0.00479489+0.0533346j -0.0316912+0.0129124j 0.0131666+0.0369493j -0.045464-0.0290697j 0.0317911+0.0518447j 0.0162431+0.0232883j -0.0137679-0.0243032j -0.0406253+0.00475041j -0.00456999+0.0135848j -0.0231034+0.0408841j -0.0110512+0.0471954j -0.00840112-0.00938438j 0.0452915-0.0191804j 0.0311805+0.00681625j -0.0140928-0.029997j -0.00472608-0.0351113j 0.00230527-0.00257889j 0.0045209-0.0258493j 0.00630788+0.00212665j 0.00278669+0.004927j -0.00551407-0.00294065j 0.00153607+5.69112e-05j 0.0147205+0.014917j -0.0134979+0.00655672j 0.00774899-0.0113546j 0.00415434+0.00418645j 0.00424087-0.00232303j 0.0279403-0.0302246j 0.00710973-0.00383008j -0.0234929-0.00518711j -0.0130169-0.0204106j 0.0100342-0.00293867j -0.0163816-0.00925122j 0.00600968+0.0175541j -0.0050816+0.0258488j 0.00245142-0.0155637j -0.000535117+0.0302704j 0.00588611+0.00196031j -0.00918785-0.00418428j 0.0077453-0.0249537j 0.00457307-0.0190651j -0.00501585-0.0311724j -0.0115214-0.00980323j -0.0120428+0.0170391j 0.00883673-0.00154336j -0.0150299-0.0187313j -0.0133928+0.00827782j -0.0452337+0.0494897j 0.0335079+0.00411953j -0.00916618-0.0414854j 0.00333151+0.0428126j -0.010822+0.0230193j 0.0508332-0.0424241j 0.0247036-0.00547555j -0.0190736+0.0441922j -0.0180031+0.0320264j -0.0448666+0.0218564j -0.00868604+0.0474103j -0.033176+0.011663j 0.0361495-0.0287067j 0.0679931-0.0361038j -0.0437503+0.00351444j 0.0294745-0.0359121j -0.0274066+0.0113271j -0.0513721-0.00528922j 0.0117006+0.0345535j 0.0180992+0.0134227j -0.0416947+0.127928j 0.0238538+0.0449848j 0.0446779+0.0491481j 0.0641223+0.0484762j -0.0428337-0.0487556j -0.126591+0.234716j 0.0636908+0.0133998j 0.0411731-0.0696896j 0.0193868-0.0945649j 0.177817+0.00383188j 0.113408-0.0539757j 0.130428-0.186479j 0.0517377+0.0166429j -0.224901+0.108124j 0.0199395-0.0135379j 0.0194373-0.00378126j 0.0321066+0.178993j 0.0591297-0.00588223j -0.071553+0.0169166j -0.0860067+0.234761j 
-0.0107905-0.00322698j -0.0215741-0.00950777j 0.0439381-0.0221712j -0.0103821-0.0446187j -0.124116+1.15186e-15j 0.0741451-0.00630846j 0.0104461-0.046707j 0.0556688+0.0221364j -0.00985195-0.0802879j 0.0669441+0.0435831j 0.0758667+0.10918j 0.011077+0.0869314j 0.00424772+0.0149267j -0.0114184+0.00131724j -0.0349042+0.0739066j 0.00783776+0.00981989j 0.0341242+0.0591746j -0.0381207-0.0236724j 0.0385824+0.0454996j -0.00847301+0.0451391j -0.035916+0.0351962j 0.0179149+0.0108118j -0.0101707-0.0231928j -0.00100166+0.0310403j -0.0401954-0.00814601j -0.0102377-0.00502657j 0.0207855-0.0356138j -0.00105528-0.0289924j 0.0274054+0.0273523j -0.0232122-0.0300407j 0.0239871+0.00915836j -0.000453475+0.018449j 0.00156254+0.00290749j -0.00729023+0.000766898j -0.00587259+0.000121094j -0.00457511+0.0124122j 0.011404+0.0168663j 0.00325962+0.00716607j -0.0172083+0.0199358j 0.0209476-0.0340187j 0.00523582-0.0358966j 0.00217891+0.000344784j -0.00797888+0.0234321j -0.0196483+0.0118064j -0.00331466+0.0387601j 0.00885934+0.00122109j -0.00472928+0.0160123j -0.00881652-0.0638496j -0.0222945+0.00110869j 0.00300814+0.0281658j 0.0498758-0.0602071j -0.0344505-0.0121222j 0.00685756+0.00750313j 0.00692081+0.00736844j 0.0590948-0.0432467j 0.00109692+0.00849611j 0.0120627-0.00462481j 0.00594531+0.0395775j -0.00922857-0.0108052j 0.00111008+0.0653247j -0.0121635+0.0133047j 0.0362266-0.0287198j 0.00849231-0.0115208j -0.0244361+0.0586671j 0.0449768+0.0386774j 0.00929096-0.00719612j -0.0374015-0.048354j 0.0406931+0.0456975j -0.00171339+0.0197258j -0.0242886+0.00530384j -0.0606917+0.0764051j 0.0197033+0.0315136j -0.0845511+0.0098443j -0.0491513-0.079783j -0.00496057-0.022237j 0.00125871-0.0708698j -0.0801485-0.0401151j 0.00467658+0.112845j 0.00346574-0.00696063j -0.0621156-0.091004j 0.0648488+0.115328j -0.21984-0.116597j 0.0707876-0.182963j -0.0772892-0.0474402j -0.0816182-0.0755855j 0.114581-0.191718j 0.109394-0.132394j 0.0258119-0.0161113j -0.0636813+0.0107122j 0.0349241-0.110846j 0.0192884-0.0377054j -0.00743167-0.00717232j 0.169655+0.145148j 0.0306564-0.0218126j 0.0566319+0.0339418j -0.0314298+0.0155931j 0.0445882+0.0788478j 
-0.0228103+0.0206988j 0.0342726-0.0103169j -0.0312351-0.0503826j -0.0694082-0.0362642j 0.0741451+0.00630846j 0.111037-0j -0.0794618-0.0130052j 0.0714754+0.0351965j -0.0450311-0.0596181j 0.036299+0.0469215j -0.0373528-0.0157404j -0.0437179-0.046333j 0.0240208+0.017765j -0.0706266-0.0474822j 0.0339783+0.0379381j 0.0465659+0.00980028j -0.00274536+0.0200296j -0.0227304-0.0201624j -0.0236202-0.0128161j 0.0380514-0.0560453j -0.0114047-0.0585742j -0.00452237-0.0133645j 0.0072588+0.0284999j 0.0124386+0.0139223j 0.0108836-0.0407568j 0.0285872+0.032139j -0.025817-0.03283j -0.0071648+0.0518141j -0.0012491+0.0343872j -0.0176317-0.0110038j -0.00824775-0.00426834j -0.0137472-0.0213249j 0.0131966+0.00885887j -0.0111929+0.00944715j 0.0186224+0.0171789j 0.00707242+0.0208755j 0.0288632-0.0235204j -0.0045006-0.0294264j -0.0124348-0.0392115j 0.0363514+0.0229159j 0.013852+0.0156467j 0.0370741-0.00183129j 0.0255935+0.0157216j -0.00367701-0.0142608j -0.00825936-0.00628028j -0.0082025-0.0212568j -0.0124526+0.014413j -0.027848-0.0024028j 0.0136885-0.0174764j -0.0296334+0.0105295j -0.00494849+0.00701577j 0.0176523-0.0239144j -0.0234771-0.0281533j -0.0248116+0.0197235j 0.0165996+0.0193077j 0.0415711-0.0167877j 0.0276551-0.00212979j -0.00262213-0.0237853j -0.0131272+0.00408677j 0.00481049+0.0281303j 0.0322189-0.00298818j -0.0229927-0.0129007j -0.062902+0.0691016j -0.017826+0.0511742j 0.0013577-0.0183677j 0.0558015-0.0295288j 0.0410969-0.0413075j -0.0219676+0.01042j 0.070276-0.00199089j -0.040897+0.0643796j 0.0485348+0.00711425j -0.0123096-0.114853j 0.046156-0.063331j -0.0790617-0.00641061j -0.00530977-0.00754899j -0.0464354-0.0554441j 0.036233+0.056563j 0.183048+0.000945769j -0.00230223-0.0426314j -0.127738-0.0838986j 0.0869457-0.0368148j -0.00143468+0.278799j -0.151337+0.0105342j -0.104029+0.0203034j -0.0618616+0.111358j -0.0558877-0.139219j 0.00825686+0.00820218j 0.10418-0.175071j -0.00358503-0.0207923j -0.0686468-0.00361866j -0.00982549+0.0103412j -0.167839-0.164855j -0.0224153-0.0149834j -0.019179+0.0105966j 0.0374096-0.0871612j -0.0313413-0.10668j -0.0647876+0.0595675j 
0.0774336-0.0161748j 0.0117021-0.0623094j 0.0129384-0.0737915j 0.0136879+0.0112834j 0.0104461+0.046707j -0.0794618+0.0130052j -0.0584635+2.08167e-16j 0.10569+0.00719028j 0.0159611+0.00101522j -0.0928574+0.0120143j -0.0102851+0.0359737j -0.0524929-0.0344046j 0.00329921+0.0140726j -0.0461072+0.0516729j -0.0490929-0.0489697j 0.0356187-0.0233217j -0.0361724-0.00894636j -0.00123578-0.0211164j 0.0608905+0.00193666j 0.0163347-0.0382135j 0.000621312+0.0244326j 0.00149648+0.0256552j 0.0630276-0.0203153j 0.0237918-0.0328165j -0.0405791-0.0306998j -0.0187871-0.0610741j 0.0169962+0.0708466j 0.000393385+0.0335912j 0.0289392-0.0347428j 0.0106531+0.0269277j -0.00460958-0.00877098j -0.0132961+0.0278514j 0.0378545+0.0234713j -0.00236725-0.0322117j 0.0273531-0.0350765j 0.0122157+0.00324423j 0.00313464+0.0182613j -0.0157271+0.0157475j -0.037065+0.00116002j -0.0227676-0.00329655j -0.000684123+0.0217182j 0.0132226-0.023615j -0.00260447-0.02375j -0.00633503+0.0378748j 0.00866087-0.0320675j 0.0108366+0.00467846j 0.0067265+0.00597374j -0.0159228+0.048239j 0.0034983-0.00799095j -0.0338112-0.026197j 0.0254277+0.0351271j 0.00817804-0.000372424j -0.00749542-0.00685965j -0.00848822-0.00615099j 0.00635535-0.0217163j 0.0144945-0.0431871j 0.0106717-0.00187218j -0.00176618+0.0171082j -0.000733023+0.0636059j 0.000899347+0.00538351j 0.0403697+0.00702125j -0.0313212+0.0716357j 0.0313333-0.0108936j 0.0250879+0.0277582j 0.0239013+0.0191463j -0.0342252+0.0303991j -0.0203398+0.0278797j 0.0588985+0.0441248j 0.011662-0.011043j -0.0397487+0.0092493j 0.0850595+0.0797579j 0.0117343+0.0280522j -0.0116254-0.166539j -0.00764272+0.0302911j -0.032925+0.0786935j 0.115131-0.0343164j 0.103492+0.056313j 0.0166326-0.0167918j 0.0222344-0.048681j 0.0226398+0.121007j -0.109395+0.0332329j -0.00770397+0.0788237j 0.133922-0.0446696j -0.00149371+0.0711396j -0.0150143-0.0768093j -0.221162+0.072247j 0.145009+0.00663295j 0.0020342+0.0252949j -0.143952-0.0103388j 0.0257636-0.121388j -0.0130928-0.146316j -0.000756484+0.0156238j -0.0279162+0.0297508j 0.223504-0.110174j 0.0897552+0.106464j -0.113378-0.179409j 0.00639463+0.161341j 
0.0208059-0.0476993j 0.0467776+0.00289187j -0.0316467-0.00869901j 0.052441-0.0465565j 0.0556688-0.0221364j 0.0714754-0.0351965j 0.10569-0.00719028j 0.0239287+5.55112e-17j -0.0699227-0.0256896j 0.0449479-0.0140216j 0.0129681-0.01292j -0.0282811+0.00210407j -0.00494648+0.00650615j 0.0142811+0.0142093j 0.00746138+0.0419625j -0.0150405+0.0295499j 0.0205705-0.00352819j 0.0267379+0.00671248j 0.0513833-0.0281733j -0.00339203-0.0132332j -0.0137814+0.024007j -0.045344-0.0336567j 0.00330289+0.0235845j -0.000312627+0.00248602j -0.0257788-0.0330286j -0.0454373-0.0369569j 0.0410241+0.0236503j -0.0435526-0.0134013j -0.0479588+0.00683011j -0.0336055-0.00822022j -0.00906901-0.014061j -0.015562+0.0228776j -0.00237114+0.0094258j -0.0337526+0.0116039j 0.00924606-0.0330384j -0.0199324-0.000241561j 0.0146993-0.00668024j -0.00650657-0.0078687j -0.0466801-0.0390871j 0.00638964+0.0022663j -0.0216682-0.00818403j 0.0121603-0.0132655j 0.00389161-0.0257215j -0.00295178-0.00478785j -0.0254772-0.0305248j -0.0245928-0.0263084j 0.0135975+0.00297465j -0.0167407+0.00766198j -0.0495982-0.0380071j 0.00248052-0.00323208j -0.0297732-0.00162904j -0.030482-0.0277846j -0.0107592-0.00307026j -0.00138928-0.0457857j 0.0293998-0.0125418j 0.0382262+0.00225856j 0.000171144+0.0162895j -0.0079169+0.0163565j 0.0532265-0.00402939j 0.0301909+0.0598211j -0.0239306-0.0329161j -0.0181581+0.0187039j 0.00241917+0.0191913j 0.0344711-0.0377548j 0.0675889-0.0265023j -0.000300363+0.0122951j -0.0533352-0.0355089j -0.0524525+0.0516444j 0.0814715+0.0303942j -0.0398931-0.039289j -0.0231197+0.0141061j 0.10494+0.0227445j 0.0333722-0.0684459j -0.107721-0.140856j -0.0436145-0.170793j -0.0240231+0.13434j 0.00148413+0.099839j -0.0229958-0.0570255j 0.0304651+0.0756657j -0.0856868+0.152674j -0.0277967+0.0673137j 0.000994376+0.0354485j 0.00303306-0.0278196j 0.169865-0.00250941j 0.0536467+0.0245981j -0.00435133+0.000247063j -0.0951065+0.0604419j -0.00950204+0.0451325j -0.0589283-0.0051479j -0.0180139-0.242462j 0.0120808-0.0988848j -0.0736774+0.00580928j -0.0284052+0.0974903j -0.0705626+0.0107774j -0.00272462+0.150529j -0.00911852+0.337196j 0.343933+0.109334j 
-0.0219707+0.0846277j 0.0129229-0.115284j 0.00826453-0.0207611j -0.0247891+0.0364912j -0.00985195+0.0802879j -0.0450311+0.0596181j 0.0159611-0.00101522j -0.0699227+0.0256896j -0.0772004-4.16334e-17j -0.0197959+0.0570533j -0.080571-0.0154748j 0.0120597+0.040494j -0.0161157+0.0122686j 0.00997043-0.0471078j 0.115111+0.0243679j -0.0350169-0.016777j -0.00406693+0.0431757j 0.0160483+0.0125984j -0.0481657-0.00258725j -0.0227387-0.000875662j -0.0156801-0.0207897j -0.000820838+0.0316358j 0.0306996+0.00494077j 0.0293309+0.0144002j 0.0129516+0.0423837j -0.0095418+0.03997j -0.0197792-0.0185777j 0.0218642+0.0106626j -0.000864854-0.0189914j -0.0189998+0.00311002j -0.0261421-0.00568232j -0.0100758-0.00864855j 0.0261312-0.00712207j 0.0164004+0.0149566j 0.0254791+0.000577725j 0.00306815+0.00309014j -0.0146671+0.0251874j 0.0227663+0.00585685j 0.0239197+0.038253j 0.000339012+0.0116134j -0.0343558+0.0176532j 0.00373366+0.0139783j -0.0410161+0.00315511j -0.01427+0.0280584j -0.00234315-0.0247576j 0.0156402+0.00818477j 0.0168166+0.0105029j 0.0289999-0.000951933j 0.0318951+0.0205865j 0.0104923-0.0174223j 0.00536156-0.0335183j 0.0356741-0.0151204j 0.00903423-0.03486j 0.0118429-0.0339257j 0.00241499-0.0246196j 0.0118062-0.0339802j -0.00327485-0.00339004j -0.0395981+0.0604805j -0.0197846+0.0123317j 0.012488+0.0282878j -0.041599-0.0126583j -0.0212925+0.00705912j -0.0131554-0.00859819j 0.0108458+0.0434152j -0.0910646+0.0248169j 0.0458166+0.00740701j -0.00672574-0.00573929j -0.0255777+0.0347192j -0.0268113+0.0198971j 0.0397443+0.00411536j 0.00195543-0.180801j -0.0350645+0.0551566j 0.127768-0.00716469j -0.0216332-0.0406837j -0.0964671+0.0395213j 0.0484297-0.126673j -0.0623713+0.0806044j 0.138838-0.00766087j 0.0409526-0.0600566j -0.0260043+0.134521j -0.0157447+0.0438058j -0.0664622+0.0015552j 0.160336-0.0340973j -0.00467614+0.0230875j 0.142733-0.028942j -0.0131764-0.0261038j 0.0544696+0.0005223j -0.0266835-0.066387j -0.0635992+0.211042j 0.0668998-0.0208734j 0.14754-0.00763051j 0.013039+0.00846481j -0.058107+0.00188057j 0.134579-0.185807j -0.0645652+0.0917285j 0.310994-0.0159858j -0.0554876-0.189079j 
0.00139636-0.0160405j 0.0258397-0.0273332j -0.0681169-0.030751j -0.0830535+0.00409941j 0.0669441-0.0435831j 0.036299-0.0469215j -0.0928574-0.0120143j 0.0449479+0.0140216j -0.0197959-0.0570533j 0.020864-0j -0.0261446+0.0646356j 0.00390138+0.00773997j -0.00719026+0.0177795j -0.0157526-0.0330409j 0.0225417+0.0708936j 0.0392278-0.00190635j 0.00208947-0.0250599j -0.0124337+0.000946828j -0.00808752-0.00207002j 0.0215004+0.0534387j -0.0192245+0.0435928j -0.0109327-0.00743782j 0.0122844-0.0333387j 0.00506081+0.00116158j -5.91284e-05+0.0334938j 0.0474177+0.00069833j -0.0118792-0.0520192j -0.00957924+0.00590237j -0.0176462+0.00904563j -0.00152755+0.0180911j -0.00102729+0.039685j 0.000539755+0.0321317j 0.0210179+0.00134799j -0.0140917-0.00791404j 0.0191182+0.00990919j 0.000674194-0.00582018j 0.0240777-0.000305249j -0.00425008-0.0272807j 0.0179067-0.0166733j 0.00433079+0.0266237j 0.0276603-0.0493799j 0.034009-0.0233748j -0.00625248+0.0277985j 0.0098211-0.033088j -0.0604557+0.0249944j -0.019643+0.00995503j -0.00544252-0.0102351j 0.00967061-0.0463685j -0.00667685+0.0286573j 0.023608+0.0357623j -0.0328055-0.0166684j -0.0376664-0.00180765j -0.0012305-0.000217528j 0.0264365+0.060996j -0.0271895+0.0315324j -0.00973134+0.0202855j -0.0414816+0.0329893j 0.0247681+0.00292996j -0.00731516-0.0757252j 0.0265178+0.0186748j 0.0326744-0.00745714j -0.003716+0.00970977j 0.0449721-0.0856389j 0.0835226-0.114015j 0.0224264-0.021977j 0.0712641+0.084566j -0.0656796+0.0640189j -0.023313+0.00193398j 0.0363644+0.0205383j 0.0484472-0.00236182j -0.0371759+0.0635939j -0.143281+0.0961815j -0.0135987+0.0908649j -0.0276015+0.0384615j -0.0155615-0.0795815j -0.0663077+0.00540286j 0.0284196-0.0322964j 0.158232-0.145227j 0.119598-0.163807j 0.0195175+0.00347693j -0.0524392+0.256327j -0.0202616+0.00582515j -0.0827503+0.0153343j 0.0216368-0.0184167j -0.0661145+0.045067j -0.109004+0.0430575j -0.0458956-0.00920878j -0.118502+0.214332j -0.0213614-0.0543981j 0.0234373-0.0325241j -0.0200673+0.00435546j -0.0997965+0.164427j 0.0318787-0.0404327j 0.148814-0.0632452j -0.0337266+0.146029j 0.0152907-0.0138774j -0.00776364-0.0658549j 
0.014123+0.0231487j 0.0295353-0.0218789j 0.00187675+0.0267319j 0.00479489-0.0533346j 0.0758667-0.10918j -0.0373528+0.0157404j -0.0102851-0.0359737j 0.0129681+0.01292j -0.080571+0.0154748j -0.0261446-0.0646356j -0.030728-7.28584e-17j 0.00296672+0.0075712j 0.018666+0.0179234j -0.0349156-0.0618098j 0.0583533+0.00810391j -0.0761454+0.0225557j 0.0146777-0.0495887j -0.00648958+0.020489j -0.00129598-0.00231683j -0.0285574-0.0421384j -0.0369151-0.0326806j -0.0520671-0.0357031j -0.0120436-0.0343203j 0.011382+0.00787201j 0.0108395-0.0162558j 0.0102652+0.0283855j -0.0685078-0.0369986j -0.0328889-0.00726725j -0.0392524-0.00380408j -0.0172143-0.000820541j -0.036051-0.00111047j -0.0184773-0.0154286j 0.00447994-0.00391013j -0.0206701-0.0137685j 0.012487+0.0117602j -0.0392999-0.00776805j -0.00698391-0.0189367j -0.0154192+0.0144946j -0.00447485-0.0156966j 0.0292049-0.0708943j -0.00948127+0.00592046j -0.0278859+0.0145035j 0.0363909-0.0200478j 0.0164005+0.00337809j 0.0036847+0.0346045j 0.00839016+0.0495379j -0.0082598+0.0254443j -0.039528+0.00656197j 0.0111607-0.0232538j 0.0499571+0.00892473j -0.0682017-0.0321897j 0.0281732-0.045736j -0.0180332+0.0427778j 0.0440495-0.014275j -0.0105348+0.0218632j 0.0754381-0.0143719j -0.0172887+0.0478048j -0.00471992+0.00171561j 0.00392192+0.0280591j -0.0458513+0.0498305j -0.00351936-0.00158101j 0.020563-0.0635141j -0.017299+0.0393079j 0.0126693-0.0781769j -0.0498793+0.0486581j 0.0411984-0.0957232j -0.02635+0.0177867j -0.0181853-0.0022821j 0.0350909+0.121297j 0.00357794-0.0115933j 0.077077+0.0390163j -0.082009+0.0499433j 0.0349376+0.031516j 0.0139935+0.0595473j -0.11353+0.0957633j 0.124146-0.0324691j 0.0429548-0.0383802j -0.129721+0.178937j 0.0337185-0.165878j -0.193165+0.00116056j -0.0339895+0.0337114j 0.0619779-0.0791902j -0.0671978+0.0829558j -0.126931-0.0142016j 0.0754671+0.0290207j 0.0104949-0.0358572j -0.0292919-0.0586276j 0.0444529+0.0487016j -0.0873538+0.0156914j -0.0745149+0.0365349j 0.172705-0.0256322j -0.0262207+0.0352922j -0.103576+0.153479j -0.139969-0.0345869j 0.0791311-0.250706j -0.0116801-0.0223568j 0.0198586+0.053924j 
