0.123383-0.0364867j 0.176985-0.0123736j -0.0232218-0.0278584j 0.193238-0.0119088j -0.369758-0.269365j 0.0681554+0.00781878j -0.0314545-0.0332804j -0.00164927-0.00214118j -0.0027974+0.0273786j 0.00482522-0.00027125j 0.0225566-0.0397938j -0.0916572-0.0238831j 0.00353132-0.00961563j -0.00953326+0.00072782j -0.0215792+0.00849719j 0.00226236+0.00554031j 0.00818166+0.00143918j -0.0116424-0.00281004j -0.0119354-0.00440797j -0.00489604-0.00042114j -0.00253749+0.000231436j 0.00140484+0.00536487j -0.00439171-0.00384023j 0.00579032+0.00432646j -0.00552565-0.00681618j -0.00642241-0.00528848j 0.0131484+0.0110202j 0.00411279+0.00717185j -0.00569126-0.000213347j 0.00330063+0.012598j -0.00743375+0.041817j -0.00923698+0.00644028j 0.0105196+0.00179917j 0.0318509+0.0105946j 
0.110053+0.0417437j 0.0881186+0.0321463j -0.00832978-0.00866978j 0.0308591+0.0943725j -0.00197519+0.143924j 0.0270623+0.0306896j 0.0145734-0.0170191j -0.00568694-0.00216221j -0.0195192+0.00401995j 0.00263569+0.00562914j 0.0309052+0.0309065j -0.00112859-0.0198358j 0.00987149-0.00564563j -0.00612705+0.0088942j -0.0135332-0.00536497j -0.0120532+0.0141048j 0.000254475+0.00468502j 0.00286693-0.00562948j 0.00184938-0.00939909j 0.000476707-0.00313213j -0.00986404+0.00179466j -0.0115113+0.00440773j 0.00189966-0.00780655j -0.00273203+0.00913443j 0.0119647-0.0103948j 0.0205239-0.0121117j -0.00405447+0.00714637j -0.0053359+0.0058455j -0.0103043+0.00127808j -0.00175906-0.00339481j -0.00173109-0.0197772j -0.0206383+0.00842667j 0.0172253-0.0191916j 0.00777868+0.0064608j 
-0.146171-0.236637j 0.0720644-0.251337j 0.012015+0.144177j 0.272738-0.0872616j 0.0942552-0.204034j -0.0246048-0.0981914j -0.0373499+0.0170437j 0.0163657+0.00178539j 0.0187723+0.0183054j -0.0170273-0.0152301j 0.0366162-0.0201482j 0.0185186-0.0416825j -0.00794801+0.0117855j -0.00622251-0.0109146j 0.00657076+0.00841742j -0.00513902-0.0201999j -0.000378669-0.0010817j -0.00308378+0.00160595j 0.00198322+0.00454436j -0.00540851+0.00197589j 0.00435843-0.0029239j 0.00193688-0.0114875j 0.00664991+0.00253598j -0.00395881-0.00122672j -0.00784204+0.00319233j -0.0110195-7.5422e-06j -0.00208129-0.00328625j -0.00117814-0.00826427j 0.00129442-0.00978336j 0.00288299-0.00700714j 0.0122295-0.0314869j -0.00583761+0.00166262j -0.0145934+0.0208483j -0.00647684+0.00837846j 
-0.17942-0.0854565j -0.07314+0.0781045j -0.0609325+0.2471j -0.154016+0.117064j 0.088311-0.0161876j -0.0474119-0.0351894j 0.0107621-0.0111758j 0.0401816+0.0165591j -0.00437067+0.0170064j -0.0111355-0.0252966j 0.00098604-0.000210563j 0.0346534-0.0325786j -0.0110631+0.00536657j 0.0178979-0.0116725j 0.00899533+0.00198769j 0.0128355-0.0100142j -0.0048486+0.00476865j -0.00210197-0.000450314j 0.0164347+0.00583534j -0.0147249-0.00293385j 0.0060068+0.00220534j 0.0136846-0.00198246j 0.00657467+0.000263015j -0.0126935-0.00138613j 0.00657027+0.00279449j 0.00985432-0.0142926j 0.00046386+0.0100498j 0.00139304+0.00133388j -0.00741644-0.0012958j -0.009991+0.00703475j -0.0384306-0.0035819j 0.0192451-0.0015522j -0.018252+0.013542j -0.0171079+0.00483759j 
0.0258626-0.0384593j 0.00662191+0.245586j -0.204483+0.310804j -0.123872-0.032623j -0.325933-0.139307j 0.0144022+0.00130013j 0.0157176-0.0306899j 0.0515135+0.0215725j -0.00505333-0.0104112j -0.0119443-0.0344435j -0.030709-0.0154358j -0.0499267-0.028284j 0.00103158-0.00199421j -0.00847931+9.25779e-05j -0.00611066-0.00361261j -0.0133315-0.00356904j -0.00460083+0.0108928j -0.00195151-0.000841564j 0.0217742-0.00184072j -0.015314-0.00162689j -0.00895137-0.00419255j 0.00544492-0.00282313j 0.016584-0.00230087j -0.0115688-0.00635001j -0.00759219+0.0200986j -0.00269959+0.00896482j 0.00742623+0.0170376j 0.00803525+0.00545706j -0.00245343-0.00898044j 0.002305+0.0126596j 0.000430974-0.000801329j 0.000994021-0.0166378j 0.0033249+0.0357816j 0.0104946+0.0103622j 
-0.0897758+0.0203324j -0.230232+0.0633487j 0.0276519+0.0555086j 0.268108+0.0279343j -0.107799+0.27203j -0.0344802-0.00194766j 0.0156542+0.0245015j 0.00974563+0.0253919j 0.0645998+0.00922071j -0.0264809+0.0398445j -0.033237-0.0149832j -0.000419728-0.0155674j 0.00157944+0.00108215j 0.000183989+0.00612042j 0.011304-0.00241904j -0.0153117-0.0118605j -0.0070474-0.00100085j 0.00895052+0.00832504j 0.0114824+0.00849156j -0.0113674-0.00460492j -0.00778745-0.0243459j 0.000572798-0.00792865j -0.0088089-0.0176054j 0.00405885+0.023825j -0.0133392+0.00880261j 0.0168782-0.0199137j 0.00634818+0.00245574j 0.0145169+0.00613818j -0.00811243+0.00749559j 0.00523147+0.000502526j 0.00166311-0.0153881j 0.010085+0.014697j -0.00938677-0.0204805j 0.000978209-0.0034491j 
0.11687-0.133805j -0.00419493+0.197413j 0.228421-0.0954081j 0.183507+0.0853414j -0.148275+0.0168851j 0.0716992-0.0244412j -0.0104132-0.0438094j -0.00540135+0.0309304j -0.00367237+0.0260029j -0.0211811+0.0592693j -0.00825672+0.0181495j 0.00917394-0.0238176j -0.0184022-0.00693428j 0.013712-0.0158198j -0.00278729+0.00642797j 0.015438-0.00869443j 0.00069922-0.000577821j 0.000952659-0.00778045j 0.00223518+0.00232605j -0.0145927-0.0138051j -0.00716367-0.00654103j -0.000608083+0.00663413j -0.0163966-0.0203164j 0.0107834+0.0167974j -0.00520062+0.0225187j 0.0227357+0.00686761j 0.013138-0.00124603j 0.0232905-0.00309669j 1.59877e-05-0.0119714j 0.0156609+0.000646759j 0.0248425+0.00112253j 0.00393269+0.000257625j -0.0218174-0.00651272j -0.000133961+0.00305466j 
-0.0547277-0.0467443j 0.00705974-0.120938j 0.282756+0.115329j 0.00336928-0.200505j 0.00375456-0.150421j -0.00964937-0.0315226j 0.00417374+0.0240675j -0.0226-0.00495586j 0.0174638-0.0214509j 0.0225493-0.0334864j 0.0110719-0.0126463j 0.017696+0.0012741j -0.00520634+0.00468206j 0.012867-0.000445526j 0.00191995+0.00220752j 0.00146492-0.00400114j -0.00605394-0.00683443j 0.00413275+0.00203081j 0.00739943+0.030044j 0.00364894-0.0122456j -0.0033987-0.00125206j -0.0182837-0.00794128j -0.0086383+0.0281174j 0.0133562-0.0172695j 0.0252489-0.00714504j 0.0239833+0.017265j -0.0144802+0.00234254j -0.0144627+0.00188448j -0.00935386-0.0134023j -0.0051604+0.00214426j 0.00296617+0.019981j 0.00750165+0.000267111j -0.00382436+0.00302995j -0.00586113+0.000807678j 
0.178445-0.0636172j 0.0582148+0.0786867j 0.258065+0.165539j -0.102983-0.0707598j 0.0859287+0.15942j 0.0511663-0.0284268j 0.0141495-0.0016047j -0.0337107-0.00801086j 0.0115418-0.0189013j 0.00685943-0.0131166j 0.0436791-0.00814729j 0.00648607-0.0190267j -0.00311037+0.00585405j -0.00711315-0.00218959j -0.0066518+0.00174202j 0.00265565-0.00551456j -0.00343199-0.00383716j -0.0031246+0.00806538j 0.0013071+0.0201186j -0.00141712-0.00398126j 0.0126457-0.0100321j 0.00124926-0.0115125j -0.0135673+0.0189112j 0.0107011-0.00428098j 0.00956746-0.0168486j 0.0120551-0.00287581j -0.00945611+0.00171809j -0.00879037+0.00744042j -0.00373573-2.40189e-05j -0.00309327+0.0021387j 0.00114659+0.0117748j 0.00330272+0.00391769j -0.0109793-0.00587568j -0.000830801+0.00171738j 
-0.188825+0.288268j 0.130786-0.175983j -0.123869-0.117446j 0.0161377+0.318504j -0.0153433+0.0351392j -0.0669234+0.116854j -0.0142793+0.0168532j 0.0259731+0.0199628j -0.00586332+0.0382859j 0.0289303+0.00742477j 0.0143116+0.0310944j 0.00195326+0.000886166j 0.0140498-0.0166602j 0.00658966+0.0112305j 0.000626194-0.0100582j -0.0156814+0.0120101j -0.00401785+0.00245617j -0.00446318+0.00415931j 0.00511625+0.00513093j -0.00493907-0.00554406j 0.00247176-0.00771821j -0.000664673+0.000809523j -0.00039321+0.000682292j 0.00275391-0.00138131j 0.00172882+0.00671784j 0.00524878+0.0148249j 0.0159224+0.00552436j 0.0138232+0.00331767j 0.00122401-0.00584853j 0.00105671+0.0134193j -0.00767317+0.0391415j -0.000432171-0.00814897j 0.00625216-0.00455165j 0.0010603+0.00335172j 
-0.109973-0.0947929j 0.00152298+0.121877j -0.0879513+0.00951536j -0.00442474-0.143064j 0.120897-0.0868639j -0.0269049-0.0168588j 0.0135289-0.0171839j 0.0285081-0.0214534j 0.0117654-0.00436646j -0.0227482-0.0243138j 0.00892299+0.00933573j 0.0195013-0.0217363j -0.0045466-0.0063872j 0.0197167-0.00699314j 0.000525627+0.000986567j -8.7524e-05+0.000144793j 0.00538634-0.00193967j 0.0164101-0.00290656j -0.00297861-0.00660449j 0.0201171-0.0050425j -0.0173598-0.00947992j -0.0273808-0.0101796j 0.0115009-0.0113006j 0.00349644+0.0138498j -0.0219333+0.00212017j -0.0257914+0.00805668j -0.0183059-0.00278505j -0.00719149+0.00272905j 0.0104182+0.000338084j -0.00612644+0.000270803j -0.00793926+0.00549997j 0.0100416+0.00272425j -0.0150776-0.00285242j -0.00756079+0.00350752j 
