-0.0202794-0.00323087j -0.0124086+0.00268433j -0.00637684-0.00128161j -0.0198209-0.0198552j 0.00221026+0.00188286j 0.00453701-0.00262298j 0.00170549+0.0129229j -0.00217697-0.00152374j 0.0157309+0.00361304j 0.0067914+0.00167252j -0.00323699+0.00711894j -0.00405954+0.00436403j 0.00772183+0.00510026j -0.00041516+0.00440735j 0.00621939-0.00797707j -0.0101245-0.0079797j -0.00462032+0.00362595j 0.00198178+0.0214797j -0.00324361+0.00644697j -0.00734799-0.000949834j 0.00976373+0.00256826j 0.00976936-0.00738894j 0.0033986+0.000783787j -0.00884271+0.00739034j 0.0105359+0.0149279j 0.00323593+0.00877423j 0.0136545+0.00661484j 0.00555107+0.0181323j 0.00280291-0.00655742j 0.021656+0.0102169j 0.0157017-0.0335527j -0.00279182+0.000197999j 0.00796252-0.00557462j -0.00313916+0.00187634j 0.00204393+0.000409801j 0.00153925+0.000191164j -0.00158123-0.00437769j -0.000295187-0.00389822j -0.00427323+0.0130235j -8.10179e-05-0.00575487j 0.000688459-0.00157105j -0.00445165-0.0114729j -0.003475-0.00187689j 0.00091349-0.00369358j -0.0059399+0.00862509j -0.0137738-0.00674726j -0.0164832+0.00714076j 0.0134806-0.00629827j -0.0250748-0.000741955j 0.00203113-0.0217771j 0.0216698+0.00677339j 0.00358801-0.0160679j 
0.014912-0.00984716j 0.00207211-0.00785159j 0.00660106+0.0018963j 0.0251398-0.0176829j -0.00316991-0.00191027j -0.000105705-0.00186523j -0.00725286-0.00655156j -0.00162033-0.00769087j 0.00918902-0.00307396j 0.00823045-6.91608e-05j 0.000881037+0.000303086j 0.000373179-0.00654881j 0.0168925-0.00361127j -0.00250954-0.00371108j 0.0180706-0.000739387j -0.00791192+0.000925773j 0.00456192-0.000574222j -0.0113195+0.00158811j -0.0088691-0.000845211j -0.0120075+0.00224214j 0.0129609+0.00885597j 0.00691876-0.00594043j -0.00349461+0.00568035j -0.0138476+0.00996245j 0.010744-0.000961488j 0.0212035+0.00198572j 0.0162498+0.00450796j 0.0110222-0.0172143j 0.0145516-0.00413856j -0.00134659+0.0164756j 0.0133836+0.0207618j 0.00599708-0.00978862j 0.0033824+0.00787123j -0.00297998-0.0032954j -0.000750226+0.00246618j 8.90832e-05+0.000599613j 0.00744422+0.00256303j 0.00732859-0.000123039j -0.00372607-0.00508406j 0.000328556-0.00189904j -0.00747958-0.00948754j -0.00846655-0.00939974j 0.000819454-0.00778789j -0.00630328-0.00175964j -0.00246111+0.00366221j 0.0104749+0.00671029j -0.00736198+0.0087699j 0.0196695+0.00399364j 0.0147005-0.0262509j 0.0279176-0.0019904j -0.00204434+0.0254339j 0.0160388+0.00789619j 
-0.00621326-0.000422861j 0.000200905+0.000479721j 0.00375683+0.00306473j 0.00237125-0.00717275j -0.00760523+0.00503715j 0.000475528-0.00464179j 0.00114278-0.00209432j 0.0167406-0.00717179j -0.0125793+0.00189382j -0.0174744+0.0101793j 0.00537327+0.000963355j 0.000268515+0.000866843j -0.0139792+0.0038874j 0.0126791-0.0018507j -0.0399301+0.000743142j 0.0135957-0.00369577j 0.00625646+0.00288484j -0.0102433+0.0114663j 0.0185512+0.00879295j 0.0218036+0.0020998j -0.0217429+0.00306696j -0.0172439-0.00705284j 0.000842395+0.00106808j 0.0257246+0.0135965j -0.010426+6.28169e-05j -0.00581448-0.000254256j -0.0253132-0.00267576j 0.00742795+0.00246207j 0.0155155+0.00540065j -0.00205913+0.00860567j 0.0144082-0.00209379j 0.00295405-0.00609865j 0.00238043+0.00270327j 0.000693416+0.00156306j -0.0022851+0.00198265j -0.000178254-0.000497201j 0.00239373+0.00107841j 0.00237439-0.00250661j -0.00600817+0.00115725j 0.000138234-0.00342615j -0.00812952-0.00752061j -0.00900577-0.0103346j -0.00110784-0.00487042j -0.00299572-0.00561318j -0.00645168+0.00199139j -0.00369822+0.0045005j -0.0121568+0.0103469j 0.0169621+0.000291078j 0.000995211-0.0138062j 0.0198787-0.0130569j 0.0113113+0.0203469j 0.0124647-0.00510004j 
-0.0160835+0.00522276j -0.0167684-0.00775493j -0.0268693+0.0142798j -0.0309885-0.000865819j -0.00427301-0.00669007j 0.0131433+0.00153548j 0.0045893-0.00364778j -0.00188996-0.00712318j 0.00408756+0.000388016j -0.0102195-0.00480649j 0.000438288-0.00170696j -0.00138719-0.00404081j -0.00136739+0.00126077j 0.00199806-0.00139888j -0.000491655+0.00261541j 0.00217079+0.0022593j -0.00517737+0.00492671j -0.00190256-0.00750292j 0.00216909-0.000400428j -0.000831371-0.00214621j -0.00194871+0.00198589j -0.00335064-0.00344459j -0.00766476-0.00117865j -0.000388562+0.00550947j -0.00683478-0.00413647j 0.0111258+8.32453e-06j -0.00390428-0.00507725j -0.00162231-0.0161816j 0.000244986-0.0113521j -0.00878889+0.00285857j -0.013165+0.0245259j 0.00528449-0.00471781j -0.00391896+0.00453375j 0.000692923-0.000601116j 0.000692667+0.0012369j -0.00171371+0.000176871j 0.00547157+0.00359627j 0.00404139+0.00120445j 0.0017421-0.00522739j -0.000882346+0.000455555j -0.00624472-0.00368127j -0.000468726-0.00334306j 0.00325532-0.00545536j -0.00620091-0.00168586j 0.00591309+0.000201153j 0.0154586+0.00389316j 0.0116031+0.00424502j -0.000963518+0.000542441j 0.0251507-0.0128429j 0.010405+0.0132172j -0.019115+0.00899877j 0.00579527+0.0183403j 
0.00616774+0.000102779j 0.00637435-0.0087958j -0.00586241+0.0117502j 0.0016325-0.0153799j 0.00488971-0.00875929j -0.0110088-0.00315277j -0.000894419+0.00771033j 0.000173122-0.00788284j -0.00484972-0.00517616j 0.00079303-0.009891j -0.00671841-0.0130457j -0.00299767-0.007847j -0.0108045+0.0258476j 0.00675873-0.00615622j -0.0138916+0.00161073j -0.00532276-0.0117969j -0.00398505+0.00851464j -0.00300738-0.0040831j 0.00216619+0.0100254j -0.00377316+0.00903743j 0.00788228+0.0107262j 0.00438146-0.0395577j 0.0148749-7.92672e-05j 0.00801889+0.0231684j -0.00723944+0.00650597j 0.00463419+0.0175494j -0.00409456+0.011877j -0.0147689-0.00578792j 0.0235783-0.0243268j -0.00759129+0.0109334j 0.0064391-0.00839965j 0.00207976+0.00795372j 0.00530236-0.00263594j -0.0041589+0.000245866j -0.00106018-0.00051054j 0.000241763+0.00358078j 0.00717235-0.0010991j 0.0098106+0.000210681j 0.0023591+0.0191906j 0.00316245+0.00656249j 0.00235462+0.00235673j 0.00552977-0.00200961j 0.0040663-0.00959478j -0.00432369+0.00489213j -0.00598559+0.0095806j 0.0141983-0.00808206j -0.00474801-0.0116839j 0.00105223-4.38132e-05j -0.008729+0.00416388j -0.00785215+0.0078365j -0.0106783-0.0138115j -0.00658101+0.00341537j 
-0.00694018+0.0100527j -0.00821475-0.00779769j -0.00410739+0.015605j -0.0094323-0.0122537j 0.00570011-0.00577168j 0.0050034-0.00501212j 0.0083214+0.0010204j 0.021742-0.000721825j 0.00861052-0.0198835j 0.0108671+0.0110156j -0.00147003-0.00471261j -0.0140028-0.001665j 0.00826682+0.00471893j 0.00474051-0.00907353j 0.00386665+0.0135177j 0.00800584+0.0253817j 0.00108682-0.00720263j 0.00305974-0.00630887j -0.00209844-0.00126419j -0.00818136-0.00378701j -0.00365886-0.00907554j -0.00216126+0.0174757j -0.000317011+0.0178075j 0.00722098+0.0091822j 0.00158829+0.00359302j 0.000885773-0.00536387j 0.00827543-0.00580561j 0.0180544-0.00289877j 0.0159283+0.0161829j 0.0010024+0.0138971j -0.000918714-0.00329632j -0.00615303+0.00418068j 0.00355908+0.00144438j 0.00136477+0.00221965j -0.00915651-0.00364589j -0.000161204+0.00332117j 0.00274879+0.00131951j 0.0037637-0.0061824j -0.00244616-0.0089248j 0.00151982+0.000420289j 0.0161959+0.00611018j 0.00850719+0.0148903j -0.00741039+0.00691129j -0.0142174+0.00897901j 0.00380196-0.0102474j -0.0176591-0.00884737j 0.0020295-0.0204282j 0.0146307+0.00628848j 0.0145881-0.000232939j -0.0019498-0.00122487j 0.00583829-0.00450646j -0.0061519-0.00650751j 
-0.00594072-0.00344675j -0.00301103-0.00202229j -0.00282547-0.0011462j -0.0066406-0.00914733j -0.000243003+3.60005e-05j -0.00283123-0.00106795j 0.00437508+0.00724308j 0.0015835-0.00164419j -0.00165444-0.00626817j 7.41612e-05+0.00425178j 0.00714757+0.00158924j 0.00774479+0.00142467j 0.0240272+0.0122954j 0.00533264-0.00200503j 0.00985574+0.00297514j 0.00381514+0.0152514j 0.00195941+0.00627229j 0.00180483-0.00138891j -0.0153562+0.00596831j 0.00943748-0.00803397j 0.00741796+0.00273182j 0.0148839-0.00140513j 0.0263631+0.00472388j 0.000625658-0.000236882j 0.000231561+0.0176486j -0.0131691-0.00977801j -0.023683-0.00761903j 0.000651595+0.00776464j 0.000472821-0.00403728j -0.00315016+0.000854648j -0.00824487-0.00135172j 0.00931075-0.00309433j -0.0041108-0.00198068j -0.00152692-0.00323696j -0.00738139+0.000117381j 0.000625122+0.0049031j -0.00402809+0.000246305j -0.00257181-0.00446439j -0.00430129-0.0187984j 0.000546783+0.00452098j -0.028719+0.000175073j -0.000556784+0.00448588j 0.00734292+0.0137869j -0.00279371+0.00438429j -0.00244124-0.00158113j 0.00238632-0.00187887j -0.00951342+0.0039208j -0.00172862-0.0062732j -0.00030026+0.00237496j 0.00613746-0.000501802j -0.00181121+0.00444026j 0.00457326+0.00143691j 
-0.00404557+0.00221649j -0.00117069+0.00365922j -0.00130768-0.00353569j 0.00215465+0.0177854j -0.000389297+0.00236111j -0.00547265-0.00112623j -0.00495648-0.0091709j -0.00386667+0.00264856j -0.0105388-0.0130021j -0.0181374+0.00628921j -0.000704506-0.00655838j 0.00683884-0.00838254j -0.0026115+0.00426354j 0.0177995-0.00848623j -0.0124619+0.0120435j 0.0176368+0.0174458j -0.0246955+0.00448734j 0.00282955-0.00707321j -0.00770741+0.00134387j 0.00158999+0.00131079j -0.00420941-0.00189427j -0.0060524-0.00616121j 0.0161509+0.0055508j -0.0263876+0.012076j 0.00494677+0.0137442j 0.0046168-0.00748475j 0.0190433-0.00118443j 0.000851557-0.00834492j -0.0166055-0.0113207j 0.000781563+0.00268348j -0.00695534-0.000380069j -0.0049815-0.00438185j 0.000978368-0.00066949j -0.00666146-0.00390558j 0.00216178-0.00129574j 7.05806e-05+0.00440389j 0.00236954+0.000227501j 0.0015653-0.00611418j 0.0016998-0.0109544j -0.00120147-0.002266j 0.014098+9.54654e-05j 0.00393661+0.00401496j -0.00291274+0.00177023j -0.000942221+0.0135029j 0.0078132+0.0169859j -0.00470005-0.00246526j 0.000953096+0.00419789j 0.000144866-0.00301923j -0.00445905-0.00423293j -0.00401243-0.00164578j 0.00126639+0.00184247j -0.00126059+0.00144359j 
0.00135524+0.000662768j -0.00413345+0.00573014j -0.00660261+0.00487076j -0.0105187-0.00128525j -0.000669925+0.000333305j -0.000837318+0.00103807j 0.00889273+0.0227218j 0.00186061+0.00299819j -0.000122564-0.00196701j 0.00353666+0.00148414j -0.00285357+0.0118051j 0.00468308+0.0214265j -0.0107329+0.0238513j 3.35596e-05+0.000313706j -0.0108634-0.00285835j 0.00419415+0.0215042j 0.00730505+0.00169475j -0.00942158+0.00185106j 0.00501778+0.0102966j -0.0195704-0.0121416j -0.00518924-0.00237583j -0.00252385+0.0201509j 0.00237038+0.0191221j 0.00219458-0.00508443j 0.0110393+0.0166565j 0.0155518-0.000175092j 0.00974794-0.015488j -0.00624672+0.0201688j -0.00258836+0.00401004j 0.0186872-0.00380704j 0.00077603-0.00711342j 0.0102951+0.00438654j 0.000282985-0.000659734j 0.0013825+0.00134289j 0.00875986-0.00475353j 0.00268071+0.00574438j -0.00563058+0.00212802j -0.00433729+0.00544885j 0.00125577-0.0013052j -0.00176828-0.00433732j -0.0244214-0.00167398j -0.0150902+0.000403171j 0.00910752+0.00793417j 0.0152836-0.00267962j -0.00743864+0.00141316j 0.0248333-0.00206227j -0.00626616-0.00816501j -0.00812742+0.0014146j -0.0138239-0.00359054j 0.00330448+0.00249397j -0.00197962-0.002026j 0.00484191+0.00197112j 
-0.00287917+0.00456269j -0.00203075+0.00105688j 0.00559651+0.000934959j 0.0027096-0.00218046j 0.00514586-7.70537e-05j 0.00814394-0.00450994j -0.00479289-0.0051352j 0.00703162-0.00270095j 0.0119771+0.00308251j 0.00367134+0.00185513j -0.000309531+0.00169774j 0.00998971-0.0036351j -0.00398063-0.0107881j -0.00922561+0.00533575j -0.00254514-0.0037805j -0.00169169-0.0171036j 0.000713327-0.000735742j 0.00610918+0.00249947j -0.0277291+0.000382381j -0.0226383+0.00317968j -0.0071681+0.000453068j -0.0283236-0.0116798j 0.0263113-0.00351314j 0.00491655-0.00730546j -0.00342552-0.0109156j -0.00350673-0.00164272j -0.00775098+0.0088279j 0.00526468-0.00309405j 0.00337229+0.00945393j -0.000575664-0.000824428j 0.00146791+0.00378673j 0.00528262-0.00128418j -0.000940186+0.000833993j 0.00445554+0.00601213j 0.0195577+0.00235016j 0.0036244-0.000892729j -0.00198539-0.0029077j 4.90405e-05+0.00256524j -0.00388569+0.00129158j 0.0020463+0.00732487j 0.0136814-0.00032254j -0.0175154+0.00122721j -0.00265901-0.00214611j 0.00877218+0.00172884j -0.00434564+0.00415944j 0.00744068+0.00809555j -0.00521761-0.00599312j -0.000178754+0.00487832j 0.00256644-0.00198785j 0.00163766-0.0033797j 0.0068171+0.000559311j -0.000769029-0.00632014j 
0.00422602-0.00733892j 0.00308008-0.00416649j -0.000471058-0.00591186j 0.00250279-0.00807401j -0.00141568-0.000199322j 0.00166399+0.00698646j 0.00349369+0.000486934j -0.0026738+0.000667268j -0.00469381+0.0125555j 0.00366783-0.00801049j -8.90776e-05+0.00517164j 0.00408235-0.00234656j -0.0020479-0.0116075j -0.00831843+0.00259295j -0.011453-0.0030903j 0.0152639-0.0139517j 0.00176901-0.00434129j -0.000791058+0.00249758j -0.00508789-0.00413783j -0.0213724+0.00303832j -0.0137416-0.000488575j -0.00820737+0.00560061j 0.00773428-0.0102088j -0.00149815-0.00594154j 0.00890732-0.0106125j 0.00660365+0.00530399j 0.00339113+0.000902928j -0.00329562+0.00029117j 0.00238137-0.000613999j -0.00244066-0.0033191j 0.00431478+0.000511161j -0.00643358-0.000364621j 0.00334764-0.00185833j 0.00179111+0.00244084j -0.0498735+0.00258352j -0.00323572+0.00117698j -0.0130529+0.000808559j -0.00826399+0.0016922j 0.00204341-0.00163979j -0.00491658-0.00464178j -0.0344807+1.84491e-05j 0.0304431+0.00204484j 0.00561909+0.00153351j -0.0168903-0.00370252j 0.00600574+0.00384927j -0.0181054+0.00131351j 0.00321928+0.0002296j 0.000783964+0.000310449j 0.00178571+0.000442311j -0.000699569+0.00200847j -0.00372576-8.60379e-05j -1.41539e-05+0.00286383j 
