-0.0123364+6.41848e-17j -0.0101997-5.95867e-05j 0.00136467+0.000397541j -0.0195565+0.00239404j -9.19718e-05+0.00142734j 0.00675825+0.00198063j 0.0292216-0.00319376j 0.0111671-0.00114401j 0.0224478-0.00235397j -0.00971699-0.00312123j 0.00263274+0.000699636j -0.0391384+0.00335817j 0.0110569+0.00268939j 0.0207561-0.000148824j 0.0257285-0.00180772j 0.0130453+0.00135895j -0.000842482+7.84181e-05j 0.00126746-0.00158548j 0.0209946-0.00278177j 0.00398276-0.000565057j -0.00725389-0.000620151j -0.002763+0.000583954j -0.0111178+0.00208392j -0.00862409+0.00141443j 0.0199576+0.00168717j 0.0130174+0.000518098j 0.0101375+0.00187144j 0.0100648+0.000201963j 0.00410704-0.00176486j 0.00583747+0.000470939j -0.0158902+0.00113337j 0.00802355-0.0018152j -0.00285479-0.00269852j 0.00792189-0.00286254j -0.00214536-0.000416284j -0.012183-0.00080691j -0.000190589+0.000953057j -0.00444386-0.000227553j -0.0220262+0.00260652j 0.000116686+0.00526388j -0.00335642+0.00147133j -0.0193631+0.00350901j -0.0104689-0.000121272j -0.0177509+0.00142022j -0.0103061+0.00104881j 0.000133053+0.00286921j -0.00990185-0.0011355j 0.00491654-0.00333908j -0.0148183+0.00138871j 0.0350171-0.00560993j -0.0181256+0.00213482j 0.00148929-0.000908456j 0.00422481+0.0028262j 0.0261969+0.00247291j 0.0293308+0.00240599j -0.00965936-0.00192269j -0.00475879+0.00321588j 0.0252343-0.00522777j 0.0897969+0.00118918j 0.03748-0.0199029j -0.130942+0.0098297j -0.0686346-0.00409064j 0.0133022+0.0147366j -0.0469151+0.00748152j 0.0325839+0.00147169j 0.0123008-0.00643864j -0.0428789-0.000993215j -0.0274047+0.00676762j 0.0106177-0.0065427j -0.0459018-0.00662435j 0.000651897-0.00124032j 0.0631923+0.0126581j 
-0.0101997+5.95867e-05j 0.0132222+1.73472e-18j -0.0193197+0.00174316j -0.00651814+0.000768214j 0.010832+0.000710135j -0.0208906+0.000927006j 0.00761325+0.00174215j 0.0175419-0.000457183j 0.00165821+0.00239096j 0.0166786-0.00218648j -0.0293937+0.00116133j -0.00842691-0.00406025j -0.0319514+0.00217406j -0.0118747+0.00252961j 0.00340612+0.0027451j -0.0115889+0.0021738j 0.00935897-0.000375834j 0.00109888+0.00038946j 0.0240422+0.00147563j -0.00214233+0.00100991j 0.0174529-0.00257466j -0.0116909+0.000415757j -0.0116072-0.000589633j 0.000383549-0.00168078j -0.0247522+0.00415171j -0.00806982+0.00263101j -0.0173995+0.00234613j 0.00230256+0.000951872j 0.00630316-0.000555439j -0.00504114+0.000976929j -0.00317966-0.00276532j 0.00733541-0.000142678j 0.0209356-0.00228031j 0.0143593-0.000337722j 1.2646e-05-0.000219489j 0.00665963-0.00216185j -0.000470638-0.000519881j 0.0106023-0.000424302j -0.011438-0.00248625j -0.0326948+0.00158883j -0.00712131-0.000362085j 0.00256244-0.00206037j 0.00779187-0.00279653j -0.00683852-0.00193665j 0.00480346-0.00274345j -0.0168076+0.000343037j 0.021318-0.00396742j 0.0164203-0.00157315j -0.0118002-0.00103774j 0.02658+0.00377303j -0.00291509-0.00371793j 0.00117425+0.000532765j -0.0321437+0.00352411j -0.0300399+0.00477241j -0.0178385+0.00519334j 0.0186228-0.00130614j -0.0281776+0.000235306j 0.0309967+0.00176384j -0.041576+0.0136291j 0.135172-0.00312082j -0.012763-0.0194249j 0.0515314-0.0127309j -0.0876386+0.00503797j -0.0500724-0.00631457j -0.0134465+0.00274748j 0.0392967-0.00098694j 0.0227015-0.0100176j -0.0173269-0.00113466j -0.0500868-0.00324513j -0.00810951+0.00941618j 0.0608981+0.0118127j -0.000145919+0.000196206j 
0.00136467-0.000397541j -0.0193197-0.00174316j 0.0132906-6.93889e-18j -0.0036725-0.00171891j 0.00491888-0.00440619j 0.027362+0.00203805j 0.000696926+0.000533113j -0.00498334-0.00359933j -0.00534845-0.0011595j -0.0421629+0.00486436j 0.0130135+0.00453985j -0.0050865+0.00202964j 0.0187192+6.63802e-05j 0.00983981-0.000272946j -0.00975527-0.000644867j 0.0174098-0.00445869j -0.0138703+0.00168057j -0.000815331+0.000798881j -0.018416-0.00207878j 0.0108227+0.0010444j -0.0103043+0.00174566j 0.00022524-0.00102471j -0.00997285-0.000167171j 0.0058788-0.00380759j 0.0269904-0.000577995j 0.0134107-0.00259958j -0.00789405+0.000609388j 0.0055077+0.000353087j -0.0194812+0.00317315j 0.000535014-0.000958086j 0.0219213-0.001619j 0.00719354-0.000720557j -0.0221597+0.00363288j -0.00401341-0.00114559j 0.00641603-0.00280184j 0.0147905-0.0019941j -0.0323434+0.00236541j 0.00173336-0.00414102j 0.0338889-0.00582672j 0.0492412-0.00445348j 0.000683731-0.000547619j 0.0208509-0.00214734j -0.0202601+0.000921009j 0.0167113-0.00389146j -0.0052928+0.00324255j 0.0214845-0.00104386j -0.0109957+0.000519641j 0.00212906-0.0064504j -0.0376896+0.00357868j -0.0492736+0.000363632j 0.0688243-0.00581232j -0.136384+0.0106356j 0.0419767-0.0063182j 0.0271339-0.00114159j -0.0131303+0.00547132j -0.00757125+0.0035953j -0.0404785+0.00671057j -0.0803259-0.00429322j -0.00588142+0.0119228j 0.0319166-0.00702501j -0.109203-0.0010656j -0.0753891-0.0036649j -0.0655674+0.0080817j -0.0412837+0.00224609j -0.0457378+0.00527619j -0.0278073-0.00833435j -0.00158031-0.00471609j -0.0540284-0.00637023j -0.000222372-0.00625339j 0.0385588+0.0204936j -0.00777787+0.00896285j -0.0423859-0.00664941j 
-0.0195565-0.00239404j -0.00651814-0.000768214j -0.0036725+0.00171891j -0.0011508+6.93889e-18j 0.0315676-0.000225788j -0.00833667+0.00272626j 0.0219185+3.32067e-05j 0.00774193-0.00290417j 0.0302184-0.00174369j -0.0293253-0.00481806j -0.0134881+0.00116856j -0.0449347+0.00170054j -0.00429638-0.000146026j 0.00866612-0.00128084j 0.0175158-0.00234062j 0.0212988+0.000815919j -0.0348927+0.00134211j 0.0181489-0.0019692j -0.0209767+0.000708145j -0.0175969+0.00295005j -0.0295602+0.00114477j 0.0100114-0.00280495j -0.00214452-0.00238039j 0.00595261-0.000782344j 0.0128471+0.00153099j 0.01514+0.00162239j -0.00317699-0.00216993j 0.000808059+0.00307629j -0.0129617-0.0033402j 0.00222255+0.000376764j 0.00402143+0.00132659j 0.00841478-0.000236448j -0.024917-0.000674418j 0.00626443-0.00241833j 0.0226517-0.00160987j 0.0175341-0.000510295j -0.0434975-0.00142307j 0.0248115-0.0016625j 0.0411353-0.000142202j 0.0449796+0.0028294j -0.00570404+0.000435211j 0.00969601+0.00384577j -0.0166334-0.00354895j 0.0231615-0.000172273j -0.0347535+0.000451668j 0.020813-0.000551881j 0.00745949-0.000347688j 0.0300582-0.00118069j 0.000194201-0.00400082j 0.0498545-0.00726497j -0.033101+0.00761109j -0.00846131-0.0155724j 0.114583-0.000156316j 0.0592447-0.00101917j -0.0415466+0.00135052j -0.0360081+0.0032575j -0.0444025-0.0037485j 0.126994-0.0115476j -0.0890217+0.000996835j 0.0758024+0.00537941j 0.00301363-0.00921695j 0.0651525-0.00945448j -0.0889514-0.00605014j 0.0379621-0.00683323j 0.0513888-0.00294121j 0.00817574+0.00684371j 0.0100849-0.00246671j -0.0121098+0.00699009j 0.00199839+0.00802442j -0.000519147-0.00476045j -0.0462698-0.00337955j 0.010195-0.00609644j 
-9.19718e-05-0.00142734j 0.010832-0.000710135j 0.00491888+0.00440619j 0.0315676+0.000225788j 0.0182449-1.12757e-17j -0.0302333-0.000725363j -0.000385188+0.00045167j -0.00453131-0.00316109j 0.00855938+0.00196226j 0.0253917-0.00363796j 0.000887258-0.000424825j -0.00773718-0.002645j -0.0119535-0.00313041j 0.00997982-0.000290858j -0.00980598-0.00122176j -0.0059701-0.000199809j -0.0349579-0.00193018j 0.0297209+0.00260173j -0.0178938+0.00183876j -0.0383337+0.00366059j -0.0293741-0.00243485j 0.0258881+0.000887036j 0.0215721-0.00288972j 0.00878259-0.00317137j -0.0182222+0.00340737j -0.016979+0.0019259j -0.0181286-0.00204375j -0.0122049+0.00056594j 0.0167336-0.000234809j 0.0156112-0.000577948j 0.0181453-0.00216313j 0.0253091-0.000773737j 0.00432193-0.00583062j 0.00243979-2.46477e-05j 0.0260677+0.00198139j 0.00382362+0.00150532j -0.0130978-0.00457341j 0.00137347-0.00201939j 0.0393425-0.000372431j 0.00851888-0.000443929j 0.00314621+9.22611e-05j -0.0813368+0.00140248j 0.0137616-0.00553863j 0.0445487-0.00133874j -0.0586019-0.00249733j 0.0194973-0.00069506j 0.033007-0.00633932j 0.135163-0.000147687j 0.0100853+0.0020934j 0.0266015+0.00498732j 0.0185549-0.00888543j 0.0967371+0.000982107j -0.0197187+0.0103913j -0.0101045+0.00506194j -0.121975+0.00420258j -0.0175022+0.000569659j 0.0873688-0.00273392j -0.0322948+0.0136373j 0.0371026+0.000302614j -0.0544829+0.000106106j 0.104519-0.0055971j -0.00512803+0.00156783j 0.0328244+0.00355103j 0.0340724+0.0026568j 0.00963699-0.00236662j 0.00207398+0.00306849j 0.0170289-0.00366871j 0.00985928-0.00636931j 0.0127328-0.00563516j 0.0507118+0.00642893j 0.0171913+0.00155416j 0.0265716-0.00669987j 
0.00675825-0.00198063j -0.0208906-0.000927006j 0.027362-0.00203805j -0.00833667-0.00272626j -0.0302333+0.000725363j 0.0143031+1.64799e-17j 0.0184705+0.00180553j -0.0346743+0.00461747j -0.0022082-0.00168726j -0.0122814+0.000750781j 0.0579487+0.00241703j 0.00738245+0.00159783j 0.0347734-0.00315988j 0.0213108+0.00418389j -0.00303022-0.00233198j -0.0066789-0.000257442j -0.00441811-0.00112683j 0.000929934+0.0034379j -0.0159557+0.0019679j -0.0381889+0.00188864j 0.00281897+0.00278157j -0.00461418+0.0025401j 0.035351+0.000480228j -0.0172361+0.00165896j 0.00444364-0.00104982j 0.00794582-0.00287072j 0.0533381-0.00532033j 0.00259891-0.000734591j 0.0175577+0.00426836j 0.0118774-0.000591769j -0.0156518+0.00285571j -0.0142225+0.00320054j -0.00838834-0.000384009j -0.0191345+0.00284859j -0.0299633+0.00205667j -0.0186114-0.00022316j -0.00387174+0.00286118j 0.000514014-0.000936706j 0.0362616-6.32544e-05j 0.00216652-0.00230436j 0.000186709+0.00326956j 0.037233-0.00658299j 0.0791281+0.000223407j -0.025455+0.00259928j 0.0712677-0.00357099j 0.156548-0.00737403j -0.0132224+0.00308804j 0.0263336+0.00908011j -0.00843305+0.0022774j -0.0189521+0.00413546j 0.0326534-0.00113409j 0.0631785-0.00388581j -0.0422026+0.000603578j 0.12215-0.00522172j 0.101769-0.00735399j -0.093665+0.000254984j -0.0150897-0.000713639j -0.00501611+0.00421899j 0.0952939-0.00315944j 0.0390337+0.0048486j -0.0711731-0.0035311j -0.0982665-0.00710644j 0.0302784-0.0042611j -0.0244119+0.000269171j 0.0276272-0.00866188j -0.00140202+0.00336623j -0.0278233+0.0147937j -0.0172819+0.00215964j 0.0118811-0.00293129j -0.00678107-0.00447512j 0.0217859-0.0101755j -0.0424763-0.00115738j 
0.0292216+0.00319376j 0.00761325-0.00174215j 0.000696926-0.000533113j 0.0219185-3.32067e-05j -0.000385188-0.00045167j 0.0184705-0.00180553j -0.0354466+1.9082e-17j -0.00648654+0.00310552j -0.0685429-0.000783589j 0.0190563+0.00373415j 0.00804034-0.00319366j 0.0473223-0.00297686j -0.0226909-0.000924614j -0.0257127+0.00165053j -0.0665414+0.00269247j -0.0334207+0.00163164j 0.00295146+0.000255521j -0.00262765+0.000310474j 0.0216735+0.00104006j 0.034336+0.00203489j 0.039844-0.00187694j -0.0227166+0.00151446j -0.017596-0.00164639j 0.0007644+0.00112647j -0.0292155+0.00225241j -0.0351831-0.00114175j -0.0383305-0.00246501j 0.0266939-0.00174202j 0.0349466-0.00211495j 0.015783-0.0029298j 0.0118851+0.000724546j 0.0472724+0.000777787j 0.0427345+0.000253736j 0.0190199+6.62545e-05j 0.0105399+0.00160431j -0.0313654+0.00265506j 0.0499748-0.00206206j -0.0574482-0.00169987j -0.0405566-0.00180326j -0.024187+0.000322541j 0.00191482-0.000724216j -0.0242052-0.00305729j 0.0139567-0.00430126j 0.0858511-0.0030304j 0.0501638-0.0042726j -0.0458268-0.006225j 0.0393903-0.000140723j 0.0450528-0.00374964j 0.150257-0.0062359j -0.0335567+0.000560259j 0.0103908+0.00302719j -0.114218-0.00487949j 0.0979228-0.00249455j 0.0140915-0.0066435j 0.0662748-0.00187227j -0.112005+0.0113556j 0.00968837+0.000249932j -0.0344408-0.0060454j 0.0368037+0.00458109j -0.12314+0.000759821j -0.00273118-0.00262505j -0.0354338-0.00649108j 0.0562863-0.00194238j 0.0620831-0.00204567j -0.00857603+0.000915701j -0.0568776+0.00746588j -0.00441338+0.0019317j -0.00212459-0.00295752j 0.0162623+0.00632934j -0.0230002-0.0089049j 0.0402604-0.00122178j 0.0112589-0.00688697j 
0.0111671+0.00114401j 0.0175419+0.000457183j -0.00498334+0.00359933j 0.00774193+0.00290417j -0.00453131+0.00316109j -0.0346743-0.00461747j -0.00648654-0.00310552j 0.0422172-2.60209e-18j -0.0315203+0.000876734j 0.0173439-0.0030466j -0.0177301-0.00143949j 0.0194536-0.00351095j 0.0102176-0.00223769j 0.0127927+0.000871831j -0.017147-0.00239605j -0.0032147+0.00225845j 0.0213987-0.00328342j -0.0294488+0.00138358j 0.0289228-0.000104964j -0.0418732-0.00260212j 0.00960818-0.00543322j -0.00164528+0.00585665j -0.00342718+0.00145337j 0.034271+0.00172364j -0.039669+0.000736055j -0.00734211-0.000209841j -0.0435804-0.000587147j -0.0109516-0.000775852j -0.00497788-0.000733477j 0.0212765+0.00241428j 0.0645061+0.00210738j 0.0421331-0.00166432j 0.0469531-0.00443853j 0.00767586+0.00060157j -0.00446345+0.00138455j -0.000149758+0.00168398j 0.0738567-0.00540551j 0.00177325+0.00139954j -0.0194244+0.00695098j 0.0532373+0.00200609j 0.0335702+0.00130455j -0.0633745-0.00264726j 0.109716+0.00311151j -0.00777563+0.000261603j -0.0758043+0.00113903j -0.0367971+0.00487029j 0.207266+0.00145732j -0.108931+0.0103585j -0.0320239-0.0033658j -0.0656915-0.00084038j 0.136653-0.000204165j -0.119959+0.00572239j -0.048422-0.00489274j -0.0315061-0.00314303j -0.0454191-0.00634184j 0.0972077-0.00229897j 0.00414561+0.00384263j -0.106634-0.00416306j -0.048513-0.000959873j 0.0068181+0.00526658j 0.0433331-0.00200587j 0.0177585+0.00873586j -0.0511221+0.00322735j -0.0455882-0.000705397j -0.106898+0.00396386j -0.00907598-0.000471681j 0.0328653-0.00849189j -0.0101966+0.000309176j 0.0424455-0.00327258j -0.0404376+0.00508932j -0.017422+0.00336556j 0.0332485+0.00202967j 
0.0224478+0.00235397j 0.00165821-0.00239096j -0.00534845+0.0011595j 0.0302184+0.00174369j 0.00855938-0.00196226j -0.0022082+0.00168726j -0.0685429+0.000783589j -0.0315203-0.000876734j -0.0229593+1.43115e-16j -0.0281378+0.00268394j -0.0678934+0.00279388j 0.0196135-0.000366779j 0.000133666+0.0032686j -0.0520756+0.00212893j -0.00919051+0.000876975j -0.0372799-0.00193738j 0.0162963+3.49112e-05j -0.0404702+0.000680049j 0.0221913+0.00171342j -0.0269817-0.00164834j 0.0225842-0.000130911j -0.0394523-0.00206738j -0.0246828+0.00056606j -0.0141199-0.00117522j -0.00504012-0.00122961j 0.03504+0.000312234j 0.0501228-0.000715054j 0.0170049+0.00049703j -0.0134046+0.00324792j 0.00814569+0.00285722j -0.0209029-0.000504773j 0.00925215-0.000663474j 0.0148136+0.00103964j 0.031967-0.00264858j -0.0472212-0.00340855j -0.00408221-0.00739346j 0.0388262+0.00221288j -0.0225189-0.00388631j -0.0135367-0.00261445j -0.0198829+0.00622343j -0.0321761+0.00224222j 0.0389442-0.00472069j -0.000626878+0.0052676j 0.0888359-0.00194045j -0.149101+0.00298048j 0.0630991+0.00136433j -0.088761+0.00701386j -0.0810936+0.00220031j 0.107152+0.00161714j 0.0329416-0.000506906j -0.0157742-0.00339689j 0.0805186+0.00167912j 0.142911+0.00369793j 0.0792755+0.00567792j 0.020094+0.00281584j -0.0476846-0.00305069j 0.0613613+0.00592694j 0.0587583-0.001314j -0.0898652-0.00062582j -0.339332-0.0060174j 0.264084+0.00331017j 0.0796705-0.0004157j 0.139936-0.00108373j 0.249369+0.000206755j 0.0430472+0.00221611j -0.0820219+0.00459796j 0.034656+0.00362135j 0.0619441+0.00316289j -0.00543063+0.0116863j 0.0835976-0.00427945j 0.0788167+0.00877946j 0.0690613-0.0150793j 
-0.00971699+0.00312123j 0.0166786+0.00218648j -0.0421629-0.00486436j -0.0293253+0.00481806j 0.0253917+0.00363796j -0.0122814-0.000750781j 0.0190563-0.00373415j 0.0173439+0.0030466j -0.0281378-0.00268394j -0.0626069-1.60462e-17j -0.0225491-0.0018665j 0.0109523+0.00348385j -0.0119335+0.00186343j -0.0600123-0.00157183j -0.0283854+0.00133051j 0.0352586+0.00132266j 0.0144082-0.00019649j -0.0543094-0.0019598j 0.0579082-0.00546449j 0.0109324+0.000115297j 0.0456358-1.48551e-05j -0.0544563+9.87143e-05j -0.00188729+0.000996306j 0.0187217+0.00240549j -0.0393567-0.00248922j 0.042045-0.00266401j 0.0015136-0.00292083j 0.0541387-0.00103034j -0.0586072-0.000731081j 0.0292206-0.00245143j -0.025382+0.00598489j -0.0310618+0.0006229j 0.0221329+0.000312955j -0.033534-0.00110101j -0.0379205-0.000281014j -0.0838582+0.00261179j 0.0567661-0.000178738j 0.0670561-0.00305259j -0.0234055+0.00188902j 0.0664585+0.000561578j 0.0857063+0.00202527j 0.164252-0.00144675j 0.0312036-0.00188438j 0.0808214+0.00295192j 0.0179523+0.00307158j -9.66266e-05-0.00543028j 0.0801637+0.00246881j 0.0870769-0.00310039j -0.0126276+0.00416528j 0.0222023-0.00418359j 0.0133112+0.000200427j -0.051935-0.00355361j 0.0851238+0.00338358j -0.0264656-0.00381933j -0.0974313-0.00270405j -0.0246419+0.00177494j -0.112371-0.00259002j 0.12197+0.00130012j -0.305569-0.00557763j 0.27106+0.00130909j 0.120585+0.00479851j 0.233579-0.00263329j -0.318745-0.00258167j 0.0079205+0.00179309j -0.037088-0.000132079j 0.0569929+0.003509j 0.0822367-0.00260695j -0.0308924-0.00173385j -0.137977-3.0002e-05j -0.00880352+0.0122963j -0.102045+0.0147205j 0.0582366+0.0154516j 
0.00263274-0.000699636j -0.0293937-0.00116133j 0.0130135-0.00453985j -0.0134881-0.00116856j 0.000887258+0.000424825j 0.0579487-0.00241703j 0.00804034+0.00319366j -0.0177301+0.00143949j -0.0678934-0.00279388j -0.0225491+0.0018665j 0.0226465-1.91687e-16j 0.0125781-0.00108528j -0.0396921-0.00296955j 0.0344237-0.00238443j -0.070409+0.00148554j -0.043967+0.000318584j 0.0181497+0.000382748j 0.0215512-0.000772497j 0.0764571+6.33725e-07j 0.0453644+6.53017e-05j 0.0632551+0.00065363j -0.0202415-0.00377558j -0.0440994-0.000640896j -0.0135722-0.000971006j 0.0257904-0.00255692j -0.0382441+0.000407566j -0.0237219-0.000283789j 0.0653426+0.00143293j 0.0536794-0.00121581j -0.00698368+0.000519362j -0.00594531-0.00053343j 0.0520097-0.0017416j -0.0253978+0.00319477j -0.00981672-0.000795558j 0.013035-0.00269785j 0.00470177-0.00103946j 0.0707577-0.00225459j -0.0943532-0.000113138j -0.0610077+0.00149875j 0.0183263+0.000276808j 0.035623-0.00029174j 0.0350662+0.0057593j -0.119157+0.00375142j 0.0825403-0.00277842j -0.0738365+0.00515593j 0.120889+0.00144752j -0.00605684+0.00297769j 0.0507182+0.00165406j -0.110167+0.00153565j 0.0905641-0.00342874j 0.089094-0.000691483j -0.129823-0.0027542j 0.0874529-0.000602589j 0.0992903+0.00391081j 0.0102282+0.00405786j -0.0474154-0.000691371j -0.0320152+0.000523648j -0.0698058-0.000358922j 0.192759+0.000668728j 0.0542218+0.00487068j -0.379422+0.00233205j -0.283008+0.00267686j -0.034057+0.00187936j -0.0883836-0.00131677j 0.030011+0.00770428j -0.0312913-0.00650877j -0.0958129-0.00798027j -0.0542646+0.00158139j 0.01765-0.0135764j -0.120692-0.00161867j 0.0140422-0.0173737j -0.0997375+0.00546992j 
