0.0109501+0.000600477j -0.00214739+0.00837029j -0.00486596-0.000782508j 0.00236357+0.00684261j -0.00282714+0.000727877j 0.00315348+0.00716029j -0.00213346+0.000288583j -0.0018238-0.011557j -0.00636933-0.000941156j 0.00252787+0.00126454j 8.33269e-05-0.00805881j 0.00189436-0.0016682j -0.00655554-0.00413802j 0.00386079+0.000900627j 0.00044907+0.00243426j 0.00556868+0.00943581j -0.001457+0.00315893j 0.00324747-0.00503542j -0.00374718+0.00227305j 0.00101616+0.000920785j -0.00116879-0.00310767j 0.00149895+0.00136626j -0.0018323-0.00330455j -0.00344418+0.00722135j 0.00134915-0.0109605j 0.00421354+0.00695878j -0.000541795-0.000396639j -0.00206072+0.00339781j -0.00233207+0.0022979j -0.00101627+0.00312405j -0.000133452+0.0106556j 0.0040784+0.00544414j -0.00206698+0.000247403j -0.00516228-0.00895931j -9.90865e-05+0.00488969j 0.00365361+0.00454891j -0.00161547-0.000206723j -0.000888111-0.00481424j 0.00122499+0.00505944j -0.000927211+0.00852373j -0.0124134+0.000972144j 0.00785129+0.0112045j 0.00648877+0.00702213j -0.0138977-0.0126845j -0.0111459-0.00983253j 0.00915428-0.021652j -0.00031666+0.00209329j -0.0138183+0.0202747j -1.43684e-05+0.000810499j 0.00218368-0.004209j 0.000332951+0.0031172j 0.00492294-0.0057546j 0.00200119-0.00657866j -0.00211827+0.00396215j 0.00162398-0.00342831j 0.00280548-0.00450481j -0.00717531+0.00530958j 0.000478594+0.00933224j 0.00823752+0.0100936j -0.00154483-0.014887j -0.00835386-0.00973372j 0.0185471-0.00914833j -0.027726+0.00946649j -0.0470059-0.000578343j 0.000925611-0.000565047j -0.000127357-0.00139979j 0.00355532+1.9055e-05j 0.0149083-0.0251484j 0.0344539+0.0246989j -0.0179321+0.0316071j 
-0.00559325+0.00900773j -0.00545892-0.00286963j 0.00286651-0.00560745j -0.00764185+0.00179438j -0.00129785+0.00154761j -0.00679762+0.00554634j -0.00611634+0.00315203j 0.00492699-0.00447297j 0.000590031-0.0075759j -0.00268012+0.00734176j 0.00517229+0.00490434j 0.00205194-0.00669134j 0.00136591-0.00327484j 0.0013957-0.00631729j -0.00101997+0.00560008j 0.00153831-0.00181548j 0.00113544-0.00227883j 0.00490249+0.00414396j 0.000597518-0.000668825j 0.000519525-0.00315325j 0.000470836+0.000835592j 0.00494376+0.000197285j -7.20303e-05-0.00114372j -0.00395167-0.00111279j 0.00854658-0.00220422j -0.00264858+0.00159188j -0.00124154-0.00118171j -0.00639288+0.00138221j -0.000360658+0.00164589j -0.00276509+0.000330814j -0.00226778+0.00569136j -0.000170146+0.00350243j 0.00258578-0.000384419j 0.00240669-0.0054822j -0.00644875-0.00200295j 0.000277937+0.00521759j 0.00226168+0.00353402j -0.0102372-0.00147991j -0.00616634+0.00551901j 0.00703622+0.0101114j 0.00284382-0.00352094j -0.00311253-0.00577237j 0.00904509-0.0128572j -0.0146812+0.00849527j 0.0120713-0.0125128j 0.0111784+0.00971339j 0.00113997-0.00393355j 0.000233138-0.0256322j -0.000358426+0.000556826j 0.000276538+0.00217343j -0.0021612+0.000419524j 0.00761719+0.00726319j 0.00125955+0.0027503j 0.00301812-0.00442059j 0.0023031-0.00477517j 0.00235692+0.00260432j -0.00295666-0.00735384j -0.00832216+0.00508345j 0.0149333+0.0151579j -0.00684417-0.00342008j 0.015811+0.0112583j -0.00834851-0.0148511j -0.0330347+0.00233912j 0.0251311-0.0313512j 9.94143e-05-9.62121e-06j -0.00067772-0.0001015j -0.00202694+0.00188955j 0.0386902+0.00166751j -0.0209895+0.0379911j -0.032501-0.0237189j 
-0.002883-0.000328331j -0.00387356-0.00358678j -0.00685413-0.000348319j 0.00741771-0.00365963j -0.00118756+0.00148635j 0.00770356-0.000629027j -0.0333002+0.000267818j 0.00320697-0.00427625j -0.0159104-0.00822835j 0.017337+0.00906891j -0.00138822-0.00189017j -0.00704342-0.00121357j -0.00648677+0.00802341j -0.00564381+0.00118119j -0.000425645+0.0032071j 0.00422398+0.00112526j 0.00143078-0.00195558j 0.0123904+0.00658193j 0.00320261-0.00128731j 0.0048319-0.00493411j -0.00521259-0.00423214j -0.000559646+0.00698381j 0.00690967+0.00420328j -0.000415639-0.00246987j 0.00153635+0.00304615j -0.00304403-0.000258874j 0.0172929-0.00255279j -0.0113209-0.000192638j -0.00531685+0.00569565j -0.00343008+0.00127528j 0.0096352+0.00664307j 0.00897181-0.00114323j -0.000793074+0.0054966j -0.0127937-0.0038757j -0.0095396-0.00472354j -0.0104407+0.00780552j -0.00936567+0.011734j 0.00259915-0.011576j -0.00422323+0.0105764j -0.00392246+0.00994058j -0.00434487-0.00311978j -0.0100604-0.00289354j 0.0247096+0.00583984j -0.00425416+0.0143602j -0.00753941-0.0233082j 6.2519e-05-0.00402931j 0.000508941+0.00117848j -0.00637627+0.00253117j 0.00141067+0.00359395j -0.000917543+0.00117622j -0.00104773+0.004122j 0.00533818+0.00673766j -0.00029117-0.00410789j 0.00306876-0.00641918j 0.00189564+0.0027359j -0.00392567-0.0080492j 0.00461144+0.00589249j -0.000329459+0.00872813j -0.00677166-0.00256939j 0.00282193-0.00561524j 0.0162696-0.0106863j -0.00110788+0.00618831j 0.00388329-0.000201159j -0.00775414-0.0057316j -0.000810297+0.000242954j 0.000286302-0.000695869j 8.83053e-05+0.00233885j -0.0126381+0.0017306j -0.00380322-0.0164082j 0.0135639-0.00255869j 
0.00739856+0.00373767j -0.00797166-0.00249346j 0.0105155-0.000690576j 0.0172966-0.00198971j -0.00751197+0.00732302j 0.00896186-0.00468737j 0.022173-0.00404954j -0.013347-0.0101482j -0.00785998-0.00114055j -0.0143164-0.00459163j -0.00180808-0.00488976j -0.0162114-0.00440315j -0.00497226+0.00181866j 0.00522433+0.00591773j 0.00328199+0.000614684j 0.00380473+0.0040364j -0.00323187+0.000140575j 0.0111048-0.000252533j -0.00295844-0.000155239j 0.000153148+0.00115657j -0.0168376+0.00256865j 0.00146574+0.00297853j 0.00118945-0.00135541j 0.00445588+0.00244247j -0.000529217+0.00259476j -0.00823328+0.00152152j 0.0140261-0.00133881j -0.0162757-0.00150071j 0.00654378+0.000825332j 0.000890686+0.00167754j 4.0894e-05+0.00104064j -0.00727558-0.000718766j -0.00583748-0.000551982j 0.00200072-0.00132561j -0.0122394-0.0027736j 0.00765916-0.00394331j -0.0053473-0.0100711j 0.0167083-0.00593269j -0.0167412-0.0144384j -0.000177324-0.00171351j -0.00525796+0.00465737j 0.00320281+0.0175109j 0.0129015-0.0029884j 0.00419338+0.00776736j -0.0154803-7.57369e-05j -0.0112307-0.00136805j 0.00129301+0.00193815j 0.00406245+0.00280501j -0.000764447-0.00206235j -0.000412154-2.7952e-06j 0.00822632+0.00229246j 0.00964868-0.00193878j 0.000500997+0.00105892j -0.00339632+0.00444144j 0.000383622-0.000392306j -0.000227809+0.00303147j 0.00498745+0.000973898j -0.00145722-0.00116615j -0.00246474+0.00294441j -0.00355945-0.00803765j 0.00121611-0.0080424j -0.0108182-0.00477441j 0.0049409+0.0142725j 0.00750093+0.000585525j 0.00156619+8.02126e-05j -0.000176645-0.00144036j 0.000465933-0.000404226j -0.00506339-0.00180636j -0.0165639+0.00114839j 1.38604e-05-0.018151j 
0.00113799-0.00067403j -0.0025912-0.000256956j -0.00307591-0.000416912j 0.00791898-0.00447618j 0.00384844+0.00209996j -0.000811789+0.00109116j -0.0172217+0.00508446j 0.00509512-0.0028912j -0.016488+0.00396518j 0.0158342-0.00190597j 0.0042671-0.00467036j -0.00181368+0.00196906j 0.0021418+0.000839396j 0.00474961-0.00494584j 0.000659844+0.00437814j 0.0181514-0.0017852j -0.00961528+0.00598694j -0.019315+0.00446669j -0.0192822+0.0070459j -0.0271522+0.000365801j -0.0183853+0.00248016j -0.000987406+0.00178033j -0.00780107+0.00478319j 0.0130715-0.00301486j 0.000416102+0.00172192j -0.0106862-0.00920059j -0.0141009+0.00428655j -0.000790532+0.00699833j 0.0210467-0.0001082j -0.0045594-0.00707383j -0.00925486+0.00213651j -0.0287032-0.0055337j -0.0111442-0.0013421j 0.0108133-0.00174183j 0.00991742+0.00379546j 0.035105+0.00443193j 0.0154154+0.000271104j 0.0153916-0.00489372j -0.0148798-0.00355754j 0.00557188+0.00292984j -0.0134183-0.0105542j 0.0105295+0.0105232j -0.0173314-0.0080589j -0.00611306-0.00439407j 0.00151694-0.000483741j -0.00405103-0.00377188j 6.08298e-05+0.000486588j 0.00386367+0.00494162j 0.00132187+0.00272309j 0.000737856+0.00393217j 0.000861742+0.000464184j 0.000742086+8.53109e-05j 0.000870795+0.00384415j 0.000358486-0.00207563j 0.000247618+0.000386056j 0.000439113+0.000889468j -4.0571e-05-0.00277769j -0.00291397-0.0015473j -0.000767939-0.00313988j -0.00465494+0.00158555j -4.39355e-05-0.00239966j -0.0012973+0.00421539j -0.0042158-0.000728893j 0.00334655-0.00113552j 0.0036655+7.17469e-05j -0.000397631-0.000163195j -0.000204636+0.000576767j 0.00128733+0.000374807j -0.00231643+0.000605969j -0.000513617-0.00200931j 
0.00511668-0.000882624j -0.00822615-7.7805e-05j -0.0135319-0.00264527j 0.0169817-0.00185196j -0.0342005-0.00483249j 0.00352425-0.00372198j -0.000733308+0.00215619j -0.00930143+0.00919094j -0.0228724+0.00823623j 0.00842379-0.00264581j -0.00602091+0.00263187j 0.00380086-0.00278924j 0.0207008+0.00203429j -0.00270639-0.00330515j -0.00919894-0.000154474j -0.0139825+0.00280279j 0.00359672-4.31441e-05j -0.00121338+0.00249495j -0.00180981+0.000486191j 0.00496869-0.00142376j 0.0217192-0.00409636j 0.00162354+0.00284031j 0.005561-0.000167805j -0.00543811-0.00745379j -0.011881-0.00195362j 0.0188041-0.00144125j -0.0238298-0.00421723j 0.0129926-0.000946317j 0.000364766+0.00252461j 0.00428954-0.00413942j -0.00339138+0.00556984j 0.00227452+0.00304608j 0.00789312+0.00476212j 0.00577254-0.00387972j 0.00621921+0.000124911j -0.00273363+0.00386075j 0.0103947+0.00630837j -0.0089697-0.00959415j 0.0044089+0.00843632j -0.00392644+0.00661443j -0.00303242+0.00316333j -0.0119086+0.00404976j -0.0227917-0.00403574j 0.00505691+0.00701045j 0.00506096-0.0024401j -0.00147911-0.000720934j 0.00182545-0.00164334j 0.00323242+0.00109445j -0.00126948-0.00385011j -0.00036202+0.000557545j 0.0019235-0.000956154j 0.00145376+0.000341232j 0.000200143-0.00141296j -0.00023289-0.00146198j 7.17202e-05-0.000398535j 0.000889786+0.00234523j 0.000235746+0.00285599j -0.0022187+0.00302496j 0.000895269+0.00407166j -0.00249302-0.00624356j 0.00399375-0.00110077j -0.000930547-0.00428961j -0.001485+0.00692795j 0.00242893+0.00080625j -0.000571108-0.000119146j -1.94972e-05-0.000551469j 0.000252973+3.50192e-05j 0.000830787-0.00162922j -0.00623028+0.00342122j -0.0024986-0.00609351j 
-0.014877+0.0047957j -0.00384758+0.00316416j -0.0253363+0.00995499j -0.00860089+0.00193179j -0.0367129-0.0041544j -0.0127699+0.00339453j 0.0154412-0.0126701j 0.0209699-0.00407554j 0.0169096+0.000453308j 2.87431e-05-0.0069597j 0.00568111+0.00454499j 0.00049618-0.00151122j -0.00362143+0.004345j -0.00939742-0.0040613j 0.00160564-0.0040729j 0.00194026-0.00187668j 0.00507306-0.0039494j -0.00231261+0.00468691j -0.0011333-0.002159j -0.00581137-0.00223679j -0.015514+0.000468026j 0.00154907-0.000923622j -0.00289645+0.00268287j -0.00229771-0.00479155j 0.00748833+0.00358291j -0.0123989-0.00577072j 0.00953209-0.000137084j -0.00716024+0.00331395j 0.00131828+0.00439177j -0.00517558-0.000877294j -0.000512836-0.00150631j 0.000818733+0.000616597j -0.00662458-0.00183518j -0.00310704-0.00111791j -0.0073764-0.000180747j 0.00715948-0.00271589j -0.00273451-0.000532627j 0.010165+0.00251958j -0.00745139-0.00215965j -0.000539248+0.00460268j -0.0138073-0.00429835j 0.00312622+0.00490818j 0.0150244-0.000885298j 0.00116966+0.00130996j -0.00681509-0.0043404j -0.000572224-0.000159521j 0.00169256-0.000288409j -0.00229266-0.00205069j -0.0017073-0.00461731j 0.000463571+0.00260769j 0.00281303+0.00186055j 0.00594306+0.0012086j 0.000598163+0.00178741j -0.000758013-0.00210926j 0.00252401+0.00406239j -0.00029547+0.0056415j 0.00268319+0.00251952j 0.000423112+0.000669506j -0.00144951-0.00212528j 0.00159804+0.00421136j 0.00500911-0.00478733j 0.00442098+0.00226316j -0.000970036-0.000132387j -0.00971887-0.00186501j 0.00108159+0.00012703j 7.6893e-06-0.000656915j 0.00135648+0.000547061j -0.00260889+0.00113887j 5.68656e-05-0.00426013j 0.00275671+0.000153734j 
0.00664434-0.00491042j -0.00329783-0.00435888j -0.00336315-0.00652035j 0.00735254+0.00246332j -0.00964389-0.00467551j 0.010616+0.00867534j 0.0177691+0.00583036j -0.00472793+0.0117626j 0.00412606-0.014513j -0.0198909+0.0246541j -0.00393744+0.000759284j -0.00420269+0.00175627j -0.00657112+0.00500987j 0.002026-0.00329724j -0.00787349-0.00196436j 0.00248423-0.00470905j -0.00598845+0.000506608j 0.00268644+0.00197607j -0.00176171-0.00352849j -0.000781131+0.00714805j -0.0110093-0.000938157j -0.0043344+0.000522655j -0.00621172+0.000631934j 0.00482629-0.00443576j -0.00419635-0.00918721j -0.00647622-0.00245085j 0.0053971+0.00442049j -0.0100538+0.00335603j -0.00111847-0.00447541j -0.00560249-0.0111553j 0.00436975-0.00446306j -0.00400215+0.00411773j -0.00624882-0.00474355j -0.00477079+0.000714342j 0.00756034-0.00645477j 0.0019716+0.0235043j 0.00810952+0.0106193j 0.00878356+0.00551234j -0.00878416+0.0245416j -0.00388984+0.00477419j 0.0199359+0.0051641j 0.00710215-0.0290017j -0.00150552+0.00392089j -0.0233339-0.00517555j 0.0212744-0.0114899j 0.00924471+0.000969782j -0.0053234-0.00310232j -0.00659617-0.00259991j 0.00136517-0.00167654j -0.00205501-0.00575359j -0.0177079-0.00426414j -0.0145925+0.00227405j 0.00100457-0.00590877j 0.0105163-0.00829442j -0.00494005-0.00265882j -0.00109431-0.00012945j -0.0037484+0.00391999j -0.00925365+0.00640912j -0.00594803-0.00778191j -0.00337037+0.00547429j -0.00193763+0.000938282j -0.00281649+0.0106208j -0.00839945-0.0164311j 0.0157426-0.00418445j -0.000603922+0.000212372j -2.85098e-05+0.00390787j -0.0048396+0.000738216j 0.00430567+0.00407052j 0.0137055-0.00716435j 0.00762732+0.0164031j 
0.00439931-0.00408939j -0.00595442+0.00409741j -0.00981225+0.00353543j -6.43235e-06-0.000720232j -0.00528914+0.00247077j -0.00114301+0.00414334j -0.0112802-0.000382085j 0.00383755+0.00608829j -0.014353+0.00238032j 0.00305337-0.00162551j -0.00158733+0.00629317j -0.00255903+0.00582956j 0.000484231-0.00891643j -0.00243247-0.00343576j -0.0045887-0.00978058j 0.00688501-0.00209204j 0.00580701+0.00208168j 0.0075326-0.010117j 0.00795346-0.00465257j 0.00273746+0.00940151j -0.00674646+0.00514695j -0.0032247-0.0133929j 0.00344424-0.00116256j 0.00327231-0.00108296j 0.00367023-0.00654238j -0.00818414-0.00170775j 0.0130349+0.00582j -0.00348304+0.000509727j -0.000865909-0.00909496j 0.00154807+0.0029494j 0.00494165-0.00390119j 0.00337907-0.00784857j 0.000573782-0.010573j 0.0061337+0.0124779j -0.00611016+0.00837838j 0.000152947-0.0137989j -0.00595696-0.0151483j 0.000126054+0.0156828j 0.00477952-0.00829248j -0.00298897-0.0173402j 0.0156961-0.0119645j 0.0195453-0.00505546j 0.0190896+0.000995036j 0.0138774-0.0129572j -0.017471+0.023134j -0.00851415+0.000577293j 0.000437793-0.00170113j 0.00156317-0.00257538j 0.000730497+0.00029631j -0.00117053+0.00149401j -0.000139554-0.00146404j -0.0103937-0.00134658j 0.00117693+0.00901557j 7.97896e-05-0.000221616j -0.00351521-0.00337409j 0.00403281+0.00812464j -0.00614705-0.0137165j 0.0141989-0.00713141j -0.00159185-0.0034443j -0.00628367+0.0124004j -0.0352548+0.0139264j -0.00611318-0.00353268j 0.0110105-0.00298332j 0.01736+0.00510522j 0.00016993-8.33067e-05j -0.00039021+0.001523j -0.000333426-0.00121587j 0.00697899-0.00169119j 0.0113353+0.0147264j -0.00984693+0.00725377j 
-0.00185119+0.000494063j 0.00375117+0.00368509j 0.00064414+0.00557269j -0.00692374+0.00879115j 0.00290753+0.00264554j -0.00641887-0.00637732j -0.00439791-0.00159728j 0.00961268+0.0108547j 0.0131323+0.00546183j -6.78376e-05-0.00770997j 0.0115061+0.00619788j -0.0111332-0.00123554j 0.000893743-0.00433726j -0.000481858+0.0144248j 0.0105088-0.0112714j -0.00544617+0.0033833j -0.00215916-0.00249248j -0.0183538-0.00686851j -0.00973963-0.0127273j -0.0047172+0.0110194j -0.006911-0.000407033j -0.0026754+8.6286e-06j -0.00101025-0.0193243j 0.00564286+0.00794532j -0.00280618-0.00764125j -0.00388405+0.0132146j 0.00363071+0.000404084j 0.0020219-0.00943424j 0.00858429-0.00356784j 0.00166004-0.00371645j -0.00977356-0.00450321j -0.00567654-0.00063969j -0.00834694+0.00850811j 0.0111442+0.00567653j -0.00386815-0.0173247j -0.000891187+0.0158482j -0.00955628+0.014454j 0.00395325+0.00958519j -0.00690702+0.0321004j -0.00811265-0.00792658j -0.010802+0.0224995j 0.00125084-0.0196752j -0.00922412+0.019671j 0.0118625+0.0274411j 0.011207+4.95278e-06j 0.00589981+0.00462919j 0.004259-0.00206873j 0.00315432-0.0106316j -0.000986219+0.000793526j 0.000777706-0.0074905j 0.00191425+0.0013993j -0.00262308+0.00308402j -0.00124457-0.00832259j -1.96227e-06-0.00238912j 0.00402222-0.00220658j 0.000312847-0.00202645j -0.000125106-0.00148565j 0.00508101+0.00713136j 0.00374661+0.00906979j 0.011273-0.005646j 0.00228783+0.0115298j 0.0120651-0.0204199j 0.0135319+0.015411j -0.0156219+0.00860786j -0.000754219-0.000119248j -6.90168e-05+0.00340165j 0.00169694-0.000800558j -0.00528374-0.00488745j 0.00110204+0.0045736j -0.00376449-0.00115384j 
-0.00673839-0.00208479j -0.000579655+0.00287898j -0.00542127+0.000770331j -0.0017897-0.00974421j -0.00585035-0.0139885j -0.00827762+0.00779658j 0.0048057-0.00198728j 0.00203443+0.00630893j -0.00794158-0.0127593j 0.00675654+0.0129462j 0.00165245+0.00231498j -0.00579578+0.00232616j -0.00770288+0.00390044j -0.00356556+0.00943034j 0.00522572-0.00117345j -0.00578537+0.00659782j -0.00562241-0.00151013j -0.00166123-0.00710697j -0.0020003-0.00303801j -0.00611342+0.0132499j -0.0116667-0.00897876j -0.00397199+0.0108968j -0.00654276+0.0121198j -0.00554411-0.000926807j -0.00426705-0.00482593j 0.003056+0.0129191j -0.00937558-0.0063047j -0.00574455+1.48374e-05j 0.00830427+0.00961563j -0.013932-0.00015482j 0.00278032+0.00674864j -0.0148827+0.00784312j 0.0122349-0.00520973j 0.00178432-0.00218693j 0.011699+0.00165775j 0.00107506-0.00690708j -0.0101889+0.00247786j -0.00964552-0.00839976j 0.00085653-0.023784j 0.0156768-0.00926525j 0.0186473-0.00304761j -0.000953957+0.000354433j -0.00293198+0.00863073j -0.00242452-0.0059379j -0.00950707+0.0108807j 0.00886901+0.00489798j -0.0012662-0.000484707j -0.0103161+0.00407436j 0.000249371-0.00298465j -0.0029707-0.00465144j -0.0143228-0.000777663j -0.00835198+0.00590637j -0.0019135-0.0111248j 0.00569947+0.00432116j -0.0042443-0.00232092j -0.000221445-0.0110474j 0.00232141+0.0115311j 0.0152867-0.00175489j 0.00569357+0.0131189j 0.0146373-0.0232152j 0.0124584+0.0129197j -0.00653731-0.0109035j 0.0174307-0.00871963j -0.00550032-0.00507948j -0.000902721-0.000184099j -5.93733e-05-0.0024332j -0.0015827-0.000202092j -0.00575205+0.00110421j -0.00207687-0.00178947j -0.00132511-0.00279945j 
