0.00768475-8.2838e-05j -0.0101543-0.0308568j -0.0023553-0.0310056j -0.00435219-0.01978j 0.0050185-0.0319305j 0.0100501-0.0390495j -0.00865363+0.00967j -0.00172546-0.00573749j -0.0227102+0.0116216j -0.0133002+0.00365621j 0.0173432-0.000441569j 0.0158102-0.00209937j -0.0397659-0.000762254j -0.00767407-0.00427611j 0.0273805+0.00794069j 0.0176505+0.00485882j 0.0128315+0.0111482j -0.00280234+0.00129681j 
0.0105294-0.0118857j -0.0081062-1.83575e-05j -0.0619636+0.0119035j 0.0184056-0.00161489j -0.00411685+0.000485124j 0.0352146+0.00378728j -0.0334004-0.0155586j -0.000969723-0.00291303j -0.00670764+0.00280176j -0.000783151+0.00067579j -0.00232246+0.00230293j -0.00208471+0.00158298j -0.00239336+0.00182264j -0.00369161-0.00188211j -0.00253318+0.00267478j 0.00102367+0.00257633j -0.00646575-0.00325615j 0.00211102-0.00261109j 
-0.0167989+0.0177451j 0.0475014-0.0152644j -0.00666613+0.00549367j 0.0041671-0.00233205j -0.0590394-0.0149468j 0.0146322+0.00120189j 0.0110869+0.00295988j 0.0047423+0.00179936j 0.00599201-0.00586503j -0.00112502+0.00288723j -0.0035232-0.00162111j 0.00227962-0.00122503j -0.0023935-0.000316631j 0.00091227-0.000120782j -0.00332496-0.0012937j 0.000842382+0.000275539j 0.00559485+0.000261602j 0.000232322+0.00234684j 
-0.00434121-0.0224459j -0.00764505-0.0232559j -0.00572989+0.0288811j 0.00149006+0.0151013j 0.0134002-0.0436674j 0.000338167+0.00926894j 0.0272073-0.03898j -0.00572386-0.021044j -0.00329839-0.00753503j -0.0167391+0.0222814j -0.00710027+0.0048324j 0.00014783+0.000840821j 0.0161443-0.00807121j 0.0267965-0.0160086j 0.00248817+0.00560611j 0.00556057+0.00785824j 0.0355384-0.0218694j 0.0280809+0.00391092j 
-0.0129924+0.00469897j -0.0285158-0.000274901j 0.0251763+0.0037309j 0.0190572+0.00413054j -0.0460567-0.0200759j 0.0136178+0.00511055j -0.0469544-0.0387996j -0.00223347+0.00765916j 0.00289514+0.00594279j -0.0127097-0.0147139j 0.00316901-0.00149775j 0.000959042+0.00269473j 0.0123316+0.0186242j 0.0183755+0.0300514j 0.00908089+0.0109228j 0.00809782+0.0119761j -0.00319949+0.0270647j -0.00554318+0.0137428j 
0.00118448-0.030172j 0.00410984-0.0135975j -0.00963432+0.0149353j 0.00631237-0.0139295j -0.0288903+0.0375223j 0.0152757-0.0232997j -0.00683638-0.00171102j 0.000869422-0.0230058j -0.00253282+0.00433345j -0.0144437+0.00711218j -0.0266173+0.0325674j 0.0113596-0.00687609j -0.00801673+0.0165099j -0.0365062+0.0193487j -0.0299526+0.0262943j 0.021962-0.00347919j -0.0110366-0.00392849j 0.0108383-0.00803766j 
-0.0239596-0.00855862j -0.0319707-0.0051007j 0.0352206+0.0181877j -0.0113113-0.00811431j 0.0279007+0.0241422j -0.0266393-0.0216989j -0.0112732-0.00403332j 0.000388374-0.00161832j 0.00783607+0.0123715j -0.0173454-0.0210472j -0.0211058-0.0296437j 0.0164556+0.0253594j -0.00227545-0.00423008j -0.0173185-0.0363462j -0.00778445-0.0222836j 0.0106311+0.0216411j -0.00402918-0.00493536j 0.00164667+0.000378357j 
0.0366621-0.0392424j -0.0160925+0.0286155j 0.0448054-0.0255861j 0.00939107+0.000967869j -0.0264816-0.00357572j 0.00295515+0.00604661j 0.00285286+0.00164677j -0.00490577-0.0309596j -0.0154357+0.0399729j 0.00455622-0.00781708j 0.0181544-0.0163259j -0.0244559+0.0275209j 0.0152214-0.0142119j 0.00842758+0.00255417j 0.00189525+0.00754155j 0.0142888-0.0142056j -0.0057069+0.0035984j 0.00507403-0.00487607j 
0.0592142+0.0344295j -0.0279822-0.0288039j 0.0167143+0.0451186j 0.00769991+0.0105437j -0.00299691-0.0190168j 0.00779179+0.00289685j 0.00484568+0.0011742j -0.0212728+0.00278026j 0.018231-0.00332544j 0.0031307+0.0182964j -0.0232507-0.0162452j 0.0202091+0.0137401j -0.0159263-0.0179783j -0.00155133+0.00117185j -0.00263813-0.000831973j -0.0101831-0.0154865j 0.00445525+0.00183642j -0.00342795+0.00285937j 
-0.00815546-0.0189192j -0.0114499-0.0202889j 0.00482251+0.00387378j 0.0127865+0.0174249j -0.016292-0.00776597j 0.0176132+0.0223877j 0.0472992+0.0759629j -0.0162636-0.0315522j -0.0182464-0.0250895j 0.00369891+0.0123911j -0.0118911-0.0148024j -0.00643225-0.00765851j -0.0064354-0.0208156j -0.00228345+0.00166031j -0.0162522-0.0134433j -0.00798427-0.0500505j 0.00612916+0.0292423j -0.0242354+0.077976j 
0.00448397-0.00542804j 0.0185931-0.0214346j 0.000563742+0.000550518j -0.0228412+0.0264551j 0.019784-0.0105463j -0.0343708+0.0402242j -0.14048+0.0768956j 0.0202609-0.0239417j 0.0178463-0.0240937j 0.00483768+0.00713894j 0.0133752-0.00869701j 0.00376221-0.0144262j -0.000386702-0.00898739j -0.00553539+0.00913949j 0.0125669-0.0139382j 0.00311801+0.00937864j -0.00736196-0.0123116j -0.0188903+0.0150156j 
