0.00488169-1.76508e-16j 0.0082492-3.01561e-06j -0.00738399-0.000556765j -0.0022265-0.00013854j 0.00286205+0.000326812j -0.00465682+1.25935e-05j 0.00339169+0.000207854j 0.00581192+0.000749858j 0.00121574-0.000138762j 0.000559698+0.000128469j -0.00432443-6.92095e-05j 0.00195046-0.000186507j -0.00497669-0.000807846j -0.00272594-0.000400276j -0.00257683-0.000327392j 0.00120428-2.51042e-05j -0.0023875-0.000126306j -0.00121737+8.56106e-05j -0.00256043-2.23082e-05j -0.00246199-0.000389542j 0.000750928+0.00014221j 0.000900867+0.000366075j -0.00497273-0.000377015j 1.45199e-05-0.000249481j -0.00149678-7.96703e-06j 0.000421303+0.000177673j -0.00150412-0.000157365j -0.00242347-0.000523724j 0.00018712-3.49745e-05j 0.00428839+0.000521913j -0.00256214-0.000213676j -0.000646968-5.70349e-05j -0.00110251+3.98251e-05j -0.00120688-9.25772e-05j -0.00113017-0.000182955j -0.00194894-0.000282875j -0.00172309-0.000389045j -0.00295813-0.000439079j -0.000195732+8.63883e-05j 0.00158445+0.000257816j 0.00129267+0.000145645j -0.00175891-0.00035463j -0.000196803-3.58289e-05j -0.000740401-4.53267e-06j -0.00224307-0.000481673j -0.00305343-0.000942329j 0.00146509-2.93489e-05j 0.000731301-0.000209585j -0.00131944-0.000216441j -0.000784465-0.000152857j 0.000659184+0.00021531j 0.000254445-3.87168e-05j -0.00260896-0.000157027j -0.000777215-0.000160676j -0.00148735+0.000221627j -3.28007e-06+0.000147998j 0.00273455+0.000434847j -0.00127516+0.000197918j -0.00171578+8.30475e-05j -0.00219006-0.000537991j 0.00216498+5.3928e-05j 0.00274683+1.94379e-05j -0.00439543-0.000413697j 0.000116878+0.000240278j -0.00146752+0.00026093j 0.00569578+9.15739e-05j -0.00108138-7.34948e-05j -0.00502505-0.00104109j 0.00461569+0.00127985j -0.00637985-0.000138364j 0.00198339-0.000532802j 0.0138729+0.00039899j -0.00335618+0.000277196j -0.0115198+0.00593611j -0.0281958-0.00373553j -0.000233465+8.10498e-05j 0.866429-0.00660816j 
0.0082492+3.01561e-06j -0.00494387-5.63785e-18j 0.00160474+9.30246e-05j -0.00773495-0.000656225j -0.000959005-0.000472267j 0.00350303+0.000252395j 0.00757401+0.000481435j -0.00177033-0.000232675j 0.00191463+0.000378324j 0.000303636-0.000328109j -0.00277614+1.03208e-05j -0.00729256-0.000613214j 0.00164943+0.000282188j -0.00252843-2.17378e-05j 0.00242672+7.43041e-05j -0.00211054-0.000180592j 0.000905333+0.000228541j -0.00321518-0.000314564j 0.00260866+0.000267662j -0.00315409-0.000127392j 1.47e-05+0.000196213j -0.000637001+2.64192e-05j 0.0011985+0.000358977j -0.00264385-0.000405472j 0.001662+0.000159516j 0.00370622+0.000281254j -0.000820339-0.00013539j 0.000348686+7.33032e-05j 0.000835858+6.88061e-05j -0.000886967-0.000348578j 0.000814458+5.89714e-05j 0.00107282+0.000274432j -1.19612e-05+5.20945e-05j 0.000632108+8.65392e-05j -0.00186756-0.000230722j 0.000302558+6.40881e-05j -0.00332369-0.000366856j -0.000621422+0.000276994j 0.00065676+0.000165759j 0.00122132-0.000141743j 0.00165088-7.66102e-05j -0.000247094-7.305e-05j -0.00222585-0.00029806j 0.000454229+8.39946e-05j 0.000411918+5.77057e-05j -0.00280532-0.000307962j -0.00161969-0.000162915j -0.000660803+8.3458e-05j -0.00148258-0.00012919j 0.00219668+0.000556514j -5.77129e-05+0.000213938j 0.00294469+0.000368335j 0.000960587+0.000266246j 0.00153397+0.000298524j 0.00384914+0.000403413j -0.00093297-6.12694e-05j 0.00119033+0.000150998j -0.000348108+0.000374881j 0.000795828-0.000256188j 0.00298073-1.19072e-05j -0.000268862+4.30314e-05j -0.00126763-0.000597763j -0.00268977-0.000425674j 0.00473902+0.00041405j -0.000384531-0.00040702j 0.000658951-0.000490555j 0.00663494+0.000577512j -0.00461373-0.000982769j -0.00452541-0.000456913j 0.000323744-0.00114809j 0.0126531+0.000193453j -0.00105159-2.0938e-05j 0.00825092-0.00014664j -0.0276256-0.00346888j 0.0110855-0.00634086j -0.867031+0.00649466j -1.77418e-05-9.1452e-05j 
-0.00738399+0.000556765j 0.00160474-9.30246e-05j -0.00305449+2.1684e-17j 0.000221985+0.000100578j -0.0021822+0.000325183j 0.00149475+3.70745e-05j -0.004078+0.000133457j 0.00546106+0.000730557j 0.00138082+0.000465793j -0.00286519+0.000268257j 0.00646724+0.000347491j 0.000840362-0.000325197j -0.00569147-0.00100043j -0.000431227-0.000537873j -0.00434194+0.000182162j 0.000400637-1.23474e-05j 0.00176027+2.44786e-05j 0.00196405-0.000261953j -0.00208572-0.000419156j 0.00244877+0.000515351j 0.00337439+0.000556665j 0.00535552+0.000949317j -0.000149077-0.000235244j -0.00418771-0.000809463j -0.000934982-0.000100739j -0.000801691+0.000204798j -0.0020104-0.000264371j -0.0036475-0.000543881j -0.000743454+0.000133954j 0.000698967+0.00034517j -0.00267097-0.000386802j -0.000451496-0.000302423j 0.00155206+5.40059e-05j -0.00063943-0.000633074j 0.000510486+0.000284857j -0.000203648+0.000147046j -0.00278492-0.00106684j 0.00140568-0.000182222j 0.000954894+0.000103673j -0.000613104+0.000378766j -0.00159175+0.000586296j -0.00221371-0.000392093j 0.000464343+0.000143042j 0.00203802+0.00039935j -0.00371212-0.000195519j -0.00500735-0.000729842j 0.00116416+5.88002e-05j -0.00248295-0.000675759j 0.00101739-6.37809e-05j -0.000350759+3.13879e-05j 0.00415102+0.000107613j -0.000289731+0.000695431j -1.6961e-05+0.000475254j -0.000627816+0.00108504j -0.000305771+0.000378751j 0.00209029+0.000931609j 0.00134188-0.000109949j 0.00590821+0.00144884j -0.0043535-0.000511575j -0.00683611-0.000637545j -0.00229651-0.000773561j -0.00540622-0.00107517j -0.00302003-0.000826584j 0.00128857+0.00187594j 0.000124266+0.00116512j -0.0104959+0.000730346j -0.00213732-0.000620483j -0.0155469-0.00163947j 0.0113458+0.00168533j -0.0160915+0.00408161j -0.0239805-0.00150914j 0.00129442+0.000489018j 0.0306136+0.00545407j 0.000445102-0.00205011j 0.866735-0.0086584j -0.0109539+0.00633854j -0.0263486-0.00375445j 
-0.0022265+0.00013854j -0.00773495+0.000656225j 0.000221985-0.000100578j 0.00409783-5.63785e-18j 0.00530424+0.000262291j 0.00636615-7.42207e-05j -0.00334412-0.000151078j 0.00360334+0.000701848j -0.00679977+0.000209478j 0.00277209-0.000188893j 0.0051637+0.000302332j -0.00255515+7.09599e-05j -0.0038601-0.000339167j -0.00236327-0.000354259j -0.00154984-0.000246883j -0.000663865+0.000232855j -3.70259e-05-0.000103726j 0.00444647+2.57709e-05j 0.0033689-0.000219838j 0.000239812+0.000360999j -0.00139565+5.37465e-05j 0.0017244+0.000140662j 0.00151008-0.00021799j -0.00106071-0.000302297j 0.00137476-0.000347858j 0.00125178+9.60463e-05j 0.00247339-0.000104107j -0.00161213+4.00225e-05j -0.00273562-0.000137127j 0.00189143+0.000111153j 0.00142461-4.44019e-05j -0.00192026-5.68994e-05j 0.00294156+2.00783e-06j 0.00222046+0.000230404j 0.000890248+1.68421e-05j 0.000442955+0.000105939j 0.00213407+1.09028e-05j -0.000513742+8.24276e-05j 0.00169382+4.06504e-05j 0.00149085+0.00028069j -0.000726399+0.00020915j 0.000288412+5.77501e-06j 0.000815631-7.40218e-05j 5.38835e-05+9.69223e-05j -0.00308541-0.000413046j -0.00288243+7.847e-05j -0.00091335+0.000282787j -0.00387617+0.00016395j 0.00221595+0.000127308j -0.00505479-0.0004624j 0.00169549+0.00033687j -0.00202376-0.000383743j -0.00216718-0.000528578j -0.00256912-0.000521828j 0.000862714-0.000491965j 0.00101788-6.0362e-05j -0.000149687-0.0001371j -0.00142098-0.000220634j 0.00537782+0.000776883j -0.000603289+0.000950556j -0.00141973+0.000185466j 0.00262992+0.00155741j 0.00682148-0.000327785j 0.000919659-0.000628427j 0.00969006+2.53266e-05j -0.00316483+0.00105002j -0.000695955-0.00128562j -0.00106312+0.00113782j 0.0158257-0.00119335j 0.0300953+0.00299354j -0.008151+0.00444772j 0.00227258+0.0020527j 0.00843829-0.00682409j -0.880707+0.00630914j -0.00255937+0.00211838j -0.0257987-0.00348672j 0.011329-0.00592923j 
0.00286205-0.000326812j -0.000959005+0.000472267j -0.0021822-0.000325183j 0.00530424-0.000262291j 0.00887727-8.67362e-18j 0.00326212+0.000109068j 0.00143091-5.33805e-05j 0.00392526+0.000526567j -0.0032868+0.000439769j 0.00264108-0.000507292j 0.00125214+0.000310793j -0.00255957-9.98538e-05j -0.0031937-0.000116225j -0.00416058-5.11683e-07j 0.0006062-7.10968e-05j -0.00127985-0.000391073j -0.00345629+0.000127354j -0.00218552-0.000551268j 0.00136108-0.000441614j 0.0034329+0.000247485j -0.000127883+0.000192097j 0.000808743+0.000152565j 0.00114194-0.000245338j -0.00158485-0.00031424j 0.000583912-0.000469498j 0.00332144+7.29462e-05j 0.00365618+5.75045e-05j 0.000266267+0.000363129j -0.00429358-0.000305543j 0.00409357-0.000314757j 0.0016154+0.000247767j -0.00180492+0.000622972j 0.00159376-0.000239811j -0.000664719+4.32945e-05j 0.00316143+0.000158419j 0.00207562+6.41138e-05j 0.000329735-0.000232998j 0.000374635-0.000204601j 0.00242077-8.74685e-05j 0.0032533+0.000560064j 0.00216866+0.000395178j -0.000758149-0.000116799j 0.00220314+0.000432963j -3.12966e-05+0.000170006j -0.000156851+0.000216997j 3.99904e-05+0.000661675j 0.00126102+0.000540234j -0.00373822+0.000264568j 0.00431912+0.00042166j -0.00301545+0.000610227j 0.00138558+0.000601474j 0.00525671+0.000349138j -0.000738407+0.000724476j 0.00846937+0.000659652j -0.000325802+0.000367959j 0.00438295+0.000441713j -0.00243748-0.000190455j 0.00239888+0.00154456j -0.00357514-0.000341023j -0.00266673+0.000334171j 0.00221681-0.000452121j -0.00641331-0.000153547j 0.00605532-0.00162317j 0.0175556+0.00034574j 0.0109578+0.000453064j 0.00473923+0.000795712j -0.0139602-0.00179702j -0.0145779-0.000884739j -0.00583576-0.00202141j 0.00718224-0.00496598j -0.00660169-0.00159109j 0.00804036-0.00200276j -0.882136+0.00791011j 0.00861781-0.00683735j -0.0257116-0.00550858j 0.00753433-0.000115976j 0.00288088-0.000288267j 
-0.00465682-1.25935e-05j 0.00350303-0.000252395j 0.00149475-3.70745e-05j 0.00636615+7.42207e-05j 0.00326212-0.000109068j -0.00637447+1.21431e-17j 0.00228847-0.000101254j -0.000970179-0.000488602j -0.00300752-0.000403912j -0.00416813-0.000159619j -0.00220069-0.000332112j 0.00157234+0.000504786j 0.00166388+0.000284389j 0.0011541-2.18322e-05j -0.000938968-0.000335009j 0.00240734-0.000139829j -0.00790752-0.000360429j 4.4599e-05+0.000114874j 0.0032078+9.97859e-05j 0.00368307-0.000211767j 7.61815e-05-0.000433584j -0.00109011-0.000332141j 0.000140251-0.000272139j 0.00270727+0.000345035j -0.00167616-0.000178352j -0.0012858+1.56924e-05j 0.0029532+5.45228e-05j -0.000511584-4.62117e-05j -0.00144478-0.000287307j 0.00449372+0.000441615j 0.000695769-5.85124e-05j -0.000356169-0.000424787j 0.00170531+0.000330582j -0.00118714+0.000235668j -0.00022386-0.000190832j -0.00198631-3.45952e-05j 0.00177588+0.000117417j -0.00162062-0.00032305j 0.00194144-0.000160244j -0.00164805+0.000152642j -0.000633293-0.000179889j -0.00244693+0.000108913j -0.00137731-0.000430861j -0.00157166+6.48238e-07j -0.000587246-0.000554673j -0.00543357-0.00109799j -0.000769814-0.00015971j 0.00574933-2.25561e-05j -0.00295817-4.30406e-05j 0.000159577-9.51936e-06j 0.00233114+0.000433802j -0.00295569-0.000219351j -0.00164299+0.000132802j 0.00151934-0.00034845j 0.00196455+0.00112633j 0.00194219-3.99109e-05j 0.00259185+0.000827077j 0.00227439-0.0002075j 0.0108739-0.000357664j -0.00667942-0.000805988j 0.0163723+0.000605666j -0.000427609+6.57051e-05j -0.00666713+2.97375e-05j -0.00436341-0.00101542j -0.00325808+0.000580556j -0.00622793-0.00300288j -0.0186494+0.000443806j -0.0138055-0.000917566j -0.00382322+0.00246684j -0.0106724-0.00121988j -0.0058071+0.00124613j -0.898483+0.00469609j 0.00495779-0.00201155j 0.00112753+0.0020719j -0.00209606-0.000495865j -0.00115683-3.14563e-05j -0.0125757-0.000410492j 
0.00339169-0.000207854j 0.00757401-0.000481435j -0.004078-0.000133457j -0.00334412+0.000151078j 0.00143091+5.33805e-05j 0.00228847+0.000101254j 0.00339757+6.93889e-18j 0.00141749-0.000164212j 0.00591438-0.000212425j -0.00304749+0.000264345j -0.00372799-0.000277737j 4.75032e-05-0.000143546j 0.00414447+0.000543035j -0.00355215+4.63484e-05j -0.00307703+0.000100875j -0.00115013-0.000112899j 0.000203047+8.80398e-05j -0.00767381+0.000205528j -0.000982488+0.000151811j -0.000714845-0.00060436j -0.00050835-0.000431393j -0.00574937-0.000765943j 0.00118204+0.00051274j -0.00116143+0.000566185j -0.00172982+0.000296153j 0.00435642+7.71892e-05j -0.00240433-0.000111747j 0.00511625+9.04162e-05j -0.00348981-0.000215515j -0.00174263-9.92851e-05j 0.000841636+0.000420948j 0.00195859+6.81936e-05j -0.00146215-0.0001148j 0.00389218+0.000604545j -0.00198728-0.000211588j 0.00349266+1.15916e-06j 0.000806864+0.000743373j 0.00610654+0.000573318j -0.000365755-0.000159693j 0.00263313-0.000128139j 0.000459698-0.000253405j 0.0017396+0.000484137j -0.00421357-0.000511029j -0.00157508-0.000221414j -0.00117485-0.000437397j 0.00398519+6.66182e-05j 0.00172624-0.000264411j 0.00367679-4.22507e-05j 0.00282484-9.44431e-05j 0.00451555-0.000317415j 0.00442985+0.000579235j 0.00469655-0.000550024j -0.00149575-0.000453108j 0.000872262-0.000916006j -0.00405806+0.000381135j -0.00542873-0.000580072j 0.00155959+0.000360503j 0.000825253-0.0012995j -0.000842292+0.000495817j 0.015034-7.65932e-05j 0.00647079+0.000417719j 0.0112053+0.000432197j 0.00185074+0.000300673j 0.00353755-0.00134326j -0.0212652-0.00188691j 0.011805-0.00256852j 0.00241923-0.00189459j 0.00657777-0.0024776j -0.0106307+0.000296312j -0.00743071+0.00140247j -0.896909+0.00544569j -0.0023378+0.00124057j -0.00238344-0.00163761j -0.00930288+0.00446774j 0.0218929+0.00153014j 0.0115224+0.000184846j -0.0018587+0.000533054j 
0.00581192-0.000749858j -0.00177033+0.000232675j 0.00546106-0.000730557j 0.00360334-0.000701848j 0.00392526-0.000526567j -0.000970179+0.000488602j 0.00141749+0.000164212j 0.000986192+3.33934e-17j 0.00174145+0.000596219j 0.00471421-0.000682868j 0.00160333+0.000618493j -0.00477279-0.00011948j -0.000729944-1.17902e-05j -0.00361172+0.000778853j 0.00795723+7.49217e-05j 0.00244507-0.000820821j -0.0020743+0.000354567j -0.00160122-0.000697505j -0.0014146-0.000501944j 0.00705614-0.000145134j 0.00129478+0.000310296j 0.0017143+8.20113e-05j 0.00377503-6.4074e-05j -0.00302688-8.99133e-05j 0.00236123-3.1657e-05j 0.00232338-0.000283089j 0.0012904+0.00040331j -0.000495285+0.000384123j 0.00108324-9.91641e-05j 0.00167074-0.000771025j 0.00209953+0.000377378j -0.00284685+0.000968732j -0.000903281-0.000236123j -0.0030286+0.000100471j 0.00515231+7.15299e-05j 0.00307572-0.00024549j -0.00255855-0.000271006j 0.00349252+3.49323e-05j 0.00196824-2.52084e-05j -0.000167991-2.77247e-05j 0.00502026-0.000536364j 0.000598851-0.000125608j 0.000373172+0.000285283j 0.00315982+2.59386e-05j 0.00141486+0.000187809j 0.00259907+0.000683151j -0.000122781+0.000660574j -0.00343782+0.000824004j 0.000378038+0.000464693j -0.00616123+0.000379527j -0.00360934+0.000279816j 0.00221133-0.000632144j -0.00351141-7.39986e-05j 0.00849814-0.00123674j -0.00463488-0.000447414j 0.00707732-0.000725113j -0.0118887-0.000152768j 0.000225437-0.000105793j 0.00351992+0.000171629j 0.0107667+0.00156217j -0.00469911+0.000374344j 0.00252093+0.00144829j 0.000873214-0.00139808j 0.00385439-0.00179301j 0.0211347-0.00332398j 0.0165131-0.000495735j 0.000684034+0.0026158j 0.0128698+0.00242207j -0.012362+0.00157705j -0.907825+0.00271458j -0.00494313+0.00141137j -0.00780724-0.00120838j 0.00806961-0.00502203j 0.0265141+0.00300084j 0.0152134-0.00404989j 0.000238451-0.00116189j 0.00607229+0.00011883j 
0.00121574+0.000138762j 0.00191463-0.000378324j 0.00138082-0.000465793j -0.00679977-0.000209478j -0.0032868-0.000439769j -0.00300752+0.000403912j 0.00591438+0.000212425j 0.00174145-0.000596219j 0.00248818+2.25514e-17j -0.00790884+0.00031527j 0.00161356-0.000108029j -0.0072529+0.000479918j 0.00589155+0.00015384j -0.000897608+0.000250577j 0.00263681+7.25693e-05j 0.00437351-0.000212185j -0.00237456-0.000110309j -0.000945364+0.000347368j -0.000670835+0.000241818j 0.00355466-0.000886159j -0.000103839-0.000463851j -0.00283297-0.000504267j 0.00262766+1.94667e-05j -0.00223642+0.000521136j 0.000243983+0.000562916j 0.000783813-0.00027604j -0.0017644+6.14578e-05j 0.000734578-0.000332011j 0.00263013+5.8263e-05j -0.00207265-2.40368e-06j 0.00267139+0.000106268j 0.00410139-0.000627117j -0.000984294+0.00046791j 0.00422681+0.000512146j 0.000513872-0.000565732j -0.00118075-0.000315711j 0.000640931+0.000315888j 0.000105399+0.000172696j 0.000877848-0.000330164j -0.00304603-0.0005694j 0.00164308-0.00109518j 9.90875e-05+0.000436295j -0.000484989-0.000449353j 0.00546674+0.000146015j 0.00652198-0.000234984j 0.00607779-0.000438424j 0.00257264+0.000118942j 0.00577847+5.10265e-05j -0.00143781+0.000289746j 0.00180892-0.000354986j 0.00704681-0.000269131j -0.00187998-0.000438994j -0.00620536-0.000438379j -0.00129525-0.00122787j -0.000954847+0.000225546j -0.00302987-0.00113526j -0.00806877+0.000769106j -0.00922061-0.00165472j 0.00496237-0.00194541j 0.0161161-0.00158077j 0.0111989-0.000529877j 0.000451435-0.00159936j -0.00884573-0.000182514j -0.00825997+0.00150106j -0.0087581-0.00132426j -0.00427679-0.00158677j 0.0166495+0.00132532j -0.000135595+0.000717081j 0.91988-0.00210409j 0.00659376-0.00161784j 0.00924149-0.000300151j 0.00179713-0.00247717j 0.00438737+0.00202679j -0.0139259+0.00118782j 0.0105795+0.00165074j 0.00443956+0.000446528j 0.00411251+0.00129683j 
0.000559698-0.000128469j 0.000303636+0.000328109j -0.00286519-0.000268257j 0.00277209+0.000188893j 0.00264108+0.000507292j -0.00416813+0.000159619j -0.00304749-0.000264345j 0.00471421+0.000682868j -0.00790884-0.00031527j 0.00718528+3.20924e-17j -0.00129763+0.00034476j -0.00226877+0.000294935j -0.00537872-0.000791974j -0.00265488-0.000477169j -0.0013623-0.000665193j 0.00610381+0.000385354j 0.00155347-0.000231095j 0.00835288+0.000207376j 0.000302007-0.000152006j -0.00476252-0.000188121j 0.000388931+0.000185408j 0.00294993+0.000323383j -0.0018813-0.00030253j 9.30264e-05-0.000667156j 0.00330142+5.33985e-05j -0.000179426+0.000312364j -5.80434e-05-0.000290687j -0.00605228-0.000511974j 0.00203897-1.1627e-05j 0.00341535+0.000474226j -0.00457151-0.000452799j -0.00210665-0.000158045j 0.00157438+0.000167882j 0.000544534+0.000241419j -0.00130178+8.90497e-06j -0.00403691-0.000220374j 0.00166742-0.00065425j -0.00131875+0.000357455j 0.00431598+0.000158189j -0.00402666+0.000139842j -0.000340587-0.00014574j 0.00394914-0.000272331j -0.00429565-0.00014233j -0.00119616+0.000284088j -0.00547985-0.000182024j -0.00476166-0.000876893j -0.00361545+0.000163543j -0.0023428-0.000292148j -0.00557455+0.00024683j 2.51044e-05+0.000681923j 0.0090673+0.000446208j 0.00129703+0.000950661j -0.00681125+0.000252158j 0.00482901+0.000701311j 0.0122733+5.11199e-05j 0.00705662+0.000575571j 0.00512761+0.000192834j -0.00200571+0.00134397j -0.00770386-0.00127505j -0.0162312-0.00102595j 0.00686543-0.00133449j -0.0102931+0.000748502j -0.00625183-3.25312e-05j 0.00691029+0.00165793j 0.00297841-0.00147988j -0.00585134-0.000981573j -0.0288535-0.00122393j 0.912042-0.00532881j 0.00542145+0.000687287j -0.0100353-0.00236999j -0.00585174+0.00243418j 0.0116621+0.000923085j 0.0133556+0.000869839j 0.000653815-0.00116741j -0.0137227-0.00164179j 0.00409274+0.00101248j -0.00489523-0.00104375j 
-0.00432443+6.92095e-05j -0.00277614-1.03208e-05j 0.00646724-0.000347491j 0.0051637-0.000302332j 0.00125214-0.000310793j -0.00220069+0.000332112j -0.00372799+0.000277737j 0.00160333-0.000618493j 0.00161356+0.000108029j -0.00129763-0.00034476j 0.00104913+2.51535e-17j 0.00198353+0.000383865j 0.00113791+0.000500716j -0.000887374+0.000433743j 0.000925165-0.00017338j 0.000932122-0.000660187j -0.00343817-0.000218201j 0.00301557-0.000326968j -0.00158078-0.000185287j 0.00534645-0.000313432j -0.000595423-0.000283924j -0.000294969-0.000550892j 0.00247173-0.000183364j 0.00306313+0.000646253j -0.00586221-0.000677192j -0.00207018-0.00011066j -0.00247633+0.000186746j -0.00154189+0.00061701j -0.00196566-0.000402112j 0.00416828-6.61411e-05j 0.0041695+0.000129043j -0.00119155-9.14674e-05j -0.00375605-0.000184313j -0.00109435+0.000552809j 0.00156585-0.000272373j -0.00173139-0.000341097j 0.00338137+0.000485521j -0.00015946+0.000108514j -0.00418875-0.000529458j 0.00506895+0.00101663j 0.00863532+0.000389887j -0.00347194+0.000533129j 0.00204913-0.000412904j -0.00068329-0.000702519j -0.00417644-0.000537163j -0.0018859-0.000140432j -0.000252547-0.000146451j -0.00296527+0.000415529j -0.0037502+0.000386779j -0.00387097+0.000602777j 0.0029781-6.37088e-05j -0.00904783-0.000443321j 0.00492036+0.000812216j -0.00293644-0.000846411j 0.00825848+0.00153964j 0.0112758-7.00419e-05j 0.00153709+0.00032649j 0.016244-0.00121272j 0.0131782+0.000790223j -0.00553696+0.000140929j -0.0002658+0.000258719j 0.0134697+0.00120273j 0.00181997+0.00231114j -0.0069508+6.79161e-05j 0.00405034-0.00155636j -0.0336653-0.00113729j 0.909672-0.00510816j 0.0119542-0.0014487j 0.00347128+0.00140728j -0.00140205-0.0026986j -0.00531634+0.00190427j 0.0166213-0.000477652j 0.0117459+0.00183114j 0.00141035+0.00126649j -0.00217825-0.000705264j -0.00585615-0.000570924j -0.00112823-0.000107828j 
