0.0135036-0.0133498j 0.00559338+0.000701241j 0.00263334+0.0145066j -0.00777582-0.00574497j 0.00393201+0.0191234j -0.0100715-0.0153056j -0.00973006+0.0195889j -0.00579348+0.00829357j 0.00431359-0.00317561j -0.00861766-0.0486904j 0.0142679-0.0126963j -0.0142278-0.00493021j -0.0284668-0.0237333j 0.0251535-0.0425529j 0.00607838+0.00794142j -0.017017-0.00516974j -0.00400732-0.0094612j -0.00224738+0.00108785j 0.00632257-0.0047139j -0.00345853-0.00281215j 0.00464385+0.0106215j 0.00679209-0.0116678j 0.00847748-0.00186632j -0.00369638+0.00610455j -0.00245431+0.00597875j 0.00939586-0.0107277j -0.00040619+0.0166465j -0.0111028-0.00567151j 0.00323608+0.00526985j -0.00116656-0.00171251j -0.00342928-0.00267482j -0.00130763+0.0097351j -0.0127957+0.000348552j 0.00821335-0.00255268j -0.00894824+0.00208329j -0.00377971+0.00147855j 0.0129248+0.000688387j 0.00803332+0.0029275j -0.00439577-0.0134746j -0.00854701+0.00750418j 0.000152501-0.0102284j -0.0108076+0.0113524j -0.0173113+0.000586467j -0.0117293+0.0148723j 0.00303152+0.00541062j 0.0189632+0.0177375j 0.011819-0.00461366j -0.00166385-0.000237396j 0.00179222-0.00481832j 0.000921319+0.0013108j -0.00159365+0.000299202j 0.00189018-0.00177207j -0.00310401-0.00249807j -0.00237672-0.0051051j 0.000892073+0.000627478j 0.000644745+0.0110897j -0.00736027+0.000134372j -0.00114861-0.00269075j 0.00666961+0.00458982j 0.00365004+0.0110413j 0.00732271-0.00412686j 0.0110726+0.00401224j -0.00677723-0.00409879j -0.00955789-0.000752515j 0.000756182+0.00665314j -0.000691863-0.000977052j 0.00387677-0.00892058j 0.0144501+0.0144143j 0.0080633-0.0120091j 
0.00857905-0.00696628j -0.0109213-0.000840186j -0.00455242-0.0124566j 0.0128408-0.00936364j -0.00466669-0.00465052j 0.000869648+0.00088998j 0.0144339-0.00524636j -0.0171952+0.00177663j 0.0248515-0.00530002j -0.00654131+0.0111503j -0.00388055+0.0106671j -0.0240834+0.0169586j -0.00156763-0.0165815j 0.0175629+0.0229154j -0.00524304-0.00362329j 0.00253523-0.0139597j 0.000102412-0.0238718j 0.00788429+0.019638j -0.0078722-0.0110224j 0.00715238-0.00832986j 0.00183533+0.010731j -0.00758722+0.00445537j -0.00615714+0.00295317j -0.0040477+0.00990626j -0.010454+0.00025361j 0.00274119+0.00389889j -0.00145925+0.0105197j 0.00529712-0.00543272j -0.00322061+0.00438208j 0.0017005+0.0037127j 0.00114074-0.00596412j 7.67473e-05-0.00735094j 0.0143211+0.0112919j -0.00853679+0.00471351j -0.00735392-0.0214036j -0.00758954-0.00702055j -0.00400535+0.0033399j -0.00207613+0.00158666j 0.0119926+0.0100541j -0.0127925+0.0212921j -0.0148904+0.0171005j -0.0165416-0.00320053j -0.00229598-0.0242046j -0.0254132-0.00420005j 0.0020039+0.00284785j -0.00435182+0.00669071j 0.00203701+0.021757j 0.00139472-0.00169549j 0.00188168-0.00403942j 0.000772483+0.00256203j -0.000191505-0.00201896j -0.00167622+0.00289311j 0.00410697-0.00350004j 0.0049436-0.0056968j 0.00627761-0.00363404j -0.000941704-0.000103522j -0.00124787-0.00454724j -0.000981873-0.00124031j -0.00119926+0.00555j 0.00634559-0.00259116j -0.00857937+0.00119417j 0.000246459-0.000889895j -0.00568903-0.0109025j 0.0084667-0.00909067j -0.00174622+0.000445726j 0.00098031-0.00055958j 0.0121185+0.00459745j -0.00378709+0.0159036j 0.0103834+0.0090286j 
0.00488856-0.0010482j 0.000500785-0.00768535j -0.00443097-0.00664529j 0.0140022-0.00142285j 0.0230862-0.0124557j -0.00190816+0.0010119j -0.0176071-0.0232924j 0.00635013+0.00445053j 0.0251256-0.00450836j -0.00785476+0.0200092j -0.0201837+0.00188103j 0.00605761+0.0165309j -0.00572452-0.00217736j 0.00284138+0.0111426j -0.00930575-0.00171141j -0.00457177-0.010352j -0.000211114-0.0135442j -0.0175625-0.0140919j -0.0071656-0.0100785j -0.00707013+0.0107142j 0.00252997+0.00723393j 0.0168956-0.0190256j 0.00756401-0.00281223j 0.00588606-0.00933714j 0.0124264-4.25251e-05j 0.00502102+0.00481227j -0.0120934+0.00499451j -0.0105346+0.0117929j 0.00676631+0.00667849j -0.00140417-0.00433074j 0.00459334+0.00233285j -0.0100088+0.00267278j -0.0182146-0.0271115j 0.0373591+0.00295993j 0.00463002-0.00328347j -0.00236851+0.00258339j 0.00898944-0.00779082j 0.00507396+0.00883534j -0.016069-0.000724631j -0.000454948+0.000804486j -0.0047004-0.0122393j 0.000217356+0.00338211j -0.00596844+0.0218191j -0.000582629+0.000302796j 0.00284121+0.0161858j 0.0074068+0.00981679j -0.0012164+0.00248481j -0.00255251+0.00111341j 0.00322457-0.00501635j -0.00135701+0.00124192j -0.00240449+0.000896875j 0.00136792+0.000468809j -0.00234272+0.00132553j -0.00674088+0.00198093j 0.00172775-0.00165408j -0.000721474-0.00215379j 0.000959828-0.00409049j -0.00774834+0.00280674j -0.00189441+0.000581533j -0.00218935+0.00655074j 6.1451e-05-0.00051034j 0.00154702+0.000366877j 0.000776122-0.00610143j 0.00139297+0.00134048j -0.000229489+0.00182206j 0.000261322-0.00131975j 0.000953071-0.000347274j 0.001451+0.00488236j 0.0012704-0.002008j 
0.00310449-0.000616159j -0.00146216-0.00947283j -0.00221981-0.0143969j -0.00175084+0.0093019j -0.0153323-0.00674984j -0.00357795+0.00302097j -0.0154854-0.0234823j -0.0355384-0.000683085j -0.0263783+0.00179379j -0.0138621+0.0254152j 0.0185419+0.0118933j -0.0128076+0.0175464j 0.000723131+0.000584015j -0.0146984+0.0136396j 0.00784373+0.0062919j 0.00477595+0.00695961j 0.00351367+0.00479533j 0.00188162+0.00547271j 0.00315428+0.00587174j -0.0051817+0.00260077j 0.00278395+0.0117784j 0.0138141-0.00291398j 0.00353742-0.011232j 0.00168495+0.00721605j 0.00750933-0.00619011j 0.00154747-0.00714364j -0.00325768+0.00810527j -0.00949523-0.0203535j 0.00411168+0.00570092j -0.00138271-0.00398405j -0.00131373-0.000120279j -0.00540648+0.0142453j -0.0136412+0.0116124j 0.024867+0.00422121j 0.000269753+0.0127218j 0.00451183+0.00584248j 0.00520953-0.00804834j -0.000939279-0.00178077j -0.0105278-0.0212151j -0.000108153-0.0106848j -0.00455821-0.000659916j -0.00199564+0.000267033j 0.0016492-0.00532279j -0.00222531+0.00181261j 0.00115415-0.0114323j 0.00380343+0.00417545j -0.0049674+0.000928758j -0.000996975+0.00160118j 0.00145614-0.00266294j -0.00354317+0.00618166j 0.000277661-0.00117104j 0.00432996-8.56755e-05j -0.0063916+0.00165965j 0.00402352-0.00561949j 0.000602817-0.00182482j 0.00299287-0.00335147j -0.00554007+0.00581272j 0.00120659+0.00172836j 7.88129e-05+0.00216999j 0.00038563-0.0001238j 0.00430552-0.00184206j -0.00392386+0.00220411j 0.00120108-0.00121726j 0.00707579-0.00678292j -0.000691611+0.00545036j 0.000282958+0.00103752j 0.00176153+0.000153644j -0.00283729+0.0037155j 0.000656801+0.00243226j 
0.000623915+0.000540886j -0.000951599+0.000903636j -0.0149196+0.00787876j 0.00320689-0.00205428j 0.027069-0.00443583j 0.00585506-0.00542553j -0.016561+0.0111892j -0.0332541-0.00135466j -0.023077+0.00146497j -0.00491998-0.0117414j -0.0267375-0.00852312j 0.0056224-0.00763271j -0.00342549+0.000806227j 0.00355899-0.00434282j -0.00928885-0.00160155j -0.00962108-0.0152409j -0.00287053-0.0138151j -0.00896248-0.0120507j -0.00174926+0.00820796j 0.0129822+0.0211514j 0.00544371+0.0024131j -0.011772+0.0186606j -0.00663858-0.00976359j -0.00113546+0.0145277j -0.00700296+0.0137231j -0.00793886-0.00675551j 0.00175622-0.00540736j 0.011016-0.0153038j -0.00795325-0.00589793j -0.000184618-0.00237012j -0.000681373-0.00338515j 0.00213337+0.0198258j 0.0165898+0.00925353j -0.0210904-0.00610216j -0.00111377-0.00443572j -0.00149243+0.00791267j -0.00391149+0.00909782j -0.000352033+0.00809783j 0.00670403+0.0100135j -0.0011408-0.00362503j 0.00135156+0.00333746j 0.00130176-0.0116479j -0.00489513+0.0192938j 0.000558278+0.00191796j -0.00353949+0.0107186j -0.00150289+0.00194005j 0.00259796+0.00515462j -0.00485191+0.00381817j -0.00261081+0.00250278j 0.000788065+0.000829976j 0.00598353-0.00658633j 0.000114281-0.00261738j -0.00136898+0.00130294j 0.00544154-0.00123713j -0.00372231+0.00209124j -0.000475632-0.000139593j -0.00157681-0.00309977j 0.00539479-0.00574667j -0.00290006-2.89264e-05j 0.00287924-0.000288633j 0.00176972-0.0045336j 0.000500381-0.000241241j -0.000811627-0.00178797j -0.000897834+0.00158997j -8.19899e-06+0.00218995j -0.00023661-0.00126355j -0.000126554+0.000605297j 0.00110107-0.000484581j -4.5111e-05-0.000862967j 
-0.0087402-0.00629152j -0.00856493+0.0168904j -0.0105761+0.01825j 0.00105809-0.00409989j -0.00242438+0.0121336j -0.000329434-0.00383298j 0.0434883+0.0106482j -0.0202342+0.000797658j -0.00962028-0.00424769j 0.0107399-0.0084292j -0.0168806-0.00809471j 0.00450259-0.0139238j 0.00765179+0.00953138j 0.0199119-0.00741611j -0.00825551-0.00610203j 0.00699133-0.00605668j -0.0079657+0.00639182j 0.0058558+0.0104847j -0.00122446+0.00868108j -0.00590984+0.0180419j -0.00980749+0.0295926j 0.0214002-0.00265996j 0.00229723-0.00866891j 0.00860298+0.00246826j 0.0106779-0.0132897j -0.000241244+0.0184784j -0.00441187+0.00252052j -0.00730169-0.0016136j 0.00823371+0.00324961j 0.000727057-0.00384562j 0.00118936+0.00700218j -0.00706995-0.00840468j -0.0170836-0.00251378j 0.0308813+0.0103134j 5.15143e-05-0.000911115j -0.00210608+0.00571144j -0.000428286-0.00747292j -0.00426267+0.00641477j -0.0125578-0.0100142j -0.00185204+0.00193214j -0.0026487+0.0186627j 0.00105728-0.00232956j 0.00929273-0.00328515j -0.00110174-0.00378088j -0.00299292+0.00410465j 0.00221581-0.00743691j 0.000583556+0.00754917j -0.00391045+0.003152j 0.00204624+0.00158357j 0.00171287+0.000815296j -0.000877947-0.00147607j 0.00308309-0.00305595j -0.00366824+0.00285077j -0.000511584+0.0057951j 0.00290195+0.00139329j 0.00236461-0.000764443j -0.00108353+0.00185934j -0.00508018+0.00110249j -0.00153821-0.00320645j -0.00319155-0.00501687j 0.00270968-0.00309495j 0.000590971-0.00283268j 0.000183872+0.000741351j -0.00270758+0.00263822j 8.55561e-05+0.00254929j -0.00013778-0.000519845j 0.000456229+0.00251042j -0.000635761-0.00415665j 0.00069381+0.00134927j 
-0.00140665+0.00396584j -0.0053309+0.0195913j 0.00897133-0.0148141j 0.000163436-0.0138157j 0.00395122-0.00367606j 0.00410957-0.00600575j -0.00514154+0.0141031j 0.0160261+0.00134264j -0.0241621-0.00553982j 0.0160145-0.00187131j -0.019644+0.000777837j -0.00011975+0.00261131j 0.0336135-0.0215713j 0.00165275+0.00470562j 0.0041474+0.00196956j 0.00846063-0.00106544j 0.0196899-0.0135955j -0.0124032-0.009333j 0.00597952+0.015789j -0.00017242-0.0118415j -0.000935169+0.00844804j 0.00661862-0.00234215j -0.00326214+0.00516108j 0.00434029+0.00992278j -0.00305641-0.0082999j 0.00385413+0.00114046j -0.00611233+0.00847118j 0.00145324+0.00244309j 0.000105984-0.000644458j -4.78758e-05-0.000856233j 0.00502963+0.00122064j -0.0103808-0.00721291j 0.00615215+0.00436299j 0.0139433-0.00700552j 0.0036999+0.00467136j 0.00188128+0.00211563j 0.000351114-0.000371974j 0.00103906-0.014456j 0.0145693-0.00961901j -0.0192984+0.00690418j -0.0240609+0.0189775j -0.0165545-0.0181066j 0.00145396-0.0162542j -0.0356433-0.0213382j 0.0017723+0.00966972j -0.00977618+0.0241054j 0.0213207+0.000855726j 0.00199108-0.000801149j 0.00207875+0.00470532j -0.00164852+0.00301156j -0.00472761-6.27586e-05j -0.000955787-0.0017915j 0.00303062-0.000678555j 0.00649158-0.00182461j 0.0098187-0.00613381j -0.00551299+0.00376111j -0.0073442-0.00391021j -0.00258223-0.0067646j 0.00219579+0.000741136j 0.00472763+0.000523202j 0.000213591-0.00830259j 0.00201564-0.011896j -0.0189976+0.00271108j 0.0105389-0.00778451j -0.00333705+0.00109572j 0.00186617-0.000891235j 0.0308286-0.010066j -0.00103921+0.0228416j 0.0268801+0.00192664j 
7.84645e-05+0.0103469j -0.00623449-0.00980789j 0.0107312+0.0209399j -0.0020615-0.0102045j -0.0016299+0.00682266j 0.00635862-0.00820218j -0.0116219+0.0318545j -0.00187838-0.00111483j 0.00408147-0.00594026j 0.000630944-0.00865126j 0.000653489-0.00306606j 0.00567501-0.0338844j 0.0100674+0.0178222j -0.00996349+0.00768956j 0.00327897+0.0174491j -0.00117004+0.000272823j 0.0105135-0.00460537j 0.00548144-0.00248872j -0.00826554-0.000490413j -0.00284652+0.00544967j -0.0013418-0.00314278j 0.00110368-0.00910292j 0.002597-0.00124919j 0.0077237+0.00341797j 0.00509388-0.00581452j -0.0068577+0.000530151j -0.0173702+0.0011442j -0.00106024-0.00847425j 0.00182235+0.00689207j 0.000306476+0.00174156j 0.00192623-0.00269516j -0.00338419-0.00571166j -0.00327899+0.00097676j 0.0216564+0.00998333j 0.00635812+0.00557441j 0.00479841+0.00619145j -0.0109499-0.00908343j -0.00523633-0.00673031j -0.00418143+0.01235j 0.0103818-0.00678879j -0.00245455+0.00648222j -0.00242915-0.0102304j 0.0312558-0.0114126j 0.00144342-0.0345074j -0.0160108-0.0161875j -0.0260002-0.000996667j -0.0192732+0.0117401j 0.00148248-0.000463105j 1.35901e-05-0.000577497j -0.0028459+0.00241965j -0.000854653+0.000175234j -0.00100848-0.000895316j 0.00263476-0.00101255j 0.0114937-0.00225491j 0.00501779-0.00270374j -0.00565075+0.000487488j 0.0030798+0.00207391j -0.00252359+0.00233158j -0.0119008+0.00217254j -0.00341461+0.00153894j -0.00753182+0.000598602j -0.0204974-0.00758055j 0.00788228+0.0059816j 0.0145645-0.0185606j -0.00161177+0.000179973j 0.000956926+0.00271457j 0.000926522+0.0114139j -0.0294901-0.00607907j -0.00622483+0.0321465j 
-0.00454786+0.0127427j 0.0018942+0.00750094j -0.00294839+0.00961968j 0.00107818-0.0351069j -0.00982717+0.0154515j 0.00574952-0.0100039j 0.00677402+0.00339424j 0.000890326-0.000140316j -0.000668403-0.0212731j -0.00357456+0.014833j 0.00705631-0.0134298j 0.00738742-0.00156862j -0.00267187-0.0142212j -0.00796544+0.0141086j 0.00687876+0.00452084j 0.0129057-0.0315617j -0.00040183+0.019138j 0.00428663+0.00134007j -0.00165534+0.00496222j 0.00620157+0.0225592j 0.00479488-0.0127703j -0.000283564+0.00662261j -0.0056507-0.00225789j 0.00112378-0.0120006j 0.00473835+0.00733245j -0.00444881-0.00162137j -0.0101145-0.00412505j 0.0135515+0.00719271j -0.00902523+0.000686901j 0.0018683-0.00776235j 0.0125623-0.00308051j -0.00784218+0.0180953j 0.0177843-0.0127724j 0.00550902-0.00088955j -0.00062568-0.00268728j -0.00772233-0.00337601j -0.000722061+0.00983388j -0.00585161+0.0124053j -0.0120958+0.00232854j 0.00299826-0.020764j -0.0054053-0.0162872j -0.000398391+0.00330173j 0.00538221+0.00357076j 0.000926743+0.0142374j 0.0220487-0.00940224j -0.00486137-0.00456152j 0.00655992+0.00263725j -0.00224741-0.000820695j -0.00142412-0.00415515j 0.000784565+0.00241763j -0.00126958-0.00238014j -0.00126487-0.000351034j 0.00143604+2.7408e-05j -0.000800571+0.000535861j -0.00278312+0.00488752j 0.000358424-0.00254264j -0.00182695+0.00268388j -0.0006464+0.00143883j -0.00139417+0.000368121j -0.00303406-0.000160077j -0.00364157+0.00173136j -0.00643264+0.00801302j -0.0025833-0.00446923j 0.0130057+0.000874469j -0.00112874+0.00565891j -0.000718566+0.000359672j 0.00236824+0.00223141j -0.00368943+0.00157506j -0.00127291-0.00229899j 
0.000582527-0.00125775j -0.00608119+0.000394689j 0.0014534-0.0235234j -0.000980282-0.00691485j 0.00372737-0.0130759j -0.00313344-0.00702112j 0.00120475-0.0351562j -0.00068084-0.00951311j 0.00181629-0.0159473j -0.0058234+0.00623735j -0.00296674-0.024345j 0.0037107-0.0136456j -0.0143076-0.00857814j 0.0106171-0.0117909j -0.013774+0.000103532j -0.00983708+0.00202815j 0.00305314+0.00541774j 0.00444607-0.000694057j -0.00100451-0.00456423j -0.00660258+0.00809813j 0.00400008+0.00322141j -0.00292048+0.00585371j 0.00496588+0.0045533j 0.0109198-0.00334757j -0.0107054+0.00889843j -0.00358386-0.00332585j -0.00466731+0.0096411j 0.00223849+0.0018094j -0.00081299-0.00186085j -0.000594281-0.00534216j -0.00737523-0.00163462j 0.00791626-0.00040602j -0.00642317-0.00283826j -0.00816838+0.000488621j -0.0043056+0.00490214j 0.000683938+0.00971252j -0.0126525+0.00127047j 0.00311571+0.00378155j 0.0107415+0.00708812j 0.00759677-0.00855861j 0.00244399+0.00458688j -0.00781707+0.0041121j 0.0155516-0.00198632j -0.0147717-0.0228214j -0.0224979+0.000853283j -0.00809436+0.00563161j 0.00294246+0.000228667j 0.000329365-4.12584e-05j 0.00269323+0.00999815j -0.00144286-0.00255531j -0.00142631+0.00124634j -0.00125351-0.0020245j 0.00213985-0.000818211j 0.00403084-0.00324294j 0.00578238-0.00963617j -0.00247726+0.00548059j -0.00105766-0.000858928j -0.000670256-0.000510598j -0.00307098+0.00352559j -0.00178862+0.00764518j 0.00560545-0.004678j -0.0074957-0.00472353j -0.00461275+0.0116317j -0.0126524-0.0104753j 0.000696877+0.0103942j -0.00137321+0.00114449j 0.000691197+0.00285772j -0.000340072-0.0114314j -0.000601109+0.0133205j 
-0.0012638-0.00444333j -0.00266962+0.00326635j 0.00402194+0.00604356j -0.0032165-0.00139764j -0.008386-0.00565966j -0.0021737-0.0169984j -0.00285215+0.0078477j 0.00621577+0.0523783j -0.00886008+0.040748j -0.00205538+0.0162087j 0.0136396-0.0204671j -0.00048368+0.00514804j 0.000135037-0.0099537j -0.00749769-0.000912343j -0.000103568+0.00229463j -0.000297313+0.000783468j 0.00474097+0.00526826j 0.00269748-0.00232587j 0.00474046-0.000816649j -0.00377023+0.00174918j 0.0049241-0.00428127j -9.43998e-05-0.00111555j 0.00366548+0.00171327j 0.00508622+0.000540131j -0.000645708+0.00521551j -0.00137005+0.00221104j -0.00375029+6.70497e-08j 0.00475813+0.00351556j 0.00444316+0.00249787j -0.00131834+0.00334694j 0.00106969+0.00166517j 0.00260027+0.00388684j 0.00428661-0.00628922j 0.00277518+0.00048972j 0.000158597+0.0057908j 0.00442677-0.00190775j -0.00240734+0.00222873j -0.00193599+0.00716855j 0.00202311+0.00575968j 0.00125695-0.00588601j -0.00619258+0.000700751j -0.00330535+0.0021339j 0.00225674-0.000484554j -0.0100873-0.0054366j -0.00722206+0.00280613j -0.0016066-0.00048174j -0.000912326+0.00254557j 0.001064+0.000426189j 0.0013759+0.00394174j -0.000818183+0.000322807j 0.000131176+0.0011129j 0.00118599-2.54707e-05j -0.00142075+0.000432974j -0.000578289-0.000814567j 0.00224551-0.00503401j -0.00054766+0.000501688j 0.00233047-0.00195386j -0.000330813+8.73201e-05j -0.00326597+0.001067j 0.00107846+0.0035092j -0.00200943+0.0022151j -0.0049803-0.000777155j -0.00151801+0.0028183j -0.000334173-0.00221256j 3.5191e-05-0.00650874j 0.00150041+0.000248489j 0.00132223+0.00122875j -3.41546e-05-0.00442441j 0.000686599+0.00450968j 
