-1.02956-0j -0.0154396-0j 0.12416-0j 0.0320579-0j 0.123974-0j 0.039204-0j 0.00584418-0j 0.083495-0j 0.015244-0j 0.0248934-0j 0.00556634-0j 0.000586743-0j -0.13556-0j -0.0350014-0j -0.00642863-0j -0.00203291-0j -0.000303048-0j 0.0633151-0j 0.0115597-0j 0.0188769-0j 0.004221-0j 0.000444933-0j -0.0488813-0j -0.00892447-0j -0.0145736-0j -0.00325876-0j -0.000343503-0j -0.0898072-0j -0.0283995-0j -0.00423355-0j -0.00451725-0j -0.000824734-0j -0.00134679-0j -0.00030115-0j -3.1744e-05-0j -0.0669335-0j -0.0122203-0j -0.0199557-0j -0.00446224-0j -0.000470361-0j 
-0.192919-0j -0.639-0j 0.0260663-0j -0.196451-0j -0.00862676-0j 0.0384502-0j 0.0180088-0j -0.023313-0j -0.00425636-0j 0.0979656-0j 0.0453658-0j 0.00972777-0j -0.0254013-0j 0.191439-0j 0.0188769-0j -0.084136-0j -0.0394065-0j 0.0132925-0j 0.00242687-0j -0.0558575-0j -0.0258664-0j -0.00554653-0j -0.00915942-0j -0.00167227-0j 0.0384896-0j 0.0178237-0j 0.00382193-0j -0.0168281-0j 0.0750045-0j 0.0351296-0j 0.0132644-0j 0.00242173-0j -0.0557393-0j -0.0258117-0j -0.00553479-0j -0.0125421-0j -0.00228986-0j 0.052704-0j 0.0244061-0j 0.00523339-0j 
0.0808323-0j -0.039204-0j -0.219493-0j 0.001929-0j 0.0185697-0j -0.172523-0j 0.000875385-0j 0.00370624-0j -0.0404366-0j 0.00110499-0j -0.00725914-0j 2.60448e-05-0j -0.312686-0j 0.00274802-0j -0.0163234-0j 0.151654-0j -0.000769493-0j 0.00380983-0j -0.0415667-0j 0.00113587-0j -0.00746202-0j 2.67727e-05-0j 0.00383776-0j -0.0418715-0j 0.0011442-0j -0.00751674-0j 2.6969e-05-0j 0.00705093-0j -0.0655071-0j 0.000332384-0j -0.0114701-0j 0.125143-0j -0.00341972-0j 0.0224656-0j -8.06037e-05-0j 0.00525507-0j -0.057335-0j 0.00156676-0j -0.0102927-0j 3.69289e-05-0j 
-0.0208708-0j -0.295464-0j -0.001929-0j -0.19739-0j -0.00479468-0j 0.0442568-0j -0.288746-0j -0.000956947-0j -0.000174714-0j 0.00832784-0j -0.0252833-0j -0.0175811-0j -0.00274802-0j -0.281198-0j 0.00421469-0j -0.0389033-0j 0.253818-0j -0.000983693-0j -0.000179597-0j 0.00856059-0j -0.02599-0j -0.0180724-0j -0.000990906-0j -0.000180914-0j 0.00862336-0j -0.0261806-0j -0.018205-0j -0.00182054-0j 0.0168043-0j -0.109637-0j 0.00296157-0j 0.000540706-0j -0.0257731-0j 0.0782471-0j 0.05441-0j -0.00135685-0j -0.000247726-0j 0.011808-0j -0.0358492-0j -0.0249282-0j 
-0.0338684-0j 0.0248934-0j -0.019035-0j -0.00491482-0j 0.15674-0j -0.00110499-0j -0.000164722-0j 0.0114956-0j 0.00209881-0j -0.153737-0j 0.000766375-0j 8.07831e-05-0j -0.0044594-0j -0.00115141-0j -0.464931-0j 0.00327767-0j 0.000488607-0j -0.00970689-0j -0.00177223-0j 0.129816-0j -0.000647126-0j -6.82131e-05-0j -0.00160801-0j -0.000293581-0j 0.0215048-0j -0.0001072-0j -1.12999e-05-0j 0.132519-0j -0.000934235-0j -0.000139268-0j 0.00728319-0j 0.00132972-0j -0.0974022-0j 0.000485546-0j 5.11811e-05-0j -0.00220185-0j -0.000402002-0j 0.0294466-0j -0.00014679-0j -1.54731e-05-0j 
0.0107101-0j 0.110952-0j -0.176846-0j -0.0453658-0j 0.00110499-0j 0.144694-0j -0.00230672-0j -0.00363524-0j 0.0396619-0j 0.0152759-0j -0.207828-0j 0.00151687-0j -0.0414304-0j -0.010628-0j -0.00327767-0j -0.429199-0j 0.00684231-0j 0.00306959-0j -0.0334904-0j -0.012899-0j 0.17549-0j -0.00128084-0j 0.000508497-0j -0.0055479-0j -0.00213679-0j 0.029071-0j -0.000212179-0j 0.000934235-0j 0.122335-0j -0.00195026-0j -0.00230315-0j 0.0251283-0j 0.00967825-0j -0.131672-0j 0.000961028-0j 0.000696288-0j -0.00759678-0j -0.00292593-0j 0.0398071-0j -0.000290538-0j 
-0.00159657-0j -0.0519663-0j -0.000897319-0j -0.295981-0j -0.000164722-0j 0.00230672-0j 0.129436-0j 0.000541909-0j 9.89386e-05-0j -0.00715473-0j 0.0461528-0j -0.283779-0j -0.000210218-0j -0.0693405-0j 0.000488607-0j -0.00684231-0j -0.383938-0j -0.000457587-0j -8.35436e-05-0j 0.00604145-0j -0.0389713-0j 0.239623-0j -7.58022e-05-0j -1.38395e-05-0j 0.0010008-0j -0.00645584-0j 0.039695-0j -0.000139268-0j 0.00195026-0j 0.109434-0j 0.000343333-0j 6.26838e-05-0j -0.00453297-0j 0.0292406-0j -0.179792-0j -0.000103796-0j -1.89505e-05-0j 0.00137041-0j -0.00884003-0j 0.0543547-0j 
0.186793-0j -0.697673-0j 0.0254013-0j -0.191439-0j 0.0122895-0j -0.0547755-0j -0.025655-0j 0.00546162-0j 0.000997152-0j -0.0229507-0j -0.010628-0j -0.00227896-0j -0.0221035-0j 0.166585-0j -0.0185226-0j 0.0825568-0j 0.0386668-0j -0.0116413-0j -0.00212541-0j 0.048919-0j 0.0226533-0j 0.00485755-0j -0.0248091-0j -0.00452951-0j 0.104252-0j 0.0482771-0j 0.010352-0j 0.0162938-0j -0.0726228-0j -0.0340141-0j 0.0144823-0j 0.0026441-0j -0.0608573-0j -0.0281817-0j -0.006043-0j 0.0121438-0j 0.00221714-0j -0.0510304-0j -0.0236311-0j -0.00506721-0j 
-0.13556-0j -0.00203291-0j -0.48029-0j 0.004221-0j 0.0163234-0j -0.151654-0j 0.000769493-0j 0.0109936-0j -0.119945-0j 0.00327767-0j -0.0215324-0j 7.72555e-05-0j -0.471275-0j 0.00414178-0j 0.000760711-0j -0.00706744-0j 3.58602e-05-0j -0.00749218-0j 0.0817427-0j -0.00223374-0j 0.0146744-0j -5.26497e-05-0j 0.0180045-0j -0.196437-0j 0.00536792-0j -0.0352641-0j 0.000126523-0j -0.0118248-0j 0.109859-0j -0.000557425-0j -0.000594779-0j 0.00648928-0j -0.000177329-0j 0.00116495-0j -4.17968e-06-0j -0.00881302-0j 0.0961536-0j -0.00262754-0j 0.0172614-0j -6.19316e-05-0j 
0.0350014-0j -0.0153212-0j -0.004221-0j -0.431924-0j -0.00421469-0j 0.0389033-0j -0.253818-0j -0.00283855-0j -0.000518246-0j 0.0247025-0j -0.0749968-0j -0.0521499-0j -0.00414178-0j -0.423817-0j -0.000196415-0j 0.00181299-0j -0.0118285-0j 0.00193447-0j 0.000353185-0j -0.0168348-0j 0.0511103-0j 0.0355402-0j -0.00464875-0j -0.000848742-0j 0.0404558-0j -0.122824-0j -0.0854071-0j 0.00305314-0j -0.0281817-0j 0.183867-0j 0.000153571-0j 2.80382e-05-0j -0.00133646-0j 0.00405748-0j 0.00282142-0j 0.00227551-0j 0.00041545-0j -0.0198027-0j 0.0601209-0j 0.0418058-0j 
0.080326-0j -0.0188769-0j -0.0108533-0j -0.00280231-0j -0.161121-0j 0.00113587-0j 0.000169326-0j 0.00970689-0j 0.00177223-0j -0.129816-0j 0.000647126-0j 6.82131e-05-0j -0.00950511-0j -0.00245421-0j -0.316851-0j 0.00223374-0j 0.000332986-0j 0.00497402-0j 0.000908128-0j -0.0665204-0j 0.000331602-0j 3.49539e-05-0j -0.0106686-0j -0.00194781-0j 0.142677-0j -0.00071124-0j -7.49712e-05-0j -0.314297-0j 0.00221573-0j 0.000330302-0j -0.00552291-0j -0.00100834-0j 0.073861-0j -0.000368194-0j -3.88111e-05-0j 0.00522216-0j 0.000953431-0j -0.0698388-0j 0.000348144-0j 3.66976e-05-0j 
