-0.0188264-0j -0.00343722-0j 0.251776-0j -0.00125509-0j -0.000132299-0j -0.0172822-0j 0.18272-0j -0.00498893-0j -0.00091085-0j 0.047178-0j -0.000192024-0j -1.56787e-05-0j -0.0114493-0j 0.154824-0j -0.00256014-0j -0.000269862-0j -0.00323834-0j 0.0342381-0j -0.000661024-0j -0.000120686-0j 0.00510392-0j -1.79908e-05-0j -1.19939e-06-0j -0.0110857-0j 0.149908-0j -0.00247884-0j -0.000261293-0j -0.00313551-0j 0.0331509-0j -0.000640034-0j -0.000116854-0j 0.00494185-0j -1.74195e-05-0j -1.1613e-06-0j 
0.00595343-0j -0.0649544-0j -0.0250174-0j 0.340361-0j -0.00248417-0j 0.0054651-0j -0.0378446-0j -0.0222361-0j 0.242605-0j -0.00970816-0j 0.0790026-0j -0.000369239-0j 0.00362058-0j 0.000539724-0j -0.0237851-0j -0.00769219-0j -0.0144336-0j 0.0999494-0j -0.00610152-0j 0.06657-0j -0.0015934-0j 0.00992476-0j -3.3971e-05-0j 0.00350561-0j 0.000522586-0j -0.0230299-0j -0.00744794-0j -0.0139753-0j 0.0967756-0j -0.00590777-0j 0.0644562-0j -0.0015428-0j 0.00960961-0j -3.28923e-05-0j 
-0.000887485-0j -0.000162032-0j 0.0117173-0j -0.0755844-0j 0.464746-0j -0.000814689-0j -0.000192024-0j 0.0104146-0j 0.00190145-0j -0.0633392-0j 0.150889-0j 0.142578-0j -0.000539724-0j -8.04573e-05-0j -0.000120686-0j -1.27214e-05-0j 0.00676021-0j 0.0015934-0j -0.0398083-0j -0.00726797-0j 0.0894093-0j 0.0631992-0j 0.0221902-0j -0.000522586-0j -7.79025e-05-0j -0.000116854-0j -1.23175e-05-0j 0.00654554-0j 0.0015428-0j -0.0385442-0j -0.00703718-0j 0.0865702-0j 0.0611923-0j 0.0214855-0j 
-1.01282-0j 0.00305508-0j 0.00498893-0j 0.00111556-0j 0.00011759-0j 0.000869284-0j 0.000204892-0j -0.0151887-0j 4.58153e-05-0j 5.29029e-05-0j 9.65871e-06-0j 7.8863e-07-0j -0.00902462-0j -0.00134531-0j 0.122142-0j -0.000212712-0j -0.00255255-0j -0.000601641-0j 0.0315368-0j -9.51278e-05-0j -8.96874e-05-0j -1.41808e-05-0j -9.45388e-07-0j 0.00985326-0j 0.00146884-0j -0.133357-0j 0.000232244-0j 0.00278692-0j 0.000656884-0j -0.0344325-0j 0.000103862-0j 9.79225e-05-0j 1.54829e-05-0j 1.03219e-06-0j 
-0.00305508-0j -0.962334-0j -0.00091085-0j 0.0121712-0j -2.14689e-05-0j -0.000158709-0j 0.00223546-0j -4.58153e-05-0j -0.0144315-0j -9.65871e-06-0j 0.00010538-0j -1.43983e-07-0j 0.00164766-0j 0.000245619-0j -0.0220168-0j 0.208011-0j 0.000466029-0j -0.00656415-0j 9.51278e-05-0j 0.0299647-0j 1.63746e-05-0j -0.000154718-0j 1.72603e-07-0j -0.00179895-0j -0.000268172-0j 0.0240384-0j -0.22711-0j -0.00050882-0j 0.00716687-0j -0.000103862-0j -0.0327161-0j -1.78781e-05-0j 0.000168925-0j -1.88452e-07-0j 
-0.00498893-0j -0.00091085-0j -0.940384-0j 0.00970816-0j 0.00208172-0j -0.00025917-0j 0.00274014-0j 0.0010545-0j 0.000192524-0j -0.0206513-0j 0.000127522-0j 1.75103e-05-0j 0.00269062-0j -0.0363843-0j 0.000601641-0j 6.34186e-05-0j -0.0107263-0j 0.113406-0j -0.00453432-0j -0.00082785-0j 0.0531155-0j -0.000251045-0j -2.52455e-05-0j -0.00293767-0j 0.0397251-0j -0.000656884-0j -6.92417e-05-0j 0.0117112-0j -0.123819-0j 0.00495067-0j 0.000903864-0j -0.0579926-0j 0.000274096-0j 2.75635e-05-0j 
0.00111556-0j -0.0121712-0j -0.00970816-0j -0.865927-0j 0.0204951-0j 5.79522e-05-0j -0.000401307-0j -0.000488315-0j 0.00532771-0j 0.00139774-0j -0.0241675-0j 0.000231697-0j -0.000601641-0j -8.96874e-05-0j 0.00395244-0j 0.00127823-0j 0.0049671-0j -0.0343961-0j -0.0137662-0j 0.150195-0j -0.0076384-0j 0.0726143-0j -0.000419451-0j 0.000656884-0j 9.79225e-05-0j -0.00431535-0j -0.0013956-0j -0.00542318-0j 0.0375544-0j 0.0150302-0j -0.163986-0j 0.00833976-0j -0.0792818-0j 0.000457965-0j 
-0.00011759-0j -2.14689e-05-0j 0.00208172-0j -0.0204951-0j -0.770085-0j -6.1087e-06-0j -1.43983e-06-0j 0.000104709-0j 1.91172e-05-0j -0.000971934-0j 0.00505794-0j -0.0300996-0j 6.34186e-05-0j 9.45388e-06-0j 1.41808e-05-0j 1.49479e-06-0j -0.00106509-0j -0.000251045-0j 0.0095725-0j 0.00174769-0j -0.0469662-0j 0.0928685-0j 0.113462-0j -6.92417e-05-0j -1.03219e-05-0j -1.54829e-05-0j -1.63204e-06-0j 0.00116289-0j 0.000274096-0j -0.0104515-0j -0.00190817-0j 0.0512787-0j -0.101396-0j -0.12388-0j 
-0.0108617-0j -0.00198307-0j -0.00323834-0j -0.000724116-0j -7.63285e-05-0j -0.675494-0j 0.00208415-0j 0.00255255-0j 0.000466029-0j 0.000538124-0j 9.82476e-05-0j 8.02188e-06-0j 0.00656326-0j 0.000978392-0j 0.00146759-0j 0.000154697-0j -0.141815-0j 0.00043755-0j 0.00037893-0j 6.91828e-05-0j 6.52262e-05-0j 1.03132e-05-0j 6.87544e-07-0j -0.00639581-0j -0.000953431-0j -0.00143015-0j -0.000150751-0j 0.138197-0j -0.000426387-0j -0.000369262-0j -6.74178e-05-0j -6.35621e-05-0j -1.005e-05-0j -6.70003e-07-0j 
0.00256014-0j -0.0279321-0j -0.0342381-0j -0.00501435-0j 1.79908e-05-0j -0.00208415-0j -0.647378-0j -0.000601641-0j 0.00656415-0j 0.00568944-0j 0.000680343-0j -1.89078e-06-0j -0.00154697-0j 0.0209192-0j 0.0101627-0j 0.00328666-0j -0.00043755-0j -0.135912-0j -8.93146e-05-0j 0.000974458-0j 0.000689618-0j 7.14164e-05-0j -1.62056e-07-0j 0.00150751-0j -0.0203855-0j -0.00990346-0j -0.00320281-0j 0.000426387-0j 0.132444-0j 8.7036e-05-0j -0.000949597-0j -0.000672024-0j -6.95944e-05-0j 1.57921e-07-0j 
-0.189783-0j 0.000572464-0j -0.013176-0j -0.00610152-0j -0.00130835-0j -0.00255255-0j -0.000601641-0j -0.628614-0j 0.00189615-0j 0.00453432-0j 0.00125596-0j 0.000172458-0j -0.00189465-0j -0.000282438-0j 0.0256427-0j -4.46573e-05-0j 0.00755309-0j 0.00178028-0j -0.193258-0j 0.000582945-0j 0.000833824-0j 0.000176778-0j 1.7777e-05-0j 0.00184631-0j 0.000275232-0j -0.0249885-0j 4.3518e-05-0j -0.00736039-0j -0.00173486-0j 0.188328-0j -0.000568073-0j -0.000812551-0j -0.000172268-0j -1.73235e-05-0j 
