-0.00423205-0.00614206j -0.00628776+0.00625032j 0.00226947-0.00285888j 0.000633569-0.00478873j -0.00154428+0.00854777j 0.00467281-0.00518391j -0.00116517-0.00138041j 0.00272868+0.00773996j 0.0180604-0.0265654j 0.00416968+0.000567878j 0.000319944+0.00274743j -0.00770192-0.00653006j -0.00769204-0.00203268j -0.00480553+0.00149084j -0.0235443-0.0106444j -0.00211634+0.00166242j 0.0234293-0.00499037j 0.00569858+0.00714584j -0.0152488-0.0214368j 0.00810175+0.0107568j 0.0122205-0.00446243j 0.00280061+0.00308035j -0.00235545+0.00327858j 0.00269233+0.000751161j 0.00764899-0.00103605j -0.00433558+0.00509172j 0.000837999+0.00459891j -0.00320985+0.00296875j 0.0015661+0.00263487j -0.000853858+0.00316051j -0.00589331+7.98047e-05j 0.00056327-0.00210889j -0.00168214-0.000618386j -0.00079499-3.97438e-05j 0.000588285+0.00129963j 0.000787755+0.00453976j -0.00158184-0.000571302j 0.000325037+1.46657e-05j 0.000576428+0.000398119j 0.000811175-0.00088526j 0.00150641+0.00222975j 9.62174e-07+0.00175715j -0.000613876+0.00404447j -0.000341852-0.00254083j 0.00243871+0.000226156j 0.000797176+0.000569673j -0.000358087+0.00088111j 0.000496286-0.00150544j -0.00152837+0.00358936j -0.00245677-0.00268139j -0.00128013+0.00156973j -0.00246059+0.00311757j 0.00102469-0.00187827j -8.84752e-05-0.00350955j -0.00133839+0.0053581j -0.00375098+0.000553511j 0.0016151-0.000207831j -0.00220747+0.00101929j 0.000808819-0.00407448j 0.000875426-0.000646887j -0.000898195+0.00248578j -0.00148467+0.000450039j -0.000121159+0.000215912j 6.74091e-05+0.00106314j 0.00058382-0.000400755j 0.000622501-0.000794142j -0.000413895+0.000293844j 0.000348142+0.000301348j 0.000251211-0.000164028j -0.000138224-0.000440875j -0.00127157+5.48395e-05j 0.000223853+0.000280617j -0.000930183+0.000231072j 0.000339398-0.00101261j -0.00126225-0.000370865j -0.000103101-0.00177319j 0.000382091-0.000349613j 0.00128643+0.000837591j -0.00114901-0.00242574j 0.000494248+0.00274184j 0.000874559-0.00115723j 0.00132416-0.00193562j -0.00048948-0.00163894j 0.00149982+0.000760217j 0.000710886-6.61966e-05j -0.000139148+0.00106588j -5.25663e-05+0.000238741j 0.00105881+0.00231829j 0.000357175-0.00146559j 0.000791497-0.00263521j -0.00082024-0.0011558j 0.000422328-0.00043781j 
0.00273131+0.00689098j 0.00493063-0.00371492j -0.00111279+0.00165213j -0.000832893+0.00274531j 0.00393623-0.00599979j -0.000990504-0.0112371j 0.00989738-0.0247984j 0.00693987+0.00566504j 0.00380764+0.00304322j -0.0327315+0.00672302j -0.00632408+0.00911176j -0.0106695-0.00110779j -0.00364832+0.00201494j -0.00322698+0.000272179j 0.00726486+0.00922573j -0.0106636-0.0150686j 0.0135978+0.00332855j -0.0151973-0.00675228j -0.00740801-0.0161493j -0.00150637-0.00755922j -0.0103556-0.00847123j 0.00238343-0.00390877j 0.00862642-0.0029832j 0.00503864-0.00648734j -0.00370019+7.46601e-05j -0.00116303-0.00314755j 0.00195244-0.00113355j -0.00302263+0.00112059j 0.000437105+0.000288083j -0.00205455-0.00102451j 0.00313274+0.00173308j 0.000988559+0.00110445j 0.00256813+8.80107e-05j -0.000703749+0.000461071j 0.0025687-0.000650436j -0.000320553-0.000730214j 0.00155718-0.000238973j 7.88306e-05+0.000954705j -0.00187652+0.000360776j 0.000293312-0.00112288j 0.00115709+0.00318847j 0.00107104-0.00166902j -0.000487102+0.00137623j -0.000583-0.00101844j -0.000112596+0.00300197j 0.00156515-0.00273733j 0.00139781-7.41422e-05j 0.00109805-0.00321197j 0.00287644-0.00375322j -0.000673703+0.00331459j 0.00170191-0.000549267j -0.00197379+0.000646518j 0.00123329-0.00167335j -0.000625818+0.00192497j -0.00117799+2.76548e-05j -0.000394772+0.00152687j 0.000402968+0.0038788j 0.00115434-0.0043695j 0.00139376+0.000449321j -0.00161892+0.00146803j -0.000468911-0.00174536j 0.00126569-0.000585098j 0.000291204-0.000425124j -0.000240809-0.000279716j -0.000301942+0.000649534j -0.000131822-0.000569337j 2.34617e-05-0.000360956j 0.00020188+0.000164818j 0.00042768-0.000415289j -0.000605409-0.000834002j 0.00111448-0.000739136j -0.000109227-0.000339506j -4.17335e-05-0.000605176j 0.000670766-0.000176036j -0.000340389-0.00117794j 0.000238958+0.0019575j 0.000608718-0.000380476j -0.000274356+0.000267667j 0.000690586+0.00147204j -0.00110726-0.00091961j -0.000119733+0.000490356j 0.000194273+0.00246312j 0.000620614+0.000234796j -0.00111466+0.00106953j -0.000637134+0.000174481j -0.000227875-0.000749217j -3.10933e-05-0.000115709j -0.000543048-0.000824439j -0.000243348+0.000631983j 1.27148e-06+0.00172215j 0.000560044+0.000160371j -5.86914e-05+0.000509896j 
0.00098538+0.00631859j -0.002103-0.00229948j 0.000448495-0.00214239j -0.00134505-0.00150243j -0.00202716-0.00380054j -0.00340222-0.0134803j 0.00341673+0.00750747j -0.00183224-0.015289j -0.00331562-0.000752323j -0.00260237-0.00208351j 0.000891959-0.00663918j 0.00134127-0.00943331j -0.00364053-0.00799873j -0.000574988+0.00677325j 0.00806313+0.0109388j -3.33999e-05-0.00243851j -0.00520081-0.00833659j -0.00653956+0.0137933j 0.00220183-0.0144014j -0.0077061+0.0267244j -0.00692582+0.00163335j 0.00122064-0.00651518j -0.000796818-0.000198167j -0.00274937+0.00252519j -0.00334234+0.00163344j 0.00218144-0.00156699j 0.00133265-0.000121127j 0.000507281+0.000452714j -0.000783742+0.000270913j 0.000846295-0.0011376j -0.00131023-0.00196886j -0.00111925-0.00326636j 0.00101506+0.000317423j 0.00278326-0.00168099j -0.00165448+0.00385251j 0.0082405-0.00196544j 0.000366929-0.000391658j -0.0026408-0.00123566j 0.00301325+0.00378924j 0.0010856+0.00615157j 0.000621274-0.00430502j 0.0015631-0.00112424j -0.00411539+0.00264696j -0.00243106+0.000106118j 0.00608665+0.00294458j 0.000609683-0.0033364j 0.00254055-0.00333498j 0.00544423-0.00348818j -0.00662928+0.00307489j -0.00613146-0.00321186j 0.00166106+0.00282621j -0.00330212-0.0021405j 0.00335545+0.0013087j 0.000326861+0.00168107j -0.0028734+0.00491969j -0.000387788-0.00234223j 0.0101207+0.0021799j -0.0121203+0.0045489j -0.00568619-0.0056082j 0.000357467-0.00124844j -0.000792698+0.00313392j -0.00148971-0.00247447j -0.00120439-0.00214716j 0.000833748-0.000702592j 0.00146871+0.000670215j -0.0009343+0.00265667j -0.000697804+0.000301543j 0.000108528+0.000112831j -9.77713e-05+0.000369968j -8.21523e-06+0.000469623j -0.00245534+0.000400265j 0.000302348+0.000808726j -0.0031764+0.00155583j -0.0003058-0.00117481j -0.000867238+0.00134808j -0.00036715-0.00224711j -2.20144e-05+0.000900921j 0.00180218+0.00484451j -0.00338655+0.00067246j 0.0017076+0.0042324j 0.00123316-0.00351394j 0.00330525-0.00650331j -0.00342481-0.00266011j 0.00702394-0.00201373j 0.00101018+0.000534134j 0.0018325+0.000961038j -2.59578e-05+0.000404181j 0.00445399-0.00169422j -0.00100562-0.00180357j -0.00143038-0.00530315j -0.00464444+0.00129192j 0.000744164-0.00198518j 
0.000588575+0.00139908j -0.0005218+0.00346878j -0.00231098-0.0011883j -0.00333381+0.000808112j -0.00425753+0.000930457j -0.00387727-0.0037416j 0.00153177+7.14546e-05j -0.000197512+0.00294269j -0.000225155-0.00494368j -0.0038563-0.00429293j -0.000147531-0.0113008j 0.00180318+0.00697986j 0.00187201+0.0164168j -0.00112128-0.0196732j -0.0022406-0.00929058j 0.00141713-0.00898638j 0.001089+0.0101527j -0.0130943+0.0208848j -0.00620828+0.013547j 0.0039234+0.000250017j 0.00352327-0.00706519j 0.00125487-0.0055318j 0.0015237-0.00287024j 0.00212095+0.00109164j 0.000763054+0.00130542j -0.00116326-0.000836609j -0.000593782-0.00230965j 0.00435243-0.00242761j -0.00599442+0.00554558j -0.00411486+0.0023664j -0.00729524-0.00244545j -0.0011736-0.00383236j -0.00386495+0.000105131j 0.00359746-0.0021579j -0.00344666+0.00729748j 0.0037277-0.00222105j 0.000651946+0.00144895j -0.00462398-0.00109807j -0.000340466+0.00471471j -0.000686306+0.0126605j 0.00494479-0.00400466j -0.0012831-0.00175694j 0.00468869+0.00166833j -0.00189372-0.00219754j 0.00481018+0.00311089j 0.00125489-0.00507391j -0.0059362-0.00136309j 0.00398422+0.000121415j -0.00505742+0.00236307j -0.00656662-0.00975879j -0.00683574+0.00181986j 0.00541869+0.00135889j -0.0004478-0.00289095j -0.00858676+0.00580454j 2.20433e-05+0.0042596j 0.00664936+0.00250965j -0.00411318-0.0053072j 0.0063597+0.00683762j -0.00515498+0.00830161j 0.000552379-0.00322111j 0.00038019+0.00335355j 0.000337906-0.00143284j 0.000821021+0.000235165j -0.00196111-0.000229483j -0.000643499-0.00167644j 0.000520542+0.00167555j 0.000867092-0.000125098j 0.00138351+0.000376584j -0.00154776+0.00200739j 8.22867e-05+0.000154321j -0.00234678+0.00100757j 0.00169429-0.000247694j -0.00199247+0.00094815j -0.000899478-1.90376e-05j 0.000528792-0.000312685j -0.000285527-0.000942405j -0.00270686+0.00369141j -0.00115662-0.00168554j -0.00206981+0.00397916j 0.00308044+0.00129141j -0.00121893-0.00063965j -0.00696073-0.00304933j 0.000497097+0.00124539j 0.0013168-0.00613871j 0.000451091-0.000534532j 0.002539-0.000435179j 0.000928477-5.04401e-05j 0.0002771-0.0037014j 0.000562225+0.00111707j -0.00438011-0.00179884j -0.00186643+0.00400616j -0.00153997-0.0024497j 
-0.00100749-2.65077e-05j 0.0016602+0.000973063j 0.00112347-0.00209599j -0.00245318-0.0022772j 0.0029095+0.00141653j 0.00291145-0.00345326j -0.00374896-0.00113858j -0.00319983-0.00351426j 0.000841978-0.0109476j 3.91854e-05+0.00722965j 0.00161753-0.00683209j 0.0040196+0.00926236j -0.00183345-0.0112504j -0.00403368+0.00712039j 0.00389581-0.00638156j 0.00392557-0.0260086j -0.00236856+0.0087463j -0.000479177-0.00662491j -0.00325243+0.00748702j 0.000883487-0.00118835j -0.00155751+0.00839656j -0.00126344+0.00126255j -0.00335592+0.0063153j 0.00026982-0.00205152j 0.00500318-0.0086999j 0.00156417-0.00189728j 0.00500489-0.00216926j -0.00463899+0.00541703j 0.00435555+0.000247447j 0.00571321-0.000765353j 0.00694923-0.00254391j -2.73279e-06+0.000431313j -0.000964681+0.00462799j 0.00229497-0.00226774j 0.000685858+0.00907443j -0.00465703+0.00272427j 0.0124579+0.00519188j -0.00140519-0.00405137j -0.000814034+0.000410018j 4.59451e-05+0.0219498j 0.00144703-0.012805j 0.00326764-0.00166911j -0.00264935+0.0100186j 0.00561906-0.00411323j -0.00643803-0.00209378j -0.00309274-0.00162069j -0.00125734-0.00226545j -0.00516479-0.00369931j 0.00703149-0.00622293j 0.00244374+0.00133405j 0.00293474+0.00811191j -0.00432807-0.00214451j -0.00828102-0.00802045j -0.00305718-0.00572503j 0.00182215-0.00276298j -0.00664609-0.0084907j -0.00397262+0.00079451j -0.00719923+0.00187558j -0.0031698-0.00648386j -0.00235811+0.00377625j 0.00141456-0.00431148j -0.00134286+0.00144904j -0.00205847+0.000535002j 0.00253733+0.000182032j -0.00190749+0.000469561j -0.00259027-0.000135081j 0.00075399-0.00109106j -0.000501294+4.73764e-05j 0.000501108-0.00146939j -0.000877292+0.00061536j 0.00239954-0.00178906j 0.000350199-0.000873122j 0.000493588-0.000586173j -0.00173864+7.33026e-05j 0.00134966-0.000813087j 0.000793236-0.00229864j 0.000256874-0.00161075j 0.000621019-0.00214265j -0.00272438-0.000597215j -0.00230348-0.00336988j -0.00124077-0.00131355j 0.00221867+0.00129225j -0.000762027-9.55485e-05j -0.00139343+0.00430053j -0.000447735-0.000495835j -0.000521382+0.000279307j 0.000578841+6.61541e-05j -0.000126812+0.00100668j -0.000885625-0.000608937j 0.00138688+0.00259571j 0.00136622-0.0023442j 0.000322384+0.00242125j 
1.50735e-05+0.000629471j 0.00106649+0.000711663j 0.00291447+0.00142434j 0.00258378+0.00156292j 0.00256184+0.00073474j 0.000630648-0.00340621j 0.000153585-0.00794427j 0.00300341-0.000749773j 0.00273706+0.0146312j -0.00136662-0.0113729j 0.00351112-0.0142724j 0.00186193-0.00999546j -0.00156338+0.0118269j -6.1079e-05+0.0070286j 0.00108995-0.00953303j 0.0017483+0.0171811j 0.00263511-0.016833j -0.00182959+0.000639453j -0.00238754-0.0046125j 0.00371088-0.0105227j 0.000153039-0.000643234j -0.000389401+0.00134678j 0.00268445+0.000299914j -0.00101597+0.00178116j -0.00317417+0.00228652j 0.00103402-0.00238439j -0.00138255+0.00188739j -0.00662061+0.00766454j 0.00135732+0.000243453j 0.00324761-0.0017475j 0.0033038-0.000577994j -0.000301123-0.00215959j 0.000707012+0.00338602j -0.00325815-0.00323089j -0.00127088+0.0135j -0.00213537-0.00152846j 0.00412689+0.00587005j -0.00257786-0.0110559j 0.00190732+0.00379352j -0.000280339+0.0246978j 0.00256838-0.0163857j -0.00227857-0.0047028j -0.00073275+0.0143079j 0.00603258-0.00313414j -0.00227599+0.00231297j -0.00529246-0.00185767j -0.00302459+0.00160765j -0.00690667-0.00501851j -0.0020179-0.0036921j 0.00252728-0.00398227j 0.00395293+0.0100933j 0.00247029-0.00240909j 0.0063125+0.000410466j 0.00210703-0.00570904j -0.00328559+0.00296235j -0.00293651-0.00272587j -0.000766458-4.10271e-06j -0.00254625+0.000722961j -0.000522886-0.000910717j -0.00121361+0.00175339j 0.000707327-0.00264183j 0.000476163+0.000670249j -0.000872623+3.41956e-06j 0.00221206-0.00039534j 0.00125639+0.00155439j -0.000364666-0.000348459j -0.000861996-0.000392108j -0.00148672+0.00051543j 0.000964814-0.000677983j 0.000745322-0.000333524j 0.000167447-0.000704287j -0.000917514+0.00068664j 0.000317505-0.000472181j -0.000347556+0.00106781j 0.00155436-9.5141e-05j -0.00010516+0.000309082j -0.000750648-0.00169649j 0.000415741+0.0020812j -3.83447e-05-0.00237063j -0.000572935-8.81593e-05j 0.00210045-0.000641723j 0.00132982+0.000928885j -6.61071e-05-5.34491e-05j -0.00102789+0.00181927j 0.000360656-0.00048896j -0.000500632-0.000301598j -0.000511722+7.12752e-05j 0.000302508+0.00133209j 7.92738e-05-0.000706537j 0.000802302+0.00111828j 0.000773167-0.000986645j -1.53796e-05+0.00111616j 
0.000693343-0.00160669j -0.00091706-0.00156813j 0.000381092-0.00250153j 0.000331508+0.00332835j -0.0012703-0.000976369j -0.000462183+0.00406483j 0.000945156-0.00115949j 0.000482108+0.00287944j -6.35531e-05+0.00189144j 0.000453221-0.000975081j -0.00055557+0.00213704j -0.00182147+1.65005e-05j 5.62102e-05-0.0031501j 0.00156397+0.0029789j -0.00164292+0.0020842j -7.38205e-05+0.0030718j 0.000260664-0.00398802j 0.000763825-0.00107311j 0.000163054-0.00323002j -0.000355559+0.00145169j 0.000853257-0.00288531j 0.00063762+0.000109519j 0.000577493-0.0010034j 0.000414979-0.000913986j -0.00159885-0.004269j -0.000444458+0.000189309j 0.0023442-0.0123606j 0.0033713-0.00417422j -0.00204097+0.00975592j -0.00452143+0.00675906j -0.00474275+0.000825138j -0.00289499+0.0149373j -0.00523875+0.00814014j 0.00363068-0.00564575j -0.0110204+0.00282935j -0.00748393+0.00146539j 0.0242135-0.00024138j -0.00610487+0.0109139j 0.0028281+0.00273483j 0.00133136+0.00250229j 0.0121847+0.00347688j 0.00885084+0.00238716j 0.00172999-0.0147223j -0.00803808+0.00103243j -0.0143944+0.0024029j -0.0235321-0.00368794j 2.39844e-05-0.00575463j 0.0149304+0.00952778j -0.00719522-0.00993583j -0.00244575-0.00912077j 0.000713539-0.00581285j 0.00150629+0.0086353j -0.0018267-0.0106921j 0.00176416-0.00380686j -0.00031896+0.00202581j 0.000671199-0.00169875j -7.26442e-06-0.00698825j 0.00558592+0.000888219j 0.00337517+0.00303103j 0.00115599-0.00149071j -0.00111747+0.001936j 0.00118358+0.00177497j -0.00209957-0.0018577j -0.00380212+0.00155297j -0.00465496+0.000237614j 0.000504782+0.000281658j 0.000596143-0.00542685j -0.00192762-0.00113191j -0.00142484+0.000317865j 0.00107517-0.00029695j 0.00118874-0.000858435j -1.60713e-05-0.00482283j -0.00263223+0.000647676j -0.00084243+0.00166389j 0.000463506-0.000573005j 0.00413037-0.00421982j 0.00019658+0.000891097j 0.000696019-0.00185606j 0.000616548+0.000310355j 0.00116281-7.50401e-05j -0.000364491-0.000615162j -0.000116065-0.00176221j 0.000196569+0.000727744j 0.000521287-0.00177375j 0.000250345-0.000191797j -0.000499034+0.000613285j 0.000407484+0.000731843j 0.000377684-0.00104113j 8.70186e-05+0.000330472j -5.71254e-05-0.00145823j -0.000440724+0.000690877j 0.000171027-0.00107712j 
-0.000779624-0.000536329j -3.75971e-05-0.000259656j -0.00180548+0.00116895j -0.000722781-0.00227948j 0.000212168-2.96462e-05j 0.000708148+0.00172838j 0.000769648+0.00407758j 4.99995e-07-0.000425249j 0.000243747-0.00572714j 0.000501811+0.00844221j 0.00133616+0.0134958j -0.000519838-0.00829239j -0.00198858+0.00649885j 0.000231471-0.0052002j 0.000686851+0.0108508j -0.000288973+0.00231998j -0.00112378+0.0123537j 0.00113401-0.00199916j 0.000637265-0.000655751j -0.00141736+6.50793e-05j -0.000693477+0.00134025j -0.000320444+0.000578685j -0.00112467-0.0037728j -0.00237843+0.00756255j 1.66761e-05+0.00751863j -0.00261069+0.00400708j 0.0011149+4.35711e-05j -0.00166628+0.0140838j -0.00270998+0.00209851j 0.00429415-0.00300264j -0.000332728+0.0053064j -0.00323937+0.0055681j 0.000715222+0.00554452j -0.02687-0.00124034j -0.0087012+0.0103496j 0.0101015-0.0136322j 0.00150068+0.00497303j -0.00971976-0.0105558j 0.0088405+0.00339581j -0.00275249+0.00301452j 0.00328185-0.00506115j -0.00241469-0.00548831j 0.00880697-0.00342475j 0.0216735+0.00355877j -0.0024155+0.00400468j -0.00494638+0.000272708j 0.00268449+0.00650788j 0.00499854+0.000123817j -0.00118313-0.00894889j -0.000436632-0.0080897j 0.001769+0.00795488j 0.00198222+0.00619001j 0.000186371+0.00653635j -0.00376816-0.00522592j 0.00271692+0.00393304j -0.00114494-0.00144839j -0.00125452-0.00183184j 0.000617537+0.000951783j 0.0001106-0.00225766j -8.73393e-05-0.00112855j 6.84336e-05+0.00029953j -0.000894154-0.00187871j 0.00281394+0.0015104j 0.00155882+0.000649726j 0.00302063-0.000457841j 0.000971858-0.00101999j 0.00148984+0.00323092j -0.00382952+0.00404821j 0.000487538+0.000565105j 0.00169967-0.00103646j -0.000106782+0.000721303j 0.000410257+0.00347344j -0.00102396+0.0011733j -0.00172055-5.56361e-05j -0.00127027+0.000415013j -0.00135596+0.0029672j 0.000980569-0.00163343j -0.000631602-2.5135e-05j 0.000862899-0.000678562j -0.000469084+0.000341157j -0.000482983+0.001222j 0.000272947+0.000291044j 3.63057e-05-9.1272e-05j -1.11482e-05+0.000366167j -0.000387813+0.000649409j 0.000113861-4.30753e-05j -0.0003126-0.000428095j -0.000678262+0.000525407j 4.60021e-05+0.000211541j 0.00027215+0.000224687j 0.000194959-0.000291189j 0.000100916+9.86341e-05j 
-0.00204056+0.000458291j 0.00190184+0.00255428j -0.00157254-0.00305399j -0.000353167+0.000761433j 0.002851+0.00358682j 0.00122049-0.0111358j -0.00211437+0.00849391j -0.00106252-0.00769176j 0.00221245-0.00127483j -0.00327885+0.00659638j -0.000340243+0.00658459j 0.000169077-0.015632j 0.000778604+0.0205338j -0.00126148-0.0131742j 0.00139802+0.00484315j -0.00255837+0.0113526j -0.00137242+0.011904j 0.000804599+0.0072164j 0.00102319-0.00033738j 0.00118453-0.00282302j -0.00155585+0.00264829j -0.00147582-0.00155376j -0.00219245+0.00864595j 0.000366813-0.00188309j 0.00499699-0.00934179j 0.00259401-0.00225625j 0.00439768-0.00312379j -0.0066404+0.00184894j 5.01425e-05-3.62386e-05j 0.00570307-0.000919298j 0.0079161-0.000899705j -0.0015369+0.00601765j -0.000211076+0.00227804j 0.00693975+2.2398e-05j 0.00544211-0.00546908j -0.00291027+0.00700074j 0.00340439+0.00142705j -0.000814537+0.00727559j -0.00460184-0.00341917j 0.00328627-0.00574465j 0.00326022+0.00322923j -0.00108088+0.00516659j -0.0100317-0.00633732j -0.00821153+0.00194602j -0.0106991-0.0084649j -0.00509688+0.00412628j -0.00659378-0.00223311j -0.00699984-0.00213711j 0.00627765-0.00372746j 0.00264324+0.00675223j 0.00596636-0.00156863j 0.00171821-0.000701859j -0.0031962-0.00752004j -0.0030961-0.00380841j -0.00398689-0.00448186j -0.00998212-0.00584796j -0.00511357+0.00190555j -0.00917974+0.00131249j -0.00543941-0.00574044j -0.00338005+0.00531399j 0.00217641-0.00518387j -0.00201078+0.00192762j -0.00347816-0.000341903j 0.00254614-0.000685536j -0.00242767-4.96018e-06j -0.00357002+0.000890071j 0.000283531-0.00204143j 0.000376948-0.000622227j 1.72868e-06-0.0013483j 0.000625155+0.000136587j 0.00121979-0.00182945j 0.000229087-0.00195421j 0.000605068-0.00133366j -0.000232998-0.000257052j 0.00120118-0.00123227j -0.000513195-0.00301808j -0.000889997-0.000911586j 0.000888229-0.000469305j -0.003681+7.36079e-05j -0.00186257-0.00196446j 0.000308064-0.00242636j 0.00103222+0.00062549j -0.00108696-0.000457451j -0.000788947+0.00348533j 6.6324e-05-0.00116509j 0.000331187-0.00016244j 0.000333184+0.000375403j 0.000775037+0.000555039j -0.000685252-0.00117302j 0.000110568+0.0022546j 0.000588103-0.00139847j -0.000243041+0.0022607j 
0.000792263-0.00257417j -0.00208177-0.0053493j -0.000275299-0.000898505j -5.16054e-05+0.00067801j -0.00112753-0.00609862j 0.00157557+0.0144123j 0.000980208-0.00444796j -0.000543518-0.00231033j -0.00103006-0.009134j 0.00424711+0.00743988j 0.00308315+0.00766683j -0.000833334-0.018047j -0.00327066+0.0126264j -0.00019996+0.00532923j -0.000225223+0.014558j 0.00326483-0.00125222j -0.00309224+0.00960604j 0.00213599-0.010286j -0.000387204-0.00221823j -0.00235871+0.000442686j -1.58585e-05+0.00328229j -0.000241199+0.000845439j -0.000142111-0.00478312j -0.00203588-0.000160364j 0.000780151-0.00282185j 0.000821901-0.000197096j 0.00021754+0.000884428j 0.00367241-0.00985701j -0.00394496+0.00426831j -0.00880016+0.00276396j -0.00613816-0.00455585j 0.00496678-0.00762063j 0.00438654-0.0027316j 0.00916813+0.000498098j 0.00135553+0.00549628j -0.00231516+0.0033298j -0.00417976+0.0017251j 0.00308985-0.00393091j -0.0055936+0.0049601j 0.000804235+0.025051j -0.00221719-0.0129672j -3.27422e-05-0.00179378j -0.00242154+0.0186576j -0.0150137-0.00776009j 0.00254764+0.00473424j 0.00218742-0.0065924j 0.000186693-0.00531819j 0.00623341-0.000725578j 0.0021916+0.00416182j 0.000687749-0.00291739j -0.00015458+0.000332551j 0.00286299-0.00236214j -0.00184896-0.000772177j 0.00324684+0.00443547j 0.00141395+0.00371899j 0.00610353+0.00082804j 0.00165442-2.41349e-05j 0.00510937-0.00101214j 0.00489098+0.00370335j 0.00287997-0.00296261j -0.000970963+0.00361077j 0.00186608+0.00068576j 0.001078-0.000717692j -0.00328273+0.00055077j -0.00174495+0.000665021j 0.00158759-0.000636714j -0.000227746-0.00178732j 0.00121619-0.00191731j -0.000690114+0.000263218j -0.000628489+0.000200224j 0.000609154+0.000678886j -0.000317954-0.0020948j 2.39735e-05+0.000532941j 0.0015089-0.000118005j -0.00144883+0.000761514j 0.0022457-0.000493657j 0.000599401+0.00102245j -0.000432665-0.00147414j 0.00267415+0.000155325j 0.000402166-0.000192486j -0.000726088+0.00166162j 0.00028996+0.000432288j 0.000990387+0.000282388j -0.000187439-0.00103742j -0.000248685+0.000706013j -0.00101508+0.000451308j 2.80117e-05+0.000191674j -0.000872662-0.000111543j 0.000328566+0.000825323j 0.000964598-0.000879805j 0.000287549+3.51012e-05j 0.000501371-0.000946322j 
0.000617259+0.000967378j -0.00139845-0.00311101j 0.00157101+0.000305207j -0.000110384-0.000327243j 3.50519e-05-0.00518122j 0.00149473+0.00432312j -0.00190109-0.0131033j -0.00295108-0.00905115j -0.0024835-0.00980583j 0.00104523-0.00295452j -0.00317036-0.0246915j 0.00204-0.0179748j 0.00125598+0.016569j -0.00451773+0.0130953j -0.00158033-0.00421068j -0.000572003-0.0163863j 0.000152666+0.00033719j 0.000734892+0.00180465j -0.000760086+0.00411242j -0.000559652-0.00216517j -6.6884e-05+0.00640272j -0.00191461+0.000543431j -7.30346e-05-0.0045771j -0.00417356+0.00323853j -0.00231279+0.00311287j -8.32514e-05-0.000883988j 0.00205267-0.00180474j -0.00270499+0.00382663j -0.00139127-0.000183647j -0.00109805-0.000406074j -0.00410664+0.0049298j 0.00139507+0.00433554j 0.00456158+0.00043637j -0.00257754-0.00152012j -0.00102964-0.00798188j 0.00114031-0.00336778j 0.00426661-0.0037924j -0.0050491+0.00577128j 0.00076857-0.00304536j -0.0012902-0.0235156j 0.000899142+0.0121768j -0.00229336+0.00219087j 0.000416126-0.0149409j 0.0069665+0.00576158j 0.00463413-0.00176856j 0.00107641+0.00459471j -0.0022965+0.00180167j -0.000335788+0.00299544j 0.000534204-0.0028811j 0.000499442+0.00019027j 0.0016479-0.00343601j 0.00280675+0.00336071j 0.00102296+0.00228398j 0.000147383-0.00214345j 0.000650452+0.00148691j 0.00164897+8.40215e-06j 0.000167705-0.000719433j -0.00083728-0.000575132j 0.00112636-0.00104087j 0.00110774-0.000824j 0.000467792+0.000508163j 0.00107464-8.50474e-05j 0.00104161+1.10582e-06j 0.000271035+2.05511e-05j 0.00114247+0.000555529j 0.000779559-0.000955284j -0.00040704+0.000482441j -0.00140332+0.000510958j 0.000378503-0.000258583j -0.000169632-0.000111657j 0.000237886+0.000230118j -0.00056952+0.000771979j -0.000748036+0.000661532j -0.000589394+0.000789566j -0.000206151+0.000821162j 0.000806681+0.00077392j 0.000129025-0.00104467j -1.94736e-05+0.000602158j 0.00097902-0.00169134j -0.000241622+0.000128487j 0.000434561+0.000553145j 0.00138121+0.000238516j 2.17028e-05-0.000254554j -3.44121e-07+0.000718607j -1.44138e-05+0.000396267j -0.000595475+0.000271748j -0.000296338-5.70359e-05j -0.00012307+0.000823321j 6.309e-05-8.06611e-05j 0.000989349-0.000151719j 0.000262197-0.000722969j 0.000393792+0.000117652j 
