-0.000630484+0.00236536j 0.000382988-0.0028015j -0.000247694+0.00135499j 0.00612132-0.00308695j -0.003001+0.00276973j -0.00265298+4.50412e-05j 0.0166749-0.00433665j 0.00305861-0.000746235j -0.0186105+0.00447007j -0.00444835+0.00134406j 0.014318-0.00211273j 0.00896126-0.00285313j 0.00209064-0.00091791j 0.014257+0.00270034j -0.0211076+0.000374553j -0.0195893-0.0106451j -0.00127132+0.000638869j 0.000628394-0.000748834j 0.0035174+0.00180925j -0.00176435-0.00591466j 0.00390126+0.00202894j -0.000307498+0.00297936j 0.000381932+0.00133904j 0.00022783-0.00137156j -0.000798974-0.00246634j 0.000579882-0.00566731j 0.00203276+0.00124129j 1.78504e-05-0.00317288j 0.000755773+0.000610823j -0.00142167-0.0013345j 0.00069245+0.00158846j -0.000568629-0.000473032j -0.00150998-0.00168684j 0.000498818-0.00200118j -0.00120721+0.000106429j -6.04904e-05+0.00078729j -0.00307903-0.00176077j -6.59296e-05-0.00988543j 0.000297384-0.00463219j -0.000751246-0.00134732j -0.000516968-0.00780249j 0.00421724-0.000838027j -0.000847338+0.00317327j -8.4056e-06+0.000724276j 0.000483605+0.00063074j -0.000648212+0.000457232j 0.000366709+0.000695051j 0.000244509-0.000300991j -0.00116507-0.000189523j 0.00156495-0.000205943j -3.65769e-05-0.000375522j -0.000497995+0.000522129j -0.000575811+0.000838283j 0.0012809-0.000206112j -0.00182973-0.000496162j -0.000402598-0.000589444j 0.000242892-0.000435287j -0.000353802+0.00134343j 0.00109715-0.000537299j 0.00252511+0.00214724j 0.000982487-0.000779818j 0.000496818-0.000834531j 0.000814405+0.00014969j -0.000140976-0.000108447j -2.70398e-05-2.30082e-05j 0.000384658-0.00062658j 0.000196815+0.000992566j 0.00145912+0.00043278j -0.000247313+0.000860515j -0.00027588-0.000189583j 
0.000349459-0.00129953j -0.00104842+0.00142836j -0.00511528-2.55535e-05j -0.0162424+0.00489155j -0.016006+0.00194854j -0.021209+0.00218939j -0.00909449+2.58896e-06j 0.00842553-0.00186113j -0.0142733-0.00127889j 0.00668355+0.00131466j -0.019695-0.00154691j 0.00522917+0.00104397j -0.011577-0.0010055j -0.0102968-0.00570233j -0.0131471-0.00713731j -0.0018801+0.00190471j -0.00440438-0.000973788j -0.000742846-0.000314842j -0.00159194+0.000237799j 0.00283103+0.00019362j 0.00162341+0.000758141j 0.00254148+0.00524606j 0.000353993+0.0019722j 0.00208791-0.000713618j 0.00136474+0.000340646j -0.000470724-0.00344176j -0.000845772+0.000829321j -0.00123046+0.00048791j 0.000387023+0.00473992j 0.000742341-0.000581113j -0.00117322-0.00360948j -0.000586561+0.00200478j 0.000624897-0.00179722j 0.00169314-0.00113876j -7.87294e-05+0.00241439j 0.00136064+0.000463405j 0.00227666-0.000481989j -0.000947074-0.00469213j -0.00125803-0.00120867j -0.00175108-0.00653082j 0.000216355+0.00208048j -9.94515e-06+0.00145957j 0.000216715+0.000917753j -0.00018017+0.000480814j -0.000583405-0.000388014j -6.43562e-05-0.000366349j 0.000159995+1.9828e-05j -0.000369997+0.000265629j 0.00048976+0.000124556j -0.000605034+0.000179905j 7.85522e-05+0.000254056j -0.000440934+0.000204968j -3.73761e-05-0.00052855j -0.000286249-0.000175175j 0.000592482-0.000450201j 0.000977476+0.000582677j 0.000105903+0.000445498j -0.000391834-0.000466297j -0.000390336+0.000384765j -0.0012989+0.000318679j 0.000479106+0.000496778j 0.000258036+0.000165206j -0.000178074+1.98623e-05j 1.45741e-05+1.01638e-05j 7.16958e-05-6.58175e-06j 0.000120665+3.9643e-05j -0.000547163-0.000294368j 6.84717e-05+0.000572347j -0.000308419-9.69177e-05j 8.52213e-05-4.34106e-05j 
0.000138524+0.00380537j -0.00190137-0.00143542j 0.00520141+0.00111041j -0.000829799-0.00268914j -0.00028153+0.00295221j 0.00194549-0.00297207j -0.00268809-0.00465876j 0.002204-0.000107402j 0.00666432+0.00421995j -0.00153856+0.000927089j -0.00372345-0.00313937j -0.0010576+0.00270474j 0.00146192-0.0111822j -0.00806408+0.00410004j 0.00459851-0.00121231j 0.0105463-0.0200067j -0.00583547+0.00634241j -0.00313222+0.0022735j -0.000856971+0.000846398j 0.00163358-0.00280023j 0.00757829+0.00283538j 0.00134653+0.00731825j 0.00156584+0.00320182j 0.00542107-0.00157582j 0.00743099-0.00277199j 0.00423489-0.0115992j 0.00543476+0.00255942j 0.0021011-0.00224181j -0.00377493+0.00955355j -6.49371e-05-0.00221942j -0.0025121-0.00392563j -0.0044487+0.00277153j 0.00249471-0.00395665j 0.00329008-0.00402326j 0.00485708+0.00282706j 0.00171973+0.000274283j -0.00440158-0.000650306j -0.00294422-0.0201601j -0.000446253-0.00850266j -0.000864713-0.0140215j 0.0122692-0.0102127j 0.0154925+0.00907854j -0.00471482+0.0110242j -0.00140064+0.00417867j -0.00153527+0.000152867j -0.00216944+0.000319916j 0.0026581+0.00282867j -0.000578493+9.4596e-05j -0.00213378-4.90039e-05j 0.0029247+7.27797e-05j 0.000425915-6.46596e-05j -0.00584256+0.00202296j -0.00380358+0.000313302j 0.00522525-0.000937542j -0.00426227-0.00551488j 0.00271777-0.000297486j 0.00203509+0.000609342j -0.00329969+0.00264498j 0.00359972+0.000198479j 0.000492264+0.0109474j 0.00829233+0.000347006j 0.00443153-0.00261854j 0.00257256+0.00116356j -0.000422406-0.000225623j 0.000340638-0.000397641j 0.00276641-0.00259299j -0.00236847+0.00266411j 0.00651915+0.00536061j -0.00319394+0.00368895j -0.000896904-0.00115564j 
-0.00516693+0.000208376j 0.0055461-0.00129687j -0.00198442+0.00115532j -0.000116304+0.00633869j 0.00104848-0.00323916j -0.00269511+0.00131059j 0.000711858-0.00114254j -0.00173942+0.00695862j -0.00430313-0.00702492j 0.000128282+0.00106645j 0.00279011-0.00451867j 0.00330272+0.00464992j 0.00313765-0.00151534j 0.00558557-0.00837924j 0.000978723-0.0260164j 0.0039557+0.00374603j -0.00159162-0.00514464j -0.00930384+0.00496411j -0.00557987+0.00155466j -0.000159169+0.00173503j -0.0102755+0.00781412j -0.000884486-0.00552333j 0.00502088+2.68986e-05j -0.00354493+0.00105636j 0.00268843+0.00357228j -0.00207358-0.00464305j -0.00768836+0.00174429j -0.00212242+0.000744064j -0.00676036+0.00419469j 0.00319249-0.00614533j 2.90394e-05-0.00941297j 0.00115018+0.0024717j 0.0100392+0.00149021j 0.00981305-0.000293651j 0.003115-0.00248115j 0.0103106-0.00494426j 0.00806006+0.0110469j -0.00787162+0.00753938j -0.00693089-0.0102861j 0.000236433+0.000877461j 0.00857924+0.00245812j 0.000376516+0.0127238j 0.00289516-0.00463617j -0.00152601+4.79123e-05j -0.00278103-0.00128717j 0.0015201-0.00173644j -0.00141472-0.0012828j 0.000127992+4.7866e-05j 0.00266495-0.000844546j -0.00260573+0.000549358j 0.000270917-9.42662e-05j 0.0013079+0.000723711j 0.000779861-0.00293332j -0.00243207+0.00138287j 0.00326615-0.00486997j -0.000190229+0.00460089j 0.000294801+0.00170012j 0.00100198-0.00299784j 0.0034109+0.00305944j -0.0125762+0.00213569j 0.00455281+0.00599563j 0.00212354+0.00314023j -0.00179573+0.000613739j 0.000364544-0.00015257j 0.000325642+0.000203328j -0.000700771+0.00173906j -0.00483877-0.00304292j -0.0028147+0.00520755j -0.00337001-0.00301104j 0.00195526-0.000244575j 
0.0014789+0.00026315j 0.00364134+0.00233455j -0.00450203+0.00482821j -0.00438286-0.00221474j 0.00021008+0.00891636j -0.00390303+0.000327393j -0.00296079-0.00731922j -0.00130609-0.00284554j -0.00167834-0.000712777j 5.41056e-05+0.00410466j -0.00310829-0.0156477j 0.00131256+0.000935079j -0.00203556-0.00727182j 0.00116994+0.0016659j 0.00176526-0.0106247j 0.00305309-0.0259084j 0.00718808-0.00380476j 0.00469515-0.00636486j -0.00257227-0.0011071j 0.000870255-0.00494429j 0.000469027-0.00399914j -0.00101162-0.00243513j -0.0054777-0.00148286j -0.005862-0.00891724j -0.00960809+0.0103589j -0.00289482+0.00269946j -0.00469495+0.000209017j 0.00199369-0.000166301j 0.0161272-0.00655679j -0.00259177-0.000946462j 0.000484898-0.00531516j 0.00675345+0.00650417j -0.0115013+0.000520023j -0.000558634+0.00222881j -0.00454569+0.00141727j -0.00165677-0.0137319j -0.00584583-0.00151172j 0.00449386+0.00729911j -0.0020018-0.00628178j 0.00253234+0.00538259j 0.0140371-0.000101769j 0.000463715-0.00535001j -0.00195004-0.00539349j -0.000600187-0.00239707j -0.00198937-5.81158e-05j 0.00145316+0.00106621j -0.0046656-0.00169625j -0.000413583+0.000169089j 0.00166406-0.00057309j -0.001773-0.000678824j 0.000522123-0.000868049j 0.000386296+0.00036777j 0.000455334+0.000945043j -0.000509104+0.0017194j 0.00023841+0.000103919j -0.00201137-0.00224731j 0.000623179-0.000887619j -0.00151056-0.000539665j 0.000465579+0.0020227j 0.000262082-0.00330471j -0.00352979-0.00064813j -0.000950188+0.0010315j -0.00215265+0.00018532j 0.000642049-0.000247816j -0.00047779+0.000274415j -0.000166357+0.00145292j 0.000540182-0.000871904j -0.00459814-0.00285455j 0.00100603-0.00190246j 0.000603156+0.00056252j 
-0.0010172+0.000581453j -0.00237147-0.00154761j 0.00229478-0.00163077j 0.00191803+0.00620802j -0.000610021+0.00216989j 0.000708013+0.00219386j 0.00282704-0.00574238j -0.00218649+0.00158136j -0.000178422-0.00289964j -0.00103284+0.00536444j -0.00112728+0.017423j 0.00260288-0.00892907j 0.00192383+0.00397349j 0.00457473-0.0154771j 0.00179987-0.000236489j 0.00476211+0.0096861j -0.00190894+0.0028548j -0.000633812+0.00212384j -0.0088758+0.00187207j -0.00234957-0.0043324j 0.0157736-0.00313268j 0.000924595-0.00239811j 0.00278779-0.00511064j -0.0026977-0.011168j 0.00388965+0.0145426j 0.0103996-0.00259029j -0.00241447+0.00460372j 0.0034258+0.00163961j 0.00134765-0.00489554j 0.00854336-0.00852055j 0.00260252-0.0128759j 0.00138602+0.011524j -0.0123913-0.0060095j -0.000557089-0.00168332j -0.0119709+0.00246672j 0.00289217-0.0166504j -0.00131569+0.00547541j 0.00475707-0.00340328j -0.0018558-0.0166623j -0.00527266-0.0066393j -0.00792012-0.0011655j -0.00698535-0.00476355j 0.00182624+0.00348713j -0.00133768+0.00142047j -0.00138202-0.000904839j -0.00132911-0.00105246j 0.00212421+0.000524675j -0.00038737+0.000117324j -2.18873e-05-0.00124058j -0.000799543-0.000603641j -0.000716569-0.000367351j -0.00133179+0.00233424j -0.000786579-0.00127921j 0.00109081+0.00171496j 0.00187881+0.00516317j -0.000726888+0.00129796j 0.000203622+6.72659e-07j -0.00301781+2.81383e-05j -0.00172863+0.00193434j 0.00224564+0.000432196j -0.00236863-0.00232998j -0.00156159-0.0010596j -0.000217072+0.000284708j 0.000209684-0.000132999j -0.00010345-8.05147e-05j 0.00142092-0.00109087j -0.00062564-0.000553466j 0.00154707+0.000241088j 0.000954432+0.00126735j -0.00078728-2.6192e-07j 
0.000708333-0.000278574j -0.000837014+0.000253722j 0.00098966-0.00016462j 0.000332267-0.00326658j -3.86594e-05+0.00291305j 0.00075811+0.000189631j 0.000351876+0.000149397j -0.00024896-0.00929108j 0.000294542+0.00276686j 0.000613294-0.00186345j 0.00074817+0.00016044j -0.000837387-0.00354867j -0.00108131+0.0070301j -0.000933622+0.00144251j 0.0012152+0.00264337j 0.00110941+0.00391942j -0.00110911+0.00118167j 0.00179497-0.000980095j 0.00816302-0.00325295j -0.000755795+8.74546e-05j -0.0032435+0.00108094j -0.000162724-0.000141558j -0.000973888-0.000135923j -0.00422145-0.000463546j -0.00224943+0.000233993j 0.0069884+0.0012412j -0.00189912+0.000469951j -0.00862589+0.00411605j 0.00631544+0.00131024j -0.00533851-0.00095928j -0.00678156-0.00147464j 0.00537849-0.000245868j -0.00323465+0.00228354j 0.0403194+0.000396913j -0.0110661-0.00137739j 0.0123967+0.000803573j -0.0244189-0.00386994j 0.00497393+0.000830196j -0.0150891-0.00100667j -0.00291138+0.00285581j -0.00394122-0.0012019j 0.00624717+0.00229653j -0.000487965+0.000540017j 0.00130562-0.000119527j 0.000250683+0.000274826j -0.000514481+0.000589889j 0.00082559+0.000255258j -0.000932566-0.000337673j -0.00174659-0.00336545j 0.000321492-0.00229417j -0.000761582-0.00396934j 0.000833748+0.000962034j 0.000629031+0.0037936j 0.0004128+0.00311929j -0.0019932-0.00103022j 0.00132258+0.000955215j 0.000127824-0.000151123j 0.00121275+0.000819943j 0.000473664-0.00139467j 0.0018544+0.000915302j 0.00107471-0.000231725j 0.000314286-0.000427224j 0.00114955-0.000333612j -1.50788e-05-0.000234988j -0.000295535+0.000195843j -0.000402098-0.000329342j 0.000825497+0.000958496j 0.00142825-0.000261265j 0.000105834+0.000593081j -0.000266399-9.14477e-05j 
0.000597274+0.00224638j -0.00173357-0.000122169j 0.000242834+0.00292846j -0.00345917+0.000963055j -0.0024564+0.0117659j -0.00195658+0.00149714j 0.00198657-0.0117078j 0.00118117+0.00802273j -0.00122421+0.0132501j -0.00119002+0.00260227j -0.00193985+0.0152789j 0.000353333+0.000684382j 0.000379412-0.0104596j 0.00016949+0.00067496j -0.0010575+0.0194771j -0.00375015-0.0068619j -0.00141987+0.0056846j 0.00365036+0.000259825j -0.001069-0.00371073j -0.000531449+0.00160363j -0.00546604-0.00208141j 2.91443e-05-0.0128589j 0.00174267-0.00790324j -0.00371346-0.00405592j 0.000726397+0.0100926j -0.0020788+0.0100708j -0.00589198+0.00116718j 0.00205669+0.00618646j -0.012034-0.00558914j 0.00491501-0.000830533j -0.000597902-0.00335368j 0.00248554+0.00199053j 0.00107204+0.00368909j -0.00144006+0.00588328j 0.00851456-0.00239061j 0.00556837-0.0120283j 0.000324573+0.0086478j -0.00707902+0.0152234j -0.00160081-0.00147208j 0.00184808+0.01173j 0.00828829+0.00377597j 0.00891133+0.00448731j 0.00129466-0.00348953j 0.000821531-0.00116926j -0.00175576-0.000336662j -0.00150911-0.000852881j 0.000693468-0.000688782j -3.89215e-05-1.90295e-05j 0.000206911+3.1005e-05j -3.45714e-05-0.000615804j -6.66579e-05+0.00145095j 0.00132145-0.00107208j -0.0010519-0.00144073j -9.27443e-05+0.00161589j -0.000529318-0.000345591j -0.00021747+0.000106339j 0.000992666-0.000173701j -0.000291329+0.000541079j 0.00265409+0.00162141j 0.00014707+0.00267146j 0.0017181-0.000181372j 0.000380762+5.15633e-05j 0.000415286+0.000468075j -1.43435e-05-0.000197742j -4.98256e-06-9.8488e-06j -1.21377e-05-0.000193478j -0.00133218+0.000706436j 0.00144921+0.000592172j -0.000490744+0.000157344j 3.42899e-05-0.000120171j 
-0.00155002+0.00144177j 0.000264339-4.92579e-05j -0.00195197-0.000957549j -0.00203077+0.00557121j -0.00138417-0.00975968j -0.00033612+0.00153161j -0.000387219+0.00455764j 0.00199418+0.0226251j 0.00296491+0.00110847j -0.00024131-0.00925352j -0.000559756-0.00173717j -0.00224757+0.0128662j 0.00263737-0.0176833j -0.00295643+0.00425168j -0.00037753+0.0107025j -0.00363248-0.00488253j 0.000859911-0.000611802j -0.00587385+0.0038418j -0.0141012+0.00546705j 0.000819182+0.00814227j 0.00434924-0.00444499j -0.00193981-0.00242686j 0.00442742+0.0029236j 0.00072548+0.0085985j -0.000731678-0.00756128j 0.00405688+0.00161524j -0.00250722-0.00379696j -0.00195183+0.000684756j 0.00462822-0.00198865j 0.00485249+0.00675679j 0.00647512+0.0105204j 0.00191166-0.00634156j -0.00853538+0.00043874j 0.00618256-0.00056756j -0.00904824-0.0041103j 0.00046379+0.0105985j -0.00610194-0.00354343j 0.00542646+0.0078496j -0.0137068+0.00593776j -0.00753093+0.00035149j -0.0017958+0.00150625j -0.00212423-0.00214364j 0.000521731-0.00176187j 0.000161881-0.000256389j -0.00283207-0.00176477j -0.00087243-0.000472723j -0.000767855-0.000636062j 0.000631179-0.000684538j 0.000117893-0.000764812j -0.00126676-0.00163381j -0.000536114-0.00217703j 0.000513629+0.0017604j -0.000415019-0.00157758j 0.000596746+0.00219882j 0.000374157+0.000476492j 0.00091367+0.00125152j -8.04918e-05-0.000541241j -0.00221498-0.000923997j 0.00111338+0.00306255j -0.000126563+0.000332473j -0.00114387-0.000101121j -0.000487601+0.000554752j -0.0015727+0.000632116j 0.000181645-0.000317773j 0.000140763+0.000329535j 0.000668437+0.000332181j -0.00221677-0.00108454j -0.000787541+0.000463893j -6.30001e-05-0.000741462j 0.00026468+0.000115963j 
0.00113454-0.00270042j -0.00107939-0.00272133j -0.000145556+0.000520317j 0.000554979+0.00412454j 0.000745183+0.00411083j -0.00051027-0.00850488j -0.00338448-0.0070115j -0.000126603+0.016251j -0.000700283-0.00306962j 0.000917492+0.00944592j -0.000358612+0.0186906j -0.000937044+0.00506358j -0.00148867-0.00796876j 0.00176563-0.0167155j -0.000219664-0.00893003j -0.000254891-0.0068068j 7.87293e-05-0.000479651j -0.00591214+0.00688943j 0.0129523-0.00542501j 0.00626392+0.00220883j 0.00357471-0.00328747j -0.00882343-0.00350112j -0.000592748-0.00102572j 0.0118801+0.0030932j -0.000862863-0.00222868j -0.00168856+0.000477633j 0.000779852-0.00188699j 0.00366938-0.000119145j 0.00181944+0.000417701j -0.0056519+0.00367595j -0.0133297+0.00475519j 0.00926359-0.00775493j -0.00147055+0.00327677j 0.00259421+0.00351983j 0.00186984-0.000229115j -0.001228+0.00158345j -0.00858061-0.0036361j -0.0048245+0.00420381j 0.010707+0.00732545j 0.00483509+0.00239246j -0.00686749-0.00160962j -0.0033147-0.00069211j -0.00169018-0.00128577j 0.000552468+0.000969284j -1.88689e-05+0.00234109j 0.00152634-4.42422e-05j -0.000361233+0.000643172j -0.000177169+1.10615e-05j 8.20949e-05-0.0014221j 0.00065235+0.000508751j -0.00054199+0.000272516j -0.00019549+0.000394571j 0.000913969+0.00286369j -0.000878101-0.000572959j 0.000892884-0.000235379j 0.000344292+0.000825039j -0.00052947-1.42602e-05j 0.00147429-2.54371e-05j 0.000207701-0.00253216j -0.000228362-0.001669j -0.000189014+0.00107021j 0.000262804+0.000414169j 0.000750367-0.000509886j 3.34998e-05-0.000202823j -0.000388932+0.00035194j -0.00116624+0.000328238j 0.00219555+0.000434755j -0.00135993-0.000731111j 0.000172583-0.000511347j 0.000227822+7.76223e-05j 
-0.00023096-0.000365772j 0.000572669+0.000356164j -0.000582561-0.000482647j -0.000120881-0.000744416j -0.000672291-0.0033933j 0.000694613+0.000691279j 0.00100055+0.00395051j -0.000119501-0.00082695j 0.000620345+0.000176635j 5.79607e-05-0.00585558j -0.00068512-0.00656447j -0.000756843+0.00230059j 0.000340361+0.0012067j 0.000567332+0.0036642j 5.47361e-05+0.000761609j -0.000123348+0.00111936j 0.0001965-0.000940861j -0.00182084-3.64177e-05j 0.00063184-0.000126238j -0.00214031-0.000459865j 0.000561826+0.000683175j -0.000977407-2.0416e-05j -0.00239127+0.000774541j 0.00129548-0.000487633j -0.00508025-0.000604006j -0.0087942-0.000675362j -0.0157562+0.000578266j 0.0170565-0.00115261j -0.012522+0.000120307j 0.00331667-1.85848e-05j -0.0199692-0.000432917j -0.0226746+0.00151542j -0.0208435-0.000594938j 0.00694888+0.00035891j 0.000660866+0.000380797j -0.00257846-0.000587982j 0.00194491+0.000755284j -0.00184844-0.00105985j 0.00362988+0.000720329j 0.000660594-0.00115872j -0.00251318-0.000150024j -0.000369448+4.62538e-05j -0.000327736+5.93096e-05j 0.000158634-9.38037e-05j -0.000891999-6.33223e-05j 6.0766e-05+0.000793769j -0.000151496-8.40134e-05j -0.000613557-0.000188658j -0.00146904-0.0040865j -0.000424078-0.00279495j 0.00179553+0.00757714j 0.000694055+0.00231063j 0.000657958+0.00332571j 0.000561443+0.00371874j 0.000949737-0.000252395j 0.000896033+0.00133176j -0.000818681+0.000278774j 0.000138586+0.00010493j 0.000406785-0.000253095j 0.000219718-3.87439e-05j -7.47343e-05+0.000236362j 4.95736e-05+0.000112513j 4.6313e-05-0.000151313j 0.000178981-0.000377978j -0.000289225+0.000389695j -0.000152661+0.000111053j 7.87063e-05-9.6282e-06j -0.000205177-4.76032e-05j -6.35938e-06-0.000170749j 6.98766e-05+1.61325e-05j 
