0.0110047-0.0344236j 0.0429491+0.00981104j 0.00448018+0.00963074j 0.00904224+0.0313113j 0.0185285-0.0187372j -0.00168848-0.0112099j -0.0316046-0.0158962j -0.00431481+0.0104922j 0.0177312-0.0294107j 0.000132148-0.0247369j -0.0358908-0.000755593j 0.000432527+0.0190884j 
-0.0186283-0.0326096j 0.0489283-0.0205726j 0.00564214+0.00798022j 0.0115196+0.041494j 0.0239498-0.00339622j -0.00490041+0.0142211j 0.00467448+0.00421292j 0.00155353+0.00200327j -0.00417803-0.00363819j -0.004212-0.00158278j -0.00231254+0.00820086j 0.00595523+0.00176911j 
0.0119154-0.0101854j -0.0029176+0.0161454j -0.00199484-0.00926191j -0.00409085-0.0291011j -0.0336248-0.00948755j -0.00482177-0.0290222j -0.050838+0.00892754j 0.00223065+0.0173114j -0.00832598-0.0422964j -0.0155484-0.0208303j -0.0417015+0.0235163j 0.0110562+0.0260497j 
0.000143678+0.0135255j -0.00207729+0.00353174j -0.00558112+0.0124185j 0.00365864+0.0127217j 0.0143377-0.00288902j -0.0133725+0.010816j 0.00535738+0.00891514j -0.0142357+0.00736146j -0.0153399-0.0194441j 0.000114602+0.00507548j -0.0322038-0.00830591j -0.0109771+0.0286383j 
0.0151403+0.0256093j -0.0143202+0.00977825j -0.000981088+0.0279019j 0.0162871+0.0124876j 0.0230771-0.0186656j -0.025405+0.00429926j 0.00272113+0.0152758j -0.0033153+0.000611359j -0.0167318-0.00573j -0.000473045+0.00138183j -0.0140683+0.00675365j 0.00505175+0.0112017j 
-0.00022565+0.0160244j -0.00686309+0.000782579j -0.00147949+0.00349915j -0.00157179+0.00172816j 0.00410038+0.00546408j 0.00369748+0.0237939j 0.0249918+0.00169362j -0.0110377+0.0116697j -0.0234488+0.00187232j 0.00672014+0.014314j -0.0225568+0.000349738j -0.00185374+0.0274957j 
-0.0210315-0.0107666j 0.0109148-0.0126955j -0.00722948-0.0240599j -0.0187416-0.00443533j -0.0143797+0.0266283j 0.0291455+0.00942171j 0.0102273-0.0140816j -0.0063526+0.015178j -0.00728577-0.00255549j 0.00559544+0.0080565j -0.0193355-0.00248927j -0.00398308+0.0238642j 
0.000383284-0.00981612j 0.00226992+0.000767648j 0.00463205+0.000965443j 0.00394418-0.00221658j -0.00292033-0.00777775j -0.015824-0.010779j -0.0120538+0.0090081j 0.00295961-0.0181919j 0.0199399-0.00327863j -0.00913097-0.00616475j 0.026155-0.0135694j -0.0119812-0.0293471j 
