0.000347035-0.0126358j 0.00834826+0.00210756j -0.00532192+0.00364j -0.00637155-0.00168634j 0.00184999+0.0042173j -0.0005566-0.00351729j -0.000182483+0.00123436j 0.00647162+0.000275325j 0.000665928-0.00392046j 2.42668e-05-0.000640848j -0.0020397+0.00257754j -0.00133927+0.000723964j 0.00262888-0.00414053j -0.00434713+0.00403963j -0.00530349+0.000506105j -0.00200155-0.00378287j -0.00353719+0.00296575j 0.0120138+0.00236286j 0.00228556+0.00187211j 0.000291053+0.00764729j 9.03308e-05+0.000635177j 0.00138746-0.00736288j -0.0037929+0.00572672j 0.00251555+0.00524384j -0.00739683-0.00144624j 0.00258256+0.000769795j 0.00054053-0.00286163j -0.00303574+0.000561661j -0.00448262-0.00138459j -0.0012066+0.000262422j 0.00501146-0.00154084j -0.00191416-0.0031116j -3.61559e-05+0.00932302j -0.00161672-0.00295482j -0.00021353+0.00253831j 0.00188331+0.00146589j 0.00450609+0.00842653j -0.00409735+0.00827942j 0.00100069-0.00361189j -0.00378838+0.00486563j 0.00116717-0.00784039j 0.000779802-0.00171165j 0.000509399+0.000413494j -0.000668924-0.00661077j -0.0013069-0.00163598j -0.000682124-0.00234146j -0.000902379+0.000727543j -0.000716071+0.00182566j -0.00149478-0.00361666j 0.00338475-0.000659509j 0.000314976-0.000804106j 3.54888e-05-0.00167771j 0.000975723+0.0053279j 0.00145319-0.00336689j -0.00174686+0.00295743j -0.00466765-0.00394899j 0.00570138-0.00603418j -0.00087685+0.00296672j 0.00373932-0.00291671j -0.00190408+0.00281651j 0.00144276+0.00427006j -0.000938841+0.00143896j -0.0012749-0.00347741j 0.00189044-0.00324244j 0.00154533-0.00153879j 0.00144055-0.00174394j -0.00300778-0.00199591j -0.00221791+0.00168644j -0.00143245-0.000506987j 0.00193675+0.00164681j -0.000990919-0.00585689j 0.00325423+0.000597052j -0.00153117+0.00106789j 0.00451478-0.000429432j -9.40584e-05+0.000175034j 0.00295769-0.00243576j 0.00189904-0.00329218j 0.000714979+0.00393122j 0.000468539+4.08213e-05j 0.000519777-0.00150201j 0.00012781-0.00314363j -0.001965-0.000377826j -0.00116126+0.00141046j 0.00557288+0.00237186j -0.00167-0.00216452j -0.000286807+0.0071843j 0.00155955+0.00213972j -0.000141343-0.00104057j -0.000921544-0.00090286j 0.00556975-0.0135871j 0.00696547-0.0241468j -0.00320303+0.00269625j 0.00339101-0.00486038j 0.0352906+0.0135139j 0.0178817-0.0252002j 
-0.011444-0.0039907j 0.00054673-0.00969337j 0.00225953+0.00256624j -0.00898055+0.000770975j 0.00609571+0.00354802j 0.0043435+0.00547477j 0.00267455-0.00444482j -0.00256876-0.00357457j 0.00487429-0.000479134j -0.00400784-0.00393004j -0.0029434-0.00344033j 0.000571808-0.0007361j 0.00264348+0.00358864j -0.00241125-0.00255489j -0.00418474+0.000274628j 0.00140643+0.000133825j -0.00338252-0.000933517j -0.000672845-0.00415549j -0.0150762+0.000335795j 0.00712211+0.00486513j 0.000223698-0.00449468j 0.00334572-0.00208665j -0.00251937-0.00474248j -0.000733619+0.000894325j 8.08305e-05-0.000331262j -0.000965275-0.00249142j 0.00234222-0.00263878j -0.000930714-0.00218298j -0.00178534-0.00601388j -0.000217201-0.000852253j -0.0015539+0.00139082j 0.00329841+0.0001229j -0.00335788+0.000496005j 0.00432263-0.00696715j 0.00331091-0.00167972j -0.00267179+0.00983246j 0.00175196-0.000465409j 0.000473889+0.00662561j -0.000146148+0.00114385j 0.00114422-0.0107951j 0.00185302-6.2184e-05j 0.0007038+0.00446442j 0.000272161+0.00129282j 0.00432354+0.000336388j -0.00076528-0.00121936j 0.00205335+0.00107339j -6.60258e-05-0.00218632j 0.000699564+3.23868e-06j 0.00326155+0.00105799j -0.00207569+0.0016471j 0.000606355-0.00480995j -0.00101992+0.00395442j 0.000242928-0.000781732j 0.000210668-0.000195313j -0.000707382+0.000696973j -0.000703291+0.00429024j -0.00589787+0.00557776j 0.000638555+0.00529394j -0.0001908-0.00430176j -0.00206254-0.000966513j -0.00393917+0.00411029j -0.00118901+0.00322369j -0.00224024-0.00322888j -0.000911221+0.0031511j -0.00103144+0.000741201j -0.00085863-0.000172282j -0.000878961-0.000203753j 0.00195857-0.000201112j -0.0013225-0.00206239j 0.00131464+0.000762795j -0.000807094-0.00300523j 0.0011289+0.00103767j -0.000641142+0.00220241j 0.000237137+0.00103687j 0.00122492+0.00424029j 0.00227987+0.00121451j 0.00244381+0.000929822j -0.00093224+0.00649901j 0.000569498+0.00183435j -0.00318299+0.00350955j 0.00293187+0.00497766j -0.00124508+0.00542485j -0.000418096-0.00180885j 0.00328687+0.00158443j 0.00739989+0.00280405j 0.00225327-0.0059288j 0.00229825-0.00873208j -0.00181676+0.00287207j -0.000172747-0.000158468j 0.0076323-0.0164564j -0.00892707+0.0109914j -0.00195816+0.0140358j -0.00239355-0.0100735j 0.0165848-0.0253075j -0.0349748-0.0140146j 
0.00540599-0.00397566j 0.00943059+0.00633335j 0.00540919+0.00328725j 0.022962+0.00765387j 0.00425795-0.00211132j -0.00141319+0.00373164j -0.00244766+0.0035086j 0.000713061-0.00310151j 0.00143562+0.00756818j 0.0030302-0.00701676j 0.00201648-0.00670646j -0.00164223+0.00131939j -0.00483055-0.00508167j -0.00104966+0.00581562j -0.00365203+0.000933658j -0.0116079+0.00507469j -0.00515643+8.62974e-05j -0.00192254+0.00331137j -0.00610771-0.011436j 0.00378904-0.0179892j -9.05572e-06+0.00415933j 0.0042593-0.00160247j 0.00272188+0.00354445j 0.006988-0.00697572j -0.00251555-0.00202086j -0.000581043+0.00227485j -0.00152258+0.00451706j 0.000399977-0.00662487j 0.0026438-0.00734811j -0.000105142-0.00411226j 0.00179065-0.00327456j -0.00344188-0.00132971j -0.000515032+0.011792j -0.000897229-0.00290671j 0.0037881-0.00477986j 0.000997281-0.00152413j 0.00355106+0.000961571j -0.0040934+0.0037191j -0.00294596-0.000799799j 0.000421646-0.000215124j 0.00119081+9.29993e-05j 0.00101062-0.00281667j 0.00246218-0.00359716j -0.000784594-0.00441495j 0.00272039+0.00332841j -0.000185763+0.00064009j -0.00142096-0.000956253j -0.00276157+0.00194097j -0.00204386-0.00260059j -0.000329702-0.00193328j 0.000136758+0.0020135j -0.00435642-0.00385137j -0.00343286-0.00511954j -0.000469598-0.00161017j 0.000221979+0.00866977j 0.00669971-0.00151304j -0.00392712+0.006254j 0.00643366-0.0230756j 0.000141538+0.0153887j -0.00115972-0.0118164j 0.011988-0.0041962j 0.0113949-0.00140123j 0.00484595+0.00135816j 0.00308711-0.000719778j 0.0033904+0.00216934j -0.00458287+0.00351504j 0.00444179-0.000833902j 0.00147885-0.00323539j 0.00235772+0.00736478j -0.00735519+0.00166796j 0.00560166+0.00187095j -0.00628999+0.000351021j 0.00273519-0.00528553j -0.00224018+0.00307637j -0.00166568-0.00457485j -0.00450187-0.00450155j -0.00362815+0.00559162j -0.00129049-0.00585124j -0.00020956+0.00473176j -0.00250909+0.00827458j 0.00339525-0.0172149j 6.19937e-05-0.00160516j -0.00173509+0.00356193j -0.00862081-0.000535924j -0.00233235+0.00523026j 0.0119292+0.00463415j 0.0129859+0.0131965j 0.0052017+9.78965e-05j 0.0069782+7.5167e-05j -0.0197165+0.00807841j 0.0112543+0.00311164j -0.0147097+0.014654j 0.0192069+0.012449j -0.00803448-0.00220638j -0.000672558-0.000855648j 
0.0106171+0.0109792j -0.00502705+0.00852845j 0.00706194+0.00163198j 0.000611338-0.00161536j -0.00567617+0.00918738j -0.00973391+0.00659176j 0.000983645-0.00165311j 0.00528139-0.00402367j 0.00221779+0.00510978j 0.00260402+0.0005429j -0.000943004+0.000195125j -0.0023251+0.000665403j -0.00908937+0.0094559j -0.001648-0.00546047j 0.000552165+0.00114508j 0.00116413+0.00636699j -0.00118494-0.00328502j -0.00594703-0.00682241j -0.000770573+0.00344084j 0.00589696-0.0037306j 0.00201288-0.0142411j 0.0053992+0.00168152j 0.000325731-0.00861686j -0.000111369-0.00610721j -0.00721675-0.0105375j 0.00585133+0.0039519j 0.00107197+0.011005j -0.00203711-0.00691179j 0.00337226+0.000977652j -0.000273316-0.000762609j -0.000690414+0.00329925j -0.00246239-0.00881082j 0.0058377-0.00595384j -0.000532625+0.00543284j 0.00378383-0.00325991j 0.00145095-0.00540255j -0.00265244-0.00650453j -0.00892555+0.01038j 0.00132541-0.000787954j 0.00191536+0.0044961j -0.00191963-0.00132431j -0.00328958+0.00221266j -0.00285085-0.00174374j 0.00116985-0.00461586j 0.00374277+0.00389179j -0.00277896-0.000966401j 0.00275464+0.00163725j 0.000125513+0.00119385j -0.000151754+0.00052262j -0.00448371+0.0031117j -0.00296659-0.00247944j 0.00317964+0.0158864j 0.000694971-0.0112018j -0.00729751+0.00926904j 0.0110054-0.00242027j 0.00612124+0.00474661j -0.00381816+0.0075523j 0.00675157-0.00215678j -0.00249355-0.000912312j -0.000462016+0.00590161j -0.00474661+0.000960451j 0.00211711+0.00144905j -0.00322651-0.000653095j -0.000452116-0.00200697j -0.00679621-0.000687913j 0.00423394+0.00637519j -0.0033574+0.00637802j 0.0027756-0.00343257j 0.00154245-0.00140314j 0.00376072-0.00180254j -0.00090987+0.00884728j -0.00134561-0.00377827j -0.00261889-0.00790977j -0.00359573-0.00391548j -0.00155677+0.00429345j -0.00937438+0.00330104j 0.00135392-0.00301281j 0.000839718+0.00261385j 0.00518601+0.00381644j -0.0029123+0.0071583j 0.00606929-0.00456574j 0.00567446-0.0182018j -0.00444881+0.0136205j 0.00712278-0.0116271j 0.00220242+0.0036764j 0.011159-0.00970096j -0.00266251+0.00431674j 0.00429415+0.00329688j 0.00503161+0.00544632j 0.00082317-0.0184625j 0.00892072+0.0160098j -0.0217534-0.010644j -0.0288053+0.0086287j -0.00568309-0.00243338j -0.00767787-0.000266347j 
0.0019428-0.00227423j -0.000440329-0.0021227j 0.0333686+0.00556431j -0.0114944-0.00218633j -0.00712266-0.000869103j -0.00903501+0.00485429j 0.000655147-0.00507341j 0.00520935-0.00086771j 0.0105274-0.00803849j 0.00379775+0.00516435j 0.00228147+0.00395724j -5.92818e-05-0.00331565j 0.00278821-0.00486435j -0.00503459-0.00582169j -0.00113059+0.00026316j 0.00946778-0.0136774j -0.012084-0.0109042j -0.00283068-0.0171122j 0.0013224+0.0192859j 0.00227821+0.0363139j -0.00466695-0.0121036j 0.002534-0.00226812j 0.00378191+0.00182303j 0.00390887+0.00210444j -0.000435859+0.00466025j 0.00392442-0.00304699j 0.000326387+0.000542003j -0.00194703+0.00274188j -0.00126877+0.00491293j 0.00191414+0.00130369j -0.00175199-0.00192264j -0.000127451-0.004455j 0.00161614-0.00213506j -0.00294242-0.00359232j 0.000186363+0.0148024j -0.00139602+0.00658002j 0.00719377+0.00267756j -2.05572e-05+0.00743225j 0.0135174+0.000934077j -0.00224471-0.00587784j -0.00193419-0.0116771j 0.0038203-0.00805224j -0.00134683+0.010948j 0.00299382+0.00500596j -0.00556153+0.000433713j -0.00507681-0.00453667j 0.00161403+0.00302526j 0.00258926-0.0124433j 0.00182903-0.00880456j 0.011835-0.00137452j 0.00515767-0.0056972j 0.00613937+0.00510871j 0.00220982+0.00546872j 0.0036221+0.00510292j 0.00623334-0.00341858j -0.0050443-0.00872474j 0.0077081-0.0106912j -0.00456981+0.00299774j -0.00367367+0.00303593j 0.00119901-0.00197711j -0.00119713+0.00138557j -0.00748228+0.00414708j 0.00768919+0.00241843j -8.78596e-06+0.00552579j -0.00203963-0.00611941j -0.000262065+0.00237312j 0.00682056-0.0044221j -0.000720499-0.000566565j 0.000408097-0.00167595j 0.00361803+0.000231865j 0.00121947+0.00336105j 0.000366827-0.00358854j 0.00213191-0.00150725j -0.00325313+0.000572331j -0.00691434+0.000890803j 0.00251002-0.00491979j -0.00121138+0.00554962j 0.00455409-0.00391948j 0.00577003-0.00373729j -0.00145142-0.00830579j -0.00296704-3.40341e-05j 0.0024613-0.00500721j 0.00710856+0.00148104j 0.000496362-0.00114964j -0.00715365-0.0106997j 0.00219028+0.0182925j -0.010345+0.00548105j -0.000419012-0.000117752j -0.00215744-0.000471857j -0.00893269+0.00680226j -0.00240697-0.00811654j 0.00135301-0.00544164j 0.0165525+0.0041145j 0.000393544-0.00197397j 0.0204897-0.00220034j 
0.00727662-0.000772662j 0.00359421+0.0020282j 0.00630916+0.00139066j 0.00883708-0.00382899j -0.00368451+0.00707001j 0.0101633+0.00887862j -0.000486573-0.00512942j 0.00500993+0.000600256j -0.0064349-0.0068699j 0.00476621+0.00757614j 0.0017062+0.00705609j 0.000799708+0.0018932j -0.00225425+0.0168263j 0.00106536-0.00689189j -0.000198532-0.00167151j -0.00109438+0.00155084j 0.00535813+0.00691893j 0.000718907-0.00308354j -0.00113011+0.00623534j 0.000213358+0.000426191j 0.000545121+0.00264909j -0.00412953+0.00660322j -0.000825417+0.0100039j -0.00935542+0.0177916j 0.00269992-0.00347741j 0.0024784+1.18474e-05j 0.00152601+0.00143382j -0.00323276+0.00095078j 0.00162375-0.00170332j -0.000326629+0.00464943j 0.00680952-0.0116467j -0.000422389-0.00178893j 0.000673548+0.00216012j -0.000187616-0.00172006j -0.000320799+0.00356983j -0.00196049+0.00110761j -0.00172543-0.00545169j 0.00143896+0.000525201j 0.00110528+0.00336275j -0.00499878+0.00338494j 0.000742931+0.00271057j -0.00133509-0.0024094j 0.000903796-0.00391814j 0.00555992+7.63116e-05j 0.000262417-0.00258688j -0.00970508-0.00130633j 0.0093023+0.00588505j 0.00756938-0.0109482j 0.00249897-0.000710932j -0.000635377+0.00150595j 0.00553266-0.0131047j 0.00990262+0.0149935j 0.00252324-0.010495j -0.00302059+0.0108973j 0.0140513-0.00730141j 0.00467245-0.00649322j 0.000990148+0.00273286j -0.00526868+0.0142748j -0.00212244-0.0136863j 0.00168899+0.00159429j -0.0145685+0.00218213j -0.00806004+0.00102143j -0.00833354-0.00328859j 0.000191667-0.00230858j -0.00542968-0.00176386j 0.00502522+0.00149699j -0.00019717+0.000461873j 0.000100958-0.00334748j -0.00152777-0.00174292j 0.0053938+0.000517243j -0.00116176-0.00411223j 0.00409623-0.000248616j -0.00571979+0.00727792j -0.0023753-0.00166638j 0.00186421-0.00396746j 0.00155037-0.000136167j -0.00170148-0.00568824j -0.00157783-0.00276713j -0.000151916-0.0118317j 0.00603836-0.0128724j -0.0030253+0.000623243j -0.00597427-0.00749304j 0.00606745-0.000830712j 0.00751088+0.00522357j -0.0159713+0.00535969j -0.010997-0.00211469j -0.0087495-0.00721743j 0.000667547-0.00259086j -0.00465674-0.00572343j 0.00448889-0.00509113j 0.0100411+0.0108176j -0.0036341+0.0182374j 0.00641077-0.00132522j -0.00130135+0.000237477j -0.0201276+0.00492656j 
0.00560881+0.00665349j 0.00623695+0.00167805j 0.0173038+0.00630103j 0.0135207+0.00190542j -0.00656549+0.00674655j 0.000163119+0.00410942j 0.00454832-0.00225651j 0.00969024+0.00123995j 0.00025166+0.00272581j -0.00166944+0.000541341j -0.00138775+0.000622424j 0.00737281+0.00309684j 0.005172+0.0140471j 0.0036982-0.00485562j -0.00936055-0.00553163j -0.00848843-0.00100084j 0.00715821+0.000780892j -0.00285167-0.0074807j 0.00177971+0.00909909j 0.00149916-0.00154117j 0.000587878-0.0167425j 0.00152071+0.00588416j 0.00663524-0.0129307j 0.000444477+0.00801097j 0.00845497+0.000574179j 0.00205591-0.00723913j -0.000590169+0.00550082j 0.00227898+0.000887765j 0.00211777+0.00815077j 0.00289062+0.00466703j -0.00235642-0.00172012j 0.000579931-0.0038625j -0.00113807+0.000964369j 0.0022384-0.00244144j -0.00272781-0.00321055j -0.00550997+0.0048341j 0.00325109-0.0049726j -0.00375655+0.00138083j 0.0137357-0.000367153j -0.000691425-0.000824471j -0.0106818-0.00161963j -0.00111044-0.00932358j -0.000355036+0.0154474j 0.00675051+0.00527775j 0.000795391+0.0169623j -0.00353124+0.00343476j -0.0044453+0.00303405j -0.00556385-0.00191746j 0.00211811-0.00789071j 0.00445991-0.00974709j -0.00168741-0.000739724j 0.000276483+0.014787j -0.00458145-0.00714641j -0.00715352+0.00855153j 0.0182808+0.00157516j 0.00931462-0.00132861j -0.0087801+0.00969074j -0.00364879-0.0119626j 0.0042277+0.0111639j -0.00456043-0.00279981j 0.00624833-0.00600156j 0.00438529-0.00216003j 0.00428017-0.000337315j 0.00332367+0.00579625j -0.00379876-0.00142286j -0.00188747-0.00225614j 0.00927287+0.00719646j 0.00597159-0.0029016j 0.00228824-0.00261419j 0.00152029-0.00119797j 0.00833698-0.00535482j -0.00644315-0.000456579j -0.000954428-0.000936592j 0.00027684+0.00374039j 0.00102655+0.00664633j -0.00179438+0.000293316j 0.00508362-0.00237051j -0.00463836+0.0098025j 0.00380387-0.00470775j -0.00262231+0.00403563j -0.00414444-0.00801283j -0.00229434+0.00474253j 0.00600719+0.00714109j 0.0110391+0.000633358j 0.00626779+0.00811683j 0.0016173-0.00247021j 0.0187925-0.00436604j -0.000875661+0.000190671j 0.0032987+0.00217478j 0.006713+0.0154083j 0.000421881+0.00946954j -0.00167455-0.00365378j 0.00615874-0.0042108j -0.0144522+0.00472818j 0.0034128+0.00118716j 
-0.00345411-0.00653638j 0.012294-0.0119952j -0.0129654+0.00354858j 0.0393015-0.00484255j 0.00615099+0.0231844j -0.00411942-0.0207424j 0.00503024-0.00622732j -0.0054144+0.00389589j 0.00480368+0.00193582j 0.00542166+0.00738938j -0.00150942+0.0108603j -0.000972517+0.000311945j -0.00765831+0.00492446j 0.00264566+0.00109188j 0.000241044-0.00256784j -0.00556721+0.00161295j -0.0099789+0.0114398j -0.00593358+0.00608717j 0.00326046-0.00805751j 0.000291071-0.00566826j 0.00374762+0.0199812j 0.00230039-0.00505148j 0.00634726-0.00431512j 0.0057555+0.00643355j -0.000736086+0.00747986j -0.000113321-0.00538958j -3.81494e-05-0.00992457j -0.00324966+0.00469818j -0.00382195-0.00433009j 0.000770799+0.00174504j 0.00377176-0.000159851j 0.00314429+0.0014268j -0.00296128+0.0108075j -0.00236313-0.000974796j -0.00102317+0.00292531j -8.52059e-05-0.00938295j 0.00441075+0.00867341j 0.00136779-0.00822374j 0.00627341-0.00854237j -0.00493417+0.00276211j 0.00306793-0.00493884j 0.00129586-0.00941913j 0.00620467-0.00284866j 0.000919966+0.00513965j 0.00036255-0.00643425j -0.00949071-0.0120536j 0.00680044+0.01068j 0.00847986-0.0114299j -0.00139386-0.00325177j 0.00859833-0.000368393j 0.0116138-0.00352004j 0.00588858+0.0107747j 0.00729348-0.000140625j -0.0022776+0.012551j 0.00835036-0.00316406j -0.000789208-0.0048108j 0.00730583-0.00912829j 0.00254337+0.00471823j -0.00986797-0.00314099j -0.000338988-0.00195367j -0.00965126-0.00218322j -0.00731477+0.00296634j 0.00132013+0.00500212j -0.00106499+0.00861277j -0.00467129-0.00249361j -0.00188161+0.00383124j 0.00657999-0.000481167j 0.00297951-0.00661133j 0.000247052-0.00282949j -0.000231286+0.00666376j 0.00441148+0.0102797j 0.00733643-0.00112694j 0.00154767-0.00403698j -0.00701859-0.000422299j -0.00114399-0.00179936j -0.00854382+0.000976694j -0.00335126+0.000914925j 0.00405841+0.000814574j 0.00389469-0.00108704j -0.000564672+0.00878114j -0.000569104+0.00665603j 0.00458132-0.00455337j 0.00543056-0.000526577j -0.00118114-0.00855354j 0.00814186-0.00753361j 0.00884391+0.0092702j -0.0115739+0.00127615j 0.00024707-0.000806691j -0.000960677+0.000253957j -0.0047653+0.00764161j -0.00621681-0.00434737j -0.00204443-0.00997426j -0.00144806-0.000301988j -0.00587965-0.0010653j 0.0107102-0.00344326j 
0.00137552-0.00709164j 0.00541085-0.00423421j 0.0260257-0.00462738j 0.0142799+0.00165504j -0.0119101-0.0187857j 0.00644783+0.00462174j 0.00266901+0.00142025j 0.00257404+0.00471918j 0.000247925-0.000161554j 0.0114823-0.00549035j 0.00924439-0.00944009j 0.00052713-0.00417788j 0.0052629-0.0207048j -0.00419842+0.0071717j 0.000783622+0.00228654j 0.00223886-0.00974468j 0.001146+0.00246391j -0.00757792+0.00328102j -0.00323445-0.000522333j 0.00241022+0.0157789j 0.00753848-0.00103644j -0.000473822-0.00295212j 0.00790118+0.0100785j 0.00610646+0.000244506j 0.0036362-0.00014997j -0.00705863+0.00302736j -0.00192355-0.0100389j -0.00226462+0.00634729j -0.00140257-8.40531e-05j -0.000556265+0.00337601j 0.00115099-0.0066146j 0.00299689+0.00801163j -0.00172785+0.00539018j -0.00417242-0.0127307j 0.00409748+0.0107312j -0.00682046+0.000998461j -0.00383587+0.00118815j -0.00083244+0.00701874j -0.00796695-0.000578396j -0.00135982-0.00478693j 0.00958356+0.00731801j -0.00160806+9.62834e-05j 0.00608767-0.0176738j 0.00019668+0.00572173j 0.00431595-0.0146664j -0.00924258-0.0132616j 0.00894269+0.0145108j 0.00813346-0.00733033j -0.00677813+0.000981449j 0.00548777-0.00157393j 0.022981-0.0034257j -0.00568483-0.00882916j 0.00312526-0.0079433j 0.00623071+0.00346772j -0.00413834+0.00814252j 0.00371104-0.0109829j 0.0101822-0.00710855j 0.00398707-0.0181143j -0.0036905+0.00129609j -0.00767752-0.00567625j 0.00457851+0.0019232j 0.0108335+0.000107543j -0.00088959+0.00281696j 0.00268047-0.000323069j 0.00476134+0.00461533j -0.00519117+0.00329017j 0.00355978+0.00300783j -0.000985569-0.0027451j 0.00240349+0.00628343j -0.00362948+0.00505211j 0.00506066+0.00253567j -0.00120351-0.0011175j 0.00246797+0.00264504j -0.00742961+0.0018642j -0.00370786-0.00233416j 0.00193286-0.00275391j -0.0015516+0.00693222j -0.0031418-0.00961229j -0.00401921+0.00702698j 0.000782983-0.000187303j -0.0047343-0.00251012j 0.00211938-0.00473737j -0.00242127-0.00180374j -0.0157314-0.00266056j -0.00868399+0.00328569j 0.00827036-0.0152463j 0.00617345-0.0028005j 0.00320798+0.00128556j 0.00326666+0.00329042j 0.00024048-0.0136901j 0.0138316+0.00538001j -0.00514047-0.00029949j -0.0138884-0.00741241j 0.00161151-0.00195234j -0.00958522-0.00142297j 
-0.00236848+0.00788751j -0.00938939-0.0107654j -0.00972828+0.0048315j 0.0137961-0.000148213j 0.00181701+0.0118244j -0.00565287-0.00750379j 0.0042228-0.00753819j -0.00253863-0.00309704j -0.00366017+0.000167028j 0.00315164+0.00973637j 0.00244408+0.00917092j 0.000113959-0.00240762j -0.00682077+0.0106516j 0.00308749-0.00705052j 0.00388646-0.0035105j -0.000854696-0.000666496j -0.00108222+0.0068127j -0.00686594-0.000987607j 0.00563158+0.00245665j -0.00465042-0.00551294j -0.010281+0.0129945j 0.00574304+0.00552486j -0.00178492+0.0018116j 0.00252351+0.00994578j 0.00477848-0.0101496j 0.00294184+0.00281973j 0.000373455-0.00847849j 0.00170685+0.00202876j -0.000350054-0.00470213j 0.00108907+0.00260327j -0.00928414+0.000554733j 0.00109918+0.0087896j -0.00114618-0.0112027j 0.00616024-0.00875497j 0.000165329-0.00322369j -0.0028219+0.0110032j 0.00446693-0.00502461j -0.00359092+0.00953117j 0.0129743+0.0064828j 0.00451211-0.00625137j -0.0106156-0.0054691j -5.39837e-05-0.00135427j 0.00207182+0.0149365j 0.00613047+0.00635713j -0.00380743+0.0149679j -0.00417173+0.00657875j -0.00556345+0.00264877j -0.00328897-0.0123614j 0.00392607-0.00726892j 0.0101185-0.00677038j 0.00126451-0.00119651j 0.00485131-0.00307711j 0.00463184-0.00622141j -0.00132342+0.00335515j 0.00542496+0.000562168j 0.00719275-0.000382215j -0.00246281-0.00101661j 0.00273015-0.0124042j 0.00122124+0.000152518j -0.00509694-0.00365925j 0.0112492-0.000233297j 0.00494498+0.00276557j 0.010939+0.00150164j -0.00557957-0.0030183j -0.00328739-0.00595789j 0.000923249-0.000928746j 0.00401938-0.00749217j -0.00277889+0.00781542j 0.0025645-0.00517454j -0.000888259-0.00196701j -0.00120387+0.00268175j -0.00128593-0.00072571j 0.00577511-0.00390187j 0.00290817-7.65065e-05j 0.000711189-0.00536877j -0.00396305-0.0054603j -0.00268721-0.000502155j 0.00470237-0.0099876j 0.000982065-0.00748392j -0.000341639-0.00793642j 0.00323607-0.00417495j 0.008243+0.00673389j 0.00240526-0.00308679j -0.00630526+0.00665872j -0.0189241+0.00209267j -0.00876352+0.000359789j 0.00278764-0.00561053j 0.00118118+0.00440249j 0.00204774+0.000262853j -0.000196846-0.0304308j 0.0122144-0.0061525j 0.00789087+0.00885242j -0.00172844-0.00495882j 0.0272774-0.00580288j -0.0144373+0.00165861j 
-0.00444864-0.000178707j -0.00577927-0.00336853j -0.007531+0.00355768j 0.00602504-0.00177542j -0.00220408+0.00668123j 0.00531526-0.00490621j 0.00813053+0.000875201j 0.000202524-0.00270809j -0.00175759+0.0025197j 0.00920209+0.000169908j 0.00969563+0.00334044j 5.879e-05+0.000654274j 0.00541637-0.00509639j -0.00373227+0.00699597j -0.000804849-0.00201177j 0.00019934-0.00770706j 0.00654811+0.00928121j 0.00393538+0.00536631j -0.0168983-0.00600378j 0.00764342+0.00972664j -0.0047745-0.00194967j 0.0016428-0.00071909j -0.00946653-0.00173529j -0.00211163+0.011877j -0.00398091-0.00532495j 0.00303763-0.000627322j 0.000895867-0.00805709j -0.00353541+0.00507778j -0.00779161+0.00151808j -0.00336141+0.00610128j -0.00255784+2.40606e-05j 0.00521182+0.0041045j -0.00399588+0.00109373j 0.000204729-0.00390387j 0.00836951+0.0070207j 0.00309763+0.00442942j -0.00149162+0.0186943j -0.00313831+0.00673523j 0.00841668-0.00718731j 0.00409057+0.0121127j 0.00198119-0.00985717j 0.000112707+0.00755303j -7.36958e-05+0.00819232j -0.00141647-0.00756261j -0.00584804-0.00671713j -0.000918175-0.00872874j 0.00251933+0.0117418j 0.00128979+0.00018848j -0.000116287-0.00300781j 0.00555444-0.000315093j 0.00843999+0.000620127j -0.00275445-0.00691452j 0.0049354+0.00101825j 0.00357177+0.00170448j -0.00410821+0.00806966j 0.00186686-0.00378625j 0.0139089-0.00899026j -0.00323501-0.00491714j 0.00122354-0.00682795j -0.0086675+0.0147766j 0.00788205+0.00337743j 0.0027734-0.00300317j -0.00227022+0.00241533j -0.00024341-0.00434822j 0.000894968-0.000535178j 0.00425885-0.006761j -0.00245869+0.000808369j -0.0052613+0.00550128j 0.000764822-0.00382324j 0.000424904-0.00246587j -0.00222928-0.00656208j 0.00406405+0.00342049j 0.00128212+0.00442831j 0.00897662-0.000362438j 0.000621139-0.00727085j 0.00818428+0.00116208j 0.000587111-0.00927j -0.00215552+0.00153516j -0.00343202-0.00574055j 0.00602006-0.0135282j 0.00248058-0.00718919j -0.00554437+0.00811268j -0.00452311+0.00357072j 0.00999878+0.00501961j -0.0110501-0.000721583j -0.0175371-0.017309j 0.0114432-0.00485117j -0.00169856-0.00022352j 6.93118e-05+0.00174865j 0.00400696+0.00863761j -0.00383104+0.015211j 0.00120872-0.00610333j -0.007682+0.00167395j -0.0241473-0.00336306j -0.00563592-0.00352308j 
