-0.000877051-0j -0.0105246-0j -0.0595362-0j -0.0010853-0j -0.00531684-0j -6.39516e-05-0j -0.00868236-0j -0.0520942-0j 
0.00088614-0j 0.0106337-0j 0.0601532-0j -0.00105179-0j -0.00515268-0j -6.19771e-05-0j -0.00841428-0j -0.0504857-0j 
-0.0147807-0j -0.0582959-0j 0.00701641-0j -0.0121508-0j 0.000626596-0j -0.00143952-0j -0.0480916-0j 0.00613936-0j 
0.0182902-0j 0.0721375-0j -0.00868236-0j 0.000306854-0j -1.58239e-05-0j 3.63535e-05-0j 0.0012145-0j -0.000155042-0j 
-0.0106693-0j -0.0420802-0j 0.00506471-0j 0.0170048-0j -0.000876909-0j 0.00201459-0j 0.0673034-0j -0.00859192-0j 
-0.123673-0j 0.010415-0j -0.000620169-0j -0.0499349-0j -5.53838e-05-0j -0.0181629-0j 0.00859192-0j -0.000542648-0j 
0.0883565-0j -0.00744082-0j 0.00044307-0j 0.0356752-0j 3.95681e-05-0j 0.0129762-0j -0.00613837-0j 0.000387686-0j 
0.144286-0j -0.0121508-0j 0.00072353-0j 0.00118893-0j 1.31866e-06-0j 0.000432451-0j -0.00020457-0j 1.29202e-05-0j 
-0.12625-0j 0.010632-0j -0.000633089-0j 0.0488946-0j 5.42299e-05-0j 0.0177845-0j -0.00841292-0j 0.000531343-0j 
0.0520754-0j -0.00438546-0j 0.000261136-0j -0.0613622-0j -6.8058e-05-0j -0.0223194-0j 0.0105581-0j -0.000666829-0j 
6.32957e-05-0j -0.0721571-0j 0.00429666-0j -0.00744082-0j -0.0732886-0j 4.61531e-06-0j 0.000626596-0j 0.00375957-0j 
-4.52206e-05-0j 0.0515515-0j -0.00306968-0j 0.00531598-0j 0.0523599-0j -3.29734e-06-0j -0.000447662-0j -0.00268597-0j 
-7.3845e-05-0j 0.0841833-0j -0.00501277-0j 0.000177162-0j 0.00174497-0j -1.09888e-07-0j -1.49189e-05-0j -8.95137e-05-0j 
6.46144e-05-0j -0.0736604-0j 0.00438617-0j 0.00728581-0j 0.0717617-0j -4.51916e-06-0j -0.000613542-0j -0.00368125-0j 
-2.66521e-05-0j 0.0303834-0j -0.0018092-0j -0.00914361-0j -0.0900602-0j 5.6715e-06-0j 0.000769988-0j 0.00461993-0j 
