0.0161993-0.0287276j -0.00558213-0.0158706j 0.022231+0.01006j 0.0292613+0.00541089j -0.0116162-0.0018614j -0.0026015+0.0135993j 0.00754508+0.00169602j -0.00317652-0.0030615j 0.00528908+0.00453125j -0.00111252+0.00328098j 0.000667136+0.00149636j 0.000215308-0.000727518j -0.000825647+0.00140378j 0.000364053-0.0012727j -0.00171476+0.00749474j 0.000577229+0.00439962j -0.000835288+0.00205909j 0.000499092+0.000735987j 0.00102401-0.00762543j 0.00103542-0.00366895j -0.000900336-0.00123423j 0.000404878-0.000533398j -4.72977e-05-0.000285711j 0.00134331-0.00177085j 0.000439353-0.00155766j 0.00312758-0.00272532j 0.00180059-0.00161296j -0.000212484+5.60708e-05j 0.00043932+0.000310728j 0.000167093-0.000118559j -0.000727159+8.83257e-05j 0.00123976-0.00104878j -0.000860648+0.000591718j -0.000177584+0.000248234j -0.000914571-0.000423526j -0.000305542-0.000448809j -0.000496909-0.000110979j -0.000487013-0.000174482j -0.000483022+0.000266649j -0.000910017+1.55143e-05j 0.000741729-2.37287e-06j -0.000296049+5.08765e-05j -5.99288e-05-6.19331e-05j -0.000253065-0.000273734j -0.0016888-0.000689127j -0.000397818+5.52503e-05j 0.000339821+0.000588884j 0.00018351+3.54972e-05j 0.00285572+0.000193449j -0.00093792+0.00117719j -0.000444175+0.000152339j -0.000312533+0.000413836j 0.000924215-0.00106457j 0.00170574-0.000890583j -0.00129874+0.00108203j 0.00255976-0.00047912j -0.000217244-0.000369471j 0.000404683+0.00113063j 0.0011174-0.00145529j -4.7555e-05+0.000155885j -0.000630771+0.000148991j 0.00021008+0.000806759j 0.00107837+0.000173214j -0.000704527+0.000280519j -0.000211074+0.000352204j 0.000149108+0.000172526j -0.00013448+0.000104335j 1.82588e-05-0.000345131j 2.1155e-06-0.000229693j 1.73117e-05-7.98023e-05j 8.55502e-05+0.000312147j -0.00017628-0.00010105j 0.000106499+1.51524e-05j 0.000174008-0.000298085j -5.86096e-06-3.82083e-05j 0.000116327+0.000563091j 0.000192319-0.000416913j 0.000202993+0.000517363j -0.000776159+0.000614908j 0.000416356-0.00113131j 0.000555478+0.00128903j -0.000620543-0.000953649j 0.000111328-0.000678968j 9.2835e-05+0.000882887j 5.27089e-05-0.000665398j 4.72459e-05+0.000170681j -0.000170849+3.41495e-05j -0.000562107+0.0013166j -0.000311709-2.35947e-05j -0.000467959-0.000228962j -0.000145291+0.000525134j -8.68504e-05-0.00017564j 
0.00180007-0.00164848j -0.00420225-0.00253538j 0.00362851+0.0012021j 0.00504785+0.00259352j -0.0026624+2.15401e-05j -0.00803949-0.00758056j -0.00257278-0.00243362j -0.00732387+0.00230584j -0.00123196-0.0209139j 0.00250383-0.00421561j 5.54748e-05+0.00209401j -0.00146561+0.00324511j -0.000434818+0.00425837j -0.00207343-0.00145887j -7.38925e-05-0.0200535j -0.00106333+0.00236981j -0.000256263+0.0232472j 0.00269373+0.00846444j -0.0016738+0.0144904j -0.0125805+0.009801j 0.00412085+0.00808753j 0.00129417+0.0064894j -0.00131341+0.000713905j 0.000945325-0.00106487j 0.00208087-0.00119739j -0.000550355+0.00112324j 0.000490277+0.000549763j -0.000334854+0.00216136j 0.00200381+0.000493017j 0.000151606-0.00130141j -0.000848747+0.00201378j -0.000210696+0.000564672j 0.00148522-0.000582556j 0.000563625+0.00023606j 0.00150267+0.000622798j -0.00170513+0.00252325j 0.000256243+0.000744352j 0.000332082+0.000350646j -5.4021e-05-0.000657987j 0.00036572+3.53449e-05j -0.00210798+0.0007497j 0.000533991-0.000548226j -0.00125227+0.00148024j -0.000616216+0.00124344j -0.00011471+0.00193588j 0.000346571-0.000725005j -0.000520436-0.000115012j 0.00184486+0.00170076j -0.00300041+0.000436218j -0.00012446-0.00234823j 0.00169238+0.00117461j -0.00335177+0.0010889j 0.00210249+0.000852825j -0.00122223-0.000406752j 0.0027117-0.00250543j -0.000922467+0.000181454j 0.0020199+0.00176771j -0.00311247+0.000758416j -0.00140934+0.00347622j -0.00151196+0.000865117j 0.000817701-0.000972917j 0.000593604-0.000232149j 0.000182782-0.000790627j 0.000692199+8.47494e-05j 0.000302875+0.000880659j 0.000212801+0.0010082j -0.00022516+5.13164e-06j 0.000104297-0.000194486j -0.000584018-0.000226234j -0.000142873+0.000321305j -0.000529255-0.000273705j -0.000161889+0.000313438j -0.000495253-0.000331607j -0.000428002+0.000348547j -0.000581667+0.00062586j -0.000357645+0.00143191j -0.000932372+0.000756698j 2.46927e-05-0.00141519j -0.000229446-0.000981957j -0.000304493+0.00144632j -0.00124032+0.00114611j 0.00241942-0.00235515j 0.000611118+0.000967974j -0.00134422-0.00057583j 5.7291e-05+9.38807e-05j -0.000369931+0.00123989j 0.000156328-0.000174137j -0.00125884-0.00020479j 8.9237e-05-0.000806665j 0.00109882-0.00237638j -0.000775396-0.000781292j 0.000622336-0.000530663j 
0.000532659-0.00380079j -0.00425569+0.010624j 7.33381e-05+0.00252983j 0.000398756+0.00181457j 0.00320091-0.0113055j -0.0115561+0.000908677j -0.00304249-0.0151177j -0.00576346+0.0096199j 0.00322361-0.00137502j 0.0106824-0.017144j 0.00479537+0.000906684j -0.00398379-0.00357836j 0.00049376+0.000485394j -0.00641069-0.00325375j 0.0113064+0.0095257j 0.00655852-0.00174622j -0.00721625-0.0120966j 0.00881322+0.00915057j 0.00871799-0.0100075j -0.00338837+0.00562793j 0.021398+0.000964871j 0.000397934+0.0160248j -0.00417209-0.00114704j -0.00188568+0.00241219j 0.00249485+0.00473677j 0.000198601+0.00243801j 0.00146743-0.00102413j 0.00204419+0.00468652j 0.00129365+0.00166278j -0.00272231-0.00291994j 0.000591863+0.00327013j 0.000579022-0.000588235j -0.00121961-0.000280553j -0.000943304+0.000679631j -0.000874984+0.00197086j -7.7822e-05+0.00141942j 6.49369e-05+0.00124474j 0.000649853-0.000594019j 0.000146108+0.00170586j 0.000406657+0.000581702j 0.00152927+0.000672781j -0.000691323+0.000137502j 0.00185348+0.00237522j 0.000960101+0.00129078j -0.000574277+0.00187579j -0.000603734+0.00154905j 0.000998107-0.00159696j -0.00255388+0.00205782j -0.00192884-0.00086635j -0.00040915-0.004108j 0.00124131+0.00355637j 0.000782522+0.00189003j -0.000769734+0.00396699j 0.00190278-0.00123938j 0.0012907-0.00130491j -0.000779344+0.000470471j 0.000330446-0.00276294j -0.000530284+0.00667425j 0.0032501+0.000164386j -0.00274094+0.00133395j 0.000822206-0.00122324j 0.000272603+0.000210496j 0.000560267-0.000613746j 0.00142176-0.000730423j 0.000492095-0.000100416j -0.00036235+0.000763449j 1.35594e-05+0.000102591j 0.000201915+0.000129267j -0.0012611+0.000359521j 0.000200482-7.04478e-05j -0.00157925+0.000122525j 0.000198305+0.000294918j -0.001209-0.000189082j 0.000283424-0.000374851j -0.000212816+0.000167197j -0.000290825+0.00096586j -0.000862587+0.00105302j -0.000332112+0.000722821j -0.000588208-7.07542e-05j -0.000157819+0.00169655j 0.000133297-0.000271786j 0.000556798-0.00349647j 0.00100436-2.55772e-05j -0.0015598-0.000204269j 5.63736e-05+0.000934471j -5.78132e-05+0.00195358j -2.60416e-05-0.000158049j -0.000702511-0.000118269j -0.00018679+6.03399e-05j 0.000640511-0.00294561j -0.000860073-0.00148439j 0.000707282-0.00078746j 
0.000476916-0.000920926j -0.000316918-0.000214836j 0.000153509+0.000232577j 0.000569101+0.000956228j 0.000403578+0.000972993j 0.000102981-0.000595071j -0.00395154+0.000556035j -0.00405387+0.0148498j 0.0059504+0.00376019j -0.00618998+0.00888167j -0.024254+0.0156025j -0.0131413-0.0142424j 0.00561114-0.010811j 0.00339702+0.0177542j 0.0155708-0.000585156j -0.01848-0.00569476j 0.0184624+0.00764526j 0.00102401+0.00874107j 0.0101583+0.00484983j -0.00429807-0.00546222j 0.000534026-0.00339722j -0.000234815+0.00140242j -0.000464212+0.0025006j 0.000967973+0.000307051j 0.00124687+0.000666357j 0.000614088-0.000471685j -0.000319366+0.00113745j 0.000728844+0.00115649j -0.000573882+0.00237628j 0.00311716-0.000137448j 0.00134617-0.000759274j -0.00171243+0.000355434j 0.00156742+0.00073535j -0.00042113-0.00140239j 0.000446307+0.00303771j -0.00159829-0.000561385j 0.000654921+0.000718741j -0.000191396-0.00114285j -0.00208405-0.00144429j 0.000653173-0.00175281j 0.00265742-0.000931135j 0.00119542-0.00483903j 0.0020439-0.00201703j 0.00110528+0.000969093j 0.000807229+0.00197932j -0.000626946-0.000167562j -0.00021545+0.000658909j 0.000597324-0.00198399j -0.000883915+0.00168793j -5.50267e-05-6.37634e-05j -0.00172796+0.00159384j -0.00238457+0.00243112j -0.000500987+0.000861963j -0.000225445-0.000445515j -6.51431e-06+0.00108119j -0.000528203+0.000272658j -0.000604503+0.00102022j 0.000484916-7.78006e-05j 0.000596699-0.00112736j -0.000140744+7.72673e-06j 4.161e-05+0.000334647j 0.000135074-0.000185145j -6.81484e-05+6.61357e-05j 0.000168416-2.88645e-05j 0.000101761-9.54231e-05j -4.41019e-05+5.89616e-05j -0.00040305+0.000233885j 0.00188927-0.00099402j -0.000178754+0.000147692j -0.000478161+0.000308841j -0.000356451+0.000439861j 6.61666e-05+3.45197e-05j 0.00105024-0.000917884j -0.00134121-0.000255678j 4.59006e-05-0.00124515j 0.000700775-0.000291028j -3.68389e-05-0.000299451j 0.000130385-0.00018432j -4.0819e-05+0.000224322j -0.000167194-5.71055e-06j 5.18829e-05-0.000373545j -0.000225106+0.000152755j 2.02689e-05-0.000205826j -5.27386e-06+5.38664e-05j -3.97536e-06+4.4023e-05j 3.94168e-05+2.28288e-05j -1.37008e-05+0.000228756j 3.34279e-05-2.90254e-05j -1.12633e-05+0.000104011j 1.20215e-05-6.88168e-05j -3.55592e-05-0.000110516j 4.30201e-05-3.56747e-05j 
-0.00137105-0.0052584j 0.00222565+0.00979926j -0.00199745+0.00151364j -0.00287995+0.000433193j 0.00246754-0.0129572j -0.00166344+0.00145014j -4.49509e-05+0.00544373j -0.00664081+0.00194725j -0.00182669-0.00551804j 0.00822824+0.0286326j 0.000665904-0.00385931j -0.00405547+0.00464702j -0.00107495-0.000438366j -0.00586576-0.000169952j 0.00561029+0.012152j 0.000945721+0.0107272j -0.00543322+0.0104361j 0.0134555-0.00937986j 0.00342205+0.00667307j -0.00184808-0.000303734j 0.00949765-0.00873971j -0.000781535+0.0110108j -0.00347759-0.00355006j -0.000639667-0.00112575j 0.000451321+0.00349179j 0.000307429+0.00120254j 0.000513135-0.00106066j 0.00256612+0.00108445j 0.000262438+0.00102668j 0.000401234-0.00199457j 0.00283149+0.00153198j -0.000865961+0.000415593j -2.7442e-05+0.000690914j 0.000664681+0.000754051j 0.00127231-0.000181058j -0.000243333-5.84156e-05j 0.000244834+0.000641279j -0.000241475+0.000631919j -0.000921383+0.00066746j -0.0002817+3.54249e-05j -0.00214678+0.000376836j -0.000119532+0.000377299j 0.000788453+0.000102868j -0.00100077+0.00078191j -0.0029248+0.00171947j -0.00208513+0.000685919j -0.000107215-0.000749977j 0.00134982+0.000119401j 0.00286229-0.000576686j -0.00119852-0.000338437j -0.00111297+0.00130016j 0.00104815+0.00124468j -0.000677576+0.00144406j 0.00227361-0.00202529j 3.79963e-07-0.000956163j -0.00173351+0.00136881j -0.00129345+0.000259701j 0.00229781+0.00155729j 1.94719e-05+6.72747e-05j -0.00143439+0.00029568j 0.000634145-0.000678285j -0.000236301+0.000307868j 0.000403084+7.40091e-05j 0.000978093-0.000776388j 9.75721e-05-0.000666222j -0.000445916-0.000152386j 7.84263e-05+0.000101709j 0.000419709-1.04445e-05j -0.000592617+0.00013965j 1.55257e-06+0.000136861j -0.000842037+0.000166026j 0.000170218-0.000155229j -0.000307856+0.000343215j -0.000237222+0.000201639j -0.000684677+0.000339642j 0.000199552-0.000491711j -0.000653905+0.000602921j -0.000408836+0.00148577j 0.000275037+0.00064745j -0.000164705+0.000558185j 0.00072758-0.000685834j -0.000478681-0.000463672j 6.5297e-05+0.000122377j 3.11318e-05-0.00087383j -0.000352863+0.000867798j -0.000217428+0.000861507j -6.00483e-06+3.54132e-05j 0.000425325-0.000325058j -0.000109265+0.000303151j 0.000328169-0.000741349j 0.000149817-0.00112052j 0.000252539-3.55861e-05j 
-0.000737026-0.00245439j 0.00109145+0.0017895j -0.000466177+0.000861385j 0.000528536+0.0011265j -0.00162661-0.0015421j -0.0039514-0.00614334j -0.00261621-0.00347112j -0.00117349-0.00206825j 0.00186422-0.00118061j 0.00309695-0.000176654j -0.000596559-0.000147729j -0.000563042-0.0021023j -0.00378663-4.39672e-05j -0.00468732-0.00279401j 0.00383956+0.000333571j 0.00249836-0.00130585j -0.000310924-0.00135366j 0.00804268+0.00601893j 0.000347375-0.00143292j -0.001302+0.0026173j 0.00627763-0.00406935j -0.00542567-0.00793783j -0.00387129+0.00375944j -0.00306051-0.00189871j -0.00137376-0.00774223j -0.000962476-0.00363474j 0.000808185+0.00224878j -0.00107071-0.0108985j 0.000412081-0.005704j 0.00473607+0.0121441j -0.00328707-0.0110958j -0.00170016-3.64947e-06j -0.00178144+0.000369083j 0.0015857-0.00180846j -0.00200098-0.00962353j 0.0020054-0.00337503j 0.00102175+0.00357416j -0.000894004+0.00423642j 0.000593468-0.003043j -0.000994529-0.00148633j 0.000115754-0.00484722j -2.44721e-06+0.00316187j -0.00176485-0.00694841j -0.00129417-0.00703946j 0.000165291-0.00524736j 0.0024529-0.00610036j -0.0012421-0.00161748j 0.000638953-0.0162012j 0.00154606+0.00889121j -0.00220311+0.00764601j 7.05403e-05-0.00610655j 0.000936843-0.00486756j 0.00316352-0.0026936j -0.00668136+0.00215849j -0.00735818+0.00441231j 0.00354543-0.00936568j -0.00558216+0.000412696j 0.0043652-0.0114507j -0.00577064+0.00457543j -0.00107541+0.00283639j 0.00164971-0.00109297j 0.000471373-0.000194087j -4.34242e-06+7.89461e-05j 0.000718242-5.93324e-06j -0.000827117+0.000738056j -0.000393173-0.000387779j -0.00105414+6.60907e-05j -0.000693703-0.000326149j 0.00142417+0.000425112j -0.000194973+1.09271e-05j 0.00190108+0.00137585j -0.00145433-0.0002737j 0.00118613+0.00108287j -0.000335914+0.000309777j 0.000321704+0.000831659j 0.00101068+0.000135956j 0.000116053+0.00168349j -6.74753e-05-0.00104046j 0.00177618-0.00142607j 0.000723552-0.00468194j 0.000801994+0.00102055j 0.000930879+0.00326861j -0.00105931-6.84485e-05j 0.00299013-0.00395823j -0.00158531+0.0013684j -0.00198657+0.00130014j 0.000183233-8.48411e-05j 0.00125127-0.00106773j -0.000287719-0.000834195j 0.00214148+0.00102848j 0.00287461-0.00323406j 0.000341299+0.00188058j 
-0.000693364-0.00025379j -0.000115214-0.000619085j -0.0029281-0.000380524j 0.00194493+0.00102687j 0.000376072-0.000285798j 0.00155243+0.00237253j 0.00133791+0.00112221j 0.000341211-9.28145e-05j 0.00230253+0.00137554j -0.00209699-0.00153434j -0.000212121-0.000445642j 0.000309646+0.00100527j -0.00248128+0.000268669j -0.00232424+0.000752342j -0.00189135+0.000857489j 0.00309526+0.000813064j 0.0041803-0.000153957j -5.54016e-05-0.000361925j -0.00385373-0.00176429j -0.00045389-0.00223311j -0.0017383+0.000840228j 0.00142342+0.00365321j 0.00114698-0.00195829j 0.000723372+0.00193983j 0.000155598+0.00245274j 1.30205e-05+0.00299783j 6.11864e-05+0.00930185j 0.000766293+0.00299012j 0.000189087+0.000230129j -0.00244071-0.00173721j 0.000793096+0.00259782j -0.000653915+0.00379035j 0.00174833+0.00683496j 0.000561311-0.00547086j -0.0019892-0.00765328j 0.000234366+0.00948958j 0.00379211+0.0235581j -0.000398492+0.00631493j -0.000700713-0.00122608j -0.000263412+0.00128883j -0.000286463-0.0107066j 0.000252543+0.00721359j 0.00177385+0.00196157j -0.00142384-0.00522975j -0.00300544+0.0173322j 0.00284871-0.0213596j 0.00222533+0.00263391j 0.00131608-0.0050105j -0.00117211+0.00348176j 0.00117183-7.13607e-05j -0.00150556+0.00458621j -0.000238474-0.00155937j -0.000210167+0.00659375j 0.00153496-0.00249952j 0.00166791-0.00180837j -0.0029072+0.0088771j 0.00171495+0.0052294j -0.000323584+0.000188549j 0.00050332-6.96784e-05j 0.000326047-0.00124791j -0.000665164+0.000360283j 0.000569574+2.24525e-05j -0.00153838+0.00121689j 0.000663329-0.000961972j -0.00194923+0.00146631j 0.000255888-0.000234024j -0.00427765+0.000662584j -0.000876607+0.000399328j -0.000796328+6.56046e-05j 0.00034544+3.67367e-05j -0.000899087-0.000264849j -0.00487884+9.31853e-05j -0.00135523-0.000598051j -0.000548645-0.000360144j -9.60782e-05+0.00046387j 0.00238037-0.00186463j -0.000237638-0.000160591j 0.000133796-0.000890725j 0.00171318-0.000642778j -0.00068744+0.00221714j -0.00151487-0.000276074j 0.000274389-0.000540266j 0.000214334+0.00043582j -0.000764575+0.000845407j 0.000498949-0.000209164j 0.000452468-0.000731836j 0.000329376-0.000455721j -0.000156251-0.000460036j 0.000296681-6.19407e-05j -0.000323806-0.000396834j -0.000755902+0.000789845j -5.5384e-05-0.000492338j 
0.0010956+0.000983432j -0.00018421+0.00055211j 0.00250478-8.80018e-06j -0.00210897-0.000843914j 0.000636959+0.000463007j 3.16039e-05+0.000496637j -0.000656907-0.000762959j 0.00155392+0.000793912j -0.000797773+0.000131721j 0.00119006-0.00123476j -0.00177696-0.000195417j 0.00412863+0.000867105j -0.0039599-0.000649861j 0.000979073+8.572e-05j -0.000508785-0.0002929j -0.00162934-0.000339302j -0.00129748-0.00104978j 0.000544277+0.000310821j 0.000813187-0.000465151j -0.000193864-0.000202492j -0.000164974+0.000823339j 0.000239203+0.00214629j 0.000243776-0.000812421j -5.84528e-06-0.00471316j 0.00014541-0.00423611j 5.06261e-05-0.00600491j 0.00031318-0.000223748j -0.000477901+0.00504505j -0.000819449-0.00168896j -0.001439-0.00603168j 0.000602528+0.0011162j 0.00031581+0.00371722j 0.000787369+0.000958186j 0.00344974+0.0260652j -0.00213874-0.00936407j 0.000882812-0.00925523j 0.00115042+0.00373813j 0.000460139+0.00998842j 0.000223543-0.0106595j -0.000740957-0.00311739j -0.000236959-0.00359776j -0.000736889-0.00229445j 0.00193428-0.00902312j -0.00380842+0.0266258j -0.000850262+0.000610703j 0.0024982-0.00472016j 0.000365362-0.00408686j 0.00123231-0.00154478j -0.000531991+0.00397566j 0.000132228+0.000521857j -6.10079e-05+0.0018644j -0.00100725-0.00142705j -0.000818413-0.00444823j 0.00123516-0.00570704j -0.000615322+0.00409912j -0.00131179+0.00340346j -3.54477e-06+0.00121889j 0.000408251-0.000258737j -3.11648e-06+5.0767e-05j 6.07301e-05-0.000399436j -0.000187067+0.00044437j -0.00035329-0.00010987j 0.000902805-0.0010758j -0.00040789+0.000624681j 0.00181341-0.00140939j -5.06152e-05+5.24836e-06j 0.00350974-0.000939387j 0.00110836-0.000300743j 0.000118797-0.000152017j -0.000376561+0.000253395j 0.000104982-9.61482e-05j 0.00412565-0.000360759j 0.00102515-0.000402718j 0.000168917+0.000787026j -0.000315145-0.000339563j -0.00163482+0.000858675j -6.5949e-05-0.000611708j -0.00013758+0.000918697j -0.00130937+0.000981088j 0.000127499+1.17972e-05j 0.000753294-0.000110456j -0.000488107-7.49184e-05j 6.21039e-05-2.06956e-05j -0.000134782+0.000220789j 4.10828e-05-0.000163159j 0.000162497+3.51316e-05j -0.000245596+0.000411441j -8.65225e-05+0.000438777j -8.77356e-05+0.000224573j -0.000304647+7.4012e-05j -0.000183087+0.000276841j -5.69112e-05-0.000113486j 
0.00435455+0.00182062j -0.00181264+0.00435365j -0.00113817-0.00159696j 0.000521775-0.00215139j -0.0003564-0.00232413j 0.00747551+0.00152721j 0.00366733-0.00232018j 0.00950492-0.00135386j 0.00379005+0.000363522j 0.00188682-0.000423338j 0.00346601+0.000754356j -0.000900388-0.000246362j 0.0119225-0.00683065j 0.00536337+8.97081e-05j 0.0062503-0.00662525j -0.00066347+0.0030627j -0.00897578+0.00610947j -0.00674248+0.00175872j 0.0179954+0.0035656j 0.0177344+0.0068832j 0.00373522+0.00744675j -0.00074087-0.000187205j -0.000859587-0.00421865j 0.000443423-0.00442567j -0.00200955-0.00610166j 0.000528565+0.00240578j -0.00233722-0.00865635j 0.000416261-0.00600251j -0.000365621-0.0011278j 0.000969431+0.00112926j 0.000618499+0.00604965j -0.000676185+0.000550127j -5.55132e-05-0.000109847j -0.000387122-0.00319926j -0.00145899-0.00208958j -0.000896113-0.00802778j 0.000898391+0.00826967j 0.0009516+0.00221206j 0.00293968+0.00745523j -0.00111285+0.00342927j -8.31318e-05-0.00127844j -0.000820323+0.000656693j -0.0027706+0.00502566j -0.000209655-0.00114389j 0.0028877+0.00056202j 0.00273146-0.000952839j -0.00609774-0.00163498j -0.00171133-0.00905343j 0.00461722+0.000226793j 0.00107134-0.00214831j -0.0034474+0.00505757j 0.00277057+0.00072698j 0.00243409-0.00256409j 0.00431123+0.00587339j -0.00206263+0.00498339j 0.00543249-0.00135033j 0.000763699-0.0137896j 0.00322961+0.00667271j 0.0120843-0.00755176j 0.0011887-0.00164293j -0.00218009+0.00250932j -0.000689417-8.77686e-05j 0.000718935+0.000507704j -0.000931869+0.000692002j 0.000337883-0.00178657j -0.00022751-0.0023667j -0.00142336+0.000770854j 0.000656587+0.000498184j 0.000283332+0.000309062j 0.000794962-0.000811183j -0.000681494+0.00094286j -0.000907779+0.000173139j 0.000853654-1.92878e-05j 0.00138753-0.000706191j 0.00295886-0.000757101j -0.000131919-0.000861924j 0.00464498-0.000163478j -0.00146433+0.0030085j -0.00230162+0.000419855j 0.00198298-0.00242983j 0.00417092-0.00100978j -0.00757713-0.00132621j 3.61713e-05-0.00454774j 0.00124951+0.00417178j 0.00103467-0.000155341j 0.00120521-0.00113203j -0.000710172-0.000170416j 0.00188185+0.0028522j -0.00139258+0.00291276j -0.00427217+0.00369414j 0.000998796+0.00248398j -0.00147833+0.000223122j 
-0.00194488+0.00256516j -0.00259119-0.00328534j 0.000422449-0.000254327j 0.00235448-0.000775569j 0.00171027+0.00532897j -0.00702614+0.00489324j -0.00327438+0.00390558j -0.00342942+0.00404501j -0.00704608+0.000500937j -0.0013998+0.00587617j 0.0101017-0.000589876j -0.00665806-0.000822741j 0.00984826+0.00146783j 0.00586605+0.00128171j 0.00507914+0.00681715j -0.00787888+0.00167533j -0.00730811-0.00059176j -0.0180417-0.00499629j 0.00669135+0.0062943j -0.00557238+0.0110991j 0.00126307-0.00501137j 0.00311519-0.00636401j 0.000983594-0.00132979j -0.00125518-0.00414475j -0.00394068+0.00466342j -0.00149701+0.000158794j -0.00121323-0.00304679j -0.00187925+0.000375003j 0.00197173-0.00110144j 0.00194952+0.00133601j 0.00285399-0.0107714j 0.00682523+0.00237244j -0.00208715+0.0030602j 0.00118926+0.00524557j 0.00565999+0.00257859j -0.00103583+0.00671938j 0.00397452+0.0020159j 0.00286917-0.00747123j 0.000418435-0.00584001j 0.00954521+0.00325841j 0.00658282-0.00122897j -0.00151946+0.0039885j -0.00304246+0.00502186j 0.000554811+0.00233333j 0.00252829+0.0054206j -0.00167074-0.00506861j 0.00274218-0.00236893j 0.00623996-0.00602151j -0.0014563-0.00127337j 0.0017272-0.00650854j 0.0090148-0.00108614j 0.000491074-0.00240426j 0.00196827-0.0043936j 0.00370334+0.00273839j 0.0108683+3.90656e-05j 0.00469739-0.00994685j -0.00133407-0.0036854j -0.0145132+0.000266928j 0.00426013+0.00666465j -0.00217581+0.00413815j 0.00394151-0.00134681j -0.000861783-0.000484477j -6.58287e-05-0.0023536j -0.000785063-0.00116021j -0.000857557-0.000349614j -0.000752471+0.00254653j -0.000932047+0.00100129j 0.000959823+0.000279618j -0.000807286+0.000267168j -0.00109128+0.000237364j -0.00138458-0.000290411j -0.000469829+0.00152879j -0.00339496-0.00200728j 0.000829051+1.0192e-05j 0.000607911+0.000425181j -0.00291878+0.00324116j -0.00101708+0.000452787j 0.00206125-0.000901805j -0.00477125-0.00227469j 0.000220297+0.00134178j -0.00274939+0.00112856j 0.00533994-0.00395539j 0.00122882+0.00149499j -0.00474698+4.39353e-05j 0.00116037-0.000679625j 0.000906942+0.00281952j -0.000177156-0.000686926j -0.00443039-3.32978e-05j 0.000996176-0.00108089j 0.00169249-0.00469854j -0.0036955-0.000470647j 0.00115164-0.00188911j 
-0.000754554+0.0011962j 0.00153383+0.000634808j 0.000261042-0.000581835j -0.0014611-0.00069263j -0.00170001+0.000430917j 0.0019512+0.00424051j -0.00376958+0.00250072j 0.00197526-0.000118434j 0.00418092+0.00248885j 0.00349051+4.83366e-06j -0.00105093-0.00514078j -0.0144664+0.00206206j 0.00114224-0.00649566j -0.0110126-0.00179728j -0.00660152+0.000396366j 0.00366409+0.00704859j 0.000870497+0.00375211j -0.0117073+0.0100724j -0.00223123-0.00620185j -0.00017999+0.00575729j 0.00383333-0.00190871j 0.00134276-0.00369347j 0.00298635-1.31697e-07j 0.00102033-6.48e-05j -0.00447216+0.00125558j 0.000141889+0.000463436j 0.00555466+0.00658924j 0.000645913+0.00542657j 0.00351051+0.00140875j 0.000206541-0.00286266j 0.00916166+9.32176e-05j -0.00588549-0.00478778j -0.00380561-0.00274083j -0.0025011-0.00417082j -0.00782907-0.0050143j 5.29343e-05+5.2305e-05j -0.00397971-0.0058047j 0.00032245+0.00241983j 0.00106126+0.000106498j -0.0125006-0.0111871j -0.00148988-0.00131876j 0.00180613+0.000154596j -0.00146338-0.00103264j -0.000724253-0.00246933j 0.000790898-0.00427409j -0.000772513+0.00577231j -0.00312074+0.00201238j -0.00151551+0.00354609j 0.0009667+0.00503314j -0.00352296+0.00417278j -0.0012497-0.000757392j 0.00229195-0.000341625j -0.000295203+0.00111321j 0.00373513-0.00532051j -0.000147228+0.000365356j 0.00310269+0.00639039j 0.00072905+0.00655683j -0.00386216-0.00397159j 0.00152382+0.00401898j -0.000925583-0.000320955j 0.000176332+9.95554e-05j -0.00108366-0.00171281j 0.00069572+0.000729922j -0.000752209-0.000214988j 0.000891086+0.000312971j -0.000863878-0.000628651j 0.000318033-0.000910594j 0.000875321+0.000676883j -0.000776192+0.000336976j 0.000377065-0.000395375j -0.00109577-0.00061205j 0.00082247-0.000492223j 0.000121583+1.25413e-05j -0.00101782+0.00190958j -0.00143855+0.00145484j 0.000262452-0.00107555j -0.000435507-0.00145281j 0.00137925-0.000526955j -0.0001968-0.000994939j 0.000146631+0.00184083j -0.00178059+0.0012333j 0.00203563+0.000925368j 0.000120648+0.00217471j -0.00163193-0.00156208j 0.000801066+0.000279149j -0.000361426+0.000113165j 0.000236166+4.45039e-06j -0.00158282-0.00178482j 0.000809894-0.00106468j 0.00160955-0.000966374j -0.000961299-0.000989853j 0.000655181+9.51938e-05j 
