-0.168967-0j -0.182505-0j 0.565694-0j 0.565694-0j -0.129051-0j -0.158054-0j -0.10537-0j -0.0912527-0j -0.0912527-0j -0.129051-0j -0.0645254-0j -0.0526848-0j -0.0645254-0j -0.0288566-0j -0.00629703-0j 
0.188911-0j -1.28211e-05-0j 0.158054-0j -0.158074-0j -0.432995-0j 3.33213e-05-0j -7.40225e-06-0j 0.612404-0j 0.102024-0j -0.144301-0j -4.53293e-06-0j -0.176725-0j -0.144297-0j -0.129061-0j -0.0422449-0j 
0.154245-0j 0.166604-0j -0.129083-0j 0.129051-0j -0.23568-0j -0.144319-0j -0.481053-0j 0.0833019-0j 0.500037-0j 0.235739-0j -0.294561-0j -0.096216-0j -0.17674-0j -0.026349-0j 0.00574838-0j 
-0.154245-0j 0.166625-0j -0.129051-0j 0.129051-0j 0.23568-0j 0.144301-0j -0.481113-0j -0.0833333-0j 0.166651-0j -0.23568-0j 0.0589108-0j 0.481177-0j -0.0589256-0j -0.289816-0j -0.166728-0j 
-0.13358-0j 9.06586e-06-0j 0.33534-0j 0.111775-0j -0.102024-0j -2.35578e-05-0j 5.23418e-06-0j 0.144297-0j -0.0722141-0j -0.306161-0j 4.1683e-05-0j 0.124963-0j 0.102136-0j -0.273825-0j 0.0298716-0j 
0.109068-0j -0.235636-0j -0.0912756-0j 0.0912871-0j 0.0833019-0j 0.204118-0j -0.136044-0j 0.235647-0j -0.17674-0j -0.0833543-0j 0.416612-0j 0.0339822-0j -0.499966-0j 0.26093-0j -0.422833-0j 
-0.0344903-0j 0.149027-0j -0.0288566-0j -0.317477-0j -0.0263424-0j 0.129061-0j 0.0860406-0j 0.260864-0j -0.0186269-0j -0.289816-0j 0.0526889-0j 0.204344-0j 0.184459-0j -0.329998-0j 0.0438074-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
