-0.17671-0j -0.188911-0j -0.144283-0j -0.144283-0j -0.129051-0j 0.618663-0j -0.158054-0j -0.0912527-0j 0.432995-0j 0.265154-0j -0.0833019-0j 0.374984-0j -0.0833019-0j 0.153087-0j -0.102024-0j -0.0255059-0j -0.0833019-0j -0.0510118-0j -0.0263424-0j -0.0360708-0j -0.0131712-0j -0.00248912-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.204047-0j -1.37063e-05-0j 0.166604-0j -0.166625-0j -0.298114-0j 0.102024-0j -1.14675e-05-0j -0.210759-0j 2.09426e-05-0j 0.102024-0j -0.481053-0j -0.144301-0j 0.481113-0j -0.176725-0j 1.48087e-05-0j 0.0294517-0j 0.3849-0j -0.0589108-0j 0.243428-0j -0.124963-0j -0.0760496-0j -0.0201208-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.124953-0j 0.13358-0j -0.306122-0j 0.102024-0j 0.0912527-0j 0.0624764-0j -0.33534-0j 0.0645254-0j 0.102024-0j 0.0625393-0j -0.17674-0j -0.26511-0j 0.0589034-0j 0.0360708-0j 0.0722141-0j 0.595349-0j -0.17674-0j 0.469083-0j 0.0186269-0j 0.0255315-0j -0.027945-0j 0.00176007-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.17671-0j 0.188935-0j 0.144319-0j 0.144283-0j -0.129051-0j -0.088355-0j -0.158114-0j -0.0912871-0j 0.144301-0j 0.26511-0j 0.0833229-0j -0.124984-0j 0.0833019-0j -0.25511-0j -0.306161-0j 0.178567-0j 0.0833543-0j -0.255097-0j -0.289816-0j 0.541261-0j 0.250355-0j -0.102069-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0721416-0j -0.231387-0j 0.0589034-0j 0.294576-0j 0.0526848-0j 0.0360708-0j -0.193592-0j 0.0372257-0j -0.176725-0j 0.0360708-0j 0.0340079-0j 0.25511-0j 0.170074-0j -0.312466-0j -0.124963-0j 0.0104127-0j 0.0339822-0j 0.104148-0j -0.204344-0j -0.220947-0j 0.199067-0j 0.651584-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.149006-0j -0.158044-0j -0.11947-0j -0.11947-0j -0.105363-0j 0.399981-0j -0.129043-0j -0.0745028-0j 0.461858-0j -0.0790222-0j 0.282829-0j 0.399981-0j -0.091247-0j 0.163292-0j -0.035121-0j -0.091247-0j -0.0790222-0j -0.0745028-0j -0.0645213-0j -0.0372514-0j -0.0430142-0j -0.0204034-0j -0.0645213-0j -0.0228117-0j -0.0372514-0j -0.0263407-0j -0.00961827-0j -0.0144274-0j -0.0044524-0j -0.000742066-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.166593-0j -1.11027e-05-0j 0.133572-0j -0.133589-0j 0.117799-0j -0.335375-0j -9.06529e-06-0j -0.166609-0j -8.10825e-06-0j 3.88705e-05-0j 0.0790222-0j -0.111768-0j -0.306154-0j -0.136882-0j 0.0392664-0j 0.306193-0j 1.66596e-05-0j -5.23385e-06-0j 0.433008-0j 0.0416483-0j -0.0961918-0j 0.273854-0j -0.0721461-0j -1.60253e-06-0j -0.124956-0j -0.0589052-0j -0.0537718-0j -0.0645264-0j -0.0298698-0j -0.00663771-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.136023-0j 0.144274-0j -0.109088-0j 0.109061-0j -0.19242-0j 0.091247-0j -0.117829-0j 0.0680115-0j -0.210785-0j 0.072137-0j -0.193596-0j -0.0912699-0j 0.166682-0j 0.0372514-0j -0.256542-0j -0.16664-0j -0.216447-0j 0.34022-0j -0.0589145-0j 0.340205-0j -0.196377-0j 0.0186257-0j 0.353557-0j -0.14579-0j 0.0680478-0j -0.120247-0j -0.0175654-0j -0.0395177-0j -0.00406548-0j 0.00067741-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.136023-0j 0.144292-0j -0.109061-0j 0.109061-0j 0.19242-0j -0.091247-0j 0.117814-0j -0.0680371-0j -0.210812-0j 0.0721461-0j -0.0645213-0j 0.091247-0j 0.16664-0j -0.186295-0j 0.256542-0j -0.16664-0j 0.0721461-0j -0.340177-0j -0.0589219-0j 0.0680307-0j 0.196451-0j -0.204918-0j -0.117833-0j 0.0208268-0j 0.340222-0j -0.0240547-0j 0.333797-0j -0.144899-0j -0.117887-0j -0.0372629-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.117799-0j 7.85077e-06-0j 0.283396-0j 0.0944614-0j -0.0832967-0j -0.0790222-0j -1.92336e-05-0j 0.11781-0j 5.7334e-06-0j 3.92539e-06-0j -0.0559333-0j -0.237136-0j 0.216447-0j 0.0967901-0j -0.0277656-0j 0.0721461-0j 3.92933e-06-0j -1.11045e-05-0j -0.306132-0j -0.382981-0j 0.0680179-0j 0.0645264-0j 0.0510663-0j 3.74057e-05-0j -0.265115-0j 0.541668-0j 0.0380224-0j 0.0456729-0j -0.063374-0j 0.00469357-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0961827-0j -0.204054-0j -0.0771371-0j 0.0771468-0j 0.0680115-0j 0.0645213-0j 0.166651-0j 0.192393-0j -0.14902-0j -0.102027-0j -0.136893-0j -0.0645619-0j -0.0589145-0j 0.0263209-0j 0.0226705-0j 0.0589219-0j 0.306132-0j 0.096216-0j -0.166659-0j -0.120247-0j 0.111078-0j -0.184447-0j -0.125013-0j 0.206198-0j -0.0240336-0j -0.340157-0j -0.29188-0j 0.391337-0j 0.299044-0j -0.15044-0j 
