-0.0044056-0j -0.000778808-0j -6.49007e-05-0j -0.00383076-0j -0.00063846-0j -0.000390975-0j -7.98074e-05-0j -4.7027e-06-0j -0.00240761-0j -0.00243256-0j -0.000388526-0j -0.000392552-0j -0.00031723-0j -0.000320518-0j -4.57882e-05-0j -3.96538e-05-0j -4.62628e-05-0j -4.00647e-05-0j -4.67324e-06-0j -4.72167e-06-0j -2.13303e-07-0j -2.15514e-07-0j -0.00178329-0j -0.0022067-0j -0.00128724-0j -0.000281962-0j -0.00034891-0j -0.000222911-0j -0.000203531-0j -0.000148607-0j -3.21744e-05-0j -0.000275838-0j -0.000183892-0j -3.71518e-05-0j -0.000160905-0j -3.98138e-05-0j -1.31351e-05-0j -0.00010727-0j -3.09598e-06-0j -2.32247e-05-0j -3.28378e-06-0j -4.5973e-05-0j -1.62539e-05-0j -2.68176e-05-0j -3.83108e-06-0j -2.73649e-07-0j -9.48144e-06-0j -4.06348e-06-0j -2.2348e-06-0j -1.01983e-08-0j -3.38623e-07-0j -2.37036e-06-0j -1.26197e-08-0j -1.9753e-07-0j -7.36151e-09-0j 
0.000686844-0j -0.00574338-0j -0.00145608-0j 0.000597224-0j -0.00470837-0j 6.09539e-05-0j -0.00118953-0j -0.000140921-0j 0.000375352-0j 0.000379242-0j -0.00286522-0j -0.00289491-0j 4.9457e-05-0j 4.99695e-05-0j -0.000682477-0j -0.00029243-0j -0.000689549-0j -0.00029546-0j -0.000104847-0j -0.000105933-0j -7.99813e-06-0j -8.08102e-06-0j -0.0828675-0j -0.102543-0j -0.0598169-0j -0.00207935-0j -0.00257307-0j 3.47523e-05-0j -0.00150096-0j 2.31682e-05-0j -0.000479561-0j 4.30038e-05-0j 2.86692e-05-0j -0.000273979-0j 2.50855e-05-0j -0.000593427-0j 2.0478e-06-0j 1.67237e-05-0j -6.946e-05-0j -0.000346166-0j -4.8945e-05-0j -0.000339031-0j 2.53402e-06-0j -0.000197768-0j -8.59524e-05-0j -8.20016e-06-0j 1.47818e-06-0j -6.05664e-05-0j -5.01389e-05-0j -4.59198e-07-0j -1.01472e-05-0j -3.53304e-05-0j -5.68229e-07-0j -5.91919e-06-0j -3.31467e-07-0j 
0.000532027-0j -0.00904892-0j 7.8375e-06-0j 0.000462608-0j 7.71013e-05-0j -0.00913265-0j -0.000927278-0j 5.67905e-07-0j -0.0717154-0j -0.0724585-0j 4.6919e-05-0j 4.74052e-05-0j -0.00368588-0j -0.00372408-0j 5.52946e-06-0j -0.000926259-0j 5.58676e-06-0j -0.000935858-0j -5.42981e-05-0j -5.48608e-05-0j 2.57588e-08-0j 2.60258e-08-0j 0.000215352-0j 0.000266485-0j 0.000155449-0j -0.0083988-0j -0.010393-0j -0.00258999-0j -0.00606257-0j 1.7946e-05-0j 3.88543e-06-0j -0.00320494-0j 2.22071e-05-0j -0.000431664-0j -0.00186955-0j 4.80797e-06-0j -0.000461022-0j 1.29541e-05-0j 3.73875e-07-0j 2.80465e-06-0j -7.67048e-05-0j -0.000534157-0j -0.000570485-0j -0.000311592-0j 4.62647e-07-0j -3.17951e-06-0j -0.000332783-0j -9.49173e-05-0j 2.69877e-07-0j 1.23156e-09-0j -3.93444e-06-0j -5.53684e-05-0j 1.52398e-09-0j -2.29509e-06-0j 8.88987e-10-0j 
-7.67915e-05-0j 0.00129783-0j -0.0155094-0j -6.67717e-05-0j 0.00106395-0j -6.81486e-06-0j -0.00622376-0j -0.00226337-0j 0.0103512-0j 0.0104585-0j 0.000647454-0j 0.000654164-0j -5.52946e-06-0j -5.58676e-06-0j -0.00357079-0j 6.60805e-05-0j -0.00360779-0j 6.67653e-05-0j -0.00111677-0j -0.00112834-0j -0.000171698-0j -0.000173478-0j -3.10834e-05-0j -3.84638e-05-0j -2.24372e-05-0j -0.115898-0j -0.143417-0j -3.88543e-06-0j -0.0836599-0j -2.59028e-06-0j -0.00250911-0j -4.80797e-06-0j -3.20531e-06-0j 6.19111e-05-0j -2.80465e-06-0j -0.00310487-0j -2.28951e-07-0j -1.86977e-06-0j -0.00073985-0j -0.00181117-0j -0.000256085-0j 7.66111e-05-0j -2.83312e-07-0j 4.46898e-05-0j -0.000915517-0j -0.000131705-0j -1.65266e-07-0j -0.000316889-0j -0.000534052-0j -1.23393e-05-0j -0.000162977-0j -0.000184852-0j -1.52691e-05-0j -9.50697e-05-0j -8.90699e-06-0j 
-0.0707819-0j 8.58555e-05-0j 7.15463e-06-0j -0.0827232-0j -0.0102577-0j 4.31009e-05-0j 8.79794e-06-0j 5.18424e-07-0j 0.000265414-0j 0.000268164-0j -0.00839002-0j -0.00847696-0j -0.00509673-0j -0.00514954-0j -0.000735649-0j 4.37142e-06-0j -0.000743273-0j 4.41672e-06-0j 5.15177e-07-0j 5.20515e-07-0j 2.35145e-08-0j 2.37582e-08-0j 0.000196589-0j 0.000243266-0j 0.000141905-0j 3.10834e-05-0j 3.84638e-05-0j -0.00481364-0j 2.24372e-05-0j -0.00479153-0j -0.000694789-0j -0.00595657-0j -0.00592921-0j -0.000596893-0j -0.00347467-0j -0.000859757-0j 1.44801e-06-0j -0.00345871-0j -4.97411e-05-0j -0.000501525-0j 3.62003e-07-0j -0.000738617-0j 1.79182e-06-0j -0.00043086-0j -6.15514e-05-0j 3.01669e-08-0j 1.04523e-06-0j 4.47956e-07-0j -3.5905e-05-0j 1.12426e-09-0j 3.73297e-08-0j 2.61308e-07-0j 1.39119e-09-0j 2.17756e-08-0j 8.1153e-10-0j 
-8.58555e-05-0j -0.0690742-0j 0.00018201-0j 0.0146235-0j 0.000588546-0j 0.00147377-0j -0.0143062-0j 1.76151e-05-0j -4.6919e-05-0j -4.74052e-05-0j -0.0701572-0j -0.0708843-0j 0.000594806-0j 0.00060097-0j 8.53096e-05-0j -0.00707052-0j 8.61936e-05-0j -0.00714379-0j -0.00126097-0j -0.00127403-0j 9.99767e-07-0j 1.01013e-06-0j -3.47523e-05-0j -4.30038e-05-0j -2.50855e-05-0j 0.000259919-0j 0.000321633-0j -0.0818722-0j 0.00018762-0j -2.89603e-06-0j -0.0117425-0j -0.101312-0j -3.58365e-06-0j -0.00329507-0j -0.0590985-0j -0.0145305-0j 7.43971e-05-0j -2.09046e-06-0j 8.6825e-06-0j -0.00847615-0j -0.00118342-0j -0.00407745-0j 9.20617e-05-0j -0.00237851-0j 1.07441e-05-0j -9.86213e-05-0j 5.37026e-05-0j -0.0014644-0j 6.26736e-06-0j 5.73998e-08-0j -0.000122038-0j -0.000854235-0j 7.10286e-08-0j -7.11886e-05-0j 4.14333e-08-0j 
0.0167407-0j 0.000478615-0j 0.00012134-0j -4.97687e-05-0j -0.114759-0j -5.0795e-06-0j 9.91279e-05-0j 1.17434e-05-0j -3.12793e-05-0j -3.16035e-05-0j 0.000238768-0j 0.000241242-0j 0.00120543-0j 0.00121792-0j -0.0166342-0j 2.43692e-05-0j -0.0168066-0j 2.46217e-05-0j 8.73723e-06-0j 8.82777e-06-0j 6.66511e-07-0j 6.73418e-07-0j -2.31682e-05-0j -2.86692e-05-0j -1.67237e-05-0j 0.000173279-0j 0.000214422-0j -2.89603e-06-0j 0.00012508-0j -0.0820142-0j 3.99634e-05-0j -3.58365e-06-0j -0.101487-0j -0.00667778-0j -2.09046e-06-0j 4.94522e-05-0j -1.7065e-07-0j -0.059201-0j -0.00169297-0j 2.88471e-05-0j 4.07875e-06-0j -0.00826333-0j -2.11169e-07-0j -0.00482028-0j -0.00209495-0j 6.83347e-07-0j -1.23182e-07-0j 5.0472e-06-0j -0.00122205-0j 3.82665e-08-0j 8.45599e-07-0j 2.9442e-06-0j 4.73524e-08-0j 4.93266e-07-0j 2.76222e-08-0j 
7.15463e-06-0j -0.00018201-0j -0.0668869-0j -0.00121863-0j -0.00014921-0j 6.34937e-07-0j 0.0017769-0j -0.0200191-0j 3.90992e-06-0j 3.95043e-06-0j 0.0177865-0j 0.0179708-0j 5.15177e-07-0j 5.20515e-07-0j 0.00101947-0j -9.26723e-06-0j 0.00103003-0j -9.36327e-06-0j -0.00481627-0j -0.00486618-0j -0.00229405-0j -0.00231782-0j 2.89603e-06-0j 3.58365e-06-0j 2.09046e-06-0j -6.58956e-05-0j -8.15416e-05-0j -7.09116e-05-0j -4.75659e-05-0j 2.41335e-07-0j -0.140325-0j -8.77486e-05-0j 2.98637e-07-0j -8.6825e-06-0j -5.11867e-05-0j -0.173643-0j 2.13312e-08-0j 1.74205e-07-0j -0.00319073-0j -0.101292-0j 7.31128e-05-0j -1.07441e-05-0j 2.63961e-08-0j -6.26736e-06-0j -0.00394833-0j -0.00116491-0j 1.53977e-08-0j 9.04725e-05-0j -0.00230319-0j -0.000220512-0j -0.0014415-0j 5.27756e-05-0j -0.00027287-0j -0.000840875-0j -0.000159174-0j 
0.00722415-0j 0.00169493-0j -7.30216e-07-0j -4.31009e-05-0j 0.00104692-0j -0.0814393-0j 0.000173686-0j -5.29114e-08-0j -2.70887e-05-0j -2.73694e-05-0j -4.37142e-06-0j -4.41672e-06-0j -0.100618-0j -0.101661-0j 7.50819e-05-0j -0.0082598-0j 7.586e-05-0j -0.0083454-0j 1.01704e-05-0j 1.02758e-05-0j -2.39994e-09-0j -2.42481e-09-0j -2.00643e-05-0j -2.48282e-05-0j -1.44831e-05-0j -3.17244e-06-0j -3.92569e-06-0j 0.000485124-0j -2.28999e-06-0j 0.000489033-0j -3.62003e-07-0j 0.00060031-0j 0.000605148-0j -0.0117837-0j 0.000350181-0j -4.47956e-07-0j -0.00829398-0j 0.000353003-0j 5.07668e-06-0j -2.61308e-07-0j -0.000684006-0j -0.0145815-0j -0.0102633-0j -0.00850589-0j 6.28207e-06-0j 5.95545e-07-0j -0.00598691-0j -0.000846414-0j 3.66454e-06-0j -1.14744e-10-0j 7.3695e-07-0j -0.000493741-0j -1.41988e-10-0j 4.29887e-07-0j -8.28265e-11-0j 
-0.00147462-0j 0.016453-0j 0.00204354-0j 8.79794e-06-0j 0.020431-0j -0.000173686-0j -0.0789006-0j 0.000298226-0j 5.52946e-06-0j 5.58676e-06-0j -8.53096e-05-0j -8.61936e-05-0j 0.0102162-0j 0.010322-0j -0.0685696-0j 0.00168415-0j -0.0692802-0j 0.00170161-0j -0.0141576-0j -0.0143043-0j 2.26232e-05-0j 2.28577e-05-0j 4.0956e-06-0j 5.06805e-06-0j 2.95636e-06-0j -6.19111e-05-0j -7.66111e-05-0j -4.92567e-05-0j -4.46898e-05-0j -9.98235e-05-0j 0.000330604-0j -6.09521e-05-0j -0.000123525-0j -0.114386-0j -3.55554e-05-0j 0.000409102-0j -8.76778e-06-0j -7.20564e-05-0j -0.0142073-0j 0.000238643-0j -0.00652668-0j -0.141546-0j -1.08496e-05-0j -0.0825685-0j -0.0175806-0j -0.00166966-0j -6.32892e-06-0j -0.00807636-0j -0.0102554-0j 1.62585e-06-0j -0.0020661-0j -0.00471121-0j 2.01188e-06-0j -0.00120523-0j 1.1736e-06-0j 
5.05908e-06-0j 0.0122953-0j -1.07251e-05-0j 4.39897e-06-0j -3.46804e-05-0j 0.0251966-0j 0.00254653-0j -1.03798e-06-0j 2.76473e-06-0j 2.79338e-06-0j -2.11043e-05-0j -2.1323e-05-0j -0.000105876-0j -0.000106974-0j -5.02692e-06-0j -0.120882-0j -5.07901e-06-0j -0.122135-0j 0.000224454-0j 0.00022678-0j -5.89118e-08-0j -5.95223e-08-0j 2.0478e-06-0j 2.53402e-06-0j 1.47818e-06-0j -1.53159e-05-0j -1.89524e-05-0j -7.43971e-05-0j -1.10556e-05-0j 1.7065e-07-0j -3.5323e-06-0j -9.20617e-05-0j 2.11169e-07-0j 0.000586528-0j -5.37026e-05-0j -4.371e-06-0j -0.0805928-0j 1.23182e-07-0j -5.11621e-07-0j -2.54975e-06-0j -0.0202324-0j 0.000725792-0j -0.0997285-0j 0.000423379-0j -6.33099e-07-0j 1.75547e-05-0j -0.058175-0j -0.0250364-0j -3.69308e-07-0j -3.38231e-09-0j 2.17229e-05-0j -0.0146045-0j -4.1854e-09-0j 1.26717e-05-0j -2.44148e-09-0j 
