-0.145742-0j 0.69912-0j 0.706365-0j -0.00857713-0j 0.117685-0j -0.0106137-0j -0.0061913-0j 0.145628-0j 0.0849494-0j -0.00606114-0j 0.0503913-0j -0.00707133-0j 0.0127764-0j -0.00433029-0j 0.0587899-0j -0.00618741-0j 0.0360013-0j -0.00255218-0j 0.0149058-0j 0.0514411-0j 0.0091279-0j 0.0212184-0j 0.0130426-0j 0.00537979-0j 
0.00205956-0j 0.0106137-0j -0.0102991-0j -0.582514-0j 0.000883916-0j -0.0142669-0j 0.815995-0j 2.16488e-05-0j -0.0012382-0j 0.00432757-0j -0.0727685-0j 9.99288e-05-0j 6.37511e-05-0j 0.00309176-0j -0.00168031-0j -0.00424285-0j -0.0519884-0j -0.00532239-0j 1.47209e-06-0j 0.071344-0j 4.5546e-05-0j 0.0894966-0j -6.2503e-05-0j -7.84062e-05-0j 
-0.000297271-0j 0.145628-0j -0.141312-0j -0.000883916-0j -0.564255-0j -2.16488e-05-0j 0.0012382-0j -0.0138197-0j 0.790417-0j -0.00062463-0j 0.0104966-0j -1.44235e-05-0j -0.124721-0j -0.000446257-0j 0.000242379-0j 0.000612402-0j 0.00749911-0j 0.000768221-0j -0.00287997-0j -0.0102911-0j -0.0891052-0j -0.0129095-0j 0.12228-0j 0.153392-0j 
0.0600399-0j -0.00588908-0j 0.00618741-0j 0.00353344-0j 0.000510008-0j -0.00420472-0j 0.00255057-0j -0.000606899-0j 0.000368144-0j -0.357742-0j 0.000441403-0j -0.417366-0j 3.67836e-05-0j 0.747146-0j 0.00051497-0j 0.351189-0j -0.000921871-0j -0.150635-0j 4.29142e-05-0j -0.000433317-0j -7.68226e-05-0j 0.000185862-0j -3.61098e-05-0j 1.54885e-05-0j 
0.0582608-0j -0.00618741-0j 0.00624663-0j -0.00357006-0j -0.000515294-0j 0.00424285-0j -0.00227703-0j 0.000612402-0j -0.000328661-0j 0.36145-0j -0.000445977-0j -0.404999-0j -3.71648e-05-0j 0.258232-0j 0.00049971-0j -0.368691-0j -0.000318621-0j 0.7135-0j 4.16425e-05-0j 0.000454912-0j -2.65518e-05-0j -0.000880357-0j 3.79093e-05-0j -7.33631e-05-0j 
-0.0106137-0j -0.0489608-0j 0.0514411-0j 0.0594153-0j 0.00857041-0j -0.0707028-0j 0.0428882-0j -0.0101986-0j 0.00618645-0j -0.000441403-0j -0.349069-0j -0.00051497-0j 0.000930443-0j 0.000921871-0j -0.407248-0j 0.000433317-0j 0.729032-0j -0.000185862-0j 0.00108552-0j 0.342675-0j -0.00194323-0j -0.146983-0j -0.000913399-0j 0.000391784-0j 
-0.0102991-0j -0.0514411-0j 0.0519335-0j -0.060031-0j -0.00865923-0j 0.071344-0j -0.0382885-0j 0.0102911-0j -0.00552297-0j 0.000445977-0j 0.352687-0j -0.00049971-0j -0.000940085-0j 0.000318621-0j -0.39518-0j -0.000454912-0j 0.251972-0j 0.000880357-0j 0.00105335-0j -0.359752-0j -0.000671629-0j 0.696202-0j 0.000958918-0j -0.00185572-0j 
0.000884471-0j 0.0124137-0j -0.0130426-0j 5.20525e-05-0j 0.101835-0j -6.19413e-05-0j 3.75735e-05-0j -0.121181-0j 0.0735081-0j 3.67836e-05-0j -0.000930443-0j 4.29142e-05-0j -0.337972-0j -7.68226e-05-0j -0.00108552-0j -3.61098e-05-0j 0.00194323-0j 1.54885e-05-0j -0.394301-0j 0.000913399-0j 0.705856-0j -0.000391784-0j 0.331781-0j -0.142311-0j 
0.000858262-0j 0.0130426-0j -0.0131674-0j -5.25919e-05-0j -0.10289-0j 6.2503e-05-0j -3.35438e-05-0j 0.12228-0j -0.0656245-0j -3.71648e-05-0j 0.000940085-0j 4.16425e-05-0j 0.341475-0j -2.65518e-05-0j -0.00105335-0j 3.79093e-05-0j 0.000671629-0j -7.33631e-05-0j -0.382617-0j -0.000958918-0j 0.243961-0j 0.00185572-0j -0.348316-0j 0.67407-0j 
0.042428-0j 0.00432757-0j 0.00437241-0j -0.00485487-0j -0.000700741-0j 0.00308982-0j 0.00180239-0j 0.000445977-0j 0.000260153-0j 0.0017645-0j 0.000311923-0j -0.00400255-0j 2.59936e-05-0j 0.00126062-0j -0.000707558-0j 0.00180126-0j 0.000222848-0j 0.000742983-0j -5.89631e-05-0j 0.000318421-0j 1.85707e-05-0j 0.000131342-0j 2.65351e-05-0j 1.09452e-05-0j 
-0.00103914-0j 0.00514971-0j 0.00519641-0j -0.00308982-0j -0.000445977-0j 7.27733e-05-0j 0.00432827-0j 1.05039e-05-0j 0.000624732-0j -0.00218346-0j -0.000385985-0j -5.04188e-05-0j -3.21654e-05-0j 0.00456016-0j -8.91286e-06-0j -0.00205861-0j 0.00080613-0j 0.0026854-0j -7.42738e-07-0j -0.000363915-0j 6.71775e-05-0j 0.000474715-0j -3.03262e-05-0j 3.95596e-05-0j 
