-0.00423925-0j -0.000706541-0j -0.000432666-0j -8.83177e-05-0j -5.20417e-06-0j -0.00382859-0j -0.000617835-0j -0.00050446-0j -7.28126e-05-0j -6.30575e-05-0j -7.4314e-06-0j -3.39196e-07-0j 0.711516-0j 0.718889-0j -0.000390508-0j -0.000394555-0j -0.000308724-0j -0.000205816-0j -0.000311923-0j -4.45604e-05-0j -0.000207949-0j -4.50222e-05-0j -5.14539e-05-0j -1.81917e-05-0j -5.19871e-05-0j -4.28783e-06-0j -4.54793e-06-0j -1.83802e-05-0j -4.33226e-06-0j -4.59506e-06-0j -3.78994e-07-0j -3.82922e-07-0j -1.41243e-08-0j -1.42706e-08-0j 
0.000670284-0j -0.00525393-0j 6.84106e-05-0j -0.00132745-0j -0.000157264-0j -0.145136-0j -0.0045943-0j 7.97622e-05-0j -0.0010944-0j -0.000468904-0j -0.000168132-0j -1.2826e-05-0j 0.000390508-0j 0.000394555-0j 0.696217-0j 0.703431-0j 4.88135e-05-0j 3.25423e-05-0j 4.93193e-05-0j -0.000669759-0j 3.28796e-05-0j -0.0006767-0j -0.000382618-0j 2.87636e-06-0j -0.000386583-0j -9.70104e-05-0j -6.8357e-05-0j 2.90617e-06-0j -9.80157e-05-0j -6.90654e-05-0j -1.14528e-05-0j -1.15714e-05-0j -6.41345e-07-0j -6.47991e-07-0j 
-0.101468-0j 8.83177e-05-0j -0.010343-0j -0.0010501-0j 6.50521e-07-0j 0.000478573-0j -0.0147881-0j -0.00599808-0j 9.10157e-06-0j -0.0015074-0j -8.836e-05-0j 4.23994e-08-0j 0.000308724-0j 0.000311923-0j 4.88135e-05-0j 4.93193e-05-0j 0.702887-0j 2.5727e-05-0j 0.710171-0j -0.00106657-0j 2.59936e-05-0j -0.00107762-0j -0.000611792-0j -0.000653451-0j -0.000618132-0j 5.35978e-07-0j -0.000108719-0j -0.000660223-0j 5.41533e-07-0j -0.000109846-0j -4.50627e-06-0j -4.55297e-06-0j 1.76553e-09-0j 1.78383e-09-0j 
0.000353271-0j -0.0169301-0j 3.60555e-05-0j 7.3598e-06-0j 4.33681e-07-0j 0.000319049-0j 5.14863e-05-0j -0.0120879-0j -0.00174473-0j 5.2548e-06-0j 6.19284e-07-0j 2.82663e-08-0j 0.000205816-0j 0.000207949-0j 3.25423e-05-0j 3.28796e-05-0j 2.5727e-05-0j 0.704105-0j 2.59936e-05-0j 3.71337e-06-0j 0.711402-0j 3.75185e-06-0j -0.00123294-0j 1.51598e-06-0j -0.00124571-0j -0.000102745-0j 3.78994e-07-0j 1.53169e-06-0j -0.000103809-0j 3.82922e-07-0j 3.15828e-08-0j 3.19101e-08-0j 1.17702e-09-0j 1.18922e-09-0j 
0.0146457-0j 0.00121179-0j -7.80625e-06-0j -0.00704728-0j -0.00256328-0j -6.90761e-05-0j -0.202905-0j -9.10157e-06-0j -0.00581006-0j 0.00010815-0j -0.00181733-0j -0.000279423-0j -4.45604e-05-0j -4.50222e-05-0j 0.000669759-0j 0.0006767-0j 0.00106657-0j -3.71337e-06-0j 0.00107762-0j 0.680854-0j -3.75185e-06-0j 0.68791-0j 8.82485e-05-0j -3.28218e-07-0j 8.9163e-05-0j -0.00104858-0j -0.000362901-0j -3.3162e-07-0j -0.00105944-0j -0.000366661-0j -0.000186671-0j -0.000188605-0j -1.74896e-05-0j -1.76708e-05-0j 
-8.83177e-05-0j -0.0991821-0j 0.00172383-0j -0.0166372-0j 2.07213e-05-0j -7.97622e-05-0j 0.000605352-0j -0.143226-0j -0.0206597-0j -0.0118156-0j -0.00210725-0j 1.68998e-06-0j -5.14539e-05-0j -5.19871e-05-0j 0.000382618-0j 0.000386583-0j 0.000611792-0j 0.00123294-0j 0.000618132-0j 8.82485e-05-0j 0.00124571-0j 8.9163e-05-0j 0.687052-0j 0.000108909-0j 0.694171-0j -0.00183133-0j -0.00172248-0j 0.000110037-0j -0.00185031-0j -0.00174033-0j -0.00014354-0j -0.000145028-0j 8.45046e-08-0j 8.53804e-08-0j 
-3.1225e-05-0j -5.20417e-06-0j -0.174831-0j 0.000186935-0j -3.83323e-08-0j -2.82002e-05-0j -4.55079e-06-0j 0.00106775-0j -5.36315e-07-0j -0.0254802-0j 1.57295e-05-0j -2.49841e-09-0j -1.81917e-05-0j -1.83802e-05-0j -2.87636e-06-0j -2.90617e-06-0j 0.000653451-0j -1.51598e-06-0j 0.000660223-0j -3.28218e-07-0j -1.53169e-06-0j -3.3162e-07-0j 0.000108909-0j 0.691818-0j 0.000110037-0j -3.15828e-08-0j -0.00183772-0j 0.698987-0j -3.19101e-08-0j -0.00185676-0j 8.02187e-07-0j 8.105e-07-0j -1.04035e-10-0j -1.05113e-10-0j 
7.3598e-06-0j 0.025147-0j 7.51157e-07-0j 0.00207826-0j -0.0232809-0j 6.64685e-06-0j -0.000153483-0j -0.000125477-0j -0.245481-0j -1.56648e-05-0j -0.00804696-0j -0.00383382-0j 4.28783e-06-0j 4.33226e-06-0j -9.70104e-05-0j -9.80157e-05-0j 5.35978e-07-0j -0.000102745-0j 5.41533e-07-0j 0.00104858-0j -0.000103809-0j 0.00105944-0j 0.00183133-0j 3.15828e-08-0j 0.00185031-0j 0.66521-0j 0.00010702-0j 3.19101e-08-0j 0.672103-0j 0.000108129-0j -0.00169543-0j -0.001713-0j -0.000320967-0j -0.000324293-0j 
7.80625e-06-0j -0.000123677-0j 0.0144166-0j -0.137552-0j 0.000261613-0j 7.05005e-06-0j -0.00010815-0j -0.000177649-0j 0.000592987-0j -0.199731-0j -0.0354716-0j 2.85185e-05-0j 4.54793e-06-0j 4.59506e-06-0j -6.8357e-05-0j -6.90654e-05-0j -0.000108719-0j 3.78994e-07-0j -0.000109846-0j 0.000362901-0j 3.82922e-07-0j 0.000366661-0j 0.00172248-0j 0.00183772-0j 0.00174033-0j 0.00010702-0j 0.670206-0j 0.00185676-0j 0.000108129-0j 0.677152-0j -0.00364354-0j -0.00368129-0j 1.78502e-06-0j 1.80352e-06-0j 
-6.50521e-07-0j 2.07213e-05-0j 1.26972e-05-0j 0.0351925-0j -0.0936355-0j -5.87504e-07-0j 1.81198e-05-0j 7.36334e-06-0j -0.000305024-0j -0.000353671-0j -0.279505-0j -0.0318702-0j -3.78994e-07-0j -3.82922e-07-0j 1.14528e-05-0j 1.15714e-05-0j 4.50627e-06-0j -3.15828e-08-0j 4.55297e-06-0j -0.000186671-0j -3.19101e-08-0j -0.000188605-0j -0.00014354-0j 8.02187e-07-0j -0.000145028-0j 0.00169543-0j 0.00364354-0j 8.105e-07-0j 0.001713-0j 0.00368129-0j 0.64863-0j 0.655351-0j -0.00403801-0j -0.00407986-0j 
2.42435e-08-0j -1.16038e-06-0j 2.47434e-09-0j 3.46639e-05-0j 0.0554481-0j 2.1895e-08-0j -1.01469e-06-0j 2.88492e-09-0j 2.85783e-05-0j -1.03562e-07-0j -0.000556281-0j -0.338668-0j 1.41243e-08-0j 1.42706e-08-0j -6.41345e-07-0j -6.47991e-07-0j 1.76553e-09-0j 1.17702e-09-0j 1.78383e-09-0j 1.74896e-05-0j 1.18922e-09-0j 1.76708e-05-0j -8.45046e-08-0j 1.04035e-10-0j -8.53804e-08-0j -0.000320967-0j 1.78502e-06-0j 1.05113e-10-0j -0.000324293-0j 1.80352e-06-0j 0.00403801-0j 0.00407986-0j 0.627093-0j 0.633592-0j 
0.00396296-0j 0.000660494-0j 0.000404468-0j 8.25617e-05-0j 4.865e-06-0j 7.08385e-05-0j 1.14315e-05-0j 9.3338e-06-0j 1.34722e-06-0j 1.16672e-06-0j 1.375e-07-0j 6.27598e-09-0j 0.00230882-0j -0.00224041-0j 0.000365057-0j -0.00035424-0j 0.000288603-0j 0.000192402-0j -0.000280051-0j 4.16563e-05-0j -0.000186701-0j -4.04219e-05-0j 4.81005e-05-0j 1.70061e-05-0j -4.66752e-05-0j 4.00838e-06-0j 4.25153e-06-0j -1.65022e-05-0j -3.8896e-06-0j -4.12554e-06-0j 3.54294e-07-0j -3.43795e-07-0j 1.32037e-08-0j -1.28125e-08-0j 
-0.000617835-0j 0.00484282-0j -6.30575e-05-0j 0.00122358-0j 0.000144958-0j -1.10439e-05-0j 8.38172e-05-0j -1.45516e-06-0j 1.99659e-05-0j 8.55456e-06-0j 3.06737e-06-0j 2.33995e-07-0j 0.103698-0j -0.100625-0j 0.00267664-0j -0.00259733-0j -4.49939e-05-0j -2.99959e-05-0j 4.36606e-05-0j 0.000617351-0j 2.91071e-05-0j -0.000599058-0j 0.000352679-0j -2.65129e-06-0j -0.000342228-0j 8.94195e-05-0j 6.30082e-05-0j 2.57273e-06-0j -8.67698e-05-0j -6.11411e-05-0j 1.05566e-05-0j -1.02438e-05-0j 5.91161e-07-0j -5.73644e-07-0j 
-0.000478573-0j -7.97622e-05-0j 0.00934103-0j 0.00094838-0j -5.87504e-07-0j 0.002051-0j -1.38049e-06-0j 0.000107217-0j -1.62692e-07-0j 2.6945e-05-0j 1.57945e-06-0j -7.57896e-10-0j -0.000278817-0j 0.000270555-0j 0.0105696-0j -0.0102564-0j 0.00331516-0j -2.32348e-05-0j -0.00321692-0j -5.03047e-06-0j 2.25463e-05-0j 4.88141e-06-0j 0.000552527-0j 0.00059015-0j -0.000536154-0j -4.84057e-07-0j 9.81873e-05-0j -0.000572663-0j 4.69714e-07-0j -9.52777e-05-0j 4.06974e-06-0j -3.94915e-06-0j -1.5945e-09-0j 1.54726e-09-0j 
6.90761e-05-0j -0.0010944-0j 7.05005e-06-0j 0.0063646-0j 0.00231497-0j -0.000296037-0j -1.89414e-05-0j 1.62692e-07-0j 0.000103856-0j -1.93319e-06-0j 3.24851e-05-0j 4.99473e-06-0j 4.02438e-05-0j -3.90513e-05-0j 0.145023-0j -0.140725-0j 5.03047e-06-0j 3.35365e-06-0j -4.88141e-06-0j 0.00321124-0j -3.25427e-06-0j -0.00311609-0j -7.96997e-05-0j 2.96423e-07-0j 7.73381e-05-0j 0.000947-0j 0.000327746-0j -2.8764e-07-0j -0.000918939-0j -0.000318034-0j 0.000168588-0j -0.000163592-0j 1.57953e-05-0j -1.53273e-05-0j 
