-0.0831455-0j -0.00843285-0j -0.00852024-0j -0.00483821-0j -0.000698336-0j -0.00598698-0j -0.00349241-0j -0.000864146-0j -0.000504085-0j 0.495473-0j -0.000600989-0j 0.578052-0j -5.00824e-05-0j 0.353983-0j 0.505796-0j -0.000701153-0j -0.000429367-0j 0.20863-0j -5.84294e-05-0j -0.000613509-0j -3.57806e-05-0j -0.00025306-0j -5.11258e-05-0j -2.10883e-05-0j -0.00261691-0j 0.0635647-0j -0.00295611-0j -0.000267087-0j -5.45189e-05-0j -0.00241365-0j -3.21255e-06-0j 0.0718039-0j -0.00243867-0j -0.00211195-0j -0.000301707-0j 0.0586277-0j -0.00174227-0j -6.15856e-05-0j -0.000246342-0j 0.0592352-0j -0.000556663-0j -3.62897e-06-0j -0.000248895-0j 0.0512992-0j -5.02844e-05-0j -0.00021555-0j 0.0423197-0j -5.08055e-05-0j -2.96304e-06-0j -4.39989e-05-0j -0.000177819-0j 0.0135213-0j -2.99374e-06-0j -3.62972e-05-0j -5.68141e-05-0j -2.59266e-06-0j -1.15971e-05-0j -2.13883e-06-0j -6.83368e-07-0j 
0.0146982-0j -0.0705154-0j -0.0712461-0j -0.0822902-0j -0.0118024-0j -0.101829-0j -0.0594002-0j -0.0146047-0j -0.00851942-0j 0.000600989-0j 0.483519-0j 0.000701153-0j -0.00127407-0j 0.000429367-0j 0.000613509-0j 0.564106-0j 0.345443-0j 0.00025306-0j -0.00148642-0j 0.493593-0j -0.000910241-0j 0.203597-0j -0.00130061-0j -0.000536476-0j 0.000462608-0j -0.00364709-0j 0.000522571-0j -0.00913265-0j 0.0886525-0j 0.000426678-0j -0.000109157-0j -0.00411982-0j 0.000431099-0j 0.000373343-0j -0.0103164-0j -0.00336382-0j 0.000307992-0j 0.100144-0j -0.00842332-0j -0.00339868-0j 9.8405e-05-0j -0.000123306-0j -0.00851061-0j -0.00294334-0j 0.081767-0j -0.00737041-0j -0.00242814-0j 0.0826143-0j -0.000100679-0j 0.0715461-0j -0.00608028-0j -0.000775801-0j -0.000101722-0j 0.0590225-0j -0.00194268-0j -8.80941e-05-0j 0.018858-0j -7.26739e-05-0j -2.32197e-05-0j 
-0.00122485-0j 0.0178773-0j 0.0180626-0j -7.12736e-05-0j -0.141041-0j -8.81966e-05-0j -5.1448e-05-0j -0.174529-0j -0.101809-0j -5.00824e-05-0j 0.00127407-0j -5.84294e-05-0j 0.468209-0j -3.57806e-05-0j -5.11258e-05-0j 0.00148642-0j 0.000910241-0j -2.10883e-05-0j 0.546243-0j 0.00130061-0j 0.334504-0j 0.000536476-0j 0.477963-0j 0.19715-0j -3.85507e-05-0j 0.000924622-0j -4.35476e-05-0j -3.93456e-06-0j -0.011011-0j -3.55565e-05-0j 0.124054-0j 0.00104447-0j -3.59249e-05-0j -3.11119e-05-0j -4.44456e-06-0j 0.000852808-0j -2.5666e-05-0j -0.0124383-0j -3.62897e-06-0j 0.000861645-0j -8.20042e-06-0j 0.140134-0j -3.66657e-06-0j 0.000746207-0j -0.0101558-0j -3.17535e-06-0j 0.000615589-0j -0.0102611-0j 0.114419-0j -0.00888634-0j -2.61953e-06-0j 0.000196684-0j 0.115605-0j -0.00733085-0j -8.36951e-07-0j 0.100117-0j -0.00234224-0j 0.0825919-0j 0.0263885-0j 
0.00102906-0j 0.00733253-0j -0.00719761-0j 0.00420692-0j 0.000607217-0j 7.40984e-05-0j -0.00594376-0j 1.06952e-05-0j -0.000857908-0j 0.00295611-0j 0.000522571-0j 4.90895e-05-0j 4.35476e-05-0j 0.00211195-0j -0.00293179-0j 8.67789e-06-0j 0.000373343-0j -0.00366334-0j 7.23157e-07-0j -0.000518272-0j 3.11119e-05-0j -0.000647593-0j -4.31893e-05-0j -5.39661e-05-0j -0.44573-0j 0.000379242-0j -0.00716682-0j 0.000232237-0j 4.74052e-05-0j -0.411111-0j 2.79338e-06-0j 6.09776e-06-0j 0.403547-0j -0.00512022-0j 3.7341e-06-0j 0.000349786-0j 0.580839-0j 7.6222e-07-0j 0.0002142-0j -0.00034335-0j 0.372511-0j 4.49142e-08-0j -0.000210258-0j 4.35645e-06-0j 4.37233e-05-0j 2.66777e-06-0j -0.000494197-0j -4.29188e-05-0j 2.57642e-06-0j 5.44556e-07-0j -0.000302632-0j -0.000316945-0j -2.52901e-06-0j -6.17746e-05-0j -0.000194088-0j 3.20883e-08-0j -3.96181e-05-0j -3.6401e-06-0j -2.33452e-06-0j 
-0.00017151-0j 0.0578079-0j -0.0567442-0j -0.000701153-0j 0.0096755-0j -1.23497e-05-0j 0.000990626-0j 0.000170419-0j -0.0136701-0j 0.0718039-0j 0.00411982-0j 0.00119239-0j 0.00104447-0j 0.0512992-0j -0.0712132-0j 6.84144e-05-0j 0.00294334-0j -0.0889825-0j 1.73446e-05-0j -0.00408593-0j 0.000746207-0j -0.00510546-0j -0.00103588-0j -0.00129435-0j -0.000379242-0j -0.435741-0j -6.09776e-06-0j -3.87062e-05-0j 0.000755363-0j -0.000349786-0j 8.9486e-05-0j -0.0070062-0j 0.00034335-0j -4.35645e-06-0j -6.2235e-07-0j -0.401897-0j 0.000494197-0j 1.21453e-05-0j -3.56999e-05-0j 0.394503-0j 0.000316945-0j 1.43883e-06-0j 3.50431e-05-0j -0.00500547-0j 0.000696695-0j -4.44628e-07-0j 0.567822-0j -0.000683876-0j 8.25357e-05-0j 8.67706e-06-0j 5.04387e-05-0j 0.364163-0j -8.10171e-05-0j -0.000984327-0j 3.2348e-05-0j 1.02795e-06-0j -0.000631282-0j -0.000116611-0j -7.47864e-05-0j 
-0.000105028-0j -0.000748373-0j 0.000734603-0j 0.0830516-0j -6.19738e-05-0j 0.00146283-0j -0.11734-0j -1.09157e-06-0j 8.75598e-05-0j -0.000301707-0j 0.0103164-0j -5.01018e-06-0j -4.44456e-06-0j -0.00021555-0j 0.000299224-0j 0.000171316-0j 0.00737041-0j 0.000373888-0j -7.38069e-08-0j -0.0102315-0j -3.17535e-06-0j -0.0127846-0j 4.40799e-06-0j 5.50789e-06-0j -0.000232237-0j -3.87062e-05-0j -3.7341e-06-0j -0.438813-0j 0.000935858-0j -0.0002142-0j -2.85098e-07-0j -6.2235e-07-0j 0.000210258-0j -2.66777e-06-0j -0.00705559-0j -3.56999e-05-0j 0.000302632-0j 1.50475e-05-0j -0.40473-0j 3.50431e-05-0j 0.000194088-0j -4.58404e-09-0j 0.397283-0j -4.44628e-07-0j 0.00086317-0j -0.00504076-0j 5.04387e-05-0j -0.000847288-0j -2.62955e-07-0j 1.07504e-05-0j 0.571824-0j 3.2348e-05-0j 2.58116e-07-0j -0.00121953-0j 0.36673-0j -3.275e-09-0j -0.000782127-0j 3.71516e-07-0j 2.38266e-07-0j 
2.14387e-05-0j -0.0146047-0j 0.014336-0j -0.00843259-0j 0.0565984-0j -0.000148527-0j 0.011914-0j 0.000996894-0j -0.0799652-0j 6.15856e-05-0j 0.100144-0j 1.0227e-06-0j 0.0124383-0j 4.39989e-05-0j -6.10789e-05-0j 0.001663-0j 0.0715461-0j -7.63195e-05-0j 0.000206552-0j -0.0993197-0j 0.00888634-0j -0.124102-0j -0.0123359-0j -0.0154141-0j 4.74052e-05-0j -0.000755363-0j 7.6222e-07-0j -0.000935858-0j -0.425133-0j 4.37233e-05-0j 0.0016069-0j -1.21453e-05-0j -4.29188e-05-0j 5.44556e-07-0j -1.50475e-05-0j -0.000696695-0j -6.17746e-05-0j -0.00683564-0j -0.00086317-0j 0.000683876-0j -3.96181e-05-0j 2.58371e-05-0j 0.000847288-0j -8.67706e-06-0j -0.392113-0j -1.07504e-05-0j 0.000984327-0j 0.384899-0j 0.0014821-0j -0.00488362-0j 0.00121953-0j 0.000631282-0j -0.00145483-0j 0.553999-0j 0.000782127-0j 1.84589e-05-0j 0.355298-0j -0.00209398-0j -0.00134294-0j 
-1.26329e-06-0j 0.00173018-0j -0.00169835-0j -5.16448e-06-0j -0.0205829-0j -9.09644e-08-0j 7.29665e-06-0j -0.000362537-0j 0.0290807-0j -3.62897e-06-0j 0.000123306-0j -6.02631e-08-0j 0.140134-0j -2.59266e-06-0j 3.59911e-06-0j 2.04764e-06-0j 8.80941e-05-0j 4.49717e-06-0j 0.00232708-0j -0.000122292-0j 0.100117-0j -0.000152806-0j -0.138981-0j -0.17366-0j -2.79338e-06-0j 8.9486e-05-0j -4.49142e-08-0j -2.85098e-07-0j -0.0016069-0j -2.57642e-06-0j -0.411479-0j 1.43883e-06-0j 2.52901e-06-0j -3.20883e-08-0j -4.58404e-09-0j 8.25357e-05-0j 3.6401e-06-0j -2.58371e-05-0j -2.62955e-07-0j -8.10171e-05-0j 2.33452e-06-0j -0.0066161-0j 2.58116e-07-0j 1.02795e-06-0j -0.0014821-0j -3.275e-09-0j -0.000116611-0j 0.00145483-0j -0.37952-0j -1.84589e-05-0j 3.71516e-07-0j -7.47864e-05-0j 0.372537-0j 0.00209398-0j 2.38266e-07-0j -0.00472677-0j 0.00134294-0j 0.536206-0j 0.343887-0j 
0.045438-0j -0.00453452-0j 0.00465621-0j 0.00264402-0j 0.000381632-0j -0.00321933-0j 0.00190856-0j -0.00046467-0j 0.000275477-0j 0.0018579-0j 0.000328433-0j 0.00216755-0j 2.73694e-05-0j -0.00393945-0j -0.00186618-0j 0.000383172-0j -0.000696404-0j 0.000782309-0j 3.1931e-05-0j -0.000329897-0j -5.80336e-05-0j 0.000138294-0j -2.74914e-05-0j 1.15245e-05-0j 0.00143011-0j 0.000238351-0j 0.00161548-0j 0.00014596-0j 2.97939e-05-0j -0.00129787-0j 1.75562e-06-0j 0.000269246-0j 0.0013327-0j -0.00342543-0j 0.000164879-0j -0.000216312-0j -0.000936855-0j 3.36558e-05-0j -0.000132464-0j 0.000222117-0j 0.000304209-0j 1.98319e-06-0j 0.000136018-0j -0.000570905-0j -2.7039e-05-0j -0.000349607-0j -0.000156142-0j 2.77646e-05-0j -1.59329e-06-0j -7.13632e-05-0j -9.56173e-05-0j 5.07016e-05-0j 1.63605e-06-0j -1.95178e-05-0j 3.10482e-05-0j -4.20511e-06-0j 6.3377e-06-0j -1.1501e-06-0j 3.73452e-07-0j 
0.044602-0j -0.00465621-0j 0.00470255-0j -0.00267142-0j -0.000385587-0j 0.00321161-0j -0.00176599-0j 0.000463556-0j -0.000254899-0j -0.00187715-0j -0.000331836-0j 0.00212766-0j -2.7653e-05-0j -0.0013411-0j 0.00191548-0j 0.000376122-0j -0.000237075-0j -0.00377399-0j 3.13435e-05-0j 0.000338612-0j -1.97563e-05-0j -0.000667154-0j 2.82177e-05-0j -5.55961e-05-0j -0.00144493-0j -0.000240821-0j 0.00158575-0j -0.000147472-0j -3.01027e-05-0j -0.0013327-0j -1.77382e-06-0j 0.000264292-0j 0.00134597-0j 0.00113292-0j 0.000161845-0j -0.000222117-0j -0.000881007-0j 3.30365e-05-0j -0.000136018-0j 0.000224328-0j -0.00325098-0j 1.9467e-06-0j 0.000137372-0j 0.00018882-0j -2.77646e-05-0j 0.000115628-0j -0.000146834-0j 2.8041e-05-0j -1.63605e-06-0j 2.36024e-05-0j -8.99174e-05-0j -0.00054183-0j 1.65233e-06-0j -1.83543e-05-0j -0.000331802-0j 1.39079e-06-0j -6.77287e-05-0j -1.08154e-06-0j -3.99095e-06-0j 
-0.00733253-0j -0.0346139-0j 0.0355428-0j -0.000426678-0j 0.0058879-0j 0.000519517-0j -0.000307992-0j -0.00716903-0j 0.00425011-0j -0.000299817-0j 0.00250707-0j -0.000349786-0j 0.0006356-0j 0.000635727-0j 0.000301153-0j 0.00292491-0j -0.00531594-0j -0.000126245-0j 0.000741533-0j -0.00251824-0j -0.00134771-0j 0.00105566-0j -0.000638433-0j 0.000267633-0j 0.0452072-0j 0.00181943-0j 0.051067-0j -2.35541e-05-0j 0.000459666-0j -0.0410272-0j 5.44555e-05-0j 0.00205527-0j 0.0421281-0j -0.108282-0j -2.66072e-05-0j -0.0016512-0j -0.029615-0j 0.000519248-0j 2.13762e-05-0j 0.00169551-0j 0.00961639-0j 6.1514e-05-0j -2.19499e-05-0j -0.00435796-0j -0.000417164-0j 5.64175e-05-0j -0.0011919-0j 0.000428358-0j -4.94203e-05-0j -0.00110101-0j 1.54302e-05-0j 0.000387026-0j 5.07465e-05-0j -0.000301125-0j -5.01039e-06-0j -0.000130433-0j 9.77793e-05-0j -3.56735e-05-0j 1.15837e-05-0j 
