-0.208559-0.554601j -0.064355+0.182324j 0.00170634-0.126771j 0.0936866-0.00755518j -0.0497256+0.11507j -0.018214+0.0178508j -0.0173568-0.0136949j -0.0176306+0.0278801j -0.00787874-0.00453614j 0.00489915+0.0914061j -0.00605005-0.0270314j -0.00551483-0.028439j 0.106058+0.0119229j 0.00497759+0.00449669j -0.0330452+0.0879553j -0.0218319-0.012484j -0.00255097-0.0429802j 0.00173726+0.0449695j 0.045817+0.0184621j -0.0214933+0.00086211j -0.00778139-0.0768259j 0.00996399-0.0264183j -0.0137436+0.0409911j 0.0224271+0.011125j -0.00747786-0.0116936j 0.00689687+0.0130982j -0.0130388+0.0146427j 0.00127818-0.0150176j 0.0376374-0.0269561j -0.00531157+0.0179102j -0.016948-0.0174822j -0.00570142+0.00108181j -0.0189777-0.0359479j 0.00525881+0.018168j 0.002248-0.00840612j 0.0333399+0.0119445j -4.74949e-05+0.0350451j 0.00252833+0.0373546j -0.0843998-0.0388848j -0.000139475-0.0587688j 
-0.624183+0.231899j -0.161846-0.00130525j 0.0362913+0.0265018j -0.0111183+0.0637004j -0.0372553-0.0561358j 0.030415+0.012624j 0.0344129-0.0506059j -0.0159499+0.00696291j 0.00776548+0.0224133j 0.0543412-0.0159536j -0.0345514-0.0211627j -0.0146323+0.011705j -0.0563577+0.028142j -0.0200812+0.0339178j 0.00392626-0.0156537j -0.00515983-0.0092268j 0.00870052+0.00309017j -0.0129311-0.0183476j -0.000223495+0.0102225j -0.0335991-0.0160841j 0.0354133-0.00300847j 0.0150328-0.00288295j 0.00160273-0.0256112j 0.0181432+0.00113718j -0.0170365-0.0310888j 0.0193644-0.00989581j 0.00707795+0.00821282j 0.0082283+0.00324185j -0.00469016+0.048987j -0.00150608-0.0162916j -0.00232568-0.0294037j 0.00832016+2.23357e-05j -0.00897788-0.0150315j -0.00632127-0.0217464j 7.12525e-05+0.00813903j 0.00522302+0.00797746j -0.00465539-0.000522648j -0.0257497-0.0264678j 0.0170005-0.0110643j 0.024203+0.0204531j 
0.188316+0.329476j -0.0507404+0.305902j -0.0893908-0.0691125j 0.0534482+0.0542007j -0.0550222+0.11053j -0.0323907+0.125813j 0.0320586-0.0163874j -0.0832616+0.0735146j -0.0265656-0.0527228j 0.00605926+0.0571668j 0.00148961+0.0222108j 0.0118417+0.0131828j 0.101004+0.093121j 0.0529802-0.00915867j -0.00599277+0.101246j -0.0609414-0.0308315j 0.00615374-0.0596518j -0.0224371+0.0602582j 0.0208765+0.0624311j -0.0062967+0.0475895j 0.0784953-0.123534j -0.00635952-0.00117853j -0.0170426+0.0318403j 0.000596831-0.00259395j -0.0047271+0.00617485j -0.012862-0.0178315j 0.00373444-0.00562866j 0.00633539-0.0261682j -0.000426699-0.00813324j -0.036393+0.0167888j 0.00279453-0.00596697j 0.0247237+0.0109454j 0.00653284-0.0310786j 0.00194403+0.00290849j -0.00613112-0.0266645j 0.0203707-0.00910081j 0.0311507+0.0560995j -0.0833408+0.00327408j -0.078667-0.076766j 0.0412721-0.0741195j 
0.173843-0.203079j -0.066702-0.116911j -0.0832767-0.0230529j -0.0691918+0.112103j -0.108556-0.0126386j -0.1005-0.00862582j 0.0305855-0.0541851j -0.0630394-0.100208j 0.0104506-0.0495405j 0.00170101-0.0217188j 0.000700531-0.0420038j 0.0403112-0.0241872j -0.112525+0.0924195j 0.0223225+0.00897795j -0.095056-0.0202817j 0.0521809-0.0397729j 0.0183366+0.03292j -0.0532084-0.0256401j -0.0639622+0.0749557j -0.0121855-0.00636735j 0.0985797+0.0732438j 0.0434097-0.0175229j -0.0368892-0.0308189j -0.030421-0.00687315j -0.0158281-0.0220553j -0.0139139+0.0203974j -0.0117741-0.0106349j 0.0243824+0.0139215j 0.0241801+0.0473782j -0.0523597-0.0311487j 0.00834517-0.000630608j 0.0019891+0.0367511j 0.0573584-0.0115088j -0.0479143-0.00923927j 0.00786825-0.0156578j -0.00911553+0.00890694j -0.0372017+0.0163977j -0.0533218-0.0843201j 0.0621354-0.0598232j 0.0934815+0.071054j 
0.0160017+0.1061j -0.0103928-0.518457j -0.0259552+0.416465j 0.0461771+0.0406586j -0.0152478-0.042255j 0.007861+0.0230466j -0.00994599-0.0419672j -0.0326476+0.0613726j -0.0555361-0.0169791j -0.0224088-0.110638j -0.0487369+0.028117j -0.011539-0.037965j -0.0221059+0.0280069j -0.031344-0.00224603j -0.0627647-0.0552847j -0.00867158-0.0327881j 0.0152548+0.0322665j 0.0256224+0.0226101j -0.026577+0.0338651j -0.011472+0.0135166j 0.0387569+0.000522183j -0.0144271+0.0114792j -0.0124368-0.0147912j -0.00877246-0.00497403j -0.0018768-0.00354681j -0.0047467-0.0160486j -0.000148734-0.00121037j 0.0133087-0.0226056j 0.0232953+0.00581439j -0.0138664-0.0110038j 0.0061942-0.00826436j 0.0238508-0.0422044j 0.01163-0.0202287j -0.010001-0.0111579j 0.00604438+0.0154022j 0.0119441+0.00549364j -0.0156544-0.0308655j -0.0363545-0.0554178j -0.00468464-0.037801j 0.0439899+0.0386295j 
-0.0959642-0.00382172j -0.0951856-0.115464j -0.0681587+0.0927314j -0.0500994+0.0170944j -0.0671214+0.0635041j -0.0245599+0.0129559j -0.0201202-0.0262404j -0.0333833+0.0621886j -0.0908819-0.0518069j 0.0129544+0.0222301j 0.0322815+0.0115938j -0.0240603-0.00227415j -0.0173991+0.0855431j 0.0626655-0.0769243j -0.0539572+0.164002j 0.0392091+0.00481799j -0.000554772-0.0711117j -0.0262156+0.0199774j -0.016961+0.0118035j 0.00573236+0.0212451j 0.136269-0.0262288j 0.00131576+0.0239655j -0.0222943+0.0164321j -0.0199232+0.00522193j -0.0442926-0.00181008j 0.0156976+0.00472539j -0.0045671-0.0119856j -0.0122369-0.01066j 0.0327106+0.0387526j -0.0315543+0.033454j 0.0180273-0.0164985j 0.0132449+0.00723128j 0.0102226+0.0177156j -0.0262216+0.0139687j 0.0246121-0.000555001j 0.000202335-0.00841181j 0.0316301+0.0584311j -0.038975-0.0799947j -0.0374352-0.0826183j 0.0540794-0.00397333j 
-0.00273477-0.0270305j -0.00937996-0.347794j -0.0410124+0.417617j 0.0283939-0.00447635j -0.0237972+0.0465346j 0.0119435+0.0260807j 0.0427749+0.0438734j 0.0579397+0.108585j -0.0144837+0.0113111j -0.0175564-0.0882782j -0.00448179+0.0108615j -0.00176392-0.0120122j 0.0615457-0.0236035j -0.0311193-0.0580332j 0.0860675+0.0517543j -0.056251-0.0198636j -0.0923953+0.00763157j 0.0418674+0.00902059j 0.0305661+0.000213921j 0.0178534-0.00243644j -0.0167119-0.150821j -0.00680629-0.00411339j -0.00782855-0.0121093j 0.0245295-0.00486842j -0.0128605+0.0296728j 0.00253993+0.0121383j 0.00885935+0.0016857j -0.00285804+0.00822814j -0.0352027-0.0221648j 0.0311923+0.030785j -0.0185033-0.0134217j -0.0203188-0.01081j -0.0230061+0.00670473j 0.014864+0.0237953j -0.0171841-0.030176j -0.0257407-0.0140542j 0.0415476+0.000662821j -0.0461612+0.0107175j -0.0763427-0.0152102j -0.039359-0.0775368j 
-0.0122577+0.0534733j 0.0108609-0.210251j 0.0120907+0.0446842j 0.0649376-0.139527j -0.00312909+0.133414j 0.113896+0.16536j -0.16086+0.0273374j -0.0858299-0.0759836j 0.0213946-0.13354j -0.0203957-0.0338764j -0.0206519+0.00449852j -0.0567591-0.0200172j 0.0375892-0.117452j 0.121996-0.0392218j 0.0917604+0.13692j 0.0658438+0.0213049j 0.0491485-0.0119675j 0.00832835+0.0183032j 0.0227085-0.0897233j -0.0167557+0.029237j -0.0120301+0.035602j -0.00281731-0.0203594j -0.00334784-0.0163952j 0.00286609-0.038089j -0.00931166-0.0683789j 0.000104654+0.0135365j 0.00550295+0.00782632j -0.0389502-0.0140269j -0.0394037-0.0222089j -0.0246224+0.00982801j -0.0272125-0.0156553j -0.0107063+0.00301799j -0.00233021-0.019532j -0.0192687-0.00994336j -0.0138745-0.0142016j 0.0119435-0.0366239j 0.0590102+0.0324272j 0.0796839-0.01215j 0.00178778+0.0652312j -0.0545275-0.00212916j 
-0.058065-0.0761464j -0.0642433+0.0986886j -0.0729569-0.0748338j -0.159242+0.0914458j 0.125996+0.119115j 0.136963-0.279947j 0.136518-0.0268369j -0.106001+0.0738583j -0.102916-0.000837304j -0.0253872-0.0204318j -0.0417724+0.00287722j -0.0467303+0.016471j -0.0600477-0.00213602j -0.021061-0.143746j 0.134967-0.065789j 0.024632+0.00653293j -0.0354553-0.0258928j 0.0251083-0.00186893j -0.0654013+0.00694076j 0.0221013+0.0508697j 0.0147226-0.0139339j 0.00120386-0.00609276j -0.0120996+0.020298j 0.00761629-0.0372181j -0.00650535+0.0421408j 0.000276372+0.0310824j 0.0103052-0.0304706j -0.0242377+0.0343452j 0.0138597-0.00344826j 0.0127931+0.0464371j 0.0185388-0.0129154j -0.0155788-0.0334871j 0.00778758+0.0148811j 0.0139975+0.0254172j -0.0299638+0.032067j -0.0599859-0.0388775j 0.0306828-0.0242878j -0.0313036-0.0352103j 0.0269773+0.00878572j -0.0183625-0.00882428j 
0.0583568-0.0612747j -0.024857-0.0620884j -0.00961755+0.0895449j 0.182052+0.169667j 0.0871363-0.0932889j 0.221556-0.0277012j -0.0887613-0.227121j -0.117589+0.107751j -0.0368329+0.0753436j 0.0609139+0.0224051j 0.0102947+0.028424j 0.0409053+0.0175248j 0.0320305+0.0183771j -0.100498-0.0120312j 0.0339709-0.0574899j 0.085598+0.0187134j 0.037604-0.00364797j -0.0501278-0.00398595j 0.0312722+0.0603847j -0.00275293+0.00600668j -0.0457649-0.0618334j 0.00174858+0.017796j 0.0325871+0.0156509j 0.0040652+0.00564654j -0.00781796+0.0289407j -0.0142134-0.00149432j -0.0263641+0.0105768j 0.00339993+0.0202097j -0.00840497-0.00421978j 0.0209749-0.00501121j -0.0141719+0.0135044j -0.0293678+0.0108578j -0.0387639+0.00376917j 0.0456329-0.0207222j 0.022583+0.0147255j 0.015516+0.0376355j 0.0223567-0.0553985j 0.00350937+0.0265298j -0.0258598+0.00549022j -0.0449349+0.0070018j 
0.00343782+0.0131703j -0.0246493+0.010069j -0.0159387+0.145096j -0.115794-0.0864087j 0.182265+0.184867j -0.583873+0.0575038j 0.124227+0.0999937j 0.0470636+0.132641j 0.0056332-0.143471j -0.195184+0.122019j 0.0568294+0.0578983j -0.0337209+0.0495494j -0.00607821+0.0380448j -0.0429788+0.0189695j -0.0638001+0.092508j -0.0441535+0.0525061j 0.00272718+0.00308191j 0.0240525+0.00703544j -0.00845687+0.00691443j 0.02018+0.0237275j -0.018228-0.0109687j 0.0111419+0.00942452j 0.00511173-0.00534531j -0.0028824+0.0199796j 0.0475563+0.00190262j -0.0174067+0.00599607j -0.00218952-0.0126163j 0.0409831-0.00583773j 0.000324826+0.0250972j 0.0181514-0.016864j 0.0449283+0.0232183j -0.028198-0.0113306j -0.00753727+0.0401109j 0.0393363-0.00753254j -0.0485621+0.0153422j -0.00251144-0.0161259j -0.0323411+0.0440475j -0.0195724+0.0177334j -0.00588223+0.0128783j -0.0246561-0.0579346j 
