0.62241+0.0358137j 0.0389821-0.107826j 0.155641+0.0364215j -0.0482721-0.0315844j -0.0469962-0.0419888j -0.0382058-0.0034555j 0.0281688-0.123796j -0.0273368+0.0225663j -0.0604284+0.0049099j 0.0400526-0.0182917j -0.0491779-0.00947134j 0.00544895-0.0156953j 0.0410588+0.0280718j 0.044645-0.00535603j -0.00619639-0.0180672j -0.0137901+0.026887j 0.00960384+0.0204946j -0.00198961-0.0275631j -0.00696944-0.0304446j 0.0248714+0.000992066j -0.00345874-0.0268585j 0.0317551+0.0100429j 0.0184013-0.0454746j -0.0408077-0.00145238j 
-0.122305+0.0234473j 0.095461-0.0251161j 0.000383303+0.116664j 0.0780774-0.00394065j 0.0324348+0.0176552j 0.0598544+0.0637211j 0.0647969+0.0480532j -0.0272218-0.0425431j 0.0287492-0.0443181j -0.00962817+0.0182746j 0.0258202-0.0366506j 0.0421319+0.00252638j -0.0514498+0.016747j -0.0223465+0.00149982j -0.0216243-0.00443837j -0.0234781+0.0459145j -0.0398789+0.00848818j 0.0396388+0.0161886j -0.0189264-0.00274703j 0.0250569-0.0098995j 0.0372343-0.0247556j -0.0106404+0.0236241j 0.017148+0.0302511j 0.0202266-0.0253062j 
-0.694477+0.00752071j -0.0993862-0.0496989j 0.0514778+0.000745949j 0.0361897-0.031516j 0.0345722-0.00558829j 0.126372-0.0529258j 0.0134829+0.0131634j -0.00750026+0.0320878j 0.02583-0.0416767j 0.00127893+0.00475092j -0.0305074-0.0030179j 0.0219983+0.0249208j -0.0257731+0.0092762j 0.0282854+0.0114363j -0.0269832-0.0231132j -0.00854498+0.0135562j 0.00625589+0.0172807j -0.0221545-0.0249902j 0.0129786-0.0250406j -0.00901574-0.00243953j 0.0120067-0.0186783j -0.0295992+0.0234753j 0.0248321+0.000652029j 0.012568-0.0158495j 
-0.173259+0.0785831j -0.0752424-0.209015j 0.255894+0.150482j -0.0481141-0.0644028j -0.0884324+0.0689895j 0.0265464-0.0520338j 0.0645721-0.0908436j -0.0251293-0.00430081j -0.209315-0.110618j 0.0581457+0.0153685j -0.0136952-0.0946236j 0.0147515+0.0121218j 0.0120008+0.0911614j 0.0384712-0.0246191j -0.00677939+0.0329594j 0.0172918+0.00245509j 0.0167165+0.0142494j 0.0298397-0.0224519j -0.012508+0.0117551j 0.0213627+0.0394428j 0.0547132-0.034775j -0.00203622+0.0112305j 0.114914-0.0790249j -0.0293592-0.0380701j 
0.249351+0.0132364j 0.321118+0.00658239j -0.11217+0.0374592j 0.107443-0.105073j -0.0210631+0.0169912j 0.0153042+0.0408147j 0.0976375+0.0563741j -0.0225073-0.0634446j 0.0901581-0.156785j -0.034657+0.0938358j 0.0897472-0.0107436j -0.014963-0.0118839j -0.1322+0.0298885j 0.0306081+0.0160861j -0.0166264-0.0180247j 0.0263466-0.00016616j -0.0203249+0.00669599j 0.00707611-0.0217089j -0.00605619-0.00499663j -0.0290829+0.0309115j 0.0484939+0.01113j -0.0387828+0.0170135j 0.0203561+0.0823379j 0.0767326-0.0538673j 
0.117457-0.0386293j -0.0194556+0.244491j -0.100195+0.471394j 0.0103944+0.232258j 0.0197957-0.0610618j 0.0158903+0.0204577j 0.0741693+0.00840873j -0.0219563+0.00602443j 0.0016597-0.081646j 0.00542649-0.0775187j 0.0351136+0.0046287j 0.0012179+0.0324807j -0.0456742+0.0553896j 0.00953425+0.0414784j -0.000514869+0.00816932j 0.0203662-0.0141856j -0.0125478+0.0230062j -0.0110479-0.00331906j 0.0159619+0.0229134j 0.0120162-0.0106248j 0.0306829-0.0265029j 0.0129271+0.0815367j 0.0340523+0.0202434j -0.00765258-0.0471033j 
0.0232126-0.0054508j -0.37034+0.164314j 0.24955+0.522606j -0.138312+0.15296j -0.244178-0.161049j -0.0174892+0.00430449j 0.032858+0.0613111j 0.0158171+0.00509813j -0.0769442+0.00723292j -0.0538831-0.0633365j 0.00223886+0.00757781j -0.0447278-0.00997576j 0.00182536-0.0245149j 0.0139619+0.0301996j -0.00323466-0.0383409j 0.000551419+0.00132209j 0.00202499-0.00292514j -0.000905411+0.0215273j 0.00349936-0.0171223j 0.00612372-0.0200884j 0.00391976+0.0156202j 0.0338762+0.00172422j -0.0423704+0.0042543j -0.0465753+0.0287695j 
-0.0132057+0.093192j 0.356963-0.244288j 0.153353+0.126036j 0.260754-0.128061j 0.0838291-0.146191j 0.0515359-0.035083j -0.0572445+0.0106202j 0.0262858-0.0115828j 0.0791838-0.0487825j -0.026042-0.0475158j 0.0243403-0.00209156j 0.0719704-0.0666444j 0.0252598+0.00403754j 0.0279854-0.0211157j 0.0428159-0.00839555j 0.00588949+0.0183257j 0.010349-0.000941842j -0.00994027-0.0279478j -0.00349092-0.0111977j -0.00505373+0.0331294j -0.0053356-0.0137031j -0.00439007+0.00994863j 0.0249492-0.0538306j -0.00308963-0.0210553j 
-0.0240321+0.0541439j -0.0523044-0.100483j 0.224982-0.0207516j 0.0432547-0.0731789j -0.0332349-0.19262j -0.0100655+0.0651224j -0.0179021+0.108414j 0.09144+0.0733086j 0.175326+0.0844965j -0.0522247-0.0210638j 0.00439725+0.101651j -0.0247209-0.0818291j 0.0442293-0.0762183j 0.0144224+0.0173395j -0.00232658-0.0212564j -0.0276099+0.00112384j -0.0170658-0.028078j 0.00477958-0.000922568j -0.034019-0.00879694j -0.0147461+0.0221044j -0.0932739+0.0212209j -0.0241023-0.0137569j -0.0968142+0.0282982j 0.0499361+0.0530659j 
-5.88896e-05+0.0136108j -0.128021+0.0450063j 0.225813+0.0974804j -0.193608-0.168046j -0.216691-0.0641676j 0.0843519+0.0628943j 0.0694124+0.0765081j 0.0287027+0.0210892j 0.108531+0.0799247j 0.0611921+0.111046j 0.128384+0.0206615j -0.0670124+0.0146296j -0.0815822-0.0085975j 0.0752155-0.00334706j -0.0309886+0.00823193j -0.015309+0.00484541j -0.0389935-0.0102479j 0.0233815-0.0138803j -0.0115184-0.0197635j -0.0188506-0.0115516j -0.0156671+0.0300603j 0.00565153-0.0300661j -0.0354092+0.0994432j 0.103406-0.0784076j 
-0.0730869+0.0245289j -0.0622586+0.0682629j -0.0413943-0.058632j -0.000630077+0.0247655j 0.0796736-0.0754131j 0.0251294+0.144363j 0.181631-0.187502j 0.226397+0.180325j -0.0271366-0.15944j -0.00609511-0.00220557j -0.0440538+0.0397202j 0.0158373-0.111947j -0.0272379+0.0259001j 0.0416988-0.00647279j -0.00994215+0.00563376j -0.0567371-0.00844706j -0.00681448+0.00883033j 0.0462198-0.0175857j 0.0201276-0.00369336j -0.0506429+0.0271321j -0.0273695+0.0462289j 0.0640683+0.0243855j 0.0154767-0.0125485j 0.00698378-0.0332608j 
