0.0338001+0.0362864j 0.0165715-0.113775j -0.00794688-0.029688j -0.0322475+0.0482003j 0.0992577-0.00392927j -0.0078495+0.00977893j 0.0172097+0.00371838j -0.0287277-0.00884173j 0.00796685-0.0112161j -0.015759+0.0331379j -0.0115687-0.0175622j -0.0327215+0.00691086j -0.0171662-0.0124868j 0.0507988-0.00265029j -0.00633363+0.0258717j 0.00958723+0.0456168j -0.0109239-0.0110937j 0.00781854+0.00854736j 0.0148025-0.00948354j -0.000802401-0.0187346j -0.0226589+0.00871974j 0.00689812+0.025959j 0.019413+0.00149521j -0.0172341-0.00927676j -0.000444575-0.00475862j -0.0275746-0.00161393j -0.00741656-0.00511442j -0.0186282+0.0134277j -0.0187925-0.0188671j 0.0111425-0.0188653j 0.0125227+0.00138752j 0.00573628+0.0290749j 0.000786148-0.00889491j 0.019078+0.00895188j -0.0114889+0.0206719j 0.0151407+0.00488183j 
-0.25783+0.0427655j -0.202766+0.00802236j 0.137043-0.0112451j -0.00882147-0.0380174j -0.0908793-0.0343165j -0.0969177+0.0120092j 0.115478+0.00807142j 0.00317462-0.0405996j 0.0673761+0.0118896j 0.0552467+0.0269576j -0.0362828-0.0113282j 0.00809929+0.0188921j -0.0945264-0.0296918j -0.037802-0.00812455j -0.00209113-0.00466056j -0.0740562-0.0822087j 0.0193993+0.0084107j -0.0293457-0.0385891j -0.0950642-0.0450636j -0.0438177-0.0133366j -0.0100473-0.010792j 0.00857135-0.0263783j 0.0247198+0.024144j 0.0683068+0.00175028j 0.0316551-0.0139732j 0.0472956+0.00935875j 0.0266799+0.0283685j -0.000222808+0.0205195j 0.00271292+0.00635088j 0.0039138+0.00149164j -0.0231036+0.00526084j 0.0196124+0.00346863j 0.0556754+0.00460643j -0.0134691-0.0325582j 0.0524081-0.0713957j -0.0734946-0.0487977j 
-0.175863+0.0282422j -0.170143+0.0527547j 0.0176896-0.00646523j -0.113117-0.0502369j -0.156051-0.0419364j -0.0716775-0.0120334j 0.192943+0.0286922j 0.020185-0.0502539j 0.0317801-0.0278082j 0.103777+0.0360936j -0.0528325-0.0537764j -0.0453191+0.0192878j -0.0858178+0.0124768j -0.0579459+0.0670839j -0.0712461-0.0463736j -0.0587304-0.0343464j 0.0371417+0.00861295j -0.00485495-0.00203997j -0.115871-0.038522j -0.0332967+0.0286629j -0.00545411+0.0112589j 0.0578653-0.000971371j 0.0256677+0.0323524j 0.105047+0.0166022j 0.0480103+0.0306574j 0.0686669+0.0330262j 0.026176-0.00570877j 0.00630373+0.00618544j 0.00743782-0.0425057j -0.0015026+0.0114333j -0.0359725+0.033597j 0.0228897-0.0334456j 0.0648765-0.0454708j 0.00715005-0.0400391j 0.0630245-0.0199012j -0.114648-0.0605879j 
0.199458-0.194317j -0.279104-0.0817207j 0.0231774+0.174812j 0.0807366+0.159971j -0.178886+0.0485794j -0.10145-0.0125106j -0.0582839-0.048437j -0.0238589+0.000578738j -0.0537763+0.0319561j 0.0304416-0.0416833j 0.0640923+0.0754512j 0.105698-0.000120487j 0.0609005+0.0650065j 0.0574803+0.00950017j 0.00426467+0.0278845j -0.16055-0.0407131j -0.0414573+0.00176172j -0.136256-0.0387613j -0.0841275+0.0224551j 0.0599342-0.0423958j 0.0276476+0.00250966j -0.100398-0.000284327j 0.0241547-0.0237215j 0.0426727-0.0276692j 0.0159842-0.00764243j 0.00247165-0.0112466j 0.0243757-0.00693731j 0.00578481-0.0278969j -0.00162058-0.00197365j -0.00469373-0.0168295j 0.0198121+0.00193398j -0.0387008-0.0209644j 0.0108746-0.0320962j -0.0567078+0.0213069j -0.0815847-0.0825031j -0.0619349+0.0499937j 
-0.277924-0.11863j 0.237113-0.408724j 0.119136+0.100219j -0.0594078+0.181786j 0.0925672+0.0337958j 0.0429291+0.0424769j 0.0650785-0.0751511j -0.072582-0.00692157j 0.0976046-0.010538j 0.0494-0.0246568j -0.0736768-0.0173237j 0.012149+0.0627179j -0.0375493-0.0171149j 0.018042-0.118863j -0.0405519+0.0251247j 0.0876274-0.0084764j -0.00192219+0.00854233j 0.019981+0.0213348j -0.0507708-0.00987458j 0.0282543-0.0543284j -0.0440683+0.0276706j -0.0103298-0.00230404j 0.00747751-0.0174802j 0.014461+0.0032645j 0.00295474+0.00362611j 0.00997377-0.0311159j 0.00586129+0.00268921j 0.00571801-0.00188831j -0.0142957+0.0148534j -0.0279797-0.014876j 0.00142614+0.0202363j 0.0166459+0.0253799j -0.0224349-0.00606022j 0.00728543-0.0373167j 0.0416817-0.0121033j -0.0201471-0.00495666j 
-0.105968-0.319842j 0.177027+0.442131j 0.0833011+0.280374j -0.0484714-0.0288095j 0.0769267+0.00761849j 0.00665148-0.100857j -0.0141823-0.0315002j -0.0297683-0.0147715j 0.034804+0.017319j -0.0404559-0.0311518j -0.0813569+0.0622137j 0.0523683-0.0201583j -0.0318011-0.0806108j -0.0436721+0.0154625j -0.00386009+0.0042408j 0.0913966-0.00945726j -0.0491863+0.0329172j 0.0568904-0.0113865j -0.0185982+0.0110269j -0.0370631-0.00601108j -0.0249422-0.0344607j -0.0204463-0.0126429j 0.0111955-0.017673j -0.0265725-0.0444669j -0.0374533+0.0210834j 0.00761369-0.0242485j -0.0200862-0.00671318j -0.0203448+0.00548943j -0.000726063+0.00287687j -0.00626928+0.00739174j -0.0042391-0.0109542j -0.000446141+0.0341599j -0.01735+0.00326108j -0.0138941-0.0252564j 0.0236961-0.00245626j 0.0089767-0.00191775j 
-0.211436+0.236612j 0.207982+0.304416j 0.212652-0.0428283j 0.00395391-0.0723647j -0.0921228-0.057781j -0.0834144-0.0114086j -0.0801823+0.057233j -0.0587689-0.0132373j 0.0306861-0.00881968j -0.0347195-0.108306j -0.0022501+0.0266799j 0.0299436+0.111785j 0.0277091+0.0753872j -0.00811143+0.100437j -0.0142886-0.00505795j -0.175628-0.0292148j -0.00414308-0.0190701j -0.0468004-0.10448j -0.0934402+0.0108274j 0.0182284+0.0208539j -0.0085925+0.0321379j -0.0688924-0.102967j 0.0435845+0.0266346j 0.0083742-0.0548206j 0.0128445+0.020954j -0.000608134-0.00428596j -0.018827+0.0208814j 0.0152025-0.001851j 0.00332639-0.000975759j 0.0275055+0.00628989j 0.0324032+0.0180446j -0.00658068-0.0111993j 0.0263926-0.0489707j -0.056566-0.0246945j -0.0344582-0.105973j -0.0870949+0.0255138j 
-0.232852+0.185278j -0.307873+0.0805971j 0.186436-0.0688026j 0.220235-0.00458884j 0.146955+0.0165077j 0.0515242+0.0284769j -0.0568+0.0558242j -0.0250196+0.0222277j 0.0557949-0.0409386j -0.0291839-0.0567022j 0.11611+0.0423252j 0.0793357+0.00092137j 0.0600045+0.0397823j -0.0284571-0.0490179j 0.0988537+0.0295832j 0.23615+0.0176023j -0.0338979+0.00697496j 0.0193104-0.0636433j 0.0515796+0.0319822j -0.0328206-0.0369902j 0.00949046+0.035792j -0.043033-0.017793j -0.038129+0.0047406j -0.0766301-0.0410019j -0.0652354-0.00724677j -0.0828057-0.0239272j -0.0368735-0.0198009j -0.004035+0.00201752j -0.00762786+0.0145793j -0.0133961+0.033632j 0.0690852-0.0306628j 0.00888252+0.0200834j -0.0583987+0.0687403j -0.0324598-0.00668051j -0.0168241-0.00470217j 0.0877712+0.0255789j 
0.191541+0.123675j -0.0664812+0.125784j -0.278499-0.0773987j -0.134899-0.0602336j 0.226716-0.0044663j 0.151074+0.0168876j 0.0854298+0.032677j -0.137796-0.0322444j 0.0124007-0.0101857j 0.125115-0.0128804j -0.106098+0.0367192j 0.00478217+0.0445763j -0.0862298+0.0588137j 0.0223287-0.0146932j -0.00429788+0.0486372j 0.173608+0.0577458j -0.00606816-0.0317291j 0.133633+0.00621147j -0.0838481+0.0265631j 0.052932-0.000628703j -0.0189603+0.010626j 0.042993-0.0297522j 0.0287801-0.0110011j 0.0284311-0.0543711j -0.0255294+0.00425301j 0.0233706-0.0506854j -0.00497792-0.025353j 0.00738725-0.0346176j -0.0415008+0.0215144j -0.0211623-0.0148565j 0.0212163+0.0453795j -0.016187-0.0140335j -0.0369791-0.0343402j 0.0219693-0.0701993j 0.0753419-0.0239075j -0.0444442+0.0153871j 
-0.218303-0.103497j -0.0553588+0.176042j 0.0545559-0.00532272j 0.0594548-0.0689142j 0.0340717+0.0117786j 0.0352542-0.0320841j 0.0910555-0.0298237j 0.0567552+0.0411566j 0.0720314+0.000804951j 0.063025+0.028452j -0.0244087+0.0047616j 0.0224776-0.0196297j 0.00464442+0.00420109j 0.144583+0.0303563j -0.0660884+0.0281498j -0.00543322+0.120619j 0.0291858+0.0069179j -0.0263453+0.106484j 0.0684379+0.0362362j 0.00724795+0.0221617j -0.00763368-0.0254173j 0.0141123+0.0218497j 0.0330549+0.0174181j 0.0447931+0.00284559j 0.0237443+0.00586169j 0.0204916-0.00295611j 0.00378957-0.0061067j 0.0262169+0.00137322j -0.0265664+0.0162031j -0.0272252-0.0353411j -0.0219915+0.0270352j -0.0279851-0.0122836j -0.0181582-0.0263083j 0.044947+0.0427397j -0.0420861+0.0329659j -0.0151862+0.0364838j 
-0.047173+0.0615347j 0.0568188-0.104743j -0.102+0.108636j 0.0672528-0.146757j 0.0398731-0.087434j 0.11338-0.316674j -0.0216345+0.0398053j 0.00566267+0.0648028j 0.0559539-0.102102j 0.0221361-0.0325089j -0.00821221+0.0383247j 0.0462683-0.0048698j -0.00267706+0.0278938j 0.0300975+0.109253j -0.0117994+0.0711921j -0.0144194-0.0733763j 0.00359743-0.00510673j 0.0557086-0.0592934j 0.0443988-0.0571839j 0.0443189-0.0322806j 0.020281+0.016919j -0.0127937-0.0341838j 0.0331456+0.0432525j 0.0168208+0.0432537j -0.00570899+0.0699369j -0.047994+0.0213583j -0.00490314-0.0148812j 0.0168763-0.000215465j -0.0142701+0.0197696j -0.00271795-0.0392706j -0.00478592+0.0217209j -0.0144659-0.0206914j 0.0128944+0.0220476j 0.0148245-0.0101032j 0.00553845-0.0402087j -0.00883616-0.0436895j 
